,BALL
2000-05-08,3693455360
2000-05-09,3749987840
2000-05-10,3768832000
2000-05-11,3900741119
2000-05-12,3938429439
2000-05-15,3976117760
2000-05-16,3994961920
2000-05-17,3994961920
2000-05-18,3863052799
2000-05-19,3768832000
2000-05-22,3731143680
2000-05-23,3542702080
2000-05-24,3542702080
2000-05-25,3542702080
2000-05-26,3542702080
2000-05-30,3523857920
2000-05-31,3505013760
2000-06-01,3580390400
2000-06-02,3636922880
2000-06-05,3655767040
2000-06-06,3674611200
2000-06-07,3618078720
2000-06-08,3599234560
2000-06-09,3636922880
2000-06-12,3674611200
2000-06-13,3674611200
2000-06-14,3731143680
2000-06-15,3693455360
2000-06-16,3731143680
2000-06-19,3655767040
2000-06-20,3693455360
2000-06-21,3674611200
2000-06-22,3749987840
2000-06-23,3768832000
2000-06-26,3712299520
2000-06-27,3674611200
2000-06-28,3844208640
2000-06-29,4164559360
2000-06-30,3787676159
2000-07-03,3812021760
2000-07-05,3775011840
2000-07-06,3738001920
2000-07-07,3700992000
2000-07-10,3830526719
2000-07-11,3960061440
2000-07-12,3904546560
2000-07-13,4034081280
2000-07-14,4052586240
2000-07-17,4034081280
2000-07-18,3997071360
2000-07-19,4089596160
2000-07-20,4145111040
2000-07-21,4089596160
2000-07-24,4071091200
2000-07-25,4108101120
2000-07-26,4071091200
2000-07-27,4126606080
2000-07-28,3997071360
2000-07-31,4015576320
2000-08-01,3941556480
2000-08-02,3978566400
2000-08-03,3904546560
2000-08-04,3960061440
2000-08-07,3923051520
2000-08-08,3997071360
2000-08-09,3904546560
2000-08-10,3904546560
2000-08-11,3960061440
2000-08-14,3997071360
2000-08-15,3978566400
2000-08-16,3960061440
2000-08-17,3941556480
2000-08-18,3886041600
2000-08-21,3849031680
2000-08-22,3793516799
2000-08-23,3793516799
2000-08-24,3867536639
2000-08-25,3867536639
2000-08-28,3867536639
2000-08-29,3997071360
2000-08-30,3960061440
2000-08-31,3997071360
2000-09-01,4052586240
2000-09-05,4089596160
2000-09-06,4126606080
2000-09-07,4108101120
2000-09-08,4071091200
2000-09-11,4089596160
2000-09-12,4071091200
2000-09-13,4034081280
2000-09-14,3923051520
2000-09-15,3941556480
2000-09-18,3886041600
2000-09-19,3793516799
2000-09-20,3793516799
2000-09-21,3700992000
2000-09-22,3756506879
2000-09-25,3738001920
2000-09-26,3700992000
2000-09-27,3700992000
2000-09-28,3682487040
2000-09-29,3663982080
2000-10-02,3375678080
2000-10-03,3410659200
2000-10-04,3393168640
2000-10-05,3323206400
2000-10-06,3340696960
2000-10-09,3410659200
2000-10-10,3340696960
2000-10-11,3270734720
2000-10-12,3288225280
2000-10-13,3375678080
2000-10-16,3323206400
2000-10-17,3253244160
2000-10-18,3183281920
2000-10-19,3305715840
2000-10-20,3340696960
2000-10-23,3305715840
2000-10-24,3620545919
2000-10-25,3568074240
2000-10-26,3725489280
2000-10-27,3707998720
2000-10-30,3830432640
2000-10-31,3847923200
2000-11-01,3812942080
2000-11-02,3812942080
2000-11-03,3812942080
2000-11-06,3865413760
2000-11-07,3935376000
2000-11-08,4022828799
2000-11-09,3935376000
2000-11-10,3900394880
2000-11-13,3935376000
2000-11-14,4005338240
2000-11-15,4075300480
2000-11-16,4040319360
2000-11-17,4057809919
2000-11-20,4110281600
2000-11-21,4092791039
2000-11-22,4127772160
2000-11-24,4180243840
2000-11-27,4215224960
2000-11-28,4180243840
2000-11-29,4057809919
2000-11-30,4250206080
2000-12-01,4267696640
2000-12-04,4337658880
2000-12-05,4372640000
2000-12-06,4250206080
2000-12-07,4197734400
2000-12-08,4302677760
2000-12-11,4302677760
2000-12-12,4267696640
2000-12-13,4250206080
2000-12-14,4180243840
2000-12-15,4302677760
2000-12-18,4302677760
2000-12-19,4460092800
2000-12-20,4460092800
2000-12-21,4600017280
2000-12-22,4687470080
2000-12-26,5002300160
2000-12-27,5089752960
2000-12-28,5159715200
2000-12-29,5037281280
2001-01-02,4862375680
2001-01-03,5159715200
2001-01-04,5124734080
2001-01-05,5054771840
2001-01-08,5037281280
2001-01-09,5089752960
2001-01-10,5247168000
2001-01-11,5194696320
2001-01-12,5089752960
2001-01-16,4984809600
2001-01-17,4932337920
2001-01-18,4914847360
2001-01-19,4722451200
2001-01-22,4634998400
2001-01-23,4757432320
2001-01-24,4809904000
2001-01-25,4582526720
2001-01-26,4372640000
2001-01-29,4407621120
2001-01-30,4372640000
2001-01-31,4372640000
2001-02-01,4477583360
2001-02-02,4372640000
2001-02-05,4442602240
2001-02-06,4477583360
2001-02-07,4477583360
2001-02-08,4460092800
2001-02-09,4425111680
2001-02-12,4460092800
2001-02-13,4477583360
2001-02-14,4495073920
2001-02-15,4582526720
2001-02-16,4530055040
2001-02-20,4425111680
2001-02-21,4372640000
2001-02-22,4372640000
2001-02-23,4285187200
2001-02-26,4372640000
2001-02-27,4477583360
2001-02-28,4530055040
2001-03-01,4477583360
2001-03-02,4547545600
2001-03-05,4512564480
2001-03-06,4634998400
2001-03-07,4809904000
2001-03-08,4949828480
2001-03-09,4862375680
2001-03-12,4739941760
2001-03-13,4897356800
2001-03-14,4809904000
2001-03-15,4844885120
2001-03-16,4774922880
2001-03-19,4897356800
2001-03-20,4844885120
2001-03-21,4809904000
2001-03-22,4774922880
2001-03-23,4844885120
2001-03-26,4949828480
2001-03-27,5019790720
2001-03-28,4932337920
2001-03-29,4949828480
2001-03-30,5019790720
2001-04-02,5015270400
2001-04-03,4892088320
2001-04-04,5085660160
2001-04-05,5191244800
2001-04-06,5085660160
2001-04-09,5173647360
2001-04-10,5191244800
2001-04-11,5085660160
2001-04-12,5015270400
2001-04-16,5050465280
2001-04-17,5138452480
2001-04-18,5226439680
2001-04-19,5261634560
2001-04-20,5208842240
2001-04-23,5208842240
2001-04-24,5191244800
2001-04-25,5279232000
2001-04-26,5244037120
2001-04-27,5156049920
2001-04-30,5068062720
2001-05-01,4997672960
2001-05-02,4944880640
2001-05-03,4733711360
2001-05-04,4804101120
2001-05-07,4733711360
2001-05-08,4733711360
2001-05-09,4663321600
2001-05-10,4909685760
2001-05-11,4874490880
2001-05-14,4874490880
2001-05-15,4944880640
2001-05-16,5208842240
2001-05-17,5314426880
2001-05-18,5279232000
2001-05-21,5367219200
2001-05-22,5261634560
2001-05-23,5173647360
2001-05-24,5138452480
2001-05-25,5085660160
2001-05-29,5156049920
2001-05-30,5173647360
2001-05-31,5226439680
2001-06-01,5156049920
2001-06-04,5314426880
2001-06-05,5490401280
2001-06-06,5472803840
2001-06-07,5455206400
2001-06-08,5437608960
2001-06-11,5367219200
2001-06-12,5384816640
2001-06-13,5332024320
2001-06-14,5173647360
2001-06-15,5191244800
2001-06-18,5156049920
2001-06-19,5191244800
2001-06-20,5138452480
2001-06-21,4997672960
2001-06-22,4804101120
2001-06-25,4874490880
2001-06-26,4927283200
2001-06-27,5068062720
2001-06-28,5120855040
2001-06-29,5226439680
2001-07-02,1303200000
2001-07-03,1303200000
2001-07-05,1303200000
2001-07-06,1290036364
2001-07-09,1276872727
2001-07-10,1290036364
2001-07-11,1303200000
2001-07-12,1338303030
2001-07-13,1347078788
2001-07-16,1351466667
2001-07-17,1342690909
2001-07-18,1347078788
2001-07-19,1347078788
2001-07-20,1351466667
2001-07-23,1355854546
2001-07-24,1351466667
2001-07-25,1347078788
2001-07-26,1333915152
2001-07-27,1342690909
2001-07-30,1342690909
2001-07-31,1355854546
2001-08-01,1369018182
2001-08-02,1369018182
2001-08-03,1373406061
2001-08-06,1329527273
2001-08-07,1325139394
2001-08-08,1329527273
2001-08-09,1307587879
2001-08-10,1325139394
2001-08-13,1338303030
2001-08-14,1373406061
2001-08-15,1351466667
2001-08-16,1364630303
2001-08-17,1377793940
2001-08-20,1377793940
2001-08-21,1369018182
2001-08-22,1399733334
2001-08-23,1412896970
2001-08-24,1426060606
2001-08-27,1461163637
2001-08-28,1434836364
2001-08-29,1452387879
2001-08-30,1452387879
2001-08-31,1443612121
2001-09-04,1526981818
2001-09-05,1570860606
2001-09-06,1597187879
2001-09-07,1548921212
2001-09-10,1535757576
2001-09-17,1505042424
2001-09-18,1509430303
2001-09-19,1540145455
2001-09-20,1500654546
2001-09-21,1483103031
2001-09-24,1491878788
2001-09-25,1531369697
2001-09-26,1518206061
2001-09-27,1658618182
2001-09-28,1641066667
2001-10-01,1643265306
2001-10-02,1647755102
2001-10-03,1697142857
2001-10-04,1652244898
2001-10-05,1643265306
2001-10-08,1598367347
2001-10-09,1598367347
2001-10-10,1625306123
2001-10-11,1620816327
2001-10-12,1584897959
2001-10-15,1598367347
2001-10-16,1661224490
2001-10-17,1652244898
2001-10-18,1665714286
2001-10-19,1715102041
2001-10-22,1746530612
2001-10-23,1737551021
2001-10-24,1755510204
2001-10-25,1755510204
2001-10-26,1831836735
2001-10-29,1777959184
2001-10-30,1746530612
2001-10-31,1728571429
2001-11-01,1791428572
2001-11-02,1795918368
2001-11-05,1822857143
2001-11-06,1845306123
2001-11-07,1872244898
2001-11-08,1858775510
2001-11-09,1876734694
2001-11-12,1845306123
2001-11-13,1836326531
2001-11-14,1818367347
2001-11-15,1809387755
2001-11-16,1822857143
2001-11-19,1863265306
2001-11-20,1881224490
2001-11-21,1921632653
2001-11-23,1944081633
2001-11-26,1962040817
2001-11-27,1926122449
2001-11-28,1926122449
2001-11-29,1953061225
2001-11-30,1921632653
2001-12-03,1867755102
2001-12-04,1854285714
2001-12-05,1930612245
2001-12-06,1858775510
2001-12-07,1885714286
2001-12-10,1899183674
2001-12-11,1872244898
2001-12-12,1890204082
2001-12-13,1872244898
2001-12-14,1881224490
2001-12-17,1935102041
2001-12-18,1971020408
2001-12-19,1944081633
2001-12-20,1948571429
2001-12-21,1930612245
2001-12-24,1966530612
2001-12-26,1993469388
2001-12-27,1984489796
2001-12-28,1975510204
2001-12-31,1984489796
2002-01-02,1980000000
2002-01-03,1997959184
2002-01-04,2038367347
2002-01-07,2011428572
2002-01-08,2033877551
2002-01-09,1980000000
2002-01-10,1935102041
2002-01-11,1867755102
2002-01-14,1836326531
2002-01-15,1872244898
2002-01-16,1831836735
2002-01-17,1863265306
2002-01-18,1872244898
2002-01-22,1885714286
2002-01-23,1944081633
2002-01-24,2002448980
2002-01-25,2056326531
2002-01-28,2101224490
2002-01-29,2119183674
2002-01-30,2173061225
2002-01-31,2208979592
2002-02-01,2200000000
2002-02-04,2195510204
2002-02-05,2208979592
2002-02-06,2235918368
2002-02-07,2217959184
2002-02-08,2244897960
2002-02-11,2280816327
2002-02-12,2303265306
2002-02-13,2339183674
2002-02-14,2303265306
2002-02-15,2370612245
2002-02-19,2370612245
2002-02-20,2420000000
2002-02-21,2451428572
2002-02-22,2397551021
2002-02-25,2415510204
2002-02-26,2397551021
2002-02-27,2370612245
2002-02-28,2375102041
2002-03-01,2406530613
2002-03-04,2464897960
2002-03-05,2464897960
2002-03-06,2523265307
2002-03-07,2500816327
2002-03-08,2496326531
2002-03-11,2482857143
2002-03-12,2527755102
2002-03-13,2505306123
2002-03-14,2500816327
2002-03-15,2541224490
2002-03-18,2532244898
2002-03-19,2554693878
2002-03-20,2559183674
2002-03-21,2527755102
2002-03-22,2509795919
2002-03-25,2464897960
2002-03-26,2545714286
2002-03-27,2648979592
2002-03-28,2648979592
2002-04-01,2637411236
2002-04-02,2632925843
2002-04-03,2632925843
2002-04-04,2601528090
2002-04-05,2606013484
2002-04-08,2722633708
2002-04-09,2745060675
2002-04-10,2866166293
2002-04-11,2807856180
2002-04-12,2812341574
2002-04-15,2866166293
2002-04-16,2870651686
2002-04-17,2771973034
2002-04-18,2704692135
2002-04-19,2713662922
2002-04-22,2623955057
2002-04-23,2664323596
2002-04-24,2677779776
2002-04-25,2511820225
2002-04-26,2547703371
2002-04-29,2655352809
2002-04-30,2664323596
2002-05-01,2704692135
2002-05-02,2718148315
2002-05-03,2700206742
2002-05-06,2677779776
2002-05-07,2682265169
2002-05-08,2713662922
2002-05-09,2718148315
2002-05-10,2664323596
2002-05-13,2682265169
2002-05-14,2673294382
2002-05-15,2677779776
2002-05-16,2610498877
2002-05-17,2574615731
2002-05-20,2556674158
2002-05-21,2516305618
2002-05-22,2381743821
2002-05-23,2493878652
2002-05-24,2475937079
2002-05-28,2466966293
2002-05-29,2417626967
2002-05-30,2386229214
2002-05-31,2332404495
2002-06-03,2260638203
2002-06-04,2202328090
2002-06-05,2301006742
2002-06-06,2345860674
2002-06-07,2363802248
2002-06-10,2327919101
2002-06-11,2296521349
2002-06-12,2341375281
2002-06-13,2309977528
2002-06-14,2278579776
2002-06-17,2327919101
2002-06-18,2359316854
2002-06-19,2422112360
2002-06-20,2444539326
2002-06-21,2449024719
2002-06-24,2449024719
2002-06-25,2354831461
2002-06-26,2332404495
2002-06-27,2314462922
2002-06-28,2327919101
2002-07-01,2373033706
2002-07-02,2368539324
2002-07-03,2386516852
2002-07-05,2444943818
2002-07-08,2426966290
2002-07-09,2453932582
2002-07-10,2382022470
2002-07-11,2368539324
2002-07-12,2310112358
2002-07-15,2233707863
2002-07-16,2224719099
2002-07-17,2175280897
2002-07-18,2148314605
2002-07-19,1999999998
2002-07-22,1914606740
2002-07-23,1874157302
2002-07-24,2089887639
2002-07-25,2157303369
2002-07-26,2229213481
2002-07-29,2382022470
2002-07-30,2364044942
2002-07-31,2417977526
2002-08-01,2458426964
2002-08-02,2399999998
2002-08-05,2296629212
2002-08-06,2476404493
2002-08-07,2561797751
2002-08-08,2656179773
2002-08-09,2651685391
2002-08-12,2633707863
2002-08-13,2620224717
2002-08-14,2615730335
2002-08-15,2669662919
2002-08-16,2624719099
2002-08-19,2674157301
2002-08-20,2651685391
2002-08-21,2674157301
2002-08-22,2669662919
2002-08-23,2611235953
2002-08-26,2597752807
2002-08-27,2669662919
2002-08-28,2638202245
2002-08-29,2606741571
2002-08-30,2799999998
2002-09-03,2862921346
2002-09-04,2898876402
2002-09-05,2934831459
2002-09-06,3020224717
2002-09-09,3024719099
2002-09-10,3024719099
2002-09-11,3024719099
2002-09-12,3006741571
2002-09-13,3029213481
2002-09-16,3006741571
2002-09-17,2948314605
2002-09-18,2894382020
2002-09-19,2853932582
2002-09-20,2876404492
2002-09-23,2813483144
2002-09-24,2732584268
2002-09-25,2799999998
2002-09-26,2903370784
2002-09-27,2858426964
2002-09-30,2840231047
2002-10-01,2939413719
2002-10-02,2727523466
2002-10-03,2781623105
2002-10-04,2736540072
2002-10-07,2650882311
2002-10-08,2682440433
2002-10-09,2538174729
2002-10-10,2673423827
2002-10-11,2790639711
2002-10-14,2682440433
2002-10-15,2822197834
2002-10-16,2768098195
2002-10-17,2840231047
2002-10-18,2871789170
2002-10-21,2948430325
2002-10-22,2925888809
2002-10-23,2984496751
2002-10-24,2790639711
2002-10-25,2786131408
2002-10-28,2700473646
2002-10-29,2704981950
2002-10-30,2695965343
2002-10-31,2727523466
2002-11-01,2759081589
2002-11-04,2673423827
2002-11-05,2610307581
2002-11-06,2741048376
2002-11-07,2682440433
2002-11-08,2646374007
2002-11-11,2574241155
2002-11-12,2628340794
2002-11-13,2628340794
2002-11-14,2673423827
2002-11-15,2700473646
2002-11-18,2637357401
2002-11-19,2601290975
2002-11-20,2610307581
2002-11-21,2650882311
2002-11-22,2732031769
2002-11-25,2691457040
2002-11-26,2668915524
2002-11-27,2745556679
2002-11-29,2790639711
2002-12-02,2768098195
2002-12-03,2713998556
2002-12-04,2790639711
2002-12-05,2750064982
2002-12-06,2745556679
2002-12-09,2808672924
2002-12-10,2871789170
2002-12-11,2849247654
2002-12-12,2844739350
2002-12-13,2799656318
2002-12-16,2898838989
2002-12-17,2840231047
2002-12-18,2808672924
2002-12-19,2822197834
2002-12-20,2840231047
2002-12-23,2844739350
2002-12-24,2853755957
2002-12-26,2880805776
2002-12-27,2831214441
2002-12-30,2876297473
2002-12-31,5751091200
2003-01-02,5939798880
2003-01-03,5957771040
2003-01-06,6083576160
2003-01-07,5993715360
2003-01-08,5912840640
2003-01-09,5778049440
2003-01-10,5822979840
2003-01-13,5903854560
2003-01-14,5867910240
2003-01-15,5840952000
2003-01-16,5912840640
2003-01-17,5930812800
2003-01-21,5885882400
2003-01-22,5831965920
2003-01-23,5867910240
2003-01-24,5760077280
2003-01-27,5499480960
2003-01-28,5544411360
2003-01-29,5921826720
2003-01-30,5849938080
2003-01-31,5894868480
2003-02-03,5894868480
2003-02-04,5921826720
2003-02-05,6011687520
2003-02-06,5939798880
2003-02-07,5903854560
2003-02-10,5894868480
2003-02-11,5831965920
2003-02-12,5769063360
2003-02-13,5840952000
2003-02-14,5894868480
2003-02-18,6029659680
2003-02-19,5993715360
2003-02-20,5939798880
2003-02-21,5957771040
2003-02-24,5876896320
2003-02-25,5885882400
2003-02-26,5849938080
2003-02-27,5840952000
2003-02-28,5984729280
2003-03-03,6020673600
2003-03-04,5975743200
2003-03-05,5858924160
2003-03-06,5742105120
2003-03-07,5822979840
2003-03-10,5607313920
2003-03-11,5625286080
2003-03-12,5625286080
2003-03-13,5885882400
2003-03-14,5849938080
2003-03-17,6029659680
2003-03-18,6065604000
2003-03-19,6146478720
2003-03-20,6092562240
2003-03-21,6272283840
2003-03-24,6263297760
2003-03-25,6308228160
2003-03-26,6254311680
2003-03-27,6317214240
2003-03-28,6353158560
2003-03-31,3121643520
2003-04-01,3188920320
2003-04-02,3269652480
2003-04-03,3238256640
2003-04-04,3220316160
2003-04-07,3206860800
2003-04-08,3202375680
2003-04-09,3166494720
2003-04-10,3179950080
2003-04-11,3206860800
2003-04-14,3220316160
2003-04-15,3224801280
2003-04-16,3144069120
2003-04-17,3139584000
2003-04-21,3099217920
2003-04-22,3157524480
2003-04-23,3148554240
2003-04-24,3188920320
2003-04-25,3139584000
2003-04-28,3197890560
2003-04-29,3166494720
2003-04-30,3148554240
2003-05-01,3162009600
2003-05-02,3162009600
2003-05-05,3188920320
2003-05-06,3206860800
2003-05-07,3153039360
2003-05-08,3094732800
2003-05-09,3139584000
2003-05-12,3099217920
2003-05-13,3040911360
2003-05-14,3000545280
2003-05-15,3022970880
2003-05-16,2996060160
2003-05-19,2946723840
2003-05-20,2933268480
2003-05-21,2906357760
2003-05-22,2942238720
2003-05-23,2928783360
2003-05-27,2879447040
2003-05-28,2749378560
2003-05-29,2762833920
2003-05-30,2776289280
2003-06-02,2803200000
2003-06-03,2717982720
2003-06-04,2659676160
2003-06-05,2677616640
2003-06-06,2637250560
2003-06-09,2659676160
2003-06-10,2637250560
2003-06-11,2726952960
2003-06-12,2753863680
2003-06-13,2695557120
2003-06-16,2758348800
2003-06-17,2717982720
2003-06-18,2726952960
2003-06-19,2646220800
2003-06-20,2614824960
2003-06-23,2565488640
2003-06-24,2578944000
2003-06-25,2565488640
2003-06-26,2587914240
2003-06-27,2578944000
2003-06-30,2533825280
2003-07-01,2498200320
2003-07-02,2520465920
2003-07-03,2511559680
2003-07-07,2560544000
2003-07-08,2511559680
2003-07-09,2489294080
2003-07-10,2453669120
2003-07-11,2449216000
2003-07-14,2409137920
2003-07-15,2369059840
2003-07-16,2520465920
2003-07-17,2507106560
2003-07-18,2547184640
2003-07-21,2471481600
2003-07-22,2560544000
2003-07-23,2707496960
2003-07-24,2774293760
2003-07-25,2801012480
2003-07-28,2805465600
2003-07-29,2765387520
2003-07-30,2752028160
2003-07-31,2765387520
2003-08-01,2694137600
2003-08-04,2720856320
2003-08-05,2689684480
2003-08-06,2698590720
2003-08-07,2720856320
2003-08-08,2734215680
2003-08-11,2729762560
2003-08-12,2725309440
2003-08-13,2738668800
2003-08-14,2787653120
2003-08-15,2787653120
2003-08-18,2792106240
2003-08-19,2792106240
2003-08-20,2765387520
2003-08-21,2783200000
2003-08-22,2743121920
2003-08-25,2707496960
2003-08-26,2707496960
2003-08-27,2725309440
2003-08-28,2818824960
2003-08-29,2939059200
2003-09-02,2939059200
2003-09-03,2961324800
2003-09-04,2947965440
2003-09-05,2970231040
2003-09-08,2961324800
2003-09-09,2930152960
2003-09-10,2858903040
2003-09-11,2832184320
2003-09-12,2925699840
2003-09-15,2970231040
2003-09-16,2970231040
2003-09-17,2974684160
2003-09-18,3019215360
2003-09-19,3005856000
2003-09-22,2979137280
2003-09-23,3019215360
2003-09-24,3032574720
2003-09-25,3005856000
2003-09-26,3032574720
2003-09-29,3020638400
2003-09-30,3016170000
2003-10-01,3065322400
2003-10-02,3096601200
2003-10-03,3114474800
2003-10-06,3118943200
2003-10-07,3145753600
2003-10-08,3141285200
2003-10-09,3159158800
2003-10-10,3132348400
2003-10-13,3168095600
2003-10-14,3154690400
2003-10-15,3141285200
2003-10-16,3132348400
2003-10-17,3074259200
2003-10-20,3074259200
2003-10-21,3038512000
2003-10-22,2993828000
2003-10-23,3016170000
2003-10-24,3020638400
2003-10-27,3051917200
2003-10-28,3145753600
2003-10-29,3154690400
2003-10-30,3212779600
2003-10-31,3141285200
2003-11-03,3141285200
2003-11-04,3118943200
2003-11-05,3145753600
2003-11-06,3136816800
2003-11-07,3118943200
2003-11-10,3096601200
2003-11-11,3118943200
2003-11-12,3096601200
2003-11-13,3083196000
2003-11-14,3083196000
2003-11-17,3069790800
2003-11-18,3065322400
2003-11-19,3047448800
2003-11-20,3056385600
2003-11-21,3060854000
2003-11-24,3065322400
2003-11-25,3118943200
2003-11-26,3105538000
2003-11-28,3123411600
2003-12-01,3159158800
2003-12-02,3145753600
2003-12-03,3199374400
2003-12-04,3284274000
2003-12-05,3244058400
2003-12-08,3284274000
2003-12-09,3270868800
2003-12-10,3217248000
2003-12-11,3244058400
2003-12-12,3221716400
2003-12-15,3172564000
2003-12-16,3208311200
2003-12-17,3257463600
2003-12-18,3266400400
2003-12-19,3288742400
2003-12-22,3324489600
2003-12-23,3311084400
2003-12-24,3293210800
2003-12-26,3297679200
2003-12-29,3279805600
2003-12-30,3275337200
2003-12-31,6636340800
2004-01-02,6511631040
2004-01-05,6573985920
2004-01-06,6493815360
2004-01-07,6458184000
2004-01-08,6529446720
2004-01-09,6422552640
2004-01-12,6386921280
2004-01-13,6369105600
2004-01-14,6431460480
2004-01-15,6404736960
2004-01-16,6502723200
2004-01-20,6520538880
2004-01-21,6538354560
2004-01-22,6547262400
2004-01-23,6547262400
2004-01-26,6573985920
2004-01-27,6725419200
2004-01-28,6663064320
2004-01-29,6787774080
2004-01-30,6965930880
2004-02-02,7144087680
2004-02-03,7063917120
2004-02-04,7099548480
2004-02-05,7126272000
2004-02-06,7188626880
2004-02-09,7188626880
2004-02-10,7188626880
2004-02-11,7206442560
2004-02-12,7224258239
2004-02-13,7135179840
2004-02-17,7135179840
2004-02-18,7144087680
2004-02-19,7206442560
2004-02-20,7135179840
2004-02-23,7117364160
2004-02-24,7161903359
2004-02-25,7135179840
2004-02-26,7144087680
2004-02-27,7188626880
2004-03-01,7268797440
2004-03-02,7224258239
2004-03-03,7242073920
2004-03-04,7250981760
2004-03-05,7366783680
2004-03-08,7393507200
2004-03-09,7375691519
2004-03-10,7357875840
2004-03-11,7259889600
2004-03-12,7331152320
2004-03-15,7224258239
2004-03-16,7250981760
2004-03-17,7259889600
2004-03-18,7188626880
2004-03-19,7268797440
2004-03-22,7046101440
2004-03-23,7197534720
2004-03-24,7250981760
2004-03-25,7402415040
2004-03-26,7473677760
2004-03-29,7553848320
2004-03-30,7625111040
2004-03-31,7544940480
2004-04-01,7634018880
2004-04-02,7723097280
2004-04-05,7707225599
2004-04-06,7804673280
2004-04-07,7733802240
2004-04-08,7742661120
2004-04-12,7831249920
2004-04-13,7769237760
2004-04-14,7698366720
2004-04-15,7724943360
2004-04-16,7716084480
2004-04-19,7716084480
2004-04-20,7716084480
2004-04-21,7654072320
2004-04-22,7831249920
2004-04-23,7760378880
2004-04-26,7724943360
2004-04-27,7716084480
2004-04-28,7556624639
2004-04-29,7281999360
2004-04-30,7308576000
2004-05-03,7406023679
2004-05-04,7361729280
2004-05-05,7281999360
2004-05-06,7131398400
2004-05-07,6794760960
2004-05-10,6936503040
2004-05-11,6998515200
2004-05-12,7166833920
2004-05-13,7255422720
2004-05-14,7237704960
2004-05-17,7060527360
2004-05-18,7202269440
2004-05-19,7149116160
2004-05-20,7202269440
2004-05-21,7202269440
2004-05-24,7264281599
2004-05-25,7299717120
2004-05-26,7344011519
2004-05-27,7432600320
2004-05-28,7565483519
2004-06-01,7485753599
2004-06-02,7538906880
2004-06-03,7494612480
2004-06-04,7583201280
2004-06-07,7778096639
2004-06-08,7751520000
2004-06-09,7698366720
2004-06-10,7724943360
2004-06-14,7671790080
2004-06-15,7680648960
2004-06-16,7662931200
2004-06-17,7689507840
2004-06-18,7822391040
2004-06-21,7786955519
2004-06-22,7848967679
2004-06-23,7919838720
2004-06-24,7875544320
2004-06-25,7919838720
2004-06-28,7857826559
2004-06-29,7919838720
2004-06-30,7981850880
2004-07-01,7893262080
2004-07-02,7831249920
2004-07-06,3986744800
2004-07-07,4017718400
2004-07-08,3960195999
2004-07-09,3929222400
2004-07-12,3960195999
2004-07-13,4004444000
2004-07-14,4017718400
2004-07-15,4057541600
2004-07-16,4057541600
2004-07-19,3995594399
2004-07-20,3986744800
2004-07-21,3907098400
2004-07-22,3876124800
2004-07-23,3871700000
2004-07-26,3800903200
2004-07-27,3849575999
2004-07-28,3929222400
2004-07-29,4004444000
2004-07-30,3991169600
2004-08-02,4035417599
2004-08-03,4066391200
2004-08-04,4066391200
2004-08-05,4026568000
2004-08-06,3964620800
2004-08-09,4004444000
2004-08-10,4039842400
2004-08-11,4030992799
2004-08-12,3982320000
2004-08-13,3991169600
2004-08-16,4030992799
2004-08-17,4066391200
2004-08-18,4115064000
2004-08-19,4084090400
2004-08-20,4123913600
2004-08-23,4097364800
