,VICI
2018-03-28,6264798383
2018-03-29,6281943425
2018-04-02,6766071698
2018-04-03,6758673041
2018-04-04,6706882443
2018-04-05,6725379085
2018-04-06,6762372370
2018-04-09,6710581772
2018-04-10,6717980428
2018-04-11,6721679757
2018-04-12,6721679757
2018-04-13,6732777742
2018-04-16,6743875727
2018-04-17,6758673041
2018-04-18,6799365654
2018-04-19,6743875727
2018-04-20,6725379085
2018-04-23,6692085129
2018-04-24,6673588487
2018-04-25,6673588487
2018-04-26,6662490502
2018-04-27,6677287816
2018-04-30,6725379085
2018-05-01,6736477071
2018-05-02,6610699904
2018-05-03,6603301247
2018-05-04,6666189830
2018-05-07,6717980428
2018-05-08,6810463639
2018-05-09,6988031404
2018-05-10,7073115958
2018-05-11,7028724017
2018-05-14,7139703869
2018-05-15,7158200512
2018-05-16,7269180364
2018-05-17,7287677007
2018-05-18,7235886409
2018-05-21,7309872977
2018-05-22,7306173649
2018-05-23,7361663575
2018-05-24,7343166933
2018-05-25,7346866261
2018-05-29,7376460889
2018-05-30,7380160217
2018-05-31,7165599168
2018-06-01,7354264918
2018-06-04,7535532011
2018-06-05,7439349472
2018-06-06,7391258203
2018-06-07,7402356188
2018-06-08,7561427310
2018-06-11,7594721266
2018-06-12,7620616565
2018-06-13,7620616565
2018-06-14,7594721266
2018-06-15,7591021938
2018-06-18,7620616565
2018-06-19,7639113207
2018-06-20,7746393732
2018-06-21,7757491717
2018-06-22,7761191046
2018-06-25,7709400448
2018-06-26,7690903805
2018-06-27,7576224624
2018-06-28,7572525296
2018-06-29,7635413879
2018-07-02,7657655638
2018-07-03,7716845247
2018-07-05,7764936804
2018-07-06,7805629660
2018-07-09,7809329011
2018-07-10,7820427062
2018-07-11,7753838752
2018-07-12,7746440051
2018-07-13,7831525114
2018-07-16,7831525114
2018-07-17,7750139402
2018-07-18,7672453040
2018-07-19,7683551092
2018-07-20,7668753690
2018-07-23,7620662133
2018-07-24,7576269926
2018-07-25,7605864730
2018-07-26,7583668627
2018-07-27,7517080317
2018-07-30,7550374472
2018-07-31,7528178369
2018-08-01,7398701100
2018-08-02,7269223830
2018-08-03,7228530974
2018-08-06,7306217336
2018-08-07,7346910192
2018-08-08,7498583564
2018-08-09,7443093306
2018-08-10,7454191358
2018-08-13,7428295904
2018-08-14,7435694605
2018-08-15,7550374472
2018-08-16,7646557586
2018-08-17,7646557586
2018-08-20,7568871225
2018-08-21,7646557586
2018-08-22,7594766679
2018-08-23,7653956287
2018-08-24,7657655638
2018-08-27,7698348494
2018-08-28,7742740701
2018-08-29,7731642649
2018-08-30,7635459535
2018-08-31,7735342000
2018-09-04,7742740701
2018-09-05,7731642649
2018-09-06,7698348494
2018-09-07,7709446546
2018-09-10,7772335505
2018-09-11,7757538103
2018-09-12,7757538103
2018-09-13,7809329011
2018-09-14,7868518619
2018-09-17,7961002383
2018-09-18,7990597188
2018-09-19,7949904331
2018-09-20,7924008878
2018-09-21,7927708228
2018-09-24,7868518619
2018-09-25,7879616671
2018-09-26,7801930309
2018-09-27,7824126413
2018-09-28,7997995889
2018-10-01,8192708007
2018-10-02,8300709808
2018-10-03,8215851250
2018-10-04,8173421972
2018-10-05,8088563414
2018-10-08,8242851700
2018-10-09,8292995394
2018-10-10,8181136386
2018-10-11,7957418371
2018-10-12,7961275578
2018-10-15,8053848550
2018-10-16,8134849900
2018-10-17,8273709358
2018-10-18,8292995394
2018-10-19,8346996294
2018-10-22,8200422422
2018-10-23,8235137286
2018-10-24,8300709808
2018-10-25,8478141337
2018-10-26,8408711608
2018-10-29,8312281429
2018-10-30,8296852601
2018-10-31,8327710258
2018-11-01,8416426023
2018-11-02,8265994943
2018-11-05,8300709808
2018-11-06,8408711608
2018-11-07,8535999445
2018-11-08,8389425573
2018-11-09,8370139537
2018-11-12,8296852601
2018-11-13,8281423772
2018-11-14,8269852151
2018-11-15,8150278729
2018-11-16,8215851250
2018-11-19,8262137736
2018-11-20,8188850800
2018-11-21,8262137736
2018-11-23,8350853501
2018-11-26,8439569266
2018-11-27,8516713409
2018-11-28,8501284580
2018-11-29,8512856202
2018-11-30,8397139987
2018-12-03,8393282780
2018-12-04,8258280529
2018-12-06,8443426473
2018-12-07,8304567015
2018-12-10,8069277378
2018-12-11,8076991793
2018-12-12,7965132785
2018-12-13,7968989992
2018-12-14,7961275578
2018-12-17,7614126933
2018-12-18,7637270176
2018-12-19,7560126033
2018-12-20,7367265675
2018-12-21,7193691353
2018-12-24,6950687302
2018-12-26,7170548110
2018-12-27,7077975138
2018-12-28,7162833696
2018-12-31,7619678059
2019-01-02,7497957962
2019-01-03,7615620723
2019-01-04,7700824790
2019-01-07,7721111473
2019-01-08,7956436994
2019-01-09,8061927744
2019-01-10,8143074475
2019-01-11,8236393216
2019-01-14,8297253265
2019-01-15,8349998640
2019-01-16,8467661400
2019-01-17,8516349439
2019-01-18,8565037478
2019-01-22,8504177429
2019-01-23,8528521449
2019-01-24,8573152151
2019-01-25,8702986921
2019-01-28,8707044257
2019-01-29,8727330940
2019-01-30,8678642901
2019-01-31,8735445613
2019-02-01,8780076315
2019-02-04,8731388277
2019-02-05,8731388277
2019-02-06,8707044257
2019-02-07,8707044257
2019-02-08,8800362998
2019-02-11,8808477671
2019-02-12,8747617623
2019-02-13,8751674959
2019-02-14,8788190988
2019-02-15,8674585565
2019-02-19,8650241545
2019-02-20,8719216267
2019-02-21,8788190988
2019-02-22,8711101594
2019-02-25,8666470892
2019-02-26,8625897526
2019-02-27,8613725516
2019-02-28,8646184209
2019-03-01,8544750795
2019-03-04,8646184209
2019-03-05,8560980141
2019-03-06,8532578785
2019-03-07,8496062756
2019-03-08,8585324160
2019-03-11,8711101594
2019-03-12,8707044257
2019-03-13,8715158930
2019-03-14,8690814911
2019-03-15,8739502950
2019-03-18,8715158930
2019-03-19,8678642901
2019-03-20,8702986921
2019-03-21,8828764354
2019-03-22,8885567066
2019-03-25,8889624402
2019-03-26,8962656461
2019-03-27,8909911085
2019-03-28,8844993700
2019-03-29,8877452393
2019-04-01,8984225682
2019-04-02,8984225682
2019-04-03,9037825927
2019-04-04,9041949023
2019-04-05,9120287843
2019-04-08,9103795460
2019-04-09,9083179981
2019-04-10,9169764992
2019-04-11,9145026417
2019-04-12,9132657130
2019-04-15,9173888088
2019-04-16,9070810694
2019-04-17,9013087353
2019-04-18,9029579736
2019-04-22,8967733299
2019-04-23,9124410939
2019-04-24,9268719290
2019-04-25,9314073344
2019-04-26,9380042876
2019-04-29,9318196440
2019-04-30,9400658355
2019-05-01,9413027642
2019-05-02,9413027642
2019-05-03,9425396930
2019-05-06,9380042876
2019-05-07,9235734524
2019-05-08,9161518800
2019-05-09,9099672364
2019-05-10,9243980716
2019-05-13,9256350003
2019-05-14,9178011184
2019-05-15,9194503567
2019-05-16,9334688823
2019-05-17,9330565727
2019-05-20,9194503567
2019-05-21,9223365237
2019-05-22,9268719290
2019-05-23,9318196440
2019-05-24,9388289068
2019-05-28,9305827152
2019-05-29,9227488333
2019-05-30,9219242141
2019-05-31,9145026417
2019-06-03,9112041651
2019-06-04,9008964257
2019-06-05,9227488333
2019-06-06,9276965482
2019-06-07,9132657130
2019-06-10,9190380471
2019-06-11,9231611429
2019-06-12,9248103812
2019-06-13,9293457865
2019-06-14,9371796685
2019-06-17,9400658355
2019-06-18,9380042876
2019-06-19,9433643121
2019-06-20,9487243366
2019-06-21,9396535259
2019-06-24,9186257375
2019-06-25,8988348778
2019-06-26,8897640671
2019-06-27,8951240916
2019-06-28,9087303077
2019-07-01,10268251715
2019-07-02,10360384974
2019-07-03,10475551548
2019-07-05,10282071704
2019-07-08,10203758434
2019-07-09,10245218400
2019-07-10,10277465041
2019-07-11,10171511793
2019-07-12,10259038389
2019-07-15,10360384974
2019-07-16,10240611737
2019-07-17,10083985197
2019-07-18,10130051827
2019-07-19,9968818623
2019-07-22,9936571983
2019-07-23,9885898690
2019-07-24,9881292027
2019-07-25,9802978757
2019-07-26,9844438724
2019-07-29,9798372094
2019-07-30,9899718679
2019-07-31,9830618735
2019-08-01,9660172206
2019-08-02,9779945442
2019-08-05,9604892250
2019-08-06,9609498913
2019-08-07,9664778869
2019-08-08,9761518791
2019-08-09,9752305465
2019-08-12,9770732116
2019-08-13,9793765431
2019-08-14,9517365654
2019-08-15,9475905688
2019-08-16,9549612295
2019-08-19,9724665487
2019-08-20,9549612295
2019-08-21,9655565543
2019-08-22,9798372094
2019-08-23,9673992195
2019-08-26,9987245275
2019-08-27,10033311905
2019-08-28,10042525231
2019-08-29,10171511793
2019-08-30,10208365097
2019-09-03,10208365097
2019-09-04,10217578423
2019-09-05,10222185086
2019-09-06,10277465041
2019-09-09,10111625175
2019-09-10,10037918568
2019-09-11,10116231838
2019-09-12,10134658490
2019-09-13,10024098579
2019-09-16,10180725119
2019-09-17,10291285030
2019-09-18,10346564985
2019-09-19,10466338222
2019-09-20,10567684807
2019-09-23,10558471481
2019-09-24,10586111459
2019-09-25,10613751436
2019-09-26,10364991637
2019-09-27,10369598300
2019-09-30,10434610357
2019-10-01,10406969005
2019-10-02,10416182789
2019-10-03,10526748197
2019-10-04,10572817117
2019-10-07,10614279144
2019-10-08,10623492928
2019-10-09,10586637793
2019-10-10,10623492928
2019-10-11,10572817117
2019-10-14,10591244685
2019-10-15,10651134280
2019-10-16,10623492928
2019-10-17,10660348064
2019-10-18,10660348064
2019-10-21,10821589284
2019-10-22,10872265096
2019-10-23,10895299556
2019-10-24,10922940908
2019-10-25,10899906448
2019-10-28,10950582260
2019-10-29,10936761584
2019-10-30,11051933884
2019-10-31,10849230636
2019-11-01,11300706051
2019-11-04,11323740511
2019-11-05,11084182127
2019-11-06,11139464831
2019-11-07,11051933884
2019-11-08,11185533751
2019-11-11,11323740511
2019-11-12,11231602671
2019-11-13,11217781995
2019-11-14,11328347403
2019-11-15,11351381863
2019-11-18,11314526727
2019-11-19,11277671591
2019-11-20,11379023215
2019-11-21,11217781995
2019-11-22,11203961319
2019-11-25,11277671591
2019-11-26,11332954295
2019-11-27,11466554163
2019-11-29,11392843891
2019-12-02,11273064699
2019-12-03,11360595647
2019-12-04,11277671591
2019-12-05,11379023215
2019-12-06,11489588623
2019-12-09,11480374839
2019-12-10,11471161055
2019-12-11,11374416323
2019-12-12,11355988755
2019-12-13,11208568211
2019-12-16,11337561187
2019-12-17,11448126595
2019-12-18,11531050650
2019-12-19,11664650518
2019-12-20,11683078086
2019-12-23,11673864302
2019-12-24,11609367814
2019-12-26,11531050650
2019-12-27,11627795382
2019-12-30,11646222950
2019-12-31,11885283208
2020-01-02,11759685304
2020-01-03,11768988852
2020-01-06,11648042722
2020-01-07,11601524979
2020-01-08,11675953367
2020-01-09,11792247723
2020-01-10,11801551272
2020-01-13,11792247723
2020-01-14,11848069014
2020-01-15,12085309501
2020-01-16,12182996760
2020-01-17,12220210954
2020-01-21,12266728697
2020-01-22,12350460633
2020-01-23,12378371279
2020-01-24,12396978376
2020-01-27,12266728697
2020-01-28,12238818051
2020-01-29,12434192570
2020-01-30,12480710312
2020-01-31,12466754990
2020-02-03,12490013861
2020-02-04,12573745797
2020-02-05,12541183378
2020-02-06,12629567088
2020-02-07,12615611766
2020-02-10,12783075639
2020-02-11,12880762898
2020-02-12,12894718221
2020-02-13,12973798383
2020-02-14,13076137416
2020-02-18,12969146609
2020-02-19,12778423864
2020-02-20,13085440965
2020-02-21,13094744513
2020-02-24,12792379187
2020-02-25,12415585473
2020-02-26,11927149177
2020-02-27,11536400140
2020-02-28,11657346270
2020-03-02,11471275300
2020-03-03,11499185946
2020-03-04,11931800951
2020-03-05,11582917882
2020-03-06,11266597233
2020-03-09,10080394799
2020-03-10,10708384323
2020-03-11,9591958503
2020-03-12,7549829607
2020-03-13,8187122680
2020-03-16,5842628458
2020-03-17,6056610073
2020-03-18,5209987160
2020-03-19,5344888613
2020-03-20,5726334101
2020-03-23,5461182969
2020-03-24,6098476041
2020-03-25,7177687667
2020-03-26,7512615413
2020-03-27,7494008316
2020-03-30,7461445897
2020-03-31,8137162425
2020-04-01,7354742961
2020-04-02,7252050406
2020-04-03,6738587633
2020-04-06,6973313472
2020-04-07,7100456635
2020-04-08,7785073666
2020-04-09,8391448751
2020-04-13,8107821695
2020-04-14,8303426561
2020-04-15,7868205734
2020-04-16,7701941598
2020-04-17,7868205734
2020-04-20,7667710747
2020-04-21,7506336732
2020-04-22,7579688557
2020-04-23,7472105881
2020-04-24,7618809530
2020-04-27,7975788411
2020-04-28,8205624128
2020-04-29,8753317753
2020-04-30,8518591914
2020-05-01,8098041452
2020-05-04,8010019262
2020-05-05,8034469870
2020-05-06,7946447681
2020-05-07,8102931574
2020-05-08,8357217899
2020-05-11,8166503155
2020-05-12,7711721842
2020-05-13,7271610893
2020-05-14,7428094786
2020-05-15,7481886124
2020-05-18,8078480965
2020-05-19,8430569724
2020-05-20,8763097996
2020-05-21,8963592984
2020-05-22,9208099066
2020-05-26,9697111231
2020-05-27,9809584029
2020-05-28,9477055757
2020-05-29,9594418677
2020-06-01,10073650599
2020-06-02,10005188895
2020-06-03,10714256535
2020-06-04,10870740427
2020-06-05,11242389673
2020-06-08,11164147726
2020-06-09,10758267630
2020-06-10,10342607289
2020-06-11,10029639504
2020-06-12,10900081157
2020-06-15,11164147726
2020-06-16,10939202131
2020-06-17,11198378578
2020-06-18,11051674929
2020-06-19,10992993469
2020-06-22,10655575075
2020-06-23,10787608359
2020-06-24,10308376438
2020-06-25,10298596194
2020-06-26,9794913664
2020-06-29,9780243300
2020-06-30,10769505824
2020-07-01,11041543861
2020-07-02,11126889127
2020-07-06,10785508061
2020-07-07,10662824240
2020-07-08,10774839903
2020-07-09,10556142657
2020-07-10,10646822003
2020-07-13,10534806341
2020-07-14,10497467786
2020-07-15,11302913740
2020-07-16,11233570710
2020-07-17,11494940589
2020-07-20,11270909265
2020-07-21,11452267956
2020-07-22,11873660210
2020-07-23,11521610985
2020-07-24,11217568473
2020-07-27,11078882415
2020-07-28,11046877940
2020-07-29,11425597560
2020-07-30,11553615460
2020-07-31,11580285856
2020-08-03,11734974152
2020-08-04,12108359693
2020-08-05,11927001001
2020-08-06,12108359693
2020-08-07,12204373118
2020-08-10,12337725097
2020-08-11,12412402205
2020-08-12,12449740759
2020-08-13,12279050226
2020-08-14,12231043513
2020-08-17,12369729572
2020-08-18,12257713909
2020-08-19,12327056938
2020-08-20,12327056938
2020-08-21,12012346268
2020-08-24,12263047988
2020-08-25,12215041276
2020-08-26,12151032326
2020-08-27,12343059176
2020-08-28,12257713909
2020-08-31,11916332843
2020-09-01,12465742996
2020-09-02,12583092738
2020-09-03,12225709434
2020-09-04,12204373118
2020-09-08,12417736284
2020-09-09,12679106163
2020-09-10,12668438005
2020-09-11,12833794458
2020-09-14,13233850395
2020-09-15,13559229224
2020-09-16,13388538691
2020-09-17,13052491704
2020-09-18,12700442479
2020-09-21,12273716147
2020-09-22,12407068126
2020-09-23,12167034563
2020-09-24,12284384305
2020-09-25,12567090500
2020-09-28,12903137488
2020-09-29,12476411155
2020-09-30,12534116979
2020-10-01,12721833751
2020-10-02,12904187185
2020-10-05,13006090576
2020-10-06,12791557123
2020-10-07,12721833751
2020-10-08,12882733840
2020-10-09,12678927060
2020-10-12,12802283795
2020-10-13,12716470414
2020-10-14,12700380405
2020-10-15,12839827150
2020-10-16,12700380405
2020-10-19,12416123580
2020-10-20,12480483616
2020-10-21,12566296997
2020-10-22,12818373804
2020-10-23,12931003867
2020-10-26,12544843652
2020-10-27,12137230092
2020-10-28,12088960065
2020-10-29,12469756944
2020-10-30,12308856854
2020-11-02,12678927060
2020-11-03,12829100477
2020-11-04,13129447311
2020-11-05,12941730540
2020-11-06,12861280495
2020-11-09,12775467114
2020-11-10,13558514216
2020-11-11,13622874252
2020-11-12,13354707436
2020-11-13,13842771041
2020-11-16,14051941158
2020-11-17,14175297893
2020-11-18,13842771041
2020-11-19,13874951059
2020-11-20,13874951059
2020-11-23,13992944458
2020-11-24,14003671131
2020-11-25,13676507616
2020-11-27,13773047669
2020-11-30,13563877553
2020-12-01,13687234288
2020-12-02,13574604225
2020-12-03,13976854449
2020-12-04,13896404405
2020-12-07,13783774342
2020-12-08,13719414306
2020-12-09,13644327598
2020-12-10,13638964261
2020-12-11,13756957660
2020-12-14,13612147580
2020-12-15,14003671131
2020-12-16,13971491113
2020-12-17,14266474611
2020-12-18,13832044369
2020-12-21,13783774342
2020-12-22,13907131077
2020-12-23,13896404405
2020-12-24,13880314396
2020-12-28,13832044369
2020-12-29,13547787544
2020-12-30,13767684333
2020-12-31,13680252877
2021-01-04,13224244448
2021-01-05,13395918209
2021-01-06,13428107040
2021-01-07,13358364574
2021-01-08,13771454563
2021-01-11,13594415996
2021-01-12,13535403141
2021-01-13,13556862361
2021-01-14,13583686386
2021-01-15,13497849505
2021-01-19,13610510411
2021-01-20,14146990916
2021-01-21,14082613256
2021-01-22,14157720526
2021-01-25,14082613256
2021-01-26,13986046765
2021-01-27,13277892498
2021-01-28,13868021054
2021-01-29,13562227166
2021-02-01,14109437281
2021-02-02,14361583118
2021-02-03,14291840653
2021-02-04,14372312728
2021-02-05,14458149609
2021-02-08,14340123898
2021-02-09,14291840653
2021-02-10,14479608829
2021-02-11,14506432855
2021-02-12,14624458566
2021-02-16,14581540125
2021-02-17,14651282591
2021-02-18,14549351295
2021-02-19,14999994919
2021-02-22,15241411147
2021-02-23,15182398291
2021-02-24,15278964782
2021-02-25,15128750241
2021-02-26,15289694392
2021-03-01,15488192179
2021-03-02,15278964782
2021-03-03,15659865940
2021-03-04,15370166468
2021-03-05,15675960356
2021-03-08,15311153612
2021-03-09,15418449713
2021-03-10,15434544128
2021-03-11,15321883222
2021-03-12,15300424002
2021-03-15,15482827374
2021-03-16,15080466995
2021-03-17,15552569839
2021-03-18,15016089334
2021-03-19,15037548555
2021-03-22,15128750241
2021-03-23,14940982064
2021-03-24,14447419999
2021-03-25,14640552981
2021-03-26,14828321158
2021-03-29,14898063623
2021-03-30,15134115046
2021-03-31,15156186796
2021-04-01,15478202096
2021-04-05,15553338999
2021-04-06,15607008216
2021-04-07,15644576668
2021-04-08,15628475903
2021-04-09,15397698271
2021-04-12,15370863662
2021-04-13,15789483553
2021-04-14,15472835174
2021-04-15,15805584318
2021-04-16,16068563479
2021-04-19,16030995028
2021-04-20,16181268835
2021-04-21,16385211858
2021-04-22,16417413388
2021-04-23,16530118743
2021-04-26,16589154881
2021-04-27,16712594080
2021-04-28,16889702495
2021-04-29,17045343223
2021-04-30,17013141693
2021-05-03,17200983952
2021-05-04,17007774772
2021-05-05,16750162532
2021-05-06,16567687195
2021-05-07,16852134043
2021-05-10,16787730983
2021-05-11,16454981840
2021-05-12,15912922751
2021-05-13,16143700383
2021-05-14,16567687195
2021-05-17,16739428688
2021-05-18,16530118743
2021-05-19,16465715683
2021-05-20,16744795610
2021-05-21,16632090255
2021-05-24,16846767122
2021-05-25,16825299435
2021-05-26,16852134043
2021-05-27,16573054116
2021-05-28,16707227158
2021-06-01,16997040928
2021-06-02,17061443988
2021-06-03,17034609380
2021-06-04,17061443988
2021-06-07,17329790072
2021-06-08,17785978414
2021-06-09,17522999252
2021-06-10,17619603842
2021-06-11,17603503077
2021-06-14,17614236920
2021-06-15,17512265409
2021-06-16,17517632330
2021-06-17,17351257759
2021-06-18,16750162532
2021-06-21,17190250109
2021-06-22,17120480127
2021-06-23,16819932513
2021-06-24,16696493315
2021-06-25,17109746283
2021-06-28,16809198670
2021-06-29,16658924863
2021-06-30,17220867525
2021-07-01,17248625210
2021-07-02,17259728284
2021-07-06,17159800619
2021-07-07,17098733713
2021-07-08,17043218344
2021-07-09,17454032076
2021-07-12,17687196627
2021-07-13,17370759022
2021-07-14,17359655948
2021-07-15,17415171318
2021-07-16,17287485968
2021-07-19,16865569162
2021-07-20,17581717425
2021-07-21,17776021217
2021-07-22,17537305130
2021-07-23,17742711996
2021-07-26,17515098982
2021-07-27,17620578184
2021-07-28,17470686687
2021-07-29,17204212915
2021-07-30,17315243653
2021-08-02,17037666807
2021-08-03,16798950719
2021-08-04,16754538424
2021-08-05,17004357585
2021-08-06,16871120699
2021-08-09,16771193035
2021-08-10,16538028484
2021-08-11,16843363015
2021-08-12,16776744572
2021-08-13,16671265370
2021-08-16,16682368444
2021-08-17,16593543853
2021-08-18,16493616189
2021-08-19,16249348564
2021-08-20,16266003175
2021-08-23,16327070081
2021-08-24,16360379303
2021-08-25,16488064652
2021-08-26,16671265370
2021-08-27,16943290679
2021-08-30,17070976029
2021-08-31,17159800619
2021-09-01,17409619781
2021-09-02,17587268962
2021-09-03,17781572754
2021-09-07,17531753593
2021-09-08,17626129721
2021-09-09,16587992316
2021-09-10,16504719263
2021-09-13,16626853075
2021-09-14,16610198464
2021-09-15,16726780739
2021-09-16,16654610760
2021-09-17,16415894672
2021-09-20,16338173155
2021-09-21,16277106249
2021-09-22,16587992316
2021-09-23,16665713833
2021-09-24,16504719263
2021-09-27,16304863934
2021-09-28,15894050201
2021-09-29,16027287088
2021-09-30,17859457024
2021-10-01,18312072619
2021-10-04,18274354652
2021-10-05,18142341771
2021-10-06,18557239399
2021-10-07,18613816349
2021-10-08,18374935896
2021-10-11,18412653862
2021-10-12,18664106970
2021-10-13,18796119852
2021-10-14,18890414768
2021-10-15,18902987423
2021-10-18,18959564373
2021-10-19,18934419062
2021-10-20,19016141322
2021-10-21,18934419062
2021-10-22,18972137028
2021-10-25,18978423356
2021-10-26,18972137028
2021-10-27,18695538609
2021-10-28,18858983130
2021-10-29,18450371828
2021-11-01,18569812055
2021-11-02,18563525727
2021-11-03,18676679626
2021-11-04,18330931602
2021-11-05,18695538609
2021-11-08,18601243693
2021-11-09,18381222224
2021-11-10,18180059737
2021-11-11,18318358946
2021-11-12,18066905838
2021-11-15,18582384710
2021-11-16,18456658156
2021-11-17,18337217930
2021-11-18,18387508551
2021-11-19,17890888662
2021-11-22,17721157814
2021-11-23,17765162108
2021-11-24,17878316007
2021-11-26,17482277361
2021-11-29,17683439848
2021-11-30,17098811371
2021-12-01,16815926624
2021-12-02,17230824253
2021-12-03,17105097698
2021-12-06,17394268773
2021-12-07,17727444142
2021-12-08,18104623804
2021-12-09,17909747645
2021-12-10,17828025385
2021-12-13,17727444142
2021-12-14,17381696118
2021-12-15,17425700412
2021-12-16,17325119168
2021-12-17,17362837135
2021-12-20,17281114874
2021-12-21,17972610922
2021-12-22,17978897250
2021-12-23,18167487081
2021-12-27,18406367534
2021-12-28,18374935896
2021-12-29,18513235105
2021-12-30,18821265163
2021-12-31,20605508864
2022-01-03,20496014297
2022-01-04,20632882506
2022-01-05,19866420536
2022-01-06,19839046894
2022-01-07,19537936834
2022-01-10,19647431401
2022-01-11,19818516663
2022-01-12,19715865506
2022-01-13,19435285678
2022-01-14,19531093424
2022-01-18,19229983364
2022-01-19,19024681051
2022-01-20,18867282610
2022-01-21,18600389603
2022-01-24,18819378737
2022-01-25,18969933767
2022-01-26,18819378737
2022-01-27,18880969431
2022-01-28,19318947700
2022-01-31,19585840707
2022-02-01,19647431401
2022-02-02,19688491864
2022-02-03,19380538394
2022-02-04,19257357006
2022-02-07,19284730648
2022-02-08,19271043827
2022-02-09,19750082558
2022-02-10,19414755446
2022-02-11,19332634521
2022-02-14,19271043827
2022-02-15,19750082558
2022-02-16,19695335275
2022-02-17,19099958565
2022-02-18,19106801976
2022-02-22,18689353938
2022-02-23,18456677983
2022-02-24,18839908968
2022-02-25,19209453133
2022-02-28,19134175618
2022-03-01,19099958565
2022-03-02,19715865506
2022-03-03,19531093424
2022-03-04,19072584924
2022-03-07,18326653185
2022-03-08,18381400468
2022-03-09,18798848506
2022-03-10,18716727580
2022-03-11,18566172550
2022-03-14,18319809774
2022-03-15,18463521394
2022-03-16,18675667118
2022-03-17,19031524461
2022-03-18,18846752379
2022-03-21,18388243879
2022-03-22,18894656252
2022-03-23,18579859371
2022-03-24,18573015961
2022-03-25,18696197349
2022-03-28,19065741513
2022-03-29,19770612790
2022-03-30,19804829842
2022-03-31,25515695744
2022-04-01,25928106849
2022-04-04,25497764827
2022-04-05,25354317486
2022-04-06,25632246709
2022-04-07,24923975464
2022-04-08,25318455651
2022-04-11,25237766522
2022-04-12,25336386568
2022-04-13,25847417720
2022-04-14,26080519649
2022-04-18,26430172542
2022-04-19,26824652729
2022-04-20,27048789199
2022-04-21,27003961905
2022-04-22,26609481718
2022-04-25,26923272776
2022-04-26,26501896212
2022-04-27,26510861671
2022-04-28,27470165763
2022-04-29,26726032682
2022-05-02,26044657814
2022-05-03,26833618188
2022-05-04,27479131222
2022-05-05,26681205388
2022-05-06,25928106849
2022-05-09,24439840688
2022-05-10,23919844078
2022-05-11,24493633441
2022-05-12,24601218947
2022-05-13,25757763132
2022-05-16,26017761437
2022-05-17,26483965295
2022-05-18,26188105154
2022-05-19,26259828825
2022-05-20,25955003226
2022-05-23,26152243319
2022-05-24,25963968684
2022-05-25,26600516259
2022-05-26,26950169152
2022-05-27,27676371315
2022-05-31,27658440398
2022-06-01,27622578562
2022-06-02,28169471549
