,VTRS
2000-05-24,3396239816
2000-05-25,3488811941
2000-05-26,3454097394
2000-05-30,3439633000
2000-05-31,3448311636
2000-06-01,3430954363
2000-06-02,3448311636
2000-06-05,3494597699
2000-06-06,3439633000
2000-06-07,3237131477
2000-06-08,3037522834
2000-06-09,2224623866
2000-06-12,2305624475
2000-06-13,2305624475
2000-06-14,2241981139
2000-06-15,2337446143
2000-06-16,2331660385
2000-06-19,2265124170
2000-06-20,2250659776
2000-06-21,2250659776
2000-06-22,2224623866
2000-06-23,2187016440
2000-06-26,2201480835
2000-06-27,2224623866
2000-06-28,2192802198
2000-06-29,2296945838
2000-06-30,2346124779
2000-07-03,2253378600
2000-07-05,2337564600
2000-07-06,2331952200
2000-07-07,2402107200
2000-07-10,2455425000
2000-07-11,2368432800
2000-07-12,2354401800
2000-07-13,2385270000
2000-07-14,2306696400
2000-07-17,2486293200
2000-07-18,2486293200
2000-07-19,2494711800
2000-07-20,2455425000
2000-07-21,2463843600
2000-07-24,2674308600
2000-07-25,2727626400
2000-07-26,2604153600
2000-07-27,2727626400
2000-07-28,2665890000
2000-07-31,2649052800
2000-08-01,2665890000
2000-08-02,2727626400
2000-08-03,2828649600
2000-08-04,2837068200
2000-08-07,2845486800
2000-08-08,2806200000
2000-08-09,2828649600
2000-08-10,2963347200
2000-08-11,3305703600
2000-08-14,3249579600
2000-08-15,3156975000
2000-08-16,3227130000
2000-08-17,3336571800
2000-08-18,3266416800
2000-08-21,3274835400
2000-08-22,3420757800
2000-08-23,3314122200
2000-08-24,3420757800
2000-08-25,3406726800
2000-08-28,3350602800
2000-08-29,3266416800
2000-08-30,3367440000
2000-08-31,3314122200
2000-09-01,3384277200
2000-09-05,3429176400
2000-09-06,3297285000
2000-09-07,3485300400
2000-09-08,3446013600
2000-09-11,3446013600
2000-09-12,3437595000
2000-09-13,3389889600
2000-09-14,3328153200
2000-09-15,3297285000
2000-09-18,3243967200
2000-09-19,3086820000
2000-09-20,3344990400
2000-09-21,3328153200
2000-09-22,3359021400
2000-09-25,3314122200
2000-09-26,3389889600
2000-09-27,3468463200
2000-09-28,3415145400
2000-09-29,3359021400
2000-10-02,3501828517
2000-10-03,3470938290
2000-10-04,3409157835
2000-10-05,3493403910
2000-10-06,3417582442
2000-10-09,3369843000
2000-10-10,3563608972
2000-10-11,3518677732
2000-10-12,3448472670
2000-10-13,3386692215
2000-10-16,3563608972
2000-10-17,3681553477
2000-10-18,3650663250
2000-10-19,3602923807
2000-10-20,3743333932
2000-10-23,3689978085
2000-10-24,3409157835
2000-10-25,3352993785
2000-10-26,3423198847
2000-10-27,3409157835
2000-10-30,3532718745
2000-10-31,3493403910
2000-11-01,3597307402
2000-11-02,3667512465
2000-11-03,3588882795
2000-11-06,3743333932
2000-11-07,3681553477
2000-11-08,3729292920
2000-11-09,3659087857
2000-11-10,3541143352
2000-11-13,3400733227
2000-11-14,3479362897
2000-11-15,3456897277
2000-11-16,3417582442
2000-11-17,3423198847
2000-11-20,3277172317
2000-11-21,2869982955
2000-11-22,2808202500
2000-11-24,2839092727
2000-11-27,2886832170
2000-11-28,2878407562
2000-11-29,2886832170
2000-11-30,2987927460
2000-12-01,3190118040
2000-12-04,3080598142
2000-12-05,3190118040
2000-12-06,3268747710
2000-12-07,3277172317
2000-12-08,3361418392
2000-12-11,3330528165
2000-12-12,3176077027
2000-12-13,3198542647
2000-12-14,3142378597
2000-12-15,3136762192
2000-12-18,3150803205
2000-12-19,3212583660
2000-12-20,3142378597
2000-12-21,3159227812
2000-12-22,3229432875
2000-12-26,3198542647
2000-12-27,3181693432
2000-12-28,3181693432
2000-12-29,3142378597
2001-01-02,3086077657
2001-01-03,2914472610
2001-01-04,2759746747
2001-01-05,2650032045
2001-01-08,2734427970
2001-01-09,2790691920
2001-01-10,2672537625
2001-01-11,2725988377
2001-01-12,2734427970
2001-01-16,2936978190
2001-01-17,2861021857
2001-01-18,2821637092
2001-01-19,2773812735
2001-01-22,2711922390
2001-01-23,2765373142
2001-01-24,2773812735
2001-01-25,2782252327
2001-01-26,2835703080
2001-01-29,2917285807
2001-01-30,2928538597
2001-01-31,2920099005
2001-02-01,2920099005
2001-02-02,2908846215
2001-02-05,2894780227
2001-02-06,2858208660
2001-02-07,2816010697
2001-02-08,2875087845
2001-02-09,2889153832
2001-02-12,2967923362
2001-02-13,2948230980
2001-02-14,2920099005
2001-02-15,2939791387
2001-02-16,2903219820
2001-02-20,2897593425
2001-02-21,2880714240
2001-02-22,2880714240
2001-02-23,2779439130
2001-02-26,2922912202
2001-02-27,2838516277
2001-02-28,2925725400
2001-03-01,2832889882
2001-03-02,2936978190
2001-03-05,2852582265
2001-03-06,2849769067
2001-03-07,2790691920
2001-03-08,2745680760
2001-03-09,2756933550
2001-03-12,2624713267
2001-03-13,2844142672
2001-03-14,2768186340
2001-03-15,2751307155
2001-03-16,2700669600
2001-03-19,2818823895
2001-03-20,2824450289
2001-03-21,2734427970
2001-03-22,2630339662
2001-03-23,2748493957
2001-03-26,2756933550
2001-03-27,2894780227
2001-03-28,3122649225
2001-03-29,3128275620
2001-03-30,3232363927
2001-04-02,3041066497
2001-04-03,3004494930
2001-04-04,3060758880
2001-04-05,3145154805
2001-04-06,3083264460
2001-04-09,3091704052
2001-04-10,3074824867
2001-04-11,3024187312
2001-04-12,3156407595
2001-04-16,3091704052
2001-04-17,3105770039
2001-04-18,3156407595
2001-04-19,3229550730
2001-04-20,3257682705
2001-04-23,3223924335
2001-04-24,3187352767
2001-04-25,3246429914
2001-04-26,3285814680
2001-04-27,3263309100
2001-04-30,3342078630
2001-05-01,3333639037
2001-05-02,3311133457
2001-05-03,3263309100
2001-05-04,3364584210
2001-05-07,3316759852
2001-05-08,3539002455
2001-05-09,3547442047
2001-05-10,3581200417
2001-05-11,3479925307
2001-05-14,3488364900
2001-05-15,3488364900
2001-05-16,3513683677
2001-05-17,3623398380
2001-05-18,3612145590
2001-05-21,3657156750
2001-05-22,3738739477
2001-05-23,3814695810
2001-05-24,3831574995
2001-05-25,3795003427
2001-05-29,3904718130
2001-05-30,3859706970
2001-05-31,3977861265
2001-06-01,3927223710
2001-06-04,3873772957
2001-06-05,3862520167
2001-06-06,3769684650
2001-06-07,3789377032
2001-06-08,3738739477
2001-06-11,3235177125
2001-06-12,3229550730
2001-06-13,3170473582
2001-06-14,3190165965
2001-06-15,3150781200
2001-06-18,3139528410
2001-06-19,3263309100
2001-06-20,3401155777
2001-06-21,3561508035
2001-06-22,3443353740
2001-06-25,3440540542
2001-06-26,3437727345
2001-06-27,3539002455
2001-06-28,3631837972
2001-06-29,3516496875
2001-07-02,3548654460
2001-07-03,3574042290
2001-07-05,3559937940
2001-07-06,3551475330
2001-07-09,3593788380
2001-07-10,3585325770
2001-07-11,3641743170
2001-07-12,3636101430
2001-07-13,3636101430
2001-07-16,3599430120
2001-07-17,3681235350
2001-07-18,3650205780
2001-07-19,3647384910
2001-07-20,3695339700
2001-07-23,3861771030
2001-07-24,3760219710
2001-07-25,4025381490
2001-07-26,4025381490
2001-07-27,4124111940
2001-07-30,4211558910
2001-07-31,4231305000
2001-08-01,4208738040
2001-08-02,4118470200
2001-08-03,4124111940
2001-08-06,4225663260
2001-08-07,4279259790
2001-08-08,4248230220
2001-08-09,4138216290
2001-08-10,4129753680
2001-08-13,4126932810
2001-08-14,4236946740
2001-08-15,4279259790
2001-08-16,4287722400
2001-08-17,4338498060
2001-08-20,4191812820
2001-08-21,4262334570
2001-08-22,4234125870
2001-08-23,4380811110
2001-08-24,4451332860
2001-08-27,4468258080
2001-08-28,4377990240
2001-08-29,4318751970
2001-08-30,4242588479
2001-08-31,4135395420
2001-09-04,4152320640
2001-09-05,4191812820
2001-09-06,4163604120
2001-09-07,4149499770
2001-09-10,4115649330
2001-09-17,3977426700
2001-09-18,3943576260
2001-09-19,3743294490
2001-09-20,3678414479
2001-09-21,3703802310
2001-09-24,3743294490
2001-09-25,3949218000
2001-09-26,3957680610
2001-09-27,3971784960
2001-09-28,4090261500
2001-10-01,4231674751
2001-10-02,4290957720
2001-10-03,4403877660
2001-10-04,4372824676
2001-10-05,4420815651
2001-10-08,4471629624
2001-10-09,4434930643
2001-10-10,4429284646
2001-10-11,4505505606
2001-10-12,4386939669
2001-10-15,3997365876
2001-10-16,4178037780
2001-10-17,4144161798
2001-10-18,4127223807
2001-10-19,4245789743
2001-10-22,4296603717
2001-10-23,4209090763
2001-10-24,4251435741
2001-10-25,4389762667
2001-10-26,4604310553
2001-10-29,4643832532
2001-10-30,4609956550
2001-10-31,4626894541
2001-11-01,4607133552
2001-11-02,4629717540
2001-11-05,4700292502
2001-11-06,4471629624
2001-11-07,4364355681
2001-11-08,4257081738
2001-11-09,4234497750
2001-11-12,4279665726
2001-11-13,4019949864
2001-11-14,3932436910
2001-11-15,4028418859
2001-11-16,4014303867
2001-11-19,4180860778
2001-11-20,4251435741
2001-11-21,4293780718
2001-11-23,4307895711
2001-11-26,4358709684
2001-11-27,4347417690
2001-11-28,4330479699
2001-11-29,4310718709
2001-11-30,4324833702
2001-12-03,4327656700
2001-12-04,4358709684
2001-12-05,4358709684
2001-12-06,4375647675
2001-12-07,4364355681
2001-12-10,4392585666
2001-12-11,4355886685
2001-12-12,4367178679
2001-12-13,4415169654
2001-12-14,4525266595
2001-12-17,4626894541
2001-12-18,4689000508
2001-12-19,4674885516
2001-12-20,4689000508
2001-12-21,4694646505
2001-12-24,4736991483
2001-12-26,4728522487
2001-12-27,4691823507
2001-12-28,4756752472
2001-12-31,4705938499
2002-01-02,4559777280
2002-01-03,4491763200
2002-01-04,4443586560
2002-01-07,4488929280
2002-01-08,4505932800
2002-01-09,4542773760
2002-01-10,4534272000
2002-01-11,4556943359
2002-01-14,4531438080
2002-01-15,4511600640
2002-01-16,4488929280
2002-01-17,4486095360
2002-01-18,4471925760
2002-01-22,4514434560
2002-01-23,4545607680
2002-01-24,4296222720
2002-01-25,4216872960
2002-01-28,4180032000
2002-01-29,4140357120
2002-01-30,4126187520
2002-01-31,4242378240
2002-02-01,4301890560
2002-02-04,4137523200
2002-02-05,4231042560
2002-02-06,4168696320
2002-02-07,4046837760
2002-02-08,4185699840
2002-02-11,4185699840
2002-02-12,4245212160
2002-02-13,4245212160
2002-02-14,4194201600
2002-02-15,4182865920
2002-02-19,4078010880
2002-02-20,4012830720
2002-02-21,3978823679
2002-02-22,3947650560
2002-02-25,3950484480
2002-02-26,3961820160
2002-02-27,3973155840
2002-02-28,3825792000
2002-03-01,3854131200
2002-03-04,3876802560
2002-03-05,3851297280
2002-03-06,3967488000
2002-03-07,3896640000
2002-03-08,3803120640
2002-03-11,3811622400
2002-03-12,3828625920
2002-03-13,3905141760
2002-03-14,3990159360
2002-03-15,4004328960
2002-03-18,4029834240
2002-03-19,4035502080
2002-03-20,3998661120
2002-03-21,3950484480
2002-03-22,3930647040
2002-03-25,3828625920
2002-03-26,3774781440
2002-03-27,3777615360
2002-03-28,3709601280
2002-04-01,3641587200
2002-04-02,3627417600
2002-04-03,3539566080
2002-04-04,3525396480
2002-04-05,3451714560
2002-04-08,3431877120
2002-04-09,3488555520
2002-04-10,3627417600
2002-04-11,3576407040
2002-04-12,3514060800
2002-04-15,3514060800
2002-04-16,3514060800
2002-04-17,3412039679
2002-04-18,3426209280
2002-04-19,3446046720
2002-04-22,3431877120
2002-04-23,3468718080
2002-04-24,3497057280
2002-04-25,3457382400
2002-04-26,3400704000
2002-04-29,3355361280
2002-04-30,3335523840
2002-05-01,3363863040
2002-05-02,3293015040
2002-05-03,3329856000
2002-05-06,3216499200
2002-05-07,3168322560
2002-05-08,3434711040
2002-05-09,3400704000
2002-05-10,3372364800
2002-05-13,3366696960
2002-05-14,3480053760
2002-05-15,3559403520
2002-05-16,3516894720
2002-05-17,3667092480
2002-05-20,3803120640
2002-05-21,3794618880
2002-05-22,3808788480
2002-05-23,3922145280
2002-05-24,3820124160
2002-05-28,3873968640
2002-05-29,3808788480
2002-05-30,3842795520
2002-05-31,3896640000
2002-06-03,3760611840
2002-06-04,3791784960
2002-06-05,3797452800
2002-06-06,3766279679
2002-06-07,3834293760
2002-06-10,3907975679
2002-06-11,3746442240
2002-06-12,3777615360
2002-06-13,3769113600
2002-06-14,3899473920
2002-06-17,3978823679
2002-06-18,4018498560
2002-06-19,3998661120
2002-06-20,4001495040
2002-06-21,3865466880
2002-06-24,3831459840
2002-06-25,3737940480
2002-06-26,3760611840
2002-06-27,3885304320
2002-06-28,3947650560
2002-07-01,3785305590
2002-07-02,3641452695
2002-07-03,3678121079
2002-07-05,3850180425
2002-07-08,3759919785
2002-07-09,3649914630
2002-07-10,3486317220
2002-07-11,3697865595
2002-07-12,3649914630
2002-07-15,3647093985
2002-07-16,3655555920
2002-07-17,3759919785
2002-07-18,3655555920
2002-07-19,3661197210
2002-07-22,3491958510
2002-07-23,3446828190
2002-07-24,3508882380
2002-07-25,3632990760
2002-07-26,3720430755
2002-07-29,3881207520
2002-07-30,4005315900
2002-07-31,4067370090
2002-08-01,3937620420
2002-08-02,4067370090
2002-08-05,3900952035
2002-08-06,4039163640
2002-08-07,4123782990
2002-08-08,4253532660
2002-08-09,4168913310
2002-08-12,4149168795
2002-08-13,4036342995
2002-08-14,4180195890
2002-08-15,4202761050
2002-08-16,4214043630
2002-08-19,4230967500
2002-08-20,4132244925
2002-08-21,4171733954
2002-08-22,4230967500
2002-08-23,4199940405
2002-08-26,4171733954
2002-08-27,4073011380
2002-08-28,4013777835
2002-08-29,4115321055
2002-08-30,4092755895
2002-09-03,4010957190
2002-09-04,4154810085
2002-09-05,4050446220
2002-09-06,4129424280
2002-09-09,4194299115
2002-09-10,4219684920
2002-09-11,4197119760
2002-09-12,4112500410
2002-09-13,4112500410
2002-09-16,4092755895
2002-09-17,4027881060
2002-09-18,4087114605
2002-09-19,3979930095
2002-09-20,3977109450
2002-09-23,3875566230
2002-09-24,3895310745
2002-09-25,4061728800
2002-09-26,4140706860
2002-09-27,4030701704
2002-09-30,4104038475
2002-10-01,4056577740
2002-10-02,4062108180
2002-10-03,4109116920
2002-10-04,4028925540
2002-10-07,3932142840
2002-10-08,3970855920
2002-10-09,3865777560
2002-10-10,3871308000
2002-10-11,3970855920
2002-10-14,4048282080
2002-10-15,4031690760
2002-10-16,3868542780
2002-10-17,3785586180
2002-10-18,3727516560
2002-10-21,3816003600
2002-10-22,3716455680
2002-10-23,3686038260
2002-10-24,3639029520
2002-10-25,3699864360
2002-10-28,3746873100
2002-10-29,3796647060
2002-10-30,3882368880
2002-10-31,3868542780
2002-11-01,3945968940
2002-11-04,3945968940
2002-11-05,3981916800
2002-11-06,4017864660
2002-11-07,3932142840
2002-11-08,3992977680
2002-11-11,4026160320
2002-11-12,4034455980
2002-11-13,3893429760
2002-11-14,4084229940
2002-11-15,4145064780
2002-11-18,4128473460
2002-11-19,4037221200
2002-11-20,4059342960
2002-11-21,4092525600
2002-11-22,4216960500
2002-11-25,4214195280
2002-11-26,4175482200
2002-11-27,4192073520
2002-11-29,4145064780
2002-12-02,4145064780
2002-12-03,4081464720
2002-12-04,4045516860
2002-12-05,4070403840
2002-12-06,4059342960
2002-12-09,4034455980
2002-12-10,4067638620
2002-12-11,4084229940
2002-12-12,4070403840
2002-12-13,4042751640
2002-12-16,4059342960
2002-12-17,4089760380
2002-12-18,4084229940
2002-12-19,4103586480
2002-12-20,4228021380
2002-12-23,4233551820
2002-12-24,4205899620
2002-12-26,4214195280
2002-12-27,4131238680
2002-12-30,4228021380
2002-12-31,4288856220
2003-01-02,4261377285
2003-01-03,4412700765
2003-01-06,4561322040
2003-01-07,4612663935
2003-01-08,4642388190
2003-01-09,4642388190
2003-01-10,4593748500
2003-01-13,4582939680
2003-01-14,4650494805
2003-01-15,4658601420
2003-01-16,4696432290
2003-01-17,4736965365
2003-01-21,4634281575
2003-01-22,4707241110
2003-01-23,4731560955
2003-01-24,4726156545
2003-01-27,4631579370
2003-01-28,4728858750
2003-01-29,4820733720
2003-01-30,4682921265
2003-01-31,4812627105
2003-02-03,4788307260
2003-02-04,4677516855
2003-02-05,4672112445
2003-02-06,4701836700
2003-02-07,4704538905
2003-02-10,4882884435
2003-02-11,4999079250
2003-02-12,4945035150
2003-02-13,4801818285
2003-02-14,4796413875
2003-02-18,5058527760
2003-02-19,4974759405
2003-02-20,4955843970
2003-02-21,4980163815
2003-02-24,4980163815
2003-02-25,4936928535
2003-02-26,4880182230
2003-02-27,5031505710
2003-02-28,5142296115
2003-03-03,5077443195
2003-03-04,5047718940
2003-03-05,5034207915
2003-03-06,5042314530
2003-03-07,5026101300
2003-03-10,4936928535
2003-03-11,4823435925
2003-03-12,4828840335
2003-03-13,4963950585
2003-03-14,4980163815
2003-03-17,5142296115
2003-03-18,5196340215
2003-03-19,5196340215
2003-03-20,5207149035
2003-03-21,5199042420
2003-03-24,5004483660
2003-03-25,5228766675
2003-03-26,5209851240
2003-03-27,5188233600
2003-03-28,5231468880
2003-03-31,5180126985
2003-04-01,5315237235
2003-04-02,5369281335
2003-04-03,5371983540
2003-04-04,5380090155
2003-04-07,5223362265
2003-04-08,5242277700
2003-04-09,5131487295
2003-04-10,5131487295
2003-04-11,4839649155
2003-04-14,4863969000
2003-04-15,4915310895
2003-04-16,4736965365
2003-04-17,4723454340
2003-04-21,4715347725
2003-04-22,4758583005
2003-04-23,4780200645
2003-04-24,4791009465
2003-04-25,4839649155
2003-04-28,5034207915
2003-04-29,5012590275
2003-04-30,5093656425
2003-05-01,5126082885
2003-05-02,5217957855
2003-05-05,5182829190
2003-05-06,5266597545
2003-05-07,5272001955
2003-05-08,4947737355
2003-05-09,4969354995
2003-05-12,5007185865
2003-05-13,5047718940
2003-05-14,5099060835
2003-05-15,5120678475
2003-05-16,5045016735
2003-05-19,5066634375
2003-05-20,5053123350
2003-05-21,5131487295
2003-05-22,5242277700
2003-05-23,5217957855
2003-05-27,5331450465
2003-05-28,5242277700
2003-05-29,5147700525
2003-05-30,5201744625
2003-06-02,5288215185
2003-06-03,5169318165
2003-06-04,5250384315
2003-06-05,5580053325
2003-06-06,5509795995
2003-06-09,5382792360
2003-06-10,5431432050
2003-06-11,5728674600
2003-06-12,5952957615
2003-06-13,6115089915
2003-06-16,6369097185
2003-06-17,6366394980
2003-06-18,6174538425
2003-06-19,5963766435
2003-06-20,6120494325
2003-06-23,6079961250
2003-06-24,6179942835
2003-06-25,6152920785
2003-06-26,6301542060
2003-06-27,6358288365
2003-06-30,6263711190
2003-07-01,6181498440
2003-07-02,6197617080
2003-07-03,6321193320
2003-07-07,6339998400
2003-07-08,6251345880
2003-07-09,6181498440
2003-07-10,6063295080
2003-07-11,6041803560
2003-07-14,5966583240
2003-07-15,5816142600
2003-07-16,5894049360
2003-07-17,5775846000
2003-07-18,5816142600
2003-07-21,5676447720
2003-07-22,5568990120
2003-07-23,5757040920
2003-07-24,5794651080
2003-07-25,5840320560
2003-07-28,5937032400
2003-07-29,5910168000
2003-07-30,5856439200
2003-07-31,6047176440
2003-08-01,6009566280
2003-08-04,6143888280
2003-08-05,6036430680
2003-08-06,5934345960
2003-08-07,6117023880
2003-08-08,6114337440
2003-08-11,6143888280
2003-08-12,6251345880
2003-08-13,6178812000
2003-08-14,6205676400
2003-08-15,6251345880
2003-08-18,6256718760
2003-08-19,6423278040
2003-08-20,6439396680
2003-08-21,6708040680
2003-08-22,6675803400
2003-08-25,6530735640
2003-08-26,6479693280
2003-08-27,6428650920
2003-08-28,6444769560
2003-08-29,6519989880
2003-09-02,6514617000
2003-09-03,6482379720
2003-09-04,6482379720
2003-09-05,6544167840
2003-09-08,6713413560
2003-09-09,6896091480
2003-09-10,6976684680
2003-09-11,6933701640
2003-09-12,6984744000
2003-09-15,7076082960
2003-09-16,7172794800
2003-09-17,7153989720
2003-09-18,7213091400
2003-09-19,7213091400
2003-09-22,7025040600
2003-09-23,7014294840
2003-09-24,6882659280
2003-09-25,6689235600
2003-09-26,6729532200
2003-09-29,6815498280
2003-09-30,6922955880
2003-10-01,6982560000
2003-10-02,7412256000
2003-10-03,7506252000
2003-10-06,7500880800
2003-10-07,7546536000
2003-10-08,7482081600
2003-10-09,7506252000
2003-10-10,7522365600
2003-10-13,7562649600
2003-10-14,7559964000
2003-10-15,7514308800
2003-10-16,7447168800
2003-10-17,7253805600
2003-10-20,7280661600
2003-10-21,7530422400
2003-10-22,7358544000
2003-10-23,7414941600
2003-10-24,7358544000
2003-10-27,7033586400
2003-10-28,6912734400
2003-10-29,6633432000
2003-10-30,6601204800
2003-10-31,6485724000
2003-11-03,6407841600
2003-11-04,6351444000
2003-11-05,6542121600
2003-11-06,6568977600
2003-11-07,6593148000
2003-11-10,6445440000
2003-11-11,6029172000
2003-11-12,6311160000
2003-11-13,6136596000
2003-11-14,6198364800
2003-11-17,6160766400
2003-11-18,6184936800
2003-11-19,6203736000
2003-11-20,6278932800
2003-11-21,6209107200
2003-11-24,6370243200
2003-11-25,6628060800
2003-11-26,6888564000
2003-11-28,6799939200
2003-12-01,7006730400
2003-12-02,6880507200
2003-12-03,6880507200
2003-12-04,6880507200
2003-12-05,6834852000
2003-12-08,6915420000
2003-12-09,6869764800
2003-12-10,6687144000
2003-12-11,6770397600
2003-12-12,6767712000
2003-12-15,6810681600
2003-12-16,6762340800
2003-12-17,6888564000
2003-12-18,6912734400
2003-12-19,6826795200
2003-12-22,6711314400
2003-12-23,6711314400
2003-12-24,6714000000
2003-12-26,6754284000
2003-12-29,6783825600
2003-12-30,6783825600
2003-12-31,6783825600
2004-01-02,6746051360
2004-01-05,6619831450
2004-01-06,6469441770
2004-01-07,6515095780
2004-01-08,6525837900
2004-01-09,6641315690
2004-01-12,6619831450
2004-01-13,6622516980
2004-01-14,6721881590
2004-01-15,6662799930
2004-01-16,6609089330
2004-01-20,6861529150
2004-01-21,6826617260
2004-01-22,6848101500
2004-01-23,6915239750
2004-01-26,6934038460
2004-01-27,6883013390
2004-01-28,6719196060
2004-01-29,6584919560
2004-01-30,6550007670
2004-02-02,6539265550
2004-02-03,6633259100
2004-02-04,6579548500
2004-02-05,6625202510
2004-02-06,6708453940
2004-02-09,6807818550
2004-02-10,6831988320
2004-02-11,6617145920
2004-02-12,6606403800
2004-02-13,6528523430
2004-02-17,6560749790
2004-02-18,6498982600
2004-02-19,6421102230
2004-02-20,6364706100
2004-02-23,6329794210
2004-02-24,6278769140
2004-02-25,6324423150
2004-02-26,6211630890
2004-02-27,6310995500
2004-03-01,6359335040
2004-03-02,6289511260
2004-03-03,6337850800
2004-03-04,6372762690
2004-03-05,6488240480
2004-03-08,6378133750
2004-03-09,6310995500
2004-03-10,6176719000
2004-03-11,6157920290
2004-03-12,6251913840
2004-03-15,6053184620
2004-03-16,6053184620
2004-03-17,6195517710
2004-03-18,5951134480
2004-03-19,6037071440
2004-03-22,5961876600
2004-03-23,6007530610
2004-03-24,6268027020
2004-03-25,6208945360
2004-03-26,6243857250
2004-03-29,6190146650
2004-03-30,6088096510
2004-03-31,6104209690
2004-04-01,6219687480
2004-04-02,6268027020
2004-04-05,6375448220
2004-04-06,6370077160
2004-04-07,6359335040
2004-04-08,6265341490
2004-04-12,6364706100
2004-04-13,6174033470
2004-04-14,6187461120
2004-04-15,6230429600
2004-04-16,6117637340
2004-04-19,6136436050
2004-04-20,6340536330
2004-04-21,6404989050
2004-04-22,6533894490
2004-04-23,6528523430
2004-04-26,6558064260
2004-04-27,6603718270
2004-04-28,6552693200
2004-04-29,6297567850
2004-04-30,6152549230
2004-05-03,6225058540
2004-05-04,6147178170
2004-05-05,6195517710
2004-05-06,6155234760
2004-05-07,6010216140
2004-05-10,5886681760
2004-05-11,6066612270
2004-05-12,6351278450
2004-05-13,6445272000
2004-05-14,6496297070
2004-05-17,6421102230
2004-05-18,6453328590
2004-05-19,6498982600
2004-05-20,6302938910
2004-05-21,6098838630
2004-05-24,5988731900
2004-05-25,6090782040
2004-05-26,6045128030
2004-05-27,5951134480
2004-05-28,5991417430
2004-06-01,6066612270
2004-06-02,6082725450
2004-06-03,6015587200
2004-06-04,6045128030
2004-06-07,6098838630
2004-06-08,6090782040
2004-06-09,6039756970
2004-06-10,6098838630
2004-06-14,6031700380
2004-06-15,6007530610
2004-06-16,5994102960
2004-06-17,5921593650
2004-06-18,6010216140
2004-06-21,6015587200
2004-06-22,6020958260
2004-06-23,5602015580
2004-06-24,5677210420
2004-06-25,5653040650
2004-06-28,5411342950
2004-06-29,5411342950
2004-06-30,5438198250
2004-07-01,5507993600
2004-07-02,5438067900
2004-07-06,5397726150
2004-07-07,5370831650
2004-07-08,5300905950
2004-07-09,5306284850
2004-07-12,5274011450
2004-07-13,5255185300
2004-07-14,5209464650
2004-07-15,5233669700
2004-07-16,5236359150
2004-07-19,5230980250
2004-07-20,5244427500
2004-07-21,5096507750
2004-07-22,5061544900
2004-07-23,4978171950
2004-07-26,4171336950
2004-07-27,3966938750
2004-07-28,3991143800
2004-07-29,3988454350
2004-07-30,3985764900
2004-08-02,3950802050
2004-08-03,4130995200
2004-08-04,4208989250
2004-08-05,4168647500
2004-08-06,4069137850
2004-08-09,4028796100
2004-08-10,4136374100
2004-08-11,4168647500
2004-08-12,4268157150
2004-08-13,4303120000
2004-08-16,4383803500
2004-08-17,4130995200
2004-08-18,4190163100
2004-08-19,4625854000
2004-08-20,4542481050
2004-08-23,4615096200
