,MOS
2001-01-08,1767880000
2001-01-09,1710630000
2001-01-10,1724370000
2001-01-11,1717500000
2001-01-12,1695745000
2001-01-16,1695745000
2001-01-17,1739255000
2001-01-18,1695745000
2001-01-19,1717500000
2001-01-22,1746125000
2001-01-23,1853755000
2001-01-24,1761010000
2001-01-25,1752995000
2001-01-26,1724370000
2001-01-29,1731240000
2001-01-30,1813680000
2001-01-31,1811390000
2001-02-01,1810245000
2001-02-02,1805665000
2001-02-05,1814825000
2001-02-06,1853755000
2001-02-07,1842305000
2001-02-08,1835435000
2001-02-09,1811390000
2001-02-12,1788490000
2001-02-13,1744980000
2001-02-14,1723225000
2001-02-15,1698035000
2001-02-16,1637350000
2001-02-20,1637350000
2001-02-21,1570940000
2001-02-22,1605290000
2001-02-23,1660250000
2001-02-26,1636205000
2001-02-27,1585825000
2001-02-28,1574375000
2001-03-01,1545750000
2001-03-02,1603000000
2001-03-05,1568650000
2001-03-06,1604145000
2001-03-07,1597275000
2001-03-08,1612160000
2001-03-09,1599565000
2001-03-12,1586970000
2001-03-13,1505675000
2001-03-14,1499950000
2001-03-15,1481630000
2001-03-16,1451860000
2001-03-19,1521705000
2001-03-20,1490790000
2001-03-21,1425525000
2001-03-22,1428960000
2001-03-23,1417510000
2001-03-26,1502240000
2001-03-27,1522850000
2001-03-28,1477050000
2001-03-29,1479340000
2001-03-30,1408350000
2001-04-02,1458730000
2001-04-03,1459875000
2001-04-04,1471325000
2001-04-05,1474760000
2001-04-06,1450715000
2001-04-09,1486210000
2001-04-10,1522850000
2001-04-11,1480485000
2001-04-12,1488500000
2001-04-16,1530865000
2001-04-17,1493080000
2001-04-18,1498805000
2001-04-19,1493080000
2001-04-20,1434685000
2001-04-23,1374000000
2001-04-24,1443845000
2001-04-25,1400335000
2001-04-26,1391175000
2001-04-27,1384305000
2001-04-30,1374000000
2001-05-01,1319040000
2001-05-02,1372855000
2001-05-03,1343085000
2001-05-04,1355680000
2001-05-07,1293850000
2001-05-08,1285835000
2001-05-09,1328200000
2001-05-10,1268660000
2001-05-11,1253775000
2001-05-14,1252630000
2001-05-15,1264080000
2001-05-16,1339650000
2001-05-17,1322475000
2001-05-18,1305300000
2001-05-21,1333925000
2001-05-22,1316750000
2001-05-23,1280110000
2001-05-24,1274385000
2001-05-25,1274385000
2001-05-29,1253775000
2001-05-30,1225150000
2001-05-31,1269805000
2001-06-01,1301865000
2001-06-04,1355680000
2001-06-05,1328200000
2001-06-06,1345375000
2001-06-07,1393465000
2001-06-08,1336215000
2001-06-11,1315605000
2001-06-12,1316750000
2001-06-13,1286980000
2001-06-14,1273240000
2001-06-15,1236600000
2001-06-18,1237745000
2001-06-19,1225150000
2001-06-20,1202250000
2001-06-21,1202250000
2001-06-22,1165610000
2001-06-25,1122100000
2001-06-26,1134695000
2001-06-27,1139275000
2001-06-28,1150725000
2001-06-29,1167900000
2001-07-02,1173840000
2001-07-03,1136464000
2001-07-05,1164496000
2001-07-06,1131792000
2001-07-09,1137632000
2001-07-10,1121280000
2001-07-11,1150480000
2001-07-12,1255600000
2001-07-13,1285968000
2001-07-16,1249760000
2001-07-17,1278960000
2001-07-18,1276624000
2001-07-19,1287136000
2001-07-20,1304656000
2001-07-23,1284800000
2001-07-24,1234576000
2001-07-25,1312832000
2001-07-26,1296480000
2001-07-27,1285968000
2001-07-30,1302320000
2001-07-31,1319840000
2001-08-01,1359552000
2001-08-02,1396928000
2001-08-03,1410944000
2001-08-06,1382912000
2001-08-07,1412112000
2001-08-08,1389920000
2001-08-09,1410944000
2001-08-10,1395760000
2001-08-13,1392256000
2001-08-14,1366560000
2001-08-15,1360720000
2001-08-16,1378240000
2001-08-17,1354880000
2001-08-20,1372400000
2001-08-21,1349040000
2001-08-22,1358384000
2001-08-23,1343200000
2001-08-24,1400432000
2001-08-27,1375904000
2001-08-28,1405104000
2001-08-29,1419120000
2001-08-30,1349040000
2001-08-31,1379408000
2001-09-04,1414448000
2001-09-05,1398096000
2001-09-06,1346704000
2001-09-07,1310496000
2001-09-10,1253264000
2001-09-17,1179680000
2001-09-18,1158656000
2001-09-19,1156320000
2001-09-20,1109600000
2001-09-21,1045359999
2001-09-24,934400000
2001-09-25,1005647999
2001-09-26,992800000
2001-09-27,1034847999
2001-09-28,1051200000
2001-10-01,1037184000
2001-10-02,1033680000
2001-10-03,1109600000
2001-10-04,1127120000
2001-10-05,1132960000
2001-10-08,1124784000
2001-10-09,1093248000
2001-10-10,1096752000
2001-10-11,1144640000
2001-10-12,1121280000
2001-10-15,1193696000
2001-10-16,1214720000
2001-10-17,1222896000
2001-10-18,1208880000
2001-10-19,1173840000
2001-10-22,1203040000
2001-10-23,1193696000
2001-10-24,1197200000
2001-10-25,1203040000
2001-10-26,1238080000
2001-10-29,1255600000
2001-10-30,1245088000
2001-10-31,1255600000
2001-11-01,1261440000
2001-11-02,1246256000
2001-11-05,1273120000
2001-11-06,1345536000
2001-11-07,1275456000
2001-11-08,1273120000
2001-11-09,1256768000
2001-11-12,1236912000
2001-11-13,1261440000
2001-11-14,1268448000
2001-11-15,1322176000
2001-11-16,1296480000
2001-11-19,1325680000
2001-11-20,1319840000
2001-11-21,1319840000
2001-11-23,1349040000
2001-11-26,1380576000
2001-11-27,1375904000
2001-11-28,1371232000
2001-11-29,1401600000
2001-11-30,1372400000
2001-12-03,1374736000
2001-12-04,1460000000
2001-12-05,1588480000
2001-12-06,1576800000
2001-12-07,1545264000
2001-12-10,1547600000
2001-12-11,1608336000
2001-12-12,1652720000
2001-12-13,1618848000
2001-12-14,1565120000
2001-12-17,1611840000
2001-12-18,1681920000
2001-12-19,1600160000
2001-12-20,1565120000
2001-12-21,1560448000
2001-12-24,1590816000
2001-12-26,1576800000
2001-12-27,1547600000
2001-12-28,1576800000
2001-12-31,1518400000
2002-01-02,1495370000
2002-01-03,1534300000
2002-01-04,1577810000
2002-01-07,1505675000
2002-01-08,1542315000
2002-01-09,1501095000
2002-01-10,1467890000
2002-01-11,1458730000
2002-01-14,1443845000
2002-01-15,1430105000
2002-01-16,1442700000
2002-01-17,1443845000
2002-01-18,1408350000
2002-01-22,1424380000
2002-01-23,1473615000
2002-01-24,1505675000
2002-01-25,1477050000
2002-01-28,1475905000
2002-01-29,1408350000
2002-01-30,1462165000
2002-01-31,1551475000
2002-02-01,1534300000
2002-02-04,1585825000
2002-02-05,1488500000
2002-02-06,1559490000
2002-02-07,1570940000
2002-02-08,1593840000
2002-02-11,1611015000
2002-02-12,1582390000
2002-02-13,1588115000
2002-02-14,1560635000
2002-02-15,1546895000
2002-02-19,1506820000
2002-02-20,1505675000
2002-02-21,1488500000
2002-02-22,1491935000
2002-02-25,1522850000
2002-02-26,1510255000
2002-02-27,1491935000
2002-02-28,1522850000
2002-03-01,1593840000
2002-03-04,1746125000
2002-03-05,1707195000
2002-03-06,1711775000
2002-03-07,1710630000
2002-03-08,1709485000
2002-03-11,1715210000
2002-03-12,1722080000
2002-03-13,1711775000
2002-03-14,1694600000
2002-03-15,1728950000
2002-03-18,1704905000
2002-03-19,1704905000
2002-03-20,1668265000
2002-03-21,1683150000
2002-03-22,1651090000
2002-03-25,1655670000
2002-03-26,1670555000
2002-03-27,1731240000
2002-03-28,1688875000
2002-04-01,1650240000
2002-04-02,1618152000
2002-04-03,1592940000
2002-04-04,1551684000
2002-04-05,1633050000
2002-04-08,1623882000
2002-04-09,1592940000
2002-04-10,1634196000
2002-04-11,1650240000
2002-04-12,1667430000
2002-04-15,1587210000
2002-04-16,1611276000
2002-04-17,1606692000
2002-04-18,1558560000
2002-04-19,1567728000
2002-04-22,1501260000
2002-04-23,1489800000
2002-04-24,1461150000
2002-04-25,1489800000
2002-04-26,1441668000
2002-04-29,1419894000
2002-04-30,1443960000
2002-05-01,1440522000
2002-05-02,1492092000
2002-05-03,1480632000
2002-05-06,1453128000
2002-05-07,1430208000
2002-05-08,1429062000
2002-05-09,1403850000
2002-05-10,1392390000
2002-05-13,1415310000
2002-05-14,1488654000
2002-05-15,1487508000
2002-05-16,1486362000
2002-05-17,1534494000
2002-05-20,1526472000
2002-05-21,1541370000
2002-05-22,1558560000
2002-05-23,1535640000
2002-05-24,1547100000
2002-05-28,1563144000
2002-05-29,1557414000
2002-05-30,1610130000
2002-05-31,1606692000
2002-06-03,1604400000
2002-06-04,1606692000
2002-06-05,1604400000
2002-06-06,1581480000
2002-06-07,1598670000
2002-06-10,1604400000
2002-06-11,1606692000
2002-06-12,1596378000
2002-06-13,1521888000
2002-06-14,1571166000
2002-06-17,1557414000
2002-06-18,1575750000
2002-06-19,1561998000
2002-06-20,1534494000
2002-06-21,1518450000
2002-06-24,1443960000
2002-06-25,1448544000
2002-06-26,1446252000
2002-06-27,1421040000
2002-06-28,1432500000
2002-07-01,1405075000
2002-07-02,1376400000
2002-07-03,1351166000
2002-07-05,1362636000
2002-07-08,1374106000
2002-07-09,1350019000
2002-07-10,1305286000
2002-07-11,1168793000
2002-07-12,1221555000
2002-07-15,1172234000
2002-07-16,1149294000
2002-07-17,1171087000
2002-07-18,1117178000
2002-07-19,1049505000
2002-07-22,1024271000
2002-07-23,1024271000
2002-07-24,1026564999
2002-07-25,1077033000
2002-07-26,1118325000
2002-07-29,1233025000
2002-07-30,1203203000
2002-07-31,1244495000
2002-08-01,1255965000
2002-08-02,1168793000
2002-08-05,1078180000
2002-08-06,1150441000
2002-08-07,1191733000
2002-08-08,1246789000
2002-08-09,1268582000
2002-08-12,1307580000
2002-08-13,1397046000
2002-08-14,1424574000
2002-08-15,1492247000
2002-08-16,1516334000
2002-08-19,1559920000
2002-08-20,1514040000
2002-08-21,1538127000
2002-08-22,1550744000
2002-08-23,1555332000
2002-08-26,1595477000
2002-08-27,1550744000
2002-08-28,1473895000
2002-08-29,1503717000
2002-08-30,1518628000
2002-09-03,1452102000
2002-09-04,1454396000
2002-09-05,1480777000
2002-09-06,1562214000
2002-09-09,1530098000
2002-09-10,1565655000
2002-09-11,1608094000
2002-09-12,1712471000
2002-09-13,1639063000
2002-09-16,1640210000
2002-09-17,1376400000
2002-09-18,1422280000
2002-09-19,1399340000
2002-09-20,1463572000
2002-09-23,1352313000
2002-09-24,1312168000
2002-09-25,1376400000
2002-09-26,1347725000
2002-09-27,1359195000
2002-09-30,1382135000
2002-10-01,1434792000
2002-10-02,1311024000
2002-10-03,1333944000
2002-10-04,1289250000
2002-10-07,1294980000
2002-10-08,1319046000
2002-10-09,1280082000
2002-10-10,1305294000
2002-10-11,1294980000
2002-10-14,1283520000
2002-10-15,1376346000
2002-10-16,1323630000
2002-10-17,1388952000
2002-10-18,1374054000
2002-10-21,1421040000
2002-10-22,1375200000
2002-10-23,1404996000
2002-10-24,1335090000
2002-10-25,1315608000
2002-10-28,1304148000
2002-10-29,1260600000
2002-10-30,1289250000
2002-10-31,1260600000
2002-11-01,1340820000
2002-11-04,1323630000
2002-11-05,1315608000
2002-11-06,1387806000
2002-11-07,1364886000
2002-11-08,1352280000
2002-11-11,1331652000
2002-11-12,1312170000
2002-11-13,1331652000
2002-11-14,1348842000
2002-11-15,1361448000
2002-11-18,1346550000
2002-11-19,1353426000
2002-11-20,1380930000
2002-11-21,1386660000
2002-11-22,1375200000
2002-11-25,1371762000
2002-11-26,1375200000
2002-11-27,1466880000
2002-11-29,1495530000
2002-12-02,1370616000
2002-12-03,1351134000
2002-12-04,1337382000
2002-12-05,1363740000
2002-12-06,1355718000
2002-12-09,1331652000
2002-12-10,1347696000
2002-12-11,1332798000
2002-12-12,1311024000
2002-12-13,1275498000
2002-12-16,1312170000
2002-12-17,1273206000
2002-12-18,1261746000
2002-12-19,1249140000
2002-12-20,1259454000
2002-12-23,1260600000
2002-12-24,1251432000
2002-12-26,1214760000
2002-12-27,1201008000
2002-12-30,1198716000
2002-12-31,1222782000
2003-01-02,1236466000
2003-01-03,1221555000
2003-01-06,1254818000
2003-01-07,1231878000
2003-01-08,1215820000
2003-01-09,1278905000
2003-01-10,1282346000
2003-01-13,1292669000
2003-01-14,1292669000
2003-01-15,1277758000
2003-01-16,1266288000
2003-01-17,1265141000
2003-01-21,1249083000
2003-01-22,1207791000
2003-01-23,1231878000
2003-01-24,1198615000
2003-01-27,1148147000
2003-01-28,1137824000
2003-01-29,1126354000
2003-01-30,1073591999
2003-01-31,1120619000
2003-02-03,1089650000
2003-02-04,1089650000
2003-02-05,1067857000
2003-02-06,1042623000
2003-02-07,1020830000
2003-02-10,1015095000
2003-02-11,1004772000
2003-02-12,960038999
2003-02-13,957745000
2003-02-14,941687000
2003-02-18,977244000
2003-02-19,955451000
2003-02-20,947422000
2003-02-21,953157000
2003-02-24,923335000
2003-02-25,968068000
2003-02-26,974950000
2003-02-27,1002478000
2003-02-28,1010507000
2003-03-03,1032300000
2003-03-04,1012801000
2003-03-05,1007065999
2003-03-06,982979000
2003-03-07,999037000
2003-03-10,949715999
2003-03-11,939393000
2003-03-12,935952000
2003-03-13,997889999
2003-03-14,949715999
2003-03-17,995596000
2003-03-18,1024271000
2003-03-19,1096532000
2003-03-20,1103414000
2003-03-21,1168793000
2003-03-24,1102267000
2003-03-25,1108002000
2003-03-26,1118325000
2003-03-27,1108002000
2003-03-28,1113737000
2003-03-31,1103414000
2003-04-01,1087156000
2003-04-02,1120448000
2003-04-03,1094044000
2003-04-04,1105524000
2003-04-07,1131928000
2003-04-08,1113560000
2003-04-09,1100932000
2003-04-10,1079120000
2003-04-11,1073380000
2003-04-14,1090600000
2003-04-15,1091748000
2003-04-16,1089452000
2003-04-17,1055012000
2003-04-21,1065343999
2003-04-22,1075676000
2003-04-23,1056159999
2003-04-24,1049272000
2003-04-25,1046975999
2003-04-28,1041236000
2003-04-29,1036643999
2003-04-30,1040088000
2003-05-01,1061900000
2003-05-02,1059604000
2003-05-05,1081416000
2003-05-06,1106672000
2003-05-07,1121596000
2003-05-08,1111264000
2003-05-09,1153740000
2003-05-12,1142260000
2003-05-13,1117004000
2003-05-14,1133076000
2003-05-15,1142260000
2003-05-16,1119300000
2003-05-19,1095192000
2003-05-20,1081416000
2003-05-21,1060752000
2003-05-22,1087156000
2003-05-23,1074528000
2003-05-27,1056159999
2003-05-28,1057308000
2003-05-29,1057308000
2003-05-30,1003352000
2003-06-02,963172000
2003-06-03,912660000
2003-06-04,843780000
2003-06-05,848372000
2003-06-06,846076000
2003-06-09,834596000
2003-06-10,844928000
2003-06-11,823116000
2003-06-12,830004000
2003-06-13,821968000
2003-06-16,858704000
2003-06-17,889700000
2003-06-18,886256000
2003-06-19,897736000
2003-06-20,890848000
2003-06-23,830004000
2003-06-24,730128000
2003-06-25,749644000
2003-06-26,765716000
2003-06-27,766864000
2003-06-30,770308000
2003-07-01,797860000
2003-07-02,808192000
2003-07-03,805896000
2003-07-07,811636000
2003-07-08,812784000
2003-07-09,821968000
2003-07-10,812784000
2003-07-11,819672000
2003-07-14,810488000
2003-07-15,790972000
2003-07-16,800156000
2003-07-17,766864000
2003-07-18,778344000
2003-07-21,769160000
2003-07-22,789824000
2003-07-23,769160000
2003-07-24,821968000
2003-07-25,855260000
2003-07-28,839188000
2003-07-29,833448000
2003-07-30,825412000
2003-07-31,839188000
2003-08-01,820820000
2003-08-04,804748000
2003-08-05,787528000
2003-08-06,769160000
2003-08-07,761124000
2003-08-08,787528000
2003-08-11,812784000
2003-08-12,833448000
2003-08-13,820820000
2003-08-14,830004000
2003-08-15,835744000
2003-08-18,861000000
2003-08-19,897736000
2003-08-20,918400000
2003-08-21,917252000
2003-08-22,888552000
2003-08-25,883960000
2003-08-26,902328000
2003-08-27,926436000
2003-08-28,917252000
2003-08-29,898884000
2003-09-02,942508000
2003-09-03,918400000
2003-09-04,935620000
2003-09-05,917252000
2003-09-08,918400000
2003-09-09,910364000
2003-09-10,897736000
2003-09-11,901180000
2003-09-12,893144000
2003-09-15,874776000
2003-09-16,903476000
2003-09-17,887404000
2003-09-18,905772000
2003-09-19,901180000
2003-09-22,854112000
2003-09-23,852964000
2003-09-24,815080000
2003-09-25,763420000
2003-09-26,738164000
2003-09-29,746200000
2003-09-30,735868000
2003-10-01,759976000
2003-10-02,748496000
2003-10-03,747348000
2003-10-06,749644000
2003-10-07,761124000
2003-10-08,747348000
2003-10-09,734720000
2003-10-10,722092000
2003-10-13,756532000
2003-10-14,766864000
2003-10-15,770308000
2003-10-16,764568000
2003-10-17,751940000
2003-10-20,743904000
2003-10-21,746200000
2003-10-22,717500000
2003-10-23,712908000
2003-10-24,677320000
2003-10-27,693392000
2003-10-28,683060000
2003-10-29,754236000
2003-10-30,799008000
2003-10-31,802452000
2003-11-03,834596000
2003-11-04,833448000
2003-11-05,825412000
2003-11-06,832300000
2003-11-07,843780000
2003-11-10,826560000
2003-11-11,832300000
2003-11-12,836892000
2003-11-13,856408000
2003-11-14,851816000
2003-11-17,842632000
2003-11-18,844928000
2003-11-19,851816000
2003-11-20,834596000
2003-11-21,802452000
2003-11-24,815080000
2003-11-25,815080000
2003-11-26,818524000
2003-11-28,834596000
2003-12-01,886256000
2003-12-02,856408000
2003-12-03,908068000
2003-12-04,904624000
2003-12-05,896588000
2003-12-08,932175999
2003-12-09,935620000
2003-12-10,936768000
2003-12-11,976948000
2003-12-12,1033200000
2003-12-15,1018275999
2003-12-16,1010240000
2003-12-17,1063048000
2003-12-18,1123892000
2003-12-19,1107820000
2003-12-22,1145704000
2003-12-23,1119300000
2003-12-24,1120448000
2003-12-26,1137668000
2003-12-29,1175552000
2003-12-30,1157184000
2003-12-31,1139964000
2004-01-02,1177725000
2004-01-05,1234026000
2004-01-06,1198407000
2004-01-07,1227132000
2004-01-08,1343181000
2004-01-09,1250112000
2004-01-12,1279986000
2004-01-13,1283433000
2004-01-14,1268496000
2004-01-15,1236324000
2004-01-16,1246665000
2004-01-20,1286880000
2004-01-21,1289178000
2004-01-22,1286880000
2004-01-23,1240920000
2004-01-26,1189215000
2004-01-27,1348926000
2004-01-28,1263900000
2004-01-29,1299519000
2004-01-30,1299519000
2004-02-02,1300668000
2004-02-03,1253559000
2004-02-04,1205301000
2004-02-05,1209897000
2004-02-06,1266198000
2004-02-09,1252410000
2004-02-10,1277688000
2004-02-11,1304115000
2004-02-12,1308711000
2004-02-13,1314456000
2004-02-17,1347777000
2004-02-18,1309860000
2004-02-19,1304115000
2004-02-20,1260453000
2004-02-23,1267347000
2004-02-24,1267347000
2004-02-25,1281135000
2004-02-26,1284582000
2004-02-27,1298370000
2004-03-01,1359267000
2004-03-02,1399482000
2004-03-03,1387992000
2004-03-04,1427058000
2004-03-05,1446591000
2004-03-08,1420164000
2004-03-09,1428207000
2004-03-10,1359267000
2004-03-11,1365012000
2004-03-12,1407525000
2004-03-15,1385694000
2004-03-16,1414419000
2004-03-17,1447740000
2004-03-18,1456932000
2004-03-19,1448889000
2004-03-22,1408674000
2004-03-23,1387992000
2004-03-24,1436250000
2004-03-25,1440846000
2004-03-26,1507488000
2004-03-29,1577577000
2004-03-30,1626984000
2004-03-31,1643070000
2004-04-01,1679000000
2004-04-02,1676700000
2004-04-05,1729600000
2004-04-06,1722700000
2004-04-07,1702000000
2004-04-08,1667500000
2004-04-12,1679000000
2004-04-13,1598500000
2004-04-14,1580100000
2004-04-15,1583550000
2004-04-16,1592750000
2004-04-19,1581250000
2004-04-20,1550200000
2004-04-21,1554800000
2004-04-22,1587000000
2004-04-23,1551350000
2004-04-26,1539850000
2004-04-27,1519150000
2004-04-28,1486950000
2004-04-29,1443250000
2004-04-30,1445550000
2004-05-03,1409900000
2004-05-04,1459350000
2004-05-05,1444400000
2004-05-06,1437500000
2004-05-07,1375400000
2004-05-10,1336300000
2004-05-11,1385750000
2004-05-12,1378850000
2004-05-13,1361600000
2004-05-14,1332850000
2004-05-17,1308700000
2004-05-18,1348950000
2004-05-19,1337450000
2004-05-20,1332850000
2004-05-21,1338600000
2004-05-24,1345500000
2004-05-25,1371950000
2004-05-26,1414500000
2004-05-27,1426000000
2004-05-28,1431750000
2004-06-01,1449000000
2004-06-02,1462800000
2004-06-03,1438650000
2004-06-04,1463950000
2004-06-07,1473150000
2004-06-08,1473150000
2004-06-09,1446700000
2004-06-10,1449000000
2004-06-14,1414500000
2004-06-15,1435200000
2004-06-16,1446700000
2004-06-17,1524900000
2004-06-18,1518000000
2004-06-21,1562850000
2004-06-22,1582400000
2004-06-23,1552500000
2004-06-24,1547900000
2004-06-25,1541000000
2004-06-28,1541000000
2004-06-29,1542150000
2004-06-30,1541000000
2004-07-01,1536768000
2004-07-02,1573632000
2004-07-06,1573632000
2004-07-07,1586304000
2004-07-08,1569024000
2004-07-09,1589760000
2004-07-12,1572480000
2004-07-13,1554048000
2004-07-14,1545984000
2004-07-15,1555200000
2004-07-16,1537920000
2004-07-19,1520640000
2004-07-20,1548288000
2004-07-21,1480320000
2004-07-22,1449216000
2004-07-23,1419264000
2004-07-26,1416960000
2004-07-27,1585152000
2004-07-28,1556352000
2004-07-29,1580544000
2004-07-30,1572480000
2004-08-02,1635840000
2004-08-03,1651968000
2004-08-04,1639296000
2004-08-05,1596672000
2004-08-06,1554048000
2004-08-09,1611648000
2004-08-10,1656576000
2004-08-11,1649664000
2004-08-12,1630080000
2004-08-13,1607040000
2004-08-16,1653120000
2004-08-17,1635840000
2004-08-18,1665792000
2004-08-19,1650816000
2004-08-20,1656576000
2004-08-23,1617408000
2004-08-24,1658880000
2004-08-25,1693440000
2004-08-26,1678464000
2004-08-27,1718784000
2004-08-30,1714176000
2004-08-31,1836288000
2004-09-01,1860479999
2004-09-02,1878911999
2004-09-03,1881215999
2004-09-07,1922688000
2004-09-08,1885824000
2004-09-09,1907711999
2004-09-10,1922688000
