,ANET
2014-11-12,4880486640
2014-11-13,4863426420
2014-11-14,4908920340
2014-11-17,4846366200
2014-11-18,4852684800
2014-11-19,4865322000
2014-11-20,4750323480
2014-11-21,4685241900
2014-11-24,4608786840
2014-11-25,4659335640
2014-11-26,4811613900
2014-11-28,4793921820
2014-12-01,4522853880
2014-12-02,4386372120
2014-12-03,4589199180
2014-12-04,4646066580
2014-12-05,4311812640
2014-12-08,4095716519
2014-12-09,4182281340
2014-12-10,4117831620
2014-12-11,4290329400
2014-12-12,4293488700
2014-12-15,4258104540
2014-12-16,4318131240
2014-12-17,4251154080
2014-12-18,4218929219
2014-12-19,4203764580
2014-12-22,4124150219
2014-12-23,4088134200
2014-12-24,4107090000
2014-12-26,4122886500
2014-12-29,3890362020
2014-12-30,3831599040
2014-12-31,3927222600
2015-01-02,4051321800
2015-01-05,4123713000
2015-01-06,4124359350
2015-01-07,4210323900
2015-01-08,4273666200
2015-01-09,4293056700
2015-01-12,4270434449
2015-01-13,4218726449
2015-01-14,4205153100
2015-01-15,4085578350
2015-01-16,4171542900
2015-01-20,4231653450
2015-01-21,4154737800
2015-01-22,4104322500
2015-01-23,4098505350
2015-01-26,4159262249
2015-01-27,4112078700
2015-01-28,4229068050
2015-01-29,4101737100
2015-01-30,4079761200
2015-02-02,4050029100
2015-02-03,4053260850
2015-02-04,3933686100
2015-02-05,3910417500
2015-02-06,3665450850
2015-02-09,3878100000
2015-02-10,4076529450
2015-02-11,3975698850
2015-02-12,3942088650
2015-02-13,4067480550
2015-02-17,4135993650
2015-02-18,4212909300
2015-02-19,4394533650
2015-02-20,4427497500
2015-02-23,4463046750
2015-02-24,4288532249
2015-02-25,4332484050
2015-02-26,4444948950
2015-02-27,4473388350
2015-03-02,4464339450
2015-03-03,4485022650
2015-03-04,4357691700
2015-03-05,4477912800
2015-03-06,4388070150
2015-03-09,4426851150
2015-03-10,4396472700
2015-03-11,4446241650
2015-03-12,4455290550
2015-03-13,4463046750
2015-03-16,4623341550
2015-03-17,4760367750
2015-03-18,4797856050
2015-03-19,4734513750
2015-03-20,4647256500
2015-03-23,4695732750
2015-03-24,4532206200
2015-03-25,4441717200
2015-03-26,4448827050
2015-03-27,4387423800
2015-03-30,4428790200
2015-03-31,4621407720
2015-04-01,4561780880
2015-04-02,4325239240
2015-04-06,4310823960
2015-04-07,4335067840
2015-04-08,4331791640
2015-04-09,4300340120
2015-04-10,4275441000
2015-04-13,4333757360
2015-04-14,4345551680
2015-04-15,4441871960
2015-04-16,4302961080
2015-04-17,4257094280
2015-04-20,4263646679
2015-04-21,4316065880
2015-04-22,4342275480
2015-04-23,4334412600
2015-04-24,4350138360
2015-04-27,4232850399
2015-04-28,4305582040
2015-04-29,4243334240
2015-04-30,4194191240
2015-05-01,4240058039
2015-05-04,4236126600
2015-05-05,4181741680
2015-05-06,4162739720
2015-05-07,4255783800
2015-05-08,4311479200
2015-05-11,4432698600
2015-05-12,4314755400
2015-05-13,4344896440
2015-05-14,4515258840
2015-05-15,4286580080
2015-05-18,4437940520
2015-05-19,4426146200
2015-05-20,4421559520
2015-05-21,4449734840
2015-05-22,4512637880
2015-05-26,4504775000
2015-05-27,4466771080
2015-05-28,4524432200
2015-05-29,4580782840
2015-06-01,4574230440
2015-06-02,4692173640
2015-06-03,4904471400
2015-06-04,4848120760
2015-06-05,5051245160
2015-06-08,5158704520
2015-06-09,5227504720
2015-06-10,5308099240
2015-06-11,5264198160
2015-06-12,5317927840
2015-06-15,5454217760
2015-06-16,5567574280
2015-06-17,5616717280
2015-06-18,5705174680
2015-06-19,5681586040
2015-06-22,5745144320
2015-06-23,5730729040
2015-06-24,5714348040
2015-06-25,5593128640
2015-06-26,5388693760
2015-06-29,5304823040
2015-06-30,5446254460
2015-07-01,5452917360
2015-07-02,5454249940
2015-07-06,5384955780
2015-07-07,5320325650
2015-07-08,5163081210
2015-07-09,5216384410
2015-07-10,5365633370
2015-07-13,5295006630
2015-07-14,5433594950
2015-07-15,5455582520
2015-07-16,5592171970
2015-07-17,5643476300
2015-07-20,5600833740
2015-07-21,5568851820
2015-07-22,5676790800
2015-07-23,5609495510
2015-07-24,5644808880
2015-07-27,5512883460
2015-07-28,5380291750
2015-07-29,5357637890
2015-07-30,5661466130
2015-07-31,5628151630
2015-08-03,5638812270
2015-08-04,5526209260
2015-08-05,5636147110
2015-08-06,5435593820
2015-08-07,5602166320
2015-08-10,5564854080
2015-08-11,5298338080
2015-08-12,5353640150
2015-08-13,5422934310
2015-08-14,5383623200
2015-08-17,5462245420
2015-08-18,5322324520
2015-08-19,5299670660
2015-08-20,4936542610
2015-08-21,4928547130
2015-08-24,4771968980
2015-08-25,4800619450
2015-08-26,4975187430
2015-08-27,5013165960
2015-08-28,5088456730
2015-08-31,4983182910
2015-09-01,4791291390
2015-09-02,4877242800
2015-09-03,4927880840
2015-09-04,4988513230
2015-09-08,5214385540
2015-09-09,4932544870
2015-09-10,4656034520
2015-09-11,4294905339
2015-09-14,4210286510
2015-09-15,4230941500
2015-09-16,4231607790
2015-09-17,4312895170
2015-09-18,4456147520
2015-09-21,4442155430
2015-09-22,4421500440
2015-09-23,4365532080
2015-09-24,4330885000
2015-09-25,4230941500
2015-09-28,4146988960
2015-09-29,4055707230
2015-09-30,4106522090
2015-10-01,4093771000
2015-10-02,4214570800
2015-10-05,4289064010
2015-10-06,4521939180
2015-10-07,4494423670
2015-10-08,4479659250
2015-10-09,4510530310
2015-10-12,4469592600
2015-10-13,4407179370
2015-10-14,4357517230
2015-10-15,4516570300
2015-10-16,4536703600
2015-10-19,4425970450
2015-10-20,4339397260
2015-10-21,4326646170
2015-10-22,4505161430
2015-10-23,4590392400
2015-10-26,4561534670
2015-10-27,4422614900
2015-10-28,4429997110
2015-10-29,4372952760
2015-10-30,4329330610
2015-11-02,4154170900
2015-11-03,4176317530
2015-11-04,4227993000
2015-11-05,4158197560
2015-11-06,4728641060
2015-11-09,4623947900
2015-11-10,4623947900
2015-11-11,4513214750
2015-11-12,4421272680
2015-11-13,4374966090
2015-11-16,4555494680
2015-11-17,4640725650
2015-11-18,4676965590
2015-11-19,4793738730
2015-11-20,4793067620
2015-11-23,4964200670
2015-11-24,5011849480
2015-11-25,4950107360
2015-11-27,4899103000
2015-11-30,4934000720
2015-12-01,4986347300
2015-12-02,5054800520
2015-12-03,5048089420
2015-12-04,4979636200
2015-12-07,4980978420
2015-12-08,4912525200
2015-12-09,4821254240
2015-12-10,4731325500
2015-12-11,4532676940
2015-12-14,4723272180
2015-12-15,4819240910
2015-12-16,4805147600
2015-12-17,4889707460
2015-12-18,4715889970
2015-12-21,4802463160
2015-12-22,4882325250
2015-12-23,5016547250
2015-12-24,5033996110
2015-12-28,5237342440
2015-12-29,5281635700
2015-12-30,5284991250
2015-12-31,5272648080
2016-01-04,5242843800
2016-01-05,5302452360
2016-01-06,4980701610
2016-01-07,4656918750
2016-01-08,4665047190
2016-01-11,4606793370
2016-01-12,4503155760
2016-01-13,4383261270
2016-01-14,4429322430
2016-01-15,4392744450
2016-01-19,4240336200
2016-01-20,4291816320
2016-01-21,4236271980
2016-01-22,4357521210
2016-01-25,4057446300
2016-01-26,4064897370
2016-01-27,4121796450
2016-01-28,4026964650
2016-01-29,4066252110
2016-02-01,4014094620
2016-02-02,3904360680
2016-02-03,4196307150
2016-02-04,4224756690
2016-02-05,4011385140
2016-02-08,3655088520
2016-02-09,3590061000
2016-02-10,3628671090
2016-02-11,3682860690
2016-02-12,3809528880
2016-02-16,4006643550
2016-02-17,4054736820
2016-02-18,3938906550
2016-02-19,4402905000
2016-02-22,4429999800
2016-02-23,4467932520
2016-02-24,4567505910
2016-02-25,4583085420
2016-02-26,4675207740
2016-02-29,4642693980
2016-03-01,4690109880
2016-03-02,4518057900
2016-03-03,4545152700
2016-03-04,4352102250
2016-03-07,4362262800
2016-03-08,4191565560
2016-03-09,4317556380
2016-03-10,4139408070
2016-03-11,4254560970
2016-03-14,3829172610
2016-03-15,3800045700
2016-03-16,3912489120
2016-03-17,3963291870
2016-03-18,3953808690
2016-03-21,4118409600
2016-03-22,4031028870
2016-03-23,4028319390
2016-03-24,3997160370
2016-03-28,4001901960
2016-03-29,4192242930
2016-03-30,4227466170
2016-03-31,4308152500
2016-04-01,4242608500
2016-04-04,4326586750
2016-04-05,4275380500
2016-04-06,4433778500
2016-04-07,4377793000
2016-04-08,4438557750
2016-04-11,4339559000
2016-04-12,4224174250
2016-04-13,4415344250
2016-04-14,4403054750
2016-04-15,4327952250
2016-04-18,4361407000
2016-04-19,4304738750
2016-04-20,4366186250
2016-04-21,4316345500
2016-04-22,4482253750
2016-04-25,4500005250
2016-04-26,4506150000
2016-04-27,4555990750
2016-04-28,4489764000
2016-04-29,4548480500
2016-05-02,4579204250
2016-05-03,4388034250
2016-05-04,4270601250
2016-05-05,4340924500
2016-05-06,4562818250
2016-05-09,4455626500
2016-05-10,4610610750
2016-05-11,4595590250
2016-05-12,4545066750
2016-05-13,4605831500
2016-05-16,4643382750
2016-05-17,4567597500
2016-05-18,4644748250
2016-05-19,4656355000
2016-05-20,4787443000
2016-05-23,4887807250
2016-05-24,4937648000
2016-05-25,4913069000
2016-05-26,4917165500
2016-05-27,4974516500
2016-05-31,5003874750
2016-06-01,5057812000
2016-06-02,5113797500
2016-06-03,5126087000
2016-06-06,5097411500
2016-06-07,5091949500
2016-06-08,5108335500
2016-06-09,5128818000
2016-06-10,4989537000
2016-06-13,4930137750
2016-06-14,4946523750
2016-06-15,4989537000
2016-06-16,4950620250
2016-06-17,4919896500
2016-06-20,4949937500
2016-06-21,4958130500
2016-06-22,4872104000
2016-06-23,5040060500
2016-06-24,4550528750
2016-06-27,4159995750
2016-06-28,4233050000
2016-06-29,4353214000
2016-06-30,4447112880
2016-07-01,4397378160
2016-07-05,4382872200
2016-07-06,4464381880
2016-07-07,4559016000
2016-07-08,4678517480
2016-07-11,4821504800
2016-07-12,4841536840
2016-07-13,4853279760
2016-07-14,4835320000
2016-07-15,4834629240
2016-07-18,4930644880
2016-07-19,4901632960
2016-07-20,4924428040
2016-07-21,4860878120
2016-07-22,4867094960
2016-07-25,4916138920
2016-07-26,4903705240
2016-07-27,4883673200
2016-07-28,4809071120
2016-07-29,4923046520
2016-08-01,4981761120
2016-08-02,4848444440
2016-08-03,4925118800
2016-08-04,4972781240
2016-08-05,4956203000
2016-08-08,4978307320
2016-08-09,5115768560
2016-08-10,5111624000
2016-08-11,5212474960
2016-08-12,5234579280
2016-08-15,5405197000
2016-08-16,5360297600
2016-08-17,5342337840
2016-08-18,5459076280
2016-08-19,5465293120
2016-08-22,5352008480
2016-08-23,5390691040
2016-08-24,5355462280
2016-08-25,5442498040
2016-08-26,5456313240
2016-08-29,5510192520
2016-08-30,5504666440
2016-08-31,5503975680
2016-09-01,5503284920
2016-09-02,5591702200
2016-09-06,5608280440
2016-09-07,5619332600
2016-09-08,5619332600
2016-09-09,5509501760
2016-09-12,5588248400
2016-09-13,5576505480
2016-09-14,5742287880
2016-09-15,5832086680
2016-09-16,5873532280
2016-09-19,5666304280
2016-09-20,5651798320
2016-09-21,5786496520
2016-09-22,5894255080
2016-09-23,5921194720
2016-09-26,5877676840
2016-09-27,5962640320
2016-09-28,5923957760
2016-09-29,5886656720
2016-09-30,5953898400
2016-10-03,5951799000
2016-10-04,5965795000
2016-10-05,5946200600
2016-10-06,5981190600
2016-10-07,5958097200
2016-10-10,6055369400
2016-10-11,5809039800
2016-10-12,5744658200
2016-10-13,5651584800
2016-10-14,5629891000
2016-10-17,5648785600
2016-10-18,5658582800
2016-10-19,5731362000
2016-10-20,5728562800
2016-10-21,5848928400
2016-10-24,5880419400
2016-10-25,5900713599
2016-10-26,5893715600
2016-10-27,5921007800
2016-10-28,5955298000
2016-10-31,5930805000
2016-11-01,5890216600
2016-11-02,5802041800
2016-11-03,5743958400
2016-11-04,5830033800
2016-11-07,6007083200
2016-11-08,6023178599
2016-11-09,5976292000
2016-11-10,6011981800
2016-11-11,6028777000
2016-11-14,6146343400
2016-11-15,6143544200
2016-11-16,6163138599
2016-11-17,6161039200
2016-11-18,6156840400
2016-11-21,6611710400
2016-11-22,6632704400
2016-11-23,6661396200
2016-11-25,6624306800
2016-11-28,6715980600
2016-11-29,6685189400
2016-11-30,6634803800
2016-12-01,6529134000
2016-12-02,6520036600
2016-12-05,6490645000
2016-12-06,6568322800
2016-12-07,6848942600
2016-12-08,6701284800
2016-12-09,6606811800
2016-12-12,6517937200
2016-12-13,6650199400
2016-12-14,6849642400
2016-12-15,6773364200
2016-12-16,6765666400
2016-12-19,6853841200
2016-12-20,6858040000
2016-12-21,6854541000
2016-12-22,6778262800
2016-12-23,6783161400
2016-12-27,6845443599
2016-12-28,6805555000
2016-12-29,6769165400
2016-12-30,6771964600
2017-01-03,6902324840
2017-01-04,7234427220
2017-01-05,7249361160
2017-01-06,7202425920
2017-01-09,7077265280
2017-01-10,7141267880
2017-01-11,7073709580
2017-01-12,7040286000
2017-01-13,7130600780
2017-01-17,6274388220
2017-01-18,6308522940
2017-01-19,6380348080
2017-01-20,6386037200
2017-01-23,6376792380
2017-01-24,6575911580
2017-01-25,6619291120
2017-01-26,6607201740
2017-01-27,6669070920
2017-01-30,6661248380
2017-01-31,6684716000
2017-02-01,6704627920
2017-02-02,6747296320
2017-02-03,6792809280
2017-02-06,6792098140
2017-02-07,6826232860
2017-02-08,6930770440
2017-02-09,6955660340
2017-02-10,7024640920
2017-02-13,7104288600
2017-02-14,7162602080
2017-02-15,7159046380
2017-02-16,7123489380
2017-02-17,8466832840
2017-02-21,8719998680
2017-02-22,8661685200
2017-02-23,8380784900
2017-02-24,8575637260
2017-02-27,8561414460
2017-02-28,8461854860
2017-03-01,8579192960
2017-03-02,8497411860
2017-03-03,8531546580
2017-03-06,8493145020
2017-03-07,8610483120
2017-03-08,8784712420
2017-03-09,8753422260
2017-03-10,8830225380
2017-03-13,9064901580
2017-03-14,9031478000
2017-03-15,9122503920
2017-03-16,9041433960
2017-03-17,9109703400
2017-03-20,9268287620
2017-03-21,9100458580
2017-03-22,9283221560
2017-03-23,9250509120
2017-03-24,9370691780
2017-03-27,9399848520
2017-03-28,9527142580
2017-03-29,9479496200
2017-03-30,9444650340
2017-03-31,9522381840
2017-04-03,9481346400
2017-04-04,9589334400
2017-04-05,9646928000
2017-04-06,9675724800
2017-04-07,9535340400
2017-04-10,9594373840
2017-04-11,9598693360
2017-04-12,9464788240
2017-04-13,9456869120
2017-04-17,9556938000
2017-04-18,9572056320
2017-04-19,9634689360
2017-04-20,9824748240
2017-04-21,9838426720
2017-04-24,10006888000
2017-04-25,10037124640
2017-04-26,10032805120
2017-04-27,10053682800
2017-04-28,10052962879
2017-05-01,10158071200
2017-05-02,10164550480
2017-05-03,10127834560
2017-05-04,10093278400
2017-05-05,10418682240
2017-05-08,10276858000
2017-05-09,10433800560
2017-05-10,10469796560
2017-05-11,10512271840
2017-05-12,10569865440
2017-05-15,10613060640
2017-05-16,10615220400
2017-05-17,10248781120
2017-05-18,10329412160
2017-05-19,10371887440
2017-05-22,10305654800
2017-05-23,10309254400
2017-05-24,10387005760
2017-05-25,10659135520
2017-05-26,10543228400
2017-05-30,10598662240
2017-05-31,10610180960
2017-06-01,10692251840
2017-06-02,10961501920
2017-06-05,11110525360
2017-06-06,11183957200
2017-06-07,11234351600
2017-06-08,11322181840
2017-06-09,10759924320
2017-06-12,10781521920
2017-06-13,10926945760
2017-06-14,10874391600
2017-06-15,10887350160
2017-06-16,10912547360
2017-06-19,11278266720
2017-06-20,11160919760
2017-06-21,11386254720
2017-06-22,11430889760
2017-06-23,11635347040
2017-06-26,11358897760
2017-06-27,11001817440
2017-06-28,11178197840
2017-06-29,10795200400
2017-06-30,10872956520
2017-07-03,10662451319
2017-07-05,10788028560
2017-07-06,10556472840
2017-07-07,10798916760
2017-07-10,10841017800
2017-07-11,11117578080
2017-07-12,11278723440
2017-07-13,11234444760
2017-07-14,11259124680
2017-07-17,11267109360
2017-07-18,11323002120
2017-07-19,11442046440
2017-07-20,11381798400
2017-07-21,11100156960
2017-07-24,11267109360
2017-07-25,11468904000
2017-07-26,11410833600
2017-07-27,11036279520
2017-07-28,10917235200
2017-07-31,10836662520
2017-08-01,10728506400
2017-08-02,10413474480
2017-08-03,10456301400
2017-08-04,12488765400
2017-08-07,12612165000
2017-08-08,12335604720
2017-08-09,12155586480
2017-08-10,11955243600
2017-08-11,12027105720
2017-08-14,12325442400
2017-08-15,12382786920
2017-08-16,12606357960
2017-08-17,12416903280
2017-08-18,12485861880
2017-08-21,12485861880
2017-08-22,12721047000
2017-08-23,12594743880
2017-08-24,12710884680
2017-08-25,12610713240
2017-08-28,12638296680
2017-08-29,12578048640
2017-08-30,12917034600
2017-08-31,12786376200
2017-09-01,12883644120
2017-09-05,12719595240
2017-09-06,12538125240
2017-09-07,12604906200
2017-09-08,12534495840
2017-09-11,12725402280
2017-09-12,12617246160
2017-09-13,12694915319
2017-09-14,12698544720
2017-09-15,12845172480
2017-09-18,13260375840
2017-09-19,13190691360
2017-09-20,13682112120
2017-09-21,13590651240
2017-09-22,13867937400
2017-09-25,13126088040
2017-09-26,13258924080
2017-09-27,13541291400
2017-09-28,13613879400
2017-09-29,13763410680
2017-10-02,13960423300
2017-10-03,13886380200
2017-10-04,13978750800
2017-10-05,13955291600
2017-10-06,14143698300
2017-10-09,14175954700
2017-10-10,14135634200
2017-10-11,14145164500
2017-10-12,14017605100
2017-10-13,14012473399
2017-10-16,13840194900
2017-10-17,13973619100
2017-10-18,13924501400
2017-10-19,13938430300
2017-10-20,14052060800
2017-10-23,14043996700
2017-10-24,14156161000
2017-10-25,13900309100
2017-10-26,14063057300
2017-10-27,14343101500
2017-10-30,14380489600
2017-10-31,14653935899
2017-11-01,14461130600
2017-11-02,13281572700
2017-11-03,14771231900
2017-11-06,15151710800
2017-11-07,15362843600
2017-11-08,15702268900
2017-11-09,15655350500
2017-11-10,16205175500
2017-11-13,16505746500
2017-11-14,16648701000
2017-11-15,16487419000
2017-11-16,16991058700
2017-11-17,17141344200
2017-11-20,17728557300
2017-11-21,17699233300
2017-11-22,17521823100
2017-11-24,17745418600
2017-11-27,17494698400
2017-11-28,17854650500
2017-11-29,17169935100
2017-11-30,17090027200
2017-12-01,16762331500
2017-12-04,15356978800
2017-12-05,15472075500
2017-12-06,15604766600
2017-12-07,16117936600
2017-12-08,16332734900
2017-12-11,16398713900
2017-12-12,15999907500
2017-12-13,16504280300
2017-12-14,16620843200
2017-12-15,16936809300
2017-12-18,17256440900
2017-12-19,17301160000
2017-12-20,17165536500
2017-12-21,17298227600
2017-12-22,17341480500
2017-12-26,17276234600
2017-12-27,17557745000
2017-12-28,17641318400
2017-12-29,17270369800
2018-01-02,17094833820
2018-01-03,17432986400
2018-01-04,17217663860
2018-01-05,17519559380
2018-01-08,18576933640
2018-01-09,18497020120
2018-01-10,18667206320
2018-01-11,19296895260
2018-01-12,19166665819
2018-01-16,18703463380
2018-01-17,19446363140
2018-01-18,19622468860
2018-01-19,20040534960
2018-01-22,20398665920
2018-01-23,20210721160
2018-01-24,20210721160
2018-01-25,20478579440
2018-01-26,20977299000
2018-01-29,20569592060
2018-01-30,20365368620
2018-01-31,20409025080
2018-02-01,20348350000
2018-02-02,20235879120
2018-02-05,19635787780
2018-02-06,20154485720
2018-02-07,20838190280
2018-02-08,19572892880
2018-02-09,20167064700
2018-02-12,21054252760
2018-02-13,21649164520
2018-02-14,22355067280
2018-02-15,22787192240
2018-02-16,18460763060
2018-02-20,18472602100
2018-02-21,17612791820
2018-02-22,18103372040
2018-02-23,18196604480
2018-02-26,19227340900
2018-02-27,19174805160
2018-02-28,19959141560
2018-03-01,19519617200
2018-03-02,20089371000
2018-03-05,20855948840
2018-03-06,21354668400
2018-03-07,21575170520
2018-03-08,21737217380
2018-03-09,21839329100
2018-03-12,22005815600
2018-03-13,21434581920
2018-03-14,22087209000
2018-03-15,21894824600
2018-03-16,21733517680
2018-03-19,20525195660
2018-03-20,21119367480
2018-03-21,20918103800
2018-03-22,20255117560
2018-03-23,19549954740
2018-03-26,20050894120
2018-03-27,18772277800
2018-03-28,18138889160
2018-03-29,18890668200
2018-04-02,18887255530
2018-04-03,18887255530
2018-04-04,19293296880
2018-04-05,19574918220
2018-04-06,19275416160
2018-04-09,19333528500
2018-04-10,19906456570
2018-04-11,19861009740
2018-04-12,20033111670
2018-04-13,18193632600
2018-04-16,17838998320
2018-04-17,19132370400
2018-04-18,19259025500
2018-04-19,19100334110
2018-04-20,19419206950
2018-04-23,18937172540
2018-04-24,18779226180
2018-04-25,18850749060
2018-04-26,19334273530
2018-04-27,19575663250
2018-04-30,19709768650
2018-05-01,19763410810
2018-05-02,19777566380
2018-05-03,19955628550
2018-05-04,18256960150
2018-05-07,18801577080
2018-05-08,19317882870
2018-05-09,19327568260
2018-05-10,19419951980
2018-05-11,19364074730
2018-05-14,18888000560
2018-05-15,18592223650
2018-05-16,18560932390
2018-05-17,18437257410
2018-05-18,18483449270
2018-05-21,18942387750
2018-05-22,18597438860
2018-05-23,19071277940
2018-05-24,18820202830
2018-05-25,19054142250
2018-05-29,19062337580
2018-05-30,18748679950
2018-05-31,18741974680
2018-06-01,19461673660
2018-06-04,19987664839
2018-06-05,20469699250
2018-06-06,20731204780
2018-06-07,20182862700
2018-06-08,20395196250
2018-06-11,20240975040
2018-06-12,20461503920
2018-06-13,20945773420
2018-06-14,20944283360
2018-06-15,21354049860
2018-06-18,20802727660
2018-06-19,20398921400
2018-06-20,21139481220
2018-06-21,20810177960
2018-06-22,20313242950
2018-06-25,19361839640
2018-06-26,19548097140
2018-06-27,18945367870
2018-06-28,19241889810
2018-06-29,19183777470
2018-07-02,19604874960
2018-07-03,19193064570
2018-07-05,19346087010
2018-07-06,19682136290
2018-07-09,20287475060
2018-07-10,20144204050
2018-07-11,20201962520
2018-07-12,20880061960
2018-07-13,19989681390
2018-07-16,20315979240
2018-07-17,20544012680
2018-07-18,20604771590
2018-07-19,20721788750
2018-07-20,20165957240
2018-07-23,20132202290
2018-07-24,19975429300
2018-07-25,20576267410
2018-07-26,20724039079
2018-07-27,20348984079
2018-07-30,19342336460
2018-07-31,19182563030
2018-08-01,19697888600
2018-08-02,20391740350
2018-08-03,19318332940
2018-08-06,20352734630
2018-08-07,20163706910
2018-08-08,19844910160
2018-08-09,20203462740
2018-08-10,20166707350
2018-08-13,20198962079
2018-08-14,20362486060
2018-08-15,19921421380
2018-08-16,20097697230
2018-08-17,20180959440
2018-08-20,20532010920
2018-08-21,20390240130
2018-08-22,20805050960
2018-08-23,21198858710
2018-08-24,23146894380
2018-08-27,22862602690
2018-08-28,22818346200
2018-08-29,22667574090
2018-08-30,22343526570
2018-08-31,22426788780
2018-09-04,21739688020
2018-09-05,20424745190
2018-09-06,20085695470
2018-09-07,20031687550
2018-09-10,20178709110
2018-09-11,20043689310
2018-09-12,20091696350
2018-09-13,20257470660
2018-09-14,20346733750
2018-09-17,19883915880
2018-09-18,20039938760
2018-09-19,20267972200
2018-09-20,20481753550
2018-09-21,20199712190
2018-09-24,20568766310
2018-09-25,20595020160
2018-09-26,19793152570
2018-09-27,19902668630
2018-09-28,19942424460
2018-10-01,19595809720
2018-10-02,19332408950
2018-10-03,19730906390
2018-10-04,19452411020
2018-10-05,18964100710
2018-10-08,18355788330
2018-10-09,18011631450
2018-10-10,17041048670
2018-10-11,16261412580
2018-10-12,16782931010
2018-10-15,16666702590
2018-10-16,17628983340
2018-10-17,18034273350
2018-10-18,17592001570
2018-10-19,17340676480
2018-10-22,17523321140
2018-10-23,17572378590
2018-10-24,16892366860
2018-10-25,17410866370
2018-10-26,16568587690
2018-10-29,16442547780
2018-10-30,17242561580
2018-10-31,17385205550
2018-11-01,18185974080
2018-11-02,19454675210
2018-11-05,18789758080
2018-11-06,18499187030
2018-11-07,19136179150
2018-11-08,19034290600
2018-11-09,18447865390
2018-11-12,17858421260
2018-11-13,17838798280
2018-11-14,17320298770
2018-11-15,18430506600
2018-11-16,18065972010
2018-11-19,16830479000
2018-11-20,16557266740
2018-11-21,16530096460
2018-11-23,16546700520
2018-11-26,17084823010
2018-11-27,16961802020
2018-11-28,17766344200
2018-11-29,17835024630
2018-11-30,17998801040
2018-12-03,18407109970
2018-12-04,17338412290
2018-12-06,17995027390
2018-12-07,16988217570
2018-12-10,17341431210
2018-12-11,17292373760
2018-12-12,17508981270
2018-12-13,17261429830
2018-12-14,16635003930
2018-12-17,15862160410
2018-12-18,16007068570
2018-12-19,15249319650
2018-12-20,14884030330
2018-12-21,14579119410
2018-12-24,14256849700
2018-12-26,15133845960
2018-12-27,15459134590
2018-12-28,15529324480
2018-12-31,15996344000
2019-01-02,15984956000
2019-01-03,15153632000
2019-01-04,15371522400
2019-01-07,15937126400
2019-01-08,16268137600
2019-01-09,16470844000
2019-01-10,16547523200
2019-01-11,16558152000
2019-01-14,16366833600
2019-01-15,16918772000
2019-01-16,16796540800
2019-01-17,16780597600
2019-01-18,17619513600
2019-01-22,16929400800
