,WB
2015-01-30,2550013400
2015-02-02,2558212800
2015-02-03,2586910700
2015-02-04,2632007400
2015-02-05,2543863850
2015-02-06,2560262650
2015-02-09,2547963550
2015-02-10,2584860850
2015-02-11,2675054250
2015-02-12,2761147950
2015-02-13,2726300500
2015-02-17,2757048250
2015-02-18,2908737150
2015-02-19,2865690300
2015-02-20,2820593600
2015-02-23,2687353350
2015-02-24,2728350350
2015-02-25,2720150950
2015-02-26,2718101100
2015-02-27,2734499900
2015-03-02,2750898700
2015-03-03,2800095100
2015-03-04,2839042250
2015-03-05,2998930550
2015-03-06,2996880700
2015-03-09,2982531750
2015-03-10,3050176800
2015-03-11,3078874700
2015-03-12,3048126950
2015-03-13,2906687300
2015-03-16,2902587600
2015-03-17,2777546750
2015-03-18,2761147950
2015-03-19,2771397200
2015-03-20,2769347350
2015-03-23,2855441050
2015-03-24,2826743150
2015-03-25,2748848850
2015-03-26,2705802000
2015-03-27,2650456050
2015-03-30,2629957550
2015-03-31,2642256650
2015-04-01,2693505760
2015-04-02,2766134960
2015-04-06,2739158400
2015-04-07,2805562240
2015-04-08,3174933600
2015-04-09,3131356080
2015-04-10,3087778560
2015-04-13,2967421600
2015-04-14,3008924000
2015-04-15,3123055600
2015-04-16,3104379520
2015-04-17,3067027360
2015-04-20,3015149360
2015-04-21,3015149360
2015-04-22,3338868080
2015-04-23,3297365680
2015-04-24,3569206400
2015-04-27,3581657120
2015-04-28,3457149920
2015-04-29,3506952799
2015-04-30,3461300160
2015-05-01,3448849440
2015-05-04,3498652320
2015-05-05,3442624080
2015-05-06,3438473840
2015-05-07,3467525520
2015-05-08,3448849440
2015-05-11,3546380080
2015-05-12,3521478640
2015-05-13,3484126480
2015-05-14,3542229840
2015-05-15,3444699200
2015-05-18,3249637920
2015-05-19,3141731680
2015-05-20,3179083840
2015-05-21,3226811600
2015-05-22,3367919760
2015-05-26,3251713040
2015-05-27,3309816400
2015-05-28,3322267120
2015-05-29,3289065200
2015-06-01,3502802560
2015-06-02,3652211200
2015-06-03,3975929920
2015-06-04,3841047120
2015-06-05,4100437120
2015-06-08,4102512240
2015-06-09,4002906480
2015-06-10,4034033280
2015-06-11,4166840959
2015-06-12,4212493600
2015-06-15,4058934719
2015-06-16,3903300719
2015-06-17,4162690719
2015-06-18,3996681120
2015-06-19,3930277280
2015-06-22,3878399280
2015-06-23,4054784480
2015-06-24,3948953360
2015-06-25,3884624640
2015-06-26,3679187760
2015-06-29,3517328400
2015-06-30,3556755680
2015-07-01,3512993680
2015-07-02,3508806560
2015-07-06,2968668080
2015-07-07,2805370400
2015-07-08,2815838200
2015-07-09,3203146800
2015-07-10,3236643760
2015-07-13,3159182040
2015-07-14,3127778640
2015-07-15,2943545360
2015-07-16,2993790800
2015-07-17,3044036240
2015-07-20,3039849120
2015-07-21,3096375240
2015-07-22,3056597600
2015-07-23,3123591520
2015-07-24,3031474880
2015-07-27,2903767720
2015-07-28,2949826040
2015-07-29,2970761640
2015-07-30,2880738560
2015-07-31,2937264680
2015-08-03,2866083640
2015-08-04,2956106720
2015-08-05,2903767720
2015-08-06,2958200280
2015-08-07,2891206360
2015-08-10,3050316920
2015-08-11,2889112800
2015-08-12,2773967000
2015-08-13,2773967000
2015-08-14,2847241600
2015-08-17,2740470040
2015-08-18,2813744640
2015-08-19,2803276840
2015-08-20,2639979160
2015-08-21,2545768960
2015-08-24,2024472520
2015-08-25,2231734960
2015-08-26,2302916000
2015-08-27,2489242840
2015-08-28,2577172360
2015-08-31,2539488280
2015-09-01,2581359480
2015-09-02,2619043560
2015-09-03,2608575760
2015-09-04,2485055720
2015-09-08,2512272000
2015-09-09,2472494360
2015-09-10,2422248920
2015-09-11,2455745880
2015-09-14,2365722800
2015-09-15,2378284160
2015-09-16,2522739800
2015-09-17,2522739800
2015-09-18,2531114040
2015-09-21,2472494360
2015-09-22,2457839440
2015-09-23,2336412960
2015-09-24,2411781120
2015-09-25,2395032640
2015-09-28,2374097040
2015-09-29,2353161440
2015-09-30,2447371640
2015-10-01,2421678360
2015-10-02,2714640320
2015-10-05,2744147280
2015-10-06,2750470200
2015-10-07,2834775800
2015-10-08,2822129960
2015-10-09,2822129960
2015-10-12,2794730640
2015-10-13,2849529280
2015-10-14,2756793120
2015-10-15,2893789720
2015-10-16,3281595480
2015-10-19,3327963560
2015-10-20,3353255240
2015-10-21,3311102440
2015-10-22,3450206680
2015-10-23,3509220599
2015-10-26,3587203280
2015-10-27,3582988000
2015-10-28,3635679000
2015-10-29,3403838599
2015-10-30,3397515680
2015-11-02,3534512280
2015-11-03,3633571359
2015-11-04,3690477640
2015-11-05,3722092240
2015-11-06,3753706839
2015-11-09,3755814480
2015-11-10,3709446400
2015-11-11,3692585280
2015-11-12,3785321440
2015-11-13,3486036560
2015-11-16,3578772720
2015-11-17,3601956760
2015-11-18,3724199880
2015-11-19,3797967280
2015-11-20,3760029760
2015-11-23,3785321440
2015-11-24,3760029760
2015-11-25,3901241640
2015-11-27,3766352680
2015-11-30,3920210400
2015-12-01,3928640960
2015-12-02,3939179160
2015-12-03,3890703440
2015-12-04,3943394440
2015-12-07,3970793760
2015-12-08,3958147920
2015-12-09,3941286800
2015-12-10,3888595800
2015-12-11,3846443000
2015-12-14,3863304119
2015-12-15,3909672200
2015-12-16,3983439599
2015-12-17,4177342480
2015-12-18,4071960480
2015-12-21,4152050800
2015-12-22,4253217520
2015-12-23,4301693240
2015-12-24,4213172359
2015-12-28,4194203599
2015-12-29,4192095960
2015-12-30,4105682720
2015-12-31,4109898000
2016-01-04,4003393340
2016-01-05,4090423630
2016-01-06,4020374860
2016-01-07,3619186450
2016-01-08,3697725980
2016-01-11,3534278849
2016-01-12,3606450309
2016-01-13,3493947740
2016-01-14,3563996510
2016-01-15,3370831720
2016-01-19,3400549380
2016-01-20,3317764470
2016-01-21,3362340960
2016-01-22,3440880490
2016-01-25,3462107389
2016-01-26,3300782950
2016-01-27,3294414880
2016-01-28,3184035000
2016-01-29,3230734180
2016-02-01,3313519090
2016-02-02,3120354300
2016-02-03,3058796290
2016-02-04,3122476990
2016-02-05,2927189510
2016-02-08,2746760860
2016-02-09,2702184370
2016-02-10,2691570920
2016-02-11,2610908700
2016-02-12,2566332210
2016-02-16,2876244950
2016-02-17,3041814770
2016-02-18,3071532430
2016-02-19,3162808100
2016-02-22,3285924120
2016-02-23,3224366110
2016-02-24,3288046810
2016-02-25,3186157690
2016-02-26,3217998040
2016-02-29,3048182840
2016-03-01,3128845060
2016-03-02,3088513950
2016-03-03,3381445170
2016-03-04,3347482130
2016-03-07,3398426690
2016-03-08,3398426690
2016-03-09,3561873820
2016-03-10,3761406679
2016-03-11,3837823519
2016-03-14,3752915920
2016-03-15,3701971360
2016-03-16,3750793230
2016-03-17,3842068900
2016-03-18,4001270650
2016-03-21,4009761410
2016-03-22,4022497550
2016-03-23,3854805040
2016-03-24,3822964690
2016-03-28,3909994980
2016-03-29,3912117670
2016-03-30,3893013460
2016-03-31,3810228550
2016-04-01,3839395260
2016-04-04,3875696549
2016-04-05,3843666000
2016-04-06,4339071840
2016-04-07,4300635180
2016-04-08,4480006260
2016-04-11,4526984400
2016-04-12,4480006260
2016-04-13,4672189560
2016-04-14,4691407890
2016-04-15,4554744210
2016-04-18,4567556430
2016-04-19,4687137150
2016-04-20,4949787660
2016-04-21,5139835590
2016-04-22,5062962270
2016-04-25,5165460030
2016-04-26,5159053920
2016-04-27,4981818210
2016-04-28,5165460030
2016-04-29,5225250390
2016-05-02,5206032060
2016-05-03,4847289900
2016-05-04,4975412100
2016-05-05,5037337830
2016-05-06,4875049710
2016-05-09,4601722350
2016-05-10,4949787660
2016-05-11,4928433960
2016-05-12,4872914340
2016-05-13,4975412100
2016-05-16,5028796350
2016-05-17,4919892480
2016-05-18,4986088950
2016-05-19,4932704700
2016-05-20,4911351000
2016-05-23,4936975440
2016-05-24,4983953580
2016-05-25,5178272250
2016-05-26,5050150050
2016-05-27,5468682570
2016-05-31,5677948830
2016-06-01,5733468450
2016-06-02,5720656230
2016-06-03,5880808980
2016-06-06,6188302260
2016-06-07,6058044690
2016-06-08,6113564310
2016-06-09,5934193230
2016-06-10,5782581960
2016-06-13,5705708640
2016-06-14,5998254330
2016-06-15,5947005450
2016-06-16,5767634370
2016-06-17,5705708640
2016-06-20,5987577480
2016-06-21,5940599340
2016-06-22,5735603820
2016-06-23,5895756570
2016-06-24,5765499000
2016-06-27,5648053650
2016-06-28,5739874560
2016-06-29,5857319910
2016-06-30,6066586170
2016-07-01,6155250340
2016-07-05,6232891900
2016-07-06,6144466790
2016-07-07,6808733470
2016-07-08,6672860740
2016-07-11,6879904900
2016-07-12,7022247760
2016-07-13,6884218320
2016-07-14,7026561180
2016-07-15,6899315290
2016-07-18,7091262480
2016-07-19,7212038239
2016-07-20,7117143000
2016-07-21,7134396680
2016-07-22,7181844299
2016-07-25,6961859880
2016-07-26,7086949060
2016-07-27,6998523950
2016-07-28,6992053820
2016-07-29,7017934340
2016-08-01,7341440840
2016-08-02,7164590620
2016-08-03,7117143000
2016-08-04,7302620060
2016-08-05,7733962060
2016-08-08,8016491070
2016-08-09,9017204510
2016-08-10,9260912740
2016-08-11,9204838280
2016-08-12,9211308410
2016-08-15,9860478120
2016-08-16,9314830490
2016-08-17,9426979410
2016-08-18,9759112750
2016-08-19,9560695430
2016-08-22,9709508420
2016-08-23,10013604530
2016-08-24,9802246950
2016-08-25,9901455610
2016-08-26,10434162980
2016-08-29,10509647830
2016-08-30,10252999340
2016-08-31,10302603670
2016-09-01,10572192420
2016-09-02,10684341340
2016-09-06,11044511910
2016-09-07,10611013200
2016-09-08,10615326620
2016-09-09,10350051290
2016-09-12,10388872070
2016-09-13,9992037430
2016-09-14,10324170770
2016-09-15,10561408870
2016-09-16,10643363850
2016-09-19,10518274670
2016-09-20,10298290250
2016-09-21,10677871210
2016-09-22,10671401080
2016-09-23,10600229650
2016-09-26,10539841770
2016-09-27,11135093730
2016-09-28,11115683340
2016-09-29,11083332690
2016-09-30,10813743940
2016-10-03,11090664000
2016-10-04,11816993760
2016-10-05,11542989120
2016-10-06,11445130320
2016-10-07,11286381600
2016-10-10,12145364400
2016-10-11,11425558560
2016-10-12,11627800080
2016-10-13,11479924560
2016-10-14,11542989120
2016-10-17,11506020240
2016-10-18,11523417360
2016-10-19,11479924560
2016-10-20,11340747600
2016-10-21,11147204640
2016-10-24,11273333760
2016-10-25,11186348160
2016-10-26,11025424800
2016-10-27,10803611520
2016-10-28,10629640320
2016-10-31,10005518640
2016-11-01,10049011440
2016-11-02,9733688640
2016-11-03,9759784320
2016-11-04,9875040240
2016-11-07,10547004000
2016-11-08,10149044880
2016-11-09,10418700240
2016-11-10,9759784320
2016-11-11,9875040240
2016-11-14,9113916240
2016-11-15,9744561840
2016-11-16,9681497280
2016-11-17,9733688640
2016-11-18,9629305920
2016-11-21,9918533040
2016-11-22,10647037440
2016-11-23,10862326800
2016-11-25,10666609200
2016-11-28,11262460560
2016-11-29,11249412720
2016-11-30,11158077840
2016-12-01,10025090400
2016-12-02,10090329600
2016-12-05,10342587840
2016-12-06,10046836800
2016-12-07,10281697920
2016-12-08,10603544640
2016-12-09,10536130800
2016-12-12,10135997040
2016-12-13,10088154960
2016-12-14,9888088080
2016-12-15,9487954320
2016-12-16,9429239040
2016-12-19,9157409040
2016-12-20,9250918560
2016-12-21,9283538160
2016-12-22,8848610160
2016-12-23,8970390000
2016-12-27,9235696080
2016-12-28,9016057440
2016-12-29,8946468960
2016-12-30,8829038400
2017-01-03,9070198800
2017-01-04,9430387200
2017-01-05,9810222240
2017-01-06,9768746000
2017-01-09,9851698480
2017-01-10,9976127200
2017-01-11,9906272480
2017-01-12,10074360400
2017-01-13,10410536240
2017-01-17,10183508400
2017-01-18,10207520960
2017-01-19,10277375680
2017-01-20,10240265360
2017-01-23,10375608880
2017-01-24,10521867200
2017-01-25,10609185600
2017-01-26,10353779280
2017-01-27,10502220560
2017-01-30,10345047440
2017-01-31,10526233120
2017-02-01,10471659120
2017-02-02,10720516560
2017-02-03,10598270800
2017-02-06,11100351600
2017-02-07,11622079040
2017-02-08,11552224320
2017-02-09,11766154400
2017-02-10,11591517600
2017-02-13,11873119440
2017-02-14,11977901520
2017-02-15,11825094320
2017-02-16,12063036960
2017-02-17,12073951760
2017-02-21,12680814640
2017-02-22,12707010160
2017-02-23,10672491440
2017-02-24,11152742640
2017-02-27,11229146240
2017-02-28,11028313920
2017-03-01,11170206320
2017-03-02,11023948000
2017-03-03,10980288800
2017-03-06,10842762320
2017-03-07,10836213440
2017-03-08,10903885200
2017-03-09,10613551520
2017-03-10,10443280640
2017-03-13,10879872640
2017-03-14,10724882480
2017-03-15,10849311200
2017-03-16,11163657440
2017-03-17,11154925600
2017-03-20,11071973120
2017-03-21,10423634000
2017-03-22,10679040320
2017-03-23,10729248400
2017-03-24,10866774880
2017-03-27,11109083440
2017-03-28,11266256560
2017-03-29,11702848560
2017-03-30,11453991120
2017-03-31,11390685280
2017-04-03,11510578560
2017-04-04,11096497280
2017-04-05,10951128320
2017-04-06,10981964160
2017-04-07,10957736000
2017-04-10,11147156160
2017-04-11,11140548480
2017-04-12,11096497280
2017-04-13,11048040960
2017-04-17,11114117760
2017-04-18,11098699840
2017-04-19,11136143360
2017-04-20,11440096640
2017-04-21,11644934720
2017-04-24,11816734400
2017-04-25,11940077760
2017-04-26,12111877440
2017-04-27,12195574720
2017-04-28,12303500160
2017-05-01,12180156800
2017-05-02,12188967040
2017-05-03,12048003200
2017-05-04,12239625920
2017-05-05,12481907520
2017-05-08,13067788480
2017-05-09,13442223680
2017-05-10,13768202560
2017-05-11,13792430720
2017-05-12,13752784640
2017-05-15,13854102400
2017-05-16,17312121600
2017-05-17,16475148800
2017-05-18,17409034240
2017-05-19,17248247360
2017-05-22,17785672000
2017-05-23,16955306880
2017-05-24,16596289599
2017-05-25,17085257919
2017-05-26,17085257919
2017-05-30,16411274560
2017-05-31,16195423680
2017-06-01,16329779840
2017-06-02,16413477120
2017-06-05,16583074240
2017-06-06,16624922880
2017-06-07,17360577920
2017-06-08,17098473279
2017-06-09,16499376960
2017-06-12,16461933439
2017-06-13,16285728640
2017-06-14,15816583360
2017-06-15,15845216640
2017-06-16,15660201599
2017-06-19,16468541120
2017-06-20,16316564480
2017-06-21,16950901759
2017-06-22,15913496000
2017-06-23,15942129279
2017-06-26,15772532160
2017-06-27,15215284480
2017-06-28,15276956160
2017-06-29,14851862080
2017-06-30,14640416320
2017-07-03,15130175240
2017-07-05,15194389360
2017-07-06,15121318120
2017-07-07,15371531760
2017-07-10,15225389280
2017-07-11,15234246400
2017-07-12,16066815680
2017-07-13,16188601080
2017-07-14,16454314680
2017-07-17,16038030040
2017-07-18,16463171799
2017-07-19,16429957600
2017-07-20,16286029400
2017-07-21,16370172040
2017-07-24,16983527600
2017-07-25,16828528000
2017-07-26,16906027799
2017-07-27,16412243360
2017-07-28,16906027799
2017-07-31,17038884600
2017-08-01,17193884200
2017-08-02,16859527920
2017-08-03,17333383840
2017-08-04,17441883560
2017-08-07,19100379280
2017-08-08,19100379280
2017-08-09,19315164440
2017-08-10,18201381600
2017-08-11,18316524160
2017-08-14,19011808080
2017-08-15,18923236880
2017-08-16,19510021080
2017-08-17,19556520960
2017-08-18,19857663040
2017-08-21,20163233680
2017-08-22,20905017480
2017-08-23,21569301480
2017-08-24,21746443880
2017-08-25,21254873720
2017-08-28,21053374240
2017-08-29,21469658880
2017-08-30,21677801200
2017-08-31,22386370800
2017-09-01,23187940160
2017-09-05,22784941200
2017-09-06,22660941520
2017-09-07,23621939040
2017-09-08,23207868680
2017-09-11,23606439080
2017-09-12,23606439080
2017-09-13,23493510800
2017-09-14,23688367440
2017-09-15,23495725080
2017-09-18,23234440040
2017-09-19,23325225520
2017-09-20,22319942400
2017-09-21,22100728680
2017-09-22,22151657120
2017-09-25,21159659680
2017-09-26,21458587480
2017-09-27,21799586600
2017-09-28,21719872520
2017-09-29,21908086320
2017-10-02,22305553710
2017-10-03,23154315690
2017-10-04,22927682910
2017-10-05,22552183500
2017-10-06,22307775600
2017-10-09,22292222370
2017-10-10,22156687080
2017-10-11,22152243300
2017-10-12,21965604540
2017-10-13,22161130860
2017-10-16,22012264230
2017-10-17,21814516020
2017-10-18,22056702030
2017-10-19,21527892210
2017-10-20,21214605720
2017-10-23,21345697230
2017-10-24,21292371870
2017-10-25,20074776150
2017-10-26,19988122440
2017-10-27,20194758210
2017-10-30,19968125430
2017-10-31,20585810850
2017-11-01,21463457400
2017-11-02,21036854520
2017-11-03,21421241490
2017-11-06,22043370690
2017-11-07,22058923920
2017-11-08,24211935330
2017-11-09,24283035810
2017-11-10,23365395240
2017-11-13,24125281620
2017-11-14,24931827690
2017-11-15,24700751130
2017-11-16,26156089080
2017-11-17,25713932970
2017-11-20,26758221270
2017-11-21,26560473060
2017-11-22,26096098050
2017-11-24,26104985610
2017-11-27,25411755930
2017-11-28,25776145890
2017-11-29,24622984980
2017-11-30,24120837840
2017-12-01,23292072870
2017-12-04,22669943670
2017-12-05,22309997490
2017-12-06,21854510040
2017-12-07,22376654190
2017-12-08,22272225360
2017-12-11,23107656000
2017-12-12,22594399410
2017-12-13,23003227170
2017-12-14,22625505870
2017-12-15,22823254080
2017-12-18,23994190110
2017-12-19,23809773240
2017-12-20,23447605170
2017-12-21,23934199080
2017-12-22,23734228980
2017-12-26,23347620120
2017-12-27,23189865930
2017-12-28,23180978370
2017-12-29,22987673940
2018-01-02,25225819340
2018-01-03,25653791180
2018-01-04,25903441420
2018-01-05,26939935720
2018-01-08,26754927060
2018-01-09,27122715360
2018-01-10,26770530200
2018-01-11,26732636860
2018-01-12,27069218880
2018-01-16,27459297380
2018-01-17,28798938399
2018-01-18,28892557240
2018-01-19,29041901580
2018-01-22,29229139260
2018-01-23,29362880459
2018-01-24,28660739160
2018-01-25,29093169040
2018-01-26,30336962200
2018-01-29,29454270279
2018-01-30,28662968180
2018-01-31,28881412140
2018-02-01,28999550200
2018-02-02,27069218880
2018-02-05,26193214020
2018-02-06,26371535620
2018-02-07,26197672060
2018-02-08,24911527520
2018-02-09,25711745700
2018-02-12,26371535620
2018-02-13,28901473320
2018-02-14,31126035279
2018-02-15,30118518240
2018-02-16,30033815480
2018-02-20,29846577800
2018-02-21,30481848500
2018-02-22,30027128420
2018-02-23,31148325480
2018-02-26,29594698540
2018-02-27,28783335260
2018-02-28,28647365040
2018-03-01,28482417560
2018-03-02,29099856100
2018-03-05,29262574560
2018-03-06,30225511200
2018-03-07,30967774860
2018-03-08,30664628140
2018-03-09,30651254019
2018-03-12,29128833360
2018-03-13,29229139260
2018-03-14,29309383980
2018-03-15,29806455440
2018-03-16,29652653060
2018-03-19,29770791120
2018-03-20,30301297880
2018-03-21,29900074279
2018-03-22,27820398620
2018-03-23,27367907560
2018-03-26,28705319560
2018-03-27,26353703460
2018-03-28,25653791180
2018-03-29,26645705080
2018-04-02,25888399020
2018-04-03,25709565420
2018-04-04,26049349260
2018-04-05,25959932460
2018-04-06,25394371200
2018-04-09,26185709880
2018-04-10,27623084940
2018-04-11,27699089220
2018-04-12,27404013780
2018-04-13,25524025560
2018-04-16,26053820100
2018-04-17,26909985960
2018-04-18,26462901960
2018-04-19,26449489440
2018-04-20,26621616780
2018-04-23,26366778900
2018-04-24,25512848460
2018-04-25,24339252960
2018-04-26,24949522620
2018-04-27,25007643540
2018-04-30,25600029840
2018-05-01,25819101000
2018-05-02,26004640860
2018-05-03,25863809400
2018-05-04,25769921760
2018-05-07,27576141120
2018-05-08,28611140580
2018-05-09,24549382440
2018-05-10,25202125080
2018-05-11,23990527440
2018-05-14,24097827600
2018-05-15,23371316100
2018-05-16,23212601280
2018-05-17,22756575600
2018-05-18,22716338040
2018-05-21,22678335900
2018-05-22,22948821720
2018-05-23,23132126160
2018-05-24,22890700800
2018-05-25,22928702940
2018-05-29,22848227820
2018-05-30,22859404920
2018-05-31,22781165220
2018-06-01,23091888600
2018-06-04,23331078540
2018-06-05,23737924980
2018-06-06,23509912140
2018-06-07,23516618400
2018-06-08,23816164680
2018-06-11,23212601280
2018-06-12,23670862380
2018-06-13,24001704540
2018-06-14,24882460020
2018-06-15,24518086560
2018-06-18,23988292020
2018-06-19,22615744140
2018-06-20,23293076400
2018-06-21,22052418300
2018-06-22,21945118140
2018-06-25,20858704020
2018-06-26,20626220340
2018-06-27,19479449880
2018-06-28,19656048060
2018-06-29,19841587920
2018-07-02,19957024200
2018-07-03,19724001800
2018-07-05,19732964200
2018-07-06,20263986400
2018-07-09,20382738200
2018-07-10,20228136800
2018-07-11,19856197200
2018-07-12,20311039000
2018-07-13,20315520200
2018-07-16,20225896200
2018-07-17,20331204400
2018-07-18,20055610600
2018-07-19,19508904200
2018-07-20,19739686000
2018-07-23,19797941600
2018-07-24,19777776200
2018-07-25,20102663200
2018-07-26,19717280000
2018-07-27,19504423000
2018-07-30,18395326000
2018-07-31,18540965000
2018-08-01,18366198200
2018-08-02,17922559400
2018-08-03,18101807400
2018-08-06,18619386000
2018-08-07,18702288200
2018-08-08,17944965400
2018-08-09,17951687200
2018-08-10,18048033000
2018-08-13,17216770400
2018-08-14,16936695400
2018-08-15,16309327400
2018-08-16,16571477599
2018-08-17,16782094000
2018-08-20,17198845600
2018-08-21,17510289000
2018-08-22,17752273800
2018-08-23,17490123600
2018-08-24,17604394200
2018-08-27,18097326200
2018-08-28,17947206000
2018-08-29,17893431600
2018-08-30,17127146400
2018-08-31,17194364400
2018-09-04,17030800600
2018-09-05,16199538000
2018-09-06,16190575600
2018-09-07,16354139399
2018-09-10,15832079600
2018-09-11,15397403200
2018-09-12,15531839199
2018-09-13,16434800999
2018-09-14,16325011600
2018-09-17,16224184600
2018-09-18,16143523000
2018-09-19,17008394600
2018-09-20,17344484600
2018-09-21,17407221400
2018-09-24,16956860800
2018-09-25,16961342000
2018-09-26,17046484800
2018-09-27,17073372000
2018-09-28,16385507799
2018-10-01,16279217080
2018-10-02,15354363600
2018-10-03,15572108230
2018-10-04,14712353660
2018-10-05,14422775750
2018-10-08,14382369529
2018-10-09,13711177320
2018-10-10,12683063500
2018-10-11,12530417780
2018-10-12,13387927560
2018-10-15,13551797230
2018-10-16,14173604060
2018-10-17,13616896140
2018-10-18,13129776710
2018-10-19,12793058210
2018-10-22,13664036730
2018-10-23,13201609990
2018-10-24,12339610630
2018-10-25,12644902070
2018-10-26,12824485270
2018-10-29,12267777350
2018-10-30,12362058530
2018-10-31,13246505790
2018-11-01,14871733750
2018-11-02,14535015250
2018-11-05,14398083060
2018-11-06,14591135000
2018-11-07,14611338110
2018-11-08,13821172030
2018-11-09,12831219640
2018-11-12,12256553400
2018-11-13,12449605340
2018-11-14,12833464430
2018-11-15,13482208740
2018-11-16,13300380750
2018-11-19,12750407200
2018-11-20,12761631150
2018-11-21,13482208740
2018-11-23,12779589470
2018-11-26,13300380750
2018-11-27,13266708900
2018-11-28,13915453210
2018-11-29,13408130670
2018-11-30,14294822720
