,IRM
2000-08-23,1802300557
2000-08-24,1815253436
2000-08-25,1822655081
2000-08-28,1850411250
2000-08-29,1863364128
2000-08-30,1854112072
2000-08-31,1870765773
2000-09-01,1870765773
2000-09-05,1867064951
2000-09-06,1878167418
2000-09-07,1867064951
2000-09-08,1887419474
2000-09-11,1857812894
2000-09-12,1839308782
2000-09-13,1894821120
2000-09-14,1915175643
2000-09-15,1863364128
2000-09-18,1809702202
2000-09-19,1789347678
2000-09-20,1774544388
2000-09-21,1746788220
2000-09-22,1717181640
2000-09-25,1706079172
2000-09-26,1781946033
2000-09-27,1878167418
2000-09-28,1942931812
2000-09-29,2028050730
2000-10-02,1951188750
2000-10-03,1958621849
2000-10-04,1958621849
2000-10-05,1999503900
2000-10-06,1951188750
2000-10-09,1930747725
2000-10-10,1982779425
2000-10-11,1940039100
2000-10-12,1927031174
2000-10-13,1971629775
2000-10-16,1919598075
2000-10-17,1923314625
2000-10-18,1858275000
2000-10-19,1923314625
2000-10-20,1930747725
2000-10-23,1869424650
2000-10-24,1899157050
2000-10-25,1893582225
2000-10-26,1871282925
2000-10-27,1915881525
2000-10-30,1927031174
2000-10-31,1861991550
2000-11-01,1813676400
2000-11-02,1821109500
2000-11-03,1806243300
2000-11-06,1793235375
2000-11-07,1789518825
2000-11-08,1834117424
2000-11-09,1817392950
2000-11-10,1802526749
2000-11-13,1806243300
2000-11-14,1793235375
2000-11-15,1813676400
2000-11-16,1793235375
2000-11-17,1809959850
2000-11-20,1752353325
2000-11-21,1806243300
2000-11-22,1800668475
2000-11-24,1802526749
2000-11-27,1800668475
2000-11-28,1822967775
2000-11-29,1822967775
2000-11-30,1826684325
2000-12-01,1757928150
2000-12-04,1661297850
2000-12-05,1683597150
2000-12-06,1676164050
2000-12-07,1672447500
2000-12-08,1737487125
2000-12-11,1757928150
2000-12-12,1720762650
2000-12-13,1744920225
2000-12-14,1696605075
2000-12-15,1822967775
2000-12-18,1785802275
2000-12-19,1821109500
2000-12-20,1785802275
2000-12-21,1847125350
2000-12-22,1906590150
2000-12-26,1930747725
2000-12-27,1940039100
2000-12-28,1982779425
2000-12-29,2044102500
2001-01-02,1829506702
2001-01-03,1908074474
2001-01-04,1881885217
2001-01-05,1943617038
2001-01-08,1932393071
2001-01-09,1911815797
2001-01-10,1906203813
2001-01-11,1915557120
2001-01-12,1932393071
2001-01-16,1939875716
2001-01-17,1995995553
2001-01-18,2001607537
2001-01-19,1977288941
2001-01-22,1992254231
2001-01-23,2005348860
2001-01-24,2029667456
2001-01-25,2022184811
2001-01-26,2037150101
2001-01-29,2065210019
2001-01-30,2068951342
2001-01-31,2061468697
2001-02-01,2055856713
2001-02-02,2063339358
2001-02-05,2065210019
2001-02-06,2113847212
2001-02-07,2104493906
2001-02-08,2093269938
2001-02-09,2119459196
2001-02-12,2113847212
2001-02-13,2117588535
2001-02-14,2119459196
2001-02-15,2111976551
2001-02-16,2106364567
2001-02-20,2100752583
2001-02-21,2125071180
2001-02-22,2119459196
2001-02-23,2128812502
2001-02-26,2123200518
2001-02-27,2115717873
2001-02-28,2162484405
2001-03-01,2192414985
2001-03-02,2242922838
2001-03-05,2267241435
2001-03-06,2312137305
2001-03-07,2300913337
2001-03-08,2267241435
2001-03-09,2224216226
2001-03-12,2199897630
2001-03-13,2158743082
2001-03-14,2100752583
2001-03-15,2042762085
2001-03-16,2042762085
2001-03-19,2046503407
2001-03-20,2012831505
2001-03-21,2001607537
2001-03-22,1967935635
2001-03-23,2020314150
2001-03-26,2046503407
2001-03-27,2061468697
2001-03-28,2065210019
2001-03-29,2067080681
2001-03-30,2123200518
2001-04-02,2086703808
2001-04-03,2002183852
2001-04-04,1989036303
2001-04-05,2030357171
2001-04-06,1958984763
2001-04-09,2047261162
2001-04-10,2045382941
2001-04-11,2022844286
2001-04-12,2028478950
2001-04-16,1977766976
2001-04-17,1966497648
2001-04-18,2004062073
2001-04-19,2000305631
2001-04-20,1983401640
2001-04-23,1938324330
2001-04-24,1972132312
2001-04-25,1975888755
2001-04-26,1981523418
2001-04-27,1983401640
2001-04-30,2011574958
2001-05-01,2097973136
2001-05-02,2176858428
2001-05-03,2143050446
2001-05-04,2161832658
2001-05-07,2165589101
2001-05-08,2167467322
2001-05-09,2220057517
2001-05-10,2236961508
2001-05-11,2229448623
2001-05-14,2201275305
2001-05-15,2236961508
2001-05-16,2223813960
2001-05-17,2259500163
2001-05-18,2295186367
2001-05-21,2272647712
2001-05-22,2268891270
2001-05-23,2231326845
2001-05-24,2233205066
2001-05-25,2244474393
2001-05-29,2225692181
2001-05-30,2255743721
2001-05-31,2287673482
2001-06-01,2291429925
2001-06-04,2300821031
2001-06-05,2289551703
2001-06-06,2291429925
2001-06-07,2321481465
2001-06-08,2330872571
2001-06-11,2300821031
2001-06-12,2308333916
2001-06-13,2291429925
2001-06-14,2321481465
2001-06-15,2310212137
2001-06-18,2287673482
2001-06-19,2287673482
2001-06-20,2287673482
2001-06-21,2323359686
2001-06-22,2295186367
2001-06-25,2304577473
2001-06-26,2336507235
2001-06-27,2377828102
2001-06-28,2415392527
2001-06-29,2496156041
2001-07-02,2408582546
2001-07-03,2416121146
2001-07-05,2389736047
2001-07-06,2353927700
2001-07-09,2401043947
2001-07-10,2384082098
2001-07-11,2367120249
2001-07-12,2359581649
2001-07-13,2372774198
2001-07-16,2389736047
2001-07-17,2399159297
2001-07-18,2389736047
2001-07-19,2376543498
2001-07-20,2376543498
2001-07-23,2350158400
2001-07-24,2344504450
2001-07-25,2346389100
2001-07-26,2346389100
2001-07-27,2344504450
2001-07-30,2344504450
2001-07-31,2436852294
2001-08-01,2457583443
2001-08-02,2499045740
2001-08-03,2418005796
2001-08-06,2414236496
2001-08-07,2367120249
2001-08-08,2391620697
2001-08-09,2372774198
2001-08-10,2369004899
2001-08-13,2361466299
2001-08-14,2355812350
2001-08-15,2378428148
2001-08-16,2376543498
2001-08-17,2365235599
2001-08-20,2353927700
2001-08-21,2389736047
2001-08-22,2325657951
2001-08-23,2342619800
2001-08-24,2367120249
2001-08-27,2361466299
2001-08-28,2367120249
2001-08-29,2370889549
2001-08-30,2372774198
2001-08-31,2382197448
2001-09-04,2359581649
2001-09-05,2312465402
2001-09-06,2303042153
2001-09-07,2284195654
2001-09-10,2280426354
2001-09-17,2346389100
2001-09-18,2357696999
2001-09-19,2312465402
2001-09-20,2295503553
2001-09-21,2269118455
2001-09-24,2280426354
2001-09-25,2289849604
2001-09-26,2265349155
2001-09-27,2267233805
2001-09-28,2314350052
2001-10-01,2314113030
2001-10-02,2251466820
2001-10-03,2316011400
2001-10-04,2304621180
2001-10-05,2276145630
2001-10-08,2266653780
2001-10-09,2255263560
2001-10-10,2259060300
2001-10-11,2291332590
2001-10-12,2266653780
2001-10-15,2262857040
2001-10-16,2300824440
2001-10-17,2325503250
2001-10-18,2319808140
2001-10-19,2316011400
2001-10-22,2279942370
2001-10-23,2314113030
2001-10-24,2317909770
2001-10-25,2297027700
2001-10-26,2312214660
2001-10-29,2319808140
2001-10-30,2340690210
2001-10-31,2196414090
2001-11-01,2171735280
2001-11-02,2249568450
2001-11-05,2259060300
2001-11-06,2260958670
2001-11-07,2278044000
2001-11-08,2281840740
2001-11-09,2308417920
2001-11-12,2298926070
2001-11-13,2338791840
2001-11-14,2355877170
2001-11-15,2412828270
2001-11-16,2382454350
2001-11-19,2418523380
2001-11-20,2435608710
2001-11-21,2418523380
2001-11-23,2456490780
2001-11-26,2418523380
2001-11-27,2412828270
2001-11-28,2439405450
2001-11-29,2433710340
2001-11-30,2435608710
2001-12-03,2445100560
2001-12-04,2475474480
2001-12-05,2536222320
2001-12-06,2564697870
2001-12-07,2566596240
2001-12-10,2524832100
2001-12-11,2524832100
2001-12-12,2505848400
2001-12-13,2460287520
2001-12-14,2446998930
2001-12-17,2469779370
2001-12-18,2452694040
2001-12-19,2458389150
2001-12-20,2471677740
2001-12-21,2492559810
2001-12-24,2473576110
2001-12-26,2488763070
2001-12-27,2494458180
2001-12-28,2479271220
2001-12-31,2464084260
2002-01-02,2488763070
2002-01-03,2503950030
2002-01-04,2541917430
2002-01-07,2536222320
2002-01-08,2526730470
2002-01-09,2693787030
2002-01-10,2691888660
2002-01-11,2703278880
2002-01-14,2691888660
2002-01-15,2712770730
2002-01-16,2707075620
2002-01-17,2733652800
2002-01-18,2699482140
2002-01-22,2688091920
2002-01-23,2655819630
2002-01-24,2653921260
2002-01-25,2657718000
2002-01-28,2676701700
2002-01-29,2699482140
2002-01-30,2703278880
2002-01-31,2703278880
2002-02-01,2699482140
2002-02-04,2672904960
2002-02-05,2595071790
2002-02-06,2540019060
2002-02-07,2528628840
2002-02-08,2513441880
2002-02-11,2595071790
2002-02-12,2577986460
2002-02-13,2521035360
2002-02-14,2524832100
2002-02-15,2583681570
2002-02-19,2540019060
2002-02-20,2560901130
2002-02-21,2530527210
2002-02-22,2545714170
2002-02-25,2574189720
2002-02-26,2570392980
2002-02-27,2631140820
2002-02-28,2697583770
2002-03-01,2617852230
2002-03-04,2674803330
2002-03-05,2680498440
2002-03-06,2678600070
2002-03-07,2671006590
2002-03-08,2648226150
2002-03-11,2600766900
2002-03-12,2595071790
2002-03-13,2564697870
2002-03-14,2557104390
2002-03-15,2521035360
2002-03-18,2513441880
2002-03-19,2577986460
2002-03-20,2602665270
2002-03-21,2648226150
2002-03-22,2650124520
2002-03-25,2581783200
2002-03-26,2604563640
2002-03-27,2653921260
2002-03-28,2676701700
2002-04-01,2659016970
2002-04-02,2624780700
2002-04-03,2607662565
2002-04-04,2605760550
2002-04-05,2609564580
2002-04-08,2620976670
2002-04-09,2605760550
2002-04-10,2603858535
2002-04-11,2611466595
2002-04-12,2628584730
2002-04-15,2624780700
2002-04-16,2662821000
2002-04-17,2620976670
2002-04-18,2647604880
2002-04-19,2670429060
2002-04-22,2632388760
2002-04-23,2693253240
2002-04-24,2641898835
2002-04-25,2632388760
2002-04-26,2660918985
2002-04-29,2617172640
2002-04-30,2603858535
2002-05-01,2712273390
2002-05-02,2693253240
2002-05-03,2681841150
2002-05-06,2657114955
2002-05-07,2620976670
2002-05-08,2670429060
2002-05-09,2704665330
2002-05-10,2689449210
2002-05-13,2717979435
2002-05-14,2721783465
2002-05-15,2776941900
2002-05-16,2752215705
2002-05-17,2746509660
2002-05-20,2721783465
2002-05-21,2708469360
2002-05-22,2693253240
2002-05-23,2735097570
2002-05-24,2738901600
2002-05-28,2689449210
2002-05-29,2634290775
2002-05-30,2607662565
2002-05-31,2620976670
2002-06-03,2641898835
2002-06-04,2590544430
2002-06-05,2622878685
2002-06-06,2579132340
2002-06-07,2609564580
2002-06-10,2567720250
2002-06-11,2541092040
2002-06-12,2556308160
2002-06-13,2552504130
2002-06-14,2554406145
2002-06-17,2645702865
2002-06-18,2697057270
2002-06-19,2685645180
2002-06-20,2651408910
2002-06-21,2639996820
2002-06-24,2579132340
2002-06-25,2603858535
2002-06-26,2556308160
2002-06-27,2556308160
2002-06-28,2607662565
2002-07-01,2566569260
2002-07-02,2396988960
2002-07-03,2326489285
2002-07-05,2400799753
2002-07-08,2425569909
2002-07-09,2370313407
2002-07-10,2307435318
2002-07-11,2366502614
2002-07-12,2393178167
2002-07-15,2376029597
2002-07-16,2328394681
2002-07-17,2356975631
2002-07-18,2311246112
2002-07-19,2215976280
2002-07-22,2124517242
2002-07-23,2054017567
2002-07-24,2147382002
2002-07-25,2145476605
2002-07-26,2168341364
2002-07-29,2282665162
2002-07-30,2324583888
2002-07-31,2518934344
2002-08-01,2456056256
2002-08-02,2419853720
2002-08-05,2351259441
2002-08-06,2393178167
2002-08-07,2356975631
2002-08-08,2431286099
2002-08-09,2429380703
2002-08-12,2425569909
2002-08-13,2370313407
2002-08-14,2370313407
2002-08-15,2435096893
2002-08-16,2471299429
2002-08-19,2549420690
2002-08-20,2536082914
2002-08-21,2505596568
2002-08-22,2467488635
2002-08-23,2444623876
2002-08-26,2456056256
2002-08-27,2408421340
2002-08-28,2389367374
2002-08-29,2360786424
2002-08-30,2355070234
2002-09-03,2276948972
2002-09-04,2322678491
2002-09-05,2233124850
2002-09-06,2242651833
2002-09-09,2240746436
2002-09-10,2254084213
2002-09-11,2238841040
2002-09-12,2196922314
2002-09-13,2206449297
2002-09-16,2202638504
2002-09-17,2185489934
2002-09-18,2179773744
2002-09-19,2158814381
2002-09-20,2153098191
2002-09-23,2134044225
2002-09-24,2082598516
2002-09-25,2141665812
2002-09-26,2206449297
2002-09-27,2130233432
2002-09-30,2127212257
2002-10-01,2161676542
2002-10-02,2085089242
2002-10-03,2016160672
2002-10-04,1870644802
2002-10-07,1822777740
2002-10-08,1939573372
2002-10-09,1956805515
2002-10-10,2016160672
2002-10-11,2071686465
2002-10-14,2083174560
2002-10-15,2152103130
2002-10-16,2108065432
2002-10-17,2186567415
2002-10-18,2182738050
2002-10-21,2236349160
2002-10-22,2234434477
2002-10-23,2263154715
2002-10-24,2257410667
2002-10-25,2307192412
2002-10-28,2251666620
2002-10-29,2224861065
2002-10-30,2255495985
2002-10-31,2401011855
2002-11-01,2485257885
2002-11-04,2496745980
2002-11-05,2519722170
2002-11-06,2577162645
2002-11-07,2542698360
2002-11-08,2527380900
2002-11-11,2441220187
2002-11-12,2496745980
2002-11-13,2502490027
2002-11-14,2816497957
2002-11-15,2850962242
2002-11-18,2791607085
2002-11-19,2762886847
2002-11-20,2839474147
2002-11-21,2854791607
2002-11-22,2849047560
2002-11-25,2778204307
2002-11-26,2755228117
2002-11-27,2808839227
2002-11-29,2816497957
2002-12-02,2757142800
2002-12-03,2672896770
2002-12-04,2657579310
2002-12-05,2646091215
2002-12-06,2686299547
2002-12-09,2680555500
2002-12-10,2701617007
2002-12-11,2686299547
2002-12-12,2680555500
2002-12-13,2672896770
2002-12-16,2703531690
2002-12-17,2724593197
2002-12-18,2688214230
2002-12-19,2651835262
2002-12-20,2701617007
2002-12-23,2701617007
2002-12-24,2701617007
2002-12-26,2722678515
2002-12-27,2659493992
2002-12-30,2726507880
2002-12-31,2808839227
2003-01-02,2829900735
2003-01-03,2831815417
2003-01-06,2818412640
2003-01-07,2843303512
2003-01-08,2873938432
2003-01-09,2912232082
2003-01-10,2893085257
2003-01-13,2868194385
2003-01-14,2864365020
2003-01-15,2864365020
2003-01-16,2824156687
2003-01-17,2826071370
2003-01-21,2766716212
2003-01-22,2757142800
2003-01-23,2759057482
2003-01-24,2757142800
2003-01-27,2680555500
2003-01-28,2697787642
2003-01-29,2690128912
2003-01-30,2653749945
2003-01-31,2697787642
2003-02-03,2743740022
2003-02-04,2715019785
2003-02-05,2688214230
2003-02-06,2642261850
2003-02-07,2646091215
2003-02-10,2663323357
2003-02-11,2680555500
2003-02-12,2655664627
2003-02-13,2655664627
2003-02-14,2732251927
2003-02-18,2749484070
2003-02-19,2747569387
2003-02-20,2709275737
2003-02-21,2847132877
2003-02-24,2808839227
2003-02-25,2841388830
2003-02-26,2835644782
2003-02-27,2864365020
2003-02-28,2994563430
2003-03-03,2963928510
2003-03-04,2952440415
2003-03-05,2965843192
2003-03-06,2956269780
2003-03-07,2962013827
2003-03-10,2958184462
2003-03-11,2914146765
2003-03-12,2925634860
2003-03-13,3021368985
2003-03-14,3036686445
2003-03-17,3222410647
2003-03-18,3258789615
2003-03-19,3218581282
2003-03-20,3274107075
2003-03-21,3348779692
2003-03-24,3233898742
2003-03-25,3318144772
2003-03-26,3310486042
2003-03-27,3268363027
2003-03-28,3276021757
2003-03-31,3260200500
2003-04-01,3285131445
2003-04-02,3323486744
2003-04-03,3298555800
2003-04-04,3294720270
2003-04-07,3298555800
2003-04-08,3281295915
2003-04-09,3223762964
2003-04-10,3218009670
2003-04-11,3212256375
2003-04-14,3277460385
2003-04-15,3315815685
2003-04-16,3306226859
2003-04-17,3331157805
2003-04-21,3327322275
2003-04-22,3381019695
2003-04-23,3436634880
2003-04-24,3427046055
2003-04-25,3350335455
2003-04-28,3423210525
2003-04-29,3427046055
2003-04-30,3396361815
2003-05-01,3208420845
2003-05-02,3221845200
2003-05-05,3204585315
2003-05-06,3194996490
2003-05-07,3219927435
2003-05-08,3162394484
2003-05-09,3196914255
2003-05-12,3204585315
2003-05-13,3256364970
2003-05-14,3298555800
2003-05-15,3311980155
2003-05-16,3396361815
2003-05-19,3265953795
2003-05-20,3235269555
2003-05-21,3206503080
2003-05-22,3321568980
2003-05-23,3334993335
2003-05-27,3329240040
2003-05-28,3336911099
2003-05-29,3321568980
2003-05-30,3367595339
2003-06-02,3352253220
2003-06-03,3338828865
2003-06-04,3394444050
2003-06-05,3382937460
2003-06-06,3331157805
2003-06-09,3306226859
2003-06-10,3323486744
2003-06-11,3323486744
2003-06-12,3336911099
2003-06-13,3323486744
2003-06-16,3323486744
2003-06-17,3333075570
2003-06-18,3290884740
2003-06-19,3267871560
2003-06-20,3252529440
2003-06-23,3221845200
2003-06-24,3200749785
2003-06-25,3162394484
2003-06-26,3204585315
2003-06-27,3191160960
2003-06-30,3163035240
2003-07-01,3207179542
2003-07-02,3287790877
2003-07-03,3282032925
2003-07-07,3297387465
2003-07-08,3328096545
2003-07-09,3316580640
2003-07-10,3268597702
2003-07-11,3234049987
2003-07-14,3283952242
2003-07-15,3293548830
2003-07-16,3326177227
2003-07-17,3310822687
2003-07-18,3295468147
2003-07-21,3280113607
2003-07-22,3285871560
2003-07-23,3331935180
2003-07-24,3324257910
2003-07-25,3362644260
2003-07-28,3383756752
2003-07-29,3351128355
2003-07-30,3339612449
2003-07-31,3122729572
2003-08-01,3059392095
2003-08-04,3092020492
2003-08-05,3101617080
2003-08-06,3155357970
2003-08-07,3153438652
2003-08-08,3122729572
2003-08-11,3138084112
2003-08-12,3155357970
2003-08-13,3163035240
2003-08-14,3186067050
2003-08-15,3228292035
2003-08-18,3199502272
2003-08-19,3199502272
2003-08-20,3193744320
2003-08-21,3201421590
2003-08-22,3189905685
2003-08-25,3155357970
2003-08-26,3153438652
2003-08-27,3155357970
2003-08-28,3149600017
2003-08-29,3155357970
2003-09-02,3151519335
2003-09-03,3141922747
2003-09-04,3140003430
2003-09-05,3116971619
2003-09-08,3093939810
2003-09-09,3049795507
2003-09-10,2973022807
2003-09-11,2949990997
2003-09-12,2978780760
2003-09-15,3019086427
2003-09-16,3011409157
2003-09-17,2976861442
2003-09-18,2963426220
2003-09-19,3049795507
2003-09-22,3028683015
2003-09-23,3105455715
2003-09-24,3084343222
2003-09-25,3093939810
2003-09-26,3068988682
2003-09-29,3084343222
2003-09-30,3068018730
2003-10-01,3100698127
2003-10-02,3110309715
2003-10-03,3100698127
2003-10-06,3094931175
2003-10-07,3117998985
2003-10-08,3094931175
2003-10-09,3068018730
2003-10-10,3056484825
2003-10-13,3089164222
2003-10-14,3073785682
2003-10-15,3058407142
2003-10-16,3066096412
2003-10-17,2991126030
2003-10-20,3029572380
2003-10-21,3033417015
2003-10-22,3100698127
2003-10-23,3098775810
2003-10-24,3173746192
2003-10-27,3146833747
2003-10-28,3154523017
2003-10-29,3260250480
2003-10-30,3237182670
2003-10-31,3267939750
2003-11-03,3248716574
2003-11-04,3175668510
2003-11-05,3160289970
2003-11-06,3160289970
2003-11-07,3169901557
2003-11-10,3166056922
2003-11-11,3152600699
2003-11-12,3194891685
2003-11-13,3171823875
2003-11-14,3175668510
2003-11-17,3127610572
2003-11-18,3117998985
2003-11-19,3152600699
2003-11-20,3167979240
2003-11-21,3177590827
2003-11-24,3146833747
2003-11-25,3144911430
2003-11-26,3156445335
2003-11-28,3144911430
2003-12-01,3164134605
2003-12-02,3227571082
2003-12-03,3241027305
2003-12-04,3337143180
2003-12-05,3314075369
2003-12-08,3302541465
2003-12-09,3310230735
2003-12-10,3314075369
2003-12-11,3367900260
2003-12-12,3394812705
2003-12-15,3383278800
2003-12-16,3331376227
2003-12-17,3333298545
2003-12-18,3333298545
2003-12-19,3319842322
2003-12-22,3414035880
2003-12-23,3385201117
2003-12-24,3414035880
2003-12-26,3400579657
2003-12-29,3392890387
2003-12-30,3394812705
2003-12-31,3388146090
2004-01-02,3361148910
2004-01-05,3390074459
2004-01-06,3768034980
2004-01-07,3600266790
2004-01-08,3663903000
2004-01-09,3600266790
2004-01-12,3577126350
2004-01-13,3584839830
2004-01-14,3565556129
2004-01-15,3540487320
2004-01-16,3548200799
2004-01-20,3538558950
2004-01-21,3530845469
2004-01-22,3544344060
2004-01-23,3530845469
2004-01-26,3548200799
2004-01-27,3550129170
2004-01-28,3521203620
2004-01-29,3509633400
2004-01-30,3567484500
2004-02-02,3515418510
2004-02-03,3513490140
2004-02-04,3511561770
2004-02-05,3552057540
2004-02-06,3579054719
2004-02-09,3611837010
2004-02-10,3638834190
2004-02-11,3741037799
2004-02-12,3719825730
2004-02-13,3733324320
2004-02-17,3758393129
2004-02-18,3793103790
2004-02-19,3748751280
2004-02-20,3685115070
2004-02-23,3565556129
2004-02-24,3552057540
2004-02-25,3569412870
2004-02-26,3787318680
2004-02-27,3843241410
2004-03-01,3876023700
2004-03-02,3874095330
2004-03-03,3862525110
2004-03-04,3904949250
2004-03-05,3912662730
2004-03-08,3914591100
2004-03-09,3850954890
2004-03-10,3831671190
2004-03-11,3822029340
2004-03-12,3835527930
2004-03-15,3850954890
2004-03-16,3827814450
2004-03-17,3864453480
2004-03-18,3856740000
2004-03-19,3835527930
2004-03-22,3802745640
2004-03-23,3791175420
2004-03-24,3748751280
2004-03-25,3771891719
2004-03-26,3769963350
2004-03-29,3781533570
2004-03-30,3789247049
2004-03-31,3837730560
2004-04-01,3833861880
2004-04-02,3851270940
2004-04-05,3833861880
2004-04-06,3783569039
2004-04-07,3746816580
2004-04-08,3799043760
2004-04-12,3791306400
2004-04-13,3744882240
2004-04-14,3706195440
2004-04-15,3653968260
2004-04-16,3760356960
2004-04-19,3756488280
2004-04-20,3727473180
2004-04-21,3770028659
2004-04-22,3787437719
2004-04-23,3787437719
2004-04-26,3760356960
2004-04-27,3764225640
2004-04-28,3752619599
2004-04-29,3876417360
2004-04-30,3913169820
2004-05-03,3922841520
2004-05-04,3889957740
2004-05-05,3866745659
2004-05-06,3876417360
2004-05-07,3860942640
2004-05-10,3799043760
2004-05-11,3799043760
2004-05-12,3764225640
2004-05-13,3741013560
2004-05-14,3681049020
2004-05-17,3661705620
2004-05-18,3675246000
2004-05-19,3684917700
2004-05-20,3682983360
2004-05-21,3708129780
2004-05-24,3710064120
2004-05-25,3758422620
2004-05-26,3783569039
2004-05-27,3779700360
2004-05-28,3806781120
2004-06-01,3822255840
2004-06-02,3872548680
2004-06-03,3862876980
2004-06-04,3868680000
2004-06-07,3909301140
2004-06-08,3982806060
2004-06-09,4006018140
2004-06-10,4002149460
2004-06-14,3977003039
2004-06-15,3998280780
2004-06-16,4025361539
2004-06-17,4075654380
2004-06-18,4067917020
2004-06-21,4131750240
2004-06-22,4114341180
2004-06-23,4114341180
2004-06-24,4093063440
2004-06-25,4147224960
2004-06-28,4135618920
2004-06-29,4081457400
2004-06-30,4159841400
2004-07-01,4095843840
2004-07-02,4091965200
2004-07-06,4152084120
2004-07-07,4210263720
2004-07-08,4132690919
2004-07-09,4121055000
2004-07-12,4072572000
2004-07-13,4053178799
2004-07-14,4107479760
2004-07-15,4117176360
2004-07-16,4121055000
2004-07-19,4119115679
2004-07-20,4150144799
2004-07-21,4144326840
2004-07-22,4121055000
2004-07-23,4245171480
2004-07-26,4295593800
2004-07-27,4295593800
2004-07-28,4196688480
2004-07-29,4179234600
2004-07-30,4171477320
2004-08-02,4225778280
2004-08-03,4138508880
2004-08-04,4117176360
2004-08-05,4022149679
2004-08-06,3977545320
2004-08-09,3946516200
2004-08-10,4018271040
2004-08-11,4039603559
2004-08-12,4018271040
2004-08-13,4020210360
2004-08-16,4053178799
2004-08-17,3973666679
2004-08-18,4008574440
2004-08-19,3991120559
2004-08-20,3981423960
2004-08-23,3994999200
