,SEE
2000-11-20,3534889553
2000-11-21,3345849080
2000-11-22,3151789833
2000-11-24,3146771059
2000-11-27,3011264172
2000-11-28,2698427283
2000-11-29,2770363038
2000-11-30,2661622943
2000-12-01,2787092283
2000-12-04,2713483603
2000-12-05,2782073510
2000-12-06,2733558698
2000-12-07,2661622943
2000-12-08,2666641716
2000-12-11,2614781056
2000-12-12,2509386810
2000-12-13,2514405583
2000-12-14,2440796903
2000-12-15,2357150676
2000-12-18,2378898695
2000-12-19,2238373034
2000-12-20,2280196148
2000-12-21,2280196148
2000-12-22,2248410581
2000-12-26,2373879922
2000-12-27,2430759356
2000-12-28,2489311715
2000-12-29,2551209923
2001-01-02,2603156880
2001-01-03,2713573560
2001-01-04,2823990240
2001-01-05,2765435940
2001-01-08,2745360180
2001-01-09,2698516740
2001-01-10,2792203620
2001-01-11,2775473820
2001-01-12,2760417000
2001-01-16,2849084940
2001-01-17,2859122820
2001-01-18,2823990240
2001-01-19,2698516740
2001-01-22,2686805880
2001-01-23,2676768000
2001-01-24,2671749060
2001-01-25,2708554620
2001-01-26,2578062180
2001-01-29,2626578600
2001-01-30,2680113960
2001-01-31,2663384160
2001-02-01,2651673300
2001-02-02,2655019260
2001-02-05,2614867740
2001-02-06,2661711180
2001-02-07,2636616480
2001-02-08,2616540720
2001-02-09,2588100060
2001-02-12,2604829860
2001-02-13,2668403100
2001-02-14,2675095020
2001-02-15,3096685980
2001-02-16,3041477640
2001-02-20,3053188500
2001-02-21,3009691019
2001-02-22,3063226380
2001-02-23,3074937240
2001-02-26,3140183460
2001-02-27,3188699880
2001-02-28,3274021860
2001-03-01,3207102660
2001-03-02,3262311000
2001-03-05,3312500400
2001-03-06,3314173380
2001-03-07,3376073640
2001-03-08,3406187280
2001-03-09,3426263040
2001-03-12,3295770600
2001-03-13,3285732720
2001-03-14,3111742800
2001-03-15,3116761740
2001-03-16,3068245320
2001-03-19,3058207440
2001-03-20,3066572339
2001-03-21,2991288240
2001-03-22,2952809700
2001-03-23,2996307180
2001-03-26,3034785720
2001-03-27,3103377900
2001-03-28,3036458700
2001-03-29,2986269300
2001-03-30,2788857660
2001-04-02,2722296400
2001-04-03,2660388000
2001-04-04,2734008800
2001-04-05,2844440000
2001-04-06,2784204800
2001-04-09,2849459600
2001-04-10,2911368000
2001-04-11,2877904000
2001-04-12,2919734000
2001-04-16,2931446400
2001-04-17,2995028000
2001-04-18,3120518000
2001-04-19,3167367600
2001-04-20,3189119200
2001-04-23,3192465599
2001-04-24,3207524400
2001-04-25,3232622400
2001-04-26,3194138800
2001-04-27,3207524400
2001-04-30,3246008000
2001-05-01,3242661600
2001-05-02,3239315200
2001-05-03,3256047200
2001-05-04,3329668000
2001-05-07,3364805200
2001-05-08,3409981600
2001-05-09,3440099200
2001-05-10,3507027200
2001-05-11,3528778800
2001-05-14,3488622000
2001-05-15,3513720000
2001-05-16,3667654400
2001-05-17,3716177200
2001-05-18,3734582400
2001-05-21,3717850400
2001-05-22,3674347200
2001-05-23,3642556400
2001-05-24,3595706799
2001-05-25,3570608800
2001-05-29,3478582800
2001-05-30,3418347600
2001-05-31,3471890000
2001-06-01,3450138400
2001-06-04,3441772400
2001-06-05,3441772400
2001-06-06,3409981600
2001-06-07,3430060000
2001-06-08,3399942400
2001-06-11,3346400000
2001-06-12,3334687600
2001-06-13,3312936000
2001-06-14,3229276000
2001-06-15,3219236799
2001-06-18,3179080000
2001-06-19,3271106000
2001-06-20,3286164800
2001-06-21,3189119200
2001-06-22,3159001600
2001-06-25,3118844800
2001-06-26,3112152000
2001-06-27,3093746799
2001-06-28,3132230400
2001-06-29,3117171600
2001-07-02,3154268160
2001-07-03,3135851520
2001-07-05,3149245440
2001-07-06,3105715200
2001-07-09,3097344000
2001-07-10,3139200000
2001-07-11,3105715200
2001-07-12,3181056000
2001-07-13,3204495360
2001-07-16,3194449919
2001-07-17,3229608960
2001-07-18,3248025600
2001-07-19,3279836160
2001-07-20,3288207360
2001-07-23,3231283200
2001-07-24,3169336320
2001-07-25,3353502720
2001-07-26,3343457280
2001-07-27,3360199680
2001-07-30,3368570880
2001-07-31,3448934400
2001-08-01,3390336000
2001-08-02,3430517759
2001-08-03,3465676800
2001-08-06,3443911680
2001-08-07,3437214720
2001-08-08,3390336000
2001-08-09,3398707200
2001-08-10,3376942080
2001-08-13,3405404160
2001-08-14,3408752640
2001-08-15,3440563200
2001-08-16,3422146560
2001-08-17,3462328320
2001-08-20,3432192000
2001-08-21,3415449600
2001-08-22,3448934400
2001-08-23,3408752640
2001-08-24,3437214720
2001-08-27,3417123840
2001-08-28,3381964800
2001-08-29,3360199680
2001-08-30,3348480000
2001-08-31,3363548160
2001-09-04,3351828480
2001-09-05,3366896640
2001-09-06,3294904320
2001-09-07,3212866560
2001-09-10,3202821120
2001-09-17,2983495680
2001-09-18,2963404800
2001-09-19,2933268480
2001-09-20,2806026240
2001-09-21,2769192960
2001-09-24,2876344320
2001-09-25,2908154880
2001-09-26,2911503360
2001-09-27,2936616960
2001-09-28,3055488000
2001-10-01,3055166040
2001-10-02,3033367380
2001-10-03,3144037500
2001-10-04,3152421600
2001-10-05,3175897080
2001-10-08,3095409720
2001-10-09,3227878500
2001-10-10,3351963179
2001-10-11,3417359160
2001-10-12,3422389620
2001-10-15,3412328700
2001-10-16,3407298240
2001-10-17,3362024100
2001-10-18,3345255900
2001-10-19,3353640000
2001-10-22,3420712800
2001-10-23,3417359160
2001-10-24,3455926020
2001-10-25,3474371040
2001-10-26,3504553800
2001-10-29,3424066440
2001-10-30,3385499580
2001-10-31,3356993640
2001-11-01,3477724679
2001-11-02,3491139240
2001-11-05,3544797480
2001-11-06,3631992120
2001-11-07,3690680820
2001-11-08,3663851700
2001-11-09,3633668940
2001-11-12,3601809360
2001-11-13,3677266260
2001-11-14,3722540400
2001-11-15,3734278140
2001-11-16,3739308600
2001-11-19,3746015880
2001-11-20,3740985420
2001-11-21,3702418559
2001-11-23,3771168179
2001-11-26,3781229100
2001-11-27,3772845000
2001-11-28,3746015880
2001-11-29,3772845000
2001-11-30,3848301900
2001-12-03,3823149600
2001-12-04,3844948260
2001-12-05,3920405160
2001-12-06,3932142900
2001-12-07,3544797480
2001-12-10,3192665280
2001-12-11,3434127360
2001-12-12,3323457240
2001-12-13,3268122179
2001-12-14,3244646700
2001-12-17,3279859920
2001-12-18,3356993640
2001-12-19,3313396320
2001-12-20,3360347280
2001-12-21,3328487700
2001-12-24,3328487700
2001-12-26,3345255900
2001-12-27,3385499580
2001-12-28,3387176400
2001-12-31,3422389620
2002-01-02,3429096900
2002-01-03,3524675640
2002-01-04,3400590960
2002-01-07,3390530040
2002-01-08,3356993640
2002-01-09,3387176400
2002-01-10,3323457240
2002-01-11,3296628120
2002-01-14,3226201679
2002-01-15,3162482520
2002-01-16,3068580600
2002-01-17,3135653400
2002-01-18,3112177920
2002-01-22,3102117000
2002-01-23,3144037500
2002-01-24,3189311640
2002-01-25,3340225440
2002-01-28,3383822760
2002-01-29,3343579080
2002-01-30,3390530040
2002-01-31,3481078320
2002-02-01,3437481000
2002-02-04,3405621420
2002-02-05,3429096900
2002-02-06,3459279660
2002-02-07,3372085020
2002-02-08,3511261080
2002-02-11,3712479480
2002-02-12,3700741740
2002-02-13,3754399980
2002-02-14,3732601320
2002-02-15,3819795960
2002-02-19,3751046340
2002-02-20,3707449020
2002-02-21,3677266260
2002-02-22,3690680820
2002-02-25,3719186760
2002-02-26,3705772200
2002-02-27,3742662240
2002-02-28,3771168179
2002-03-01,3801350940
2002-03-04,3922081980
2002-03-05,3901960140
2002-03-06,3945557460
2002-03-07,3979093860
2002-03-08,3952264740
2002-03-11,3922081980
2002-03-12,3955618380
2002-03-13,3811411860
2002-03-14,3876807840
2002-03-15,3940527000
2002-03-18,3947234280
2002-03-19,3964002480
2002-03-20,4010953440
2002-03-21,3970709760
2002-03-22,3925435620
2002-03-25,3891899220
2002-03-26,3927112440
2002-03-27,3952264740
2002-03-28,3947234280
2002-04-01,3952773300
2002-04-02,3951094840
2002-04-03,3920882560
2002-04-04,3890670280
2002-04-05,3932631780
2002-04-08,3937667160
2002-04-09,3944381000
2002-04-10,4040053220
2002-04-11,3986342500
2002-04-12,3969557899
2002-04-15,3917525640
2002-04-16,3976271740
2002-04-17,3961165600
2002-04-18,3941024080
2002-04-19,3899062580
2002-04-22,3748001179
2002-04-23,3766464240
2002-04-24,3776535000
2002-04-25,3739608880
2002-04-26,3746322720
2002-04-29,3714431980
2002-04-30,3749679640
2002-05-01,3647293580
2002-05-02,3694290460
2002-05-03,3672470480
2002-05-06,3702682760
2002-05-07,3727859660
2002-05-08,3739608880
2002-05-09,3756393480
2002-05-10,3707718140
2002-05-13,3741287340
2002-05-14,3826888800
2002-05-15,3853744160
2002-05-16,3811782660
2002-05-17,3806747280
2002-05-20,3811782660
2002-05-21,3794998060
2002-05-22,3791641140
2002-05-23,3865493380
2002-05-24,3820174960
2002-05-28,3857101080
2002-05-29,3773178080
2002-05-30,3741287340
2002-05-31,3756393480
2002-06-03,3669113560
2002-06-04,3628830520
2002-06-05,3701004300
2002-06-06,3630508980
2002-06-07,3660721260
2002-06-10,3667435100
2002-06-11,3613724380
2002-06-12,3655685880
2002-06-13,3677505860
2002-06-14,3607010539
2002-06-17,3650650500
2002-06-18,3643936660
2002-06-19,3615402840
2002-06-20,3625473600
2002-06-21,3521409080
2002-06-24,3387132280
2002-06-25,3390489200
2002-06-26,3356920000
2002-06-27,3365312300
2002-06-28,3380418440
2002-07-01,3364275120
2002-07-02,3250118080
2002-07-03,3243402960
2002-07-05,3379384140
2002-07-08,3318948060
2002-07-09,3268584660
2002-07-10,3154427620
2002-07-11,3122530800
2002-07-12,3129245920
2002-07-15,3023482780
2002-07-16,2983192060
2002-07-17,2989907180
2002-07-18,2919398420
2002-07-19,2783417239
2002-07-22,2679332880
2002-07-23,2630648260
2002-07-24,2964725480
2002-07-25,3050343260
2002-07-26,3005016199
2002-07-29,3171215420
2002-07-30,1846658000
2002-07-31,1218794280
2002-08-01,1448787140
2002-08-02,1413532760
2002-08-05,1257406220
2002-08-06,1277551580
2002-08-07,1257406220
2002-08-08,1259085000
2002-08-09,1267478900
2002-08-12,1277551580
2002-08-13,1270836460
2002-08-14,1332951320
2002-08-15,1252369880
2002-08-16,1285945480
2002-08-19,1349739119
2002-08-20,1359811800
2002-08-21,1317842300
2002-08-22,1334630100
2002-08-23,1327914980
2002-08-26,1361490580
2002-08-27,1326236200
2002-08-28,1282587920
2002-08-29,1277551580
2002-08-30,1301054500
2002-09-03,1247333540
2002-09-04,1275872800
2002-09-05,1264121340
2002-09-06,1322878640
2002-09-09,1307769620
2002-09-10,1356454240
2002-09-11,1408496420
2002-09-12,1374920820
2002-09-13,1438714460
2002-09-16,1384993500
2002-09-17,1368205700
2002-09-18,1353096680
2002-09-19,1306090840
2002-09-20,1289303040
2002-09-23,1326236200
2002-09-24,1504186880
2002-09-25,1458859820
2002-09-26,1490756640
2002-09-27,1457181040
2002-09-30,1423199699
2002-10-01,1514149740
2002-10-02,1461937680
2002-10-03,1369303380
2002-10-04,1296880200
2002-10-07,1209298680
2002-10-08,1185719040
2002-10-09,1118348640
2002-10-10,1108243080
2002-10-11,1178982000
2002-10-14,1173929220
2002-10-15,1226141280
2002-10-16,1200877380
2002-10-17,1246352400
2002-10-18,1239615360
2002-10-21,1293511680
2002-10-22,1254773700
2002-10-23,1263195000
2002-10-24,1221088500
2002-10-25,1216035720
2002-10-28,1264879260
2002-10-29,1242983880
2002-10-30,1248036660
2002-10-31,1290143160
2002-11-01,1338986700
2002-11-04,1330565400
2002-11-05,1370987640
2002-11-06,1519202520
2002-11-07,1495622880
2002-11-08,1424883960
2002-11-11,1409725619
2002-11-12,1421515440
2002-11-13,1470358980
2002-11-14,1574783100
2002-11-15,1537729380
2002-11-18,1532676600
2002-11-19,1536045119
2002-11-20,1541097900
2002-11-21,1839211920
2002-11-22,1797105420
2002-11-25,1950373080
2002-11-26,1938583260
2002-11-27,2061534240
2002-11-29,3184935660
2002-12-02,3085564320
2002-12-03,3011456880
2002-12-04,3051879120
2002-12-05,3008088360
2002-12-06,3080511540
2002-12-09,2917138320
2002-12-10,2991245760
2002-12-11,2954192040
2002-12-12,2918822579
2002-12-13,2927243880
2002-12-16,3233779200
2002-12-17,3149566200
2002-12-18,3188304180
2002-12-19,3149566200
2002-12-20,3200094000
2002-12-23,3186619920
2002-12-24,3181567140
2002-12-26,3184935660
2002-12-27,3102406920
2002-12-30,3088932840
2002-12-31,3141144899
2003-01-02,3208515300
2003-01-03,3203462520
2003-01-06,3208515300
2003-01-07,3230410680
2003-01-08,3221989380
2003-01-09,3250621800
2003-01-10,3306202380
2003-01-13,3314623680
2003-01-14,3353361660
2003-01-15,3306202380
2003-01-16,3326413500
2003-01-17,3248937540
2003-01-21,3188304180
2003-01-22,3149566200
2003-01-23,3186619920
2003-01-24,3151250460
2003-01-27,3077143020
2003-01-28,3221989380
2003-01-29,3211883820
2003-01-30,3132723600
2003-01-31,3176514360
2003-02-03,3176514360
2003-02-04,3169777320
2003-02-05,3149566200
2003-02-06,3117565260
2003-02-07,3095669880
2003-02-10,3099038399
2003-02-11,3082195800
2003-02-12,3026615220
2003-02-13,3016509660
2003-02-14,3060300420
2003-02-18,3112512480
2003-02-19,3102406920
2003-02-20,3073774500
2003-02-21,3119249520
2003-02-24,3051879120
2003-02-25,3046826340
2003-02-26,3043457820
2003-02-27,3056931899
2003-02-28,3055247640
2003-03-03,3043457820
2003-03-04,2982824460
2003-03-05,2986192980
2003-03-06,2999667060
2003-03-07,3046826340
2003-03-10,3024930960
2003-03-11,3041773560
2003-03-12,3009772620
2003-03-13,3083880060
2003-03-14,3102406920
2003-03-17,3184935660
2003-03-18,3307886640
2003-03-19,3334834800
2003-03-20,3380309820
2003-03-21,3535261739
2003-03-24,3405573720
2003-03-25,3435890399
2003-03-26,3427469100
2003-03-27,3402205200
2003-03-28,3366835739
2003-03-31,3392231400
2003-04-01,3353356800
2003-04-02,3464910000
2003-04-03,3422655000
2003-04-04,3420964799
2003-04-07,3456459000
2003-04-08,3432796200
2003-04-09,3353356800
2003-04-10,3453078600
2003-04-11,3410823600
2003-04-14,3449698200
2003-04-15,3500404200
2003-04-16,3427725600
2003-04-17,3451388400
2003-04-21,3432796200
2003-04-22,3498714000
2003-04-23,3527447400
2003-04-24,3510545400
2003-04-25,3517306200
2003-04-28,3573082800
2003-04-29,3534208200
2003-04-30,3622098600
2003-05-01,3603506400
2003-05-02,3657592800
2003-05-05,3644071200
2003-05-06,3620408400
2003-05-07,3667734000
2003-05-08,3583224000
2003-05-09,3603506400
2003-05-12,3652522200
2003-05-13,3618718200
2003-05-14,3639000600
2003-05-15,3676185000
2003-05-16,3725200800
2003-05-19,3667734000
2003-05-20,3515616000
2003-05-21,3588294600
2003-05-22,3620408400
2003-05-23,3627169200
2003-05-27,3711679200
2003-05-28,3718440000
2003-05-29,3667734000
2003-05-30,3709989000
2003-06-02,3674494799
2003-06-03,3699847800
2003-06-04,3699847800
2003-06-05,3682945800
2003-06-06,3718440000
2003-06-09,3613647600
2003-06-10,3688016400
2003-06-11,3760695000
2003-06-12,3752244000
2003-06-13,3764075400
2003-06-16,3813091200
2003-06-17,3814781400
2003-06-18,3835063800
2003-06-19,3777597000
2003-06-20,3701537999
2003-06-23,3625479000
2003-06-24,3698157600
2003-06-25,3660973200
2003-06-26,3999013200
2003-06-27,3990562200
2003-06-30,4044904199
2003-07-01,4094128800
2003-07-02,4124682000
2003-07-03,4104313200
2003-07-07,4151840400
2003-07-08,4178998800
2003-07-09,4134866400
2003-07-10,4041509400
2003-07-11,4014350999
2003-07-14,3944757599
2003-07-15,3944757599
2003-07-16,3973613400
2003-07-17,3944757599
2003-07-18,3988890000
2003-07-21,3939665400
2003-07-22,4022838000
2003-07-23,3861585000
2003-07-24,3909112200
2003-07-25,3980403000
2003-07-28,4007561400
2003-07-29,4066970400
2003-07-30,4046601600
2003-07-31,4051693800
2003-08-01,4009258800
2003-08-04,3978705600
2003-08-05,3963429000
2003-08-06,3949849800
2003-08-07,3937968000
2003-08-08,3995679600
2003-08-11,4090734000
2003-08-12,4077154800
2003-08-13,4049996400
2003-08-14,4065273000
2003-08-15,4038114600
2003-08-18,4109405400
2003-08-19,4136563800
2003-08-20,4170511800
2003-08-21,4219736400
2003-08-22,4094128800
2003-08-25,4090734000
2003-08-26,4082247000
2003-08-27,4102615800
2003-08-28,4128076800
2003-08-29,4129774199
2003-09-02,4185788400
2003-09-03,4218039000
2003-09-04,4218039000
2003-09-05,4201065000
2003-09-08,4197670200
2003-09-09,4158630000
2003-09-10,4136563800
2003-09-11,4143353400
2003-09-12,4182393600
2003-09-15,4167117000
2003-09-16,4243500000
2003-09-17,4219736400
2003-09-18,4235013000
2003-09-19,4241802599
2003-09-22,4221433800
2003-09-23,4248592200
2003-09-24,4167117000
2003-09-25,4060180800
2003-09-26,4027930200
2003-09-29,4087339199
2003-09-30,4019436280
2003-10-01,4114731975
2003-10-02,4162379822
2003-10-03,4220237923
2003-10-06,4266184061
2003-10-07,4315533618
2003-10-08,4264482353
2003-10-09,4261078935
2003-10-10,4228746467
2003-10-13,4271289188
2003-10-14,4211729379
2003-10-15,4242360138
2003-10-16,4247465264
2003-10-17,4177695202
2003-10-20,4181098619
2003-10-21,4102820013
2003-10-22,4451670325
2003-10-23,4409127604
2003-10-24,4354672921
2003-10-27,4414232730
2003-10-28,4512931843
2003-10-29,4535054058
2003-10-30,4557176273
2003-10-31,4529948932
2003-11-03,4555474564
2003-11-04,4579298488
2003-11-05,4553772855
2003-11-06,4550369438
2003-11-07,4569088235
2003-11-10,4484002793
2003-11-11,4489107919
2003-11-12,4541860893
2003-11-13,4536755767
2003-11-14,4461880578
2003-11-17,4361479756
2003-11-18,4346164377
2003-11-19,4286604567
2003-11-20,4284902859
2003-11-21,4293411403
2003-11-24,4381900263
2003-11-25,4415934439
2003-11-26,4487406211
2003-11-28,4490809628
2003-12-01,4584403614
2003-12-02,4538457476
2003-12-03,4599718994
2003-12-04,4635454880
2003-12-05,4523142096
2003-12-08,4575895070
2003-12-09,4570789944
2003-12-10,4489107919
2003-12-11,4541860893
2003-12-12,4577596779
2003-12-15,4562281400
2003-12-16,4581000197
2003-12-17,4541860893
2003-12-18,4552071147
2003-12-19,4499318172
2003-12-22,4514633552
2003-12-23,4506125008
2003-12-24,4455073743
2003-12-26,4501019881
2003-12-29,4526545514
2003-12-30,4572491653
2003-12-31,4590461977
2004-01-02,4497194371
2004-01-05,4571808456
2004-01-06,4517543667
2004-01-07,4556546484
2004-01-08,4597245076
2004-01-09,4517543667
2004-01-12,4541284512
2004-01-13,4519239442
2004-01-14,4500585921
2004-01-15,4551459160
2004-01-16,4626073245
2004-01-20,4585374653
2004-01-21,4568416907
2004-01-22,4515847892
2004-01-23,4339487329
2004-01-26,4359836625
2004-01-27,4314050709
2004-01-28,4239436625
2004-01-29,4193650709
2004-01-30,4220783103
2004-02-02,4198738033
2004-02-03,4144473244
2004-02-04,4085121131
2004-02-05,4105470427
2004-02-06,4186867610
2004-02-09,4154647892
2004-02-10,4135994371
2004-02-11,4149560568
2004-02-12,4129211272
2004-02-13,4025769019
2004-02-17,4025769019
2004-02-18,4054597188
2004-02-19,4025769019
2004-02-20,4002028174
2004-02-23,4010507047
2004-02-24,4227566202
2004-02-25,4161430991
2004-02-26,4129211272
2004-02-27,4227566202
2004-03-01,4275047892
2004-03-02,4303876061
2004-03-03,4239436625
2004-03-04,4256394371
2004-03-05,4278439441
2004-03-08,4217391554
2004-03-09,4208912681
2004-03-10,4091904230
2004-03-11,4027464793
2004-03-12,4068163385
2004-03-15,3991853526
2004-03-16,4041030990
2004-03-17,4091904230
2004-03-18,4135994371
2004-03-19,4091904230
2004-03-22,4012202821
2004-03-23,4054597188
2004-03-24,4041030990
2004-03-25,4151256343
2004-03-26,4161430991
2004-03-29,4229261977
2004-03-30,4232653526
2004-03-31,4183610956
2004-04-01,4267720545
2004-04-02,4356876710
2004-04-05,4316504107
2004-04-06,4319868491
2004-04-07,4276131504
2004-04-08,4250898628
2004-04-12,4276131504
2004-04-13,4207161641
2004-04-14,4146602737
2004-04-15,4144920545
2004-04-16,4168471230
2004-04-19,4144920545
2004-04-20,4047353422
2004-04-21,4089408217
2004-04-22,4210526025
2004-04-23,4176882189
2004-04-26,4198750682
2004-04-27,4205479450
2004-04-28,4160060271
2004-04-29,4096136984
2004-04-30,4128098628
2004-05-03,4133145203
2004-05-04,4118005477
2004-05-05,4144920545
2004-05-06,4121369861
2004-05-07,4049035614
2004-05-10,4006980819
2004-05-11,4059128765
2004-05-12,4079315066
2004-05-13,4089408217
2004-05-14,4086043833
2004-05-17,4013709587
2004-05-18,4070904107
2004-05-19,4091090408
2004-05-20,4086043833
2004-05-21,4143238354
2004-05-24,4144920545
2004-05-25,4202115066
2004-05-26,4213890408
2004-05-27,4247534244
2004-05-28,4229030134
2004-06-01,4232394518
2004-06-02,4301364381
2004-06-03,4229030134
2004-06-04,4304728765
2004-06-07,4382109586
2004-06-08,4382109586
2004-06-09,4350147943
2004-06-10,4474630134
2004-06-14,4368652052
2004-06-15,4393884929
2004-06-16,4409024655
2004-06-17,4390520545
2004-06-18,4440986299
2004-06-21,4397249312
2004-06-22,4407342463
2004-06-23,4491452052
2004-06-24,4467901367
2004-06-25,4451079449
2004-06-28,4409024655
2004-06-29,4479676710
2004-06-30,4464864000
2004-07-01,4399500000
2004-07-02,4278828000
2004-07-06,4250336000
2004-07-07,4253688000
2004-07-08,4211788000
2004-07-09,4206760000
2004-07-12,4201732000
2004-07-13,4195028000
2004-07-14,4159832000
2004-07-15,4188323999
2004-07-16,4183296000
2004-07-19,4143072000
2004-07-20,4153128000
2004-07-21,4039160000
2004-07-22,4052568000
2004-07-23,4012344000
2004-07-26,3977148000
2004-07-27,4007316000
2004-07-28,3913460000
2004-07-29,3983852000
2004-07-30,3975472000
2004-08-02,3945304000
2004-08-03,3973796000
2004-08-04,3985528000
2004-08-05,3923516000
2004-08-06,3933572000
2004-08-09,3960388000
2004-08-10,3985528000
2004-08-11,4015696000
2004-08-12,3950332000
2004-08-13,3952007999
2004-08-16,4037484000
2004-08-17,4045864000
2004-08-18,4106200000
2004-08-19,4032456000
2004-08-20,4052568000
2004-08-23,4027428000
