,DTE
2001-08-31,6037099940
2001-09-04,6082996980
2001-09-05,6045295840
2001-09-06,6104306320
2001-09-07,6133811560
2001-09-10,6053491740
2001-09-17,6033821580
2001-09-18,6079718620
2001-09-19,6053491740
2001-09-20,6025625680
2001-09-21,5969893560
2001-09-24,5871542760
2001-09-25,5879738660
2001-09-26,5843676700
2001-09-27,5846955060
2001-09-28,6004316340
2001-10-01,5915140000
2001-10-02,6040720000
2001-10-03,6143759999
2001-10-04,6137320000
2001-10-05,6163080000
2001-10-08,6077750000
2001-10-09,5989200000
2001-10-10,5994029999
2001-10-11,5948950000
2001-10-12,5961830000
2001-10-15,5897430000
2001-10-16,5992420000
2001-10-17,5969880000
2001-10-18,5824980000
2001-10-19,5924800000
2001-10-22,5818540000
2001-10-23,5776680000
2001-10-24,5757360000
2001-10-25,5776680000
2001-10-26,5723550000
2001-10-29,5734820000
2001-10-30,5680080000
2001-10-31,5710670000
2001-11-01,5615680000
2001-11-02,5560940000
2001-11-05,5688130000
2001-11-06,5702620000
2001-11-07,5697790000
2001-11-08,5754140000
2001-11-09,5750920000
2001-11-12,5689740000
2001-11-13,5739650000
2001-11-14,5663980000
2001-11-15,5622120000
2001-11-16,5625340000
2001-11-19,5636610000
2001-11-20,5746090000
2001-11-21,5678470000
2001-11-23,5704230000
2001-11-26,5680080000
2001-11-27,5696180000
2001-11-28,5654320000
2001-11-29,5672029999
2001-11-30,5657540000
2001-12-03,5670420000
2001-12-04,5630170000
2001-12-05,5631779999
2001-12-06,5568990000
2001-12-07,5617290000
2001-12-10,5572210000
2001-12-11,5488490000
2001-12-12,5580259999
2001-12-13,5597970000
2001-12-14,5583480000
2001-12-17,5560940000
2001-12-18,5618900000
2001-12-19,5744480000
2001-12-20,5715500000
2001-12-21,5635000000
2001-12-24,5663980000
2001-12-26,5672029999
2001-12-27,5746090000
2001-12-28,5742870000
2001-12-31,5744480000
2002-01-02,5804050000
2002-01-03,5771850000
2002-01-04,5725160000
2002-01-07,5681690000
2002-01-08,5573820000
2002-01-09,5589920000
2002-01-10,5623730000
2002-01-11,5618900000
2002-01-14,5673640000
2002-01-15,5754140000
2002-01-16,5750920000
2002-01-17,5707450000
2002-01-18,5717110000
2002-01-22,5609240000
2002-01-23,5612460000
2002-01-24,5641440000
2002-01-25,5636610000
2002-01-28,5618900000
2002-01-29,5527130000
2002-01-30,5531960000
2002-01-31,5615680000
2002-02-01,5625340000
2002-02-04,5615680000
2002-02-05,5562550000
2002-02-06,5548060000
2002-02-07,5615680000
2002-02-08,5593140000
2002-02-11,5622120000
2002-02-12,5668810000
2002-02-13,5665590000
2002-02-14,5689740000
2002-02-15,5673640000
2002-02-19,5655930000
2002-02-20,5649490000
2002-02-21,5625340000
2002-02-22,5636610000
2002-02-25,5615680000
2002-02-26,5675250000
2002-02-27,5694570000
2002-02-28,5673640000
2002-03-01,5779900000
2002-03-04,5853960000
2002-03-05,5944120000
2002-03-06,6008520000
2002-03-07,6040720000
2002-03-08,6039110000
2002-03-11,6045550000
2002-03-12,5998860000
2002-03-13,5957000000
2002-03-14,5947340000
2002-03-15,5969880000
2002-03-18,5963440000
2002-03-19,6045550000
2002-03-20,6040720000
2002-03-21,6114779999
2002-03-22,6100290000
2002-03-25,6090630000
2002-03-26,6130880000
2002-03-27,6179180000
2002-03-28,6232310000
2002-04-01,6217820000
2002-04-02,6240360000
2002-04-03,6246800000
2002-04-04,6211380000
2002-04-05,6159860000
2002-04-08,6156640000
2002-04-09,6098680000
2002-04-10,6179180000
2002-04-11,6100290000
2002-04-12,6134100000
2002-04-15,6076140000
2002-04-16,6203330000
2002-04-17,6243580000
2002-04-18,6282220000
2002-04-19,6312810000
2002-04-22,6274170000
2002-04-23,6367550000
2002-04-24,6446440000
2002-04-25,6254850000
2002-04-26,6200110000
2002-04-29,6158250000
2002-04-30,6211380000
2002-05-01,6214600000
2002-05-02,6296710000
2002-05-03,6283830000
2002-05-06,6224259999
2002-05-07,6166300000
2002-05-08,6164690000
2002-05-09,6124440000
2002-05-10,6089020000
2002-05-13,6100290000
2002-05-14,6216210000
2002-05-15,6180790000
2002-05-16,6204940000
2002-05-17,6201720000
2002-05-20,6324080000
2002-05-21,6396529999
2002-05-22,6531770000
2002-05-23,6472200000
2002-05-24,6425509999
2002-05-28,6401360000
2002-05-29,6369160000
2002-05-30,6423900000
2002-05-31,6411020000
2002-06-03,6288660000
2002-06-04,6328910000
2002-06-05,6185620000
2002-06-06,6039110000
2002-06-07,6061650000
2002-06-10,6093850000
2002-06-11,6175960000
2002-06-12,6243580000
2002-06-13,6283830000
2002-06-14,5958610000
2002-06-17,5863620000
2002-06-18,5936070000
2002-06-19,5979540000
2002-06-20,6047160000
2002-06-21,6177570000
2002-06-24,6098680000
2002-06-25,6019790000
2002-06-26,5924800000
2002-06-27,5965050000
2002-06-28,6114779999
2002-07-01,6249140000
2002-07-02,6102180000
2002-07-03,6067110000
2002-07-05,6102180000
2002-07-08,6058760000
2002-07-09,5818280000
2002-07-10,5624560000
2002-07-11,5776530000
2002-07-12,5577800000
2002-07-15,5733110000
2002-07-16,5577800000
2002-07-17,5516010000
2002-07-18,5323960000
2002-07-19,5110200000
2002-07-22,5130240000
2002-07-23,4844670000
2002-07-24,5228770000
2002-07-25,5400780000
2002-07-26,5317280000
2002-07-29,5459230000
2002-07-30,5694700000
2002-07-31,5819950000
2002-08-01,5723090000
2002-08-02,5721420000
2002-08-05,5794900000
2002-08-06,5931840000
2002-08-07,6001980000
2002-08-08,6055420000
2002-08-09,5968580000
2002-08-12,5975260000
2002-08-13,5878400000
2002-08-14,6043730000
2002-08-15,6032040000
2002-08-16,5945200000
2002-08-19,6045400000
2002-08-20,6012000000
2002-08-21,6230770000
2002-08-22,6299240000
2002-08-23,6177330000
2002-08-26,6264170000
2002-08-27,6167310000
2002-08-28,6107190000
2002-08-29,6070450000
2002-08-30,6097170000
2002-09-03,5958560000
2002-09-04,5970250000
2002-09-05,5931840000
2002-09-06,6055420000
2002-09-09,5978600000
2002-09-10,5804920000
2002-09-11,5911800000
2002-09-12,5824960000
2002-09-13,5930170000
2002-09-16,5896770000
2002-09-17,5768180000
2002-09-18,5883409999
2002-09-19,5831640000
2002-09-20,5751480000
2002-09-23,5759830000
2002-09-24,5519350000
2002-09-25,5647940000
2002-09-26,5816610000
2002-09-27,5686350000
2002-09-30,5644690000
2002-10-01,5804430000
2002-10-02,5796280000
2002-10-03,5854960000
2002-10-04,5670770000
2002-10-07,5781610000
2002-10-08,5820730000
2002-10-09,5408340000
2002-10-10,5815840000
2002-10-11,5776720000
2002-10-14,5835400000
2002-10-15,5890820000
2002-10-16,5574600000
2002-10-17,5776720000
2002-10-18,5758790000
2002-10-21,5957650000
2002-10-22,5814210000
2002-10-23,5988620000
2002-10-24,6057079999
2002-10-25,6122280000
2002-10-28,6277130000
2002-10-29,6194000000
2002-10-30,6312989999
2002-10-31,6252680000
2002-11-01,6268980000
2002-11-04,6430350000
2002-11-05,6430350000
2002-11-06,6467840000
2002-11-07,6249420000
2002-11-08,6078270000
2002-11-11,6115760000
2002-11-12,6021220000
2002-11-13,6079900000
2002-11-14,6180960000
2002-11-15,6273870000
2002-11-18,6140210000
2002-11-19,6122280000
2002-11-20,6130430000
2002-11-21,6094570000
2002-11-22,6299950000
2002-11-25,6340700000
2002-11-26,6187480000
2002-11-27,6207040000
2002-11-29,6148360000
2002-12-02,6094570000
2002-12-03,6151620000
2002-12-04,6102720000
2002-12-05,6063600000
2002-12-06,6026110000
2002-12-09,6120650000
2002-12-10,6163030000
2002-12-11,6184220000
2002-12-12,6223340000
2002-12-13,6299950000
2002-12-16,6407530000
2002-12-17,6425460000
2002-12-18,6427090000
2002-12-19,6343960000
2002-12-20,6451540000
2002-12-23,6352110000
2002-12-24,6353739999
2002-12-26,6373300000
2002-12-27,6291800000
2002-12-30,6458060000
2002-12-31,6593159999
2003-01-02,6674990000
2003-01-03,6673320000
2003-01-06,7002310000
2003-01-07,6810260000
2003-01-08,6843659999
2003-01-09,6651610000
2003-01-10,6568110000
2003-01-13,6471250000
2003-01-14,6591490000
2003-01-15,6549740000
2003-01-16,6474590000
2003-01-17,6454550000
2003-01-21,6366040000
2003-01-22,6379400000
2003-01-23,6407790000
2003-01-24,6255820000
2003-01-27,5998640000
2003-01-28,6115540000
2003-01-29,6095500000
2003-01-30,5981940000
2003-01-31,5956890000
2003-02-03,6038719999
2003-02-04,5968580000
2003-02-05,5940190000
2003-02-06,5960230000
2003-02-07,5883409999
2003-02-10,5933510000
2003-02-11,5758159999
2003-02-12,5664640000
2003-02-13,5749810000
2003-02-14,5853350000
2003-02-18,5930170000
2003-02-19,5983610000
2003-02-20,5965240000
2003-02-21,5961900000
2003-02-24,5911800000
2003-02-25,5986950000
2003-02-26,5861700000
2003-02-27,5875060000
2003-02-28,5888420000
2003-03-03,5926830000
2003-03-04,5881740000
2003-03-05,5896770000
2003-03-06,5880070000
2003-03-07,5931840000
2003-03-10,5875060000
2003-03-11,5845000000
2003-03-12,5818280000
2003-03-13,5875060000
2003-03-14,5883409999
2003-03-17,5955219999
2003-03-18,5960230000
2003-03-19,5813270000
2003-03-20,5549409999
2003-03-21,5664640000
2003-03-24,5541060000
2003-03-25,5546070000
2003-03-26,5567780000
2003-03-27,5552750000
2003-03-28,5522690000
2003-03-31,5525520000
2003-04-01,5580960000
2003-04-02,5572560000
2003-04-03,5577600000
2003-04-04,5670000000
2003-04-07,5636399999
2003-04-08,5629680000
2003-04-09,5666639999
2003-04-10,5648160000
2003-04-11,5538960000
2003-04-14,5545680000
2003-04-15,5634720000
2003-04-16,5602800000
2003-04-17,5607840000
2003-04-21,5574240000
2003-04-22,5607840000
2003-04-23,5681760000
2003-04-24,5748960000
2003-04-25,5742240000
2003-04-28,5819520000
2003-04-29,5814480000
2003-04-30,5764080000
2003-05-01,5658240000
2003-05-02,5540639999
2003-05-05,5586000000
2003-05-06,5592720000
2003-05-07,5574240000
2003-05-08,5596080000
2003-05-09,5643120000
2003-05-12,5631360000
2003-05-13,5671680000
2003-05-14,5678399999
2003-05-15,5712000000
2003-05-16,5851440000
2003-05-19,5715360000
2003-05-20,5804399999
2003-05-21,5822879999
2003-05-22,6090000000
2003-05-23,6318480000
2003-05-27,6407520000
2003-05-28,6326879999
2003-05-29,6217680000
2003-05-30,6194160000
2003-06-02,6197520000
2003-06-03,6227760000
2003-06-04,6310080000
2003-06-05,6237840000
2003-06-06,6140399999
2003-06-09,6093360000
2003-06-10,6074879999
2003-06-11,5880000000
2003-06-12,5962320000
2003-06-13,5859840000
2003-06-16,5841360000
2003-06-17,5785920000
2003-06-18,5817840000
2003-06-19,5720399999
2003-06-20,5728800000
2003-06-23,5696879999
2003-06-24,5617920000
2003-06-25,5646480000
2003-06-26,5688480000
2003-06-27,5575920000
2003-06-30,5523840000
2003-07-01,5470080000
2003-07-02,5537280000
2003-07-03,5537280000
2003-07-07,5510399999
2003-07-08,5503680000
2003-07-09,5461680000
2003-07-10,5360880000
2003-07-11,5337360000
2003-07-14,5345760000
2003-07-15,5292000000
2003-07-16,5233200000
2003-07-17,5308800000
2003-07-18,5389440000
2003-07-21,5258400000
2003-07-22,5365920000
2003-07-23,5350800000
2003-07-24,5339040000
2003-07-25,5323920000
2003-07-28,5266800000
2003-07-29,5214720000
2003-07-30,5147520000
2003-07-31,5103840000
2003-08-01,5008080000
2003-08-04,4998000000
2003-08-05,4937520000
2003-08-06,4974480000
2003-08-07,5029920000
2003-08-08,5076960000
2003-08-11,5013120000
2003-08-12,5013120000
2003-08-13,4962720000
2003-08-14,4939200000
2003-08-15,4962720000
2003-08-18,4959360000
2003-08-19,4952640000
2003-08-20,4969440000
2003-08-21,4998000000
2003-08-22,4949280000
2003-08-25,4969440000
2003-08-26,4981200000
2003-08-27,4967760000
2003-08-28,4981200000
2003-08-29,4989600000
2003-09-02,5053440000
2003-09-03,5092080000
2003-09-04,5102160000
2003-09-05,5066880000
2003-09-08,5226480000
2003-09-09,5179440000
2003-09-10,5295360000
2003-09-11,5256720000
2003-09-12,5317200000
2003-09-15,5278560000
2003-09-16,5275200000
2003-09-17,5157600000
2003-09-18,5087040000
2003-09-19,5139120000
2003-09-22,5061840000
2003-09-23,5075280000
2003-09-24,5124000000
2003-09-25,5174400000
2003-09-26,5280240000
2003-09-29,5367600000
2003-09-30,5273520000
2003-10-01,5323920000
2003-10-02,5399520000
2003-10-03,5389440000
2003-10-06,5360880000
2003-10-07,5258400000
2003-10-08,5202960000
2003-10-09,5181120000
2003-10-10,5120640000
2003-10-13,5122320000
2003-10-14,5159280000
2003-10-15,5088720000
2003-10-16,5100480000
2003-10-17,5115600000
2003-10-20,5189520000
2003-10-21,5118960000
2003-10-22,5251680000
2003-10-23,5250000000
2003-10-24,5246640000
2003-10-27,5218080000
2003-10-28,5283600000
2003-10-29,5328960000
2003-10-30,5258400000
2003-10-31,5271840000
2003-11-03,5281920000
2003-11-04,5154240000
2003-11-05,5124000000
2003-11-06,5102160000
2003-11-07,5066880000
2003-11-10,5087040000
2003-11-11,5097120000
2003-11-12,5122320000
2003-11-13,5171040000
2003-11-14,5184480000
2003-11-17,5201280000
2003-11-18,5199600000
2003-11-19,5243280000
2003-11-20,5160960000
2003-11-21,5197920000
2003-11-24,5255040000
2003-11-25,5339040000
2003-11-26,5360880000
2003-11-28,5391120000
2003-12-01,5401200000
2003-12-02,5370960000
2003-12-03,5345760000
2003-12-04,5352480000
2003-12-05,5355840000
2003-12-08,5424720000
2003-12-09,5365920000
2003-12-10,5396160000
2003-12-11,5429760000
2003-12-12,5544000000
2003-12-15,5584320000
2003-12-16,5572560000
2003-12-17,5564160000
2003-12-18,5505360000
2003-12-19,5490240000
2003-12-22,5503680000
2003-12-23,5564160000
2003-12-24,5538960000
2003-12-26,5554080000
2003-12-29,5648160000
2003-12-30,5675040000
2003-12-31,5698400000
2004-01-02,5712000000
2004-01-05,5681400000
2004-01-06,5657600000
2004-01-07,5633800000
2004-01-08,5630400000
2004-01-09,5598100000
2004-01-12,5543700000
2004-01-13,5574300000
2004-01-14,5635500000
2004-01-15,5594699999
2004-01-16,5535200000
2004-01-20,5584500000
2004-01-21,5706900000
2004-01-22,5745999999
2004-01-23,5667800000
2004-01-26,5601500000
2004-01-27,5599800000
2004-01-28,5676300000
2004-01-29,5676300000
2004-01-30,5655900000
2004-02-02,5628700000
2004-02-03,5630400000
2004-02-04,5547100000
2004-02-05,5506300000
2004-02-06,5655900000
2004-02-09,5727300000
2004-02-10,5757900000
2004-02-11,5756200000
2004-02-12,5698400000
2004-02-13,5667800000
2004-02-17,5700100000
2004-02-18,5768100000
2004-02-19,5771500000
2004-02-20,5749400000
2004-02-23,5751100000
2004-02-24,5735800000
2004-02-25,5778300000
2004-02-26,5778300000
2004-02-27,5853100000
2004-03-01,5848000000
2004-03-02,5822500000
2004-03-03,5824200000
2004-03-04,5880300000
2004-03-05,6038400000
2004-03-08,6038400000
2004-03-09,6031599999
2004-03-10,6018000000
2004-03-11,5946599999
2004-03-12,5985700000
2004-03-15,6002700000
2004-03-16,6036700000
2004-03-17,6065600000
2004-03-18,5951700000
2004-03-19,5914300000
2004-03-22,5854800000
2004-03-23,5844600000
2004-03-24,5836100000
2004-03-25,5839500000
2004-03-26,5871800000
2004-03-29,5912600000
2004-03-30,5958499999
2004-03-31,6056730000
2004-04-01,6108630000
2004-04-02,6082679999
2004-04-05,6099980000
2004-04-06,6112090000
2004-04-07,6027320000
2004-04-08,5990990000
2004-04-12,5882000000
2004-04-13,5778200000
2004-04-14,5748789999
2004-04-15,5721110000
2004-04-16,5797230000
2004-04-19,5778200000
2004-04-20,5755710000
2004-04-21,5707270000
2004-04-22,5764360000
2004-04-23,5767820000
2004-04-26,5804149999
2004-04-27,5778200000
2004-04-28,5767820000
2004-04-29,5714190000
2004-04-30,5743600000
2004-05-03,5786850000
2004-05-04,5785120000
2004-05-05,5817990000
2004-05-06,5845670000
2004-05-07,5748789999
2004-05-10,5620770000
2004-05-11,5629420000
2004-05-12,5641530000
2004-05-13,5679590000
2004-05-14,5740140000
2004-05-17,5674399999
2004-05-18,5660560000
2004-05-19,5667480000
2004-05-20,5670940000
2004-05-21,5674399999
2004-05-24,5729760000
2004-05-25,5797230000
2004-05-26,5811070000
2004-05-27,5887190000
2004-05-28,5918330000
2004-06-01,5883730000
2004-06-02,5895840000
2004-06-03,5842210000
2004-06-04,5837020000
2004-06-07,5906220000
2004-06-08,5904490000
2004-06-09,5871620000
2004-06-10,5906220000
2004-06-14,5887190000
2004-06-15,5887190000
2004-06-16,5949470000
2004-06-17,5909679999
2004-06-18,5956390000
2004-06-21,5985800000
2004-06-22,5980610000
2004-06-23,5987530000
2004-06-24,5966770000
2004-06-25,5940820000
2004-06-28,5977149999
2004-06-29,5913140000
2004-06-30,5966770000
2004-07-01,5935630000
2004-07-02,6008289999
2004-07-06,6004830000
2004-07-07,5992720000
2004-07-08,5956390000
2004-07-09,5961580000
2004-07-12,5954660000
2004-07-13,5942550000
2004-07-14,5965039999
2004-07-15,6001370000
2004-07-16,6055000000
2004-07-19,6075760000
2004-07-20,6063649999
2004-07-21,5970230000
2004-07-22,5897570000
2004-07-23,5876810000
2004-07-26,5843940000
2004-07-27,5817990000
2004-07-28,5821450000
2004-07-29,5843940000
2004-07-30,5913140000
2004-08-02,5930440000
2004-08-03,5933899999
2004-08-04,5954660000
2004-08-05,5892380000
2004-08-06,5894110000
2004-08-09,5921789999
2004-08-10,5906220000
2004-08-11,5861240000
2004-08-12,5823179999
2004-08-13,5823179999
2004-08-16,5868160000
2004-08-17,5882000000
2004-08-18,5954660000
2004-08-19,5909679999
2004-08-20,5895840000
2004-08-23,5899300000
