,ACV
2015-10-23,189065500
2015-10-26,188664300
2015-10-27,186658300
2015-10-28,187962199
2015-10-29,187661300
2015-10-30,189567000
2015-11-02,189767600
2015-11-03,189466700
2015-11-04,189968200
2015-11-05,190971200
2015-11-06,188864899
2015-11-09,184251100
2015-11-10,183047500
2015-11-11,181843900
2015-11-12,180138800
2015-11-13,179035500
2015-11-16,178834899
2015-11-17,177731600
2015-11-18,179035500
2015-11-19,177932199
2015-11-20,177631300
2015-11-23,177932199
2015-11-24,178634300
2015-11-25,180138800
2015-11-27,180640300
2015-11-30,181242100
2015-12-01,183248100
2015-12-02,184050500
2015-12-03,180540000
2015-12-04,181442700
2015-12-07,180138800
2015-12-08,178634300
2015-12-09,181442700
2015-12-10,179737600
2015-12-11,173920200
2015-12-14,170710600
2015-12-15,173017500
2015-12-16,178634300
2015-12-17,178834899
2015-12-18,179035500
2015-12-21,179837900
2015-12-22,179035500
2015-12-23,180239100
2015-12-24,181041500
2015-12-28,180840900
2015-12-29,180439699
2015-12-30,181643300
2015-12-31,182144800
2016-01-04,180038500
2016-01-05,181743600
2016-01-06,180138800
2016-01-07,174221100
2016-01-08,171613300
2016-01-11,170008500
2016-01-12,168203100
2016-01-13,162887199
2016-01-14,161984500
2016-01-15,156167100
2016-01-19,154462000
2016-01-20,148945500
2016-01-21,150750900
2016-01-22,156768900
2016-01-25,155465000
2016-01-26,156969500
2016-01-27,157069800
2016-01-28,160078800
2016-01-29,164492000
2016-02-01,171509000
2016-02-02,168222600
2016-02-03,167298300
2016-02-04,165244300
2016-02-05,163601100
2016-02-08,158979600
2016-02-09,157131000
2016-02-10,155693200
2016-02-11,151790600
2016-02-12,154871600
2016-02-16,157644500
2016-02-17,159595800
2016-02-18,160622800
2016-02-19,160417400
2016-02-22,160725500
2016-02-23,160622800
2016-02-24,160725500
2016-02-25,164730800
2016-02-26,167503700
2016-02-29,166682100
2016-03-01,170584700
2016-03-02,172433300
2016-03-03,174384600
2016-03-04,177773700
2016-03-07,177157500
2016-03-08,175925100
2016-03-09,176027800
2016-03-10,177157500
2016-03-11,178081800
2016-03-14,177876400
2016-03-15,176644000
2016-03-16,178903400
2016-03-17,179930400
2016-03-18,179930400
2016-03-21,181470900
2016-03-22,180854700
2016-03-23,180238500
2016-03-24,178595300
2016-03-28,178081800
2016-03-29,179725000
2016-03-30,181676300
2016-03-31,182600600
2016-04-01,182600600
2016-04-04,180854700
2016-04-05,179622299
2016-04-06,180341200
2016-04-07,179416900
2016-04-08,179416900
2016-04-11,180033100
2016-04-12,181368200
2016-04-13,181984400
2016-04-14,182600600
2016-04-15,182497900
2016-04-18,182189799
2016-04-19,183319500
2016-04-20,183833000
2016-04-21,184449200
2016-04-22,184962700
2016-04-25,184141100
2016-04-26,183730300
2016-04-27,185373500
2016-04-28,184346500
2016-04-29,182908700
2016-05-02,183730300
2016-05-03,183114099
2016-05-04,181984400
2016-05-05,181676300
2016-05-06,182292500
2016-05-09,181573600
2016-05-10,180443900
2016-05-11,179827700
2016-05-12,179930400
2016-05-13,179416900
2016-05-16,180752000
2016-05-17,179827700
2016-05-18,178492600
2016-05-19,177773700
2016-05-20,177979099
2016-05-23,176952100
2016-05-24,179211500
2016-05-25,180854700
2016-05-26,182806000
2016-05-27,183319500
2016-05-31,184654600
2016-06-01,184860000
2016-06-02,183935700
2016-06-03,185065400
2016-06-06,184346500
2016-06-07,186092400
2016-06-08,187632900
2016-06-09,187530200
2016-06-10,185373500
2016-06-13,184243800
2016-06-14,181368200
2016-06-15,182806000
2016-06-16,182087100
2016-06-17,181162800
2016-06-20,181984400
2016-06-21,182908700
2016-06-22,181881700
2016-06-23,183833000
2016-06-24,178287200
2016-06-27,176027800
2016-06-28,178595300
2016-06-29,181470900
2016-06-30,182497900
2016-07-01,182703300
2016-07-05,182395200
2016-07-06,183011400
2016-07-07,182600600
2016-07-08,186092400
2016-07-11,186297800
2016-07-12,186914000
2016-07-13,185989700
2016-07-14,187016700
2016-07-15,185784300
2016-07-18,186914000
2016-07-19,186708600
2016-07-20,189070700
2016-07-21,189276100
2016-07-22,190303100
2016-07-25,192665200
2016-07-26,195027299
2016-07-27,195643500
2016-07-28,196773200
2016-07-29,194924600
2016-08-01,194821900
2016-08-02,192459799
2016-08-03,193897600
2016-08-04,195335400
2016-08-05,196875900
2016-08-08,197697500
2016-08-09,197492100
2016-08-10,196978600
2016-08-11,198108300
2016-08-12,195438100
2016-08-15,195540800
2016-08-16,194924600
2016-08-17,194308400
2016-08-18,194924600
2016-08-19,194411100
2016-08-22,195027299
2016-08-23,195643500
2016-08-24,194924600
2016-08-25,194924600
2016-08-26,193692200
2016-08-29,195746200
2016-08-30,195438100
2016-08-31,195027299
2016-09-01,196054300
2016-09-02,197389400
2016-09-06,198313700
2016-09-07,198211000
2016-09-08,197286700
2016-09-09,191638200
2016-09-12,192767900
2016-09-13,190405800
2016-09-14,190303100
2016-09-15,190919300
2016-09-16,194103000
2016-09-19,192151700
2016-09-20,192151700
2016-09-21,194411100
2016-09-22,194103000
2016-09-23,194821900
2016-09-26,193794900
2016-09-27,194616500
2016-09-28,195232700
2016-09-29,193384099
2016-09-30,195438100
2016-10-03,194616500
2016-10-04,193589500
2016-10-05,193281400
2016-10-06,192665200
2016-10-07,193076000
2016-10-10,193486800
2016-10-11,189481500
2016-10-12,187632900
2016-10-13,187016700
2016-10-14,186092400
2016-10-17,183833000
2016-10-18,184551900
2016-10-19,185065400
2016-10-20,185681599
2016-10-21,186400500
2016-10-24,187119400
2016-10-25,186092400
2016-10-26,186195100
2016-10-27,185373500
2016-10-28,183935700
2016-10-31,182908700
2016-11-01,181368200
2016-11-02,180341200
2016-11-03,177465600
2016-11-04,176335900
2016-11-07,178800700
2016-11-08,177362900
2016-11-09,178800700
2016-11-10,178903400
2016-11-11,180443900
2016-11-14,178800700
2016-11-15,180546599
2016-11-16,184654600
2016-11-17,186503200
2016-11-18,187838300
2016-11-21,189686900
2016-11-22,190919300
2016-11-23,191022000
2016-11-25,189995000
2016-11-28,188454500
2016-11-29,189584200
2016-11-30,187427500
2016-12-01,185168100
2016-12-02,185681599
2016-12-05,187941000
2016-12-06,190097700
2016-12-07,192459799
2016-12-08,190508500
2016-12-09,190919300
2016-12-12,189584200
2016-12-13,192665200
2016-12-14,192562500
2016-12-15,194924600
2016-12-16,193589500
2016-12-19,193281400
2016-12-20,193076000
2016-12-21,194308400
2016-12-22,193692200
2016-12-23,193692200
2016-12-27,194411100
2016-12-28,192254400
2016-12-29,192357100
2016-12-30,192870600
2017-01-03,193486800
2017-01-04,195746200
2017-01-05,196259700
2017-01-06,196362400
2017-01-09,196670500
2017-01-10,197389400
2017-01-11,196465100
2017-01-12,196567800
2017-01-13,196465100
2017-01-17,196157000
2017-01-18,195232700
2017-01-19,194924600
2017-01-20,195438100
2017-01-23,197286700
2017-01-24,197492100
2017-01-25,200162299
2017-01-26,198929900
2017-01-27,200881200
2017-01-30,200059600
2017-01-31,200162299
2017-02-01,203037900
2017-02-02,204064900
2017-02-03,205913500
2017-02-06,208070200
2017-02-07,205297299
2017-02-08,205502700
2017-02-09,210226900
2017-02-10,208583700
2017-02-13,209199900
2017-02-14,206837800
2017-02-15,207248600
2017-02-16,206427000
2017-02-17,205605400
2017-02-21,206221599
2017-02-22,208378300
2017-02-23,210843100
2017-02-24,209918800
2017-02-27,211870100
2017-02-28,211253900
2017-03-01,210432299
2017-03-02,210637700
2017-03-03,212280900
2017-03-06,212075500
2017-03-07,210329600
2017-03-08,210329600
2017-03-09,204373000
2017-03-10,205194600
2017-03-13,201702800
2017-03-14,199956900
2017-03-15,204886500
2017-03-16,204681100
2017-03-17,204270300
2017-03-20,203346000
2017-03-21,200367700
2017-03-22,202216300
2017-03-23,201086599
2017-03-24,201189300
2017-03-27,201497400
2017-03-28,202113600
2017-03-29,205297299
2017-03-30,207967500
2017-03-31,208686400
2017-04-03,209918800
2017-04-04,210432299
2017-04-05,211253900
2017-04-06,210535000
2017-04-07,212178200
2017-04-10,212486300
2017-04-11,209918800
2017-04-12,210329600
2017-04-13,209610700
2017-04-17,212589000
2017-04-18,210945800
2017-04-19,210124200
2017-04-20,210226900
2017-04-21,211253900
2017-04-24,212999799
2017-04-25,213102500
2017-04-26,210329600
2017-04-27,210945800
2017-04-28,212486300
2017-05-01,214232200
2017-05-02,215361900
2017-05-03,216697000
2017-05-04,211870100
2017-05-05,213410600
2017-05-08,213410600
2017-05-09,210843100
2017-05-10,210740400
2017-05-11,210329600
2017-05-12,211151200
2017-05-15,211253900
2017-05-16,212075500
2017-05-17,208172900
2017-05-18,207762100
2017-05-19,209816100
2017-05-22,211253900
2017-05-23,211972800
2017-05-24,213205200
2017-05-25,209816100
2017-05-26,209918800
2017-05-30,211151200
2017-05-31,214129500
2017-06-01,214232200
2017-06-02,216594300
2017-06-05,216491599
2017-06-06,216286200
2017-06-07,216286200
2017-06-08,215464600
2017-06-09,216183500
2017-06-12,215361900
2017-06-13,212383600
2017-06-14,215053800
2017-06-15,214643000
2017-06-16,214437600
2017-06-19,214232200
2017-06-20,211562000
2017-06-21,214745700
2017-06-22,216697000
2017-06-23,217107800
2017-06-26,218545600
2017-06-27,213616000
2017-06-28,215259200
2017-06-29,214540300
2017-06-30,215259200
2017-07-03,218751000
2017-07-05,219264500
2017-07-06,216388900
2017-07-07,218442900
2017-07-10,219778000
2017-07-11,215053800
2017-07-12,218442900
2017-07-13,218442900
2017-07-14,219778000
2017-07-17,219572600
2017-07-18,222448200
2017-07-19,220291500
2017-07-20,221318500
2017-07-21,222140100
2017-07-24,223680600
2017-07-25,225837299
2017-07-26,223783300
2017-07-27,223372500
2017-07-28,222550900
2017-07-31,222037400
2017-08-01,224405344
2017-08-02,225021843
2017-08-03,224713593
2017-08-04,224610844
2017-08-07,225638341
2017-08-08,225535591
2017-08-09,222555850
2017-08-10,209814887
2017-08-11,211150633
2017-08-14,214438623
2017-08-15,214541373
2017-08-16,215671620
2017-08-17,214130374
2017-08-18,214335874
2017-08-21,213102877
2017-08-22,214541373
2017-08-23,215568870
2017-08-24,214130374
2017-08-25,214644123
2017-08-28,214541373
2017-08-29,214746873
2017-08-30,216904616
2017-08-31,218240362
2017-09-01,219267859
2017-09-05,217007366
2017-09-06,216699117
2017-09-07,215363371
2017-09-08,213616626
2017-09-11,214746873
2017-09-12,214849622
2017-09-13,215157871
2017-09-14,216699117
2017-09-15,217007366
2017-09-18,216493617
2017-09-19,215979869
2017-09-20,217315615
2017-09-21,217521114
2017-09-22,217829364
2017-09-25,218240362
2017-09-26,217932113
2017-09-27,218651361
2017-09-28,220089857
2017-09-29,220809105
2017-10-02,222350350
2017-10-03,222350350
2017-10-04,223275098
2017-10-05,223172348
2017-10-06,224199845
2017-10-09,225432841
2017-10-10,229029081
2017-10-11,224199845
2017-10-12,226563088
2017-10-13,229234580
2017-10-16,227796084
2017-10-17,225535591
2017-10-18,225638341
2017-10-19,226460338
2017-10-20,227796084
2017-10-23,227590585
2017-10-24,228001584
2017-10-25,225432841
2017-10-26,224610844
2017-10-27,224405344
2017-10-30,225124592
2017-10-31,225638341
2017-11-01,226563088
2017-11-02,228618082
2017-11-03,229029081
2017-11-06,229234580
2017-11-07,230364827
2017-11-08,228720832
2017-11-09,228412583
2017-11-10,225741090
2017-11-13,225638341
2017-11-14,225535591
2017-11-15,223275098
2017-11-16,225021843
2017-11-17,223377847
2017-11-20,223480597
2017-11-21,223377847
2017-11-22,225741090
2017-11-24,228104334
2017-11-27,226563088
2017-11-28,228926331
2017-11-29,225946590
2017-11-30,229029081
2017-12-01,226768587
2017-12-04,224610844
2017-12-05,223891596
2017-12-06,227076837
2017-12-07,227590585
2017-12-08,222247601
2017-12-11,226152089
2017-12-12,224199845
2017-12-13,224097095
2017-12-14,222966849
2017-12-15,224097095
2017-12-18,226563088
2017-12-19,226357589
2017-12-20,225535591
2017-12-21,226254839
2017-12-22,225227342
2017-12-26,223069598
2017-12-27,222247601
2017-12-28,222555850
2017-12-29,224405344
2018-01-02,226665838
2018-01-03,228104334
2018-01-04,228720832
2018-01-05,228823581
2018-01-08,230364827
2018-01-09,232625320
2018-01-10,234885814
2018-01-11,236632559
2018-01-12,235194063
2018-01-16,233036319
2018-01-17,231289574
2018-01-18,230364827
2018-01-19,231084075
2018-01-22,233139069
2018-01-23,234269316
2018-01-24,235707811
2018-01-25,234885814
2018-01-26,236735308
2018-01-29,235502312
2018-01-30,228618082
2018-01-31,230159328
2018-02-01,230200993
2018-02-02,226294054
2018-02-05,216526705
2018-02-06,220742087
2018-02-07,221564601
2018-02-08,216835147
2018-02-09,214059164
2018-02-12,216218262
2018-02-13,216321076
2018-02-14,219302688
2018-02-15,222489928
2018-02-16,223518070
2018-02-20,224546212
2018-02-21,224443398
2018-02-22,222592743
2018-02-23,223003999
2018-02-26,225574354
2018-02-27,224546212
2018-02-28,222901185
2018-03-01,221358972
2018-03-02,222181486
2018-03-05,223723699
2018-03-06,225985611
2018-03-07,226191240
2018-03-08,228144709
2018-03-09,228761595
2018-03-12,230509436
2018-03-13,232154463
2018-03-14,234416376
2018-03-15,234622004
2018-03-16,235958589
2018-03-19,232565720
2018-03-20,235341703
2018-03-21,235547332
2018-03-22,231640392
2018-03-23,227733453
2018-03-26,232874163
2018-03-27,230200993
2018-03-28,224649027
2018-03-29,233079791
2018-04-02,227425010
2018-04-03,228144709
2018-04-04,228453152
2018-04-05,236369845
2018-04-06,234724818
2018-04-09,234827632
2018-04-10,237500802
2018-04-11,233593862
2018-04-12,232257277
2018-04-13,229892551
2018-04-16,233285419
2018-04-17,233388234
2018-04-18,229995365
2018-04-19,231743206
2018-04-20,232257277
2018-04-23,230098179
2018-04-24,230612250
2018-04-25,228761595
2018-04-26,231743206
2018-04-27,233285419
2018-04-30,230509436
2018-05-01,231640392
2018-05-02,232668534
2018-05-03,232154463
2018-05-04,233799490
2018-05-07,234519190
2018-05-08,235650146
2018-05-09,236678288
2018-05-10,235958589
2018-05-11,237500802
2018-05-14,238014873
2018-05-15,236369845
2018-05-16,237603616
2018-05-17,240071157
2018-05-18,240893670
2018-05-21,241202113
2018-05-22,242435883
2018-05-23,239557086
2018-05-24,240071157
2018-05-25,239865528
2018-05-29,240276785
2018-05-30,241202113
2018-05-31,239557086
2018-06-01,240996484
2018-06-04,241921812
2018-06-05,243052768
2018-06-06,245417495
2018-06-07,244080910
2018-06-08,243258397
2018-06-11,244594981
2018-06-12,243669654
2018-06-13,243258397
2018-06-14,247987850
2018-06-15,247165336
2018-06-18,244492167
2018-06-19,243978096
2018-06-20,244594981
2018-06-21,243258397
2018-06-22,244800610
2018-06-25,241099299
2018-06-26,241202113
2018-06-27,239968342
2018-06-28,237295173
2018-06-29,235958589
2018-07-02,240276785
2018-07-03,238528944
2018-07-05,239351457
2018-07-06,238426129
2018-07-09,242435883
2018-07-10,244492167
2018-07-11,242641512
2018-07-12,245417495
2018-07-13,245314681
2018-07-16,245623123
2018-07-17,246137194
2018-07-18,245520309
2018-07-19,244697796
2018-07-20,245828752
2018-07-23,246240009
2018-07-24,248399107
2018-07-25,248604735
2018-07-26,249530063
2018-07-27,248399107
2018-07-30,249324435
2018-07-31,247679407
2018-08-01,249536775
2018-08-02,249640189
2018-08-03,252018699
2018-08-06,253363075
2018-08-07,255431345
2018-08-08,252742594
2018-08-09,255017691
2018-08-10,252639180
2018-08-13,251605045
2018-08-14,253569902
2018-08-15,253569902
2018-08-16,255121104
2018-08-17,255638172
2018-08-20,257809855
2018-08-21,258016682
2018-08-22,256465480
2018-08-23,254604037
2018-08-24,255948412
2018-08-27,255534758
2018-08-28,255534758
2018-08-29,258533750
2018-08-30,255948412
2018-08-31,256568893
2018-09-04,258016682
2018-09-05,254604037
2018-09-06,254604037
2018-09-07,254604037
2018-09-10,258430336
2018-09-11,258843990
2018-09-12,260291779
2018-09-13,256879134
2018-09-14,256672307
2018-09-17,254914277
2018-09-18,252018699
2018-09-19,253569902
2018-09-20,254810864
2018-09-21,253363075
2018-09-24,254604037
2018-09-25,256879134
2018-09-26,258637163
2018-09-27,259464471
2018-09-28,256879134
2018-10-01,259567885
2018-10-02,260188366
2018-10-03,254810864
2018-10-04,253880142
2018-10-05,243021725
2018-10-08,240539801
2018-10-09,242297830
2018-10-10,228026767
2018-10-11,225027776
2018-10-12,229577970
2018-10-15,229577970
2018-10-16,237851050
2018-10-17,235989607
2018-10-18,235679366
2018-10-19,236299847
2018-10-22,235679366
2018-10-23,233300856
2018-10-24,227613113
2018-10-25,225441430
2018-10-26,221201476
2018-10-29,217375177
2018-10-30,216754696
2018-10-31,222028784
2018-11-01,230198451
2018-11-02,233094029
2018-11-05,233197442
2018-11-06,235989607
2018-11-07,241987590
2018-11-08,242504657
2018-11-09,240850041
2018-11-12,239092012
2018-11-13,238368117
2018-11-14,235575953
2018-11-15,235679366
2018-11-16,234541818
2018-11-19,229267729
2018-11-20,222959506
2018-11-21,222856092
2018-11-23,223166332
2018-11-26,224717535
2018-11-27,224407295
2018-11-28,230612105
2018-11-29,232370134
2018-11-30,233094029
2018-12-03,235679366
2018-12-04,231749653
2018-12-06,231025759
2018-12-07,230922345
2018-12-10,227509700
2018-12-11,228957489
2018-12-12,229164316
2018-12-13,226268738
2018-12-14,221408303
2018-12-17,209515751
2018-12-18,204448489
2018-12-19,199070987
2018-12-20,190797907
2018-12-21,183248722
2018-12-24,182628241
2018-12-26,187592089
2018-12-27,190797907
2018-12-28,194417380
2018-12-31,192555937
2019-01-02,195968582
2019-01-03,193486658
2019-01-04,198553920
2019-01-07,205068970
2019-01-08,208791856
2019-01-09,213548877
2019-01-10,215513734
2019-01-11,214686426
2019-01-14,212928396
2019-01-15,214583012
2019-01-16,213238637
2019-01-17,214789839
2019-01-18,216651282
2019-01-22,212824982
2019-01-23,212514742
2019-01-24,213859118
2019-01-25,214893253
2019-01-28,214996666
2019-01-29,214065945
2019-01-30,217892244
2019-01-31,220167341
2019-02-01,219394884
2019-02-04,220944283
2019-02-05,222390388
2019-02-06,223939787
2019-02-07,221770629
2019-02-08,220634403
2019-02-11,221667335
2019-02-12,222803561
2019-02-13,223216734
2019-02-14,223320028
2019-02-15,223320028
2019-02-19,225179306
2019-02-20,225902359
2019-02-21,225902359
2019-02-22,227451758
2019-02-25,228897864
2019-02-26,228174811
2019-02-27,228484691
2019-02-28,229311037
2019-03-01,229620916
2019-03-04,231790075
2019-03-05,232306541
2019-03-06,229724210
2019-03-07,227761638
2019-03-08,223526614
2019-03-11,228278104
2019-03-12,229620916
2019-03-13,229724210
2019-03-14,230963729
2019-03-15,231996661
2019-03-18,230963729
2019-03-19,233339474
2019-03-20,231893368
2019-03-21,233132887
2019-03-22,230034090
2019-03-25,230860436
2019-03-26,231480195
2019-03-27,230240676
2019-03-28,232823008
2019-03-29,233752647
2019-04-01,238297550
2019-04-02,234062527
2019-04-03,238194257
2019-04-04,235611926
2019-04-05,236128392
2019-04-08,240053536
2019-04-09,236748151
2019-04-10,236128392
2019-04-11,234682286
2019-04-12,234682286
2019-04-15,235302046
2019-04-16,239227190
2019-04-17,240260122
2019-04-18,240363416
2019-04-22,241912814
2019-04-23,243255627
2019-04-24,244701732
2019-04-25,244288559
2019-04-26,246354425
2019-04-29,246147838
2019-04-30,248730170
2019-05-01,247903824
2019-05-02,247490650
2019-05-03,249453222
2019-05-06,248936756
2019-05-07,246870891
2019-05-08,249453222
2019-05-09,251002621
2019-05-10,247903824
2019-05-13,241706228
2019-05-14,243462213
2019-05-15,244288559
2019-05-16,246974184
2019-05-17,246354425
2019-05-20,244598439
2019-05-21,244288559
2019-05-22,242325987
2019-05-23,238917310
2019-05-24,237884377
2019-05-28,234062527
2019-05-29,232203248
2019-05-30,233442767
2019-05-31,228897864
2019-06-03,221460749
2019-06-04,225489186
2019-06-05,226625412
2019-06-06,227968224
2019-06-07,231273609
2019-06-10,233029594
2019-06-11,236334978
2019-06-12,235508632
2019-06-13,237367911
2019-06-14,235198753
2019-06-17,236954738
2019-06-18,238710723
2019-06-19,242016108
2019-06-20,243049040
2019-06-21,241293055
2019-06-24,239846949
2019-06-25,237058031
2019-06-26,237677791
2019-06-27,240466709
2019-06-28,241189762
2019-07-01,244908319
2019-07-02,245321492
2019-07-03,244805026
2019-07-05,244598439
2019-07-08,244805026
2019-07-09,247077477
2019-07-10,246354425
2019-07-11,245321492
2019-07-12,244288559
2019-07-15,244495146
2019-07-16,245011612
2019-07-17,245114905
2019-07-18,244805026
2019-07-19,244495146
2019-07-22,243978680
2019-07-23,244701732
2019-07-24,246457718
2019-07-25,244495146
2019-07-26,245011612
2019-07-29,244805026
2019-07-30,244805026
2019-07-31,242429281
2019-08-01,242466807
2019-08-02,240914523
2019-08-05,233980986
2019-08-06,238327382
2019-08-07,239879667
2019-08-08,241949379
2019-08-09,241949379
2019-08-12,245053948
2019-08-13,247848059
2019-08-14,244122577
2019-08-15,242363322
2019-08-16,243812120
2019-08-19,246502746
2019-08-20,248779430
2019-08-21,252711884
2019-08-22,251159599
2019-08-23,248882916
2019-08-26,248365488
2019-08-27,243294692
2019-08-28,240190124
2019-08-29,242570293
2019-08-30,240086638
2019-09-03,242570293
2019-09-04,244846976
2019-09-05,244640005
2019-09-06,243605149
2019-09-09,245260919
2019-09-10,243191207
2019-09-11,244019091
2019-09-12,242777264
2019-09-13,242880750
2019-09-16,238844810
2019-09-17,240707552
2019-09-18,239776181
2019-09-19,241742408
2019-09-20,242466807
2019-09-23,242259836
2019-09-24,241845893
2019-09-25,239051782
2019-09-26,236982069
2019-09-27,236050699
2019-09-30,235636756
2019-10-01,234084472
2019-10-02,230979903
2019-10-03,229634590
2019-10-04,233256587
2019-10-07,234912357
2019-10-08,231704303
2019-10-09,233463558
2019-10-10,232739159
2019-10-11,234394929
2019-10-14,234601900
2019-10-15,235429785
2019-10-16,236464641
2019-10-17,237809954
2019-10-18,238844810
2019-10-21,240190124
2019-10-22,241121494
2019-10-23,243191207
2019-10-24,241949379
2019-10-25,241431951
2019-10-28,240914523
2019-10-29,239569210
2019-10-30,238327382
2019-10-31,237085555
2019-11-01,239776181
2019-11-04,244226063
2019-11-05,247020174
2019-11-06,249296858
2019-11-07,250952628
2019-11-08,255195538
2019-11-11,253229312
2019-11-12,252918855
2019-11-13,250435200
2019-11-14,252504912
2019-11-15,253436283
2019-11-18,257575708
2019-11-19,254885082
2019-11-20,253436283
2019-11-21,251470056
2019-11-22,251677027
2019-11-25,249814286
2019-11-26,250021257
2019-11-27,250435200
2019-11-29,250435200
2019-12-02,250745657
2019-12-03,251159599
2019-12-04,254160682
2019-12-05,257679193
2019-12-06,258403593
2019-12-09,260162848
2019-12-10,263060446
2019-12-11,256954794
2019-12-12,255919938
2019-12-13,255505995
2019-12-16,255505995
2019-12-17,254885082
2019-12-18,255195538
2019-12-19,255505995
2019-12-20,256333880
2019-12-23,258714050
2019-12-24,258507078
2019-12-26,256437366
2019-12-27,255609481
2019-12-30,253643254
2019-12-31,254574625
2020-01-02,255609481
2020-01-03,257472222
2020-01-06,258300107
2020-01-07,261611647
2020-01-08,262336046
2020-01-09,261197704
2020-01-10,259852391
2020-01-13,259645420
2020-01-14,259438449
2020-01-15,259748906
2020-01-16,260059363
2020-01-17,260576791
2020-01-21,260266334
2020-01-22,262543017
2020-01-23,263784845
2020-01-24,263888331
2020-01-27,259438449
2020-01-28,259748906
2020-01-29,262543017
2020-01-30,262543017
2020-01-31,260990733
2020-02-03,261540019
2020-02-04,265785126
2020-02-05,267648832
2020-02-06,269926694
2020-02-07,271479782
2020-02-10,273032870
2020-02-11,270755008
2020-02-12,270547929
2020-02-13,270340851
2020-02-14,272929331
2020-02-18,272411635
2020-02-19,275724889
2020-02-20,274068262
2020-02-21,272825792
2020-02-24,264542656
2020-02-25,253878118
2020-02-26,253671040
2020-02-27,236379993
2020-02-28,224887142
2020-03-02,239175552
2020-03-03,240210944
2020-03-04,247562227
2020-03-05,244041894
2020-03-06,238864934
2020-03-09,224887142
2020-03-10,223955289
2020-03-11,205835929
2020-03-12,168251200
2020-03-13,185956403
2020-03-16,161314073
2020-03-17,164834406
2020-03-18,126835520
2020-03-19,145886732
2020-03-20,159346828
2020-03-23,142573478
2020-03-24,161521152
2020-03-25,175291865
2020-03-26,185542246
2020-03-27,178605120
2020-03-30,185128089
2020-03-31,186267020
2020-04-01,174877708
2020-04-02,172392768
2020-04-03,170632601
2020-04-06,183057305
2020-04-07,194343078
2020-04-08,200244812
2020-04-09,205007616
2020-04-13,202729753
2020-04-14,211012889
2020-04-15,209977497
2020-04-16,206146547
2020-04-17,209045644
2020-04-20,207699635
2020-04-21,204489920
2020-04-22,208527948
2020-04-23,207181939
2020-04-24,207906713
2020-04-27,210598732
2020-04-28,208320870
2020-04-29,211841203
2020-04-30,209356262
2020-05-01,205318233
2020-05-04,207285478
2020-05-05,215154457
2020-05-06,218571251
2020-05-07,220952652
2020-05-08,221470348
2020-05-11,223644672
2020-05-12,224265907
2020-05-13,212462438
2020-05-14,212151820
2020-05-15,213187212
2020-05-18,219917260
2020-05-19,219917260
2020-05-20,222609280
2020-05-21,222298662
2020-05-22,224783603
2020-05-26,230685337
2020-05-27,231410112
2020-05-28,233687974
2020-05-29,236690611
2020-06-01,241349875
2020-06-02,241971110
2020-06-03,244663129
2020-06-04,244248972
2020-06-05,247665766
2020-06-08,252014412
