,CHK
2023-01-30,11620150080
2023-01-31,11684826240
2023-02-01,11288684760
2023-02-02,11517746160
2023-02-03,11399173200
2023-02-06,11164722120
2023-02-07,11465196780
2023-02-08,11046149160
2023-02-09,11073097560
2023-02-10,11296769280
2023-02-13,11246914740
2023-02-14,11300811540
2023-02-15,11205144720
2023-02-16,11306201220
2023-02-17,10791486780
2023-02-21,10515265680
2023-02-22,10738937400
2023-02-23,10903322640
2023-02-24,11506966800
2023-02-27,11039412060
2023-02-28,10888501020
2023-03-01,10959914280
2023-03-02,11059623360
2023-03-03,11341234140
2023-03-06,10709294160
2023-03-07,10667524140
2023-03-08,10567815060
2023-03-09,10311805260
2023-03-10,10129903560
2023-03-13,10005940920
2023-03-14,10067922240
2023-03-15,9655611720
2023-03-16,9869851500
2023-03-17,9710855940
2023-03-20,9935875080
2023-03-21,10097565480
2023-03-22,9941264760
2023-03-23,9856377300
2023-03-24,10011330600
2023-03-27,10156851960
2023-03-28,10212096180
2023-03-29,10120471620
2023-03-30,10102955160
2023-03-31,10152404560
2023-04-03,10263221180
2023-04-04,10188453340
2023-04-05,10243194080
2023-04-06,10050933920
2023-04-10,10352675560
2023-04-11,10530249180
2023-04-12,10554281700
2023-04-13,10751882420
2023-04-14,10811963720
2023-04-17,10893407260
2023-04-18,10862699040
2023-04-19,10805288020
2023-04-20,10813298860
2023-04-21,10794606900
2023-04-24,11010899580
2023-04-25,10657087480
2023-04-26,10591665620
2023-04-27,10729185040
2023-04-28,11038937520
2023-05-01,10980191360
2023-05-02,10695806540
2023-05-03,10284583420
2023-05-04,10276572580
2023-05-05,10499540960
2023-05-08,10456816480
2023-05-09,10426108260
2023-05-10,10374037800
2023-05-11,10315291640
2023-05-12,10651746920
2023-05-15,10949483140
2023-05-16,10678449720
2023-05-17,10448805640
2023-05-18,10978856220
2023-05-19,10844007080
2023-05-22,10924115480
2023-05-23,10785260920
2023-05-24,10677114580
2023-05-25,10542265440
2023-05-26,10364691820
2023-05-30,10082977280
2023-05-31,10046928500
2023-06-01,10167091100
2023-06-02,10631719820
2023-06-05,10372702660
2023-06-06,10563627680
2023-06-07,10846677360
2023-06-08,10865369320
2023-06-09,10667768600
2023-06-12,10539595160
2023-06-13,10755887840
2023-06-14,10649076640
2023-06-15,10885396420
2023-06-16,10996213040
2023-06-20,10815969140
2023-06-21,10929456040
2023-06-22,10825315120
2023-06-23,10759893260
2023-06-26,10876050440
2023-06-27,10924115480
2023-06-28,10856023340
2023-06-29,11215176000
2023-06-30,11058562956
2023-07-03,11073099786
2023-07-05,11009666346
2023-07-06,10744038818
2023-07-07,10856368867
2023-07-10,10947554437
2023-07-11,11131247105
2023-07-12,11115388745
2023-07-13,11021560116
2023-07-14,10720251278
2023-07-17,10684569969
2023-07-18,10771790948
2023-07-19,10855047337
2023-07-20,11030810826
2023-07-21,10980592686
2023-07-24,11024203176
2023-07-25,10952840557
2023-07-26,11010987876
2023-07-27,10857690397
2023-07-28,11164285355
2023-07-31,11145783935
2023-08-01,11160320765
2023-08-02,10901300887
2023-08-03,11103494975
2023-08-04,11281901524
2023-08-07,11484095613
2023-08-08,11523741512
2023-08-09,11600390252
