,NTRS
2001-06-20,14082478136
2001-06-21,14523664085
2001-06-22,14556919308
2001-06-25,14253188277
2001-06-26,14239886188
2001-06-27,14299745589
2001-06-28,14490408863
2001-06-29,13856342625
2001-07-02,14323615937
2001-07-03,14345761292
2001-07-05,14204031017
2001-07-06,14060086206
2001-07-09,14095518775
2001-07-10,13812058225
2001-07-11,13851919865
2001-07-12,14186314733
2001-07-13,14297041510
2001-07-16,13510881390
2001-07-17,13710189590
2001-07-18,13893996040
2001-07-19,13723476803
2001-07-20,13639324452
2001-07-23,13661469807
2001-07-24,13621608168
2001-07-25,13714618661
2001-07-26,13843061723
2001-07-27,14004722818
2001-07-30,13831989045
2001-07-31,14128736809
2001-08-01,14130951344
2001-08-02,14328045008
2001-08-03,14312543259
2001-08-06,14334688615
2001-08-07,14248321728
2001-08-08,14099947846
2001-08-09,14060086206
2001-08-10,13960432107
2001-08-13,13896210576
2001-08-14,13838632651
2001-08-15,13785483798
2001-08-16,13730120410
2001-08-17,13552957566
2001-08-20,13690258770
2001-08-21,13435587181
2001-08-22,13668113414
2001-08-23,13513095926
2001-08-24,13448874395
2001-08-27,13278355157
2001-08-28,13010396356
2001-08-29,12802230014
2001-08-30,12751295696
2001-08-31,12556416568
2001-09-04,12401399080
2001-09-05,12135654814
2001-09-06,11914201259
2001-09-07,11728180272
2001-09-10,11756969234
2001-09-17,11358352835
2001-09-18,11360567371
2001-09-19,11050532394
2001-09-20,10282088558
2001-09-21,10020773363
2001-09-24,10798075341
2001-09-25,10811362555
2001-09-26,10842366052
2001-09-27,10930947474
2001-09-28,11621882566
2001-10-01,11380625325
2001-10-02,11475592701
2001-10-03,11778163178
2001-10-04,11480009788
2001-10-05,11095723197
2001-10-08,10726896410
2001-10-09,10804195437
2001-10-10,10899162814
2001-10-11,11287866492
2001-10-12,11153145331
2001-10-15,10934499512
2001-10-16,11250321251
2001-10-17,11250321251
2001-10-18,11259155425
2001-10-19,11086889022
2001-10-22,11349705714
2001-10-23,11329828821
2001-10-24,11349705714
2001-10-25,11559517359
2001-10-26,11577185708
2001-10-29,11340871540
2001-10-30,11128851351
2001-10-31,11150936787
2001-11-01,11241487076
2001-11-02,11298909211
2001-11-05,11853253662
2001-11-06,12078525112
2001-11-07,12237540253
2001-11-08,12476062965
2001-11-09,12442934811
2001-11-12,12266251321
2001-11-13,12416432287
2001-11-14,12756548006
2001-11-15,12822804315
2001-11-16,12665997718
2001-11-19,12917771691
2001-11-20,12752130919
2001-11-21,12776424899
2001-11-23,13072369745
2001-11-26,13222550712
2001-11-27,13019364698
2001-11-28,12659372087
2001-11-29,12840472664
2001-11-30,12774216355
2001-12-03,12555570536
2001-12-04,12924397322
2001-12-05,13253470323
2001-12-06,13476533230
2001-12-07,13419111095
2001-12-10,13173962752
2001-12-11,13284389934
2001-12-12,13178379840
2001-12-13,13109914987
2001-12-14,12995070718
2001-12-17,13043658678
2001-12-18,12864766644
2001-12-19,13030407417
2001-12-20,13127583336
2001-12-21,13202673820
2001-12-24,13207090907
2001-12-26,13242427605
2001-12-27,13273347216
2001-12-28,13383774397
2001-12-31,13299849739
2002-01-02,13156294403
2002-01-03,13328560807
2002-01-04,13571500606
2002-01-07,13697387593
2002-01-08,13456656337
2002-01-09,13496410122
2002-01-10,13662050895
2002-01-11,13584751868
2002-01-14,13030407417
2002-01-15,13123166249
2002-01-16,12931022953
2002-01-17,13070161202
2002-01-18,12988445088
2002-01-22,12977402369
2002-01-23,13107706444
2002-01-24,13213716538
2002-01-25,13335186437
2002-01-28,13211507994
2002-01-29,12555570536
2002-01-30,12677040436
2002-01-31,12895686255
2002-02-01,12765382181
2002-02-04,12310422193
2002-02-05,12301588019
2002-02-06,11919509971
2002-02-07,11990183367
2002-02-08,12124904528
2002-02-11,12080733656
2002-02-12,12049814045
2002-02-13,12191160837
2002-02-14,12230914622
2002-02-15,12107236179
2002-02-19,11658901822
2002-02-20,11904050165
2002-02-21,11692029977
2002-02-22,11548474641
2002-02-25,11910675796
2002-02-26,11822334051
2002-02-27,12045396958
2002-02-28,11952638125
2002-03-01,12014477347
2002-03-04,12385512677
2002-03-05,12769799268
2002-03-06,13063535571
2002-03-07,13052492853
2002-03-08,13235801974
2002-03-11,13564874975
2002-03-12,13414694008
2002-03-13,13072369745
2002-03-14,13076786833
2002-03-15,13443405075
2002-03-18,13313101001
2002-03-19,13531746821
2002-03-20,13328560807
2002-03-21,13284389934
2002-03-22,13218133625
2002-03-25,12986236544
2002-03-26,13165128578
2002-03-27,13416902552
2002-03-28,13275555759
2002-04-01,13156889806
2002-04-02,13183393529
2002-04-03,12841053774
2002-04-04,12783629041
2002-04-05,12874183427
2002-04-08,12894061220
2002-04-09,13141429301
2002-04-10,13137012013
2002-04-11,12679822792
2002-04-12,12847679704
2002-04-15,12333065750
2002-04-16,12257971869
2002-04-17,12359569473
2002-04-18,12136496472
2002-04-19,11871459242
2002-04-22,11577709646
2002-04-23,11478320685
2002-04-24,11708019617
2002-04-25,11699185043
2002-04-26,11714645548
2002-04-29,11487155259
2002-04-30,11732314696
2002-05-01,11657220815
2002-05-02,11880293816
2002-05-03,11522493556
2002-05-06,11071930266
2002-05-07,11043217900
2002-05-08,11641760310
2002-05-09,11431939170
2002-05-10,11177945158
2002-05-13,11155858722
2002-05-14,11370097149
2002-05-15,11529119487
2002-05-16,11573292359
2002-05-17,11632925735
2002-05-20,11458442893
2002-05-21,11334758852
2002-05-22,11312672416
2002-05-23,11418687308
2002-05-24,11356845288
2002-05-28,11264082258
2002-05-29,11341384783
2002-05-30,11288377337
2002-05-31,11445191031
2002-06-03,11151441435
2002-06-04,10983584523
2002-06-05,11065304335
2002-06-06,10696460857
2002-06-07,10625784263
2002-06-10,10603697827
2002-06-11,10243688924
2002-06-12,10413754479
2002-06-13,10086875229
2002-06-14,10095709804
2002-06-17,10590445966
2002-06-18,10678791709
2002-06-19,10488848361
2002-06-20,10159760468
2002-06-21,9919018317
2002-06-24,9819629356
2002-06-25,9784291059
2002-06-26,9563426701
2002-06-27,9879262733
2002-06-28,9731283613
2002-07-01,9474159967
2002-07-02,9037704948
2002-07-03,8700444251
2002-07-05,9401417464
2002-07-08,9350718143
2002-07-09,8969371081
2002-07-10,8735713343
2002-07-11,8828294711
2002-07-12,8726896070
2002-07-15,8748939253
2002-07-16,8585819700
2002-07-17,8656357885
2002-07-18,8259580595
2002-07-19,7893663760
2002-07-22,7774630573
2002-07-23,7364627373
2002-07-24,7668823296
2002-07-25,7642371476
2002-07-26,7708501025
2002-07-29,8532916061
2002-07-30,8579206745
2002-07-31,8779799709
2002-08-01,8539529016
2002-08-02,8294849687
2002-08-05,7975223537
2002-08-06,8299258324
2002-08-07,8316892870
2002-08-08,9011253128
2002-08-09,9037704948
2002-08-12,9037704948
2002-08-13,8804047210
2002-08-14,9260341094
2002-08-15,9562332698
2002-08-16,9524859287
2002-08-19,9954701352
2002-08-20,9879754530
2002-08-21,9862119984
2002-08-22,10040669765
2002-08-23,9787173163
2002-08-26,9932658169
2002-08-27,9782764526
2002-08-28,9443299511
2002-08-29,9419052010
2002-08-30,9421256328
2002-09-03,8850337894
2002-09-04,8960553808
2002-09-05,8885606986
2002-09-06,9128081997
2002-09-09,9258136776
2002-09-10,9037704948
2002-09-11,9028887674
2002-09-12,8638723339
2002-09-13,8740121980
2002-09-16,8689422659
2002-09-17,8702648569
2002-09-18,8733509025
2002-09-19,8378613782
2002-09-20,8389635373
2002-09-23,8215494229
2002-09-24,8111891270
2002-09-25,8510872879
2002-09-26,8640927657
2002-09-27,8308075597
2002-09-30,8300762101
2002-10-01,8683671064
2002-10-02,8252348325
2002-10-03,7424912866
2002-10-04,7000192005
2002-10-07,6764725000
2002-10-08,7127828326
2002-10-09,6773527505
2002-10-10,7213652749
2002-10-11,7744003668
2002-10-14,7832028716
2002-10-15,8368981514
2002-10-16,8151119518
2002-10-17,8379984645
2002-10-18,8382185271
2002-10-21,8408592786
2002-10-22,8269953334
2002-10-23,8179727659
2002-10-24,7964066290
2002-10-25,8047690086
2002-10-28,8043288834
2002-10-29,7796818697
2002-10-30,7856235605
2002-10-31,7662580498
2002-11-01,7840831221
2002-11-04,8243545820
2002-11-05,8197332669
2002-11-06,8228141436
2002-11-07,7801219949
2002-11-08,7766009930
2002-11-11,7592160459
2002-11-12,7724198032
2002-11-13,7860636857
2002-11-14,8197332669
2002-11-15,8212737053
2002-11-18,8071896974
2002-11-19,8085100732
2002-11-20,8360179009
2002-11-21,8762893608
2002-11-22,8751890476
2002-11-25,8732084840
2002-11-26,8384385898
2002-11-27,8523025350
2002-11-29,8516423471
2002-12-02,8809106758
2002-12-03,8615451651
2002-12-04,8494417209
2002-12-05,8217138305
2002-12-06,8247947072
2002-12-09,7957464411
2002-12-10,8034486329
2002-12-11,8047690086
2002-12-12,7992674431
2002-12-13,7882643120
2002-12-16,8107106994
2002-12-17,8036686955
2002-12-18,7592160459
2002-12-19,7589959832
2002-12-20,7750605546
2002-12-23,7768210556
2002-12-24,7702191770
2002-12-26,7807821828
2002-12-27,7660379871
2002-12-30,7752806173
2002-12-31,7724103933
2003-01-02,8037034820
2003-01-03,7990756308
2003-01-06,8250797468
2003-01-07,8153832968
2003-01-08,8003978740
2003-01-09,8140610536
2003-01-10,8140610536
2003-01-13,8145018013
2003-01-14,8193500263
2003-01-15,8063479683
2003-01-16,8037034820
2003-01-17,8087720808
2003-01-21,7937866581
2003-01-22,7561027273
2003-01-23,7898199285
2003-01-24,7686640376
2003-01-27,7669010467
2003-01-28,7765974967
2003-01-29,7759363751
2003-01-30,7501526330
2003-01-31,7505933807
2003-02-03,7505933807
2003-02-04,7364894534
2003-02-05,7309801068
2003-02-06,7173169273
2003-02-07,7109260852
2003-02-10,7230466477
2003-02-11,7056371125
2003-02-12,6948387931
2003-02-13,6948387931
2003-02-14,7133501977
2003-02-18,7151131886
2003-02-19,7043148693
2003-02-20,6983647750
2003-02-21,7093834682
2003-02-24,6906516897
2003-02-25,6983647750
2003-02-26,6853627170
2003-02-27,6974832795
2003-02-28,7056371125
2003-03-03,6959406625
2003-03-04,6769885102
2003-03-05,6714791636
2003-03-06,6549511238
2003-03-07,6571548624
2003-03-10,6315914942
2003-03-11,6229969135
2003-03-12,6269636430
2003-03-13,6639864522
2003-03-14,6644271999
2003-03-17,6972629056
2003-03-18,7096038420
2003-03-19,7204021614
2003-03-20,7307597330
2003-03-21,6988055227
2003-03-24,6798533704
2003-03-25,6946184193
2003-03-26,6928554284
2003-03-27,6862442124
2003-03-28,6833793522
2003-03-31,6708057535
2003-04-01,6791770568
2003-04-02,6998850177
2003-04-03,6910731194
2003-04-04,6965805558
2003-04-07,7267613073
2003-04-08,7267613073
2003-04-09,7071548337
2003-04-10,7148652447
