,SEDG
2018-04-17,2467518446
2018-04-18,2547115816
2018-04-19,2503905815
2018-04-20,2510728447
2018-04-23,2417485814
2018-04-24,2397017919
2018-04-25,2381098445
2018-04-26,2410663183
2018-04-27,2415211604
2018-04-30,2394743709
2018-05-01,2390195288
2018-05-02,2410663183
2018-05-03,2403840551
2018-05-04,2483437920
2018-05-07,2590325816
2018-05-08,2553938447
2018-05-09,2531196342
2018-05-10,2949651083
2018-05-11,2924634767
2018-05-14,3117942664
2018-05-15,3077006874
2018-05-16,3072458453
2018-05-17,3029248452
2018-05-18,3022425820
2018-05-21,3058813189
2018-05-22,3017877399
2018-05-23,2804101608
2018-05-24,2567583710
2018-05-25,2681294238
2018-05-29,2738149502
2018-05-30,2667648975
2018-05-31,2540293184
2018-06-01,2487986341
2018-06-04,2547115816
2018-06-05,2422034235
2018-06-06,2433405288
2018-06-07,2431131077
2018-06-08,2451598972
2018-06-11,2406114761
2018-06-12,2349259498
2018-06-13,2344711077
2018-06-14,2328791603
2018-06-15,2158225811
2018-06-18,2169596864
2018-06-19,2240097391
2018-06-20,2317420550
2018-06-21,2285581602
2018-06-22,2276484760
2018-06-25,2237823181
2018-06-26,2187790549
2018-06-27,2112741600
2018-06-28,2251468444
2018-06-29,2176419496
2018-07-02,2316558232
2018-07-03,2277796923
2018-07-05,2334798848
2018-07-06,2446522621
2018-07-09,2476163622
2018-07-10,2416881620
2018-07-11,2366719926
2018-07-12,2412321466
2018-07-13,2480723776
2018-07-16,2480723776
2018-07-17,2503524546
2018-07-18,2476163622
2018-07-19,2476163622
2018-07-20,2446522621
2018-07-23,2462483160
2018-07-24,2441962467
2018-07-25,2638049089
2018-07-26,2505804623
2018-07-27,2460203083
2018-07-30,2416881620
2018-07-31,2428282005
2018-08-01,2565086625
2018-08-02,2567366702
2018-08-03,2209394613
2018-08-06,2264116461
2018-08-07,2140992303
2018-08-08,2195714151
2018-08-09,2136432149
2018-08-10,2109071225
2018-08-13,2090830609
2018-08-14,2086270455
2018-08-15,2047509146
2018-08-16,2093110686
2018-08-17,2081710301
2018-08-20,2143272380
2018-08-21,2159232919
2018-08-22,2150112611
2018-08-23,2147832534
2018-08-24,2178613573
2018-08-27,2152392688
2018-08-28,2182033689
2018-08-29,2193434074
2018-08-30,2184313766
2018-08-31,2186593843
2018-09-04,2184313766
2018-09-05,2156952842
2018-09-06,2077150146
2018-09-07,1947185758
2018-09-10,1926665065
2018-09-11,1963146296
2018-09-12,1974546681
2018-09-13,1995067375
2018-09-14,1922104911
2018-09-17,1919824834
2018-09-18,1917544756
2018-09-19,1858262755
2018-09-20,1949465835
2018-09-21,1942625604
2018-09-24,1933505296
2018-09-25,1860542831
2018-09-26,1821781523
2018-09-27,1732858520
2018-09-28,1716897981
2018-10-01,1750980000
2018-10-02,1861859999
2018-10-03,1833216000
2018-10-04,1804109999
2018-10-05,1754675999
2018-10-08,1826286000
2018-10-09,1792559999
2018-10-10,1744974000
2018-10-11,1710786000
2018-10-12,1819818000
2018-10-15,1872024000
2018-10-16,1952412000
2018-10-17,1930698000
2018-10-18,1854468000
2018-10-19,1860474000
2018-10-22,1871562000
2018-10-23,1840608000
2018-10-24,1696002000
2018-10-25,1692306000
2018-10-26,1694154000
2018-10-29,1720488000
2018-10-30,1756062000
2018-10-31,1789325999
2018-11-01,1895586000
2018-11-02,1744050000
2018-11-05,1806189000
2018-11-06,1738044000
2018-11-07,1790250000
2018-11-08,1744512000
2018-11-09,1729266000
2018-11-12,1625778000
2018-11-13,1676136000
2018-11-14,1729266000
2018-11-15,1766688000
2018-11-16,1783320000
2018-11-19,1779162000
2018-11-20,1722798000
2018-11-21,1759296000
2018-11-23,1847075999
2018-11-26,1848924000
2018-11-27,1829058000
2018-11-28,1968582000
2018-11-29,1934856000
2018-11-30,1798566000
2018-12-03,1843380000
2018-12-04,1780548000
2018-12-06,1865556000
2018-12-07,1756986000
2018-12-10,1789325999
2018-12-11,1799490000
2018-12-12,1790712000
2018-12-13,1780086000
2018-12-14,1770846000
2018-12-17,1728341999
2018-12-18,1697388000
2018-12-19,1669206000
2018-12-20,1624391999
2018-12-21,1592052000
2018-12-24,1543541999
2018-12-26,1630398000
2018-12-27,1616075999
2018-12-28,1610994000
2018-12-31,1668654000
2019-01-02,1718571000
2019-01-03,1687670000
2019-01-04,1770865000
2019-01-07,1664375400
2019-01-08,1663900000
2019-01-09,1685768400
2019-01-10,1710964600
2019-01-11,1730456000
2019-01-14,1735210000
2019-01-15,1744242600
2019-01-16,1775619000
2019-01-17,1786077800
2019-01-18,1767537200
2019-01-22,1757078400
2019-01-23,1807946200
2019-01-24,1913009600
2019-01-25,1942009000
2019-01-28,2003811000
2019-01-29,1996680000
2019-01-30,2008565000
2019-01-31,2081776600
2019-02-01,2047547800
2019-02-04,2096989400
2019-02-05,2114103800
2019-02-06,2089858400
2019-02-07,2040892200
2019-02-08,2067039199
2019-02-11,2093661600
2019-02-12,2036613600
2019-02-13,2102694199
2019-02-14,2118382400
2019-02-15,2058481999
2019-02-19,2059432800
2019-02-20,1972910000
2019-02-21,2001909400
2019-02-22,1982418000
2019-02-25,1918714400
2019-02-26,1943435200
2019-02-27,2012843600
2019-02-28,2009040400
2019-03-01,1965303600
2019-03-04,1975286999
2019-03-05,1963401999
2019-03-06,1919665200
2019-03-07,1871174400
2019-03-08,1867371200
2019-03-11,1896370600
2019-03-12,1868797400
2019-03-13,1896846000
2019-03-14,1888764199
2019-03-15,1898272200
2019-03-18,1886862600
2019-03-19,1876879199
2019-03-20,1865469600
2019-03-21,1846453600
2019-03-22,1764684799
2019-03-25,1774668200
2019-03-26,1743767200
2019-03-27,1748996600
2019-03-28,1795110400
2019-03-29,1791307200
2019-04-01,1817238832
2019-04-02,1834042890
2019-04-03,1856128224
2019-04-04,1925745035
2019-04-05,1955032107
2019-04-08,1989600455
2019-04-09,1951671296
2019-04-10,1981438484
2019-04-11,1950230948
2019-04-12,1967995238
2019-04-15,1989120339
2019-04-16,2042413208
2019-04-17,2068339469
2019-04-18,2066419005
2019-04-22,2074100860
2019-04-23,2127393730
2019-04-24,2150439295
2019-04-25,2204692396
2019-04-26,2207092976
2019-04-29,2169643932
2019-04-30,2126913614
2019-05-01,2119231759
2019-05-02,2100987353
2019-05-03,2139396628
2019-05-06,2106748744
2019-05-07,2584944220
2019-05-08,2489401148
2019-05-09,2472116975
2019-05-10,2545094597
2019-05-13,2400579700
2019-05-14,2445710598
2019-05-15,2514847293
2019-05-16,2655041148
2019-05-17,2668964510
2019-05-20,2626234191
2019-05-21,2631035351
2019-05-22,2638717206
2019-05-23,2567179931
2019-05-24,2573901554
2019-05-28,2658882075
2019-05-29,2582543641
2019-05-30,2622873380
2019-05-31,2572461206
2019-06-03,2557097496
2019-06-04,2623833612
2019-06-05,2648319525
2019-06-06,2689129379
2019-06-07,2704012974
2019-06-10,2728498887
2019-06-11,2736660858
2019-06-12,2631995583
2019-06-13,2778911060
2019-06-14,2712174945
2019-06-17,2716976104
2019-06-18,2811558944
2019-06-19,2842286364
2019-06-20,2865331929
2019-06-21,2851888683
2019-06-24,2906621900
2019-06-25,2843246596
2019-06-26,2862451234
2019-06-27,2931587929
2019-06-28,2998804161
2019-07-01,3015537302
2019-07-02,3041675185
2019-07-03,3015537302
2019-07-05,3056680267
2019-07-08,3026670104
2019-07-09,3014085197
2019-07-10,3015053267
2019-07-11,2940995930
2019-07-12,3006824674
2019-07-15,2992787663
2019-07-16,2971974163
2019-07-17,3018441511
2019-07-18,3031994488
2019-07-19,3067329034
2019-07-22,3052323953
2019-07-23,3022797825
2019-07-24,3025218000
2019-07-25,3053292023
2019-07-26,3062004650
2019-07-29,3113796383
2019-07-30,3068781139
2019-07-31,3157359522
2019-08-01,3218347917
2019-08-02,3145258650
2019-08-05,3045063430
2019-08-06,3106535859
2019-08-07,3886800086
2019-08-08,3911969900
2019-08-09,3985059167
2019-08-12,4193194165
2019-08-13,4248858176
2019-08-14,4099291398
2019-08-15,3972958295
2019-08-16,4056212294
2019-08-19,4071701410
2019-08-20,4100259468
2019-08-21,4252246420
2019-08-22,3971022155
2019-08-23,3915842179
2019-08-26,3987479341
2019-08-27,3961341457
2019-08-28,4000064248
2019-08-29,4034914759
2019-08-30,3965213736
2019-09-03,3753206459
2019-09-04,4012165120
2019-09-05,3804514156
2019-09-06,3739653482
2019-09-09,3589602670
2019-09-10,3636070018
2019-09-11,3844689051
2019-09-12,3467625880
2019-09-13,3684473506
2019-09-16,3838880633
2019-09-17,4020393713
2019-09-18,4019425643
2019-09-19,4328239896
2019-09-20,4327755862
2019-09-23,4350021466
2019-09-24,4199486618
2019-09-25,4274027990
2019-09-26,4131237700
2019-09-27,3972958295
2019-09-30,4091272410
2019-10-01,4063417354
2019-10-02,3964214261
2019-10-03,3958350039
2019-10-04,4178258374
2019-10-07,4178747059
2019-10-08,4262312227
2019-10-09,4180701800
2019-10-10,4319488394
2019-10-11,4346854765
2019-10-14,4354429385
2019-10-15,4144050411
2019-10-16,4099091373
2019-10-17,4086385558
2019-10-18,4162131763
2019-10-21,4264755653
2019-10-22,4242276134
2019-10-23,4471469488
2019-10-24,4569206526
2019-10-25,4554545970
2019-10-28,4560410193
2019-10-29,4499813229
2019-10-30,4145027781
2019-10-31,4151869374
2019-11-01,4065372095
2019-11-04,3889934112
2019-11-05,4069281577
2019-11-06,3905083353
2019-11-07,3904594668
2019-11-08,3809301056
2019-11-11,3961770835
2019-11-12,3946132909
2019-11-13,3776559148
2019-11-14,3823472926
2019-11-15,3858658260
2019-11-18,3752613574
2019-11-19,3861590371
2019-11-20,3826893722
2019-11-21,3761898592
2019-11-22,3732088796
2019-11-25,3917300483
2019-11-26,3856214834
2019-11-27,4026277280
2019-11-29,3988159835
2019-12-02,3993535372
2019-12-03,4302384412
2019-12-04,4229081634
2019-12-05,4050711539
2019-12-06,4101534799
2019-12-09,4048268113
2019-12-10,3981806928
2019-12-11,4081010021
2019-12-12,4266221708
2019-12-13,4406474358
2019-12-16,4534509878
2019-12-17,4468537377
2019-12-18,4489062155
2019-12-19,4582889711
2019-12-20,4642509305
2019-12-23,4602437119
2019-12-24,4652283008
2019-12-26,4669875675
2019-12-27,4606346600
2019-12-30,4593640786
2019-12-31,4677785191
2020-01-02,5008363764
2020-01-03,5036403911
2020-01-06,4901122501
