,HOG
2000-12-04,13749225631
2000-12-05,14200019914
2000-12-06,14200019914
2000-12-07,13917522163
2000-12-08,13205267196
2000-12-11,12303678630
2000-12-12,12171445641
2000-12-13,11534323054
2000-12-14,11702619586
2000-12-15,11402090064
2000-12-18,11308925912
2000-12-19,10725898640
2000-12-20,10668798031
2000-12-21,10593665650
2000-12-22,11158661151
2000-12-26,11062491704
2000-12-27,11852884347
2000-12-28,12471975163
2000-12-29,11946048499
2001-01-02,11361324860
2001-01-03,12170475820
2001-01-04,11681362180
2001-01-05,11134883360
2001-01-08,10624635180
2001-01-09,11038268320
2001-01-10,11246594500
2001-01-11,11379440180
2001-01-12,11340190320
2001-01-16,11397555500
2001-01-17,11681362180
2001-01-18,12285206180
2001-01-19,12245956320
2001-01-22,12170475820
2001-01-23,12396917320
2001-01-24,12831685000
2001-01-25,13000761320
2001-01-26,12907165500
2001-01-29,13239279700
2001-01-30,14157122580
2001-01-31,13704239580
2001-02-01,13683105040
2001-02-02,13450625100
2001-02-05,13740470220
2001-02-06,13982007820
2001-02-07,13800854620
2001-02-08,13127568560
2001-02-09,12816588900
2001-02-12,12695820100
2001-02-13,13341933180
2001-02-14,13818969940
2001-02-15,14160141800
2001-02-16,13749527880
2001-02-20,13776700860
2001-02-21,13133607000
2001-02-22,12756204500
2001-02-23,12831685000
2001-02-26,13375144600
2001-02-27,13571393900
2001-02-28,13088318700
2001-03-01,13224183600
2001-03-02,13363067720
2001-03-05,13737451000
2001-03-06,13556297800
2001-03-07,13435529000
2001-03-08,13281548780
2001-03-09,12786396700
2001-03-12,12221802560
2001-03-13,11974226519
2001-03-14,11611920120
2001-03-15,11771938780
2001-03-16,11319055780
2001-03-19,11473036000
2001-03-20,11500208980
2001-03-21,11032229880
2001-03-22,11059402860
2001-03-23,11346228760
2001-03-26,11302894350
2001-03-27,11420916540
2001-03-28,11200003210
2001-03-29,11206055630
2001-03-30,11484466950
2001-04-02,11345261290
2001-04-03,10694626140
2001-04-04,10827779380
2001-04-05,11768930690
2001-04-06,11378549600
2001-04-09,11871821830
2001-04-10,12225888400
2001-04-11,12555745290
2001-04-12,12800868300
2001-04-16,12607190859
2001-04-17,12906785650
2001-04-18,13623997420
2001-04-19,13769255500
2001-04-20,13542289750
2001-04-23,13254799800
2001-04-24,13082305830
2001-04-25,13421241350
2001-04-26,13554394590
2001-04-27,14117269650
2001-04-30,13947801890
2001-05-01,13860041800
2001-05-02,14537912840
2001-05-03,14168715220
2001-05-04,14162662800
2001-05-07,14165689010
2001-05-08,14065824080
2001-05-09,14162662800
2001-05-10,14132400700
2001-05-11,14202003530
2001-05-14,14126348280
2001-05-15,14313973300
2001-05-16,14888953200
2001-05-17,15079604430
2001-05-18,14507650740
2001-05-21,15131050000
2001-05-22,14898031830
2001-05-23,14462257590
2001-05-24,14401733390
2001-05-25,14316999510
2001-05-29,14220160790
2001-05-30,13878199060
2001-05-31,14214108370
2001-06-01,14093059970
2001-06-04,13984116410
2001-06-05,14195951109
2001-06-06,14038588190
2001-06-07,14117269650
2001-06-08,14077928920
2001-06-11,13987142620
2001-06-12,14053719240
2001-06-13,14192924900
2001-06-14,13702678880
2001-06-15,13920566000
2001-06-18,14111217230
2001-06-19,14056745450
2001-06-20,14468310010
2001-06-21,14740668910
2001-06-22,14513703160
2001-06-25,14758328520
2001-06-26,14555246160
2001-06-27,14558277240
2001-06-28,14603743440
2001-06-29,14270324640
2001-07-02,14324884080
2001-07-03,14427940800
2001-07-05,14164236840
2001-07-06,13827786960
2001-07-09,14397630000
2001-07-10,14549184000
2001-07-11,14030869320
2001-07-12,15079623000
2001-07-13,15700994400
2001-07-16,16034413200
2001-07-17,15888921360
2001-07-18,15831330840
2001-07-19,15755553840
2001-07-20,15558533640
2001-07-23,15613093080
2001-07-24,15209959440
2001-07-25,15731305200
2001-07-26,15770709240
2001-07-27,15995009160
2001-07-30,15804051120
2001-07-31,15643403880
2001-08-01,15937418640
2001-08-02,16070786160
2001-08-03,15910138920
2001-08-06,15704025480
2001-08-07,15419103960
2001-08-08,15140244600
2001-08-09,15216021600
2001-08-10,15000814920
2001-08-13,14546152920
2001-08-14,15034156800
2001-08-15,15234208080
2001-08-16,15167524320
2001-08-17,14855323080
2001-08-20,14852292000
2001-08-21,15225114840
2001-08-22,15170555400
2001-08-23,14731048800
2001-08-24,14852292000
2001-08-27,14761359600
2001-08-28,14549184000
2001-08-29,14609805600
2001-08-30,14261231400
2001-08-31,14728017720
2001-09-04,14646178560
2001-09-05,14261231400
2001-09-06,13945999080
2001-09-07,13315534440
2001-09-10,13391311440
2001-09-17,12348619920
2001-09-18,12003076800
2001-09-19,11790901200
2001-09-20,10924012320
2001-09-21,11733310680
2001-09-24,12531741647
2001-09-25,12009960588
2001-09-26,11842031052
2001-09-27,11551153105
2001-09-28,12144903966
2001-10-01,12414790720
2001-10-02,12708667409
2001-10-03,13377386812
2001-10-04,12819620853
2001-10-05,12714664892
2001-10-08,12744652310
2001-10-09,12771640985
2001-10-10,14295001779
2001-10-11,14259016878
2001-10-12,14130070984
2001-10-15,14645854560
2001-10-16,14951726215
2001-10-17,14247021911
2001-10-18,14564888534
2001-10-19,15011701050
2001-10-22,14732818070
2001-10-23,14450936348
2001-10-24,14423947673
2001-10-25,14094086084
2001-10-26,14214035752
2001-10-29,13629281117
2001-10-30,13572305024
2001-10-31,13572305024
2001-11-01,14100083567
2001-11-02,14112078534
2001-11-05,14423947673
2001-11-06,14645854560
2001-11-07,13776219461
2001-11-08,14094086084
2001-11-09,13902166613
2001-11-12,13785215686
2001-11-13,13941150256
2001-11-14,14178050852
2001-11-15,14501914957
2001-11-16,14618865885
2001-11-19,14963721182
2001-11-20,14885753898
2001-11-21,14777799196
2001-11-23,14990709858
2001-11-26,15521487142
2001-11-27,15413532440
2001-11-28,15341562639
2001-11-29,15296581513
2001-11-30,15767383963
2001-12-03,15287585288
2001-12-04,15143645686
2001-12-05,15872339923
2001-12-06,15752390255
2001-12-07,15494498467
2001-12-10,15305577738
2001-12-11,15593456944
2001-12-12,15746392771
2001-12-13,15500495950
2001-12-14,15815363831
2001-12-17,16028274493
2001-12-18,16055263168
2001-12-19,16193205288
2001-12-20,16247182638
2001-12-21,16193205288
2001-12-24,16292163764
2001-12-26,16583041711
2001-12-27,16690996413
2001-12-28,16517069393
2001-12-31,16427417250
2002-01-02,16400194500
2002-01-03,16379021250
2002-01-04,16518159750
2002-01-07,16475813250
2002-01-08,16179387750
2002-01-09,16140066000
2002-01-10,16034199750
2002-01-11,15946482000
2002-01-14,16134016500
2002-01-15,16073521500
2002-01-16,16182412500
2002-01-17,16424392500
2002-01-18,16176363000
2002-01-22,16297353000
2002-01-23,16560506250
2002-01-24,16339699500
2002-01-25,16288278750
2002-01-28,16672422000
2002-01-29,16134016500
2002-01-30,16726867500
2002-01-31,17241075000
2002-02-01,16986995999
2002-02-04,16088645250
2002-02-05,15840615750
2002-02-06,15786170250
2002-02-07,15774071250
2002-02-08,16061422500
2002-02-11,16342724250
2002-02-12,15423200250
2002-02-13,15861789000
2002-02-14,15752898000
2002-02-15,15876912750
2002-02-19,15262888500
2002-02-20,15701477249
2002-02-21,15577462500
2002-02-22,15274987500
2002-02-25,15405051750
2002-02-26,15126774750
2002-02-27,15335482500
2002-02-28,15504868500
2002-03-01,15876912750
2002-03-04,16554456750
2002-03-05,16000927500
2002-03-06,16000927500
2002-03-07,16415318250
2002-03-08,16593778500
2002-03-11,16397169750
2002-03-12,16436491500
2002-03-13,16518159750
2002-03-14,16545382500
2002-03-15,16611927000
2002-03-18,16372971750
2002-03-19,16723842750
2002-03-20,16406244000
2002-03-21,16418343000
2002-03-22,16487912250
2002-03-25,16397169750
2002-03-26,16515135000
2002-03-27,16599828000
2002-03-28,16675446750
2002-04-01,16579185740
2002-04-02,16561053200
2002-04-03,16213512850
2002-04-04,16107739700
2002-04-05,16168181500
2002-04-08,16077518800
2002-04-09,16340440630
2002-04-10,16464346320
2002-04-11,15971745650
2002-04-12,16032187450
2002-04-15,16222579120
2002-04-16,16434125420
2002-04-17,16712157700
2002-04-18,16893483100
2002-04-19,16923704000
2002-04-22,16555009020
2002-04-23,16588252010
2002-04-24,16201424490
2002-04-25,16419014970
2002-04-26,16216534939
2002-04-29,16001966550
2002-04-30,16014054910
2002-05-01,16165159410
2002-05-02,15995922370
2002-05-03,15938502660
2002-05-06,15597006490
2002-05-07,15745088900
2002-05-08,16140982689
2002-05-09,15968723560
2002-05-10,15597006490
2002-05-13,15805530700
2002-05-14,16440169600
2002-05-15,16530832300
2002-05-16,16666826350
2002-05-17,16624517090
2002-05-20,16467368410
2002-05-21,16458302140
2002-05-22,16201424490
2002-05-23,16400882430
2002-05-24,16225601210
2002-05-28,15908281760
2002-05-29,16101695520
2002-05-30,15802508610
2002-05-31,15890149220
2002-06-03,15479144980
2002-06-04,15612116939
2002-06-05,15938502660
2002-06-06,15717890090
2002-06-07,15862950410
2002-06-10,16183291950
2002-06-11,16201424490
2002-06-12,15847839960
2002-06-13,15364305560
2002-06-14,15137648810
2002-06-17,15841795780
2002-06-18,15835751600
2002-06-19,15772287710
2002-06-20,15427769450
2002-06-21,15113472090
2002-06-24,15270620770
2002-06-25,15065118650
2002-06-26,15110450000
2002-06-27,15306885850
2002-06-28,15494255430
2002-07-01,15235356870
2002-07-02,14658328680
2002-07-03,14712708300
2002-07-05,15359221560
2002-07-08,15839574870
2002-07-09,15132639810
2002-07-10,14878868250
2002-07-11,14667391950
2002-07-12,14785214460
2002-07-15,14543527260
2002-07-16,14177975370
2002-07-17,14634159960
2002-07-18,14165891010
2002-07-19,13700643150
2002-07-22,13437808320
2002-07-23,13416660689
2002-07-24,14002752150
2002-07-25,13821486750
2002-07-26,13821486750
2002-07-29,14709687210
2002-07-30,14676455220
2002-07-31,14307882240
2002-08-01,14063173950
2002-08-02,13534483200
2002-08-05,12939328470
2002-08-06,13591883910
2002-08-07,13773149310
2002-08-08,14032963050
2002-08-09,14187038640
2002-08-12,13824507840
2002-08-13,13525419930
2002-08-14,13900035090
2002-08-15,14371325130
2002-08-16,14247460439
2002-08-19,14903036970
2002-08-20,14613012330
2002-08-21,14773130100
2002-08-22,15081281280
2002-08-23,14682497400
2002-08-26,14924184600
2002-08-27,14764066830
2002-08-28,14803341000
2002-08-29,14966479860
2002-08-30,14872826070
2002-09-03,14238397170
2002-09-04,14561653800
2002-09-05,14410599300
2002-09-06,14643223230
2002-09-09,14755003560
2002-09-10,14785214460
2002-09-11,14809383180
2002-09-12,14670413040
2002-09-13,14591864700
2002-09-16,14679476310
2002-09-17,14413620390
2002-09-18,14338093140
2002-09-19,13528441020
2002-09-20,13900035090
2002-09-23,13727832960
2002-09-24,13591883910
2002-09-25,14114532480
2002-09-26,14576759250
2002-09-27,14268608070
2002-09-30,14027594219
2002-10-01,14489644147
2002-10-02,14133291915
2002-10-03,14417165727
2002-10-04,14190670664
2002-10-07,13668222053
2002-10-08,14389986320
2002-10-09,14057793561
2002-10-10,14634600987
2002-10-11,15144969862
2002-10-14,15748956696
2002-10-15,16005651101
2002-10-16,16174767414
2002-10-17,16241205966
2002-10-18,16232146163
2002-10-21,16443541555
2002-10-22,16355963464
2002-10-23,16488840568
2002-10-24,16207986690
2002-10-25,16513000041
2002-10-28,15912033141
2002-10-29,15933172680
2002-10-30,16041890311
2002-10-31,15794255709
2002-11-01,15987531495
2002-11-04,16099269060
2002-11-05,16165707612
2002-11-06,16123428533
2002-11-07,16005651101
2002-11-08,15839554721
2002-11-11,14679900000
2002-11-12,15018132627
2002-11-13,14791637564
2002-11-14,15323145978
2002-11-15,15449983213
2002-11-18,14960753878
2002-11-19,14942634273
2002-11-20,14948674141
2002-11-21,14975853549
2002-11-22,15247647624
2002-11-25,14858076116
2002-11-26,14326567702
2002-11-27,14797677433
2002-11-29,14658760461
2002-12-02,14486624213
2002-12-03,14269188953
2002-12-04,14269188953
2002-12-05,14272208887
2002-12-06,14528903291
2002-12-09,14411125859
2002-12-10,14815797038
2002-12-11,14673860132
2002-12-12,14667820263
2002-12-13,14341667373
2002-12-16,14314487965
2002-12-17,14242009545
2002-12-18,14006454680
2002-12-19,13837338366
2002-12-20,14293348426
2002-12-23,14103092573
2002-12-24,13955115799
2002-12-26,13952095865
2002-12-27,13819218761
2002-12-30,13725600802
2002-12-31,13969216800
2003-01-02,14549755680
2003-01-03,14495330160
2003-01-06,14682795840
2003-01-07,14495330160
2003-01-08,14319959040
2003-01-09,14713032239
2003-01-10,14833977840
2003-01-13,14840025120
2003-01-14,14876308800
2003-01-15,14579992080
2003-01-16,14510448360
2003-01-17,14241344400
2003-01-21,13001652000
2003-01-22,12469491360
2003-01-23,12735571680
2003-01-24,12539035080
2003-01-27,12164103720
2003-01-28,12427160400
2003-01-29,12526940520
2003-01-30,12230623800
2003-01-31,12632767920
2003-02-03,12436231320
2003-02-04,12170151000
2003-02-05,12369711239
2003-02-06,12285049320
2003-02-07,12327380280
2003-02-10,12499727760
2003-02-11,12375758520
2003-02-12,12203411040
2003-02-13,12158056440
2003-02-14,12532987800
2003-02-18,12732548040
2003-02-19,12545082360
2003-02-20,12312262080
2003-02-21,12342498480
2003-02-24,11973614400
2003-02-25,12185269200
2003-02-26,11985708960
2003-02-27,11916165239
2003-02-28,11970590760
2003-03-03,11843597880
2003-03-04,11338650000
2003-03-05,11196538920
2003-03-06,10869985800
2003-03-07,11278177200
2003-03-10,11166302520
2003-03-11,11269106280
2003-03-12,11332602720
2003-03-13,12006874440
2003-03-14,11783125080
2003-03-17,12203411040
2003-03-18,11988732600
2003-03-19,12043158120
2003-03-20,12067347239
2003-03-21,12415065840
2003-03-24,11961519840
2003-03-25,12176198280
2003-03-26,12209458320
2003-03-27,12064323600
2003-03-28,12034087200
2003-03-31,11998932440
2003-04-01,11560794640
2003-04-02,11796482560
2003-04-03,11633314000
2003-04-04,11306976880
2003-04-07,11536621520
2003-04-08,12004975720
2003-04-09,12180230840
2003-04-10,12373615800
2003-04-11,12509589600
2003-04-14,12872186400
2003-04-15,12881251320
2003-04-16,12857078200
2003-04-17,12406853840
2003-04-21,12485416480
2003-04-22,12857078200
2003-04-23,13129025800
2003-04-24,12896359520
2003-04-25,12609303720
2003-04-28,13153198920
2003-04-29,13503709160
2003-04-30,13428168160
2003-05-01,13216653360
2003-05-02,13446298000
2003-05-05,13358670440
2003-05-06,13473492760
2003-05-07,13249891400
2003-05-08,13268021239
2003-05-09,13261977960
2003-05-12,13331475680
2003-05-13,13470471120
2003-05-14,13340540600
2003-05-15,13397951760
2003-05-16,13156220560
2003-05-19,12826861800
2003-05-20,12872186400
2003-05-21,12917511000
2003-05-22,13077657920
2003-05-23,12331312840
2003-05-27,12705996200
2003-05-28,12506567960
2003-05-29,12503546320
2003-05-30,12739234239
2003-06-02,13047441520
2003-06-03,12977943800
2003-06-04,13283129440
2003-06-05,13503709160
2003-06-06,13455362920
2003-06-09,13113917600
2003-06-10,13065571360
2003-06-11,12987008720
2003-06-12,12993052000
2003-06-13,13210610080
2003-06-16,13428168160
2003-06-17,12660671600
2003-06-18,12745277520
2003-06-19,12567000760
2003-06-20,12660671600
2003-06-23,12488438120
2003-06-24,12449156800
2003-06-25,12143971160
2003-06-26,12328291200
2003-06-27,12104689840
2003-06-30,12050196180
2003-07-01,11923224720
2003-07-02,11953456020
2003-07-03,11941363500
2003-07-07,12059265570
2003-07-08,11889970290
2003-07-09,11639050500
2003-07-10,12216468329
2003-07-11,12488550030
2003-07-14,12633660270
2003-07-15,13205031840
2003-07-16,13867097310
2003-07-17,13706871420
2003-07-18,13709894550
2003-07-21,13531529880
2003-07-22,13579899960
2003-07-23,13694778900
2003-07-24,13585946220
2003-07-25,13815704100
2003-07-28,13791519060
2003-07-29,13879189829
2003-07-30,13984999380
2003-07-31,14172433440
2003-08-01,14105924579
2003-08-04,14136155880
2003-08-05,13972906860
2003-08-06,13909421130
2003-08-07,13942675560
2003-08-08,13960814340
2003-08-11,13972906860
2003-08-12,14208711000
2003-08-13,14625902940
2003-08-14,14907054030
2003-08-15,14849614560
2003-08-18,15076349310
2003-08-19,15145881300
2003-08-20,15027979230
2003-08-21,15040071750
2003-08-22,14922169680
2003-08-25,14876822730
2003-08-26,15070303050
2003-08-27,15061233660
2003-08-28,15115650000
2003-08-29,15061233660
2003-09-02,14816360130
2003-09-03,14601717900
2003-09-04,14758920660
2003-09-05,14737758750
2003-09-08,14535209040
2003-09-09,14526139650
2003-09-10,14220803520
2003-09-11,14353821240
2003-09-12,14314520550
2003-09-15,14238942300
2003-09-16,14278242990
2003-09-17,14314520550
2003-09-18,14659157370
2003-09-19,14631949200
2003-09-22,14501954610
2003-09-23,14634972329
2003-09-24,14305451160
2003-09-25,14374983150
2003-09-26,14480792700
2003-09-29,14575140000
2003-09-30,14455180000
2003-10-01,14878039000
2003-10-02,14725090000
2003-10-03,14830055000
2003-10-06,14803064000
2003-10-07,14842051000
2003-10-08,14995000000
2003-10-09,15069975000
2003-10-10,15177939000
2003-10-13,15459845000
2003-10-14,15729755000
2003-10-15,14740085000
2003-10-16,14488169000
2003-10-17,14173274000
2003-10-20,14371208000
2003-10-21,14329222000
2003-10-22,14257246000
2003-10-23,14194267000
2003-10-24,14194267000
2003-10-27,14272241000
2003-10-28,14386203000
2003-10-29,14452181000
2003-10-30,14368208999
2003-10-31,14218258999
2003-11-03,14443183999
2003-11-04,14494167000
2003-11-05,14473174000
2003-11-06,14332221000
2003-11-07,14248249000
2003-11-10,14041318000
2003-11-11,14032321000
2003-11-12,14287236000
2003-11-13,14263244000
2003-11-14,13978339000
2003-11-17,13705430000
2003-11-18,13744417000
2003-11-19,13546483000
2003-11-20,13618458999
2003-11-21,13537486000
2003-11-24,13783404000
2003-11-25,14005330000
2003-11-26,14071308000
2003-11-28,14146283000
2003-12-01,14320225000
2003-12-02,14008329000
2003-12-03,13945350000
2003-12-04,13870375000
2003-12-05,13750415000
2003-12-08,13903364000
2003-12-09,13837386000
2003-12-10,13894367000
2003-12-11,14092301000
2003-12-12,14341218000
2003-12-15,13957346000
2003-12-16,13828389000
2003-12-17,13945350000
2003-12-18,14299232000
2003-12-19,14131288000
2003-12-22,14146283000
2003-12-23,14248249000
2003-12-24,14275240000
2003-12-26,14284237000
2003-12-29,14356213000
2003-12-30,14323224000
2003-12-31,14155954960
2004-01-02,14057670400
2004-01-05,14444852000
2004-01-06,14385285600
2004-01-07,14328697520
2004-01-08,14260196160
2004-01-09,14054692080
2004-01-12,14087453600
2004-01-13,14239347920
2004-01-14,14370394000
2004-01-15,13962364160
2004-01-16,13700272000
2004-01-20,13750903440
2004-01-21,13715163600
2004-01-22,14120215119
2004-01-23,14319762560
2004-01-26,14736727360
2004-01-27,14864795119
2004-01-28,14516331680
2004-01-29,14995841200
2004-01-30,15201345280
2004-02-02,15177518720
2004-02-03,15079234160
2004-02-04,14942231440
2004-02-05,15386001119
2004-02-06,15588526880
2004-02-09,15716594640
2004-02-10,15621288400
2004-02-11,15892315520
2004-02-12,15913163760
2004-02-13,15847640720
2004-02-17,15588526880
2004-02-18,15853597360
2004-02-19,15936990320
2004-02-20,16068036400
2004-02-23,16109732880
2004-02-24,16097819600
2004-02-25,15969751840
2004-02-26,15853597360
2004-02-27,15820835840
2004-03-01,15939968640
2004-03-02,15805944240
2004-03-03,15931033680
2004-03-04,15817857520
2004-03-05,15978686800
2004-03-08,15880402240
2004-03-09,15692768080
2004-03-10,15257933360
2004-03-11,14972014640
2004-03-12,15475350720
2004-03-15,15254955040
2004-03-16,15353239600
2004-03-17,15579591920
2004-03-18,15606396800
2004-03-19,15552787040
2004-03-22,15293673200
2004-03-23,15004776160
2004-03-24,14969036320
2004-03-25,15210280240
2004-03-26,15263890000
2004-03-29,15539251200
2004-03-30,15586339840
2004-03-31,15698175360
2004-04-01,15462732160
2004-04-02,15551023360
2004-04-05,16360359360
2004-04-06,16189663040
2004-04-07,16004251520
2004-04-08,15980707200
2004-04-12,16260296000
2004-04-13,16372131520
2004-04-14,17511088000
2004-04-15,17128492800
2004-04-16,17069632000
2004-04-19,17219727040
2004-04-20,16907764800
2004-04-21,17001942080
2004-04-22,17240328320
2004-04-23,17090233280
2004-04-26,16910707840
2004-04-27,16910707840
2004-04-28,16578144320
2004-04-29,16678207680
2004-04-30,16575201280
2004-05-03,16757669760
2004-05-04,16622289920
2004-05-05,16651720320
2004-05-06,16663492480
2004-05-07,16136688320
2004-05-10,16010137600
2004-05-11,15971878080
2004-05-12,15739377920
2004-05-13,15839441280
2004-05-14,16172004800
2004-05-17,16045454080
2004-05-18,16533998720
2004-05-19,16174947840
2004-05-20,16351530240
2004-05-21,16607574720
2004-05-24,16545770880
2004-05-25,16822416639
2004-05-26,16716467200
2004-05-27,16948967360
2004-05-28,16919536960
2004-06-01,17010771200
2004-06-02,17060802880
2004-06-03,16781214080
2004-06-04,16822416639
2004-06-07,17081404160
2004-06-08,17246214400
2004-06-09,17708271680
2004-06-10,17717100800
2004-06-14,17634695680
2004-06-15,18014347840
2004-06-16,18114411200
2004-06-17,18093809920
2004-06-18,18208588480
2004-06-21,18099696000
2004-06-22,18114411200
2004-06-23,18102639040
2004-06-24,18096752960
2004-06-25,18049664320
2004-06-28,17818278600
2004-06-29,18015279370
2004-06-30,18212280140
2004-07-01,18300489440
2004-07-02,17953532860
2004-07-06,17909428210
2004-07-07,18012339060
2004-07-08,17741830540
2004-07-09,17915308830
2004-07-12,17785935190
2004-07-13,17524247600
2004-07-14,18509251450
2004-07-15,18491609590
2004-07-16,18435743700
2004-07-19,17900607280
2004-07-20,17950592550
2004-07-21,17835920460
2004-07-22,17838860770
2004-07-23,17568352250
2004-07-26,17591874730
2004-07-27,17965294100
2004-07-28,17647740620
2004-07-29,17580113490
2004-07-30,17603635970
2004-08-02,17641860000
2004-08-03,17344888690
2004-08-04,17230216600
2004-08-05,16921484050
2004-08-06,16700960800
2004-08-09,17003812730
2004-08-10,17497784810
2004-08-11,17165529780
2004-08-12,17150828230
2004-08-13,17177291020
2004-08-16,17497784810
2004-08-17,17412515820
2004-08-18,17597755350
2004-08-19,17638919690
2004-08-20,17882965420
2004-08-23,17777114260
