,PCH
2000-06-21,557540500
2000-06-22,556686250
2000-06-23,554408250
2000-06-26,550421750
2000-06-27,567791500
2000-06-28,570069500
2000-06-29,577188250
2000-06-30,547289500
2000-07-03,569168600
2000-07-05,562914000
2000-07-06,557796600
2000-07-07,564051200
2000-07-10,581393500
2000-07-11,608402000
2000-07-12,602147400
2000-07-13,610392100
2000-07-14,592765500
2000-07-17,599020100
2000-07-18,585658000
2000-07-19,577413300
2000-07-20,575138900
2000-07-21,586510900
2000-07-24,574286000
2000-07-25,564051200
2000-07-26,554669300
2000-07-27,557796600
2000-07-28,550404800
2000-07-31,566894200
2000-08-01,578266200
2000-08-02,573148800
2000-08-03,574286000
2000-08-04,573148800
2000-08-07,581393500
2000-08-08,589638200
2000-08-09,599873000
2000-08-10,580540600
2000-08-11,599873000
2000-08-14,584520800
2000-08-15,580540600
2000-08-16,577413300
2000-08-17,571158700
2000-08-18,571158700
2000-08-21,555806500
2000-08-22,544434500
2000-08-23,539317100
2000-08-24,553532100
2000-08-25,555806500
2000-08-28,549551900
2000-08-29,547561800
2000-08-30,548414700
2000-08-31,554669300
2000-09-01,552679200
2000-09-05,560923900
2000-09-06,560923900
2000-09-07,544434500
2000-09-08,536189800
2000-09-11,537042700
2000-09-12,537042700
2000-09-13,538179900
2000-09-14,523680600
2000-09-15,518563199
2000-09-18,519700400
2000-09-19,504063900
2000-09-20,507191200
2000-09-21,504063900
2000-09-22,506338299
2000-09-25,496956400
2000-09-26,490701800
2000-09-27,502073800
2000-09-28,524817800
2000-09-29,521690500
2000-10-02,506338299
2000-10-03,516573100
2000-10-04,524817800
2000-10-05,509181300
2000-10-06,511455699
2000-10-09,509181300
2000-10-10,500083700
2000-10-11,517426000
2000-10-12,498946500
2000-10-13,500936600
2000-10-16,494966300
2000-10-17,477339700
2000-10-18,504063900
2000-10-19,514583000
2000-10-20,491839000
2000-10-23,486721600
2000-10-24,518563199
2000-10-25,513445799
2000-10-26,520553299
2000-10-27,517426000
2000-10-30,557796600
2000-10-31,552679200
2000-11-01,539317100
2000-11-02,537042700
2000-11-03,550404800
2000-11-06,550404800
2000-11-07,552679200
2000-11-08,549551900
2000-11-09,540170000
2000-11-10,521690500
2000-11-13,536189800
2000-11-14,531925300
2000-11-15,543297300
2000-11-16,522827700
2000-11-17,518563199
2000-11-20,519700400
2000-11-21,515435900
2000-11-22,517426000
2000-11-24,519700400
2000-11-27,517426000
2000-11-28,522827700
2000-11-29,528798000
2000-11-30,516573100
2000-12-01,531072400
2000-12-04,554669300
2000-12-05,555806500
2000-12-06,543297300
2000-12-07,528798000
2000-12-08,531072400
2000-12-11,528798000
2000-12-12,522827700
2000-12-13,514583000
2000-12-14,512308600
2000-12-15,506338299
2000-12-18,510318500
2000-12-19,522827700
2000-12-20,512308600
2000-12-21,533062500
2000-12-22,557796600
2000-12-26,559786700
2000-12-27,556659400
2000-12-28,564051200
2000-12-29,553532100
2001-01-02,538270000
2001-01-03,559800800
2001-01-04,570282900
2001-01-05,554701400
2001-01-08,550735200
2001-01-09,532037400
2001-01-10,535153700
2001-01-11,531187500
2001-01-12,520988700
2001-01-16,538270000
2001-01-17,526938000
2001-01-18,521838600
2001-01-19,511639799
2001-01-22,523821699
2001-01-23,533170600
2001-01-24,526088100
2001-01-25,533170600
2001-01-26,521838600
2001-01-29,527221300
2001-01-30,536853500
2001-01-31,536570200
2001-02-01,540819700
2001-02-02,530904199
2001-02-05,535720300
2001-02-06,537420100
2001-02-07,522405200
2001-02-08,515039400
2001-02-09,510506600
2001-02-12,514756100
2001-02-13,519572200
2001-02-14,512773000
2001-02-15,522405200
2001-02-16,515322700
2001-02-20,513056300
2001-02-21,516172599
2001-02-22,517872400
2001-02-23,518722299
2001-02-26,532320700
2001-02-27,529204400
2001-02-28,527504600
2001-03-01,527787900
2001-03-02,542802800
2001-03-05,551585100
2001-03-06,547052300
2001-03-07,562917100
2001-03-08,556401200
2001-03-09,551585100
2001-03-12,531470800
2001-03-13,521271999
2001-03-14,514472800
2001-03-15,515606000
2001-03-16,515322700
2001-03-19,520705400
2001-03-20,524388300
2001-03-21,510506600
2001-03-22,499174600
2001-03-23,503707400
2001-03-26,514189499
2001-03-27,525238200
2001-03-28,520988700
2001-03-29,515889300
2001-03-30,525238200
2001-04-02,519873599
2001-04-03,508572000
2001-04-04,517048200
2001-04-05,526089480
2001-04-06,512245020
2001-04-09,520721220
2001-04-10,549540300
2001-04-11,536260920
2001-04-12,542476800
2001-04-16,546714900
2001-04-17,543606960
2001-04-18,563949840
2001-04-19,558299040
2001-04-20,547562520
2001-04-23,548975220
2001-04-24,543324420
2001-04-25,550670460
2001-04-26,557451420
2001-04-27,564514920
2001-04-30,574686360
2001-05-01,574686360
2001-05-02,571578420
2001-05-03,564797460
2001-05-04,574968900
2001-05-07,560841900
2001-05-08,560841900
2001-05-09,562819680
2001-05-10,565645080
2001-05-11,556321260
2001-05-14,563102220
2001-05-15,567057780
2001-05-16,588248280
2001-05-17,589660980
2001-05-18,587400660
2001-05-21,585987960
2001-05-22,576946680
2001-05-23,576946680
2001-05-24,565645080
2001-05-25,560841900
2001-05-29,564797460
2001-05-30,558299040
2001-05-31,563667300
2001-06-01,569883180
2001-06-04,576099060
2001-06-05,592203840
2001-06-06,591356220
2001-06-07,593899080
2001-06-08,592486380
2001-06-11,579207000
2001-06-12,576664140
2001-06-13,582032400
2001-06-14,575251440
2001-06-15,573838740
2001-06-18,570730800
2001-06-19,566775240
2001-06-20,570448260
2001-06-21,568470480
2001-06-22,569883180
2001-06-25,561406980
2001-06-26,565927620
2001-06-27,574686360
2001-06-28,552648240
2001-06-29,563949840
2001-07-02,557228040
2001-07-03,542534400
2001-07-05,539991270
2001-07-06,508343429
2001-07-09,521624220
2001-07-10,521341650
2001-07-11,530101320
2001-07-12,543664680
2001-07-13,538295850
2001-07-16,532361880
2001-07-17,541969260
2001-07-18,544229820
2001-07-19,543099540
2001-07-20,544229820
2001-07-23,548468370
2001-07-24,530949030
2001-07-25,542534400
2001-07-26,545077530
2001-07-27,543947250
2001-07-30,550728930
2001-07-31,556097760
2001-08-01,559771170
2001-08-02,560618880
2001-08-03,559488600
2001-08-06,559488600
2001-08-07,553272060
2001-08-08,550163790
2001-08-09,550163790
2001-08-10,558923460
2001-08-13,552424350
2001-08-14,562879440
2001-08-15,562031730
2001-08-16,559771170
2001-08-17,544794960
2001-08-20,552424350
2001-08-21,549598650
2001-08-22,544229820
2001-08-23,535187580
2001-08-24,532079309
2001-08-27,542534400
2001-08-28,536035289
2001-08-29,537730710
2001-08-30,536317860
2001-08-31,541121550
2001-09-04,540273840
2001-09-05,536883000
2001-09-06,535187580
2001-09-07,509756280
2001-09-10,497040630
2001-09-17,463132230
2001-09-18,467370780
2001-09-19,466240500
2001-09-20,450981720
2001-09-21,442787190
2001-09-24,457480830
2001-09-25,453524850
2001-09-26,443069760
2001-09-27,435157800
2001-09-28,442504620
2001-10-01,420464160
2001-10-02,426680700
2001-10-03,426398130
2001-10-04,423855000
2001-10-05,423572430
2001-10-08,410009070
2001-10-09,408313650
2001-10-10,424702710
2001-10-11,426963270
2001-10-12,426963270
2001-10-15,425267850
2001-10-16,426963270
2001-10-17,424420140
2001-10-18,420464160
2001-10-19,419616450
2001-10-22,421877010
2001-10-23,424420140
2001-10-24,418486170
2001-10-25,426115560
2001-10-26,429506400
2001-10-29,423289860
2001-10-30,418768740
2001-10-31,410574210
2001-11-01,421311870
2001-11-02,432332100
2001-11-05,427528410
2001-11-06,426398130
2001-11-07,424702710
2001-11-08,426680700
2001-11-09,420464160
2001-11-12,415377900
2001-11-13,428658690
2001-11-14,440526630
2001-11-15,446743170
2001-11-16,447025740
2001-11-19,451546860
2001-11-20,446743170
2001-11-21,445895460
2001-11-23,454655130
2001-11-26,456067980
2001-11-27,454372559
2001-11-28,452394570
2001-11-29,454655130
2001-11-30,456633120
2001-12-03,459176250
2001-12-04,463414799
2001-12-05,469631340
2001-12-06,470196480
2001-12-07,468783630
2001-12-10,454937700
2001-12-11,475565309
2001-12-12,482064419
2001-12-13,476413020
2001-12-14,479803860
2001-12-17,484607549
2001-12-18,487715820
2001-12-19,476413020
2001-12-20,472457039
2001-12-21,473869890
2001-12-24,475565309
2001-12-26,476413020
2001-12-27,476130450
2001-12-28,488563530
2001-12-31,480651570
2002-01-02,477464520
2002-01-03,481717469
2002-01-04,494476320
2002-01-07,491073960
2002-01-08,486253949
2002-01-09,491641020
2002-01-10,487671600
2002-01-11,485970420
2002-01-14,471793920
2002-01-15,475196280
2002-01-16,463288020
2002-01-17,472077449
2002-01-18,459035070
2002-01-22,458184480
2002-01-23,465556260
2002-01-24,464138610
2002-01-25,475763340
2002-01-28,474629219
2002-01-29,467257440
2002-01-30,476330400
2002-01-31,477464520
2002-02-01,485403360
2002-02-04,474062159
2002-02-05,478882170
2002-02-06,476613929
2002-02-07,480299820
2002-02-08,486537480
2002-02-11,491641020
2002-02-12,485403360
2002-02-13,485403360
2002-02-14,477180989
2002-02-15,477464520
2002-02-19,470092739
2002-02-20,478031580
2002-02-21,469809210
2002-02-22,477180989
2002-02-25,482568060
2002-02-26,486821010
2002-02-27,488522190
2002-02-28,487104540
2002-03-01,491924550
2002-03-04,508085760
2002-03-05,508369290
2002-03-06,514323420
2002-03-07,520561080
2002-03-08,524530500
2002-03-11,528499920
2002-03-12,531618750
2002-03-13,535021110
2002-03-14,543243480
2002-03-15,542959950
2002-03-18,555151740
2002-03-19,566492940
2002-03-20,553450560
2002-03-21,552032910
2002-03-22,544094070
2002-03-25,539841120
2002-03-26,548630550
2002-03-27,554301150
2002-03-28,554301150
2002-04-01,550048940
2002-04-02,551186580
2002-04-03,556874780
2002-04-04,561425340
2002-04-05,571379690
2002-04-08,568251180
2002-04-09,572517330
2002-04-10,585031370
2002-04-11,585884600
2002-04-12,587306650
2002-04-15,582756090
2002-04-16,596123360
2002-04-17,589297520
2002-04-18,585884600
2002-04-19,593848080
2002-04-22,576783480
2002-04-23,574792610
2002-04-24,561709750
2002-04-25,566260310
2002-04-26,564838260
2002-04-29,563131800
2002-04-30,569673230
2002-05-01,562847390
2002-05-02,580765220
2002-05-03,587591060
2002-05-06,578205530
2002-05-07,577636710
2002-05-08,575930250
2002-05-09,574508200
2002-05-10,569957640
2002-05-13,575361430
2002-05-14,585600190
2002-05-15,587022240
2002-05-16,575361430
2002-05-17,574223790
2002-05-20,572801740
2002-05-21,570242050
2002-05-22,569104410
2002-05-23,577352300
2002-05-24,569673230
2002-05-28,562847390
2002-05-29,559434470
2002-05-30,557728010
2002-05-31,565122670
2002-06-03,553746270
2002-06-04,556021550
2002-06-05,559150060
2002-06-06,548626890
2002-06-07,546636020
2002-06-10,558012420
2002-06-11,544076330
2002-06-12,551186580
2002-06-13,534690800
2002-06-14,533268750
2002-06-17,542938690
2002-06-18,540947820
2002-06-19,537819310
2002-06-20,542938690
2002-06-21,550617760
2002-06-24,554883910
2002-06-25,556021550
2002-06-26,555737140
2002-06-27,552039810
2002-06-28,561425340
2002-07-01,557135900
2002-07-02,542601920
2002-07-03,533482559
2002-07-05,540322080
2002-07-08,533197580
2002-07-09,526928019
2002-07-10,519803519
2002-07-11,519233559
2002-07-12,513533960
2002-07-15,510684160
2002-07-16,497860059
2002-07-17,511539100
2002-07-18,516953720
2002-07-19,493870339
2002-07-22,484466000
2002-07-23,470501980
2002-07-24,493300379
2002-07-25,494440300
2002-07-26,497575080
2002-07-29,544881760
2002-07-30,526073080
2002-07-31,526928019
2002-08-01,526073080
2002-08-02,506409460
2002-08-05,495010260
2002-08-06,512679019
2002-08-07,517808660
2002-08-08,528637900
2002-08-09,525218140
2002-08-12,520088500
2002-08-13,514388900
2002-08-14,513533960
2002-08-15,518093640
2002-08-16,510114199
2002-08-19,524078220
2002-08-20,520088500
2002-08-21,528352920
2002-08-22,533482559
2002-08-23,520943440
2002-08-26,533197580
2002-08-27,530062800
2002-08-28,518378620
2002-08-29,517238699
2002-08-30,512964000
2002-09-03,505839500
2002-09-04,512679019
2002-09-05,495010260
2002-09-06,507834360
2002-09-09,512679019
2002-09-10,512109059
2002-09-11,510399180
2002-09-12,501279820
2002-09-13,498715000
2002-09-16,495580220
2002-09-17,487030820
2002-09-18,480761260
2002-09-19,468792100
2002-09-20,495865199
2002-09-23,483896040
2002-09-24,474491699
2002-09-25,497575080
2002-09-26,503844640
2002-09-27,479051379
2002-09-30,474206720
2002-10-01,494155320
2002-10-02,478766400
2002-10-03,467082220
2002-10-04,452548240
2002-10-07,410086220
2002-10-08,430034820
2002-10-09,404101640
2002-10-10,431174740
2002-10-11,448273540
2002-10-14,450553380
2002-10-15,477626480
2002-10-16,457962860
2002-10-17,472211860
2002-10-18,463662460
2002-10-21,463092500
2002-10-22,457107920
2002-10-23,467082220
2002-10-24,449128480
2002-10-25,451408320
2002-10-28,447133620
2002-10-29,441434020
2002-10-30,436304380
2002-10-31,432314660
2002-11-01,432314660
2002-11-04,431174740
2002-11-05,423480280
2002-11-06,424905180
2002-11-07,413505980
2002-11-08,404386620
2002-11-11,396122200
2002-11-12,406666460
2002-11-13,405241560
2002-11-14,416640760
2002-11-15,418350640
2002-11-18,418065660
2002-11-19,416070800
2002-11-20,414075940
2002-11-21,437159320
2002-11-22,431174740
2002-11-25,434594500
2002-11-26,427754980
2002-11-27,443998840
2002-11-29,445708720
2002-12-02,418635620
2002-12-03,420345500
2002-12-04,422055380
2002-12-05,411511120
2002-12-06,412366060
2002-12-09,397262120
2002-12-10,410656180
2002-12-11,414075940
2002-12-12,415500840
2002-12-13,407806380
2002-12-16,410371200
2002-12-17,408376340
2002-12-18,407521400
2002-12-19,410656180
2002-12-20,412651040
2002-12-23,404386620
2002-12-24,406096500
2002-12-26,412936020
2002-12-27,412651040
2002-12-30,403816660
2002-12-31,394982280
2003-01-02,415232670
2003-01-03,412943310
2003-01-06,416663520
2003-01-07,408936930
2003-01-08,392052900
2003-01-09,399779490
2003-01-10,406075230
2003-01-13,400638000
2003-01-14,411798630
2003-01-15,405216720
2003-01-16,411512460
2003-01-17,396917790
2003-01-21,388905030
2003-01-22,376313550
2003-01-23,378316740
2003-01-24,366583770
2003-01-27,350558250
2003-01-28,354564630
2003-01-29,353706120
2003-01-30,343404000
2003-01-31,339969960
2003-02-03,343404000
2003-02-04,348555060
2003-02-05,351416760
2003-02-06,342545490
2003-02-07,340542300
2003-02-10,344548680
2003-02-11,335963580
2003-02-12,336249750
2003-02-13,334532730
2003-02-14,329095500
2003-02-18,339969960
2003-02-19,329954010
2003-02-20,324802950
2003-02-21,331671030
2003-02-24,327950820
2003-02-25,334246560
2003-02-26,337966770
2003-02-27,341400810
2003-02-28,342831660
2003-03-03,344262510
2003-03-04,341400810
2003-03-05,338539110
2003-03-06,321655080
2003-03-07,321368910
2003-03-10,311352960
2003-03-11,314214660
2003-03-12,316217850
2003-03-13,324516780
2003-03-14,325375290
2003-03-17,343117830
2003-03-18,340256130
2003-03-19,340256130
2003-03-20,338252940
2003-03-21,347124210
2003-03-24,333960390
2003-03-25,339969960
2003-03-26,332243370
2003-03-27,332529540
2003-03-28,327950820
2003-03-31,322513590
2003-04-01,332676400
2003-04-02,346729110
2003-04-03,346155530
2003-04-04,347876270
2003-04-07,355906390
2003-04-08,359634660
2003-04-09,352178120
2003-04-10,358774290
2003-04-11,362789350
2003-04-14,360208240
2003-04-15,366804410
2003-04-16,362215770
2003-04-17,365370460
2003-04-21,373113790
2003-04-22,394623040
2003-04-23,393475880
2003-04-24,400932420
2003-04-25,395770200
2003-04-28,399211680
2003-04-29,394336250
2003-04-30,396917360
2003-05-01,390321190
2003-05-02,399211680
2003-05-05,388600450
2003-05-06,396343780
2003-05-07,400072050
2003-05-08,391181560
2003-05-09,402653160
2003-05-12,409536120
2003-05-13,406955010
2003-05-14,406094640
2003-05-15,413551180
2003-05-16,416132290
2003-05-19,406381430
2003-05-20,399211680
2003-05-21,393475880
2003-05-22,396630570
2003-05-23,399785260
2003-05-27,409249330
2003-05-28,407815380
2003-05-29,405807850
2003-05-30,413837970
2003-06-02,419860560
2003-06-03,416419080
2003-06-04,423015250
2003-06-05,424735990
2003-06-06,419860560
2003-06-09,411830440
2003-06-10,416705870
2003-06-11,421007720
2003-06-12,421581300
2003-06-13,414985130
2003-06-16,424449200
2003-06-17,421007720
2003-06-18,424449200
2003-06-19,417566240
2003-06-20,434200060
2003-06-23,423015250
2003-06-24,423875620
2003-06-25,422728460
2003-06-26,426169940
2003-06-27,420434140
2003-06-30,428464260
2003-07-01,431872020
2003-07-02,449112420
2003-07-03,443078280
2003-07-07,451698480
2003-07-08,448250400
2003-07-09,452847840
2003-07-10,439917540
2003-07-11,448250400
2003-07-14,443940300
2003-07-15,446813700
2003-07-16,443940300
2003-07-17,436182120
2003-07-18,428998620
2003-07-21,422677140
2003-07-22,439917540
2003-07-23,428998620
2003-07-24,431297340
2003-07-25,433021380
2003-07-28,437906160
2003-07-29,438768180
2003-07-30,444514980
2003-07-31,445951680
2003-08-01,443078280
2003-08-04,447388380
2003-08-05,435894780
2003-08-06,435607440
2003-08-07,435032760
2003-08-08,443078280
2003-08-11,439630200
2003-08-12,448537740
2003-08-13,454571880
2003-08-14,468938880
2003-08-15,466065479
2003-08-18,476697060
2003-08-19,480432479
2003-08-20,478421099
2003-08-21,482731200
2003-08-22,480432479
2003-08-25,474111000
2003-08-26,479857800
2003-08-27,483018539
2003-08-28,487615979
2003-08-29,491638740
2003-09-02,504281700
2003-09-03,491926080
2003-09-04,489340020
2003-09-05,487615979
2003-09-08,495948840
2003-09-09,494512140
2003-09-10,480719820
2003-09-11,500258940
2003-09-12,507729780
2003-09-15,518936039
2003-09-16,522671460
2003-09-17,523533479
2003-09-18,529567620
2003-09-19,531866340
2003-09-22,522671460
2003-09-23,522384120
2003-09-24,512614560
2003-09-25,500546280
2003-09-26,497960219
2003-09-29,505143719
2003-09-30,495374159
2003-10-01,496319096
2003-10-02,497749411
2003-10-03,497177285
2003-10-06,499465788
2003-10-07,509477989
2003-10-08,518059875
2003-10-09,519204127
2003-10-10,514054995
2003-10-13,519490190
2003-10-14,531218768
2003-10-15,530074516
2003-10-16,532076956
2003-10-17,525783573
2003-10-20,520920504
2003-10-21,519490190
2003-10-22,514627121
2003-10-23,508619800
2003-10-24,502898543
2003-10-27,501754291
2003-10-28,502326417
2003-10-29,512624680
2003-10-30,525497510
2003-10-31,518918064
2003-11-03,530646642
2003-11-04,530360579
2003-11-05,518632001
2003-11-06,531504831
2003-11-07,529216328
2003-11-10,512624680
2003-11-11,511480429
2003-11-12,514627121
2003-11-13,512910743
2003-11-14,507475549
2003-11-17,509191926
2003-11-18,516629561
2003-11-19,518918064
2003-11-20,514627121
2003-11-21,522064756
2003-11-24,531218768
2003-11-25,540372780
2003-11-26,540086717
2003-11-28,535223648
2003-12-01,548382540
2003-12-02,549526792
2003-12-03,544949786
2003-12-04,550671044
2003-12-05,542947346
2003-12-08,559252930
2003-12-09,554389861
2003-12-10,544091597
2003-12-11,563257810
2003-12-12,558966867
2003-12-15,556392301
2003-12-16,559252930
2003-12-17,561827496
2003-12-18,573556074
2003-12-19,580135520
2003-12-22,584998589
2003-12-23,583854338
2003-12-24,572697885
2003-12-26,575844577
2003-12-29,594724727
2003-12-30,596727167
2003-12-31,576988828
2004-01-02,602154550
2004-01-05,615899700
2004-01-06,610050700
2004-01-07,616192150
2004-01-08,615899700
2004-01-09,601569650
2004-01-12,616777050
2004-01-13,615314800
2004-01-14,624380750
2004-01-15,621456250
2004-01-16,610928050
2004-01-20,625550550
2004-01-21,626720350
2004-01-22,634031600
2004-01-23,622626050
2004-01-26,655088000
2004-01-27,654210650
2004-01-28,640757950
2004-01-29,632276900
2004-01-30,632861800
2004-02-02,629644850
2004-02-03,632861800
2004-02-04,610928050
2004-02-05,625550550
2004-02-06,645437150
2004-02-09,659182300
2004-02-10,665908650
2004-02-11,678776450
2004-02-12,678484000
2004-02-13,671465200
2004-02-17,693983850
2004-02-18,679946250
2004-02-19,677606650
2004-02-20,678776450
2004-02-23,684333000
2004-02-24,697785700
2004-02-25,716794950
2004-02-26,712115750
2004-02-27,719427000
2004-03-01,739021150
2004-03-02,729662750
2004-03-03,732879700
2004-03-04,732294800
2004-03-05,723521300
2004-03-08,716794950
2004-03-09,710068600
2004-03-10,679946250
2004-03-11,681700950
2004-03-12,702172450
2004-03-15,681408500
2004-03-16,679068900
2004-03-17,691936700
2004-03-18,687257500
2004-03-19,677606650
2004-03-22,671172750
2004-03-23,668833150
2004-03-24,655672900
2004-03-25,661521900
2004-03-26,677021750
2004-03-29,681993400
2004-03-30,690182000
2004-03-31,691351800
2004-04-01,694972880
2004-04-02,696152800
2004-04-05,692613040
2004-04-06,690548180
2004-04-07,679928900
2004-04-08,681403800
2004-04-12,681698780
2004-04-13,662230100
2004-04-14,661345160
2004-04-15,664884920
2004-04-16,671374480
2004-04-19,676094160
2004-04-20,663410020
2004-04-21,663115040
2004-04-22,705887140
2004-04-23,692613040
2004-04-26,685238540
2004-04-27,693203000
2004-04-28,675209220
2004-04-29,652200780
2004-04-30,648366040
2004-05-03,654560620
2004-05-04,654560620
2004-05-05,642171460
2004-05-06,631847160
2004-05-07,602349160
2004-05-10,594974660
2004-05-11,614443340
2004-05-12,608838720
2004-05-13,614443340
2004-05-14,620047960
2004-05-17,606773860
2004-05-18,615033300
2004-05-19,608543740
2004-05-20,617098160
2004-05-21,618278080
2004-05-24,629487320
2004-05-25,644236320
2004-05-26,644826280
2004-05-27,647186120
2004-05-28,646006200
2004-06-01,652495760
2004-06-02,652200780
2004-06-03,644236320
2004-06-04,654560620
2004-06-07,682288740
2004-06-08,679928900
2004-06-09,669309620
2004-06-10,673144360
2004-06-14,668424680
2004-06-15,682288740
2004-06-16,676094160
2004-06-17,680223880
2004-06-18,686418460
2004-06-21,690548180
2004-06-22,699692560
2004-06-23,695857820
2004-06-24,699987540
2004-06-25,698217660
2004-06-28,702642360
2004-06-29,715916460
2004-06-30,712671680
2004-07-01,719017880
2004-07-02,720203400
2004-07-06,711312000
2004-07-07,719017880
2004-07-08,711904760
2004-07-09,713683040
2004-07-12,715757700
2004-07-13,718425120
2004-07-14,713683040
2004-07-15,703309740
2004-07-16,708348200
2004-07-19,710126480
2004-07-20,730873080
2004-07-21,685526940
2004-07-22,691158160
2004-07-23,685230560
2004-07-26,685823320
2004-07-27,698271280
2004-07-28,698567660
2004-07-29,687601600
2004-07-30,689379880
2004-08-02,685823320
2004-08-03,684934180
2004-08-04,692343680
2004-08-05,668336900
2004-08-06,646701160
2004-08-09,651443240
2004-08-10,665076720
2004-08-11,662705680
2004-08-12,657667220
2004-08-13,649664960
2004-08-16,668040520
2004-08-17,669818800
2004-08-18,685823320
2004-08-19,678413820
2004-08-20,685823320
2004-08-23,678413820
2004-08-24,693232820
2004-08-25,692047300
2004-08-26,753101580
2004-08-27,759325560
2004-08-30,746581220
2004-08-31,737689820
2004-09-01,740357240
2004-09-02,747173980
2004-09-03,739468100
2004-09-07,748952260
2004-09-08,750137780
2004-09-09,752805200
2004-09-10,742728280
2004-09-13,741542760
2004-09-14,736207920
2004-09-15,740357240
2004-09-16,751323300
2004-09-17,744210180
2004-09-20,748063120
2004-09-21,750730540
2004-09-22,748952260
2004-09-23,773848180
2004-09-24,780961300
2004-09-27,778293880
2004-09-28,783332340
2004-09-29,785110620
2004-09-30,804968080
2004-10-01,804536979
2004-10-04,800161325
2004-10-05,813288288
2004-10-06,806870662
2004-10-07,780033315
2004-10-08,782075287
2004-10-11,781491866
2004-10-12,777991343
2004-10-13,768656614
2004-10-14,771865427
2004-10-15,770406875
2004-10-18,763405828
2004-10-19,744736370
2004-10-20,770406875
2004-10-21,777699633
2004-10-22,770406875
2004-10-25,768656614
2004-10-26,782366997
2004-10-27,789076334
2004-10-28,799577904
2004-10-29,796952512
2004-11-01,819122494
2004-11-02,813579998
2004-11-03,831082616
2004-11-04,851210626
2004-11-05,852960887
2004-11-08,817372232
2004-11-09,831666036
2004-11-10,846251551
2004-11-11,844501289
2004-11-12,858795093
2004-11-15,832249457
2004-11-16,821164466
2004-11-17,825248410
2004-11-18,824373279
2004-11-19,813579998
2004-11-22,833708008
2004-11-23,831082616
2004-11-24,845084710
2004-11-26,844501289
2004-11-29,852085757
2004-11-30,858503383
2004-12-01,878339683
2004-12-02,859086804
2004-12-03,862587327
2004-12-06,858211673
2004-12-07,829624064
2004-12-08,836333401
2004-12-09,830499195
2004-12-10,838667083
2004-12-13,844792999
2004-12-14,840417345
2004-12-15,850627205
2004-12-16,857044832
2004-12-17,849752074
2004-12-20,847710102
2004-12-21,850043785
2004-12-22,857336542
2004-12-23,852960887
2004-12-27,850918915
2004-12-28,863754168
2004-12-29,862295617
2004-12-30,855586280
2004-12-31,856169701
2005-01-03,840593320
2005-01-04,816841200
2005-01-05,802647860
2005-01-06,799171940
2005-01-07,793378740
2005-01-10,787006220
2005-01-11,801199560
2005-01-12,799461600
2005-01-13,788744180
2005-01-14,796854660
2005-01-18,794827040
2005-01-19,786716560
2005-01-20,765861040
2005-01-21,767599000
2005-01-24,764412740
