,H
2010-04-01,6754057313
2010-04-05,6816739979
2010-04-06,6788881016
2010-04-07,6653068572
2010-04-08,6839375387
2010-04-09,6875940275
2010-04-12,6781916276
2010-04-13,6917728720
2010-04-14,7070953015
2010-04-15,6952552423
2010-04-16,6816739979
2010-04-19,6696598202
2010-04-20,6660033313
2010-04-21,6783657461
2010-04-22,7097070793
2010-04-23,7185871237
2010-04-26,7262483385
2010-04-27,7020458645
2010-04-28,7032646942
2010-04-29,7330389607
2010-04-30,7168459386
2010-05-03,7373919237
2010-05-04,7319942496
2010-05-05,7288601163
2010-05-06,7171941756
2010-05-07,6912505164
2010-05-10,7135376867
2010-05-11,7131894497
2010-05-12,7231142052
2010-05-13,7255518645
2010-05-14,7046576423
2010-05-17,7044835238
2010-05-18,6773210350
2010-05-19,6644362646
2010-05-20,6369255388
2010-05-21,6590385906
2010-05-24,6559044573
2010-05-25,6527703239
2010-05-26,6586903535
2010-05-27,6910763979
2010-05-28,7044835238
2010-06-01,6982152571
2010-06-02,6818481164
2010-06-03,6935140571
2010-06-04,6661774498
2010-06-07,6438902795
2010-06-08,6496361906
2010-06-09,6621727239
2010-06-10,6801069313
2010-06-11,6719233609
2010-06-14,6879422646
2010-06-15,7093588423
2010-06-16,7070953015
2010-06-17,6940364127
2010-06-18,6893352127
2010-06-21,6895093312
2010-06-22,6703562943
2010-06-23,6651327387
2010-06-24,6466761758
2010-06-25,6583421165
2010-06-28,6518997313
2010-06-29,6353584721
2010-06-30,6459215896
2010-07-01,6159678249
2010-07-02,6095242825
2010-07-06,6180576224
2010-07-07,6272875615
2010-07-08,6359950513
2010-07-09,6440059419
2010-07-12,6403487962
2010-07-13,6516685328
2010-07-14,6530617312
2010-07-15,6400004966
2010-07-16,6091759829
2010-07-19,6135297277
2010-07-20,6178834726
2010-07-21,6095242825
2010-07-22,6171868734
2010-07-23,6260685130
2010-07-26,6504494843
2010-07-27,6501011847
2010-07-28,6511460835
2010-07-29,6617692210
2010-07-30,6810998482
2010-08-02,6988631273
2010-08-03,6875433906
2010-08-04,6943352326
2010-08-05,6788359009
2010-08-06,6861501923
2010-08-09,6957284310
2010-08-10,6875433906
2010-08-11,6668195650
2010-08-12,6549773789
2010-08-13,6373882497
2010-08-16,6485338365
2010-08-17,6730889576
2010-08-18,6739597066
2010-08-19,6643814679
2010-08-20,6626399699
2010-08-23,6513202333
2010-08-24,6366916505
2010-08-25,6382589986
2010-08-26,6305964076
2010-08-27,6551515287
2010-08-30,6361692011
2010-08-31,6558481279
2010-09-01,6697801115
2010-09-02,6868467914
2010-09-03,6833637955
2010-09-07,6668195650
2010-09-08,6772685527
2010-09-09,6842345445
2010-09-10,6812739980
2010-09-13,6938127832
2010-09-14,6716957593
2010-09-15,6779651519
2010-09-16,6720440589
2010-09-17,6814481478
2010-09-20,6953801314
2010-09-21,6831896457
2010-09-22,6844086943
2010-09-23,6565447271
2010-09-24,6680386136
2010-09-27,6673420144
2010-09-28,6624658201
2010-09-29,6558481279
2010-09-30,6514389481
2010-10-01,6460378763
2010-10-04,6667710228
2010-10-05,6990032254
2010-10-06,6930794693
2010-10-07,6822773257
2010-10-08,7000485941
2010-10-11,7143353002
2010-10-12,7211301969
2010-10-13,7230467063
2010-10-14,7141610720
2010-10-15,7099795971
2010-10-18,7143353002
2010-10-19,6997001379
2010-10-20,7052754378
2010-10-21,6990032254
2010-10-22,7157291251
2010-10-25,7141610720
2010-10-26,7186910032
2010-10-27,7040558410
2010-10-28,6880268537
2010-10-29,7021393316
2010-11-01,7064950347
2010-11-02,7136383877
2010-11-03,7230467063
2010-11-04,7369849560
2010-11-05,7416891153
2010-11-08,7209559688
2010-11-09,7115476502
2010-11-10,7286220062
2010-11-11,7233951625
2010-11-12,7138126158
2010-11-15,7197363719
2010-11-16,7082373159
2010-11-17,6922083287
2010-11-18,7054496659
2010-11-19,7206075125
2010-11-22,7157291251
2010-11-23,7153806689
2010-11-24,7209559688
2010-11-26,7258343562
2010-11-29,7256601281
2010-11-30,7293189186
2010-12-01,7483097839
2010-12-02,7617253493
2010-12-03,7692171586
2010-12-06,7709594398
2010-12-07,7892533926
2010-12-08,7897760770
2010-12-09,7842007771
2010-12-10,7817615834
2010-12-13,7709594398
2010-12-14,7646872274
2010-12-15,7551046807
2010-12-16,7660810524
2010-12-17,7709594398
2010-12-20,7821100396
2010-12-21,7815873552
2010-12-22,7967452019
2010-12-23,7932606394
2010-12-27,7981390268
2010-12-28,7927379551
2010-12-29,8047596955
2010-12-30,7932606394
2010-12-31,7972678862
2011-01-03,8077215735
2011-01-04,7963967456
2011-01-05,8162587515
2011-01-06,8024947299
2011-01-07,8188721734
2011-01-10,8221825077
2011-01-11,8251443857
2011-01-12,8329846512
2011-01-13,8355980731
2011-01-14,8390826355
2011-01-18,8450063917
2011-01-19,8406506886
2011-01-20,8336815637
2011-01-21,8326361950
2011-01-24,8223567358
2011-01-25,8328104231
2011-01-26,8545889384
2011-01-27,8533693415
2011-01-28,8328104231
2011-01-31,8465744447
2011-02-01,8636488007
2011-02-02,8544147102
2011-02-03,8549373946
2011-02-04,8537177978
2011-02-07,8511043759
2011-02-08,8554600790
2011-02-09,8575508164
2011-02-10,8575508164
2011-02-11,8570281321
2011-02-14,8601642383
2011-02-15,8572023602
2011-02-16,8627776601
2011-02-17,8490136385
2011-02-18,8103349954
2011-02-22,7984874831
2011-02-23,7794966178
2011-02-24,7787997053
2011-02-25,7990101674
2011-02-28,7970936581
2011-03-01,7765347397
2011-03-02,7913441301
2011-03-03,8028431861
2011-03-04,7824584959
2011-03-07,7646872274
2011-03-08,7784512490
2011-03-09,7737470898
2011-03-10,7794966178
2011-03-11,7613768931
2011-03-14,7544077682
2011-03-15,7458705902
2011-03-16,7272281812
2011-03-17,7326292530
2011-03-18,7404695185
2011-03-21,7559758213
2011-03-22,7448252215
2011-03-23,7474386433
2011-03-24,7470901871
2011-03-25,7685202461
2011-03-28,7204332844
2011-03-29,7362880435
2011-03-30,7507489776
2011-03-31,7312797839
2011-04-01,7214251771
2011-04-04,7258427595
2011-04-05,7171775018
2011-04-06,7234640613
2011-04-07,7141191756
2011-04-08,7105511283
2011-04-11,6986576374
2011-04-12,6823465642
2011-04-13,6944099621
2011-04-14,6976381953
2011-04-15,7040946618
2011-04-18,7130997335
2011-04-19,7122501984
2011-04-20,7241436894
2011-04-21,7411343907
2011-04-25,7535376026
2011-04-26,7550667657
2011-04-27,7579551849
2011-04-28,7562561148
2011-04-29,7528579746
2011-05-02,7499695553
2011-05-03,7234640613
2011-05-04,7343381101
2011-05-05,7411343907
2011-05-06,7424936468
2011-05-09,7475908572
2011-05-10,7613533252
2011-05-11,7531977886
2011-05-12,7572755569
2011-05-13,7481005782
2011-05-16,7552366727
2011-05-17,7538774166
2011-05-18,7645815585
2011-05-19,7674699777
2011-05-20,7644116514
2011-05-23,7547269517
2011-05-24,7465714151
2011-05-25,7523482535
2011-05-26,7632223023
2011-05-27,7689991408
2011-05-31,7574454639
2011-06-01,7326390400
2011-06-02,7253330384
2011-06-03,7117404774
2011-06-06,6984877304
2011-06-07,6935604270
2011-06-08,6762299117
2011-06-09,6796280520
2011-06-10,6677345610
2011-06-13,6685840961
2011-06-14,6777590748
2011-06-15,6621276296
2011-06-16,6612780945
2011-06-17,6702831662
2011-06-20,6704530732
2011-06-21,6779289818
2011-06-22,6738512135
2011-06-23,6707928873
2011-06-24,6668850260
2011-06-27,6643364208
2011-06-28,6796280520
2011-06-29,6821766571
2011-06-30,6755695059
2011-07-01,6994014532
2011-07-05,7046974415
2011-07-06,7040354430
2011-07-07,7157859170
2011-07-08,7076764349
2011-07-11,6835134884
2011-07-12,6775555015
2011-07-13,6826859902
2011-07-14,6499170627
2011-07-15,6575300458
2011-07-18,6454485726
2011-07-19,6595160414
2011-07-20,6610055381
2011-07-21,6866579814
2011-07-22,6854994840
2011-07-25,6881474781
2011-07-26,6760660048
2011-07-27,6649775294
2011-07-28,6495860634
2011-07-29,6419730802
2011-08-01,6414765813
2011-08-02,6030806662
2011-08-03,6169826355
2011-08-04,5977846780
2011-08-05,5999361732
2011-08-08,5476382889
2011-08-09,5656777490
2011-08-10,5448247951
2011-08-11,5689877416
2011-08-12,5617057577
2011-08-15,5761042259
2011-08-16,5605472603
2011-08-17,5608782596
2011-08-18,5251303386
2011-08-19,5132143650
2011-08-22,5006363928
2011-08-23,5251303386
2011-08-24,5420113013
2011-08-25,5337363196
2011-08-26,5466452911
2011-08-29,5764352252
2011-08-30,5678292442
2011-08-31,5876892003
2011-09-01,5565752691
2011-09-02,5367153130
2011-09-06,5190068522
2011-09-07,5478037885
2011-09-08,5277783328
2011-09-09,5175173555
2011-09-12,5143728624
2011-09-13,5271163342
2011-09-14,5519412793
2011-09-15,5691532413
2011-09-16,5885166985
2011-09-19,5736217314
2011-09-20,5679947438
2011-09-21,5463142918
2011-09-22,5262888361
2011-09-23,5355568156
2011-09-26,5199998500
2011-09-27,5391978075
2011-09-28,5249648390
2011-09-29,5387013086
2011-09-30,5191735000
2011-10-03,4930245000
2011-10-04,5156980000
2011-10-05,5317515000
2011-10-06,5322479999
2011-10-07,5203320000
2011-10-10,5405229999
2011-10-11,5284415000
2011-10-12,5524390000
2011-10-13,5486325000
2011-10-14,5597210000
2011-10-17,5492945000
2011-10-18,5684925000
2011-10-19,5613760000
2011-10-20,5570729999
2011-10-21,5810705000
2011-10-24,5931520000
2011-10-25,5878560000
2011-10-26,6039095000
2011-10-27,6290655000
2011-10-28,6183080000
2011-10-31,6154945000
2011-11-01,5858700000
2011-11-02,6231075000
2011-11-03,6199630000
2011-11-04,6125155000
2011-11-07,6090400000
2011-11-08,6053990000
2011-11-09,5736229999
2011-11-10,5814015000
2011-11-11,5913314999
2011-11-14,5875250000
2011-11-15,5898420000
2011-11-16,5833875000
2011-11-17,5739540000
2011-11-18,5817325000
2011-11-21,5650170000
2011-11-22,5468120000
2011-11-23,5380405000
2011-11-25,5289380000
2011-11-28,5653479999
2011-11-29,5567420000
2011-11-30,5906695000
2011-12-01,5842150000
2011-12-02,5875250000
2011-12-05,6010960000
2011-12-06,6022545000
2011-12-07,5976205000
2011-12-08,5822290000
2011-12-09,5974550000
2011-12-12,5838840000
2011-12-13,5732920000
2011-12-14,5603830000
2011-12-15,5731265000
2011-12-16,5848770000
2011-12-19,5774295000
2011-12-20,5958000000
2011-12-21,6030820000
2011-12-22,6217835000
2011-12-23,6280725000
2011-12-27,6346925000
2011-12-28,6209560000
2011-12-29,6267485000
2011-12-30,6229420000
2012-01-03,6359473419
2012-01-04,6261813625
2012-01-05,6390923184
2012-01-06,6415751945
2012-01-09,6486927728
2012-01-10,6579621771
2012-01-11,6549827257
2012-01-12,6541551003
2012-01-13,6473685722
2012-01-17,6467064719
2012-01-18,6569690266
2012-01-19,6642521299
2012-01-20,6678936816
2012-01-23,6761699354
2012-01-24,6755078351
2012-01-25,6778251862
2012-01-26,6836185638
2012-01-27,6945432188
2012-01-30,6945432188
2012-01-31,7054678739
2012-02-01,7109302014
2012-02-02,7091094255
2012-02-03,7299655851
2012-02-06,7205306558
2012-02-07,7150683283
2012-02-08,7162270038
2012-02-09,7074541748
2012-02-10,7119233518
2012-02-13,7208617059
2012-02-14,7168891041
2012-02-15,7091094255
2012-02-16,7091094255
2012-02-17,7109302014
2012-02-21,6993434461
2012-02-22,6869290654
2012-02-23,6957018944
2012-02-24,6968605699
2012-02-27,6933845433
2012-02-28,6928879681
2012-02-29,6854393397
2012-03-01,6880877409
2012-03-02,6766665106
2012-03-05,6769975608
2012-03-06,6601140030
2012-03-07,6736870593
2012-03-08,6743491596
2012-03-09,6803080623
2012-03-12,6741836345
2012-03-13,6975226702
2012-03-14,6629279293
2012-03-15,6728594339
2012-03-16,6834530388
2012-03-19,6836185638
2012-03-20,6794804369
2012-03-21,6904050919
2012-03-22,6839496140
2012-03-23,6899085167
2012-03-26,6902395669
2012-03-27,7117578268
2012-03-28,7089439005
2012-03-29,7008331717
2012-03-30,7071231246
2012-04-02,7098556764
2012-04-03,7052117607
2012-04-04,6909483055
2012-04-05,6936019716
2012-04-09,6773482669
2012-04-10,6556213758
2012-04-11,6625872493
2012-04-12,6715433723
2012-04-13,6733677678
2012-04-16,6703823934
2012-04-17,6781775375
2012-04-18,6765189962
2012-04-19,7111825094
2012-04-20,6999044286
2012-04-23,6917775762
2012-04-24,6936019716
2012-04-25,6974166166
2012-04-26,7163239874
2012-04-27,7206361948
2012-04-30,7136703213
2012-05-01,7254459646
2012-05-02,7266069435
2012-05-03,6891239101
2012-05-04,6715433723
2012-05-07,6469969611
2012-05-08,6516408767
2012-05-09,6554555217
2012-05-10,6524701474
2012-05-11,6488213565
2012-05-14,6302456940
2012-05-15,6324017976
2012-05-16,6363822968
2012-05-17,6088505112
2012-05-18,6063626992
2012-05-21,6242749453
2012-05-22,6209578627
2012-05-23,6035431790
2012-05-24,6066944075
2012-05-25,6133285727
2012-05-29,6290847150
2012-05-30,6178066342
2012-05-31,6134944268
2012-06-01,5869577660
2012-06-04,5879528908
2012-06-05,5993968258
2012-06-06,6204603003
2012-06-07,6171432177
2012-06-08,6120017397
2012-06-11,6045383038
2012-06-12,6008895129
2012-06-13,5950846184
2012-06-14,6023822001
2012-06-15,5949187643
2012-06-18,5876211825
2012-06-19,6090163653
2012-06-20,6201285920
2012-06-21,6061968451
2012-06-22,6061968451
2012-06-25,5909382651
2012-06-26,6017187836
2012-06-27,6048700121
2012-06-28,5937577854
2012-06-29,6163139470
2012-07-02,6131278307
2012-07-03,6157756162
2012-07-05,6167685358
2012-07-06,6089906659
2012-07-09,6008818228
2012-07-10,5888013014
2012-07-11,5916145735
2012-07-12,5643092855
2012-07-13,5715906956
2012-07-16,5601721206
2012-07-17,5626544196
2012-07-18,5747349409
2012-07-19,5843331634
2012-07-20,5770517532
2012-07-23,5662951246
2012-07-24,5596756609
2012-07-25,5583517681
2012-07-26,5591792011
2012-07-27,5800305119
2012-07-30,5881393550
2012-07-31,5883048416
2012-08-01,6088251793
2012-08-02,6113074782
2012-08-03,6238844593
2012-08-06,6268632180
2012-08-07,6323242756
2012-08-08,6240499459
2012-08-09,6295110035
2012-08-10,6285180840
2012-08-13,6262012716
2012-08-14,6162720760
2012-08-15,6185888883
2012-08-16,6286835706
2012-08-17,6280216242
2012-08-20,6271941912
2012-08-21,6250428655
2012-08-22,6217331336
2012-08-23,6184234017
2012-08-24,6215676470
2012-08-27,6212366738
2012-08-28,6283525974
2012-08-29,6290145437
2012-08-30,6252083521
2012-08-31,6276906510
2012-09-04,6369579003
2012-09-05,6296764901
2012-09-06,6500313412
2012-09-07,6561543452
2012-09-10,6563198318
2012-09-11,6473835557
2012-09-12,6536720463
2012-09-13,6596295636
2012-09-14,6867693651
2012-09-17,6846180393
2012-09-18,6801499013
2012-09-19,6859419321
2012-09-20,6756817633
2012-09-21,6685658397
2012-09-24,6627738089
2012-09-25,6586366441
2012-09-26,6568162915
2012-09-27,6700552191
2012-09-28,6644286749
2012-10-01,6420584966
2012-10-02,6354193041
2012-10-03,6297517007
2012-10-04,6274846593
2012-10-05,6221409190
2012-10-08,6223028505
2012-10-09,6142062743
2012-10-10,6148540004
2012-10-11,6130727536
2012-10-12,6192261516
2012-10-15,6279704539
2012-10-16,6331522627
2012-10-17,6331522627
2012-10-18,6334761258
2012-10-19,6344477149
2012-10-22,6375244139
2012-10-23,6250556865
2012-10-24,6169591102
2012-10-25,6133966167
2012-10-26,6163113841
2012-10-31,5910500662
2012-11-01,5857063259
2012-11-02,5907262031
2012-11-05,5738853246
2012-11-06,5759904344
2012-11-07,5672461320
2012-11-08,5576921721
2012-11-09,5565586514
2012-11-12,5544535416
2012-11-13,5505671850
2012-11-14,5489478697
2012-11-15,5476524175
2012-11-16,5601211449
2012-11-19,5874875727
2012-11-20,5789052018
2012-11-21,5793909964
2012-11-23,5873256411
2012-11-26,5698370364
2012-11-27,5769620235
2012-11-28,5829534900
2012-11-29,5878114357
2012-11-30,5910500662
2012-12-03,5904023401
2012-12-04,5915358608
2012-12-05,5949364228
2012-12-06,5960699435
2012-12-07,5902404086
2012-12-10,5933171076
2012-12-11,5950983543
2012-12-12,5968796011
2012-12-13,5879733672
2012-12-14,5913739293
2012-12-17,5991466425
2012-12-18,6064335611
2012-12-19,6046523143
2012-12-20,6297517007
2012-12-21,6286181800
2012-12-24,6291039746
2012-12-26,6198738777
2012-12-27,6210073983
2012-12-28,6127488906
2012-12-31,6245698919
2013-01-02,6383340715
2013-01-03,6383340715
2013-01-04,6386579346
2013-01-07,6360670302
2013-01-08,6294278376
2013-01-09,6320187420
2013-01-10,6365528247
2013-01-11,6376863454
2013-01-14,6284562485
2013-01-15,6331522627
2013-01-16,6299136322
2013-01-17,6331522627
2013-01-18,6349335095
2013-01-22,6464306478
2013-01-23,6474022369
2013-01-24,6465925793
2013-01-25,6556607447
2013-01-28,6554988131
2013-01-29,6529079088
2013-01-30,6482118945
2013-01-31,6488596206
2013-02-01,6514505250
2013-02-04,6503170043
2013-02-05,6605186904
2013-02-06,6689391297
2013-02-07,6673198145
2013-02-08,6697487874
2013-02-11,6734732124
2013-02-12,6827033093
2013-02-13,6771976375
2013-02-14,6726635548
2013-02-15,6856180768
2013-02-19,6796266104
2013-02-20,6635953894
2013-02-21,6546891555
2013-02-22,6577658545
2013-02-25,6477261000
2013-02-26,6504789359
2013-02-27,6611664165
2013-02-28,6653766362
2013-03-01,6639192525
2013-03-04,6616522111
2013-03-05,6694249243
2013-03-06,6712061711
2013-03-07,6741209385
2013-03-08,6864277344
2013-03-11,6916095432
2013-03-12,6911237487
2013-03-13,6924192009
2013-03-14,7013254347
2013-03-15,7034305446
2013-03-18,6993822564
2013-03-19,6953339683
2013-03-20,6942004476
2013-03-21,6888567073
2013-03-22,6873993236
2013-03-25,6849703507
2013-03-26,6888567073
2013-03-27,6985725988
2013-03-28,7000299825
2013-04-01,6862524460
2013-04-02,6809784985
2013-04-03,6633986733
2013-04-04,6723484025
2013-04-05,6661155554
2013-04-08,6755447343
2013-04-09,6795401491
2013-04-10,6820972146
2013-04-11,6843346469
2013-04-12,6812981316
2013-04-15,6584443590
2013-04-16,6653164724
2013-04-17,6598827083
2013-04-18,6523713285
2013-04-19,6566863765
2013-04-22,6552480272
2013-04-23,6619603240
2013-04-24,6643575729
2013-04-25,6656361056
2013-04-26,6670744550
2013-04-29,6568461931
2013-04-30,6820972146
2013-05-01,6443804989
2013-05-02,6405449007
2013-05-03,6581247258
2013-05-06,6603621581
2013-05-07,6627594070
2013-05-08,6675539047
2013-05-09,6581247258
2013-05-10,6624397738
2013-05-13,6606817913
2013-05-14,6611612411
2013-05-15,6517320621
2013-05-16,6392663680
2013-05-17,6483759137
2013-05-20,6587639922
2013-05-21,6649968393
2013-05-22,6538096778
2013-05-23,6469375644
2013-05-24,6538096778
2013-05-28,6672342716
2013-05-29,6549283940
2013-05-30,6629192236
2013-05-31,6571658263
2013-06-03,6518918787
2013-06-04,6480562805
2013-06-05,6399056343
2013-06-06,6554078437
2013-06-07,6678735379
2013-06-10,6699511536
2013-06-11,6514124289
2013-06-12,6486955469
2013-06-13,6491749967
2013-06-14,6482160971
2013-06-17,6391065514
2013-06-18,6499740796
2013-06-19,6448599487
2013-06-20,6202481935
2013-06-21,6264810406
2013-06-24,6192892940
2013-06-25,6272801236
2013-06-26,6335129706
2013-06-27,6490151801
2013-06-28,6450197653
2013-07-01,6375538756
2013-07-02,6375538756
2013-07-03,6328636804
2013-07-05,6478723052
2013-07-08,6461525669
2013-07-09,6475596255
2013-07-10,6497483833
2013-07-11,6560019770
2013-07-12,6538132192
2013-07-15,6588160941
2013-07-16,6591287738
2013-07-17,6591287738
2013-07-18,6697598831
2013-07-19,6647570081
2013-07-22,6628809300
2013-07-23,6594414535
2013-07-24,6492793638
2013-07-25,6542822387
2013-07-26,6552202778
2013-07-29,6569400160
2013-07-30,6674147854
2013-07-31,7074377850
2013-08-01,7282309840
2013-08-02,7247915075
2013-08-05,7172871950
2013-08-06,7002461523
2013-08-07,6932108594
2013-08-08,7146294177
2013-08-09,7158801365
2013-08-12,7044673280
2013-08-13,7083758241
2013-08-14,7125969998
2013-08-15,7039983085
2013-08-16,6968066757
2013-08-19,6875826251
2013-08-20,6903967422
2013-08-21,6911784414
2013-08-22,7008715116
2013-08-23,6957122969
2013-08-26,6993081132
2013-08-27,6817980509
2013-08-28,6796092931
2013-08-29,6861755665
2013-08-30,6785149142
2013-09-03,6882079844
2013-09-04,6941488984
2013-09-05,6938362187
2013-09-06,6996207929
2013-09-09,7102519022
2013-09-10,7160364763
2013-09-11,7185379138
2013-09-12,7054053671
2013-09-13,7113462811
2013-09-16,7097828826
2013-09-17,7030602694
2013-09-18,7169745154
2013-09-19,7204139919
2013-09-20,7129096795
2013-09-23,7050926874
2013-09-24,7043109882
2013-09-25,7019658905
2013-09-26,6816417111
2013-09-27,6871136055
2013-09-30,6706056000
2013-10-01,6795033000
2013-10-02,6843424000
2013-10-03,6821570000
2013-10-04,6902742000
2013-10-07,6899620000
2013-10-08,6855912000
2013-10-09,6798155000
2013-10-10,6765374000
2013-10-11,6866839000
2013-10-14,6887132000
2013-10-15,6869961000
2013-10-16,6865277999
2013-10-17,6951133000
2013-10-18,7057281000
2013-10-21,7132209000
2013-10-22,7168112000
2013-10-23,7071330000
2013-10-24,7299236000
2013-10-25,7366359000
2013-10-28,7247723000
2013-10-29,7303919000
2013-10-30,7277382000
2013-10-31,7430360000
2013-11-01,7525581000
2013-11-04,7625485000
2013-11-05,7633290000
2013-11-06,7495922000
2013-11-07,7399140000
2013-11-08,7516215000
2013-11-11,7502166000
2013-11-12,7541191000
2013-11-13,7544313000
2013-11-14,7597387000
2013-11-15,7698852000
2013-11-18,7625485000
2013-11-19,7538069000
2013-11-20,7508410000
2013-11-21,7588021000
2013-11-22,7631729000
2013-11-25,7547435000
2013-11-26,7573972000
2013-11-27,7539630000
2013-11-29,7550557000
2013-12-02,7499044000
2013-12-03,7438165000
2013-12-04,7352310000
2013-12-05,7339822000
2013-12-06,7355432000
2013-12-09,7388213000
2013-12-10,7375725000
2013-12-11,7280504000
2013-12-12,7321090000
2013-12-13,7310163000
2013-12-16,7491239000
2013-12-17,7399140000
2013-12-18,7572411000
2013-12-19,7641095000
2013-12-20,7726950000
2013-12-23,7781585000
2013-12-24,7778463000
2013-12-26,7759731000
2013-12-27,7734755000
2013-12-30,7773780000
2013-12-31,7688512584
2014-01-02,7753801207
2014-01-03,7741365279
2014-01-06,7686958093
2014-01-07,7718047914
2014-01-08,7764682644
2014-01-09,7783336537
2014-01-10,7772455100
2014-01-13,7655868273
2014-01-14,7756910189
2014-01-15,7798881447
2014-01-16,7772455100
2014-01-17,7801990429
2014-01-21,7805099411
2014-01-22,7825307794
2014-01-23,7764682644
2014-01-24,7550162884
2014-01-27,7419585638
2014-01-28,7536172464
2014-01-29,7396268273
2014-01-30,7402486237
2014-01-31,7428912584
2014-02-03,7132004799
2014-02-04,7211283841
2014-02-05,7226828751
2014-02-06,7372950907
2014-02-07,7508191626
2014-02-10,7539281447
2014-02-11,7648095818
2014-02-12,7691621566
2014-02-13,7677631147
2014-02-14,8215485040
2014-02-18,7996301806
2014-02-19,7965211986
2014-02-20,7912359291
2014-02-21,8111334142
2014-02-24,8150196417
2014-02-25,8097343723
2014-02-26,8112888633
2014-02-27,8223257495
2014-02-28,8108225160
2014-03-03,8032055100
2014-03-04,8257456298
2014-03-05,8235693423
2014-03-06,8226366477
2014-03-07,8277664681
2014-03-10,8199940130
2014-03-11,8140869471
2014-03-12,8189058693
2014-03-13,8098898214
2014-03-14,8246574861
2014-03-17,8363161687
2014-03-18,8402023963
2014-03-19,8414459891
2014-03-20,8384924561
2014-03-21,8524828753
2014-03-24,8437777256
2014-03-25,8356943723
2014-03-26,8268337735
2014-03-27,8268337735
2014-03-28,8335180849
2014-03-31,8298939695
2014-04-01,8482469490
2014-04-02,8525652971
2014-04-03,8513314833
2014-04-04,8314362367
2014-04-07,8243418077
2014-04-08,8229537672
2014-04-09,8366799451
2014-04-10,8138543908
2014-04-11,8029042939
2014-04-14,8212572733
2014-04-15,8277347955
2014-04-16,8288143825
2014-04-17,8359088115
2014-04-21,8326700504
2014-04-22,8426947871
2014-04-23,8403813863
2014-04-24,8403813863
2014-04-25,8317446901
2014-04-28,8211030466
2014-04-29,8331327306
2014-04-30,8679879689
2014-05-01,8917388834
2014-05-02,8943607376
2014-05-05,8918931101
2014-05-06,8820226002
2014-05-07,8880374422
2014-05-08,8832564139
2014-05-09,8814056933
2014-05-12,8972910453
2014-05-13,8966741384
2014-05-14,8861867216
2014-05-15,8778584788
2014-05-16,8872663086
2014-05-19,8918931101
2014-05-20,8909677498
2014-05-21,8935896040
2014-05-22,9073157819
2014-05-23,9083953690
2014-05-27,9190370125
2014-05-28,9182658789
2014-05-29,9343054576
2014-05-30,9432506072
2014-06-02,9460266882
2014-06-03,9483400889
2014-06-04,9444844210
2014-06-05,9484943157
2014-06-06,9489569958
2014-06-09,9472605019
2014-06-10,9420167935
2014-06-11,9326089637
2014-06-12,9141017575
2014-06-13,9157982514
2014-06-16,9198081461
2014-06-17,9227384537
2014-06-18,9327631904
2014-06-19,9380068988
2014-06-20,9364646316
2014-06-23,9358477248
2014-06-24,9296786561
2014-06-25,9370815385
