,HBI
2007-04-05,2785590760
2007-04-09,2741313920
2007-04-10,2738426300
2007-04-11,2723025660
2007-04-12,2741313920
2007-04-13,2743239000
2007-04-16,2728800900
2007-04-17,2725913280
2007-04-18,2722063120
2007-04-19,2684524060
2007-04-20,2739388840
2007-04-23,2732651060
2007-04-24,2720138040
2007-04-25,2728800900
2007-04-26,2599820540
2007-04-27,2639284680
2007-04-30,2559393860
2007-05-01,2542068140
2007-05-02,2587307520
2007-05-03,2574794500
2007-05-04,2578644660
2007-05-07,2570944340
2007-05-08,2526667500
2007-05-09,2490090980
2007-05-10,2449664300
2007-05-11,2524742420
2007-05-14,2535330360
2007-05-15,2540143060
2007-05-16,2542068140
2007-05-17,2584419900
2007-05-18,2563244020
2007-05-21,2556506240
2007-05-22,2566131640
2007-05-23,2526667500
2007-05-24,2490090980
2007-05-25,2473727800
2007-05-29,2466990020
2007-05-30,2461214780
2007-05-31,2512229400
2007-06-01,2536292900
2007-06-04,2605595780
2007-06-05,2586344980
2007-06-06,2601745620
2007-06-07,2572869420
2007-06-08,2589232600
2007-06-11,2539180520
2007-06-12,2533405280
2007-06-13,2566131640
2007-06-14,2591157680
2007-06-15,2621958960
2007-06-18,2639284680
2007-06-19,2624846580
2007-06-20,2620996420
2007-06-21,2582494820
2007-06-22,2561318940
2007-06-25,2536292900
2007-06-26,2549768460
2007-06-27,2620033880
2007-06-28,2646985000
2007-06-29,2601745620
2007-07-02,2614497120
2007-07-03,2661372480
2007-07-05,2631716640
2007-07-06,2663285760
2007-07-09,2578144800
2007-07-10,2551358880
2007-07-11,2520746400
2007-07-12,2548488960
2007-07-13,2528399520
2007-07-16,2493003840
2007-07-17,2520746400
2007-07-18,2483437440
2007-07-19,2518833120
2007-07-20,2496830400
2007-07-23,2599190880
2007-07-24,2562838560
2007-07-25,2549445600
2007-07-26,2876616480
2007-07-27,2962714080
2007-07-30,3132996000
2007-07-31,2966540640
2007-08-01,2964627360
2007-08-02,2918708640
2007-08-03,2797215360
2007-08-06,3001936320
2007-08-07,2978976960
2007-08-08,2918708640
2007-08-09,2647979520
2007-08-10,2727380640
2007-08-13,2795302080
2007-08-14,2695811520
2007-08-15,2560925280
2007-08-16,2595364320
2007-08-17,2679548640
2007-08-20,2695811520
2007-08-21,2686245120
2007-08-22,2738860320
2007-08-23,2763732960
2007-08-24,2903402400
2007-08-27,2812521600
2007-08-28,2682418560
2007-08-29,2776169280
2007-08-30,2777125920
2007-08-31,2866093440
2007-09-04,2901489120
2007-09-05,2959844160
2007-09-06,2970367200
2007-09-07,2873746560
2007-09-10,2795302080
2007-09-11,2771386080
2007-09-12,2750340000
2007-09-13,2726424000
2007-09-14,2701551360
2007-09-17,2640326400
2007-09-18,2713987680
2007-09-19,2700594720
2007-09-20,2660415840
2007-09-21,2656589280
2007-09-24,2651806080
2007-09-25,2610670560
2007-09-26,2545619040
2007-09-27,2697724800
2007-09-28,2684331840
2007-10-01,2765012680
2007-10-02,2769784880
2007-10-03,2684839720
2007-10-04,2633299960
2007-10-05,2688657480
2007-10-08,2672432000
2007-10-09,2674340880
2007-10-10,2715381800
2007-10-11,2676249760
2007-10-12,2660978720
2007-10-15,2643798800
2007-10-16,2624710000
2007-10-17,2579851320
2007-10-18,2546445920
2007-10-19,2463409640
2007-10-22,2488225080
2007-10-23,2471999600
2007-10-24,2459591880
2007-10-25,2643798800
2007-10-26,2751650520
2007-10-29,2773602640
2007-10-30,2780283720
2007-10-31,2962581760
2007-11-01,2869046640
2007-11-02,2880499920
2007-11-05,2891953200
2007-11-06,2901497600
2007-11-07,2910087560
2007-11-08,2969262840
2007-11-09,2958764000
2007-11-12,2911996440
2007-11-13,3001713800
2007-11-14,2995987160
2007-11-15,2977852800
2007-11-16,2819415760
2007-11-19,2752604960
2007-11-20,2786964800
2007-11-21,2724926200
2007-11-23,2747832760
2007-11-26,2664796480
2007-11-27,2637117720
2007-11-28,2708700720
2007-11-29,2701065200
2007-11-30,2694384120
2007-12-03,2715381800
2007-12-04,2764058240
2007-12-05,2775511520
2007-12-06,2796509200
2007-12-07,2762149360
2007-12-10,2806053600
2007-12-11,2801281400
2007-12-12,2845185640
2007-12-13,2855684480
2007-12-14,2742106120
2007-12-17,2828960160
2007-12-18,2796509200
2007-12-19,2758331600
2007-12-20,2695338560
2007-12-21,2816552440
2007-12-24,2753559400
2007-12-26,2672432000
2007-12-27,2614211160
2007-12-28,2657160960
2007-12-31,2563326480
2008-01-02,2498229120
2008-01-03,2426527680
2008-01-04,2295389520
2008-01-07,2244443760
2008-01-08,2276520720
2008-01-09,2293502640
2008-01-10,2305767360
2008-01-11,2226518400
2008-01-14,2217084000
2008-01-15,2185007040
2008-01-16,2140665360
2008-01-17,2050095120
2008-01-18,2121796559
2008-01-22,2162364480
2008-01-23,2179346400
2008-01-24,2243500320
2008-01-25,2212366800
2008-01-28,2238783120
2008-01-29,2340674640
2008-01-30,2335957440
2008-01-31,2416149840
2008-02-01,2416149840
2008-02-04,2368034400
2008-02-05,2221801200
2008-02-06,2285955120
2008-02-07,2386903200
2008-02-08,2426527680
2008-02-11,2401998240
2008-02-12,2364260640
2008-02-13,2413319520
2008-02-14,2421810480
2008-02-15,2432188320
2008-02-19,2556722400
2008-02-20,2608611600
2008-02-21,2698238400
2008-02-22,2780317680
2008-02-25,2744466960
2008-02-26,2802016800
2008-02-27,2823715920
2008-02-28,2766166080
2008-02-29,2745410400
2008-03-03,2774657040
2008-03-04,2620876320
2008-03-05,2668048320
2008-03-06,2591629680
2008-03-07,2519928240
2008-03-10,2485020960
2008-03-11,2471812800
2008-03-12,2585969040
2008-03-13,2570874000
2008-03-14,2533136400
2008-03-17,2458604640
2008-03-18,2595403440
2008-03-19,2602007520
2008-03-20,2738806320
2008-03-24,2824659360
2008-03-25,2784091440
2008-03-26,2730315360
2008-03-27,2680313040
2008-03-28,2658613920
2008-03-31,2755166000
2008-04-01,2846690350
2008-04-02,2861787150
2008-04-03,2846690350
2008-04-04,2864617800
2008-04-07,2853295200
2008-04-08,2859900050
2008-04-09,2856125850
2008-04-10,2916513050
2008-04-11,2887263000
2008-04-14,3001432550
2008-04-15,3005206750
2008-04-16,3149569900
2008-04-17,3224110350
2008-04-18,3164666700
2008-04-21,3073142350
2008-04-22,3097674650
2008-04-23,3098618200
2008-04-24,3199578049
2008-04-25,3229771649
2008-04-28,3198634500
2008-04-29,3285441100
2008-04-30,3304312100
2008-05-01,3367529950
2008-05-02,3321296000
2008-05-05,3251473300
2008-05-06,3255247500
2008-05-07,3244868450
2008-05-08,3235432950
2008-05-09,3354320249
2008-05-12,3321296000
2008-05-13,3357150900
2008-05-14,3384513849
2008-05-15,3538312500
2008-05-16,3415651000
2008-05-19,3349602500
2008-05-20,3331675050
2008-05-21,3249586200
2008-05-22,3205239350
2008-05-23,3124094050
2008-05-27,3099561750
2008-05-28,3143908600
2008-05-29,3136360200
2008-05-30,3113715000
2008-06-02,3041061649
2008-06-03,2968408300
2008-06-04,3047666499
2008-06-05,3085408500
2008-06-06,2985392200
2008-06-09,3108997250
2008-06-10,3158061850
2008-06-11,3013698700
2008-06-12,3029739050
2008-06-13,3018416450
2008-06-16,3083521400
2008-06-17,3109940800
2008-06-18,3044835850
2008-06-19,2740069200
2008-06-20,2706101400
2008-06-23,2625899650
2008-06-24,2675907800
2008-06-25,2683456200
2008-06-26,2641940000
2008-06-27,2618351250
2008-06-30,2550942880
2008-07-01,2589479600
2008-07-02,2647754640
2008-07-03,2618617120
2008-07-07,2563161840
2008-07-08,2529324720
2008-07-09,2417474240
2008-07-10,2254868080
2008-07-11,2221030960
2008-07-14,2173095040
2008-07-15,2220091040
2008-07-16,2363898800
2008-07-17,2448491600
2008-07-18,2438152480
2008-07-21,2441912160
2008-07-22,2518045680
2008-07-23,2533084400
2008-07-24,2395856080
2008-07-25,2476689200
2008-07-28,2496427520
2008-07-29,2562221920
2008-07-30,2088502240
2008-07-31,2015188480
2008-08-01,2097901440
2008-08-04,2112940160
2008-08-05,2376117760
2008-08-06,2320662480
2008-08-07,2239829360
2008-08-08,2331001600
2008-08-11,2409014960
2008-08-12,2279306000
2008-08-13,2237009600
2008-08-14,2303743920
2008-08-15,2280245920
2008-08-18,2290585040
2008-08-19,2197532960
2008-08-20,2205992240
2008-08-21,2165575680
2008-08-22,2191893440
2008-08-25,2171215200
2008-08-26,2147717200
2008-08-27,2147717200
2008-08-28,2219151120
2008-08-29,2240769280
2008-09-02,2286825360
2008-09-03,2237949520
2008-09-04,2281185840
2008-09-05,2341340720
2008-09-08,2386456880
2008-09-09,2327241920
2008-09-10,2255808000
2008-09-11,2236069680
2008-09-12,2263327360
2008-09-15,2207872080
2008-09-16,2296224560
2008-09-17,2207872080
2008-09-18,2318782640
2008-09-19,2441912160
2008-09-22,2257687840
2008-09-23,2239829360
2008-09-24,2187193840
2008-09-25,2203172480
2008-09-26,2160876080
2008-09-29,2011822400
2008-09-30,2040911250
2008-10-01,2008068999
2008-10-02,1893590300
2008-10-03,1775358200
2008-10-06,1756591200
2008-10-07,1744392650
2008-10-08,1672139700
2008-10-09,1514496900
2008-10-10,1592379950
2008-10-13,1642112500
2008-10-14,1582058100
2008-10-15,1477901250
2008-10-16,1437552200
2008-10-17,1463826000
2008-10-20,1492914850
2008-10-21,1480716300
2008-10-22,1322135150
2008-10-23,1197334600
2008-10-24,1242375400
2008-10-27,1141971950
2008-10-28,1244252100
2008-10-29,1295861350
2008-10-30,1418785200
2008-10-31,1639297450
2008-11-03,1550154200
2008-11-04,1524818750
2008-11-05,1460072600
2008-11-06,1480716300
2008-11-07,1503236700
2008-11-10,1406586650
2008-11-11,1372806050
2008-11-12,1278971050
2008-11-13,1402833250
2008-11-14,1328703600
2008-11-17,1267710850
2008-11-18,1222670050
2008-11-19,1100684550
2008-11-20,881110650
2008-11-21,937411650
2008-11-24,1064088900
2008-11-25,1060335500
2008-11-26,1201088000
2008-11-28,1212348200
2008-12-01,1163554000
2008-12-02,1147602050
2008-12-03,1213286550
2008-12-04,1171999150
2008-12-05,1226423450
2008-12-08,1402833250
2008-12-09,1339963800
2008-12-10,1357792450
2008-12-11,1033123350
2008-12-12,958055350
2008-12-15,1050951999
2008-12-16,1107253000
2008-12-17,1184197700
2008-12-18,1226423450
2008-12-19,1237683650
2008-12-22,1171060800
2008-12-23,1149478750
2008-12-24,1162615650
2008-12-26,1184197700
2008-12-29,1128835050
2008-12-30,1139156900
2008-12-31,1196396250
2009-01-02,1236745300
2009-01-05,1234078580
2009-01-06,1274710570
2009-01-07,1265261270
2009-01-08,1283214940
2009-01-09,1230298860
2009-01-12,1233133650
2009-01-13,1143365300
2009-01-14,1072495550
2009-01-15,1061156390
2009-01-16,1090449220
2009-01-20,966663390
2009-01-21,927921260
2009-01-22,863666020
2009-01-23,884454480
2009-01-26,888234200
2009-01-27,874060250
2009-01-28,924141539
2009-01-29,923196610
2009-01-30,849492070
2009-02-02,820199240
2009-02-03,824923890
2009-02-04,793741200
2009-02-05,760668650
2009-02-06,812639800
2009-02-09,786181760
2009-02-10,752164280
2009-02-11,762558510
2009-02-12,707752570
2009-02-13,718146800
2009-02-17,691688760
2009-02-18,657671280
2009-02-19,666175650
2009-02-20,628378450
2009-02-23,611369710
2009-02-24,566958000
2009-02-25,546169540
2009-02-26,647277050
2009-02-27,661451000
2009-03-02,601920410
2009-03-03,568847860
2009-03-04,618929150
2009-03-05,585856600
2009-03-06,580187020
2009-03-09,580187020
2009-03-10,642552400
2009-03-11,605700130
2009-03-12,787126690
2009-03-13,855161650
2009-03-16,850437000
2009-03-17,837207980
2009-03-18,894848710
2009-03-19,876895039
2009-03-20,852326860
2009-03-23,932645909
2009-03-24,909967590
2009-03-25,943985070
2009-03-26,1017689610
2009-03-27,987451849
2009-03-30,926031400
2009-03-31,904298010
2009-04-01,979892409
2009-04-02,1054541880
2009-04-03,1098953590
2009-04-06,1081361740
2009-04-07,1032900009
2009-04-08,1046203230
2009-04-09,1215344170
2009-04-13,1248602220
2009-04-14,1213443710
2009-04-15,1171633590
2009-04-16,1201090720
2009-04-17,1212493480
2009-04-20,1150728530
2009-04-21,1241950610
2009-04-22,1295163490
2009-04-23,1304665790
2009-04-24,1345525680
2009-04-27,1306566250
2009-04-28,1363580050
2009-04-29,1425345000
2009-04-30,1564078580
2009-05-01,1601137550
2009-05-04,1645798360
2009-05-05,1619191920
2009-05-06,1565028810
2009-05-07,1502313630
2009-05-08,1599237089
2009-05-11,1515616850
2009-05-12,1470956040
2009-05-13,1320819700
2009-05-14,1377833500
2009-05-15,1376883270
2009-05-18,1473806730
2009-05-19,1540322830
2009-05-20,1599237089
2009-05-21,1560277660
2009-05-22,1549825129
2009-05-26,1596386400
2009-05-27,1617291460
2009-05-28,1584983640
2009-05-29,1605888699
2009-06-01,1746522740
2009-06-02,1755074810
2009-06-03,1773129180
2009-06-04,1736070210
2009-06-05,1718015839
2009-06-08,1666703420
2009-06-09,1707563310
2009-06-10,1692359629
2009-06-11,1702812160
2009-06-12,1652449970
2009-06-15,1631544910
2009-06-16,1565028810
2009-06-17,1483309030
2009-06-18,1500413170
2009-06-19,1547924670
2009-06-22,1437697990
2009-06-23,1386385570
2009-06-24,1381634420
2009-06-25,1423444540
2009-06-26,1472856500
2009-06-29,1427245460
2009-06-30,1426295230
2009-07-01,1441498910
2009-07-02,1398738560
2009-07-06,1389653730
2009-07-07,1334410470
2009-07-08,1320123420
2009-07-09,1306788840
2009-07-10,1303931430
2009-07-13,1320123420
2009-07-14,1339172820
2009-07-15,1391558670
2009-07-16,1418227830
2009-07-17,1406798190
2009-07-20,1447754400
2009-07-21,1442992050
2009-07-22,1476328500
2009-07-23,1544906340
2009-07-24,1622056410
2009-07-27,1653487920
2009-07-28,1635390990
2009-07-29,1631581110
2009-07-30,1830647340
2009-07-31,1895415299
2009-08-03,1900177650
2009-08-04,1926846810
2009-08-05,1886843069
2009-08-06,1949706090
2009-08-07,2076384600
2009-08-10,1975422779
2009-08-11,1989709830
2009-08-12,2036380860
2009-08-13,2015426520
2009-08-14,1950658560
2009-08-17,1861126380
2009-08-18,1926846810
2009-08-19,1963040670
2009-08-20,1954468440
2009-08-21,2001139470
2009-08-24,1975422779
2009-08-25,2008759230
2009-08-26,1993519710
2009-08-27,2028761100
2009-08-28,2048762970
2009-08-31,2005901819
2009-09-01,1885890600
2009-09-02,1835409690
2009-09-03,1862078850
2009-09-04,1882080720
2009-09-08,1888748009
2009-09-09,1933514100
2009-09-10,1970660430
2009-09-11,1976375250
2009-09-14,1946848680
2009-09-15,1973517840
2009-09-16,2007806759
2009-09-17,2158297020
2009-09-18,2131627860
2009-09-21,2117340810
2009-09-22,2171631600
2009-09-23,2114483400
2009-09-24,2033523450
2009-09-25,1994472180
2009-09-28,2036380860
2009-09-29,2085909299
2009-09-30,2038285799
2009-10-01,1976375250
2009-10-02,1936371509
2009-10-05,2186697760
2009-10-06,2217415200
2009-10-07,2209735840
2009-10-08,2255812000
2009-10-09,2276930240
2009-10-12,2255812000
2009-10-13,2244292960
2009-10-14,2266371120
2009-10-15,2254852080
2009-10-16,2241413200
2009-10-19,2246212800
2009-10-20,2206856080
2009-10-21,2189577520
2009-10-22,2219335040
2009-10-23,2227014400
2009-10-26,2256771920
2009-10-27,2198216800
2009-10-28,2093585519
2009-10-29,2150220800
2009-10-30,2075347040
2009-11-02,2086866079
2009-11-03,2138701760
2009-11-04,2160779920
2009-11-05,2360443280
2009-11-06,2403639680
2009-11-09,2492912240
2009-11-10,2483313040
2009-11-11,2491952320
2009-11-12,2453555520
2009-11-13,2481393200
2009-11-16,2481393200
2009-11-17,2394040480
2009-11-18,2373882160
2009-11-19,2363323040
2009-11-20,2350844080
2009-11-23,2374842080
2009-11-24,2315327040
2009-11-25,2354683760
2009-11-27,2334525440
2009-11-30,2304767920
2009-12-01,2306687760
2009-12-02,2310527440
2009-12-03,2289409200
2009-12-04,2300928240
2009-12-07,2286529440
2009-12-08,2335485360
2009-12-09,2390200800
2009-12-10,2407479360
2009-12-11,2442036480
2009-12-14,2488112640
2009-12-15,2458355120
2009-12-16,2476593600
2009-12-17,2427637680
2009-12-18,2447796000
2009-12-21,2447796000
2009-12-22,2432437280
2009-12-23,2421878160
2009-12-24,2421878160
2009-12-28,2398840080
2009-12-29,2358523440
2009-12-30,2330685760
2009-12-31,2314367120
2010-01-04,2379252200
2010-01-05,2386958280
2010-01-06,2397554140
2010-01-07,2354207440
2010-01-08,2382141980
2010-01-11,2373472640
2010-01-12,2301228140
2010-01-13,2323383120
2010-01-14,2348427880
2010-01-15,2307007700
2010-01-19,2305081180
2010-01-20,2258844700
2010-01-21,2224167340
2010-01-22,2203938880
2010-01-25,2205865400
2010-01-26,2215498000
2010-01-27,2230910160
2010-01-28,2290632280
2010-01-29,2212608220
2010-02-01,2231873420
2010-02-02,2233799940
2010-02-03,2178894120
2010-02-04,2087384420
2010-02-05,2095090500
2010-02-08,2099906800
2010-02-09,2153849360
2010-02-10,2183710420
2010-02-11,2218387780
2010-02-12,2265587520
2010-02-16,2286779240
2010-02-17,2312787260
2010-02-18,2320493340
2010-02-19,2337832020
2010-02-22,2366729820
2010-02-23,2341685060
2010-02-24,2393701100
2010-02-25,2412003040
2010-02-26,2497733180
2010-03-01,2524704460
2010-03-02,2550712480
2010-03-03,2517961640
2010-03-04,2535300320
2010-03-05,2568051160
2010-03-08,2595022440
2010-03-09,2605618300
2010-03-10,2633552840
2010-03-11,2612361120
2010-03-12,2609471340
2010-03-15,2594059180
2010-03-16,2601765260
2010-03-17,2634516100
2010-03-18,2627773280
2010-03-19,2585389840
2010-03-22,2681715840
2010-03-23,2698091260
2010-03-24,2670156720
2010-03-25,2652818040
2010-03-26,2700017780
2010-03-29,2710613640
2010-03-30,2699054520
2010-03-31,2679789320
2010-04-01,2717356460
2010-04-05,2796180000
2010-04-06,2824141800
2010-04-07,2802929400
2010-04-08,2819320800
2010-04-09,2847282600
2010-04-12,2831855400
2010-04-13,2800036800
2010-04-14,2880065400
2010-04-15,2859817200
2010-04-16,2828962800
2010-04-19,2804857800
2010-04-20,2805822000
2010-04-21,2877172800
2010-04-22,2968771800
2010-04-23,2970700200
2010-04-26,2906098800
2010-04-27,2811607200
2010-04-28,2795215800
2010-04-29,2835712200
2010-04-30,2745077400
2010-05-03,2807750400
2010-05-04,2711330400
2010-05-05,2646729000
2010-05-06,2631301800
2010-05-07,2539702800
2010-05-10,2672762400
2010-05-11,2700724200
2010-05-12,2790394800
2010-05-13,2739292200
2010-05-14,2702652600
2010-05-17,2677583400
2010-05-18,2633230200
2010-05-19,2612017800
2010-05-20,2517526200
2010-05-21,2568628800
2010-05-24,2543559600
2010-05-25,2559951000
2010-05-26,2573449800
2010-05-27,2677583400
2010-05-28,2630337600
2010-06-01,2578270800
2010-06-02,2639015400
2010-06-03,2693974800
2010-06-04,2586948600
2010-06-07,2546452200
2010-06-08,2586948600
2010-06-09,2613946200
2010-06-10,2728686000
2010-06-11,2747970000
2010-06-14,2769182400
2010-06-15,2816428200
2010-06-16,2779788600
2010-06-17,2744113200
2010-06-18,2753755200
2010-06-21,2665048800
2010-06-22,2531025000
2010-06-23,2522347200
2010-06-24,2430748200
2010-06-25,2405679000
2010-06-28,2405679000
2010-06-29,2310223200
2010-06-30,2319865200
2010-07-01,2371932000
2010-07-02,2343006000
2010-07-06,2290815040
2010-07-07,2359327200
2010-07-08,2368011840
2010-07-09,2413364960
2010-07-12,2388276000
2010-07-13,2494421600
2010-07-14,2506001120
2010-07-15,2494421600
2010-07-16,2358362240
2010-07-19,2347747680
2010-07-20,2415294880
2010-07-21,2406610240
2010-07-22,2363187040
2010-07-23,2372836640
2010-07-26,2507931040
2010-07-27,2459683040
2010-07-28,2440383840
2010-07-29,2400820480
2010-07-30,2417224800
2010-08-02,2468367680
2010-08-03,2387311040
2010-08-04,2454858240
2010-08-05,2477052320
2010-08-06,2450998400
2010-08-09,2479947200
2010-08-10,2625656160
2010-08-11,2596707360
2010-08-12,2615041600
2010-08-13,2543634560
2010-08-16,2546529440
2010-08-17,2614076640
2010-08-18,2634340800
2010-08-19,2559073920
2010-08-20,2526265280
2010-08-23,2494421600
2010-08-24,2410470080
2010-08-25,2431699200
2010-08-26,2364152000
2010-08-27,2377661440
2010-08-30,2311079200
2010-08-31,2310114240
2010-09-01,2400820480
2010-09-02,2488631840
2010-09-03,2506966080
2010-09-07,2453893280
2010-09-08,2460648000
2010-09-09,2433629120
2010-09-10,2458718080
2010-09-13,2476087360
2010-09-14,2455823200
2010-09-15,2489596800
2010-09-16,2478982240
2010-09-17,2494421600
2010-09-20,2498281440
2010-09-21,2452928320
2010-09-22,2343887840
2010-09-23,2276340640
2010-09-24,2361257120
2010-09-27,2364152000
2010-09-28,2377661440
2010-09-29,2397925600
2010-09-30,2495386560
2010-10-01,2510825920
2010-10-04,2491286750
2010-10-05,2576425870
2010-10-06,2545466190
2010-10-07,2556108580
2010-10-08,2608353040
2010-10-11,2630605310
2010-10-12,2629637820
2010-10-13,2641247700
2010-10-14,2665434950
2010-10-15,2673174870
2010-10-18,2691557180
2010-10-19,2658662520
2010-10-20,2716711920
2010-10-21,2721549370
2010-10-22,2651890090
2010-10-25,2636410250
2010-10-26,2625767860
2010-10-27,2538693760
2010-10-28,2446782210
2010-10-29,2399375200
2010-11-01,2422594960
2010-11-02,2392602770
2010-11-03,2369383010
2010-11-04,2399375200
2010-11-05,2446782210
2010-11-08,2453554640
2010-11-09,2438074800
2010-11-10,2389700300
2010-11-11,2409050100
2010-11-12,2383895360
2010-11-15,2425497430
2010-11-16,2404212650
2010-11-17,2500961650
2010-11-18,2542563720
2010-11-19,2566750970
2010-11-22,2614157980
2010-11-23,2630605310
2010-11-24,2706069530
2010-11-26,2676077340
2010-11-29,2657695030
2010-11-30,2626735350
2010-12-01,2682849770
2010-12-02,2672207380
2010-12-03,2648020130
2010-12-06,2627702840
2010-12-07,2659630010
2010-12-08,2654792560
2010-12-09,2521278940
2010-12-10,2553206110
2010-12-13,2515474000
2010-12-14,2463229540
2010-12-15,2454522130
2010-12-16,2492254240
2010-12-17,2463229540
2010-12-20,2417757510
2010-12-21,2453554640
2010-12-22,2412920060
2010-12-23,2452587150
2010-12-27,2449684680
2010-12-28,2416790020
2010-12-29,2448717190
2010-12-30,2483546830
2010-12-31,2457424600
2011-01-03,2489138340
2011-01-04,2421102540
2011-01-05,2392916280
2011-01-06,2390972400
2011-01-07,2352094800
2011-01-10,2375421360
2011-01-11,2372505540
2011-01-12,2406523440
2011-01-13,2378337180
2011-01-14,2380281060
2011-01-18,2366673900
2011-01-19,2388056580
2011-01-20,2461924020
2011-01-21,2413327020
2011-01-24,2330712120
2011-01-25,2235462000
2011-01-26,2217967080
2011-01-27,2182977240
2011-01-28,2189780820
2011-01-31,2237405880
2011-02-01,2259760500
2011-02-02,2225742600
2011-02-03,2345291220
2011-02-04,2493026100
2011-02-07,2530931760
2011-02-08,2527044000
2011-02-09,2547454740
2011-02-10,2517324600
2011-02-11,2494969980
2011-02-14,2468727600
2011-02-15,2419158660
2011-02-16,2399719860
2011-02-17,2372505540
2011-02-18,2463867900
2011-02-22,2429850000
2011-02-23,2418186720
2011-02-24,2476503120
2011-02-25,2532875640
2011-02-28,2518296540
2011-03-01,2474559240
2011-03-02,2460952080
2011-03-03,2490110280
2011-03-04,2488166400
2011-03-07,2448316860
2011-03-08,2480390880
2011-03-09,2506633260
2011-03-10,2477475060
2011-03-11,2507605200
2011-03-14,2458036260
2011-03-15,2538707280
2011-03-16,2528987880
2011-03-17,2495941920
2011-03-18,2431793880
2011-03-21,2457064320
2011-03-22,2435681640
2011-03-23,2438597460
2011-03-24,2478447000
2011-03-25,2513436840
2011-03-28,2552314440
2011-03-29,2604799200
2011-03-30,2671863060
2011-03-31,2628125760
2011-04-01,2664087540
2011-04-04,2670563060
2011-04-05,2699824160
2011-04-06,2684218240
2011-04-07,2662760100
2011-04-08,2648129550
2011-04-11,2662760100
2011-04-12,2675439910
2011-04-13,2717380820
2011-04-14,2695922680
2011-04-15,2722257670
2011-04-18,2764198580
2011-04-19,2842228180
2011-04-20,3022671630
2011-04-21,3076316980
2011-04-25,3057784950
2011-04-26,3082169200
2011-04-27,3167026390
2011-04-28,3208967300
