,SLM
2000-06-27,2107215000
2000-06-28,2083801500
2000-06-29,2046339900
2000-06-30,2149523760
2000-07-03,2168802000
2000-07-05,2154343320
2000-07-06,2212178040
2000-07-07,2207358480
2000-07-10,2216997600
2000-07-11,2221817160
2000-07-12,2241095400
2000-07-13,2274832320
2000-07-14,2323027920
2000-07-17,2433877800
2000-07-18,2453156040
2000-07-19,2448336480
2000-07-20,2510990760
2000-07-21,2535088560
2000-07-24,2530269000
2000-07-25,2525449440
2000-07-26,2472434280
2000-07-27,2559186360
2000-07-28,2525449440
2000-07-31,2467614720
2000-08-01,2515810320
2000-08-02,2510990760
2000-08-03,2549547240
2000-08-04,2636299320
2000-08-07,2626660200
2000-08-08,2612201520
2000-08-09,2636299320
2000-08-10,2409780000
2000-08-11,2294110560
2000-08-14,2260373640
2000-08-15,2260373640
2000-08-16,2289291000
2000-08-17,2294110560
2000-08-18,2245914960
2000-08-21,2241095400
2000-08-22,2202538920
2000-08-23,2183260680
2000-08-24,2135065079
2000-08-25,2144704200
2000-08-28,2245914960
2000-08-29,2188080240
2000-08-30,2202538920
2000-08-31,2245914960
2000-09-01,2202538920
2000-09-05,2226636720
2000-09-06,2274832320
2000-09-07,2255554080
2000-09-08,2332667040
2000-09-11,2385682200
2000-09-12,2491712520
2000-09-13,2539908120
2000-09-14,2491712520
2000-09-15,2510990760
2000-09-18,2467614720
2000-09-19,2539908120
2000-09-20,2539908120
2000-09-21,2583284160
2000-09-22,2660397120
2000-09-25,2708592720
2000-09-26,2708592720
2000-09-27,2747149200
2000-09-28,2780886120
2000-09-29,2761607880
2000-10-02,2832195870
2000-10-03,2753931390
2000-10-04,2719690680
2000-10-05,2724582210
2000-10-06,2626751610
2000-10-09,2758822920
2000-10-10,2739256800
2000-10-11,2763714450
2000-10-12,2734365270
2000-10-13,2793063630
2000-10-16,2827304340
2000-10-17,2763714450
2000-10-18,2959375650
2000-10-19,3013182480
2000-10-20,2939809530
2000-10-23,2925134940
2000-10-24,3071880840
2000-10-25,3111013080
2000-10-26,3140362260
2000-10-27,3321348870
2000-10-30,3316457340
2000-10-31,3252867450
2000-11-01,3350698050
2000-11-02,3282216630
2000-11-03,3213735210
2000-11-06,3228409800
2000-11-07,3233301330
2000-11-08,3384938760
2000-11-09,3321348870
2000-11-10,3331131930
2000-11-13,3174602970
2000-11-14,3184386030
2000-11-15,3199060620
2000-11-16,3169711440
2000-11-17,3169711440
2000-11-20,3130579200
2000-11-21,3189277560
2000-11-22,3101230020
2000-11-24,3135470730
2000-11-27,3199060620
2000-11-28,3199060620
2000-11-29,3213735210
2000-11-30,3370264170
2000-12-01,3370264170
2000-12-04,3433854060
2000-12-05,3653972910
2000-12-06,3492552420
2000-12-07,3492552420
2000-12-08,3502335480
2000-12-11,3609949140
2000-12-12,3487660890
2000-12-13,3683322090
2000-12-14,3727345860
2000-12-15,3839851050
2000-12-18,3942573180
2000-12-19,3712671270
2000-12-20,3702888210
2000-12-21,3742020450
2000-12-22,3663755970
2000-12-26,3839851050
2000-12-27,3781152690
2000-12-28,3864308700
2000-12-29,3957247770
2001-01-02,3653972910
2001-01-03,3844742580
2001-01-04,3600166080
2001-01-05,3497443950
2001-01-08,3580599960
2001-01-09,3472986300
2001-01-10,3502335480
2001-01-11,3551250780
2001-01-12,3521901600
2001-01-16,3536576190
2001-01-17,3526793130
2001-01-18,3384938760
2001-01-19,3409396410
2001-01-22,3487660890
2001-01-23,3590383020
2001-01-24,3629515260
2001-01-25,3658864440
2001-01-26,3668647500
2001-01-29,3565925370
2001-01-30,3673539030
2001-01-31,3658864440
2001-02-01,3839851050
2001-02-02,3854525640
2001-02-05,3859417170
2001-02-06,3903440940
2001-02-07,3991488480
2001-02-08,3991488480
2001-02-09,4035512250
2001-02-12,4103993670
2001-02-13,4025729190
2001-02-14,4011054599
2001-02-15,4015946130
2001-02-16,4123559790
2001-02-20,4167583560
2001-02-21,4211607329
2001-02-22,4206715800
2001-02-23,4338787110
2001-02-26,4128451319
2001-02-27,4148017440
2001-02-28,4221390390
2001-03-01,4329004050
2001-03-02,4343678640
2001-03-05,4358353230
2001-03-06,4338787110
2001-03-07,4426834650
2001-03-08,4382810880
2001-03-09,4329004050
2001-03-12,4182258150
2001-03-13,4167583560
2001-03-14,4133342849
2001-03-15,4221390390
2001-03-16,4231173450
2001-03-19,4226281920
2001-03-20,4270305690
2001-03-21,4172475089
2001-03-22,4123559790
2001-03-23,4162692030
2001-03-26,4099102140
2001-03-27,4280088750
2001-03-28,4211607329
2001-03-29,4192041210
2001-03-30,4231173450
2001-04-02,4290876900
2001-04-03,4261949640
2001-04-04,4184810280
2001-04-05,4131776970
2001-04-06,4126955760
2001-04-09,4131776970
2001-04-10,4136598180
2001-04-11,4069101239
2001-04-12,4059458820
2001-04-16,4049816400
2001-04-17,4131776970
2001-04-18,4189631489
2001-04-19,4044995190
2001-04-20,3987140670
2001-04-23,3977498250
2001-04-24,3982319460
2001-04-25,4098028500
2001-04-26,4117313339
2001-04-27,4126955760
2001-04-30,4078743660
2001-05-01,4049816400
2001-05-02,3967855830
2001-05-03,3885895260
2001-05-04,4006425510
2001-05-07,3895537680
2001-05-08,3828040740
2001-05-09,3818398320
2001-05-10,3741258960
2001-05-11,3750901380
2001-05-14,3799113480
2001-05-15,3784649850
2001-05-16,3847325580
2001-05-17,3910001309
2001-05-18,3813577110
2001-05-21,3808755900
2001-05-22,3779828640
2001-05-23,3876252839
2001-05-24,3842504370
2001-05-25,3842504370
2001-05-29,3847325580
2001-05-30,3919643730
2001-05-31,4020889140
2001-06-01,3991961879
2001-06-04,3963034620
2001-06-05,3972677040
2001-06-06,3977498250
2001-06-07,4040173980
2001-06-08,4049816400
2001-06-11,4035352769
2001-06-12,4011246720
2001-06-13,4006425510
2001-06-14,3972677040
2001-06-15,3963034620
2001-06-18,3972677040
2001-06-19,4025710350
2001-06-20,4098028500
2001-06-21,4199273910
2001-06-22,4213737540
2001-06-25,4218558750
2001-06-26,4228201170
2001-06-27,4261949640
2001-06-28,4271592059
2001-06-29,4189631489
2001-07-02,4222149120
2001-07-03,4203300240
2001-07-05,4184451360
2001-07-06,4146753600
2001-07-09,4160890260
2001-07-10,4160890260
2001-07-11,4212724680
2001-07-12,4269271320
2001-07-13,4330530180
2001-07-16,4372940160
2001-07-17,4434199020
2001-07-18,4448335680
2001-07-19,4387076820
2001-07-20,4297544640
2001-07-23,4335242400
2001-07-24,4363515720
2001-07-25,4547292300
2001-07-26,4429486800
2001-07-27,4429486800
2001-07-30,4438911240
2001-07-31,4490745660
2001-08-01,4476609000
2001-08-02,4471896780
2001-08-03,4504882320
2001-08-06,4481321220
2001-08-07,4552004520
2001-08-08,4523731200
2001-08-09,4504882320
2001-08-10,4570853400
2001-08-13,4580277840
2001-08-14,4575565620
2001-08-15,4584990060
2001-08-16,4669810020
2001-08-17,4683946680
2001-08-20,4683946680
2001-08-21,4627400040
2001-08-22,4589702280
2001-08-23,4594414500
2001-08-24,4471896780
2001-08-27,4372940160
2001-08-28,4349379060
2001-08-29,4358803500
2001-08-30,4434199020
2001-08-31,4443623460
2001-09-04,4476609000
2001-09-05,4514306760
2001-09-06,4528443420
2001-09-07,4509594540
2001-09-10,4453047900
2001-09-17,4325817960
2001-09-18,4519018980
2001-09-19,4547292300
2001-09-20,4471896780
2001-09-21,4231573560
2001-09-24,4330530180
2001-09-25,4481321220
2001-09-26,4443623460
2001-09-27,4552004520
2001-09-28,4650961140
2001-10-01,4666410000
2001-10-02,4769071020
2001-10-03,4801735890
2001-10-04,4708407690
2001-10-05,4703741280
2001-10-08,4722406920
2001-10-09,4750405380
2001-10-10,4722406920
2001-10-11,4657077180
2001-10-12,4633745130
2001-10-15,4755071790
2001-10-16,4708407690
2001-10-17,4610413080
2001-10-18,4587081030
2001-10-19,4568415390
2001-10-22,4666410000
2001-10-23,4647744360
2001-10-24,4624412310
2001-10-25,4619745900
2001-10-26,4638411540
2001-10-29,4512418470
2001-10-30,4568415390
2001-10-31,4531084110
2001-11-01,4549749750
2001-11-02,4582414620
2001-11-05,4727073330
2001-11-06,4708407690
2001-11-07,4727073330
2001-11-08,4759738200
2001-11-09,4727073330
2001-11-12,4755071790
2001-11-13,4825067940
2001-11-14,4839067170
2001-11-15,4829734350
2001-11-16,4815735120
2001-11-19,4839067170
2001-11-20,4825067940
2001-11-21,4787736660
2001-11-23,4820401530
2001-11-26,4853066400
2001-11-27,4848399990
2001-11-28,4787736660
2001-11-29,4764404610
2001-11-30,4722406920
2001-12-03,4736406150
2001-12-04,4755071790
2001-12-05,4708407690
2001-12-06,4661743590
2001-12-07,4708407690
2001-12-10,4680409230
2001-12-11,4736406150
2001-12-12,4685075640
2001-12-13,4680409230
2001-12-14,4624412310
2001-12-17,4591747440
2001-12-18,4540416930
2001-12-19,4554416160
2001-12-20,4573081800
2001-12-21,4629078720
2001-12-24,4554416160
2001-12-26,4540416930
2001-12-27,4540416930
2001-12-28,4638411540
2001-12-31,4668870000
2002-01-02,4570823730
2002-01-03,4444764240
2002-01-04,4440095370
2002-01-07,4398075540
2002-01-08,4454101980
2002-01-09,4430757630
2002-01-10,4463439720
2002-01-11,4477446330
2002-01-14,4505459550
2002-01-15,4584830340
2002-01-16,4617512430
2002-01-17,4692214350
2002-01-18,4738903050
2002-01-22,4846287060
2002-01-23,4846287060
2002-01-24,4776254010
2002-01-25,4874300280
2002-01-28,4883638020
2002-01-29,4860293670
2002-01-30,5056386210
2002-01-31,5000359770
2002-02-01,4986353160
2002-02-04,4897644630
2002-02-05,4888306890
2002-02-06,4883638020
2002-02-07,4934995590
2002-02-08,5084399430
2002-02-11,5177776830
2002-02-12,5084399430
2002-02-13,5154432480
2002-02-14,5126419260
2002-02-15,5140425870
2002-02-19,5079730560
2002-02-20,5121750390
2002-02-21,5047048470
2002-02-22,5065723950
2002-02-25,5163770220
2002-02-26,5168439090
2002-02-27,5154432480
2002-02-28,5154432480
2002-03-01,5201121180
2002-03-04,5266485360
2002-03-05,5271154230
2002-03-06,5285160840
2002-03-07,5229134400
2002-03-08,5159101350
2002-03-11,5196452310
2002-03-12,5261816490
2002-03-13,5229134400
2002-03-14,5261816490
2002-03-15,5378538240
2002-03-18,5341187280
2002-03-19,5322511800
2002-03-20,5285160840
2002-03-21,5280491970
2002-03-22,5331849540
2002-03-25,5289829710
2002-03-26,5369200500
2002-03-27,5443902420
2002-03-28,5434564680
2002-04-01,5360451480
2002-04-02,5355822420
2002-04-03,5314160880
2002-04-04,5277128400
2002-04-05,5249354040
2002-04-08,5207692500
2002-04-09,5300273700
2002-04-10,5355822420
2002-04-11,5341935240
2002-04-12,5337306180
2002-04-15,5235466860
2002-04-16,5355822420
2002-04-17,5156772840
2002-04-18,5207692500
2002-04-19,5295644640
2002-04-22,5314160880
2002-04-23,5360451480
2002-04-24,5374338660
2002-04-25,5318789940
2002-04-26,5267870280
2002-04-29,5221579680
2002-04-30,5281757460
2002-05-01,5263241220
2002-05-02,5300273700
2002-05-03,5323419000
2002-05-06,5286386520
2002-05-07,5332677120
2002-05-08,5383596780
2002-05-09,5392854900
2002-05-10,5337306180
2002-05-13,5397483960
2002-05-14,5480807040
2002-05-15,5411371140
2002-05-16,5476177980
2002-05-17,5485436100
2002-05-20,5397483960
2002-05-21,5388225840
2002-05-22,5434516440
2002-05-23,5402113020
2002-05-24,5318789940
2002-05-28,5314160880
2002-05-29,5355822420
2002-05-30,5337306180
2002-05-31,5314160880
2002-06-03,5179918140
2002-06-04,5138256600
2002-06-05,5235466860
2002-06-06,5230837800
2002-06-07,5207692500
2002-06-10,5184547200
2002-06-11,5064191640
2002-06-12,5133627540
2002-06-13,5068820700
2002-06-14,5050304460
2002-06-17,5156772840
2002-06-18,5230837800
2002-06-19,5253983100
2002-06-20,5230837800
2002-06-21,5138256600
2002-06-24,5189176260
2002-06-25,5175289080
2002-06-26,5189176260
2002-06-27,5341935240
2002-06-28,5337306180
2002-07-01,5211096700
2002-07-02,5017409920
2002-07-03,4948236070
2002-07-05,5091195360
2002-07-08,5017409920
2002-07-09,4943624480
2002-07-10,4939012890
2002-07-11,4966682430
2002-07-12,4897508580
2002-07-15,4828334730
2002-07-16,4860615860
2002-07-17,4722268160
2002-07-18,4634647950
2002-07-19,4611590000
2002-07-22,4542416150
2002-07-23,4459407530
2002-07-24,4662317490
2002-07-25,4653094310
2002-07-26,4777607240
2002-07-29,4943624480
2002-07-30,4939012890
2002-07-31,4994351970
2002-08-01,5086583770
2002-08-02,5063525820
2002-08-05,4883673810
2002-08-06,4906731760
2002-08-07,4883673810
2002-08-08,5031244690
2002-08-09,5091195360
2002-08-12,5068137410
2002-08-13,5077360590
2002-08-14,5266435780
2002-08-15,5238766240
2002-08-16,5234154650
2002-08-19,5354055990
2002-08-20,5354055990
2002-08-21,5155757620
2002-08-22,5151146030
2002-08-23,5035856280
2002-08-26,5054302640
2002-08-27,4985128790
2002-08-28,5035856280
2002-08-29,5072749000
2002-08-30,5031244690
2002-09-03,4934401300
2002-09-04,5063525820
2002-09-05,5068137410
2002-09-06,5077360590
2002-09-09,5201873520
2002-09-10,5188038750
2002-09-11,5238766240
2002-09-12,5243377830
2002-09-13,5427841430
2002-09-16,5307940090
2002-09-17,5178815570
2002-09-18,5118864900
2002-09-19,5077360590
2002-09-20,5026633100
2002-09-23,5160369210
2002-09-24,4980517200
2002-09-25,4998963560
2002-09-26,5072749000
2002-09-27,5058914230
2002-09-30,5057304719
2002-10-01,5285522441
2002-10-02,5203364061
2002-10-03,5125770036
2002-10-04,5057304719
2002-10-07,5098383909
2002-10-08,5299215504
2002-10-09,5134898745
2002-10-10,5112076972
2002-10-11,5244443251
2002-10-14,5290086795
2002-10-15,5349423403
2002-10-16,5280958087
2002-10-17,5472660973
2002-10-18,5710007404
2002-10-21,5678056923
2002-10-22,5714571758
2002-10-23,5805858847
2002-10-24,5659799505
2002-10-25,5764779657
2002-10-28,5668928214
2002-10-29,5545690644
2002-10-30,5605027252
2002-10-31,5582205480
2002-11-01,5591334189
2002-11-04,5577641125
2002-11-05,5636977733
2002-11-06,5636977733
2002-11-07,5600462897
2002-11-08,5614155961
2002-11-11,5573076771
2002-11-12,5541126290
2002-11-13,5568512416
2002-11-14,5668928214
2002-11-15,5700878695
2002-11-18,5586769834
2002-11-19,5700878695
2002-11-20,5700878695
2002-11-21,5646106442
2002-11-22,5353987758
2002-11-25,5472660973
2002-11-26,5312908568
2002-11-27,5294651150
2002-11-29,5308344213
2002-12-02,5431581783
2002-12-03,5509175809
2002-12-04,5472660973
2002-12-05,5454403555
2002-12-06,5468096619
2002-12-09,5422453074
2002-12-10,5531997581
2002-12-11,5586769834
2002-12-12,5463532264
2002-12-13,5509175809
2002-12-16,5586769834
2002-12-17,5682621277
2002-12-18,5632413378
2002-12-19,5655235151
2002-12-20,5732829176
2002-12-23,5687185632
2002-12-24,5659799505
2002-12-26,5751086594
2002-12-27,5641542087
2002-12-30,5673492568
2002-12-31,5643353520
2003-01-02,5707275000
2003-01-03,5734669920
2003-01-06,5844249600
2003-01-07,5752933200
2003-01-08,5798591400
2003-01-09,5784893940
2003-01-10,5857947060
2003-01-13,5743801560
2003-01-14,5839683780
2003-01-15,5707275000
2003-01-16,5743801560
2003-01-17,5976658380
2003-01-21,5917302720
2003-01-22,5803157220
2003-01-23,5839683780
2003-01-24,5670748440
2003-01-27,5652485160
2003-01-28,5739235740
2003-01-29,5816854680
2003-01-30,5720972460
2003-01-31,5771196480
2003-02-03,5702709180
2003-02-04,5657050980
2003-02-05,5579432040
2003-02-06,5515510560
2003-02-07,5565734580
2003-02-10,5711840820
2003-02-11,5657050980
2003-02-12,5734669920
2003-02-13,5693577540
2003-02-14,5857947060
2003-02-18,5812288860
2003-02-19,5862512880
2003-02-20,5839683780
2003-02-21,5880776160
2003-02-24,5807723040
2003-02-25,5889907800
2003-02-26,5926434360
2003-02-27,5921868540
2003-02-28,5917302720
2003-03-03,5871644520
2003-03-04,5853381240
2003-03-05,5885341980
2003-03-06,5798591400
2003-03-07,5698143360
2003-03-10,5561168760
2003-03-11,5661616800
2003-03-12,5730104100
2003-03-13,5871644520
2003-03-14,5894473620
2003-03-17,5958395100
2003-03-18,5912736900
2003-03-19,5985790020
2003-03-20,5962960920
2003-03-21,6131896260
2003-03-24,6058843140
2003-03-25,6095369700
2003-03-26,6045145680
2003-03-27,6109067160
2003-03-28,6086238060
2003-03-31,5968696800
2003-04-01,6099827260
2003-04-02,6149566400
2003-04-03,6199305540
2003-04-04,6131479440
2003-04-07,6113392480
2003-04-08,6163131620
2003-04-09,6090783780
2003-04-10,6131479440
2003-04-11,6140522920
2003-04-14,6194783800
2003-04-15,6267131640
2003-04-16,6167653360
2003-04-17,6190262060
2003-04-21,6158609880
2003-04-22,6226435980
2003-04-23,6230957720
2003-04-24,6122435960
2003-04-25,6090783780
2003-04-28,6136001180
2003-04-29,6059131600
2003-04-30,6027479420
2003-05-01,6036522900
2003-05-02,6176696840
2003-05-05,6194783800
2003-05-06,6126957700
2003-05-07,6104349000
2003-05-08,5973218540
2003-05-09,5882783740
2003-05-12,6045566380
2003-05-13,6086262040
2003-05-14,6036522900
2003-05-15,6041044640
2003-05-16,6068175080
2003-05-19,6054609860
2003-05-20,6122435960
2003-05-21,6072696820
2003-05-22,6126957700
2003-05-23,6126957700
2003-05-27,6140522920
2003-05-28,6203827280
2003-05-29,6185740320
2003-05-30,6457044720
2003-06-02,6348522960
2003-06-03,6475131680
2003-06-04,6511305600
2003-06-05,6529392560
2003-06-06,6542957780
2003-06-09,6429914280
2003-06-10,6448001240
2003-06-11,6511305600
2003-06-12,6588175180
2003-06-13,6696696940
2003-06-16,6882088280
2003-06-17,6818783920
2003-06-18,6741914340
2003-06-19,6628870840
2003-06-20,6497740380
2003-06-23,6416349060
2003-06-24,6457044720
2003-06-25,6443479500
2003-06-26,6479653420
2003-06-27,6484175160
2003-06-30,6301135500
2003-07-01,6535512500
2003-07-02,6765382250
2003-07-03,6724817000
2003-07-07,6823976500
2003-07-08,6720309750
2003-07-09,6639179250
2003-07-10,6679744500
2003-07-11,6639179250
2003-07-14,6747353250
2003-07-15,6715802500
2003-07-16,6589599500
2003-07-17,6531005250
2003-07-18,6612135750
2003-07-21,6648193750
2003-07-22,6783411250
2003-07-23,6724817000
2003-07-24,6594106750
2003-07-25,6679744500
2003-07-28,6639179250
2003-07-29,6666222750
2003-07-30,6702280750
2003-07-31,6670730000
2003-08-01,6589599500
2003-08-04,6630164750
2003-08-05,6553541500
2003-08-06,6521990750
2003-08-07,6648193750
2003-08-08,6657208250
2003-08-11,6630164750
2003-08-12,6648193750
2003-08-13,6585092250
2003-08-14,6603121250
2003-08-15,6571570500
2003-08-18,6612135750
2003-08-19,6675237250
2003-08-20,6652701000
2003-08-21,6553541500
2003-08-22,6427338500
2003-08-25,6373251500
2003-08-26,6476918250
2003-08-27,6490440000
2003-08-28,6485932750
2003-08-29,6463396500
2003-09-02,6436353000
2003-09-03,6427338500
2003-09-04,6472411000
2003-09-05,6440860250
2003-09-08,6319164500
2003-09-09,6269584750
2003-09-10,6201976000
2003-09-11,6220005000
2003-09-12,6093802000
2003-09-15,6098309250
2003-09-16,6247048500
2003-09-17,6310150000
2003-09-18,6404802250
2003-09-19,6382266000
2003-09-22,6364237000
2003-09-23,6436353000
2003-09-24,6431845750
2003-09-25,6224512250
2003-09-26,6292121000
2003-09-29,6328179000
2003-09-30,6157456240
2003-10-01,6338948480
2003-10-02,6259268960
2003-10-03,6290255440
2003-10-06,6170736160
2003-10-07,6068923440
2003-10-08,6144176320
2003-10-09,6091056640
2003-10-10,5989243920
2003-10-13,6068923440
2003-10-14,5958257440
2003-10-15,5936124240
2003-10-16,6033510320
2003-10-17,6192869360
2003-10-20,6117616480
2003-10-21,6095483280
2003-10-22,6144176320
2003-10-23,6285828800
2003-10-24,6259268960
2003-10-27,6228282480
2003-10-28,6245989040
2003-10-29,6276975520
2003-10-30,6276975520
2003-10-31,6188442720
2003-11-03,6215002560
2003-11-04,6139749680
2003-11-05,6325668560
2003-11-06,6281402160
2003-11-07,6153029600
2003-11-10,6148602960
2003-11-11,6130896400
2003-11-12,6215002560
2003-11-13,6144176320
2003-11-14,6020230400
2003-11-17,5980390640
2003-11-18,5838738160
2003-11-19,5958257440
2003-11-20,5989243920
2003-11-21,6011377120
2003-11-24,6029083680
2003-11-25,5927270960
2003-11-26,5887431200
2003-11-28,5869724640
2003-12-01,5807751680
2003-12-02,5816604960
2003-12-03,5940550880
2003-12-04,5927270960
2003-12-05,5989243920
2003-12-08,5949404160
2003-12-09,5891857840
2003-12-10,5891857840
2003-12-11,5763485280
2003-12-12,5767911920
2003-12-15,5794471760
2003-12-16,5701512320
2003-12-17,5701512320
2003-12-18,5639539360
2003-12-19,5816604960
2003-12-22,5927270960
2003-12-23,6037936960
2003-12-24,5998097200
2003-12-26,5984817280
2003-12-29,6108763200
2003-12-30,5962684080
2003-12-31,5953830800
2004-01-02,5852018080
2004-01-05,5909564400
2004-01-06,5931697600
2004-01-07,5905137760
2004-01-08,5975964000
2004-01-09,5984817280
2004-01-12,5962684080
2004-01-13,6068923440
2004-01-14,6113189840
2004-01-15,6051216880
2004-01-16,5993670560
2004-01-20,5927270960
2004-01-21,5927270960
2004-01-22,5980390640
2004-01-23,5989243920
2004-01-26,6082203360
2004-01-27,6020230400
2004-01-28,5984817280
2004-01-29,5984817280
2004-01-30,6068923440
2004-02-02,6201722640
2004-02-03,6365508320
2004-02-04,6325668560
2004-02-05,6250415680
2004-02-06,6343375120
2004-02-09,6369934960
2004-02-10,6365508320
2004-02-11,6449614480
2004-02-12,6440761200
2004-02-13,6427481280
2004-02-17,6507160800
2004-02-18,6498307520
2004-02-19,6502734160
2004-02-20,6493880880
2004-02-23,6529294000
2004-02-24,6542573920
2004-02-25,6573560400
2004-02-26,6569133760
2004-02-27,6617826800
2004-03-01,6644386640
2004-03-02,6617826800
2004-03-03,6635533360
2004-03-04,6666519840
2004-03-05,6759479280
2004-03-08,6737346080
2004-03-09,6679799760
2004-03-10,6644386640
2004-03-11,6476174320
2004-03-12,6476174320
2004-03-15,6485027600
2004-03-16,6458467760
2004-03-17,6480600960
2004-03-18,6489454240
2004-03-19,6458467760
2004-03-22,6471747680
2004-03-23,6418628000
2004-03-24,6392068160
2004-03-25,6387641520
2004-03-26,6338948480
2004-03-29,6436334560
2004-03-30,6551427200
2004-03-31,6572120940
2004-04-01,6607313020
2004-04-02,6580918960
2004-04-05,6629308070
2004-04-06,6585317970
2004-04-07,6589716980
2004-04-08,6589716980
2004-04-12,6638106090
2004-04-13,6484140740
2004-04-14,6378564500
2004-04-15,6228998160
2004-04-16,6097027860
2004-04-19,6031042710
2004-04-20,5947461520
2004-04-21,5868279340
2004-04-22,5965057560
2004-04-23,6057436770
2004-04-26,5987052610
2004-04-27,5991451620
2004-04-28,5991451620
2004-04-29,6053037760
2004-04-30,6017845680
2004-05-03,6075032810
2004-05-04,6017845680
2004-05-05,6009047660
2004-05-06,6044239740
2004-05-07,5907870430
2004-05-10,5991451620
2004-05-11,6035441720
2004-05-12,6009047660
2004-05-13,6092628850
2004-05-14,6163013010
2004-05-17,6057436770
2004-05-18,6022244690
2004-05-19,5995850630
2004-05-20,5991451620
2004-05-21,5991451620
2004-05-24,5978254590
2004-05-25,5951860530
2004-05-26,5951860530
2004-05-27,6031042710
2004-05-28,6017845680
2004-06-01,6000249640
2004-06-02,5991451620
2004-06-03,5921067460
2004-06-04,6013446670
2004-06-07,5995850630
2004-06-08,6009047660
2004-06-09,5951860530
2004-06-10,5965057560
2004-06-14,6000249640
2004-06-15,6088229840
2004-06-16,6149815980
2004-06-17,6211402120
2004-06-18,6220200140
2004-06-21,6233397170
2004-06-22,6272988260
2004-06-23,6299382320
2004-06-24,6347771430
2004-06-25,6400559550
2004-06-28,6343372420
2004-06-29,6387362520
2004-06-30,6292432160
2004-07-01,6270643960
2004-07-02,6126841840
2004-07-06,6061477240
2004-07-07,6070192520
2004-07-08,5965609160
2004-07-09,5904602200
2004-07-12,5956893880
2004-07-13,5908959840
2004-07-14,5904602200
2004-07-15,6026616120
2004-07-16,6009185560
2004-07-19,6000470280
2004-07-20,6057119600
2004-07-21,5983039720
2004-07-22,5926390400
2004-07-23,5756442440
2004-07-26,5773873000
2004-07-27,5782588280
2004-07-28,5765157720
2004-07-29,5804376480
2004-07-30,5900244560
2004-08-02,5948178600
2004-08-03,5978682080
2004-08-04,5961251520
2004-08-05,5813091760
2004-08-06,5887171640
2004-08-09,5852310520
2004-08-10,5891529280
2004-08-11,5891529280
2004-08-12,5956893880
2004-08-13,5895886920
2004-08-16,5987397360
2004-08-17,5956893880
2004-08-18,6096338360
2004-08-19,6065834880
2004-08-20,6170418240
2004-08-23,6161702960
