,STZ
2001-02-20,1333329280
2001-02-21,1308576880
2001-02-22,1297025760
2001-02-23,1287124800
2001-02-26,1318477840
2001-02-27,1308576880
2001-02-28,1316827680
2001-03-01,1311877200
2001-03-02,1310227040
2001-03-05,1336629600
2001-03-06,1338279760
2001-03-07,1343230240
2001-03-08,1412536960
2001-03-09,1438939520
2001-03-12,1425738240
2001-03-13,1430688720
2001-03-14,1417487440
2001-03-15,1429038560
2001-03-16,1430688720
2001-03-19,1404286160
2001-03-20,1405936320
2001-03-21,1396035360
2001-03-22,1371282960
2001-03-23,1371282960
2001-03-26,1384484240
2001-03-27,1399335680
2001-03-28,1392735040
2001-03-29,1422437919
2001-03-30,1480193520
2001-04-02,1476893200
2001-04-03,1473592880
2001-04-04,1495044960
2001-04-05,1523097680
2001-04-06,1516497040
2001-04-09,1480193520
2001-04-10,1463691919
2001-04-11,1412536960
2001-04-12,1396035360
2001-04-16,1424088080
2001-04-17,1420787760
2001-04-18,1417487440
2001-04-19,1407586480
2001-04-20,1346530560
2001-04-23,1336629600
2001-04-24,1292075280
2001-04-25,1321778160
2001-04-26,1341580080
2001-04-27,1354781360
2001-04-30,1346530560
2001-05-01,1379533760
2001-05-02,1348180720
2001-05-03,1387784560
2001-05-04,1402636000
2001-05-07,1409236639
2001-05-08,1410886800
2001-05-09,1389434720
2001-05-10,1377883600
2001-05-11,1386134400
2001-05-14,1425738240
2001-05-15,1450490639
2001-05-16,1521447520
2001-05-17,1564351680
2001-05-18,1529698320
2001-05-21,1608906000
2001-05-22,1589104080
2001-05-23,1575902800
2001-05-24,1567652000
2001-05-25,1577552960
2001-05-29,1570952320
2001-05-30,1630358080
2001-05-31,1638876960
2001-06-01,1689773760
2001-06-04,1701649680
2001-06-05,1696560000
2001-06-06,1659235680
2001-06-07,1694863440
2001-06-08,1674504719
2001-06-11,1598159520
2001-06-12,1577800800
2001-06-13,1616821680
2001-06-14,1654146000
2001-06-15,1684684080
2001-06-18,1715222160
2001-06-19,1728794640
2001-06-20,1823802000
2001-06-21,1659235680
2001-06-22,1659235680
2001-06-25,1659235680
2001-06-26,1647359760
2001-06-27,1591373280
2001-06-28,1671111600
2001-06-29,1738974000
2001-07-02,1810229520
2001-07-03,1813622640
2001-07-05,1789870800
2001-07-06,1764422400
2001-07-09,1779691440
2001-07-10,1738974000
2001-07-11,1818712320
2001-07-12,1769512080
2001-07-13,1774601760
2001-07-16,1825498560
2001-07-17,1856036640
2001-07-18,1849250400
2001-07-19,1849250400
2001-07-20,1832284800
2001-07-23,1845857280
2001-07-24,1813622640
2001-07-25,1808532960
2001-07-26,1749153360
2001-07-27,1803443280
2001-07-30,1805139840
2001-07-31,1786477680
2001-08-01,1815319199
2001-08-02,1861126320
2001-08-03,1847553840
2001-08-06,1842464160
2001-08-07,1813622640
2001-08-08,1842464160
2001-08-09,1844160719
2001-08-10,1859429760
2001-08-13,1840767600
2001-08-14,1830588239
2001-08-15,1866216000
2001-08-16,1884878160
2001-08-17,1915416239
2001-08-20,1951044000
2001-08-21,1937471520
2001-08-22,1908630000
2001-08-23,1898450640
2001-08-24,1884878160
2001-08-27,1781388000
2001-08-28,1825498560
2001-08-29,1803443280
2001-08-30,1789870800
2001-08-31,1839652440
2001-09-04,1877869960
2001-09-05,1803172080
2001-09-06,1683308040
2001-09-07,1676359400
2001-09-10,1650302000
2001-09-17,1704153960
2001-09-18,1695468160
2001-09-19,1671147919
2001-09-20,1599924360
2001-09-21,1572129800
2001-09-24,1650302000
2001-09-25,1698942480
2001-09-26,1780589000
2001-09-27,1817069360
2001-09-28,1810120720
2001-10-01,1782326160
2001-10-02,1824018000
2001-10-03,1954305000
2001-10-04,1867447000
2001-10-05,1832703800
2001-10-08,1853549720
2001-10-09,1862235520
2001-10-10,1923036120
2001-10-11,1884818600
2001-10-12,1874395639
2001-10-15,1924773280
2001-10-16,1910876000
2001-10-17,1884818600
2001-10-18,1877869960
2001-10-19,1905664520
2001-10-22,1891767240
2001-10-23,1855286880
2001-10-24,1862235520
2001-10-25,1865709840
2001-10-26,1917824639
2001-10-29,1862235520
2001-10-30,1827492320
2001-10-31,1782326160
2001-11-01,1817069360
2001-11-02,1837915280
2001-11-05,1896978720
2001-11-06,1886555760
2001-11-07,1874395639
2001-11-08,1843126760
2001-11-09,1784063320
2001-11-12,1775377520
2001-11-13,1714576919
2001-11-14,1660724960
2001-11-15,1721525560
2001-11-16,1726737040
2001-11-19,1735422840
2001-11-20,1731948520
2001-11-21,1730211360
2001-11-23,1745845800
2001-11-26,1660724960
2001-11-27,1606873000
2001-11-28,1629456080
2001-11-29,1612084480
2001-11-30,1663841120
2001-12-03,1688438560
2001-12-04,1697223360
2001-12-05,1702494240
2001-12-06,1785071360
2001-12-07,1714792960
2001-12-10,1742904320
2001-12-11,1720063839
2001-12-12,1746418240
2001-12-13,1772772640
2001-12-14,1751689120
2001-12-17,1713036000
2001-12-18,1758716960
2001-12-19,1832509280
2001-12-20,1832509280
2001-12-21,1888732000
2001-12-24,1888732000
2001-12-26,1841294080
2001-12-27,1858863680
2001-12-28,1846564960
2001-12-31,1881704160
2002-01-02,1878190240
2002-01-03,1894002880
2002-01-04,1934412960
2002-01-07,2018747040
2002-01-08,2078483680
2002-01-09,2097810240
2002-01-10,2104838080
2002-01-11,2115379839
2002-01-14,2032802720
2002-01-15,2043344480
2002-01-16,2064428000
2002-01-17,2057400160
2002-01-18,2104838080
2002-01-22,2134706400
2002-01-23,2124164640
2002-01-24,2018747040
2002-01-25,2064428000
2002-01-28,2080240640
2002-01-29,2074969760
2002-01-30,2069698880
2002-01-31,2103081120
2002-02-01,2087268480
2002-02-04,2083754560
2002-02-05,2053886240
2002-02-06,2108352000
2002-02-07,2192686080
2002-02-08,2201470880
2002-02-11,2236610080
2002-02-12,2240124000
2002-02-13,2157546880
2002-02-14,2134706400
2002-02-15,2187415200
2002-02-19,2185658240
2002-02-20,2125921600
2002-02-21,2197956960
2002-02-22,2236610080
2002-02-25,2277020160
2002-02-26,2277020160
2002-02-27,2363111200
2002-02-28,2414807100
2002-03-01,2299308600
2002-03-04,2359723200
2002-03-05,2354392500
2002-03-06,2393484300
2002-03-07,2322408300
2002-03-08,2318854500
2002-03-11,2327739000
2002-03-12,2345508000
2002-03-13,2350838700
2002-03-14,2354392500
2002-03-15,2368607700
2002-03-18,2386376700
2002-03-19,2361500100
2002-03-20,2354392500
2002-03-21,2331292800
2002-03-22,2311746900
2002-03-25,2297531700
2002-03-26,2327739000
2002-03-27,2391707400
2002-03-28,2441460600
2002-04-01,2432576100
2002-04-02,2445014400
2002-04-03,2384599800
2002-04-04,2436129900
2002-04-05,2393484300
2002-04-08,2443237500
2002-04-09,2427245400
2002-04-10,2457452700
2002-04-11,2427245400
2002-04-12,2487660000
2002-04-15,2507205900
2002-04-16,2519644200
2002-04-17,2510759700
2002-04-18,2507205900
2002-04-19,2576505000
2002-04-22,2565843600
2002-04-23,2551628400
2002-04-24,2565843600
2002-04-25,2551628400
2002-04-26,2548074600
2002-04-29,2565843600
2002-04-30,2683119000
2002-05-01,2743533600
2002-05-02,2720433900
2002-05-03,2718657000
2002-05-06,2716880100
2002-05-07,2748864300
2002-05-08,2720433900
2002-05-09,2709772500
2002-05-10,2684895900
2002-05-13,2679565200
2002-05-14,2553405300
2002-05-15,2530305600
2002-05-16,2548074600
2002-05-17,2475221700
2002-05-20,2480552400
2002-05-21,2434353000
2002-05-22,2473444800
2002-05-23,2461006500
2002-05-24,2436129900
2002-05-28,2432576100
2002-05-29,2523198000
2002-05-30,2576505000
2002-05-31,2644090680
2002-06-03,2586688440
2002-06-04,2618977200
2002-06-05,2636915400
2002-06-06,2636915400
2002-06-07,2665616520
2002-06-10,2662028880
2002-06-11,2527492380
2002-06-12,2577719340
2002-06-13,2549018220
2002-06-14,2516729460
2002-06-17,2575925520
2002-06-18,2547224400
2002-06-19,2462914860
2002-06-20,2471883960
2002-06-21,2400131160
2002-06-24,2358873300
2002-06-25,2405512620
2002-06-26,2466502500
2002-06-27,2834235600
2002-06-28,2870112000
2002-07-01,2780421000
2002-07-02,2638709220
2002-07-03,2665616520
2002-07-05,2699699100
2002-07-08,2663822700
2002-07-09,2728400220
2002-07-10,2622564840
2002-07-11,2583100800
2002-07-12,2624358660
2002-07-15,2466502500
2002-07-16,2479059240
2002-07-17,2498791260
2002-07-18,2498791260
2002-07-19,2362460940
2002-07-22,2367842400
2002-07-23,2226130620
2002-07-24,2339141280
2002-07-25,2439595200
2002-07-26,2457533400
2002-07-29,2584894620
2002-07-30,2559781140
2002-07-31,2577719340
2002-08-01,2518523280
2002-08-02,2511348000
2002-08-05,2523904740
2002-08-06,2626152480
2002-08-07,2654853600
2002-08-08,2699699100
2002-08-09,2703286740
2002-08-12,2683554720
2002-08-13,2703286740
2002-08-14,2627946300
2002-08-15,2620771020
2002-08-16,2676379440
2002-08-19,2669204160
2002-08-20,2629740120
2002-08-21,2653059780
2002-08-22,2554399680
2002-08-23,2550812040
2002-08-26,2581306980
2002-08-27,2500585080
2002-08-28,2434213740
2002-08-29,2529286200
2002-08-30,2549018220
2002-09-03,2483882500
2002-09-04,2529044000
2002-09-05,2474850200
2002-09-06,2518205240
2002-09-09,2552527980
2002-09-10,2610334700
2002-09-11,2619367000
2002-09-12,2579624880
2002-09-13,2642850980
2002-09-16,2651883280
2002-09-17,2619367000
2002-09-18,2597689480
2002-09-19,2566979660
2002-09-20,2566979660
2002-09-23,2227365180
2002-09-24,2164139080
2002-09-25,2305042960
2002-09-26,2052138560
2002-09-27,2100912980
2002-09-30,2086461300
2002-10-01,2122590500
2002-10-02,2185816600
2002-10-03,2167752000
2002-10-04,2109945280
2002-10-07,2158719700
2002-10-08,2120784040
2002-10-09,2019622280
2002-10-10,2100912980
2002-10-11,2077429000
2002-10-14,2209300580
2002-10-15,2247236240
2002-10-16,2174977840
2002-10-17,2198461820
2002-10-18,2193042440
2002-10-21,2184010140
2002-10-22,2249042700
2002-10-23,2267107300
2002-10-24,2241816860
2002-10-25,2303236500
2002-10-28,2290591280
2002-10-29,2265300840
2002-10-30,2285171900
2002-10-31,2288784820
2002-11-01,2258075000
2002-11-04,2075622540
2002-11-05,2041299800
2002-11-06,2075622540
2002-11-07,2090074220
2002-11-08,2100912980
2002-11-11,2093687140
2002-11-12,2100912980
2002-11-13,2137042180
2002-11-14,2173171380
2002-11-15,2240010400
2002-11-18,2180397220
2002-11-19,2146074480
2002-11-20,2158719700
2002-11-21,2173171380
2002-11-22,2198461820
2002-11-25,2144268019
2002-11-26,2108138820
2002-11-27,2173171380
2002-11-29,2124396960
2002-12-02,2061441480
2002-12-03,2150203020
2002-12-04,2238964560
2002-12-05,2228095800
2002-12-06,2240776020
2002-12-09,2173752000
2002-12-10,2146580100
2002-12-11,2126654040
2002-12-12,2141145720
2002-12-13,2199112440
2002-12-16,2233530180
2002-12-17,2202735360
2002-12-18,2200923900
2002-12-19,2200923900
2002-12-20,2197300980
2002-12-23,2195489520
2002-12-24,2171940540
2002-12-26,2170129080
2002-12-27,2128465500
2002-12-30,2155637400
2002-12-31,2148391560
2003-01-02,2231718720
2003-01-03,2110350900
2003-01-06,2072310240
2003-01-07,2231718720
2003-01-08,2184620760
2003-01-09,2237153100
2003-01-10,2260702080
2003-01-13,2277005220
2003-01-14,2296931280
2003-01-15,2260702080
2003-01-16,2244398940
2003-01-17,2300554200
2003-01-21,2360332380
2003-01-22,2351275080
2003-01-23,2354898000
2003-01-24,2327726100
2003-01-27,2302365660
2003-01-28,2277005220
2003-01-29,2260702080
2003-01-30,2237153100
2003-01-31,2271570840
2003-02-03,2264325000
2003-02-04,2296931280
2003-02-05,2271570840
2003-02-06,2238964560
2003-02-07,2219038500
2003-02-10,2231718720
2003-02-11,2224472880
2003-02-12,2219038500
2003-02-13,2209981200
2003-02-14,2242587480
2003-02-18,2251644780
2003-02-19,2231718720
2003-02-20,2237153100
2003-02-21,2235341640
2003-02-24,2197300980
2003-02-25,2199112440
2003-02-26,2188243680
2003-02-27,2226284340
2003-02-28,2288563200
2003-03-03,2288563200
2003-03-04,2238408000
2003-03-05,2219832000
2003-03-06,2165961600
2003-03-07,2141812800
2003-03-10,2110233600
2003-03-11,2117664000
2003-03-12,2182680000
2003-03-13,2178964800
2003-03-14,2165961600
2003-03-17,2173392000
2003-03-18,2154816000
2003-03-19,2169676800
2003-03-20,2160388800
2003-03-21,2143670399
2003-03-24,2139955200
2003-03-25,2145528000
2003-03-26,2160388800
2003-03-27,2043360000
2003-03-28,2076796800
2003-03-31,2108376000
2003-04-01,2145528000
2003-04-02,2191968000
2003-04-03,2182680000
2003-04-04,2232835200
2003-04-07,2154816000
2003-04-08,2173392000
2003-04-09,2152958400
2003-04-10,2312712000
2003-04-11,2322000000
2003-04-14,2364724800
2003-04-15,2392588800
2003-04-16,2338718400
2003-04-17,2340576000
2003-04-21,2346148800
2003-04-22,2398161600
2003-04-23,2396304000
2003-04-24,2349864000
2003-04-25,2357294400
2003-04-28,2426025600
2003-04-29,2487326400
2003-04-30,2491041600
2003-05-01,2500329600
2003-05-02,2470608000
2003-05-05,2427883200
2003-05-06,2459462400
2003-05-07,2511475200
2003-05-08,2543054400
2003-05-09,2535624000
2003-05-12,2524478400
2003-05-13,2500329600
2003-05-14,2452032000
2003-05-15,2433456000
2003-05-16,2414880000
2003-05-19,2424168000
2003-05-20,2463177600
2003-05-21,2487326400
2003-05-22,2479896000
2003-05-23,2494756800
2003-05-27,2483611200
2003-05-28,2494756800
2003-05-29,2531908800
2003-05-30,2561630400
2003-06-02,2446276560
2003-06-03,2453196720
2003-06-04,2456656800
2003-06-05,2425516080
2003-06-06,2463576960
2003-06-09,2430706200
2003-06-10,2499907800
2003-06-11,2551809000
2003-06-12,2563919280
2003-06-13,2595060000
2003-06-16,2678101920
2003-06-17,2615820480
2003-06-18,2646961200
2003-06-19,2622740640
2003-06-20,2607170280
2003-06-23,2520668280
2003-06-24,2499907800
2003-06-25,2551809000
2003-06-26,2638311000
2003-06-27,2643501120
2003-06-30,2716162800
2003-07-01,2660801520
2003-07-02,2544888840
2003-07-03,2498177760
2003-07-07,2532778560
2003-07-08,2622740640
2003-07-09,2626200720
2003-07-10,2617550520
2003-07-11,2605440240
2003-07-14,2520668280
2003-07-15,2522398320
2003-07-16,2508558000
2003-07-17,2453196720
2003-07-18,2448006600
2003-07-21,2465307000
2003-07-22,2470497120
2003-07-23,2453196720
2003-07-24,2422056000
2003-07-25,2456656800
2003-07-28,2482607400
2003-07-29,2465307000
2003-07-30,2461846920
2003-07-31,2496447720
2003-08-01,2449736640
2003-08-04,2456656800
2003-08-05,2373614880
2003-08-06,2378805000
2003-08-07,2333823960
2003-08-08,2399565480
2003-08-11,2411675760
2003-08-12,2401295520
2003-08-13,2378805000
2003-08-14,2470497120
2003-08-15,2475687240
2003-08-18,2467037040
2003-08-19,2437626360
2003-08-20,2413405800
2003-08-21,2453196720
2003-08-22,2434166280
2003-08-25,2458386840
2003-08-26,2465307000
2003-08-27,2430706200
2003-08-28,2454926760
2003-08-29,2487797520
2003-09-02,2715585600
2003-09-03,2739831900
2003-09-04,2771538600
2003-09-05,2778999000
2003-09-08,2786459400
2003-09-09,2743562100
2003-09-10,2751022500
2003-09-11,2793919800
2003-09-12,2801380200
2003-09-15,2795784900
2003-09-16,2806975500
2003-09-17,2810705700
2003-09-18,2870388900
2003-09-19,2870388900
2003-09-22,2870388900
2003-09-23,2943127800
2003-09-24,2937532500
2003-09-25,2890905000
2003-09-26,2864793600
2003-09-29,2821896300
2003-09-30,2844277500
2003-10-01,2820031200
2003-10-02,2790189600
2003-10-03,2801380200
2003-10-06,2821896300
2003-10-07,2834952000
2003-10-08,2838682200
2003-10-09,2834952000
2003-10-10,2808840600
2003-10-13,2821896300
2003-10-14,2795784900
2003-10-15,2780864100
2003-10-16,2825626500
2003-10-17,2793919800
2003-10-20,2829356700
2003-10-21,2827491600
2003-10-22,2797650000
2003-10-23,2803245300
2003-10-24,2857333200
2003-10-27,2864793600
2003-10-28,2883444600
2003-10-29,2862928500
2003-10-30,2903960700
2003-10-31,2926341900
2003-11-03,2946858000
2003-11-04,2967374100
2003-11-05,3002811000
2003-11-06,2935667400
2003-11-07,2939397600
2003-11-10,2944992900
2003-11-11,2941262700
2003-11-12,2959913700
2003-11-13,2944992900
2003-11-14,2900230500
2003-11-17,2870388900
2003-11-18,2896500300
2003-11-19,2913286200
2003-11-20,2943127800
2003-11-21,2997215700
2003-11-24,3049438500
2003-11-25,3172535100
2003-11-26,3221027700
2003-11-28,3217297500
2003-12-01,3645400920
2003-12-02,3615503080
2003-12-03,3592011920
2003-12-04,3547165160
2003-12-05,3523674000
2003-12-08,3521538439
2003-12-09,3506589520
2003-12-10,3498047280
2003-12-11,3521538439
2003-12-12,3378455920
2003-12-15,3335744720
2003-12-16,3352829200
2003-12-17,3389133720
2003-12-18,3457471640
2003-12-19,3395540400
2003-12-22,3431844920
2003-12-23,3421167120
2003-12-24,3470285000
2003-12-26,3470285000
2003-12-29,3508725080
2003-12-30,3519402880
2003-12-31,3515131760
2004-01-02,3512996200
2004-01-05,3566385200
2004-01-06,3581334120
2004-01-07,3455336080
2004-01-08,3414760440
2004-01-09,3453200520
2004-01-12,3483098359
2004-01-13,3476691680
2004-01-14,3485233920
2004-01-15,3485233920
2004-01-16,3470285000
2004-01-20,3519402880
2004-01-21,3523674000
2004-01-22,3577063000
2004-01-23,3515131760
2004-01-26,3512996200
2004-01-27,3568520760
2004-01-28,3549300720
2004-01-29,3604825280
2004-01-30,3581334120
2004-02-02,3606960840
2004-02-03,3628316439
2004-02-04,3673163200
2004-02-05,3724416640
2004-02-06,3720145520
2004-02-09,3679569880
2004-02-10,3713738840
2004-02-11,3718009960
2004-02-12,3698789920
2004-02-13,3799161240
2004-02-17,3779941200
2004-02-18,3786347880
2004-02-19,3694518800
2004-02-20,3679569880
2004-02-23,3596283040
2004-02-24,3604825280
2004-02-25,3280220160
2004-02-26,3436116040
2004-02-27,3384862600
2004-03-01,3378455920
2004-03-02,3357100320
2004-03-03,3363507000
2004-03-04,3376320360
2004-03-05,3374184800
2004-03-08,3369913680
2004-03-09,3427573800
2004-03-10,3495911720
2004-03-11,3470285000
2004-03-12,3564249640
2004-03-15,3446793840
2004-03-16,3480962800
2004-03-17,3521538439
2004-03-18,3491640600
2004-03-19,3470285000
2004-03-22,3416896000
2004-03-23,3414760440
2004-03-24,3414760440
2004-03-25,3433980479
2004-03-26,3406218200
2004-03-29,3425438240
2004-03-30,3414760440
2004-03-31,3427573800
2004-04-01,3527945120
2004-04-02,3562114080
2004-04-05,3574927439
2004-04-06,3551436280
2004-04-07,3570656319
2004-04-08,3519402880
2004-04-12,3562114080
2004-04-13,3530080680
2004-04-14,3461742760
2004-04-15,3466013880
2004-04-16,3500182840
2004-04-19,3498047280
2004-04-20,3451064960
2004-04-21,3453200520
2004-04-22,3508725080
2004-04-23,3555707399
2004-04-26,3566385200
2004-04-27,3587740800
2004-04-28,3515131760
2004-04-29,3512996200
2004-04-30,3538622920
2004-05-03,3525809560
2004-05-04,3592011920
2004-05-05,3557842960
2004-05-06,3566385200
2004-05-07,3568520760
2004-05-10,3562114080
2004-05-11,3596283040
2004-05-12,3621909760
2004-05-13,3685976560
2004-05-14,3692383240
2004-05-17,3707332160
2004-05-18,3726552200
2004-05-19,3739365560
2004-05-20,3747907800
2004-05-21,3735094439
2004-05-24,3737230000
2004-05-25,3799161240
2004-05-26,3858956920
2004-05-27,3844008000
2004-05-28,3844008000
2004-06-01,3459144240
2004-06-02,3522141900
2004-06-03,3522141900
2004-06-04,3548868180
2004-06-07,3598502700
2004-06-08,3577503479
2004-06-09,3552686220
2004-06-10,3531687000
2004-06-14,3558413280
2004-06-15,3569867400
2004-06-16,3588957600
2004-06-17,3579412500
2004-06-18,3556504260
2004-06-21,3522141900
2004-06-22,3531687000
2004-06-23,3522141900
2004-06-24,3606138780
2004-06-25,3541232100
2004-06-28,3558413280
2004-06-29,3535505040
2004-06-30,3545050140
2004-07-01,3518323860
2004-07-02,3501142680
2004-07-06,3520232880
2004-07-07,3503051700
2004-07-08,3535505040
2004-07-09,3556504260
2004-07-12,3638592119
2004-07-13,3672954479
2004-07-14,3714952920
2004-07-15,3766496460
2004-07-16,3758860380
2004-07-19,3749315280
2004-07-20,3770314500
2004-07-21,3669136440
2004-07-22,3569867400
2004-07-23,3524050920
2004-07-26,3501142680
2004-07-27,3527868960
2004-07-28,3531687000
2004-07-29,3531687000
2004-07-30,3615683880
2004-08-02,3653864280
2004-08-03,3558413280
2004-08-04,3548868180
2004-08-05,3504960720
2004-08-06,3524050920
2004-08-09,3464871299
2004-08-10,3497324640
2004-08-11,3497324640
2004-08-12,3472507380
2004-08-13,3483961500
2004-08-16,3482052479
2004-08-17,3449599140
2004-08-18,3468689340
2004-08-19,3483961500
2004-08-20,3550777200
2004-08-23,3606138780
2004-08-24,3510687780
2004-08-25,3464871299
2004-08-26,3503051700
2004-08-27,3527868960
2004-08-30,3495415619
2004-08-31,3531321360
2004-09-01,3556284480
2004-09-02,3587008320
2004-09-03,3673419120
2004-09-07,3692621520
2004-09-08,3635014320
2004-09-09,3558204720
2004-09-10,3608130960
2004-09-13,3615811919
2004-09-14,3585088080
2004-09-15,3504438000
2004-09-16,3548603520
2004-09-17,3481395120
2004-09-20,3504438000
