,ANF
2000-05-22,912917065
2000-05-23,861844781
2000-05-24,836308640
2000-05-25,906533029
2000-05-26,880996887
2000-05-30,938453206
2000-05-31,1002293560
2000-06-01,887380923
2000-06-02,938453206
2000-06-05,938453206
2000-06-06,900148994
2000-06-07,983141454
2000-06-08,963989348
2000-06-09,925685135
2000-06-12,906533029
2000-06-13,932069171
2000-06-14,1015061631
2000-06-15,983141454
2000-06-16,1034213738
2000-06-19,1027829702
2000-06-20,1078901985
2000-06-21,1059749879
2000-06-22,1085286021
2000-06-23,1110822163
2000-06-26,1181046552
2000-06-27,1219350765
2000-06-28,1225734800
2000-06-29,1251270942
2000-06-30,1244886906
2000-07-03,1181046552
2000-07-05,1187430588
2000-07-06,1468328146
2000-07-07,1519400429
2000-07-10,1576856748
2000-07-11,1685385350
2000-07-12,1532168500
2000-07-13,1481096217
2000-07-14,1525784465
2000-07-17,1532168500
2000-07-18,1449176040
2000-07-19,1436407969
2000-07-20,1538552536
2000-07-21,1513016394
2000-07-24,1430023934
2000-07-25,1461944111
2000-07-26,1455560075
2000-07-27,1506632359
2000-07-28,1589624819
2000-07-31,1610249382
2000-08-01,1566219126
2000-08-02,1603959345
2000-08-03,1899591068
2000-08-04,1975071508
2000-08-07,1962491434
2000-08-08,2006521691
2000-08-09,1962491434
2000-08-10,1811530555
2000-08-11,1893301031
2000-08-14,1962491434
2000-08-15,1962491434
2000-08-16,2094582204
2000-08-17,2025391801
2000-08-18,2188932754
2000-08-21,2264413194
2000-08-22,2365053780
2000-08-23,2459404330
2000-08-24,2245543084
2000-08-25,2327313560
2000-08-28,2339893634
2000-08-29,2415374073
2000-08-30,2534884770
2000-08-31,2333603597
2000-09-01,2415374073
2000-09-05,2358763743
2000-09-06,2396503963
2000-09-07,2383923890
2000-09-08,2478274440
2000-09-11,2528594733
2000-09-12,2497144550
2000-09-13,2446824257
2000-09-14,2503434586
2000-09-15,2566334953
2000-09-18,2415374073
2000-09-19,2471984403
2000-09-20,2453114293
2000-09-21,2484564476
2000-09-22,2566334953
2000-09-25,2610365210
2000-09-26,2232963010
2000-09-27,1912171141
2000-09-28,2050551948
2000-09-29,1918461178
2000-10-02,1880720958
2000-10-03,1931041251
2000-10-04,2006521691
2000-10-05,2327313560
2000-10-06,2276993267
2000-10-09,2308443450
2000-10-10,2295863377
2000-10-11,2113452314
2000-10-12,2239253047
2000-10-13,2157482571
2000-10-16,2352473707
2000-10-17,2346183670
2000-10-18,2339893634
2000-10-19,2409084037
2000-10-20,2276993267
2000-10-23,2207802864
2000-10-24,2333603597
2000-10-25,2207802864
2000-10-26,2195222791
2000-10-27,2295863377
2000-10-30,2314733487
2000-10-31,2272866283
2000-11-01,2345212159
2000-11-02,2357269805
2000-11-03,2194491583
2000-11-06,2134203353
2000-11-07,2116116884
2000-11-08,2375356274
2000-11-09,2459759797
2000-11-10,2459759797
2000-11-13,2459759797
2000-11-14,2580336257
2000-11-15,2731056833
2000-11-16,2737085656
2000-11-17,2743114479
2000-11-20,2628566841
2000-11-21,2646653310
2000-11-22,2652682134
2000-11-24,2791345063
2000-11-27,2857662117
2000-11-28,2700912718
2000-11-29,2718999187
2000-11-30,2013626892
2000-12-01,1977453954
2000-12-04,1917165724
2000-12-05,1700128094
2000-12-06,1760416325
2000-12-07,1778502794
2000-12-08,1995540423
2000-12-11,1850848670
2000-12-12,1905108078
2000-12-13,1874963962
2000-12-14,1748358679
2000-12-15,1736301033
2000-12-18,1736301033
2000-12-19,1537349873
2000-12-20,1501176934
2000-12-21,1585580457
2000-12-22,1651897510
2000-12-26,1621753395
2000-12-27,2019655715
2000-12-28,1917165724
2000-12-29,1929223370
2001-01-02,1718214564
2001-01-03,1953338662
2001-01-04,2194491583
2001-01-05,2152289822
2001-01-08,1983482777
2001-01-09,2001569246
2001-01-10,2037742184
2001-01-11,2188462760
2001-01-12,2278895106
2001-01-16,2327125690
2001-01-17,2387413920
2001-01-18,2315068044
2001-01-19,2212578052
2001-01-22,2423586858
2001-01-23,2556220965
2001-01-24,2532105673
2001-01-25,2634595664
2001-01-26,2628566841
2001-01-29,2893835055
2001-01-30,2793515343
2001-01-31,3001368946
2001-02-01,3038621866
2001-02-02,3006403312
2001-02-05,2967136626
2001-02-06,3068826855
2001-02-07,3136284663
2001-02-08,3006403312
2001-02-09,2945993234
2001-02-12,3072854187
2001-02-13,3038621866
2001-02-14,3111113839
2001-02-15,3111113839
2001-02-16,3054731194
2001-02-20,2809063952
2001-02-21,2890617321
2001-02-22,2837255275
2001-02-23,2840275673
2001-02-26,3065806457
2001-02-27,2959081962
2001-02-28,2855378369
2001-03-01,2903706250
2001-03-02,2894644753
2001-03-05,2800002355
2001-03-06,2971164058
2001-03-07,3161455487
2001-03-08,3322548761
2001-03-09,3252070353
2001-03-12,3206762970
2001-03-13,3217838032
2001-03-14,3129236833
2001-03-15,3261131849
2001-03-16,3220858632
2001-03-19,3421218390
2001-03-20,3372890408
2001-03-21,3413163928
2001-03-22,3332616889
2001-03-23,3323555392
2001-03-26,3418197992
2001-03-27,3599427824
2001-03-28,3339664719
2001-03-29,3308453200
2001-03-30,3292343873
2001-04-02,3284289007
2001-04-03,3235961026
2001-04-04,3212803968
2001-04-05,3523915352
2001-04-06,3502771961
2001-04-09,3471560038
2001-04-10,3624598648
2001-04-11,3522908721
2001-04-12,3214817634
2001-04-16,3098025011
2001-04-17,2990293985
2001-04-18,3188639977
2001-04-19,3262138984
2001-04-20,3277241177
2001-04-23,3286302673
2001-04-24,3206762970
2001-04-25,3230926961
2001-04-26,3298384568
2001-04-27,3434307320
2001-04-30,3363318729
2001-05-01,3468359418
2001-05-02,3509769650
2001-05-03,3398669230
2001-05-04,3408769084
2001-05-07,3449169512
2001-05-08,3396649117
2001-05-09,3422909062
2001-05-10,3797621059
2001-05-11,3963262391
2001-05-14,3974372049
2001-05-15,4012752466
2001-05-16,4252123604
2001-05-17,4495534967
2001-05-18,4368274456
2001-05-21,4593505717
2001-05-22,4444024880
2001-05-23,4222833743
2001-05-24,4216773608
2001-05-25,4221823535
2001-05-29,4164253314
2001-05-30,4068302676
2001-05-31,4164253314
2001-06-01,4147083319
2001-06-04,4141023184
2001-06-05,4242023749
2001-06-06,4353124169
2001-06-07,4185463332
2001-06-08,4272323818
2001-06-11,4186473539
2001-06-12,4267273891
2001-06-13,4173343365
2001-06-14,4066282563
2001-06-15,4131933133
2001-06-18,4317774173
2001-06-19,4370294467
2001-06-20,4597545740
2001-06-21,4644006000
2001-06-22,4397564721
2001-06-25,4345044326
2001-06-26,4262223963
2001-06-27,4244043761
2001-06-28,4299594072
2001-06-29,4496545174
2001-07-02,4465234898
2001-07-03,4469275022
2001-07-05,4349084450
2001-07-06,4126883206
2001-07-09,4096583036
2001-07-10,4054162596
2001-07-11,3944071980
2001-07-12,4045072546
2001-07-13,4251113800
2001-07-16,4130923329
2001-07-17,3992552252
2001-07-18,4043052534
2001-07-19,4090522901
2001-07-20,4086482777
2001-07-23,4052142585
2001-07-24,4050122473
2001-07-25,4181423612
2001-07-26,4090522901
2001-07-27,4045072546
2001-07-30,3940031856
2001-07-31,3916025919
2001-08-01,3700150199
2001-08-02,3760676001
2001-08-03,3593221003
2001-08-06,3670895912
2001-08-07,3733439244
2001-08-08,3645676785
2001-08-09,3025286381
2001-08-10,3051514272
2001-08-13,3003093550
2001-08-14,3035374032
2001-08-15,3252258719
2001-08-16,3192741379
2001-08-17,3156425938
2001-08-20,3135241771
2001-08-21,2915330991
2001-08-22,3090856008
2001-08-23,3046470548
2001-08-24,3117084001
2001-08-27,3128180416
2001-08-28,3091864874
2001-08-29,3094891170
2001-08-30,3001076020
2001-08-31,3060593158
2001-09-04,3046470548
2001-09-05,2858840148
2001-09-06,2360510214
2001-09-07,2332264893
2001-09-10,2197090377
2001-09-17,1920688753
2001-09-18,1846039938
2001-09-19,1916653592
2001-09-20,1792575491
2001-09-21,1745163433
2001-09-24,1674549981
2001-09-25,1714900583
2001-09-26,1684637732
2001-09-27,1707839227
2001-09-28,1774417721
2001-10-01,1674549981
2001-10-02,1815777088
2001-10-03,2067968350
2001-10-04,2092178711
2001-10-05,2142616963
2001-10-08,2070994746
2001-10-09,2094196241
2001-10-10,2219283107
2001-10-11,2224326831
2001-10-12,2154722245
2001-10-15,2106301321
2001-10-16,2146652124
2001-10-17,2034679103
2001-10-18,2050819344
2001-10-19,2131520447
2001-10-22,2166827325
2001-10-23,2204151631
2001-10-24,2204151631
2001-10-25,2118406602
2001-10-26,2057880699
2001-10-29,1950951604
2001-10-30,1785514237
2001-10-31,1892237738
2001-11-01,1905308556
2001-11-02,1960607646
2001-11-05,1957591226
2001-11-06,1935471650
2001-11-07,1920390053
2001-11-08,1837944088
2001-11-09,1897265038
2001-11-12,2023950254
2001-11-13,2086287623
2001-11-14,2321560541
2001-11-15,2444224098
2001-11-16,2227049198
2001-11-19,2387919569
2001-11-20,2342674676
2001-11-21,2320555101
2001-11-23,2323571521
2001-11-26,2403001166
2001-11-27,2418082663
2001-11-28,2422104523
2001-11-29,2351723635
2001-11-30,2413055564
2001-12-03,2463327555
2001-12-04,2493490649
2001-12-05,2616154407
2001-12-06,2584985673
2001-12-07,2545773620
2001-12-10,2505556027
2001-12-11,2503545148
2001-12-12,2421099083
2001-12-13,2332620479
2001-12-14,2355745494
2001-12-17,2352729175
2001-12-18,2456289476
2001-12-19,2557838999
2001-12-20,2627214145
2001-12-21,2596045611
2001-12-24,2679497116
2001-12-26,2698600473
2001-12-27,2737812626
2001-12-28,2721725588
2001-12-31,2667431939
2002-01-02,2695584053
2002-01-03,2823275010
2002-01-04,2998221539
2002-01-07,2920802572
2002-01-08,2923818992
2002-01-09,2789090056
2002-01-10,2723736468
2002-01-11,2610121668
2002-01-14,2559849677
2002-01-15,2510583126
2002-01-16,2461316675
2002-01-17,2548789940
2002-01-18,2500528929
2002-01-22,2505556027
2002-01-23,2601072911
2002-01-24,2651344902
2002-01-25,2614143528
2002-01-28,2641290403
2002-01-29,2609116429
2002-01-30,2602078149
2002-01-31,2673465383
2002-02-01,2665409743
2002-02-04,2517387461
2002-02-05,2462005038
2002-02-06,2391518088
2002-02-07,2390511133
2002-02-08,2377420819
2002-02-11,2440858882
2002-02-12,2416691963
2002-02-13,2416691963
2002-02-14,2399573728
2002-02-15,2320024385
2002-02-19,2325059059
2002-02-20,2552630886
2002-02-21,2541554381
2002-02-22,2546589257
2002-02-25,2678500259
2002-02-26,2814439282
2002-02-27,2748987007
2002-02-28,2682527978
2002-03-01,2764091533
2002-03-04,2871835616
2002-03-05,2711729773
2002-03-06,2755028938
2002-03-07,2876870391
2002-03-08,2910099905
2002-03-11,2870828661
2002-03-12,2920169455
2002-03-13,2891974615
2002-03-14,2960447655
2002-03-15,2997704989
2002-03-18,3019857999
2002-03-19,3034962223
2002-03-20,3061143153
2002-03-21,3035969278
2002-03-22,3041004154
2002-03-25,2981593810
2002-03-26,2970517204
2002-03-27,3045031873
2002-03-28,3101421252
2002-04-01,3019857999
2002-04-02,2931246061
2002-04-03,2964475575
2002-04-04,3032948514
2002-04-05,3057115434
2002-04-08,3101421252
2002-04-09,3198089031
2002-04-10,3235346466
2002-04-11,3138678687
2002-04-12,3207151626
2002-04-15,3220242041
2002-04-16,3214200311
2002-04-17,3298784328
2002-04-18,3353159998
2002-04-19,3283680305
2002-04-22,3190033391
2002-04-23,3163852561
2002-04-24,3047045783
2002-04-25,3059129142
2002-04-26,3057115434
2002-04-29,3111490902
2002-04-30,3012963718
2002-05-01,3025015674
2002-05-02,3105361272
2002-05-03,3274087040
2002-05-06,3238935997
2002-05-07,3273082919
2002-05-08,3314260090
2002-05-09,3203784754
2002-05-10,3125447798
2002-05-13,3014972361
2002-05-14,3205793396
2002-05-15,3165620547
2002-05-16,3176667980
2002-05-17,3119421669
2002-05-20,3086279169
2002-05-21,2933622240
2002-05-22,2848255135
2002-05-23,2992877193
2002-05-24,2992877193
2002-05-28,2909518530
2002-05-29,2913535916
2002-05-30,2829172931
2002-05-31,2912531594
2002-06-03,2857294027
2002-06-04,2752844517
2002-06-05,2820134040
2002-06-06,2690576701
2002-06-07,2709658704
2002-06-10,2747823011
2002-06-11,2709658704
2002-06-12,2695598207
2002-06-13,2588135834
2002-06-14,2561019160
2002-06-17,2617261049
2002-06-18,2577088300
2002-06-19,2582109806
2002-06-20,2475651855
2002-06-21,2455565531
2002-06-24,2459582715
2002-06-25,2409366653
2002-06-26,2371202547
2002-06-27,2433470363
2002-06-28,2422422930
2002-07-01,2340068387
2002-07-02,2376224052
2002-07-03,2398319019
2002-07-05,2546958764
2002-07-08,2548967205
2002-07-09,2637347575
2002-07-10,2511807420
2002-07-11,2571062373
2002-07-12,2549971526
2002-07-15,2427444436
2002-07-16,2380241438
2002-07-17,2309938851
2002-07-18,2350111700
2002-07-19,2360154913
2002-07-22,2189420201
2002-07-23,2109074603
2002-07-24,2284830820
2002-07-25,2264744294
2002-07-26,2400327762
2002-07-29,2571062373
2002-07-30,2513816163
2002-07-31,2244118408
2002-08-01,2132905460
2002-08-02,2036587104
2002-08-05,1915444528
2002-08-06,2043537913
2002-08-07,2052474668
2002-08-08,2173617244
2002-08-09,2149785997
2002-08-12,2095172496
2002-08-13,2178582306
2002-08-14,2409944857
2002-08-15,2500305377
2002-08-16,2416895666
2002-08-19,2427818466
2002-08-20,2392071348
2002-08-21,2450656740
2002-08-22,2431790257
2002-08-23,2328521191
2002-08-26,2333485955
2002-08-27,2199434635
2002-08-28,2209364362
2002-08-29,2260998945
2002-08-30,2263977764
2002-09-03,2204399598
2002-09-04,2360296220
2002-09-05,2170638524
2002-09-06,2282844345
2002-09-09,2398029184
2002-09-10,2417888639
2002-09-11,2407958911
2002-09-12,2313626401
2002-09-13,2363275039
2002-09-16,2386113610
2002-09-17,2353345510
2002-09-18,2367247029
2002-09-19,2340436765
2002-09-20,2306675691
2002-09-23,2200427607
2002-09-24,2156736707
2002-09-25,2204399598
2002-09-26,2209364362
2002-09-27,2105102323
2002-09-30,1953177393
2002-10-01,1807210499
2002-10-02,1800259491
2002-10-03,1669187088
2002-10-04,1688053670
2002-10-07,1580812613
2002-10-08,1727772580
2002-10-09,1689046642
2002-10-10,1546058567
2002-10-11,1598686122
2002-10-14,1665215297
2002-10-15,1856859136
2002-10-16,1763519599
2002-10-17,1866788665
2002-10-18,1894592001
2002-10-21,1875725420
2002-10-22,1854873091
2002-10-23,1912465511
2002-10-24,1853880119
2002-10-25,1941261621
2002-10-28,1898563991
2002-10-29,1927360102
2002-10-30,1799266717
2002-10-31,1762265285
2002-11-01,1848301905
2002-11-04,1756331732
2002-11-05,1800833282
2002-11-06,1771165615
2002-11-07,2055976265
2002-11-08,2087621882
2002-11-11,1996640733
2002-11-12,2055976265
2002-11-13,2182558633
2002-11-14,2282440111
2002-11-15,2398144398
2002-11-18,2289362590
2002-11-19,2256728048
2002-11-20,2304196374
2002-11-21,2413967206
2002-11-22,2344742320
2002-11-25,2390232993
2002-11-26,2323974983
2002-11-27,2502970404
2002-11-29,2459457879
2002-12-02,2496048025
2002-12-03,2326941859
2002-12-04,2354631576
2002-12-05,2206292747
2002-12-06,2200359293
2002-12-09,2141023761
2002-12-10,2150913016
2002-12-11,2200359293
2002-12-12,2262661502
2002-12-13,2210248548
2002-12-16,2335842188
2002-12-17,2216182101
2002-12-18,2162780222
2002-12-19,2141023761
2002-12-20,2103444591
2002-12-23,1967961794
2002-12-24,1903681635
2002-12-26,1943238656
2002-12-27,1933349302
2002-12-30,2042131209
2002-12-31,2023341525
2003-01-02,2150913016
2003-01-03,2110367070
2003-01-06,2186514434
2003-01-07,2182558633
2003-01-08,2215193176
2003-01-09,2574173240
2003-01-10,2609774361
2003-01-13,2621641566
2003-01-14,2670098917
2003-01-15,2635486524
2003-01-16,2719545193
2003-01-17,2680977197
2003-01-21,2595929503
2003-01-22,2631530920
2003-01-23,2759102214
2003-01-24,2599885304
2003-01-27,2600874031
2003-01-28,2630541896
2003-01-29,2711633789
2003-01-30,2650320308
2003-01-31,2764039785
2003-02-03,2807724421
2003-02-04,2828573760
2003-02-05,2816659894
2003-02-06,2859351402
2003-02-07,2776946480
2003-02-10,2829566590
2003-02-11,2801767240
2003-02-12,2869279805
2003-02-13,2681634863
2003-02-14,2678656372
2003-02-18,2762054124
2003-02-19,2935799441
2003-02-20,2952677557
2003-02-21,2908992921
2003-02-24,2745176007
2003-02-25,2802760170
2003-02-26,2724326669
2003-02-27,2760068364
2003-02-28,2730283552
2003-03-03,2738226195
2003-03-04,2682627693
2003-03-05,2680642033
2003-03-06,2764039785
2003-03-07,2867294045
2003-03-10,2780917901
2003-03-11,2704469962
2003-03-12,2708441383
2003-03-13,2877222448
2003-03-14,2900057448
2003-03-17,3038060970
2003-03-18,2999340486
2003-03-19,2976505487
2003-03-20,2978491147
2003-03-21,3018204363
2003-03-24,2938777932
2003-03-25,2978491147
2003-03-26,2957641809
2003-03-27,2919914155
2003-03-28,2882186699
2003-03-31,2981469738
2003-04-01,2968562843
2003-04-02,3137344009
2003-04-03,3127415705
2003-04-04,3151243634
2003-04-07,3147272412
2003-04-08,3166135990
2003-04-09,3081745606
2003-04-10,3157200517
2003-04-11,3117487401
2003-04-14,3097630892
2003-04-15,3159186277
2003-04-16,3065860122
2003-04-17,3155215055
2003-04-21,3141315231
2003-04-22,3196913931
2003-04-23,3200885352
2003-04-24,3200885352
2003-04-25,3152236464
2003-04-28,3216770638
2003-04-29,3287261496
2003-04-30,3249447363
2003-05-01,3147654968
2003-05-02,3162479089
2003-05-05,3221775374
2003-05-06,3063651617
2003-05-07,3001390409
2003-05-08,3012261332
2003-05-09,2973718618
2003-05-12,3053768870
2003-05-13,2950000025
2003-05-14,2765192653
2003-05-15,2737521060
2003-05-16,2693048599
2003-05-19,2652529336
2003-05-20,2598174325
2003-05-21,2629799116
2003-05-22,2669330006
2003-05-23,2631775468
2003-05-27,2741474060
2003-05-28,2865996674
2003-05-29,2796817345
2003-05-30,2821524213
2003-06-02,2844254729
2003-06-03,2814606389
2003-06-04,2894656740
2003-06-05,2843266356
2003-06-06,2759263005
2003-06-09,2678224478
2003-06-10,2664388533
2003-06-11,2672294929
2003-06-12,2648576138
2003-06-13,2628810742
2003-06-16,2695025148
2003-06-17,2619916270
2003-06-18,2652529336
2003-06-19,2639681666
2003-06-20,2621892918
2003-06-23,2583350007
2003-06-24,2661423808
2003-06-25,2684154127
2003-06-26,2806700191
2003-06-27,2821524213
2003-06-30,2807688466
2003-07-01,2815594664
2003-07-02,2821524213
2003-07-03,2772110477
2003-07-07,2959882871
2003-07-08,3118006628
2003-07-09,3103182606
2003-07-10,3036968200
2003-07-11,3056733694
2003-07-14,3206951550
2003-07-15,3182244682
2003-07-16,3187185957
2003-07-17,3116030276
2003-07-18,3215846022
2003-07-21,3161490814
2003-07-22,3172361638
2003-07-23,3241540967
2003-07-24,3199045154
2003-07-25,3159514166
2003-07-28,3161490814
2003-07-29,3166432286
2003-07-30,3142713496
2003-07-31,3145953233
2003-08-01,3100856891
2003-08-04,3073407101
2003-08-05,3029291209
2003-08-06,3040075094
2003-08-07,2828318815
2003-08-08,2844004465
2003-08-11,2800868927
2003-08-12,2878316923
2003-08-13,2829299266
2003-08-14,2762635155
2003-08-15,2796947613
2003-08-18,2855768605
2003-08-19,2860670469
2003-08-20,2851847290
2003-08-21,2856748958
2003-08-22,2844984818
2003-08-25,2810672458
2003-08-26,2794006455
2003-08-27,2841063406
2003-08-28,2938118269
2003-08-29,2984195063
2003-09-02,2953803919
2003-09-03,2926354129
2003-09-04,2798908123
2003-09-05,2697931847
2003-09-08,2695971141
2003-09-09,2624405361
2003-09-10,2700872907
2003-09-11,2710676438
2003-09-12,2715578204
2003-09-15,2737145973
2003-09-16,2881257885
2003-09-17,2989096730
2003-09-18,2956745077
2003-09-19,2890081063
2003-09-22,2864591881
2003-09-23,2877336472
2003-09-24,2803809986
2003-09-25,2802829633
2003-09-26,2754792329
2003-09-29,2704794319
2003-09-30,2716558557
2003-10-01,2867532941
2003-10-02,2872434706
2003-10-03,2869493647
2003-10-06,2877336472
2003-10-07,2962627196
2003-10-08,3029291209
2003-10-09,3029291209
2003-10-10,2983214612
2003-10-13,3046937566
2003-10-14,3047917919
2003-10-15,3034192975
2003-10-16,3085171338
2003-10-17,3019487678
2003-10-20,3027330503
2003-10-21,2972430727
2003-10-22,2894002476
2003-10-23,2939098720
2003-10-24,2828318815
2003-10-27,2863611528
2003-10-28,2903806007
2003-10-29,2833220581
2003-10-30,2741067385
2003-10-31,2760292375
2003-11-03,2765134993
2003-11-04,2745764521
2003-11-05,2728331095
2003-11-06,2751575662
2003-11-07,2733173713
2003-11-10,2698306862
2003-11-11,2792253655
2003-11-12,2820340841
2003-11-13,2888137496
2003-11-14,2847459503
2003-11-17,2759323852
2003-11-18,2752544186
2003-11-19,2737047808
2003-11-20,2744795997
2003-11-21,2744795997
2003-11-24,2792253655
2003-11-25,2831963125
2003-11-26,2841648361
2003-11-28,2842616885
2003-12-01,2799033321
2003-12-02,2691527197
2003-12-03,2642132491
2003-12-04,2389347821
2003-12-05,2450364810
2003-12-08,2389347821
2003-12-09,2360292112
2003-12-10,2399033057
2003-12-11,2436805479
2003-12-12,2381599632
2003-12-15,2275062031
2003-12-16,2307991835
2003-12-17,2372882919
2003-12-18,2362229159
2003-12-19,2296369551
2003-12-22,2326393784
2003-12-23,2340921639
2003-12-24,2331236402
2003-12-26,2340921639
2003-12-29,2393221915
2003-12-30,2409686817
2003-12-31,2393221915
2004-01-02,2338984592
2004-01-05,2289589886
2004-01-06,2368040301
2004-01-07,2411623865
2004-01-08,2363197683
2004-01-09,2431962861
2004-01-12,2469735283
2004-01-13,2478451996
2004-01-14,2483294614
2004-01-15,2506539181
2004-01-16,2493948374
2004-01-20,2473609378
2004-01-21,2527846701
2004-01-22,2491042803
2004-01-23,2526878178
2004-01-26,2549154222
2004-01-27,2504602134
2004-01-28,2450364810
2004-01-29,2473609378
2004-01-30,2508476229
2004-02-02,2557957345
2004-02-03,2522323150
2004-02-04,2459722538
2004-02-05,2643672031
2004-02-06,2638856599
2004-02-09,2687010916
2004-02-10,2632114994
2004-02-11,2635967340
2004-02-12,2665823017
2004-02-13,2725534370
2004-02-17,2715903507
2004-02-18,2965342871
2004-02-19,2847846337
2004-02-20,2863255718
2004-02-23,2821843005
2004-02-24,2891185223
2004-02-25,2951859663
2004-02-26,3024091139
2004-02-27,3036611261
2004-03-01,3080913233
2004-03-02,3065503852
2004-03-03,3090544097
2004-03-04,3011571016
2004-03-05,3105953479
2004-03-08,3058762247
2004-03-09,3048168298
2004-03-10,2979789167
2004-03-11,2911410036
2004-03-12,2979789167
2004-03-15,2936450281
2004-03-16,2956675094
2004-03-17,3001940153
2004-03-18,3002903239
2004-03-19,3076097802
2004-03-22,3028906571
2004-03-23,3115584342
2004-03-24,3131956810
2004-03-25,3253305690
2004-03-26,3245600999
2004-03-29,3261010381
2004-03-30,3234043963
2004-03-31,3259084208
2004-04-01,3322647907
2004-04-02,3313017044
2004-04-05,3414141111
2004-04-06,3435329010
2004-04-07,3476741723
2004-04-08,3216708409
2004-04-12,3207077545
2004-04-13,3132919896
2004-04-14,3145440019
2004-04-15,3235007049
2004-04-16,3185889646
2004-04-19,3147366192
2004-04-20,3103064220
2004-04-21,3181074214
2004-04-22,3185889646
2004-04-23,3158923228
2004-04-26,3111731997
2004-04-27,3131956810
2004-04-28,3060688420
2004-04-29,2943191885
2004-04-30,3047999341
2004-05-03,3011171368
2004-05-04,3029585355
2004-05-05,3077074057
2004-05-06,3196280390
2004-05-07,3144915060
2004-05-10,3158483260
2004-05-11,3285442851
2004-05-12,3382358570
2004-05-13,3388173513
2004-05-14,3377512784
2004-05-17,3328085767
2004-05-18,3377512784
2004-05-19,3334869868
2004-05-20,3277689594
2004-05-21,3327116610
2004-05-24,3393019299
2004-05-25,3502534060
2004-05-26,3498657432
2004-05-27,3495749960
2004-05-28,3530639619
2004-06-01,3527732147
2004-06-02,3532577933
2004-06-03,3594603993
2004-06-04,3537423719
2004-06-07,3598480621
2004-06-08,3622709551
2004-06-09,3555837705
2004-06-10,3615925451
2004-06-14,3582974107
2004-06-15,3595573150
2004-06-16,3597511464
2004-06-17,3626586180
2004-06-18,3650815109
2004-06-21,3696365497
2004-06-22,3707026226
2004-06-23,3680858982
2004-06-24,3765175657
2004-06-25,3791342901
2004-06-28,3776805543
2004-06-29,3708964540
2004-06-30,3755484085
2004-07-01,3692488868
2004-07-02,3642092695
2004-07-06,3648876795
2004-07-07,3643061852
2004-07-08,3585881578
2004-07-09,3549053605
2004-07-12,3567467592
2004-07-13,3588789050
2004-07-14,3513194789
2004-07-15,3413371599
2004-07-16,3353283854
2004-07-19,3261213922
2004-07-20,3419186543
2004-07-21,3317425038
2004-07-22,3385266041
2004-07-23,3310640938
2004-07-26,3314517567
2004-07-27,3481212602
2004-07-28,3462798616
2004-07-29,3549053605
2004-07-30,3574251692
2004-08-02,3524564545
2004-08-03,3512210989
2004-08-04,3403879806
2004-08-05,3141604310
2004-08-06,3104543642
2004-08-09,3181515798
2004-08-10,3179615251
2004-08-11,2786202007
2004-08-12,2710180124
2004-08-13,2749141339
2004-08-16,2836566505
2004-08-17,2818511308
2004-08-18,2885980729
2004-08-19,2852721155
2004-08-20,2896433738
2004-08-23,2882179634
2004-08-24,2833715684
2004-08-25,2804257205
