,PAYC
2014-10-17,821500000
2014-10-20,817000000
2014-10-21,833500000
2014-10-22,824000000
2014-10-23,826500000
2014-10-24,825500000
2014-10-27,828500000
2014-10-28,845500000
2014-10-29,838500000
2014-10-30,871500000
2014-10-31,887500000
2014-11-03,884000000
2014-11-04,886500000
2014-11-05,1057499999
2014-11-06,1079500000
2014-11-07,1071000000
2014-11-10,1103500000
2014-11-11,1125000000
2014-11-12,1117500000
2014-11-13,1130000000
2014-11-14,1184500000
2014-11-17,1242500000
2014-11-18,1242000000
2014-11-19,1284500000
2014-11-20,1305000000
2014-11-21,1346500000
2014-11-24,1373500000
2014-11-25,1384000000
2014-11-26,1414500000
2014-11-28,1437500000
2014-12-01,1419000000
2014-12-02,1380000000
2014-12-03,1346000000
2014-12-04,1363500000
2014-12-05,1366500000
2014-12-08,1321000000
2014-12-09,1369500000
2014-12-10,1329500000
2014-12-11,1282000000
2014-12-12,1223000000
2014-12-15,1212000000
2014-12-16,1329500000
2014-12-17,1365500000
2014-12-18,1379000000
2014-12-19,1360500000
2014-12-22,1421500000
2014-12-23,1368500000
2014-12-24,1324500000
2014-12-26,1334000000
2014-12-29,1312000000
2014-12-30,1303500000
2014-12-31,1441566209
2015-01-02,1426783723
2015-01-05,1378603766
2015-01-06,1344658796
2015-01-07,1387363758
2015-01-08,1446493705
2015-01-09,1392291253
2015-01-12,1351228790
2015-01-13,1292646343
2015-01-14,1269103864
2015-01-15,1292646343
2015-01-16,1286076348
2015-01-20,1272388861
2015-01-21,1382983762
2015-01-22,1438828712
2015-01-23,1480438675
2015-01-26,1500696156
2015-01-27,1539568622
2015-01-28,1574608590
2015-01-29,1500148657
2015-01-30,1432806217
2015-02-02,1428426221
2015-02-03,1510003648
2015-02-04,1482628673
2015-02-05,1532998628
2015-02-06,1535736125
2015-02-09,1629358541
2015-02-10,1735573446
2015-02-11,1721885958
2015-02-12,1811128379
2015-02-13,1772255913
2015-02-17,1837408355
2015-02-18,1786490901
2015-02-19,1828100863
2015-02-20,1848905845
2015-02-23,1801820887
2015-02-24,1817150873
2015-02-25,1803463385
2015-02-26,1797988390
2015-02-27,1745428437
2015-03-02,1744880938
2015-03-03,1747618435
2015-03-04,1732288449
2015-03-05,1771160914
2015-03-06,1760758424
2015-03-09,1678085998
2015-03-10,1690678486
2015-03-11,1724075956
2015-03-12,1744880938
2015-03-13,1719148461
2015-03-16,1749260934
2015-03-17,1788680899
2015-03-18,1873543323
2015-03-19,1922270779
2015-03-20,1848905845
2015-03-23,1817150873
2015-03-24,1731193450
2015-03-25,1668231006
2015-03-26,1742690940
2015-03-27,1743238439
2015-03-30,1756925927
2015-03-31,1828638953
2015-04-01,1805823744
2015-04-02,1796697661
2015-04-06,1823505531
2015-04-07,1845750359
2015-04-08,1841187317
2015-04-09,1823505531
2015-04-10,1812097927
2015-04-13,1794986520
2015-04-14,1739089260
2015-04-15,1773882453
2015-04-16,1757911807
2015-04-17,1717414812
2015-04-20,1836624276
2015-04-21,1888528875
2015-04-22,1879402791
2015-04-23,1885106594
2015-04-24,1877121271
2015-04-27,1837194656
2015-04-28,1877121271
2015-04-29,1846891119
2015-04-30,1802971843
2015-05-01,1821224010
2015-05-04,1879973172
2015-05-05,1787001197
2015-05-06,1885106594
2015-05-07,2015153281
2015-05-08,2036257349
2015-05-11,2183985824
2015-05-12,2221630917
2015-05-13,2176000501
2015-05-14,2238171944
2015-05-15,2012871761
2015-05-18,2016294042
2015-05-19,2034546209
2015-05-20,2041961151
2015-05-21,2065346740
2015-05-22,2034546209
2015-05-26,2006027198
2015-05-27,2007167958
2015-05-28,1979789708
2015-05-29,1982641609
2015-06-01,1982071229
2015-06-02,2018005182
2015-06-03,2015153281
2015-06-04,2009449479
2015-06-05,2019145943
2015-06-08,2070480162
2015-06-09,2056791037
2015-06-10,2055079896
2015-06-11,2039679630
2015-06-12,2048805714
2015-06-15,2081317386
2015-06-16,2181133923
2015-06-17,2176000501
2015-06-18,2187978485
2015-06-19,2150903771
2015-06-22,2187408105
2015-06-23,2172578219
2015-06-24,2096147271
2015-06-25,2131510844
2015-06-26,2039109250
2015-06-29,1960967161
2015-06-30,1948280858
2015-07-01,1967107584
2015-07-02,1941434776
2015-07-06,1966537077
2015-07-07,1912338927
2015-07-08,1901499297
2015-07-09,1951133392
2015-07-10,1965966570
2015-07-13,1971671639
2015-07-14,2002479008
2015-07-15,1986504816
2015-07-16,2003620022
2015-07-17,2000767487
2015-07-20,2038420939
2015-07-21,2028722323
2015-07-22,2037850432
2015-07-23,2050972089
2015-07-24,1925460585
2015-07-27,1802801614
2015-07-28,1783974888
2015-07-29,1823339860
2015-07-30,1838173038
2015-07-31,1825621888
2015-08-03,1793673504
2015-08-04,1828474422
2015-08-05,2159368389
2015-08-06,2108593280
2015-08-07,2134266088
2015-08-10,2153663321
2015-08-11,2168496498
2015-08-12,2141682677
2015-08-13,2161079909
2015-08-14,2187893731
2015-08-17,2333943482
2015-08-18,2282027360
2015-08-19,2286020907
2015-08-20,2191316772
2015-08-21,2163932444
2015-08-24,2137118622
2015-08-25,2106311253
2015-08-26,2179336128
2015-08-27,2192457786
2015-08-28,2185611704
2015-08-31,2198733361
2015-09-01,2125137979
2015-09-02,2169637512
2015-09-03,2144535211
2015-09-04,2096612637
2015-09-08,2167355485
2015-09-09,2159938896
2015-09-10,2153663321
2015-09-11,2191316772
2015-09-14,2211284511
2015-09-15,2316257770
2015-09-16,2167925992
2015-09-17,2164502950
2015-09-18,2158227375
2015-09-21,2169637512
2015-09-22,2153663321
2015-09-23,2170778526
2015-09-24,2055536144
2015-09-25,1957408968
2015-09-28,1940864269
2015-09-29,1971101132
2015-09-30,2050819633
2015-10-01,2054817332
2015-10-02,2115925018
2015-10-05,2189596901
2015-10-06,2179888203
2015-10-07,2250133487
2015-10-08,2247849088
2015-10-09,2303245775
2015-10-12,2312954473
2015-10-13,2248991288
2015-10-14,2270121983
2015-10-15,2306672374
2015-10-16,2390624055
2015-10-19,2332371869
2015-10-20,2202732198
2015-10-21,2186741402
2015-10-22,2206158797
2015-10-23,2151904310
2015-10-26,2137055713
2015-10-27,2065097129
2015-10-28,2225005093
2015-10-29,2221007394
2015-10-30,2170750605
2015-11-02,2226147293
2015-11-03,2235855991
2015-11-04,2611639705
2015-11-05,2529972424
2015-11-06,2563096216
2015-11-09,2482000035
2015-11-10,2462582639
2015-11-11,2485997734
2015-11-12,2532827923
2015-11-13,2343793866
2015-11-16,2354073664
2015-11-17,2374633259
2015-11-18,2398619454
2015-11-19,2434598745
2015-11-20,2409470351
2015-11-23,2383199757
2015-11-24,2442023044
2015-11-25,2468293638
2015-11-27,2494564232
2015-11-30,2489995433
2015-12-01,2520834826
2015-12-02,2365495661
2015-12-03,2290681578
2015-12-04,2293537077
2015-12-07,2254702286
2015-12-08,2227289493
2015-12-09,2162755207
2015-12-10,2209014297
2015-12-11,2154188709
2015-12-14,2139340113
2015-12-15,2207872097
2015-12-16,2207300997
2015-12-17,2165039607
2015-12-18,2157044208
2015-12-21,2200447799
2015-12-22,2198734499
2015-12-23,2241566989
2015-12-24,2198734499
2015-12-28,2198734499
2015-12-29,2211298696
2015-12-30,2188454701
2015-12-31,2149911365
2016-01-04,2055070736
2016-01-05,1992224536
2016-01-06,1999080485
2016-01-07,2030503585
2016-01-08,1900240553
2016-01-11,1883100680
2016-01-12,1898526566
2016-01-13,1765406888
2016-01-14,1817397835
2016-01-15,1829395746
2016-01-19,1773405495
2016-01-20,1760836255
2016-01-21,1795116000
2016-01-22,1845392960
2016-01-25,1784832077
2016-01-26,1742553724
2016-01-27,1644285121
2016-01-28,1669423600
2016-01-29,1722557206
2016-02-01,1790545368
2016-02-02,1765406888
2016-02-03,1729413155
2016-02-04,1769406191
2016-02-05,1514593417
2016-02-08,1384901714
2016-02-09,1285490452
2016-02-10,1347193994
2016-02-11,1391757663
2016-02-12,1390043675
2016-02-16,1487740950
2016-02-17,1557443099
2016-02-18,1588866199
2016-02-19,1596864806
2016-02-22,1672280246
2016-02-23,1674565562
2016-02-24,1725985180
2016-02-25,1728841826
2016-02-26,1819111822
2016-02-29,1821397138
2016-03-01,1893384604
2016-03-02,1900240553
2016-03-03,1864246820
2016-03-04,1868817453
2016-03-07,1888813971
2016-03-08,1821397138
2016-03-09,1845964289
2016-03-10,1804257266
2016-03-11,1831109733
2016-03-14,1870531440
2016-03-15,1807113911
2016-03-16,1849963593
2016-03-17,1912238464
2016-03-18,1936805615
2016-03-21,1945375551
2016-03-22,1939090931
2016-03-23,1919094413
2016-03-24,1925379033
2016-03-28,1947089538
2016-03-29,2000794473
2016-03-30,2013363713
2016-03-31,2050259393
2016-04-01,2040468829
2016-04-04,2061777704
2016-04-05,1982877273
2016-04-06,2045652069
2016-04-07,1966751637
2016-04-08,1975390370
2016-04-11,1908584165
2016-04-12,1932772619
2016-04-13,2005337979
2016-04-14,2018584037
2016-04-15,1998426993
2016-04-18,2046227984
2016-04-19,2111306442
2016-04-20,2122824754
2016-04-21,2157955603
2016-04-22,2154500109
2016-04-25,2107275034
2016-04-26,2137222643
2016-04-27,2185599550
2016-04-28,2203452932
2016-04-29,2200573354
2016-05-02,2243191106
2016-05-03,2204604763
2016-05-04,2306541817
2016-05-05,2228217301
2016-05-06,2157379687
2016-05-09,2219578568
2016-05-10,2283505195
2016-05-11,2278897870
2016-05-12,2236856035
2016-05-13,2262196319
2016-05-16,2301358577
2016-05-17,2269107306
2016-05-18,2346279991
2016-05-19,2309997311
2016-05-20,2354342809
2016-05-23,2349159569
2016-05-24,2398688307
2016-05-25,2292719844
2016-05-26,2375651685
2016-05-27,2352039147
2016-05-31,2329002524
2016-06-01,2365285204
2016-06-02,2367012951
2016-06-03,2358374218
2016-06-06,2349735484
2016-06-07,2379683093
2016-06-08,2396384645
2016-06-09,2384866333
2016-06-10,2365285204
2016-06-13,2371620276
2016-06-14,2384290418
2016-06-15,2425180423
2016-06-16,2417693520
2016-06-17,2410782534
2016-06-20,2443609721
2016-06-21,2453400285
2016-06-22,2404447463
2016-06-23,2485651556
2016-06-24,2353766893
2016-06-27,2264499981
2016-06-28,2326122946
2016-06-29,2398688307
2016-06-30,2498390706
2016-07-01,2519784007
2016-07-05,2509376455
2016-07-06,2546381085
2016-07-07,2593215069
2016-07-08,2629641502
2016-07-11,2662598750
2016-07-12,2688039433
2016-07-13,2639470857
2016-07-14,2674162697
2016-07-15,2671271710
2016-07-18,2700759775
2016-07-19,2676475486
2016-07-20,2740077194
2016-07-21,2620968542
2016-07-22,2706541748
2016-07-25,2720418484
2016-07-26,2734873418
2016-07-27,2733717023
2016-07-28,2756844917
2016-07-29,2729669642
2016-08-01,2764939679
2016-08-02,2737186207
2016-08-03,2948228236
2016-08-04,2965574156
2016-08-05,2977716301
2016-08-08,2933773303
2016-08-09,2914692790
2016-08-10,2897346870
2016-08-11,2912958198
2016-08-12,2936086092
2016-08-15,2961526775
2016-08-16,2932038711
2016-08-17,2855716662
2016-08-18,2858029451
2016-08-19,2832010571
2016-08-22,2841839926
2016-08-23,2889252107
2016-08-24,2918161974
2016-08-25,2955166604
2016-08-26,2964995959
2016-08-29,2959213986
2016-08-30,2975403511
2016-08-31,2968465143
2016-09-01,2969043340
2016-09-02,3012408141
2016-09-06,3006626168
2016-09-07,3030910456
2016-09-08,3008360760
2016-09-09,2862076833
2016-09-12,2895034081
2016-09-13,2782863797
2016-09-14,2779394613
2016-09-15,2823915808
2016-09-16,2807726283
2016-09-19,2726778655
2016-09-20,2689774025
2016-09-21,2770721653
2016-09-22,2904863436
2016-09-23,2890408502
2016-09-26,2915849185
2016-09-27,2953432012
2016-09-28,2918161974
2016-09-29,2890408502
2016-09-30,2890121379
2016-10-03,2877437822
2016-10-04,2844575879
2016-10-05,2815173088
2016-10-06,2877437822
2016-10-07,2861871638
2016-10-10,2912029340
2016-10-11,2843999354
2016-10-12,2862448164
2016-10-13,2878590872
2016-10-14,2865330790
2016-10-17,2872249094
2016-10-18,2883203075
2016-10-19,2833045373
2016-10-20,2810560886
2016-10-21,2880896974
2016-10-24,3023298725
2016-10-25,2995625510
2016-10-26,2982365428
2016-10-27,2920100695
2016-10-28,2977176700
2016-10-31,2982365428
2016-11-01,2997931612
2016-11-02,2519415604
2016-11-03,2486553662
2016-11-04,2477905782
2016-11-07,2571879407
2016-11-08,2633567616
2016-11-09,2439278586
2016-11-10,2269203620
2016-11-11,2393733087
2016-11-14,2408146219
2016-11-15,2397192238
2016-11-16,2491742389
2016-11-17,2501543320
2016-11-18,2524604332
2016-11-21,2519992130
2016-11-22,2487130187
2016-11-23,2495201541
2016-11-25,2497507642
2016-11-28,2465798750
2016-11-29,2520568655
2016-11-30,2586869065
2016-12-01,2456574345
2016-12-02,2510191199
2016-12-05,2559772376
2016-12-06,2648557274
2016-12-07,2692949723
2016-12-08,2700444552
2016-12-09,2705056754
2016-12-12,2653746001
2016-12-13,2623190160
2016-12-14,2615118806
2016-12-15,2576491610
2016-12-16,2647404223
2016-12-19,2677383539
2016-12-20,2669312185
2016-12-21,2637026767
2016-12-22,2570149831
2016-12-23,2634720666
2016-12-27,2703903703
2016-12-28,2658358204
2016-12-29,2659511255
2016-12-30,2622613635
2017-01-03,2663064979
2017-01-04,2712922232
2017-01-05,2693437789
2017-01-06,2721518310
2017-01-09,2773667850
2017-01-10,2762779485
2017-01-11,2796017653
2017-01-12,2755902622
2017-01-13,2792006150
2017-01-17,2745014257
2017-01-18,2754756479
2017-01-19,2743868113
2017-01-20,2818940528
2017-01-23,2859055559
2017-01-24,2883697649
2017-01-25,2865932421
2017-01-26,2786275431
2017-01-27,2820086672
2017-01-30,2696876220
2017-01-31,2649884326
2017-02-01,2517504724
2017-02-02,2539854527
2017-02-03,2635557530
2017-02-06,2555900540
2017-02-07,2601746289
2017-02-08,2593723283
2017-02-09,2941004836
2017-02-10,2998885095
2017-02-13,2970804574
2017-02-14,2991435161
2017-02-15,3025246401
2017-02-16,3004042742
2017-02-17,3059057642
2017-02-21,3043584701
2017-02-22,3068799863
2017-02-23,3098026529
2017-02-24,3169087441
2017-02-27,3135276200
2017-02-28,3084845876
2017-03-01,3192583387
2017-03-02,3163356722
2017-03-03,3237856065
2017-03-06,3247598287
2017-03-07,3252182862
2017-03-08,3210921687
2017-03-09,3200606393
2017-03-10,3219517765
2017-03-13,3235563778
2017-03-14,3212640903
2017-03-15,3226967699
2017-03-16,3243013712
2017-03-17,3236136849
2017-03-20,3234417634
2017-03-21,3144445350
2017-03-22,3167941297
2017-03-23,3099745744
2017-03-24,3148456853
2017-03-27,3201752537
2017-03-28,3236709921
2017-03-29,3264790443
2017-03-30,3277398024
2017-03-31,3329766544
2017-04-03,3345978240
2017-04-04,3359294990
2017-04-05,3314133837
2017-04-06,3352347120
2017-04-07,3349452174
2017-04-10,3323397663
2017-04-11,3355821055
2017-04-12,3350610153
2017-04-13,3343083294
2017-04-17,3377243653
2017-04-18,3418351882
2017-04-19,3441511448
2017-04-20,3444406393
2017-04-21,3432247621
2017-04-24,3475092818
2017-04-25,3502884297
2017-04-26,3472197872
2017-04-27,3499989351
2017-04-28,3488409568
2017-05-01,3517938014
2017-05-02,3504042275
2017-05-03,3665001256
2017-05-04,3681212952
2017-05-05,3747217714
2017-05-08,3770377279
2017-05-09,3732742985
2017-05-10,3731585007
2017-05-11,3710162409
2017-05-12,3764008399
2017-05-15,3787167964
2017-05-16,3796431790
2017-05-17,3659211364
2017-05-18,3718268257
2017-05-19,3757060529
2017-05-22,3763429410
2017-05-23,3740269844
2017-05-24,3768640312
2017-05-25,3816117421
2017-05-26,3819012367
2017-05-30,3825960237
2017-05-31,3788904932
2017-06-01,3885596118
2017-06-02,3929599293
2017-06-05,3955653804
2017-06-06,3945810989
2017-06-07,3974181456
2017-06-08,3995604055
2017-06-09,3795852801
2017-06-12,3854330704
2017-06-13,3908176695
2017-06-14,3854909694
2017-06-15,3939442108
2017-06-16,4015868675
2017-06-19,4101559067
2017-06-20,4073188599
2017-06-21,4144404264
2017-06-22,4156563036
2017-06-23,4228357689
2017-06-26,4155405057
2017-06-27,4018763620
2017-06-28,4036712284
2017-06-29,3910492651
2017-06-30,3968000417
2017-07-03,3827632619
2017-07-05,3869974971
2017-07-06,3852574005
2017-07-07,3923337936
2017-07-10,3891436163
2017-07-11,3957559837
2017-07-12,4048624895
2017-07-13,3972060642
2017-07-14,3987141480
2017-07-17,4002222318
2017-07-18,4023683510
2017-07-19,4036444218
2017-07-20,4063125701
2017-07-21,4039344380
2017-07-24,4158831017
2017-07-25,4117068697
2017-07-26,4104888020
2017-07-27,4017303155
2017-07-28,4086907022
2017-07-31,4065445829
2017-08-01,4129249374
2017-08-02,3950599450
2017-08-03,4024843574
2017-08-04,4030063864
2017-08-07,4059645507
2017-08-08,4054425217
2017-08-09,4032964025
2017-08-10,3951179482
2017-08-11,3999902189
2017-08-14,4119968858
2017-08-15,4148970469
2017-08-16,4142010083
2017-08-17,4086326989
2017-08-18,4074726345
2017-08-21,4133889631
2017-08-22,4282957912
2017-08-23,4291078363
2017-08-24,4260916688
2017-08-25,4220894464
2017-08-28,4219154368
2017-08-29,4172171758
2017-08-30,4254536333
2017-08-31,4327620393
2017-09-01,4336900908
2017-09-05,4329940522
2017-09-06,4251056140
2017-09-07,4284117976
2017-09-08,4270777235
2017-09-11,4365902519
2017-09-12,4334580780
2017-09-13,4345601392
2017-09-14,4347921521
2017-09-15,4338060973
2017-09-18,4354881907
2017-09-19,4337480941
2017-09-20,4339801070
2017-09-21,4396064195
2017-09-22,4412885129
2017-09-25,4304999136
2017-09-26,4260336655
2017-09-27,4350821682
2017-09-28,4335740844
2017-09-29,4347921521
2017-10-02,4347052549
2017-10-03,4360415582
2017-10-04,4326136498
2017-10-05,4417353720
2017-10-06,4519609968
2017-10-09,4544012027
2017-10-10,4555632055
2017-10-11,4578291110
2017-10-12,4604436174
2017-10-13,4641620264
2017-10-16,4589330137
2017-10-17,4582939122
2017-10-18,4623609220
2017-10-19,4603855172
2017-10-20,4652078289
2017-10-23,4617799206
2017-10-24,4652078289
2017-10-25,4634648247
2017-10-26,4704949418
2017-10-27,4764792563
2017-10-30,4655564298
2017-10-31,4775831590
2017-11-01,4491140899
2017-11-02,4605598177
2017-11-03,4664860320
2017-11-06,4756658543
2017-11-07,4640458261
2017-11-08,4613732196
2017-11-09,4559699065
2017-11-10,4584101124
2017-11-13,4617799206
2017-11-14,4641620264
2017-11-15,4560861068
2017-11-16,4731094481
2017-11-17,4763630560
2017-11-20,4847875765
2017-11-21,4946646004
2017-11-22,4925729953
2017-11-24,4972791068
2017-11-27,4887964862
2017-11-28,4911204918
2017-11-29,4697396399
2017-11-30,4764211562
2017-12-01,4678804354
2017-12-04,4453956809
2017-12-05,4430716752
2017-12-06,4476615864
2017-12-07,4547498036
2017-12-08,4570157091
2017-12-11,4621285215
2017-12-12,4527162986
2017-12-13,4616056202
2017-12-14,4623028219
2017-12-15,4725865468
2017-12-18,4808948670
2017-12-19,4793842633
2017-12-20,4783384608
2017-12-21,4744457514
2017-12-22,4689843381
2017-12-26,4689262380
2017-12-27,4722379460
2017-12-28,4691586385
2017-12-29,4667184326
2018-01-02,4648870770
2018-01-03,4682968653
2018-01-04,4803178141
2018-01-05,4847678769
2018-01-08,4891601466
2018-01-09,4896224908
2018-01-10,4876575280
2018-01-11,4883510443
2018-01-12,5129130791
2018-01-16,5025103349
2018-01-17,5106013582
2018-01-18,5150514209
2018-01-19,5270145767
2018-01-22,5334873953
2018-01-23,5315802255
2018-01-24,5234314093
2018-01-25,5195014837
2018-01-26,5371283557
2018-01-29,5354523580
2018-01-30,5282282302
2018-01-31,5296152627
2018-02-01,5211196883
2018-02-02,5117572186
2018-02-05,4858659443
2018-02-06,5005453722
2018-02-07,4883510443
2018-02-08,4791041606
2018-02-09,4817048467
2018-02-12,4884088373
2018-02-13,5137799744
2018-02-14,5321581557
2018-02-15,5490915115
2018-02-16,5484557882
2018-02-20,5534259882
2018-02-21,5526168859
2018-02-22,5554487440
2018-02-23,5687989323
2018-02-26,5749827858
2018-02-27,5757340951
2018-02-28,5716885835
2018-03-01,5707638951
2018-03-02,5924362787
2018-03-05,6028968159
2018-03-06,6117969414
2018-03-07,6212749972
2018-03-08,6319089134
2018-03-09,6354920809
2018-03-12,6368791134
2018-03-13,6329491878
2018-03-14,6429473808
2018-03-15,6346829785
2018-03-16,6356076669
2018-03-19,6243958204
2018-03-20,6420804855
2018-03-21,6531189529
2018-03-22,6399421436
2018-03-23,6171716926
2018-03-26,6580313598
2018-03-27,6219685135
2018-03-28,6078670159
2018-03-29,6206392739
2018-04-02,6008139970
2018-04-03,6059615178
2018-04-04,6238910845
2018-04-05,6281132083
2018-04-06,6199003100
2018-04-09,6234283860
2018-04-10,6422255124
2018-04-11,6493395018
2018-04-12,6446546795
2018-04-13,6359790827
2018-04-16,6478357317
2018-04-17,6710863311
2018-04-18,6802824637
2018-04-19,6753084549
2018-04-20,6695247237
2018-04-23,6597502179
2018-04-24,6393914841
2018-04-25,6407217423
2018-04-26,6558751180
2018-04-27,6563956538
2018-04-30,6605599403
2018-05-01,6511902958
2018-05-02,6037058626
2018-05-03,6079858237
2018-05-04,6205365204
2018-05-07,6264937635
2018-05-08,6302531888
2018-05-09,6304267008
2018-05-10,6334342410
2018-05-11,6210570562
2018-05-14,5899984197
2018-05-15,5874535779
2018-05-16,5880319511
2018-05-17,5881476257
2018-05-18,5987318538
2018-05-21,5939891942
2018-05-22,5837519900
2018-05-23,5886681615
2018-05-24,5960135001
2018-05-25,6016237194
2018-05-29,6017972313
2018-05-30,6074074506
2018-05-31,6100101296
2018-06-01,6105885027
2018-06-04,6241802711
2018-06-05,6354007096
2018-06-06,6329715425
2018-06-07,5959556628
2018-06-08,6100101296
2018-06-11,6167770951
2018-06-12,6388131110
2018-06-13,6461584496
2018-06-14,6574367255
2018-06-15,6513638077
2018-06-18,6600972418
2018-06-19,6574945628
2018-06-20,6515373196
2018-06-21,6352271976
2018-06-22,6201316592
2018-06-25,5809179617
2018-06-26,5879741137
2018-06-27,5625835338
2018-06-28,5785466319
2018-06-29,5716061544
2018-07-02,5844260219
2018-07-03,5811355949
2018-07-05,5851764702
2018-07-06,5973568229
2018-07-09,6053808467
2018-07-10,6092485416
2018-07-11,6173302922
2018-07-12,6379387562
2018-07-13,6360914990
2018-07-16,6339556077
2018-07-17,6392087456
2018-07-18,6415178172
2018-07-19,6440000692
2018-07-20,6451546050
2018-07-23,6508695572
2018-07-24,6343019685
2018-07-25,6500613821
2018-07-26,6504654697
2018-07-27,6235070587
2018-07-30,5952786584
2018-07-31,6133471437
2018-08-01,7270111932
2018-08-02,7794848453
2018-08-03,7667272247
2018-08-06,7763098719
2018-08-07,7758480576
2018-08-08,7783880363
2018-08-09,7726730841
2018-08-10,7836989010
2018-08-13,7770025934
2018-08-14,7960524341
2018-08-15,7826598188
2018-08-16,7981305985
2018-08-17,8074246117
2018-08-20,8174690731
2018-08-21,8315544099
2018-08-22,8390588926
2018-08-23,8442543037
2018-08-24,8713281682
2018-08-27,8743876881
2018-08-28,8794099188
2018-08-29,8885884784
2018-08-30,8820076244
2018-08-31,8954579664
2018-09-04,9018079133
2018-09-05,8567810171
2018-09-06,8776781151
2018-09-07,8999606561
2018-09-10,9061951494
2018-09-11,9178559610
2018-09-12,9170477859
2018-09-13,9356935391
2018-09-14,9427939342
2018-09-17,9086196746
2018-09-18,9102937515
2018-09-19,8868566747
2018-09-20,8859907729
2018-09-21,8869721283
2018-09-24,8945920646
2018-09-25,9179714145
2018-09-26,8934375288
2018-09-27,8946497914
2018-09-28,8971320433
2018-10-01,8669685024
2018-10-02,8446618857
2018-10-03,8485712928
2018-10-04,8089023095
2018-10-05,7994162484
2018-10-08,7748099805
2018-10-09,7749824544
2018-10-10,7391078956
2018-10-11,7250800233
2018-10-12,7524458726
2018-10-15,7464667795
2018-10-16,7822263556
2018-10-17,7848134632
2018-10-18,7683134659
2018-10-19,7526758377
2018-10-22,7690033612
2018-10-23,7577350704
2018-10-24,7099023254
2018-10-25,7323239246
2018-10-26,7132368196
2018-10-29,7121444853
2018-10-30,7450294975
2018-10-31,7197908256
2018-11-01,7214580727
2018-11-02,7193308953
2018-11-05,7142141714
2018-11-06,7080626044
2018-11-07,7372106834
2018-11-08,7320364682
2018-11-09,7299667821
2018-11-12,7047856015
2018-11-13,7111671336
2018-11-14,7066828137
2018-11-15,7169162616
2018-11-16,7107072033
2018-11-19,6506863070
2018-11-20,6554005920
2018-11-21,6901253251
2018-11-23,6850086012
2018-11-26,7061653922
2018-11-27,6984615607
2018-11-28,7476740964
2018-11-29,7552629453
2018-11-30,7633117245
2018-12-03,7745800154
2018-12-04,7531357680
2018-12-06,7679110269
2018-12-07,7453169539
2018-12-10,7572751401
2018-12-11,7567002273
2018-12-12,7737751375
2018-12-13,7667037100
2018-12-14,7509510993
