,CZR
2016-07-19,319497422
2016-07-20,328936046
2016-07-21,324216734
2016-07-22,329879908
2016-07-25,328464115
2016-07-26,336958876
2016-07-27,334599220
2016-07-28,332239564
2016-07-29,325632528
2016-08-01,347341363
2016-08-02,374713372
2016-08-03,344037844
2016-08-04,352532606
2016-08-05,349701019
2016-08-08,351116812
2016-08-09,353948400
2016-08-10,349701019
2016-08-11,353004537
2016-08-12,350644881
2016-08-15,351588744
2016-08-16,344509776
2016-08-17,366218611
2016-08-18,365746680
2016-08-19,364330886
2016-08-22,361971230
2016-08-23,361499299
2016-08-24,358667712
2016-08-25,356779987
2016-08-26,355364193
2016-08-29,299676312
2016-08-30,299204380
2016-08-31,298260518
2016-09-01,294013137
2016-09-02,290237688
2016-09-06,291181550
2016-09-07,306283348
2016-09-08,315250041
2016-09-09,298260518
2016-09-12,314778110
2016-09-13,312890385
2016-09-14,319497422
2016-09-15,323272872
2016-09-16,320913216
2016-09-19,319969353
2016-09-20,314778110
2016-09-21,382264272
2016-09-22,461548713
2016-09-23,450222364
2016-09-26,446446915
2016-09-27,361971230
2016-09-28,358903677
2016-09-29,349229088
2016-09-30,350937792
2016-10-03,357061539
2016-10-04,359887884
2016-10-05,362714228
2016-10-06,361772113
2016-10-07,362243171
2016-10-10,360358941
2016-10-11,353293080
2016-10-12,358003654
2016-10-13,350937792
2016-10-14,353293080
2016-10-17,355648367
2016-10-18,343871931
2016-10-19,350937792
2016-10-20,343871931
2016-10-21,339161356
2016-10-24,346227218
2016-10-25,341516644
2016-10-26,336806069
2016-10-27,336806069
2016-10-28,334450782
2016-10-31,334450782
2016-11-01,334450782
2016-11-02,332095495
2016-11-03,322674346
2016-11-04,320319059
2016-11-07,325029633
2016-11-08,327384920
2016-11-09,341516644
2016-11-10,336806069
2016-11-11,341516644
2016-11-14,336806069
2016-11-15,329740208
2016-11-16,329740208
2016-11-17,325029633
2016-11-18,334450782
2016-11-21,341516644
2016-11-22,346227218
2016-11-23,348582505
2016-11-25,355648367
2016-11-28,355648367
2016-11-29,346227218
2016-11-30,353293080
2016-12-01,355648367
2016-12-02,367424803
2016-12-05,383911813
2016-12-06,388622388
2016-12-07,386267100
2016-12-08,381556526
2016-12-09,388622388
2016-12-12,386267100
2016-12-13,388622388
2016-12-14,379201239
2016-12-15,358003654
2016-12-16,353293080
2016-12-19,343871931
2016-12-20,348582505
2016-12-21,350937792
2016-12-22,336806069
2016-12-23,369780090
2016-12-27,386267100
2016-12-28,379201239
2016-12-29,390977675
2016-12-30,400398824
2017-01-03,391102233
2017-01-04,395814308
2017-01-05,402882421
2017-01-06,419374683
2017-01-09,431154871
2017-01-10,414662608
2017-01-11,407594496
2017-01-12,407594496
2017-01-13,421730721
2017-01-17,421730721
2017-01-18,414662608
2017-01-19,421730721
2017-01-20,421730721
2017-01-23,428798834
2017-01-24,433510909
2017-01-25,431154871
