,TRGP
2013-03-12,2556320000
2013-03-13,2533440000
2013-03-14,2568800000
2013-03-15,2574624000
2013-03-18,2598752000
2013-03-19,2588768000
2013-03-20,2653664000
2013-03-21,2649504000
2013-03-22,2723552000
2013-03-25,2712320000
2013-03-26,2777216000
2013-03-27,2799264000
2013-03-28,2827135999
2013-04-01,2827968000
2013-04-02,2857920000
2013-04-03,2796768000
2013-04-04,2797600000
2013-04-05,2795104000
2013-04-08,2858752000
2013-04-09,2852511999
2013-04-10,2830048000
2013-04-11,2840032000
2013-04-12,2830880000
2013-04-15,2729376000
2013-04-16,2782208000
2013-04-17,2740608000
2013-04-18,2748928000
2013-04-19,2806752000
2013-04-22,2814240000
2013-04-23,2834208000
2013-04-24,2810080000
2013-04-25,2750176000
2013-04-26,2733952000
2013-04-29,2771808000
2013-04-30,2735616000
2013-05-01,2678208000
2013-05-02,2733952000
2013-05-03,2798432000
2013-05-06,2826304000
2013-05-07,2833792000
2013-05-08,2859168000
2013-05-09,2854176000
2013-05-10,2878304000
2013-05-13,2836704000
2013-05-14,2833792000
2013-05-15,2844192000
2013-05-16,2820480000
2013-05-17,2821311999
2013-05-20,2817152000
2013-05-21,2825056000
2013-05-22,2790944000
2013-05-23,2817152000
2013-05-24,2796768000
2013-05-28,2814240000
2013-05-29,2780128000
2013-05-30,2734368000
2013-05-31,2679872000
2013-06-03,2661152000
2013-06-04,2651584000
2013-06-05,2630784000
2013-06-06,2676960000
2013-06-07,2721472000
2013-06-10,2767232000
2013-06-11,2725632000
2013-06-12,2704832000
2013-06-13,2743935999
2013-06-14,2753088000
2013-06-17,2795935999
2013-06-18,2785535999
2013-06-19,2739776000
2013-06-20,2612896000
2013-06-21,2565888000
2013-06-24,2579200000
2013-06-25,2637856000
2013-06-26,2666144000
2013-06-27,2690272000
2013-06-28,2676128000
2013-07-01,2768064000
2013-07-02,2763072000
2013-07-03,2748096000
2013-07-05,2789280000
2013-07-08,2824640000
2013-07-09,2849184000
2013-07-10,2824640000
2013-07-11,2844608000
2013-07-12,2848768000
2013-07-15,2849184000
2013-07-16,2798848000
2013-07-17,2824640000
2013-07-18,2816735999
2013-07-19,2834624000
2013-07-22,2869152000
2013-07-23,2874560000
2013-07-24,2849600000
2013-07-25,2864576000
2013-07-26,2853760000
2013-07-29,2843776000
2013-07-30,2840448000
2013-07-31,2835872000
2013-08-01,2893280000
2013-08-02,2875392000
2013-08-05,2837120000
2013-08-06,2860000000
2013-08-07,2817568000
2013-08-08,2781376000
2013-08-09,2800928000
2013-08-12,2798016000
2013-08-13,2790528000
2013-08-14,2784288000
2013-08-15,2784288000
2013-08-16,2762656000
2013-08-19,2751840000
2013-08-20,2780128000
2013-08-21,2769728000
2013-08-22,2788032000
2013-08-23,2808832000
2013-08-26,2810911999
