,PFG
2002-06-17,10914200000
2002-06-18,10564224000
2002-06-19,10712152000
2002-06-20,10618344000
2002-06-21,10387432000
2002-06-24,10593088000
2002-06-25,10715760000
2002-06-26,10437944000
2002-06-27,10733800000
2002-06-28,11184800000
2002-07-01,10189252171
2002-07-02,9796695649
2002-07-03,9311165215
2002-07-05,9538434780
2002-07-08,9882782606
2002-07-09,9297391302
2002-07-10,9758817388
2002-07-11,10089391301
2002-07-12,10227130432
2002-07-15,10037739127
2002-07-16,10037739127
2002-07-17,9893113040
2002-07-18,9590086954
2002-07-19,9624521736
2002-07-22,9400695649
2002-07-23,9090782606
2002-07-24,9572869562
2002-07-25,9070121736
2002-07-26,8953043476
2002-07-29,9676173910
2002-07-30,9762260867
2002-07-31,9886226084
2002-08-01,9641739128
2002-08-02,9331826084
2002-08-05,8953043476
2002-08-06,8732660867
2002-08-07,9070121736
2002-08-08,9538434780
2002-08-09,9934434780
2002-08-12,9755373910
2002-08-13,9572869562
2002-08-14,10089391301
2002-08-15,10182365214
2002-08-16,9951652171
2002-08-19,10147930432
2002-08-20,9934434780
2002-08-21,9937878258
2002-08-22,10423408693
2002-08-23,10240904345
2002-08-26,10254678258
2002-08-27,10082504345
2002-08-28,9958539127
2002-08-29,10082504345
2002-08-30,10099721736
2002-09-03,9834573910
2002-09-04,10048069562
2002-09-05,9986086954
2002-09-06,10010191301
2002-09-09,10020521736
2002-09-10,10037739127
2002-09-11,9992973910
2002-09-12,9813913041
2002-09-13,9769147823
2002-09-16,9865565214
2002-09-17,9586643475
2002-09-18,9448904345
2002-09-19,9221634780
2002-09-20,9256069562
2002-09-23,9469565215
2002-09-24,9503999997
2002-09-25,9107999997
2002-09-26,9183756519
2002-09-27,9118330432
2002-09-30,8672821283
2002-10-01,9255868092
2002-10-02,8961031921
2002-10-03,8371359580
2002-10-04,8175906389
2002-10-07,8212346814
2002-10-08,7947325538
2002-10-09,7599485112
2002-10-10,7785000006
2002-10-11,8444240432
2002-10-14,8533685112
2002-10-15,9076978730
2002-10-16,8778829794
2002-10-17,9209489368
2002-10-18,9318810645
2002-10-21,9540765964
2002-10-22,9434757454
2002-10-23,9361876602
2002-10-24,9275744688
2002-10-25,9388378730
2002-10-28,9418193624
2002-10-29,9120044687
2002-10-30,9252555326
2002-10-31,9292308517
2002-11-01,9192925539
2002-11-04,9305559581
2002-11-05,9235991496
2002-11-06,9351938305
2002-11-07,9524202135
2002-11-08,9434757454
2002-11-11,9173048943
2002-11-12,9222740432
2002-11-13,9332061709
2002-11-14,9636836177
2002-11-15,9809100007
2002-11-18,9590457454
2002-11-19,9693153198
2002-11-20,9805787241
2002-11-21,10054244688
2002-11-22,10137063837
2002-11-25,9795848943
2002-11-26,9630210645
2002-11-27,9686527667
2002-11-29,9607021284
2002-12-02,9557329794
2002-12-03,9613646815
2002-12-04,9722968092
2002-12-05,9607021284
2002-12-06,9799161709
2002-12-09,9706404262
2002-12-10,9822351071
2002-12-11,9756095752
2002-12-12,9683214901
2002-12-13,9673276603
2002-12-16,10001240433
2002-12-17,9948236177
2002-12-18,9931672348
2002-12-19,9805787241
2002-12-20,10130438305
2002-12-23,10216570220
2002-12-24,10196693624
2002-12-26,10203319156
2002-12-27,10007865965
2002-12-30,10087372348
2002-12-31,9981363837
2003-01-02,10130438305
2003-01-03,10070808518
2003-01-06,10176817029
2003-01-07,9938297880
2003-01-08,9699778730
2003-01-09,10186755327
2003-01-10,10170191497
2003-01-13,10156940433
2003-01-14,10203319156
2003-01-15,10070808518
2003-01-16,9895231922
2003-01-17,9895231922
2003-01-21,9689840433
2003-01-22,9597082986
2003-01-23,9746157454
2003-01-24,9467885113
2003-01-27,9434757454
2003-01-28,9550704262
2003-01-29,9557329794
2003-01-30,9494387241
2003-01-31,9474510645
2003-02-03,9487761709
2003-02-04,9242617028
2003-02-05,9100168092
2003-02-06,8881525538
2003-02-07,8894776602
2003-02-10,8927904262
2003-02-11,8808644687
2003-02-12,8742389368
2003-02-13,8802019155
2003-02-14,9169736177
2003-02-18,9395004262
2003-02-19,9288995751
2003-02-20,9209489368
2003-02-21,9348625539
2003-02-24,9176361709
2003-02-25,9133295751
2003-02-26,8811957453
2003-02-27,9133295751
2003-02-28,9133295751
2003-03-03,9129982985
2003-03-04,9076978730
2003-03-05,9123357453
2003-03-06,9149859581
2003-03-07,9216114900
2003-03-10,8977595751
2003-03-11,8613191496
2003-03-12,8556874474
2003-03-13,8911340432
2003-03-14,8937842560
2003-03-17,9308872347
2003-03-18,9179674475
2003-03-19,9325436177
2003-03-20,9216114900
2003-03-21,9408255326
2003-03-24,9182987241
2003-03-25,9322123411
2003-03-26,9196238304
2003-03-27,9173048943
2003-03-28,9176361709
2003-03-31,8851141928
2003-04-01,9059864508
2003-04-02,9160964508
2003-04-03,9069648379
2003-04-04,9200099992
2003-04-07,9258803218
2003-04-08,9327290315
2003-04-09,9294677412
2003-04-10,9395777411
2003-04-11,9369687089
2003-04-14,9597977411
2003-04-15,9751258056
2003-04-16,9539274186
2003-04-17,9653419347
2003-04-21,9620806444
2003-04-22,9816483863
2003-04-23,9676248379
2003-04-24,9601238702
2003-04-25,9340335476
2003-04-28,9539274186
2003-04-29,9568625798
2003-04-30,9490354831
2003-05-01,9392516121
2003-05-02,9545796766
2003-05-05,9539274186
2003-05-06,9646896766
2003-05-07,9637112895
2003-05-08,9555580637
2003-05-09,9761041927
2003-05-12,9946935476
2003-05-13,9891493540
2003-05-14,9914322572
2003-05-15,10123045153
2003-05-16,10077387088
2003-05-19,9836051605
2003-05-20,9849096766
2003-05-21,9920845153
2003-05-22,10116522572
2003-05-23,10057819346
2003-05-27,10136090314
2003-05-28,10126306443
2003-05-29,10070864508
2003-05-30,10357858056
2003-06-02,10318722572
2003-06-03,10240451604
2003-06-04,10501354830
2003-06-05,10631806443
2003-06-06,10729645152
2003-06-09,10514399991
2003-06-10,10697032249
2003-06-11,10882925797
2003-06-12,11000332249
2003-06-13,10905754830
2003-06-16,11186225797
2003-06-17,11176441926
2003-06-18,11182964507
2003-06-19,10915538701
2003-06-20,10889448378
2003-06-23,10595932249
2003-06-24,10635067733
2003-06-25,10599193540
2003-06-26,10582887088
2003-06-27,10533967733
2003-06-30,10438815804
2003-07-01,10697763173
2003-07-02,10765736857
2003-07-03,10662157910
2003-07-07,10856368436
2003-07-08,10849894752
2003-07-09,10794868436
2003-07-10,10607131594
2003-07-11,10778684226
2003-07-14,10856368436
2003-07-15,10817526331
2003-07-16,10772210542
2003-07-17,10425868436
2003-07-18,10616842120
2003-07-21,10451763173
2003-07-22,10539157910
2003-07-23,10584473699
2003-07-24,10645973699
2003-07-25,11002026331
2003-07-28,10963184226
2003-07-29,10904921068
2003-07-30,10746315805
2003-07-31,10552105278
2003-08-01,10513263173
2003-08-04,10552105278
2003-08-05,9946815804
2003-08-06,10176631593
2003-08-07,10309342120
2003-08-08,10387026330
2003-08-11,10205763172
2003-08-12,10370842120
2003-08-13,10319052646
2003-08-14,10477657910
2003-08-15,10474421067
2003-08-18,10529447383
2003-08-19,10565052647
2003-08-20,10328763173
2003-08-21,10283447383
2003-08-22,10160447383
2003-08-25,10034210541
2003-08-26,9988894751
2003-08-27,9933868435
2003-08-28,10069815804
2003-08-29,10183105278
2003-09-02,10455000015
2003-09-03,10571526331
2003-09-04,10578000015
2003-09-05,10480894752
2003-09-08,10568289489
2003-09-09,10432342120
2003-09-10,10102184225
2003-09-11,10144263172
2003-09-12,10173394751
2003-09-15,10192815804
2003-09-16,10302868436
2003-09-17,10267263172
2003-09-18,10432342120
2003-09-19,10374078962
2003-09-22,10166921067
2003-09-23,10173394751
2003-09-24,10079526330
2003-09-25,9937105277
2003-09-26,9820578961
2003-09-29,10050394751
2003-09-30,9999440010
2003-10-01,10276933343
2003-10-02,10241440010
2003-10-03,10225306677
2003-10-06,10322106677
2003-10-07,10302746677
2003-10-08,10247893343
2003-10-09,10241440010
2003-10-10,10067200010
2003-10-13,10409226677
2003-10-14,10457626677
2003-10-15,10276933343
2003-10-16,10351146677
2003-10-17,10302746677
2003-10-20,10325333344
2003-10-21,10338240010
2003-10-22,10215626677
2003-10-23,10305973343
2003-10-24,10247893343
2003-10-27,10167226677
2003-10-28,10180133343
2003-10-29,10018800010
2003-10-30,9938133343
2003-10-31,10115600010
2003-11-03,10386640010
2003-11-04,10283386677
2003-11-05,10034933343
2003-11-06,10131733343
2003-11-07,9970400010
2003-11-10,10070426677
2003-11-11,10141413343
2003-11-12,10199493343
2003-11-13,10260800010
2003-11-14,10183360010
2003-11-17,10176906677
2003-11-18,10173680010
2003-11-19,10296293343
2003-11-20,10257573343
2003-11-21,10289840010
2003-11-24,10289840010
2003-11-25,10357600010
2003-11-26,10686720011
2003-11-28,10683493344
2003-12-01,10783520011
2003-12-02,11035200011
2003-12-03,10851280011
2003-12-04,10883546677
2003-12-05,10896453344
2003-12-08,10990026678
2003-12-09,10744800011
2003-12-10,10593146677
2003-12-11,10754480011
2003-12-12,10806106677
2003-12-15,10502800010
2003-12-16,10635093344
2003-12-17,10602826677
2003-12-18,10683493344
2003-12-19,10680266677
2003-12-22,10599600010
2003-12-23,10638320010
2003-12-24,10615733344
2003-12-26,10589920010
2003-12-29,10754480011
2003-12-30,10751253344
2003-12-31,10670586677
2004-01-02,10625413344
2004-01-05,10496346677
2004-01-06,10509253344
2004-01-07,10518933344
2004-01-08,10525386677
2004-01-09,10506026677
2004-01-12,10428586677
2004-01-13,10615733344
2004-01-14,11012613344
2004-01-15,11019066678
2004-01-16,11332053345
2004-01-20,11383680011
2004-01-21,11625680012
2004-01-22,11606320011
2004-01-23,11545013345
2004-01-26,11612773345
2004-01-27,11493386678
2004-01-28,11293333345
2004-01-29,11303013345
2004-01-30,11196533344
2004-02-02,11438533345
2004-02-03,11519200011
2004-02-04,11435306678
2004-02-05,11399813345
2004-02-06,11577280011
2004-02-09,11515973345
2004-02-10,11651493345
2004-02-11,11825733345
2004-02-12,11780560012
2004-02-13,11764426678
2004-02-17,11893493345
2004-02-18,11777333345
2004-02-19,11841866678
2004-02-20,11848320012
2004-02-23,11774106678
2004-02-24,11712800012
2004-02-25,11822506678
2004-02-26,11777333345
2004-02-27,11680533345
2004-03-01,11728933345
2004-03-02,11696666678
2004-03-03,11806373345
2004-03-04,11728933345
2004-03-05,11854773345
2004-03-08,11787013345
2004-03-09,11712800012
2004-03-10,11506293345
2004-03-11,11332053345
2004-03-12,11299786678
2004-03-15,11028746678
2004-03-16,11286880011
2004-03-17,11374000011
2004-03-18,11480480011
2004-03-19,11283653344
2004-03-22,11225573344
2004-03-23,11148133344
2004-03-24,11109413344
2004-03-25,11212666678
2004-03-26,11299786678
2004-03-29,11467573345
2004-03-30,11480480011
2004-03-31,11223450000
2004-04-01,11324250000
2004-04-02,11254949999
2004-04-05,11277000000
2004-04-06,11336850000
2004-04-07,11340000000
2004-04-08,11321100000
2004-04-12,11421900000
2004-04-13,11141550000
2004-04-14,11018699999
2004-04-15,10933650000
2004-04-16,11094300000
2004-04-19,11015550000
2004-04-20,10807650000
2004-04-21,10813950000
2004-04-22,11050200000
2004-04-23,11078550000
2004-04-26,11088000000
2004-04-27,11207700000
2004-04-28,11050200000
2004-04-29,11056500000
2004-04-30,11119500000
2004-05-03,11277000000
2004-05-04,11047050000
2004-05-05,10939949999
2004-05-06,10763550000
2004-05-07,10395000000
2004-05-10,10228050000
2004-05-11,10183950000
2004-05-12,10939949999
2004-05-13,10867500000
2004-05-14,11002950000
2004-05-17,10744650000
2004-05-18,10817100000
2004-05-19,10889550000
2004-05-20,10851750000
2004-05-21,10939949999
2004-05-24,10848600000
2004-05-25,10949400000
2004-05-26,10965150000
2004-05-27,11040750000
2004-05-28,11009250000
2004-06-01,11002950000
2004-06-02,11128950000
2004-06-03,11110050000
2004-06-04,11207700000
2004-06-07,11305350000
2004-06-08,11302200000
2004-06-09,11236050000
2004-06-10,11245500000
2004-06-14,11002950000
2004-06-15,11037600000
2004-06-16,11103750000
2004-06-17,11072250000
2004-06-18,11072250000
2004-06-21,10990350000
2004-06-22,10873800000
2004-06-23,10943100000
2004-06-24,10873800000
2004-06-25,10886400000
2004-06-28,10848600000
2004-06-29,11002950000
2004-06-30,10825275000
2004-07-01,10965337499
2004-07-02,10987125000
2004-07-06,11046262500
2004-07-07,11064937500
2004-07-08,10990237500
2004-07-09,11043149999
2004-07-12,11024475000
2004-07-13,11012025000
2004-07-14,10956000000
2004-07-15,10837725000
2004-07-16,10707000000
2004-07-19,10703887500
2004-07-20,10775475000
2004-07-21,10591837500
2004-07-22,10566937500
2004-07-23,10504687500
2004-07-26,10542037500
2004-07-27,10535812500
2004-07-28,10476674999
2004-07-29,10563825000
2004-07-30,10579387500
2004-08-02,10694550000
2004-08-03,10187212499
2004-08-04,10261912500
2004-08-05,10034700000
2004-08-06,10028475000
2004-08-09,10109399999
2004-08-10,10230787500
2004-08-11,10240125000
2004-08-12,10177875000
2004-08-13,10184100000
2004-08-16,10405087500
2004-08-17,10324162500
2004-08-18,10501575000
2004-08-19,10433100000
2004-08-20,10482900000
2004-08-23,10433100000
2004-08-24,10470450000
2004-08-25,10582500000
2004-08-26,10551375000
2004-08-27,10613625000
2004-08-30,10638525000
2004-08-31,10803487500
2004-09-01,10859512500
2004-09-02,10927987500
2004-09-03,10924875000
2004-09-07,11068050000
2004-09-08,11018250000
2004-09-09,11040037500
2004-09-10,11033812500
2004-09-13,11152087500
2004-09-14,11276587499
2004-09-15,11120962499
2004-09-16,11220562500
2004-09-17,11236125000
2004-09-20,11102287500
2004-09-21,11170762500
2004-09-22,11049375000
2004-09-23,10974675000
2004-09-24,10993350000
2004-09-27,11015137500
2004-09-28,11183212500
2004-09-29,11373075000
2004-09-30,10712804349
2004-10-01,10933195653
2004-10-04,10983826088
2004-10-05,10900434784
2004-10-06,10939152175
2004-10-07,10837891305
2004-10-08,10769391305
2004-10-11,10817043479
2004-10-12,10870652175
2004-10-13,10724717392
2004-10-14,10510282610
2004-10-15,10444760871
2004-10-18,10578782610
2004-10-19,10254152175
2004-10-20,10480500001
2004-10-21,10474543479
2004-10-22,10575804349
2004-10-25,10608565218
2004-10-26,10864695653
2004-10-27,10939152175
2004-10-28,11034456523
2004-10-29,11245913045
2004-11-01,10968934784
2004-11-02,11314413045
2004-11-03,11236978262
2004-11-04,11362065219
2004-11-05,11427586958
2004-11-08,11624152175
2004-11-09,11537782610
2004-11-10,11597347827
2004-11-11,11755195653
2004-11-12,11537782610
2004-11-15,11639043479
2004-11-16,11543739132
2004-11-17,11540760871
2004-11-18,11525869566
2004-11-19,11409717392
2004-11-22,11525869566
2004-11-23,11490130436
2004-11-24,11508000001
2004-11-26,11388869566
2004-11-29,11272717392
2004-11-30,11222086958
2004-12-01,11522891306
2004-12-02,11528847827
2004-12-03,11555652175
2004-12-06,11591391306
2004-12-07,11481195653
2004-12-08,11591391306
2004-12-09,11585434784
2004-12-10,11615217393
2004-12-13,11650956523
2004-12-14,11609260871
2004-12-15,11868369566
2004-12-16,11895173914
2004-12-17,11871347827
2004-12-20,11853478262
2004-12-21,11945804349
2004-12-22,12061956523
2004-12-23,12064934784
2004-12-27,12041108697
2004-12-28,12273413045
2004-12-29,12213847827
2004-12-30,12216826088
2004-12-31,12193000001
2005-01-03,12079826088
2005-01-04,12067913045
2005-01-05,11930913045
2005-01-06,11895173914
2005-01-07,11856456523
2005-01-10,11910065219
2005-01-11,11832630436
2005-01-12,12008347827
2005-01-13,11942826088
2005-01-14,11993456523
2005-01-18,12255543480
2005-01-19,12076847827
2005-01-20,11889217393
2005-01-21,11880282610
2005-01-24,11871347827
2005-01-25,11892195653
2005-01-26,12050043480
2005-01-27,11880282610
2005-01-28,11835608697
2005-01-31,12085782610
2005-02-01,12282347827
2005-02-02,12327021740
2005-02-03,12377652175
2005-02-04,12344891306
2005-02-07,12437217393
2005-02-08,11826673914
2005-02-09,11695630436
2005-02-10,11752217393
2005-02-11,11841565219
2005-02-14,11793913045
2005-02-15,11972608697
2005-02-16,11901130436
2005-02-17,11749239132
2005-02-18,11731369566
2005-02-22,11415673914
2005-02-23,11466304349
2005-02-24,11552673914
2005-02-25,11761152175
2005-02-28,11621173914
2005-03-01,11576500001
2005-03-02,11549695653
2005-03-03,11528847827
2005-03-04,11582456523
2005-03-07,11594369566
2005-03-08,11555652175
2005-03-09,11525869566
2005-03-10,11618195653
2005-03-11,11368021740
2005-03-14,11519913045
2005-03-15,11630108697
2005-03-16,11579478262
2005-03-17,11588413045
2005-03-18,11603304349
2005-03-21,11466304349
2005-03-22,11287608697
2005-03-23,11284630436
2005-03-24,11201239132
2005-03-28,11376956523
2005-03-29,11317391306
2005-03-30,11469282610
2005-03-31,11078627699
2005-04-01,10969251795
2005-04-04,11124680711
2005-04-05,11110289145
2005-04-06,11188003602
2005-04-07,11153463843
2005-04-08,10966373482
2005-04-11,11000913241
2005-04-12,11179368663
2005-04-13,11064236133
2005-04-14,10831092759
2005-04-15,10681420470
2005-04-18,10681420470
2005-04-19,10695812036
2005-04-20,10623854205
2005-04-21,10848362639
2005-04-22,10810944567
2005-04-25,10914563844
2005-04-26,10816701193
2005-04-27,10877145771
2005-04-28,10862754205
2005-04-29,11248448181
2005-05-02,10969251795
2005-05-03,11182246976
2005-05-04,11559306011
2005-05-05,11582332518
2005-05-06,11519009626
2005-05-09,11565062638
2005-05-10,11363580711
2005-05-11,11455686735
2005-05-12,11317527699
2005-05-13,11211030108
2005-05-16,11306014446
2005-05-17,11426903602
2005-05-18,11498861433
2005-05-19,11429781915
2005-05-20,11461443361
2005-05-23,11484469867
2005-05-24,11490226494
2005-05-25,11366459024
2005-05-26,11449930108
2005-05-27,11452808421
2005-05-31,11481591554
2005-06-01,11498861433
2005-06-02,11464321674
2005-06-03,11340554205
2005-06-06,11346310831
2005-06-07,11329040952
2005-06-08,11311771072
2005-06-09,11352067458
2005-06-10,11481591554
2005-06-13,11438416855
2005-06-14,11369337337
2005-06-15,11360702397
2005-06-16,11521887939
2005-06-17,11844259023
2005-06-20,11867285529
2005-06-21,11873042156
2005-06-22,11927730108
2005-06-23,11913338541
2005-06-24,11861528903
2005-06-27,12039984324
2005-06-28,12045740951
2005-06-29,12071645770
2005-06-30,11732000000
2005-07-01,11849600000
2005-07-05,11989600000
2005-07-06,11958800000
2005-07-07,12012000000
2005-07-08,12177200000
2005-07-11,12196800000
2005-07-12,12250000000
2005-07-13,12286400000
2005-07-14,12227600000
2005-07-15,12275200000
2005-07-18,12278000000
2005-07-19,12322800000
2005-07-20,12353600000
2005-07-21,12356400000
2005-07-22,12317200000
2005-07-25,12311600000
2005-07-26,12202400000
2005-07-27,12412400000
2005-07-28,12476800000
2005-07-29,12306000000
2005-08-01,12294799999
2005-08-02,12454400000
2005-08-03,12695200000
2005-08-04,12653200000
2005-08-05,12490800000
2005-08-08,12493600000
2005-08-09,12768000000
2005-08-10,12801600000
2005-08-11,12936000000
2005-08-12,12849200000
2005-08-15,12902400000
2005-08-16,12840800000
2005-08-17,12863200000
2005-08-18,12849200000
2005-08-19,12860400000
2005-08-22,12882800000
2005-08-23,12843600000
2005-08-24,12832400000
2005-08-25,12882800000
2005-08-26,12849200000
2005-08-29,12902400000
2005-08-30,12832400000
2005-08-31,12824000000
2005-09-01,13008800000
2005-09-02,13025600000
2005-09-06,13224400000
2005-09-07,13176800000
2005-09-08,13098400000
2005-09-09,13322400000
2005-09-12,13498800000
2005-09-13,13412000000
2005-09-14,13241200000
2005-09-15,13087200000
2005-09-16,13148800000
2005-09-19,13095600000
2005-09-20,13067600000
2005-09-21,12877200000
2005-09-22,12852000000
2005-09-23,13087200000
2005-09-26,12992000000
2005-09-27,12975200000
2005-09-28,12989200000
2005-09-29,13224400000
2005-09-30,13229860859
2005-10-03,13182381941
2005-10-04,13174003309
2005-10-05,13042738065
2005-10-06,13154453166
2005-10-07,13053909575
2005-10-10,13034359432
2005-10-11,13017602167
2005-10-12,12914265698
2005-10-13,12986880514
2005-10-14,13201932084
2005-10-17,13229860859
2005-10-18,13207517839
2005-10-19,13495184224
2005-10-20,13319232940
2005-10-21,13486805592
2005-10-24,13685099897
2005-10-25,13916908731
2005-10-26,14042588220
2005-10-27,13721407304
2005-10-28,13841501038
2005-10-31,13861051181
2005-11-01,13676721264
2005-11-02,13897358589
2005-11-03,14092860016
2005-11-04,14067724118
2005-11-07,14173853464
2005-11-08,14179439219
2005-11-09,14179439219
2005-11-10,14495034380
2005-11-11,14439176830
2005-11-14,14425212442
2005-11-15,13914115854
2005-11-16,13754921835
2005-11-17,13877808446
2005-11-18,13866636936
2005-11-21,13866636936
2005-11-22,13964387650
2005-11-23,14020245200
2005-11-25,14048173975
2005-11-28,14087274261
2005-11-29,14120788791
2005-11-30,14151510444
2005-12-01,14078895628
2005-12-02,14078895628
2005-12-05,13908530099
2005-12-06,13760507590
2005-12-07,13796814998
2005-12-08,13774471977
2005-12-09,13869429813
2005-12-12,13810779385
2005-12-13,13969973405
2005-12-14,13958801894
2005-12-15,13905737221
2005-12-16,13886187079
2005-12-19,13651585366
2005-12-20,13643206734
2005-12-21,13578970550
2005-12-22,13478426959
2005-12-23,13484012714
2005-12-27,13341575960
2005-12-28,13383469123
2005-12-29,13324818695
2005-12-30,13246618124
2006-01-03,13369079401
2006-01-04,13355074499
2006-01-05,13271045087
2006-01-06,13245836264
2006-01-09,13377482342
2006-01-10,13467113715
2006-01-11,13444705872
2006-01-12,13343870577
2006-01-13,13335467636
2006-01-17,13268244107
2006-01-18,13105787244
2006-01-19,13021757833
2006-01-20,12876106852
2006-01-23,12976942146
2006-01-24,13282249009
2006-01-25,13122593127
2006-01-26,13201020578
2006-01-27,13220627440
2006-01-30,13369079401
2006-01-31,13209423519
2006-02-01,13170209793
2006-02-02,13038563715
2006-02-03,13032961754
2006-02-06,13111389205
2006-02-07,13192617636
2006-02-08,13262642146
2006-02-09,13254239205
2006-02-10,13377482342
2006-02-13,13397089205
2006-02-14,13635172538
2006-02-15,13531536264
2006-02-16,13514730381
2006-02-17,13447506852
2006-02-21,13542740185
2006-02-22,13654779401
2006-02-23,13612764695
2006-02-24,13792027440
2006-02-27,13794828420
2006-02-28,13646376460
2006-03-01,13724803911
2006-03-02,13553944107
2006-03-03,13483919597
2006-03-06,13374681362
2006-03-07,13514730381
2006-03-08,13542740185
2006-03-09,13469914695
2006-03-10,13612764695
2006-03-13,13612764695
2006-03-14,13758415675
2006-03-15,13898464695
2006-03-16,13996499008
2006-03-17,14046916655
2006-03-20,14091732342
2006-03-21,13929275479
2006-03-22,13968489204
2006-03-23,13892862734
2006-03-24,13934877440
2006-03-27,13853649008
2006-03-28,13755614695
2006-03-29,13878857832
2006-03-30,13836843126
2006-03-31,13340779202
2006-04-03,13400922059
2006-04-04,13600486994
2006-04-05,13641493487
2006-04-06,13646961020
2006-04-07,13406389591
2006-04-10,13436461020
2006-04-11,13354448033
2006-04-12,13417324656
2006-04-13,13343512968
2006-04-17,13305240241
2006-04-18,13698902578
2006-04-19,13808253227
2006-04-20,13849259721
2006-04-21,13797318162
2006-04-24,13846525954
2006-04-25,13753577903
2006-04-26,13961344136
2006-04-27,14076162318
2006-04-28,14026954526
2006-05-01,13865662318
2006-05-02,14275727253
2006-05-03,14283928551
2006-05-04,14475292187
2006-05-05,14639318161
2006-05-08,14573707772
2006-05-09,14488961019
2006-05-10,14513564915
2006-05-11,14756870109
2006-05-12,14499896083
2006-05-15,14611980499
2006-05-16,14546370109
2006-05-17,14272993486
2006-05-18,14160909071
2006-05-19,14264792188
2006-05-22,14215584396
2006-05-23,14223785694
2006-05-24,14379610369
2006-05-25,14699461018
2006-05-26,14885357122
2006-05-30,14817012966
2006-05-31,14940032446
2006-06-01,14885357122
2006-06-02,15016577901
2006-06-05,14734999979
2006-06-06,14699461018
2006-06-07,14710396083
2006-06-08,14822480499
