,AXP
2001-10-26,35960500000
2001-10-29,35046250000
2001-10-30,34556000000
2001-10-31,34450000000
2001-11-01,34821000000
2001-11-02,35046250000
2001-11-05,35549750000
2001-11-06,35775000000
2001-11-07,37086750000
2001-11-08,37934750000
2001-11-09,38292500000
2001-11-12,37563750000
2001-11-13,37630000000
2001-11-14,39140500000
2001-11-15,40253500000
2001-11-16,38782750000
2001-11-19,40041500000
2001-11-20,39392250000
2001-11-21,39220000000
2001-11-23,40240250000
2001-11-26,41114750000
2001-11-27,40478750000
2001-11-28,39392250000
2001-11-29,39008000000
2001-11-30,38531000000
2001-12-03,37630000000
2001-12-04,39034500000
2001-12-05,40518500000
2001-12-06,41154500000
2001-12-07,40624500000
2001-12-10,39803000000
2001-12-11,40107750000
2001-12-12,39127250000
2001-12-13,38160000000
2001-12-14,37762500000
2001-12-17,38809250000
2001-12-18,39074250000
2001-12-19,40505250000
2001-12-20,39273000000
2001-12-21,39564500000
2001-12-24,40107750000
2001-12-26,40624500000
2001-12-27,40969000000
2001-12-28,42201250000
2001-12-31,41777250000
2002-01-02,42002500000
2002-01-03,42665000000
2002-01-04,44162250000
2002-01-07,44016500000
2002-01-08,43367249999
2002-01-09,43486500000
2002-01-10,44215250000
2002-01-11,43804500000
2002-01-14,42439750000
2002-01-15,44188750000
2002-01-16,42890250000
2002-01-17,43499750000
2002-01-18,43340750000
2002-01-22,43579250000
2002-01-23,42665000000
2002-01-24,43022750000
2002-01-25,43301000000
2002-01-28,42479500000
2002-01-29,40319750000
2002-01-30,41326750000
2002-01-31,41962750000
2002-02-01,41088250000
2002-02-04,39127250000
2002-02-05,40386000000
2002-02-06,38517750000
2002-02-07,38690000000
2002-02-08,39630750000
2002-02-11,39233250000
2002-02-12,38623750000
2002-02-13,39816250000
2002-02-14,40478750000
2002-02-15,39432000000
2002-02-19,38928500000
2002-02-20,39617500000
2002-02-21,39127250000
2002-02-22,39392250000
2002-02-25,41022000000
2002-02-26,41247250000
2002-02-27,41870000000
2002-02-28,42665000000
2002-03-01,43672000000
2002-03-04,46096750000
2002-03-05,45712500000
2002-03-06,46732750000
2002-03-07,46255749999
2002-03-08,47382000000
2002-03-11,48640750000
2002-03-12,48097500000
2002-03-13,47382000000
2002-03-14,47541000000
2002-03-15,49343000000
2002-03-18,49104500000
2002-03-19,49793500000
2002-03-20,48985250000
2002-03-21,48018000000
2002-03-22,48110750000
2002-03-25,47276000000
2002-03-26,47527750000
2002-03-27,48216750000
2002-03-28,47951750000
2002-04-01,47050750000
2002-04-02,46666500000
2002-04-03,46269000000
2002-04-04,46997750000
2002-04-05,47647000000
2002-04-08,47580749999
2002-04-09,48269750000
2002-04-10,48468500000
2002-04-11,47024250000
2002-04-12,47329000000
2002-04-15,47010999999
2002-04-16,48415500000
2002-04-17,48177000000
2002-04-18,49621250000
2002-04-19,50840250000
2002-04-22,49873000000
2002-04-23,50151250000
2002-04-24,49820000000
2002-04-25,49886250000
2002-04-26,49223750000
2002-04-29,47991500000
2002-04-30,48004749999
2002-05-01,48866000000
2002-05-02,49422500000
2002-05-03,48985250000
2002-05-06,48124000000
2002-05-07,47594000000
2002-05-08,49992249999
2002-05-09,49435750000
2002-05-10,48587750000
2002-05-13,50336750000
2002-05-14,52085750000
2002-05-15,52523000000
2002-05-16,52099000000
2002-05-17,51728000000
2002-05-20,50694500000
2002-05-21,49502000000
2002-05-22,49634500000
2002-05-23,50230749999
2002-05-24,49793500000
2002-05-28,48786500000
2002-05-29,49594750000
2002-05-30,49462250000
2002-05-31,49767000000
2002-06-03,48097500000
2002-06-04,46931500000
2002-06-05,48004749999
2002-06-06,47249499999
2002-06-07,45845000000
2002-06-10,46388250000
2002-06-11,45341500000
2002-06-12,43473250000
2002-06-13,42055500000
2002-06-14,42095250000
2002-06-17,44718750000
2002-06-18,45301750000
2002-06-19,44467000000
2002-06-20,43791250000
2002-06-21,43658750000
2002-06-24,43433500000
2002-06-25,42519250000
2002-06-26,41750750000
2002-06-27,43407000000
2002-06-28,42519250000
2002-07-01,43381170000
2002-07-02,43050420000
2002-07-03,42296310000
2002-07-05,43659000000
2002-07-08,43248870000
2002-07-09,42269850000
2002-07-10,40708710000
2002-07-11,40946850000
2002-07-12,40880700000
2002-07-15,39319560000
2002-07-16,39597390000
2002-07-17,39756150000
2002-07-18,39187260000
2002-07-19,36991080000
2002-07-22,33855570000
2002-07-23,33498360000
2002-07-24,35562240000
2002-07-25,35363790000
2002-07-26,35271180000
2002-07-29,39147570000
2002-07-30,39650310000
2002-07-31,41211450000
2002-08-01,40166280000
2002-08-02,38591910000
2002-08-05,35482860000
2002-08-06,37401210000
2002-08-07,38658060000
2002-08-08,40973310000
2002-08-09,42018480000
2002-08-12,41476050000
2002-08-13,40708710000
2002-08-14,42507990000
2002-08-15,43778070000
2002-08-16,43010730000
2002-08-19,43989750000
2002-08-20,42693210000
2002-08-21,43288560000
2002-08-22,44638020000
2002-08-23,43645770000
2002-08-26,44479260000
2002-08-27,43354710000
2002-08-28,42362460000
2002-08-29,42111090000
2002-08-30,42150780000
2002-09-03,38975580000
2002-09-04,40325040000
2002-09-05,39875220000
2002-09-06,40563180000
2002-09-09,40748400000
2002-09-10,40907160000
2002-09-11,40669020000
2002-09-12,39557700000
2002-09-13,39967830000
2002-09-16,40721940000
2002-09-17,38869740000
2002-09-18,37943640000
2002-09-19,36872010000
2002-09-20,37149840000
2002-09-23,36554490000
2002-09-24,36184050000
2002-09-25,37057230000
2002-09-26,38446380000
2002-09-27,36792630000
2002-09-30,35732350000
2002-10-01,37496270000
2002-10-02,35758290000
2002-10-03,34331590000
2002-10-04,32697370000
2002-10-07,30479500000
2002-10-08,32541730000
2002-10-09,31322550000
2002-10-10,33579330000
2002-10-11,35369190000
2002-10-14,35641560000
2002-10-15,38637630000
2002-10-16,36899650000
2002-10-17,39078610000
2002-10-18,38728420000
2002-10-21,39467710000
2002-10-22,39104550000
2002-10-23,38611690000
2002-10-24,37314690000
2002-10-25,37963190000
2002-10-28,39247220000
2002-10-29,40025420000
2002-10-30,41400240000
2002-10-31,41672610000
2002-11-01,41542910000
2002-11-04,43008519999
2002-11-05,41944980000
2002-11-06,42204380000
2002-11-07,40673920000
2002-11-08,40738770000
2002-11-11,40284820000
2002-11-12,40181060000
2002-11-13,40336700000
2002-11-14,42347050000
2002-11-15,43138220000
2002-11-18,42100620000
2002-11-19,42697240000
2002-11-20,44162850000
2002-11-21,45148570000
2002-11-22,45278269999
2002-11-25,45122630000
2002-11-26,43436530000
2002-11-27,44850260000
2002-11-29,44603830000
2002-12-02,44253640000
2002-12-03,43553260000
2002-12-04,43293860000
2002-12-05,42813970000
2002-12-06,43086340000
2002-12-09,41944980000
2002-12-10,42295170000
2002-12-11,42009830000
2002-12-12,41996860000
2002-12-13,41179750000
2002-12-16,42191410000
2002-12-17,42152500000
2002-12-18,41296480000
2002-12-19,41127870000
2002-12-20,42424870000
2002-12-23,42295170000
2002-12-24,41776370000
2002-12-26,41750430000
2002-12-27,40881440000
2002-12-30,40868470000
2002-12-31,40505310000
2003-01-02,42022800000
2003-01-03,42165470000
2003-01-06,43644050000
2003-01-07,43060400000
2003-01-08,42736150000
2003-01-09,43644050000
2003-01-10,43747809999
2003-01-13,44162850000
2003-01-14,44033150000
2003-01-15,43164160000
2003-01-16,42826940000
2003-01-17,42321110000
2003-01-21,41192720000
2003-01-22,40194030000
2003-01-23,40414520000
2003-01-24,38611690000
2003-01-27,38300410000
2003-01-28,40129180000
2003-01-29,40284820000
2003-01-30,39791960000
2003-01-31,40712830000
2003-02-03,40907380000
2003-02-04,39766020000
2003-02-05,39701170000
2003-02-06,38689510000
2003-02-07,38663570000
2003-02-10,38469020000
2003-02-11,38015070000
2003-02-12,37236870000
2003-02-13,37301720000
2003-02-14,37989130000
2003-02-18,39299100000
2003-02-19,39247220000
2003-02-20,38585750000
2003-02-21,38559810000
2003-02-24,37794580000
2003-02-25,37885370000
2003-02-26,37509240000
2003-02-27,37911310000
2003-02-28,38481990000
2003-03-03,38002100000
2003-03-04,37535180000
2003-03-05,37976160000
2003-03-06,37301720000
2003-03-07,37898340000
2003-03-10,36536490000
2003-03-11,36199270000
2003-03-12,36082540000
2003-03-13,37859430000
2003-03-14,38365260000
2003-03-17,40868470000
2003-03-18,41322420000
2003-03-19,41594790000
2003-03-20,42048740000
2003-03-21,43384650000
2003-03-24,41659640000
2003-03-25,40401550000
2003-03-26,40310760000
2003-03-27,39454740000
2003-03-28,39208310000
2003-03-31,37668880000
2003-04-01,38105100000
2003-04-02,39375270000
2003-04-03,39311120000
2003-04-04,40222050000
2003-04-07,40542800000
2003-04-08,39939790000
2003-04-09,38990370000
2003-04-10,39529230000
2003-04-11,39246970000
2003-04-14,40363180000
2003-04-15,41825800000
2003-04-16,41209960000
2003-04-17,42031080000
2003-04-21,41338260000
2003-04-22,42954839999
2003-04-23,42531450000
2003-04-24,41992589999
2003-04-25,41594860000
2003-04-28,42492960000
2003-04-29,42762390000
2003-04-30,42916350000
2003-05-01,42788050000
2003-05-02,43596339999
2003-05-05,43429550000
2003-05-06,44314820000
2003-05-07,44225010000
2003-05-08,43378230000
2003-05-09,45110279999
2003-05-12,45815930000
2003-05-13,45687630000
2003-05-14,45803100000
2003-05-15,46457430000
2003-05-16,46046870000
2003-05-19,44994810000
2003-05-20,44956320000
2003-05-21,45443860000
2003-05-22,45289900000
2003-05-23,45328390000
2003-05-27,46162339999
2003-05-28,47188740000
2003-05-29,46508750000
2003-05-30,47227230000
2003-06-02,48035520000
2003-06-03,48009860000
2003-06-04,49267200000
2003-06-05,49305690000
2003-06-06,48946450000
2003-06-09,48484570000
2003-06-10,48856640000
2003-06-11,49472480000
2003-06-12,49472480000
2003-06-13,49228710000
2003-06-16,50550200000
2003-06-17,49883040000
2003-06-18,49767570000
2003-06-19,48792490000
2003-06-20,48664190000
2003-06-23,47753260000
2003-06-24,48215140000
2003-06-25,48138160000
2003-06-26,48279290000
2003-06-27,48086839999
2003-06-30,47209320000
2003-07-01,47324340000
2003-07-02,47746080000
2003-07-03,47733300000
2003-07-07,49190220000
2003-07-08,49931460000
2003-07-09,49471380000
2003-07-10,48883500000
2003-07-11,49637520000
2003-07-14,51260580000
2003-07-15,50966640000
2003-07-16,51413939999
2003-07-17,50608800000
2003-07-18,51413939999
2003-07-21,50199840000
2003-07-22,50544900000
2003-07-23,50442660000
2003-07-24,50135939999
2003-07-25,51490620000
2003-07-28,50826060000
2003-07-29,50634360000
2003-07-30,50072040000
2003-07-31,49867560000
2003-08-01,49024080000
2003-08-04,49305240000
2003-08-05,47925000000
2003-08-06,49177439999
2003-08-07,49957020000
2003-08-08,50110380000
2003-08-11,49765320000
2003-08-12,50698260000
2003-08-13,50570460000
2003-08-14,51426720000
2003-08-15,51375600000
2003-08-18,51490620000
2003-08-19,51707880000
2003-08-20,51337260000
2003-08-21,51861240000
2003-08-22,51286140000
2003-08-25,50953860000
2003-08-26,50302080000
2003-08-27,50212620000
2003-08-28,50749380000
2003-08-29,50864400000
2003-09-02,51465060000
2003-09-03,51554520000
2003-09-04,51362820000
2003-09-05,51030540000
2003-09-08,51605640000
2003-09-09,51439500000
2003-09-10,50864400000
2003-09-11,51298920000
2003-09-12,50698260000
2003-09-15,50404320000
2003-09-16,51094439999
2003-09-17,51209460000
2003-09-18,53164800000
2003-09-19,53126460000
2003-09-22,52640820000
2003-09-23,53075340000
2003-09-24,51822900000
2003-09-25,51503400000
2003-09-26,50647140000
2003-09-29,51465060000
2003-09-30,50837370000
2003-10-01,51961130000
2003-10-02,52088830000
2003-10-03,52548550000
2003-10-06,52510240000
2003-10-07,52816720000
2003-10-08,52484700000
2003-10-09,53148740000
2003-10-10,53608459999
2003-10-13,54336350000
2003-10-14,55294100000
2003-10-15,54489590000
2003-10-16,54578980000
2003-10-17,53978790000
2003-10-20,54068180000
2003-10-21,54604520000
2003-10-22,53072120000
2003-10-23,53736160000
2003-10-24,53723390000
2003-10-27,52740100000
2003-10-28,53634000000
2003-10-29,53416910000
2003-10-30,52484700000
2003-10-31,52944420000
2003-11-03,53289209999
2003-11-04,53161510000
2003-11-05,53378600000
2003-11-06,53442450000
2003-11-07,52459160000
2003-11-10,51986670000
2003-11-11,51309860000
2003-11-12,51922819999
2003-11-13,51667420000
2003-11-14,51143850000
2003-11-17,49560370000
2003-11-18,50186100000
2003-11-19,50633050000
2003-11-20,50096709999
2003-11-21,50658590000
2003-11-24,50939530000
2003-11-25,51169390000
2003-11-26,51590800000
2003-11-28,51565260000
2003-12-01,51961130000
2003-12-02,51667420000
2003-12-03,51884510000
2003-12-04,51973900000
2003-12-05,51335400000
2003-12-08,52063290000
2003-12-09,51565260000
2003-12-10,50990610000
2003-12-11,51054459999
2003-12-12,50990610000
2003-12-15,51118310000
2003-12-16,51080000000
2003-12-17,50773520000
2003-12-18,52765640000
2003-12-19,53263670000
2003-12-22,53519069999
2003-12-23,53800010000
2003-12-24,54017100000
2003-12-26,53966020000
2003-12-29,54719450000
2003-12-30,54476819999
2003-12-31,54412970000
2004-01-02,53876630000
2004-01-05,54349120000
2004-01-06,54438510000
2004-01-07,54591750000
2004-01-08,54438510000
2004-01-09,54029870000
2004-01-12,53812780000
2004-01-13,54004330000
2004-01-14,55000390000
2004-01-15,56047530000
2004-01-16,56315700000
2004-01-20,56686030000
2004-01-21,56864810000
2004-01-22,56417860000
2004-01-23,56366780000
2004-01-26,57477770000
2004-01-27,56954200000
2004-01-28,56124150000
2004-01-29,57477770000
2004-01-30,58486600000
2004-02-02,59278340000
2004-02-03,59240030000
2004-02-04,58959090000
2004-02-05,58754770000
2004-02-06,59865760000
2004-02-09,59916840000
2004-02-10,59623130000
2004-02-11,60593650000
2004-02-12,60185010000
2004-02-13,60529800000
2004-02-17,60568110000
2004-02-18,60248860000
2004-02-19,60248860000
2004-02-20,59980690000
2004-02-23,59865760000
2004-02-24,59993459999
2004-02-25,60453180000
2004-02-26,60236090000
2004-02-27,60274400000
2004-03-01,60529800000
2004-03-02,60261630000
2004-03-03,60351020000
2004-03-04,60197780000
2004-03-05,59533740000
2004-03-08,59955150000
2004-03-09,59993459999
2004-03-10,58882470000
2004-03-11,58141810000
2004-03-12,58805850000
2004-03-15,57477770000
2004-03-16,57145750000
2004-03-17,57541620000
2004-03-18,58167350000
2004-03-19,57631010000
2004-03-22,56647720000
2004-03-23,56647720000
2004-03-24,56443400000
2004-03-25,56354010000
2004-03-26,56443400000
2004-03-29,57375610000
2004-03-30,58563220000
2004-03-31,57858030000
2004-04-01,58249560000
2004-04-02,58502160000
2004-04-05,58678980000
2004-04-06,58476900000
2004-04-07,58451640000
2004-04-08,58186410000
2004-04-12,58312710000
2004-04-13,57352829999
2004-04-14,55572000000
2004-04-15,55508850000
2004-04-16,56443470000
2004-04-19,56026680000
2004-04-20,55243620000
2004-04-21,55660410000
2004-04-22,56658180000
2004-04-23,56089829999
2004-04-26,56102460000
2004-04-27,55963530000
2004-04-28,54725790000
2004-04-29,54725790000
2004-04-30,54624750000
2004-05-03,55117320000
2004-05-04,55028910000
2004-05-05,55256250000
2004-05-06,54877350000
2004-05-07,54106920000
2004-05-10,53841690000
2004-05-11,53715390000
2004-05-12,53791170000
2004-05-13,54081660000
2004-05-14,54523710000
2004-05-17,54422670000
2004-05-18,54662640000
2004-05-19,54498450000
2004-05-20,55041540000
2004-05-21,55382550000
2004-05-24,55710930000
2004-05-25,56304540000
2004-05-26,56077200000
2004-05-27,56936040000
2004-05-28,56569770000
2004-06-01,56468730000
2004-06-02,56822370000
2004-06-03,56632920000
2004-06-04,56885520000
2004-06-07,57415980000
2004-06-08,57655950000
2004-06-09,57163380000
2004-06-10,57138120000
2004-06-14,56961300000
2004-06-15,57150750000
2004-06-16,57479130000
2004-06-17,57415980000
2004-06-18,57984329999
2004-06-21,57466500000
2004-06-22,57466500000
2004-06-23,57340200000
2004-06-24,56860260000
2004-06-25,57302310000
2004-06-28,56847630000
2004-06-29,57213900000
2004-06-30,56782890000
2004-07-01,56732850000
2004-07-02,56632770000
2004-07-06,56182409999
2004-07-07,56382570000
2004-07-08,55556909999
2004-07-09,55269180000
2004-07-12,54943920000
2004-07-13,54693720000
2004-07-14,54431010000
2004-07-15,54043200000
2004-07-16,53855550000
2004-07-19,53555310000
2004-07-20,54293400000
2004-07-21,53442720000
2004-07-22,53417700000
2004-07-23,53180010000
2004-07-26,54043200000
2004-07-27,54643680000
2004-07-28,55144080000
2004-07-29,55219140000
2004-07-30,55544400000
2004-08-02,55569420000
2004-08-03,55169100000
2004-08-04,55494360000
2004-08-05,54768780000
2004-08-06,54531090000
2004-08-09,54493560000
2004-08-10,55356750000
2004-08-11,55406790000
2004-08-12,54681210000
2004-08-13,54543600000
2004-08-16,54618659999
2004-08-17,54968940000
2004-08-18,55294200000
2004-08-19,55069020000
2004-08-20,55269180000
2004-08-23,54931409999
