,ACGL
2002-01-16,339786269
2002-01-17,335099561
2002-01-18,329241177
2002-01-22,337442915
2002-01-23,338614592
2002-01-24,338614592
2002-01-25,338614592
2002-01-28,331584531
2002-01-29,331584531
2002-01-30,331584531
2002-01-31,332756208
2002-02-01,344472976
2002-02-04,351503037
2002-02-05,340957945
2002-02-06,337442915
2002-02-07,339786269
2002-02-08,333927885
2002-02-11,346816329
2002-02-12,338614592
2002-02-13,346816329
2002-02-14,351503037
2002-02-15,351503037
2002-02-19,349159683
2002-02-20,350331360
2002-02-21,345644653
2002-02-22,350331360
2002-02-25,344472976
2002-02-26,342129622
2002-02-27,343301299
2002-02-28,350331360
2002-03-01,345644653
2002-03-04,345644653
2002-03-05,349159683
2002-03-06,349159683
2002-03-07,355018067
2002-03-08,347988006
2002-03-11,357361420
2002-03-12,351503037
2002-03-13,353846390
2002-03-14,355018067
2002-03-15,355018067
2002-03-18,350331360
2002-03-19,343301299
2002-03-20,344472976
2002-03-21,343301299
2002-03-22,337442915
2002-03-25,326897824
2002-03-26,340957945
2002-03-27,335099561
2002-03-28,336271238
2002-04-01,517629713
2002-04-02,523116954
2002-04-03,543236837
2002-04-04,556040399
2002-04-05,561527639
2002-04-08,567014880
2002-04-09,552382238
2002-04-10,556040399
2002-04-11,567014880
2002-04-12,581647522
2002-04-15,581647522
2002-04-16,587134763
2002-04-17,587134763
2002-04-18,594451084
2002-04-19,588963843
2002-04-22,583476602
2002-04-23,585305683
2002-04-24,588963843
2002-04-25,588963843
2002-04-26,581647522
2002-04-29,572502121
2002-04-30,592622004
2002-05-01,609083726
2002-05-02,620058208
2002-05-03,607254646
2002-05-06,583476602
2002-05-07,583476602
2002-05-08,598109245
2002-05-09,588963843
2002-05-10,601767405
2002-05-13,625545448
2002-05-14,623716368
2002-05-15,610912806
2002-05-16,620058208
2002-05-17,620058208
2002-05-20,612741887
2002-05-21,605425566
2002-05-22,594451084
2002-05-23,610912806
2002-05-24,603596485
2002-05-28,607254646
2002-05-29,592622004
2002-05-30,598109245
2002-05-31,603596485
2002-06-03,607254646
2002-06-04,599938325
2002-06-05,599938325
2002-06-06,594451084
2002-06-07,588963843
2002-06-10,590792923
2002-06-11,587134763
2002-06-12,588963843
2002-06-13,596280164
2002-06-14,594451084
2002-06-17,605425566
2002-06-18,601767405
2002-06-19,588963843
2002-06-20,592622004
2002-06-21,599938325
2002-06-24,581647522
2002-06-25,563356720
2002-06-26,554211318
2002-06-27,550553158
2002-06-28,572502121
2002-07-01,607511550
2002-07-02,578490297
2002-07-03,576555547
2002-07-05,584294548
2002-07-08,592033548
2002-07-09,609446300
2002-07-10,561077546
2002-07-11,566881796
2002-07-12,545599545
2002-07-15,528186793
2002-07-16,549469045
2002-07-17,516578292
2002-07-18,516578292
2002-07-19,516578292
2002-07-22,524317293
2002-07-23,518513042
2002-07-24,537860544
2002-07-25,543664794
2002-07-26,557208046
2002-07-29,592033548
2002-07-30,574620797
2002-07-31,578490297
2002-08-01,582359798
2002-08-02,588164048
2002-08-05,563012296
2002-08-06,564947046
2002-08-07,580425048
2002-08-08,582359798
2002-08-09,584294548
2002-08-12,576555547
2002-08-13,593968299
2002-08-14,601707299
2002-08-15,593968299
2002-08-16,595903049
2002-08-19,593968299
2002-08-20,603642049
2002-08-21,601707299
2002-08-22,601707299
2002-08-23,601707299
2002-08-26,601707299
2002-08-27,603642049
2002-08-28,599772549
2002-08-29,597837799
2002-08-30,601707299
2002-09-03,595903049
2002-09-04,593968299
2002-09-05,580425048
2002-09-06,580425048
2002-09-09,588164048
2002-09-10,599772549
2002-09-11,584294548
2002-09-12,586229298
2002-09-13,595903049
2002-09-16,597837799
2002-09-17,599772549
2002-09-18,597837799
2002-09-19,597837799
2002-09-20,607511550
2002-09-23,593968299
2002-09-24,584294548
2002-09-25,584294548
2002-09-26,603642049
2002-09-27,601707299
2002-09-30,725883032
2002-10-01,728224590
2002-10-02,693101218
2002-10-03,690759660
2002-10-04,693101218
2002-10-07,690759660
2002-10-08,700125892
2002-10-09,697784334
2002-10-10,697784334
2002-10-11,697784334
2002-10-14,693101218
2002-10-15,697784334
2002-10-16,709492125
2002-10-17,683734985
2002-10-18,695442776
2002-10-21,700125892
2002-10-22,709492125
2002-10-23,709492125
2002-10-24,709492125
2002-10-25,718858358
2002-10-28,728224590
2002-10-29,728224590
2002-10-30,728224590
2002-10-31,728224590
2002-11-01,728224590
2002-11-04,723541474
2002-11-05,718858358
2002-11-06,728224590
2002-11-07,728224590
2002-11-08,716516800
2002-11-11,723541474
2002-11-12,742273939
2002-11-13,753981730
2002-11-14,761006405
2002-11-15,784421986
2002-11-18,814862243
2002-11-19,803154452
2002-11-20,798471335
2002-11-21,786763545
2002-11-22,782080428
2002-11-25,789105103
2002-11-26,779738870
2002-11-27,777397312
2002-11-29,786763545
2002-12-02,805496010
2002-12-03,814862243
2002-12-04,849985615
2002-12-05,852327173
2002-12-06,847644057
2002-12-09,842960941
2002-12-10,849985615
2002-12-11,849985615
2002-12-12,831253150
2002-12-13,810179126
2002-12-16,812520684
2002-12-17,796129777
2002-12-18,789105103
2002-12-19,791446661
2002-12-20,793788219
2002-12-23,796129777
2002-12-24,803154452
2002-12-26,803154452
2002-12-27,793788219
2002-12-30,782080428
2002-12-31,810179126
2003-01-02,807837568
2003-01-03,810179126
2003-01-06,803154452
2003-01-07,791446661
2003-01-08,779738870
2003-01-09,789105103
2003-01-10,786763545
2003-01-13,789105103
2003-01-14,803154452
2003-01-15,812520684
2003-01-16,819545359
2003-01-17,807837568
2003-01-21,807837568
2003-01-22,807837568
2003-01-23,819545359
2003-01-24,819545359
2003-01-27,819545359
2003-01-28,805496010
2003-01-29,800812894
2003-01-30,798471335
2003-01-31,793788219
2003-02-03,793788219
2003-02-04,789105103
2003-02-05,789105103
2003-02-06,789105103
2003-02-07,768031079
2003-02-10,775055754
2003-02-11,775055754
2003-02-12,768031079
2003-02-13,770372637
2003-02-14,775055754
2003-02-18,777397312
2003-02-19,751640172
2003-02-20,735249265
2003-02-21,751640172
2003-02-24,728224590
2003-02-25,728224590
2003-02-26,756323288
2003-02-27,777397312
2003-02-28,812520684
2003-03-03,831253150
2003-03-04,828911592
2003-03-05,833594708
2003-03-06,831253150
2003-03-07,838277824
2003-03-10,845302499
2003-03-11,847644057
2003-03-12,833594708
2003-03-13,852327173
2003-03-14,852327173
2003-03-17,849985615
2003-03-18,847644057
2003-03-19,859351848
2003-03-20,859351848
2003-03-21,859351848
2003-03-24,859351848
2003-03-25,861693406
2003-03-26,861693406
2003-03-27,866376522
2003-03-28,878084313
2003-03-31,888472148
2003-04-01,902612289
2003-04-02,904968979
2003-04-03,897898909
2003-04-04,871975318
2003-04-07,871975318
2003-04-08,888472148
2003-04-09,895542219
2003-04-10,900255599
2003-04-11,900255599
2003-04-14,914395739
2003-04-15,907325669
2003-04-16,912039049
2003-04-17,902612289
2003-04-21,902612289
2003-04-22,937962639
2003-04-23,928535879
2003-04-24,909682359
2003-04-25,904968979
2003-04-28,912039049
2003-04-29,930892569
2003-04-30,909682359
2003-05-01,935605949
2003-05-02,937962639
2003-05-05,930892569
2003-05-06,935605949
2003-05-07,935605949
2003-05-08,926179189
2003-05-09,914395739
2003-05-12,942676020
2003-05-13,926179189
2003-05-14,954459470
2003-05-15,968599610
2003-05-16,963886230
2003-05-19,959172850
2003-05-20,952102780
2003-05-21,916752429
2003-05-22,935605949
2003-05-23,947389400
2003-05-27,954459470
2003-05-28,947389400
2003-05-29,947389400
2003-05-30,968599610
2003-06-02,970956300
2003-06-03,975669680
2003-06-04,982739750
2003-06-05,980383060
2003-06-06,975669680
2003-06-09,952102780
2003-06-10,956816160
2003-06-11,954459470
2003-06-12,959172850
2003-06-13,949746090
2003-06-16,959172850
2003-06-17,937962639
2003-06-18,909682359
2003-06-19,902612289
2003-06-20,902612289
2003-06-23,890828838
2003-06-24,886115458
2003-06-25,890828838
2003-06-26,890828838
2003-06-27,909682359
2003-06-30,909762603
2003-07-01,912125623
2003-07-02,916851663
2003-07-03,916851663
2003-07-07,931029781
2003-07-08,931029781
2003-07-09,935755821
2003-07-10,923940722
2003-07-11,923940722
2003-07-14,931029781
2003-07-15,931029781
2003-07-16,926303742
2003-07-17,900310524
2003-07-18,914488643
2003-07-21,912125623
2003-07-22,912125623
2003-07-23,890858445
2003-07-24,886132406
2003-07-25,893221465
2003-07-28,900310524
2003-07-29,900310524
2003-07-30,890858445
2003-07-31,900310524
2003-08-01,841235031
2003-08-04,819967853
2003-08-05,862502208
2003-08-06,883769386
2003-08-07,886132406
2003-08-08,890858445
2003-08-11,900310524
2003-08-12,895584485
2003-08-13,895584485
2003-08-14,907399584
2003-08-15,900310524
2003-08-18,919214682
2003-08-19,923940722
2003-08-20,919214682
2003-08-21,914488643
2003-08-22,909762603
2003-08-25,895584485
2003-08-26,900310524
2003-08-27,907399584
2003-08-28,897947505
2003-08-29,893221465
2003-09-02,883769386
2003-09-03,900310524
2003-09-04,905036564
2003-09-05,893221465
2003-09-08,905036564
2003-09-09,902673544
2003-09-10,900310524
2003-09-11,893221465
2003-09-12,881406366
2003-09-15,864865228
2003-09-16,879043347
2003-09-17,879043347
2003-09-18,888495426
2003-09-19,883769386
2003-09-22,876680327
2003-09-23,871954287
2003-09-24,853050129
2003-09-25,862502208
2003-09-26,867228248
2003-09-29,864865228
2003-09-30,900992273
2003-10-01,910812353
2003-10-02,913267373
2003-10-03,913267373
2003-10-06,918177412
2003-10-07,915722392
2003-10-08,927997491
2003-10-09,940272591
2003-10-10,930452511
2003-10-13,950092670
2003-10-14,962367769
2003-10-15,947637650
2003-10-16,947637650
2003-10-17,959912749
2003-10-20,962367769
2003-10-21,984462947
2003-10-22,972187848
2003-10-23,982007928
2003-10-24,969732828
2003-10-27,964822789
2003-10-28,967277809
2003-10-29,994283027
2003-10-30,989372987
2003-10-31,996738046
2003-11-03,1021288245
2003-11-04,1050748482
2003-11-05,1070388641
2003-11-06,1063023582
2003-11-07,1063023582
2003-11-10,1053203502
2003-11-11,1055658522
2003-11-12,1045838443
2003-11-13,1033563344
2003-11-14,1036018364
2003-11-17,1009013146
2003-11-18,1021288245
2003-11-19,1028653304
2003-11-20,1004103106
2003-11-21,1001648086
2003-11-24,999193066
2003-11-25,1004103106
2003-11-26,1018833225
2003-11-28,1009013146
2003-12-01,1023743264
2003-12-02,1045838443
2003-12-03,1045838443
2003-12-04,1038473383
2003-12-05,1040928403
2003-12-08,1065478601
2003-12-09,1067933621
2003-12-10,1063023582
2003-12-11,1063023582
2003-12-12,1070388641
2003-12-15,1060568562
2003-12-16,1055658522
2003-12-17,1045838443
2003-12-18,1063023582
2003-12-19,1065478601
2003-12-22,1072843661
2003-12-23,1070388641
2003-12-24,1072843661
2003-12-26,1072843661
2003-12-29,1080208720
2003-12-30,1090028800
2003-12-31,1087573780
2004-01-02,1102303899
2004-01-05,1094938839
2004-01-06,1092483819
2004-01-07,1090028800
2004-01-08,1099848879
2004-01-09,1124399077
2004-01-12,1134219156
2004-01-13,1146494255
2004-01-14,1153859315
2004-01-15,1173499473
2004-01-16,1175954493
2004-01-20,1185774573
2004-01-21,1190684612
2004-01-22,1188229592
2004-01-23,1190684612
2004-01-26,1212779791
2004-01-27,1217689830
2004-01-28,1229964929
2004-01-29,1212779791
2004-01-30,1195594652
2004-02-02,1195594652
2004-02-03,1193139632
2004-02-04,1173499473
2004-02-05,1173499473
2004-02-06,1178409513
2004-02-09,1185774573
2004-02-10,1195594652
2004-02-11,1185774573
2004-02-12,1175954493
2004-02-13,1156314335
2004-02-17,1166134414
2004-02-18,1144039236
2004-02-19,1139129196
2004-02-20,1124399077
2004-02-23,1121944057
2004-02-24,1131764137
2004-02-25,1144039236
2004-02-26,1146494255
2004-02-27,1156314335
2004-03-01,1163679394
2004-03-02,1161224374
2004-03-03,1173499473
2004-03-04,1173499473
2004-03-05,1173499473
2004-03-08,1175954493
2004-03-09,1171044454
2004-03-10,1156314335
2004-03-11,1151404295
2004-03-12,1148949275
2004-03-15,1151404295
2004-03-16,1153859315
2004-03-17,1144039236
2004-03-18,1161224374
2004-03-19,1146494255
2004-03-22,1094938839
2004-03-23,1072843661
2004-03-24,1092483819
2004-03-25,1114578998
2004-03-26,1126854097
2004-03-29,1136674176
2004-03-30,1141584216
2004-03-31,1348845193
2004-04-01,1351727341
2004-04-02,1357491637
2004-04-05,1374784524
2004-04-06,1360373785
2004-04-07,1360373785
2004-04-08,1374784524
2004-04-12,1374784524
2004-04-13,1374784524
2004-04-14,1371902376
2004-04-15,1354609489
2004-04-16,1360373785
2004-04-19,1351727341
2004-04-20,1345963045
2004-04-21,1328670158
2004-04-22,1322905863
2004-04-23,1320023715
2004-04-26,1302730828
2004-04-27,1317141567
2004-04-28,1302730828
2004-04-29,1305612976
2004-04-30,1285437941
2004-05-03,1271027201
2004-05-04,1271027201
2004-05-05,1242205723
2004-05-06,1259498610
2004-05-07,1227794984
2004-05-10,1210502097
2004-05-11,1210502097
2004-05-12,1207619949
2004-05-13,1201855653
2004-05-14,1196091357
2004-05-17,1204737801
2004-05-18,1216266392
2004-05-19,1227794984
2004-05-20,1198973505
2004-05-21,1198973505
2004-05-24,1187444914
2004-05-25,1216266392
2004-05-26,1233559279
2004-05-27,1236441427
2004-05-28,1230677131
2004-06-01,1219148540
2004-06-02,1230677131
2004-06-03,1259498610
2004-06-04,1247970019
2004-06-07,1279673645
2004-06-08,1265262906
2004-06-09,1265262906
2004-06-10,1262380758
2004-06-14,1256616462
2004-06-15,1265262906
2004-06-16,1271027201
2004-06-17,1259498610
2004-06-18,1279673645
2004-06-21,1279673645
2004-06-22,1271027201
2004-06-23,1276791497
2004-06-24,1276791497
2004-06-25,1268145054
2004-06-28,1285437941
2004-06-29,1276791497
2004-06-30,1315115338
2004-07-01,1318083996
2004-07-02,1306209366
2004-07-06,1318083996
2004-07-07,1315115338
2004-07-08,1318083996
2004-07-09,1329958627
2004-07-12,1338864600
2004-07-13,1329958627
2004-07-14,1335895942
2004-07-15,1315115338
2004-07-16,1312146681
2004-07-19,1309178023
2004-07-20,1261679501
2004-07-21,1252773528
2004-07-22,1214180978
2004-07-23,1208243663
2004-07-26,1202306348
2004-07-27,1220118294
2004-07-28,1226055609
2004-07-29,1231992924
2004-07-30,1270585474
2004-08-02,1267616816
2004-08-03,1270585474
2004-08-04,1267616816
2004-08-05,1255742185
2004-08-06,1255742185
2004-08-09,1246836213
2004-08-10,1255742185
2004-08-11,1249804870
2004-08-12,1255742185
2004-08-13,1240898897
2004-08-16,1249804870
2004-08-17,1240898897
2004-08-18,1243867555
2004-08-19,1240898897
2004-08-20,1243867555
2004-08-23,1240898897
2004-08-24,1223086951
2004-08-25,1208243663
2004-08-26,1199337690
2004-08-27,1190431717
2004-08-30,1187463060
2004-08-31,1208243663
2004-09-01,1223086951
2004-09-02,1279491447
2004-09-03,1276522789
2004-09-07,1273554131
2004-09-08,1267616816
2004-09-09,1264648158
2004-09-10,1285428762
2004-09-13,1306209366
2004-09-14,1312146681
2004-09-15,1318083996
2004-09-16,1318083996
2004-09-17,1318083996
2004-09-20,1309178023
2004-09-21,1312146681
2004-09-22,1285428762
2004-09-23,1270585474
2004-09-24,1261679501
2004-09-27,1240898897
2004-09-28,1243867555
2004-09-29,1237930240
2004-09-30,1339196957
2004-10-01,1323732789
2004-10-04,1308268621
2004-10-05,1286618785
2004-10-06,1292804453
2004-10-07,1305175787
2004-10-08,1323732789
2004-10-11,1308268621
2004-10-12,1295897286
2004-10-13,1289711619
2004-10-14,1240226281
2004-10-15,1252597616
2004-10-18,1252597616
2004-10-19,1224762113
2004-10-20,1230947780
2004-10-21,1243319115
2004-10-22,1234040614
2004-10-25,1203112278
2004-10-26,1237133448
2004-10-27,1274247451
2004-10-28,1292804453
2004-10-29,1289711619
2004-11-01,1286618785
2004-11-02,1277340285
2004-11-03,1314454288
2004-11-04,1317547122
2004-11-05,1317547122
2004-11-08,1323732789
2004-11-09,1323732789
2004-11-10,1339196957
2004-11-11,1326825622
2004-11-12,1317547122
2004-11-15,1317547122
2004-11-16,1311361454
2004-11-17,1320639955
2004-11-18,1320639955
2004-11-19,1333011290
2004-11-22,1339196957
2004-11-23,1345382624
2004-11-24,1339196957
