,FE
2001-12-26,9267111480
2001-12-27,9235320360
2001-12-28,9314798160
2001-12-31,10241829180
2002-01-02,10282819920
2002-01-03,10247685000
2002-01-04,10168631430
2002-01-07,10230117540
2002-01-08,10057370850
2002-01-09,10151063970
2002-01-10,10083722040
2002-01-11,10133496510
2002-01-14,10218405900
2002-01-15,10306243200
2002-01-16,10317954840
2002-01-17,10464350340
2002-01-18,10555115550
2002-01-22,10549259730
2002-01-23,10642952850
2002-01-24,10631241210
2002-01-25,10610745840
2002-01-28,10675159860
2002-01-29,10631241210
2002-01-30,10540476000
2002-01-31,10891825200
2002-02-01,11126058000
2002-02-04,11213895300
2002-02-05,11184616200
2002-02-06,11187544110
2002-02-07,11313444240
2002-02-08,11111418450
2002-02-11,10821555360
2002-02-12,10803987900
2002-02-13,10976734590
2002-02-14,10973806680
2002-02-15,10973806680
2002-02-19,10847906550
2002-02-20,10713222690
2002-02-21,10508268990
2002-02-22,10490701530
2002-02-25,10555115550
2002-02-26,10666376130
2002-02-27,10806915809
2002-02-28,10716150600
2002-03-01,10833267000
2002-03-04,11073355620
2002-03-05,11126058000
2002-03-06,11257813950
2002-03-07,11243174400
2002-03-08,11184616200
2002-03-11,11316372150
2002-03-12,10830339090
2002-03-13,10607817930
2002-03-14,10467278250
2002-03-15,10437999150
2002-03-18,10262324550
2002-03-19,9442509750
2002-03-20,9325393350
2002-03-21,9869984610
2002-03-22,9837777600
2002-03-25,9846561330
2002-03-26,10013452200
2002-03-27,10031019660
2002-03-28,10124712780
2002-04-01,10067298000
2002-04-02,9891450000
2002-04-03,9970581600
2002-04-04,9909034800
2002-04-05,9730256000
2002-04-08,9756633200
2002-04-09,9774218000
2002-04-10,9961789200
2002-04-11,9601300800
2002-04-12,9680432400
2002-04-15,9525100000
2002-04-16,9668709200
2002-04-17,9645262799
2002-04-18,9495792000
2002-04-19,9656986000
2002-04-22,9627678000
2002-04-23,9554408000
2002-04-24,9774218000
2002-04-25,9656986000
2002-04-26,9677501600
2002-04-29,9671640000
2002-04-30,9759564000
2002-05-01,9613024000
2002-05-02,9689224800
2002-05-03,9756633200
2002-05-06,9832834000
2002-05-07,9592508400
2002-05-08,9525100000
2002-05-09,9484068800
2002-05-10,9407868000
2002-05-13,9407868000
2002-05-14,9598370000
2002-05-15,9668709200
2002-05-16,9601300800
2002-05-17,9627678000
2002-05-20,9692155600
2002-05-21,9911965600
2002-05-22,10055574800
2002-05-23,9950066000
2002-05-24,10114190800
2002-05-28,10125914000
2002-05-29,10120052400
2002-05-30,10052644000
2002-05-31,10114190800
2002-06-03,9868003600
2002-06-04,9988166400
2002-06-05,9970581600
2002-06-06,9788872000
2002-06-07,9950066000
2002-06-10,9973512400
2002-06-11,9950066000
2002-06-12,9891450000
2002-06-13,9950066000
2002-06-14,9876796000
2002-06-17,9926619600
2002-06-18,10067298000
2002-06-19,10243146000
2002-06-20,9976443200
2002-06-21,10026266800
2002-06-24,9900242400
2002-06-25,9865072799
2002-06-26,9712671200
2002-06-27,9744910000
2002-06-28,9783010400
2002-07-01,9679824000
2002-07-02,9430495200
2002-07-03,9181166400
2002-07-05,9107834400
2002-07-08,8879038560
2002-07-09,8785173600
2002-07-10,8277716160
2002-07-11,8494778880
2002-07-12,8770507200
2002-07-15,9016902720
2002-07-16,8644376160
2002-07-17,8521178400
2002-07-18,8292382560
2002-07-19,8007854400
2002-07-22,8037187200
2002-07-23,7347866400
2002-07-24,8553444480
2002-07-25,8682508800
2002-07-26,8527044960
2002-07-29,8075319840
2002-07-30,8799840000
2002-07-31,9019836000
2002-08-01,9242765280
2002-08-02,9228098880
2002-08-05,9005169600
2002-08-06,9459828000
2002-08-07,9489160800
2002-08-08,9559559520
2002-08-09,9459828000
2002-08-12,9600625440
2002-08-13,9327830400
2002-08-14,9533160000
2002-08-15,9656357760
2002-08-16,9679824000
2002-08-19,9647557920
2002-08-20,9738489600
2002-08-21,9929152800
2002-08-22,10134482400
2002-08-23,9797155200
2002-08-26,10075816800
2002-08-27,10017151200
2002-08-28,10169681760
2002-08-29,9817688160
2002-08-30,9679824000
2002-09-03,9392362560
2002-09-04,9231032160
2002-09-05,9137167200
2002-09-06,9172366560
2002-09-09,9107834400
2002-09-10,9005169600
2002-09-11,9093168000
2002-09-12,8826239520
2002-09-13,9046235520
2002-09-16,8972903520
2002-09-17,8799840000
2002-09-18,8940637440
2002-09-19,8946504000
2002-09-20,8937704160
2002-09-23,8779307040
2002-09-24,8506512000
2002-09-25,8744107680
2002-09-26,8949437280
2002-09-27,8905438080
2002-09-30,8751851780
2002-10-01,8886540700
2002-10-02,8948029120
2002-10-03,8713787520
2002-10-04,8669867220
2002-10-07,8552746420
2002-10-08,8221880159
2002-10-09,7589427840
2002-10-10,8464905820
2002-10-11,8491258000
2002-10-14,8631802960
2002-10-15,8259944420
2002-10-16,7700692600
2002-10-17,8242376300
2002-10-18,8330216900
2002-10-21,8643515040
2002-10-22,8500042060
2002-10-23,8857260500
2002-10-24,8924604960
2002-10-25,9091502100
2002-10-28,9208622900
2002-10-29,9331599740
2002-10-30,9463360640
2002-10-31,9501424900
2002-11-01,9410656280
2002-11-04,9671250060
2002-11-05,9633185800
2002-11-06,9858643340
2002-11-07,9577553420
2002-11-08,9355023900
2002-11-11,9246687160
2002-11-12,8912892880
2002-11-13,9044653780
2002-11-14,9117854280
2002-11-15,9287679440
2002-11-18,9273039340
2002-11-19,9188126760
2002-11-20,9284751420
2002-11-21,9267183300
2002-11-22,9551201240
2002-11-25,9463360640
2002-11-26,9226191020
2002-11-27,9237903100
2002-11-29,9275967360
2002-12-02,9217406960
2002-12-03,9114926260
2002-12-04,8784060000
2002-12-05,8921676940
2002-12-06,9044653780
2002-12-09,9173486660
2002-12-10,9252543200
2002-12-11,9416512319
2002-12-12,9311103600
2002-12-13,9369664000
2002-12-16,9592193520
2002-12-17,9633185800
2002-12-18,9589265500
2002-12-19,9603905600
2002-12-20,9650753920
2002-12-23,9662466000
2002-12-24,9691746200
2002-12-26,9682962140
2002-12-27,9665394020
2002-12-30,9662466000
2002-12-31,9689421420
2003-01-02,9698238000
2003-01-03,9765831780
2003-01-06,10256621400
2003-01-07,9950979960
2003-01-08,9950979960
2003-01-09,9889263900
2003-01-10,9839303280
2003-01-13,9771709500
2003-01-14,9862814160
2003-01-15,9745259759
2003-01-16,9624766500
2003-01-17,9404352000
2003-01-21,9139854600
2003-01-22,9186876360
2003-01-23,9330880500
2003-01-24,9233898120
2003-01-27,8972339580
2003-01-28,9166304340
2003-01-29,9233898120
2003-01-30,9098710560
2003-01-31,9169243200
2003-02-03,9148671180
2003-02-04,9113404860
2003-02-05,8937073260
2003-02-06,8945889840
2003-02-07,8619676380
2003-02-10,8699025600
2003-02-11,8405139600
2003-02-12,8125947900
2003-02-13,8578532340
2003-02-14,8593226640
2003-02-18,8699025600
2003-02-19,8699025600
2003-02-20,8872418340
2003-02-21,8919440100
2003-02-24,8696086740
2003-02-25,8643187260
2003-02-26,8449222500
2003-02-27,8616737520
2003-02-28,8669637000
2003-03-03,8654942700
2003-03-04,8572654620
2003-03-05,8775435960
2003-03-06,8822457720
2003-03-07,8669637000
2003-03-10,8640248400
2003-03-11,8537388300
2003-03-12,8596165500
2003-03-13,8725475340
2003-03-14,8728414200
2003-03-17,8904745800
2003-03-18,9101649420
