,SYY
2001-08-13,18542738765
2001-08-14,18682759446
2001-08-15,18822780128
2001-08-16,19169498005
2001-08-17,19029477323
2001-08-20,19202836262
2001-08-21,19202836262
2001-08-22,18969468460
2001-08-23,18969468460
2001-08-24,18982803763
2001-08-27,18716097704
2001-08-28,18756103613
2001-08-29,18596079977
2001-08-30,18582744674
2001-08-31,18682759446
2001-09-04,18949465506
2001-09-05,18702762401
2001-09-06,18622750583
2001-09-07,18169350283
2001-09-10,18529403462
2001-09-17,17869305966
2001-09-18,17802629451
2001-09-19,16349081428
2001-09-20,15502289691
2001-09-21,14815521588
2001-09-24,16082375369
2001-09-25,16002363552
2001-09-26,16269069611
2001-09-27,16882493547
2001-09-28,17029181879
2001-10-01,16913061111
2001-10-02,17038833385
2001-10-03,17740510285
2001-10-04,17469106956
2001-10-05,17290377934
2001-10-08,16913061111
2001-10-09,16687994936
2001-10-10,17138127286
2001-10-11,16714473309
2001-10-12,16694614529
2001-10-15,16449689574
2001-10-16,16416591607
2001-10-17,15973078850
2001-10-18,16131949091
2001-10-19,16304058519
2001-10-22,16052513970
2001-10-23,16456309167
2001-10-24,16251101772
2001-10-25,16568842255
2001-10-26,16496026727
2001-10-29,16317297706
2001-10-30,16131949091
2001-10-31,15959839663
2001-11-01,15992937630
2001-11-02,16085611937
2001-11-05,16588701035
2001-11-06,15920122102
2001-11-07,16515885508
2001-11-08,16436450387
2001-11-09,16429830793
2001-11-12,16330536893
2001-11-13,16363634860
2001-11-14,16866723957
2001-11-15,16906441518
2001-11-16,16959398265
2001-11-19,16866723957
2001-11-20,16966017858
2001-11-21,16926300298
2001-11-23,16939539485
2001-11-26,16833625990
2001-11-27,16635038189
2001-11-28,16449689574
2001-11-29,16469548354
2001-11-30,16277580146
2001-12-03,16363634860
2001-12-04,16601940222
2001-12-05,16608559815
2001-12-06,16237862585
2001-12-07,16416591607
2001-12-10,16482787541
2001-12-11,16184905838
2001-12-12,16052513970
2001-12-13,16383493640
2001-12-14,16621799002
2001-12-17,16548983475
2001-12-18,16476167947
2001-12-19,16714473309
2001-12-20,16985876638
2001-12-21,17839804186
2001-12-24,17707412318
2001-12-26,17707412318
2001-12-27,17819945405
2001-12-28,17515444109
2001-12-31,17335201736
2002-01-02,17546767890
2002-01-03,17474042025
2002-01-04,17130247025
2002-01-07,16898846544
2002-01-08,16912069428
2002-01-09,17130247025
2002-01-10,17288921640
2002-01-11,17222807217
2002-01-14,17156692794
2002-01-15,17447596256
2002-01-16,17467430583
2002-01-17,17784779813
2002-01-18,17619493756
2002-01-22,17824448467
2002-01-23,18029403179
2002-01-24,18240969333
2002-01-25,18842610583
2002-01-28,18842610583
2002-01-29,18644267314
2002-01-30,19345080199
2002-01-31,19583092122
2002-02-01,19265742891
2002-02-04,18961616545
2002-02-05,19054176737
2002-02-06,19074011064
2002-02-07,19034342410
2002-02-08,18465758371
2002-02-11,18974839429
2002-02-12,18822776256
2002-02-13,19153348372
2002-02-14,19378137410
2002-02-15,19404583179
2002-02-19,19265742891
2002-02-20,19583092122
2002-02-21,19113679718
2002-02-22,19397971737
2002-02-25,19821104045
2002-02-26,19933498564
2002-02-27,19569869237
2002-02-28,19550034910
2002-03-01,19550034910
2002-03-04,19576480679
2002-03-05,19788046833
2002-03-06,19682263756
2002-03-07,19503754814
2002-03-08,19840938372
2002-03-11,19827715487
2002-03-12,19655817987
2002-03-13,19298800102
2002-03-14,19464086160
2002-03-15,19404583179
2002-03-18,19345080199
2002-03-19,19662429429
2002-03-20,19431028949
2002-03-21,19437640391
2002-03-22,19563257795
2002-03-25,19206239910
2002-03-26,19741766737
2002-03-27,19530200583
2002-03-28,19715320968
2002-04-01,19285114995
2002-04-02,19219697372
2002-04-03,18650564060
2002-04-04,18781399304
2002-04-05,18644022298
2002-04-08,18872983975
2002-04-09,19029986268
2002-04-10,19429033763
2002-04-11,19075778604
2002-04-12,19272031470
2002-04-15,19029986268
2002-04-16,19101945653
2002-04-17,18853358689
2002-04-18,18735606969
2002-04-19,18840275164
2002-04-22,19101945653
2002-04-23,19324365568
2002-04-24,18990735695
2002-04-25,19010360982
2002-04-26,18591688200
2002-04-29,18644022298
2002-04-30,18977652171
2002-05-01,19121570939
2002-05-02,18912234549
2002-05-03,18807566353
2002-05-06,18611313487
2002-05-07,18146848370
2002-05-08,18408518858
2002-05-09,18539354103
2002-05-10,18532812340
2002-05-13,18539354103
2002-05-14,18258058328
2002-05-15,18231891279
2002-05-16,18238433041
2002-05-17,18251516565
2002-05-20,17983304315
2002-05-21,18029096650
2002-05-22,18212265992
2002-05-23,18284225376
2002-05-24,18107597797
2002-05-28,17911344930
2002-05-29,17793593211
2002-05-30,17898261406
2002-05-31,18218807754
2002-06-03,17760884400
2002-06-04,17721633826
2002-06-05,18218807754
2002-06-06,17754342637
2002-06-07,17813218497
2002-06-10,17989846077
2002-06-11,17924428455
2002-06-12,17446879814
2002-06-13,17335669856
2002-06-14,17191751087
2002-06-17,17721633826
2002-06-18,17806676735
2002-06-19,18042180175
2002-06-20,18087972510
2002-06-21,17793593211
2002-06-24,17551548009
2002-06-25,17276793996
2002-06-26,17342211618
2002-06-27,17309502807
2002-06-28,17806676735
2002-07-01,17486130387
2002-07-02,17021665270
2002-07-03,16877746501
2002-07-05,17244085185
2002-07-08,16943164123
2002-07-09,16531033104
2002-07-10,16230112043
2002-07-11,16243195567
2002-07-12,16060026225
2002-07-15,16217028518
2002-07-16,15706771066
2002-07-17,15994608603
2002-07-18,15543227010
2002-07-19,14699339685
2002-07-22,14450752721
2002-07-23,14267583380
2002-07-24,14915217838
2002-07-25,15667520492
2002-07-26,15510518199
2002-07-29,16570283677
2002-07-30,16302071427
2002-07-31,17041290557
2002-08-01,18186098943
2002-08-02,17793593211
2002-08-05,17610423869
2002-08-06,18009471364
2002-08-07,18362726523
2002-08-08,18807566353
2002-08-09,18951485122
2002-08-12,18879525738
2002-08-13,18774857542
2002-08-14,19075778604
2002-08-15,19095403890
2002-08-16,18918776311
2002-08-19,18421602383
2002-08-20,18840275164
2002-08-21,18729065207
2002-08-22,19121570939
2002-08-23,18997277457
2002-08-26,18977652171
2002-08-27,18990735695
2002-08-28,18519728816
2002-08-29,18415060621
2002-08-30,18552437627
2002-09-03,18166473657
2002-09-04,18644022298
2002-09-05,19160821513
2002-09-06,19278573232
2002-09-09,19494451385
2002-09-10,19965458264
2002-09-11,19998167075
2002-09-12,19919665929
2002-09-13,19952374740
2002-09-16,20292546375
2002-09-17,20004708838
2002-09-18,19821539496
2002-09-19,19095403890
2002-09-20,19546785483
2002-09-23,19409408477
2002-09-24,18899151024
2002-09-25,19029986268
2002-09-26,19644911916
2002-09-27,19324365568
2002-09-30,18511136355
2002-10-01,19228369536
2002-10-02,18589379975
2002-10-03,18784989024
2002-10-04,18928435660
2002-10-07,19143605615
2002-10-08,19521783110
2002-10-09,18824110834
2002-10-10,18517656657
2002-10-11,19202288329
2002-10-14,19306613156
2002-10-15,19749993667
2002-10-16,19495701903
2002-10-17,20082529051
2002-10-18,20147732067
2002-10-21,20982330677
2002-10-22,20565031372
2002-10-23,20499828356
2002-10-24,20069488447
2002-10-25,21086655503
2002-10-28,20212935084
2002-10-29,20252056893
2002-10-30,20943208867
2002-10-31,20656315595
2002-11-01,20767160723
2002-11-04,20956249470
2002-11-05,20923647962
2002-11-06,20799762231
2002-11-07,20708478008
2002-11-08,20519389261
2002-11-11,20258577195
2002-11-12,20206414782
2002-11-13,20793241929
2002-11-14,21060574297
2002-11-15,20949729169
2002-11-18,20688917103
2002-11-19,20682396802
2002-11-20,20375942625
2002-11-21,20408544133
2002-11-22,20062968146
2002-11-25,19397897379
2002-11-26,19097963503
2002-11-27,19202288329
2002-11-29,19182727424
2002-12-02,18908874756
2002-12-03,18908874756
2002-12-04,19260971044
2002-12-05,19078402598
2002-12-06,19358775569
2002-12-09,19397897379
2002-12-10,19613067333
2002-12-11,19450059792
2002-12-12,19476140998
2002-12-13,19508742506
2002-12-16,19736953064
2002-12-17,19280531949
2002-12-18,19247930441
2002-12-19,19058841693
2002-12-20,19469620697
2002-12-23,19463100395
2002-12-24,19404417680
2002-12-26,19469620697
2002-12-27,19169686821
2002-12-30,19315699497
2002-12-31,19341670185
2003-01-02,19841605937
2003-01-03,19679289135
2003-01-06,20023400756
2003-01-07,19887054642
2003-01-08,19750708528
2003-01-09,19828620593
2003-01-10,19802649905
2003-01-13,19822127921
2003-01-14,19835113265
2003-01-15,19445552939
2003-01-16,19575406381
2003-01-17,19588391725
2003-01-21,19471523627
2003-01-22,19348162858
2003-01-23,19335177513
2003-01-24,18880690466
2003-01-27,18289857305
2003-01-28,18335306010
2003-01-29,18250901273
2003-01-30,18536578845
2003-01-31,19068977957
2003-02-03,19004051236
2003-02-04,18815763745
2003-02-05,18952109859
2003-02-06,19043007269
2003-02-07,18841734434
2003-02-10,18952109859
2003-02-11,18569042206
2003-02-12,18406725403
2003-02-13,18439188764
2003-02-14,18958602532
2003-02-18,18965095204
2003-02-19,18744344352
2003-02-20,18192467224
2003-02-21,18289857305
2003-02-24,17906789651
2003-02-25,18328813338
2003-02-26,18153511191
2003-02-27,18088584470
2003-02-28,17608126735
2003-03-03,17400361228
2003-03-04,17075727623
2003-03-05,15790178547
2003-03-06,15971973366
2003-03-07,15874583284
2003-03-10,15335691500
2003-03-11,15316213483
2003-03-12,15660325105
2003-03-13,16387504380
2003-03-14,16751094018
2003-03-17,17393868555
2003-03-18,17445809932
2003-03-19,17504243981
2003-03-20,17114683655
2003-03-21,17887311635
2003-03-24,16984830213
2003-03-25,17341927179
2003-03-26,17134161671
2003-03-27,17153639688
2003-03-28,16725123329
2003-03-31,16430738845
2003-04-01,16792421776
2003-04-02,17334946171
2003-04-03,17212232320
