,WRB
2001-11-08,1209293012
2001-11-09,1158144667
2001-11-12,1165451573
2001-11-13,1176411933
2001-11-14,1154491214
2001-11-15,1121610135
2001-11-16,1088729056
2001-11-19,1085075603
2001-11-20,1110649775
2001-11-21,1117956682
2001-11-23,1128917041
2001-11-26,1125263588
2001-11-27,1139877401
2001-11-28,1132570495
2001-11-29,1143530854
2001-11-30,1143530854
2001-12-03,1132570495
2001-12-04,1139877401
2001-12-05,1154491214
2001-12-06,1161798120
2001-12-07,1165451573
2001-12-10,1158144667
2001-12-11,1158144667
2001-12-12,1139877401
2001-12-13,1121610135
2001-12-14,1132570495
2001-12-17,1121610135
2001-12-18,1128917041
2001-12-19,1147184307
2001-12-20,1121610135
2001-12-21,1132570495
2001-12-24,1132570495
2001-12-26,1132570495
2001-12-27,1136223948
2001-12-28,1150837761
2001-12-31,1187791048
2002-01-02,1168877178
2002-01-03,1149963308
2002-01-04,1161311630
2002-01-07,1157528856
2002-01-08,1142397760
2002-01-09,1108352793
2002-01-10,1115918341
2002-01-11,1127266663
2002-01-14,1097004471
2002-01-15,1097004471
2002-01-16,1093221697
2002-01-17,1078090601
2002-01-18,1078090601
2002-01-22,1074307827
2002-01-23,1078090601
2002-01-24,1074307827
2002-01-25,1108352793
2002-01-28,1119701115
2002-01-29,1112135567
2002-01-30,1108352793
2002-01-31,1115918341
2002-02-01,1123483889
2002-02-04,1119701115
2002-02-05,1123483889
2002-02-06,1131049437
2002-02-07,1127266663
2002-02-08,1146180534
2002-02-11,1153746082
2002-02-12,1161311630
2002-02-13,1191573822
2002-02-14,1218053240
2002-02-15,1214270466
2002-02-19,1202922144
2002-02-20,1214270466
2002-02-21,1187791048
2002-02-22,1187791048
2002-02-25,1176442726
2002-02-26,1199139370
2002-02-27,1240749885
2002-02-28,1206704918
2002-03-01,1214270466
2002-03-04,1240749885
2002-03-05,1248315433
2002-03-06,1240749885
2002-03-07,1236967111
2002-03-08,1229401563
2002-03-11,1229401563
2002-03-12,1236967111
2002-03-13,1252098207
2002-03-14,1259663755
2002-03-15,1263446529
2002-03-18,1263446529
2002-03-19,1252098207
2002-03-20,1240749885
2002-03-21,1274794851
2002-03-22,1274794851
2002-03-25,1263446529
2002-03-26,1248315433
2002-03-27,1267229303
2002-03-28,1271012077
2002-04-01,1286552106
2002-04-02,1286552106
2002-04-03,1286552106
2002-04-04,1286552106
2002-04-05,1305583942
2002-04-08,1320809411
2002-04-09,1313196677
2002-04-10,1320809411
2002-04-11,1313196677
2002-04-12,1339841247
2002-04-15,1320809411
2002-04-16,1324615778
2002-04-17,1324615778
2002-04-18,1305583942
2002-04-19,1290358474
2002-04-22,1290358474
2002-04-23,1282745739
2002-04-24,1282745739
2002-04-25,1286552106
2002-04-26,1294164841
2002-04-29,1324615778
2002-04-30,1347453981
2002-05-01,1355066716
2002-05-02,1339841247
2002-05-03,1332228513
2002-05-06,1339841247
2002-05-07,1328422145
2002-05-08,1305583942
2002-05-09,1294164841
2002-05-10,1290358474
2002-05-13,1301777575
2002-05-14,1313196677
2002-05-15,1324615778
2002-05-16,1328422145
2002-05-17,1347453981
2002-05-20,1336034880
2002-05-21,1336034880
2002-05-22,1332228513
2002-05-23,1332228513
2002-05-24,1328422145
2002-05-28,1305583942
2002-05-29,1305583942
2002-05-30,1301777575
2002-05-31,1313196677
2002-06-03,1301777575
2002-06-04,1286552106
2002-06-05,1290358474
2002-06-06,1275133005
2002-06-07,1275133005
2002-06-10,1271326638
2002-06-11,1240875700
2002-06-12,1248488435
2002-06-13,1225650231
2002-06-14,1214231130
2002-06-17,1237069333
2002-06-18,1263713903
2002-06-19,1290358474
2002-06-20,1313196677
2002-06-21,1328422145
2002-06-24,1294164841
2002-06-25,1263713903
2002-06-26,1244682067
2002-06-27,1225650231
2002-06-28,1225650231
2002-07-01,1246445111
2002-07-02,1219762800
2002-07-03,1204515765
2002-07-05,1212139282
2002-07-08,1189268730
2002-07-09,1154962901
2002-07-10,1116845313
2002-07-11,1135904107
2002-07-12,1128280590
2002-07-15,1124468831
2002-07-16,1082539485
2002-07-17,1063480691
2002-07-18,1040610138
2002-07-19,1086351243
2002-07-22,1048233656
2002-07-23,1044421897
2002-07-24,1113033555
2002-07-25,1090163002
2002-07-26,1105410037
2002-07-29,1170209936
2002-07-30,1185456971
2002-07-31,1181645212
2002-08-01,1181645212
2002-08-02,1147339383
2002-08-05,1113033555
2002-08-06,1139715866
2002-08-07,1143527625
2002-08-08,1170209936
2002-08-09,1170209936
2002-08-12,1154962901
2002-08-13,1154962901
2002-08-14,1162586418
2002-08-15,1170209936
2002-08-16,1166398177
2002-08-19,1166398177
2002-08-20,1170209936
2002-08-21,1166398177
2002-08-22,1151151142
2002-08-23,1151151142
2002-08-26,1154962901
2002-08-27,1154962901
2002-08-28,1124468831
2002-08-29,1120657072
2002-08-30,1128280590
2002-09-03,1128280590
2002-09-04,1139715866
2002-09-05,1139715866
2002-09-06,1147339383
2002-09-09,1151151142
2002-09-10,1166398177
2002-09-11,1158774660
2002-09-12,1151151142
2002-09-13,1151151142
2002-09-16,1135904107
2002-09-17,1105410037
2002-09-18,1135904107
2002-09-19,1135904107
2002-09-20,1132092348
2002-09-23,1116845313
2002-09-24,1116845313
2002-09-25,1135904107
2002-09-26,1151151142
2002-09-27,1116845313
2002-09-30,1212865986
2002-10-01,1237286107
2002-10-02,1184375846
2002-10-03,1168095765
2002-10-04,1168095765
2002-10-07,1172165785
2002-10-08,1159955725
2002-10-09,1115185504
2002-10-10,1164025745
2002-10-11,1212865986
2002-10-14,1208795966
2002-10-15,1216936006
2002-10-16,1216936006
2002-10-17,1212865986
2002-10-18,1216936006
2002-10-21,1221006027
2002-10-22,1212865986
2002-10-23,1212865986
2002-10-24,1208795966
2002-10-25,1229146067
2002-10-28,1200655926
2002-10-29,1208795966
2002-10-30,1282056328
2002-10-31,1326826549
2002-11-01,1334966589
2002-11-04,1330896569
2002-11-05,1318686509
2002-11-06,1318686509
2002-11-07,1306476448
2002-11-08,1310546468
2002-11-11,1310546468
2002-11-12,1302406428
2002-11-13,1314616489
2002-11-14,1310546468
2002-11-15,1290196368
2002-11-18,1286126348
2002-11-19,1334966589
2002-11-20,1391946870
2002-11-21,1396016890
2002-11-22,1400086910
2002-11-25,1383806830
2002-11-26,1387876850
2002-11-27,1391946870
2002-11-29,1412296971
2002-12-02,1400086910
2002-12-03,1416366991
2002-12-04,1404156931
2002-12-05,1412296971
2002-12-06,1391946870
2002-12-09,1387876850
2002-12-10,1391946870
2002-12-11,1391946870
2002-12-12,1396016890
2002-12-13,1412296971
2002-12-16,1436717091
2002-12-17,1400086910
2002-12-18,1412296971
2002-12-19,1404156931
2002-12-20,1404156931
2002-12-23,1391946870
2002-12-24,1387876850
2002-12-26,1424507031
2002-12-27,1396016890
2002-12-30,1420437011
2002-12-31,1460032695
2003-01-02,1460032695
2003-01-03,1430664221
2003-01-06,1472619183
2003-01-07,1472619183
2003-01-08,1464228191
2003-01-09,1468423687
2003-01-10,1481010176
2003-01-13,1455837198
2003-01-14,1476814680
2003-01-15,1472619183
2003-01-16,1460032695
2003-01-17,1472619183
2003-01-21,1472619183
2003-01-22,1443250710
2003-01-23,1430664221
2003-01-24,1430664221
2003-01-27,1418077732
2003-01-28,1384513762
2003-01-29,1409686740
2003-01-30,1418077732
2003-01-31,1443250710
2003-02-03,1405491243
2003-02-04,1422273228
2003-02-05,1413882236
2003-02-06,1371927273
2003-02-07,1376122770
2003-02-10,1392904755
2003-02-11,1418077732
2003-02-12,1426468725
2003-02-13,1434859717
2003-02-14,1493596665
2003-02-18,1493596665
2003-02-19,1493596665
2003-02-20,1497792161
2003-02-21,1514574146
2003-02-24,1506183153
2003-02-25,1489401168
2003-02-26,1468423687
2003-02-27,1493596665
2003-02-28,1493596665
2003-03-03,1501987657
2003-03-04,1493596665
2003-03-05,1497792161
2003-03-06,1497792161
2003-03-07,1501987657
2003-03-10,1451641702
2003-03-11,1426468725
2003-03-12,1409686740
2003-03-13,1451641702
2003-03-14,1476814680
2003-03-17,1497792161
2003-03-18,1481010176
2003-03-19,1518769642
2003-03-20,1543942620
2003-03-21,1590093078
2003-03-24,1564920101
2003-03-25,1556529108
2003-03-26,1548138116
2003-03-27,1573311093
2003-03-28,1577506590
2003-03-31,1586360348
2003-04-01,1603236522
2003-04-02,1582141305
2003-04-03,1561046087
2003-04-04,1577922261
2003-04-07,1556827044
2003-04-08,1561046087
2003-04-09,1556827044
2003-04-10,1556827044
2003-04-11,1556827044
2003-04-14,1582141305
2003-04-15,1577922261
2003-04-16,1594798435
2003-04-17,1641207913
2003-04-21,1658084087
2003-04-22,1666522174
2003-04-23,1742464957
2003-04-24,1721369739
2003-04-25,1712931652
2003-04-28,1729807826
2003-04-29,1717150696
2003-04-30,1721369739
2003-05-01,1750903044
2003-05-02,1788874435
2003-05-05,1788874435
2003-05-06,1763560174
2003-05-07,1771998261
2003-05-08,1771998261
2003-05-09,1776217305
2003-05-12,1805750609
2003-05-13,1771998261
2003-05-14,1776217305
2003-05-15,1776217305
2003-05-16,1746684000
2003-05-19,1755122087
2003-05-20,1763560174
2003-05-21,1763560174
2003-05-22,1776217305
2003-05-23,1780436348
2003-05-27,1793093479
2003-05-28,1793093479
2003-05-29,1793093479
2003-05-30,1822626783
2003-06-02,1847941044
2003-06-03,1814188696
2003-06-04,1818407739
2003-06-05,1818407739
2003-06-06,1835283913
2003-06-09,1801531565
2003-06-10,1835283913
2003-06-11,1881693392
2003-06-12,1885912435
2003-06-13,1877474348
2003-06-16,1894350522
2003-06-17,1885912435
2003-06-18,1885912435
2003-06-19,1852160087
2003-06-20,1852160087
2003-06-23,1869036261
2003-06-24,1898569566
2003-06-25,1919664783
2003-06-26,1923883826
2003-06-27,1944979044
2003-06-30,1948245180
2003-07-01,1956660926
2003-07-02,1973492418
2003-07-03,1977700291
2003-07-07,1973492418
2003-07-08,1965076672
2003-07-09,1977700291
2003-07-10,1939829434
2003-07-11,1935621561
2003-07-14,1948245180
2003-07-15,1931413688
2003-07-16,1855671975
2003-07-17,1847256229
2003-07-18,1847256229
2003-07-21,1830424737
2003-07-22,1784138135
2003-07-23,1742059405
2003-07-24,1788346008
2003-07-25,1864087721
2003-07-28,1885127086
2003-07-29,1885127086
2003-07-30,1885127086
2003-07-31,1893542832
2003-08-01,1885127086
2003-08-04,1864087721
2003-08-05,1876711340
2003-08-06,1906166450
2003-08-07,1901958577
2003-08-08,1927205815
2003-08-11,1897750704
2003-08-12,1893542832
2003-08-13,1880919213
2003-08-14,1876711340
2003-08-15,1889334959
2003-08-18,1922997942
2003-08-19,1948245180
2003-08-20,1935621561
2003-08-21,1927205815
2003-08-22,1901958577
2003-08-25,1885127086
2003-08-26,1889334959
2003-08-27,1872503467
2003-08-28,1843048356
2003-08-29,1834632610
2003-09-02,1855671975
2003-09-03,1893542832
2003-09-04,1901958577
2003-09-05,1868295594
2003-09-08,1885127086
2003-09-09,1897750704
2003-09-10,1897750704
2003-09-11,1864087721
2003-09-12,1872503467
2003-09-15,1851464102
2003-09-16,1893542832
2003-09-17,1880919213
2003-09-18,1931413688
2003-09-19,1939829434
2003-09-22,1906166450
2003-09-23,1939829434
2003-09-24,1893542832
2003-09-25,1901958577
2003-09-26,1876711340
2003-09-29,1889334959
2003-09-30,1900630678
2003-10-01,1951201782
2003-10-02,1984915852
2003-10-03,1993344369
2003-10-06,2010201404
2003-10-07,2018629922
2003-10-08,2022844180
2003-10-09,1972273076
2003-10-10,1930130489
2003-10-13,1938559006
2003-10-14,1942773265
2003-10-15,1921701971
2003-10-16,1921701971
2003-10-17,1879559384
2003-10-20,1862702349
2003-10-21,1921701971
2003-10-22,1883773643
2003-10-23,1875345125
2003-10-24,1871130867
2003-10-27,1879559384
2003-10-28,1841631056
2003-10-29,1887987902
2003-10-30,1904844936
2003-10-31,1904844936
2003-11-03,1921701971
2003-11-04,1913273454
2003-11-05,1896416419
2003-11-06,1930130489
2003-11-07,1913273454
2003-11-10,1896416419
2003-11-11,1887987902
2003-11-12,1917487713
2003-11-13,1909059195
2003-11-14,1913273454
2003-11-17,1904844936
2003-11-18,1892202160
2003-11-19,1879559384
2003-11-20,1837416797
2003-11-21,1854273832
2003-11-24,1896416419
2003-11-25,1896416419
2003-11-26,1896416419
2003-11-28,1896416419
2003-12-01,1925916230
2003-12-02,1900630678
2003-12-03,1900630678
2003-12-04,1896416419
2003-12-05,1887987902
2003-12-08,1887987902
2003-12-09,1875345125
2003-12-10,1887987902
2003-12-11,1871130867
2003-12-12,1837416797
2003-12-15,1765774399
2003-12-16,1803702727
2003-12-17,1782631434
2003-12-18,1820559762
2003-12-19,1879559384
2003-12-22,1879559384
2003-12-23,1896416419
2003-12-24,1917487713
2003-12-26,1904844936
2003-12-29,1934344747
2003-12-30,1942773265
2003-12-31,1947847501
2004-01-02,1977488659
2004-01-05,1964785305
2004-01-06,1964785305
2004-01-07,1985957561
2004-01-08,1994426463
2004-01-09,2007129816
2004-01-12,2053708778
2004-01-13,2053708778
2004-01-14,2091818838
2004-01-15,2108756642
2004-01-16,2108756642
2004-01-20,2134163349
2004-01-21,2134163349
2004-01-22,2125694447
2004-01-23,2134163349
2004-01-26,2189211213
2004-01-27,2151101153
2004-01-28,2134163349
2004-01-29,2129928898
2004-01-30,2146866702
2004-02-02,2146866702
2004-02-03,2125694447
2004-02-04,2096053289
2004-02-05,2112991093
2004-02-06,2146866702
2004-02-09,2155335604
2004-02-10,2189211213
2004-02-11,2201914566
2004-02-12,2235790175
2004-02-13,2235790175
2004-02-17,2256962430
2004-02-18,2256962430
2004-02-19,2248493528
2004-02-20,2244259077
2004-02-23,2240024626
2004-02-24,2244259077
2004-02-25,2261196882
2004-02-26,2286603588
2004-02-27,2320479197
2004-03-01,2337417001
2004-03-02,2328948099
2004-03-03,2362823708
2004-03-04,2371292610
2004-03-05,2367058159
2004-03-08,2379761512
2004-03-09,2354354806
2004-03-10,2354354806
2004-03-11,2320479197
2004-03-12,2328948099
2004-03-15,2282369137
2004-03-16,2299306941
2004-03-17,2328948099
2004-03-18,2320479197
2004-03-19,2295072490
2004-03-22,2265431333
2004-03-23,2218852371
2004-03-24,2163804506
2004-03-25,2172273409
2004-03-26,2214617920
2004-03-29,2227321273
2004-03-30,2214617920
2004-03-31,2229792673
2004-04-01,2331726052
2004-04-02,2352962173
2004-04-05,2374198294
2004-04-06,2412423311
2004-04-07,2395434414
2004-04-08,2403928863
2004-04-12,2391187190
2004-04-13,2357209397
2004-04-14,2293501035
2004-04-15,2314737156
2004-04-16,2327478828
2004-04-19,2344467725
2004-04-20,2301995483
2004-04-21,2318984380
2004-04-22,2344467725
2004-04-23,2331726052
2004-04-26,2306242708
2004-04-27,2285006587
2004-04-28,2263770466
2004-04-29,2255276018
2004-04-30,2263770466
2004-05-03,2297748259
2004-05-04,2280759363
2004-05-05,2255276018
2004-05-06,2255276018
2004-05-07,2208556552
2004-05-10,2212803776
2004-05-11,2204309328
2004-05-12,2174578759
2004-05-13,2221298225
2004-05-14,2229792673
2004-05-17,2187320432
2004-05-18,2221298225
2004-05-19,2183073207
2004-05-20,2200062104
2004-05-21,2225545449
2004-05-24,2238287121
2004-05-25,2268017690
2004-05-26,2297748259
2004-05-27,2327478828
2004-05-28,2327478828
2004-06-01,2327478828
2004-06-02,2331726052
2004-06-03,2323231604
2004-06-04,2369951070
2004-06-07,2382692742
2004-06-08,2378445518
2004-06-09,2361456621
2004-06-10,2382692742
2004-06-14,2340220501
2004-06-15,2365703845
2004-06-16,2361456621
2004-06-17,2382692742
2004-06-18,2408176087
2004-06-21,2386939966
2004-06-22,2420917759
2004-06-23,2416670535
2004-06-24,2399681639
2004-06-25,2425164983
2004-06-28,2412423311
2004-06-29,2412423311
2004-06-30,2409169095
2004-07-01,2383630200
2004-07-02,2366604270
2004-07-06,2358091305
2004-07-07,2383630200
2004-07-08,2392143165
2004-07-09,2396399647
2004-07-12,2421938542
2004-07-13,2443220955
2004-07-14,2460246885
2004-07-15,2464503367
2004-07-16,2451733920
2004-07-19,2455990402
2004-07-20,2302757032
2004-07-21,2255935725
2004-07-22,2226140347
2004-07-23,2204857935
2004-07-26,2243166277
2004-07-27,2226140347
2004-07-28,2307013515
2004-07-29,2307013515
2004-07-30,2294244067
2004-08-02,2298500550
2004-08-03,2328295927
2004-08-04,2302757032
2004-08-05,2277218137
2004-08-06,2243166277
2004-08-09,2243166277
2004-08-10,2268705172
2004-08-11,2255935725
2004-08-12,2243166277
2004-08-13,2230396830
2004-08-16,2268705172
2004-08-17,2268705172
2004-08-18,2289987585
2004-08-19,2281474620
2004-08-20,2298500550
2004-08-23,2264448690
2004-08-24,2251679242
2004-08-25,2260192207
2004-08-26,2260192207
2004-08-27,2268705172
2004-08-30,2251679242
2004-08-31,2264448690
2004-09-01,2251679242
2004-09-02,2277218137
2004-09-03,2289987585
2004-09-07,2319782962
2004-09-08,2294244067
2004-09-09,2315526480
2004-09-10,2328295927
2004-09-13,2358091305
2004-09-14,2358091305
2004-09-15,2400656130
2004-09-16,2426195025
2004-09-17,2443220955
2004-09-20,2400656130
2004-09-21,2430451507
2004-09-22,2383630200
2004-09-23,2353834822
2004-09-24,2345321857
2004-09-27,2307013515
2004-09-28,2294244067
2004-09-29,2298500550
2004-09-30,2361897593
2004-10-01,2395942964
2004-10-04,2404454307
2004-10-05,2361897593
2004-10-06,2370408936
2004-10-07,2361897593
2004-10-08,2344874908
2004-10-11,2349130579
2004-10-12,2361897593
2004-10-13,2332107894
2004-10-14,2268272824
