,R
2000-12-26,920459074
2000-12-27,935069536
2000-12-28,978900920
2000-12-29,971887898
2001-01-02,969408630
2001-01-03,1044254880
2001-01-04,1040662260
2001-01-05,1032878250
2001-01-08,1070600760
2001-01-09,1081378620
2001-01-10,1122693750
2001-01-11,1115508510
2001-01-12,1089162630
2001-01-16,1152632250
2001-01-17,1149039630
2001-01-18,1111317120
2001-01-19,1115508510
2001-01-22,1137663000
2001-01-23,1182570750
2001-01-24,1156224870
2001-01-25,1156224870
2001-01-26,1171194120
2001-01-29,1179576900
2001-01-30,1209515400
2001-01-31,1188558450
2001-02-01,1213706790
2001-02-02,1194546150
2001-02-05,1176583050
2001-02-06,1152632250
2001-02-07,1169397810
2001-02-08,1165206420
2001-02-09,1139459310
2001-02-12,1169996580
2001-02-13,1185564600
2001-02-14,1161613800
2001-02-15,1172990430
2001-02-16,1144848240
2001-02-20,1144848240
2001-02-21,1169996580
2001-02-22,1165805190
2001-02-23,1184965830
2001-02-26,1223885880
2001-02-27,1231669890
2001-02-28,1228676040
2001-03-01,1232867430
2001-03-02,1238256360
2001-03-05,1244244060
2001-03-06,1259213310
2001-03-07,1287355500
2001-03-08,1314898920
2001-03-09,1316695230
2001-03-12,1287954270
2001-03-13,1234663740
2001-03-14,1216101870
2001-03-15,1237058820
2001-03-16,1192749840
2001-03-19,1231071120
2001-03-20,1171194120
2001-03-21,1164008880
2001-03-22,1117304820
2001-03-23,1131675300
2001-03-26,1149638400
2001-03-27,1152632250
2001-03-28,1128681450
2001-03-29,1113712200
2001-03-30,1077187230
2001-04-02,1082394990
2001-04-03,1054179479
2001-04-04,1064985419
2001-04-05,1086597300
2001-04-06,1057781460
2001-04-09,1093200930
2001-04-10,1082394990
2001-04-11,1080594000
2001-04-12,1068587400
2001-04-16,1072789710
2001-04-17,1074590700
2001-04-18,1116613800
2001-04-19,1163439540
2001-04-20,1150232280
2001-04-23,1159237230
2001-04-24,1182650100
2001-04-25,1188053070
2001-04-26,1174245480
2001-04-27,1194056370
2001-04-30,1189253730
2001-05-01,1198258680
2001-05-02,1218669900
2001-05-03,1216268580
2001-05-04,1233077820
2001-05-07,1235479140
2001-05-08,1256490690
2001-05-09,1258892010
2001-05-10,1279903560
2001-05-11,1312921710
2001-05-14,1297913460
2001-05-15,1311721050
2001-05-16,1342938210
2001-05-17,1345939860
2001-05-18,1359147120
2001-05-21,1392165270
2001-05-22,1374155370
2001-05-23,1344739200
2001-05-24,1337535240
2001-05-25,1336334580
2001-05-29,1305117420
2001-05-30,1297313130
2001-05-31,1317124020
2001-06-01,1317124020
2001-06-04,1320726000
2001-06-05,1323727650
2001-06-06,1309920060
2001-06-07,1291309830
2001-06-08,1285906860
2001-06-11,1252288380
2001-06-12,1240882110
2001-06-13,1216268580
2001-06-14,1178447790
2001-06-15,1174245480
2001-06-18,1171243830
2001-06-19,1139426340
2001-06-20,1152633600
2001-06-21,1147230630
2001-06-22,1135824360
2001-06-25,1143028320
2001-06-26,1146630300
2001-06-27,1173044820
2001-06-28,1173645150
2001-06-29,1176646800
2001-07-02,1182566448
2001-07-03,1180731115
2001-07-05,1175225115
2001-07-06,1162989559
2001-07-09,1152589337
2001-07-10,1135459559
2001-07-11,1131177115
2001-07-12,1145248004
2001-07-13,1143412670
2001-07-16,1157483559
2001-07-17,1162989559
2001-07-18,1176448670
2001-07-19,1199084448
2001-07-20,1188684226
2001-07-23,1186848893
2001-07-24,1192966671
2001-07-25,1189296004
2001-07-26,1190519559
2001-07-27,1159930670
2001-07-30,1175836893
2001-07-31,1162377782
2001-08-01,1155036448
2001-08-02,1185013559
2001-08-03,1189296004
2001-08-06,1191131337
2001-08-07,1168495559
2001-08-08,1172166226
2001-08-09,1154424670
2001-08-10,1180731115
2001-08-13,1189907782
2001-08-14,1196637337
2001-08-15,1217437782
2001-08-16,1290851115
2001-08-17,1300027782
2001-08-20,1284121560
2001-08-21,1278615560
2001-08-22,1287792226
2001-08-23,1308592671
2001-08-24,1347134671
2001-08-27,1348358227
2001-08-28,1349581782
2001-08-29,1359370227
2001-08-30,1361205560
2001-08-31,1382006005
2001-09-04,1370382227
2001-09-05,1388735560
2001-09-06,1407088894
2001-09-07,1355699560
2001-09-10,1282898004
2001-09-17,1197860893
2001-09-18,1219884893
2001-09-19,1203978671
2001-09-20,1128730004
2001-09-21,1082846670
2001-09-24,1128118226
2001-09-25,1132400670
2001-09-26,1110376670
2001-09-27,1167272004
2001-09-28,1222943782
2001-10-01,1188136505
2001-10-02,1179108112
2001-10-03,1181515684
2001-10-04,1206193291
2001-10-05,1220638720
2001-10-08,1176098648
2001-10-09,1168875934
2001-10-10,1215823577
2001-10-11,1230269005
2001-10-12,1202581934
2001-10-15,1219434934
2001-10-16,1230870898
2001-10-17,1188738398
2001-10-18,1174894862
2001-10-19,1197766791
2001-10-22,1173089184
2001-10-23,1190544077
2001-10-24,1167672148
2001-10-25,1188136505
2001-10-26,1185728934
2001-10-29,1158643755
2001-10-30,1139985076
2001-10-31,1125539648
2001-11-01,1158643755
2001-11-02,1155032398
2001-11-05,1169477826
2001-11-06,1162255112
2001-11-07,1176098648
2001-11-08,1173691077
2001-11-09,1145402112
2001-11-12,1130354791
2001-11-13,1164662684
2001-11-14,1180913791
2001-11-15,1196563005
2001-11-16,1221842505
2001-11-19,1235686041
2001-11-20,1218833041
2001-11-21,1214017898
2001-11-23,1229065220
2001-11-26,1204989505
2001-11-27,1203785720
2001-11-28,1199572469
2001-11-29,1208600862
2001-11-30,1233880363
2001-12-03,1266984470
2001-12-04,1268790148
2001-12-05,1286245041
2001-12-06,1301292363
2001-12-07,1283235577
2001-12-10,1266984470
2001-12-11,1259761755
2001-12-12,1243510648
2001-12-13,1196563005
2001-12-14,1229667112
2001-12-17,1294671541
2001-12-18,1320552934
2001-12-19,1318747256
2001-12-20,1316941577
2001-12-21,1340415399
2001-12-24,1342221077
2001-12-26,1345832434
2001-12-27,1343424863
2001-12-28,1327173756
2001-12-31,1345523900
2002-01-02,1347953740
2002-01-03,1343701520
2002-01-04,1381971500
2002-01-07,1399587840
2002-01-08,1417811640
2002-01-09,1428138460
2002-01-10,1426316080
2002-01-11,1431783220
2002-01-14,1428138460
2002-01-15,1433605600
2002-01-16,1404447520
2002-01-17,1428745920
2002-01-18,1406877360
2002-01-22,1406269900
2002-01-23,1444539880
2002-01-24,1463371140
2002-01-25,1452436860
2002-01-28,1476735260
2002-01-29,1459726380
2002-01-30,1484024780
2002-01-31,1517435080
2002-02-01,1579396000
2002-02-04,1541733480
2002-02-05,1508323180
2002-02-06,1502856040
2002-02-07,1542340940
2002-02-08,1590330280
2002-02-11,1610376460
2002-02-12,1580610920
2002-02-13,1603694400
2002-02-14,1633459940
2002-02-15,1637104700
2002-02-19,1634067400
2002-02-20,1621918200
2002-02-21,1606731700
2002-02-22,1621310740
2002-02-25,1643179300
2002-02-26,1667477700
2002-02-27,1700280540
2002-02-28,1706962600
2002-03-01,1739765440
2002-03-04,1809623340
2002-03-05,1760419080
2002-03-06,1747054960
2002-03-07,1734905760
2002-03-08,1780465260
2002-03-11,1764671300
2002-03-12,1754344480
2002-03-13,1732475920
2002-03-14,1751914640
2002-03-15,1770745900
2002-03-18,1788362240
2002-03-19,1787147320
2002-03-20,1762241460
2002-03-21,1750092260
2002-03-22,1750092260
2002-03-25,1743410200
2002-03-26,1773175740
2002-03-27,1792614460
2002-03-28,1794436840
2002-04-01,1784246323
2002-04-02,1761497490
2002-04-03,1746126657
2002-04-04,1765801323
2002-04-05,1771949657
2002-04-08,1755349157
2002-04-09,1772564490
2002-04-10,1831588490
2002-04-11,1826669823
2002-04-12,1862944989
2002-04-15,1814987990
2002-04-16,1861100489
2002-04-17,1845729656
2002-04-18,1806995156
2002-04-19,1796542990
2002-04-22,1755349157
2002-04-23,1744896990
2002-04-24,1711695990
2002-04-25,1752274990
2002-04-26,1758423323
2002-04-29,1730755823
2002-04-30,1743667323
2002-05-01,1767645823
2002-05-02,1786090823
2002-05-03,1748585990
2002-05-06,1750430490
2002-05-07,1795313323
2002-05-08,1832203323
2002-05-09,1813758323
2002-05-10,1776868323
2002-05-13,1819291823
2002-05-14,1877086156
2002-05-15,1896145989
2002-05-16,1877086156
2002-05-17,1879545489
2002-05-20,1860485656
2002-05-21,1837736823
2002-05-22,1837736823
2002-05-23,1832203323
2002-05-24,1814987990
2002-05-28,1806380323
2002-05-29,1799617156
2002-05-30,1829129156
2002-05-31,1838351656
2002-06-03,1800846823
2002-06-04,1797157823
2002-06-05,1775638657
2002-06-06,1750430490
2002-06-07,1765186490
2002-06-10,1762112323
2002-06-11,1715384990
2002-06-12,1721533324
2002-06-13,1703088324
2002-06-14,1700014157
2002-06-17,1730140990
2002-06-18,1723992657
2002-06-19,1722148157
2002-06-20,1722762990
2002-06-21,1720918490
2002-06-24,1691406490
2002-06-25,1683413657
2002-06-26,1647138491
2002-06-27,1648368157
2002-06-28,1665583490
2002-07-01,1662787066
2002-07-02,1655416012
2002-07-03,1681828957
2002-07-05,1738954631
2002-07-08,1715612958
2002-07-09,1695956812
2002-07-10,1649273466
2002-07-11,1632688593
2002-07-12,1613032448
2002-07-15,1605047139
2002-07-16,1566963357
2002-07-17,1549764229
2002-07-18,1517822993
2002-07-19,1464997101
2002-07-22,1417699501
2002-07-23,1370401901
2002-07-24,1449640738
2002-07-25,1468682629
2002-07-26,1514137465
2002-07-29,1613646702
2002-07-30,1622246266
2002-07-31,1607504157
2002-08-01,1596447575
2002-08-02,1560206557
2002-08-05,1535636375
2002-08-06,1560206557
2002-08-07,1563277829
2002-08-08,1606889902
2002-08-09,1637602630
2002-08-12,1640673903
2002-08-13,1590305029
2002-08-14,1631460084
2002-08-15,1658487285
2002-08-16,1649273466
2002-08-19,1689814267
2002-08-20,1674457903
2002-08-21,1700870848
2002-08-22,1719298485
2002-08-23,1660944303
2002-08-26,1676914921
2002-08-27,1631460084
2002-08-28,1595833320
2002-08-29,1565734847
2002-08-30,1605661393
2002-09-03,1546692956
2002-09-04,1596447575
2002-09-05,1565120593
2002-09-06,1603204375
2002-09-09,1624703284
2002-09-10,1646202194
2002-09-11,1648659212
2002-09-12,1622246266
2002-09-13,1616103721
2002-09-16,1611803939
2002-09-17,1629003066
2002-09-18,1604432884
2002-09-19,1570648884
2002-09-20,1571263138
2002-09-23,1530108084
2002-09-24,1481581974
2002-09-25,1541164665
2002-09-26,1579862702
2002-09-27,1531336593
2002-09-30,1540284468
2002-10-01,1545227218
2002-10-02,1451932812
2002-10-03,1451932812
2002-10-04,1419187093
2002-10-07,1315389343
2002-10-08,1404358843
2002-10-09,1339485250
2002-10-10,1388912750
2002-10-11,1453168500
2002-10-14,1445136531
2002-10-15,1500124625
2002-10-16,1434015343
2002-10-17,1485914218
2002-10-18,1470468125
2002-10-21,1450697125
2002-10-22,1409919437
2002-10-23,1466143218
2002-10-24,1439575937
2002-10-25,1461818312
2002-10-28,1438958093
2002-10-29,1427219062
2002-10-30,1446990062
2002-10-31,1417951406
2002-11-01,1459964781
2002-11-04,1432779656
2002-11-05,1422276312
2002-11-06,1492092656
2002-11-07,1482825000
2002-11-08,1469232437
2002-11-11,1432161812
2002-11-12,1432161812
2002-11-13,1446372218
2002-11-14,1475410875
2002-11-15,1480971468
2002-11-18,1434015343
2002-11-19,1432779656
2002-11-20,1430308281
2002-11-21,1445754375
2002-11-22,1425983375
2002-11-25,1414862187
2002-11-26,1356784875
2002-11-27,1407448062
2002-11-29,1421040625
2002-12-02,1434015343
2002-12-03,1397562562
2002-12-04,1418569250
2002-12-05,1423512000
2002-12-06,1445136531
2002-12-09,1417333562
2002-12-10,1434633187
2002-12-11,1428454750
2002-12-12,1419187093
2002-12-13,1401269625
2002-12-16,1362963312
2002-12-17,1350606437
2002-12-18,1328364062
2002-12-19,1343192312
2002-12-20,1341956625
2002-12-23,1354931343
2002-12-24,1349988593
2002-12-26,1359256250
2002-12-27,1348135062
2002-12-30,1377791562
2002-12-31,1386441375
2003-01-02,1402505312
2003-01-03,1393237656
2003-01-06,1419187093
2003-01-07,1409919437
2003-01-08,1401269625
2003-01-09,1432779656
2003-01-10,1429072593
2003-01-13,1438340250
2003-01-14,1436486718
2003-01-15,1421040625
2003-01-16,1435868875
2003-01-17,1427219062
2003-01-21,1401887468
2003-01-22,1421040625
2003-01-23,1421658468
2003-01-24,1370377437
2003-01-27,1346899375
2003-01-28,1362963312
2003-01-29,1360491937
2003-01-30,1340720937
2003-01-31,1392001968
2003-02-03,1363581156
2003-02-04,1354931343
2003-02-05,1362963312
2003-02-06,1380262937
2003-02-07,1371613125
2003-02-10,1377173718
2003-02-11,1378409406
2003-02-12,1375938031
2003-02-13,1378409406
2003-02-14,1415480031
2003-02-18,1442665156
2003-02-19,1408683750
2003-02-20,1400651781
2003-02-21,1422276312
2003-02-24,1362345468
2003-02-25,1379027250
2003-02-26,1376555875
2003-02-27,1398798250
2003-02-28,1401887468
2003-03-03,1404358843
2003-03-04,1392001968
2003-03-05,1387059218
2003-03-06,1374084500
2003-03-07,1380880781
2003-03-10,1339485250
2003-03-11,1288204218
2003-03-12,1285732843
2003-03-13,1329599750
2003-03-14,1337631718
2003-03-17,1383352156
2003-03-18,1383970000
2003-03-19,1405594531
2003-03-20,1405594531
2003-03-21,1440811625
2003-03-24,1390148437
2003-03-25,1379645093
2003-03-26,1365434687
2003-03-27,1353695656
2003-03-28,1298707562
2003-03-31,1293323312
2003-04-01,1295845640
2003-04-02,1325482985
2003-04-03,1302151458
2003-04-04,1304043203
2003-04-07,1302151458
2003-04-08,1272514112
2003-04-09,1269991785
2003-04-10,1285125749
2003-04-11,1275667021
2003-04-14,1298998549
2003-04-15,1312871349
2003-04-16,1380343603
2003-04-17,1358273240
2003-04-21,1345031022
2003-04-22,1372146040
2003-04-23,1478714367
2003-04-24,1520332768
2003-04-25,1499523567
2003-04-28,1544925459
2003-04-29,1557537095
2003-04-30,1566365240
2003-05-01,1546186622
2003-05-02,1573932222
2003-05-05,1588435604
2003-05-06,1592849677
2003-05-07,1612397713
2003-05-08,1594110840
2003-05-09,1631315168
2003-05-12,1621856441
2003-05-13,1646449132
2003-05-14,1633206913
2003-05-15,1651493786
2003-05-16,1656538441
2003-05-19,1612397713
2003-05-20,1590327350
2003-05-21,1589696768
2003-05-22,1590957931
2003-05-23,1604830731
2003-05-27,1617442368
2003-05-28,1626901095
2003-05-29,1621856441
2003-05-30,1674825313
2003-06-02,1679869968
2003-06-03,1674194732
2003-06-04,1724010695
2003-06-05,1683653459
2003-06-06,1688067532
2003-06-09,1666627750
2003-06-10,1674825313
2003-06-11,1687436950
2003-06-12,1688067532
2003-06-13,1665997168
2003-06-16,1693112186
2003-06-17,1676717059
2003-06-18,1662844259
2003-06-19,1645818550
2003-06-20,1643296222
2003-06-23,1614289459
2003-06-24,1625009350
2003-06-25,1583390950
2003-06-26,1597263750
2003-06-27,1594110840
2003-06-30,1630691299
2003-07-01,1591228825
2003-07-02,1595684265
2003-07-03,1590592333
2003-07-07,1607141113
2003-07-08,1617961469
2003-07-09,1633237265
2003-07-10,1594411282
2003-07-11,1625599367
2003-07-14,1647240079
2003-07-15,1642784638
2003-07-16,1661879384
2003-07-17,1652332011
2003-07-18,1690521503
2003-07-21,1670790266
2003-07-22,1693067469
2003-07-23,1768809961
2003-07-24,1779630317
2003-07-25,1817183318
2003-07-28,1821002267
2003-07-29,1829276657
2003-07-30,1836278064
2003-07-31,1849644386
2003-08-01,1820365775
2003-08-04,1822911741
2003-08-05,1798088572
2003-08-06,1803816996
2003-08-07,1794906114
2003-08-08,1800634538
2003-08-11,1791723656
2003-08-12,1817183318
2003-08-13,1799361555
2003-08-14,1818456301
2003-08-15,1837551047
2003-08-18,1860464742
2003-08-19,1873831064
2003-08-20,1865556674
2003-08-21,1874467555
2003-08-22,1848371403
2003-08-25,1833732097
2003-08-26,1819092792
2003-08-27,1822911741
2003-08-28,1892925810
2003-08-29,1911384064
2003-09-02,1921567929
2003-09-03,1937480217
2003-09-04,1941299166
2003-09-05,1915203013
2003-09-08,1905655640
2003-09-09,1876377030
2003-09-10,1838187538
2003-09-11,1878922996
2003-09-12,1900563708
2003-09-15,1888470369
2003-09-16,1917748979
2003-09-17,1909474590
2003-09-18,1947027590
2003-09-19,1976306200
2003-09-22,1987763048
2003-09-23,1954028997
2003-09-24,1906292132
2003-09-25,1849644386
2003-09-26,1845188945
2003-09-29,1861101233
2003-09-30,1870170511
2003-10-01,1911630635
2003-10-02,1930766077
2003-10-03,1954366455
2003-10-06,1928214685
2003-10-07,1949901519
2003-10-08,1944160886
2003-10-09,1969036961
2003-10-10,1930128229
2003-10-13,1993275187
2003-10-14,1995188731
2003-10-15,1990723795
2003-10-16,2002842908
2003-10-17,1972864049
2003-10-20,1970950505
2003-10-21,1983707466
2003-10-22,1903976459
2003-10-23,1901425066
2003-10-24,1898235826
2003-10-27,1881651777
2003-10-28,1907165699
2003-10-29,1913544180
2003-10-30,1910354939
2003-10-31,1913544180
2003-11-03,1945436583
2003-11-04,1914819876
2003-11-05,1905890003
2003-11-06,1923111900
2003-11-07,1910354939
2003-11-10,1863792031
2003-11-11,1861878487
2003-11-12,1849759374
2003-11-13,1849759374
2003-11-14,1827434691
2003-11-17,1819780515
2003-11-18,1967761265
2003-11-19,1938420254
2003-11-20,1914819876
2003-11-21,1942247342
2003-11-24,1962658480
2003-11-25,1990085947
2003-11-26,2002205060
2003-11-28,1989448099
2003-12-01,2044303032
2003-12-02,2016237717
2003-12-03,2002842908
2003-12-04,2013048477
2003-12-05,1965847720
2003-12-08,1998377971
2003-12-09,1997740123
2003-12-10,1997102275
2003-12-11,2046216576
2003-12-12,2054508601
2003-12-15,2068541258
2003-12-16,2102347205
2003-12-17,2097882269
2003-12-18,2154650746
2003-12-19,2179526821
2003-12-22,2187818845
2003-12-23,2152737202
2003-12-24,2156564290
2003-12-26,2154012898
2003-12-29,2178251124
2003-12-30,2168683404
2003-12-31,2216018805
2004-01-02,2184871249
2004-01-05,2212774268
2004-01-06,2299078953
2004-01-07,2294536601
2004-01-08,2343204657
2004-01-09,2338013398
2004-01-12,2379543472
2004-01-13,2433402787
2004-01-14,2400308509
2004-01-15,2436647324
2004-01-16,2430158250
2004-01-20,2429509343
2004-01-21,2446380935
2004-01-22,2420424639
2004-01-23,2420424639
2004-01-26,2403553046
2004-01-27,2404201954
2004-01-28,2376298935
2004-01-29,2395766157
2004-01-30,2387979268
2004-02-02,2355533898
2004-02-03,2339960120
2004-02-04,2323737435
2004-02-05,2306865842
2004-02-06,2384734731
2004-02-09,2407446491
2004-02-10,2350342639
2004-02-11,2404201954
2004-02-12,2390574898
2004-02-13,2352289361
2004-02-17,2355533898
2004-02-18,2373703305
2004-02-19,2332173231
2004-02-20,2349693731
2004-02-23,2325035250
2004-02-24,2303621305
2004-02-25,2319843990
2004-02-26,2355533898
2004-02-27,2390574898
2004-03-01,2426913713
2004-03-02,2400957417
2004-03-03,2417180102
2004-03-04,2439242954
2004-03-05,2457412361
2004-03-08,2417829009
2004-03-09,2416531194
2004-03-10,2376947842
2004-03-11,2391223805
2004-03-12,2451572194
2004-03-15,2422371361
2004-03-16,2420424639
2004-03-17,2469092695
2004-03-18,2404850861
2004-03-19,2371756583
2004-03-22,2354884990
2004-03-23,2329577601
2004-03-24,2330226509
2004-03-25,2404850861
2004-03-26,2389925991
2004-03-29,2419775731
2004-03-30,2495697898
2004-03-31,2489869553
2004-04-01,2557371826
2004-04-02,2557371826
2004-04-05,2556728947
2004-04-06,2561229099
2004-04-07,2536156826
2004-04-08,2556086069
2004-04-12,2556086069
2004-04-13,2438439250
2004-04-14,2434581977
2004-04-15,2458368492
2004-04-16,2541942735
2004-04-19,2561871978
2004-04-20,2507870159
2004-04-21,2560586220
2004-04-22,2581158341
2004-04-23,2619731069
2004-04-26,2529085159
2004-04-27,2408866826
2004-04-28,2403080917
2004-04-29,2354865007
2004-04-30,2365151068
2004-05-03,2438439250
2004-05-04,2432010462
2004-05-05,2439082129
2004-05-06,2421081523
2004-05-07,2352293492
2004-05-10,2293791522
2004-05-11,2342007431
2004-05-12,2320149553
2004-05-13,2318220916
2004-05-14,2312435007
2004-05-17,2271933643
2004-05-18,2284791219
2004-05-19,2319506674
2004-05-20,2349079098
2004-05-21,2370294098
2004-05-24,2375437129
2004-05-25,2385080310
2004-05-26,2381223038
2004-05-27,2395366371
2004-05-28,2388294704
2004-06-01,2391509098
2004-06-02,2394080613
2004-06-03,2343936068
2004-06-04,2350364856
2004-06-07,2421081523
2004-06-08,2452582583
2004-06-09,2424938795
2004-06-10,2423010159
2004-06-14,2430081826
2004-06-15,2475083341
2004-06-16,2482155008
2004-06-17,2532299553
2004-06-18,2515584705
2004-06-21,2497584099
2004-06-22,2495655462
2004-06-23,2554800311
2004-06-24,2527156523
2004-06-25,2558014705
2004-06-28,2534871068
2004-06-29,2571515160
2004-06-30,2558917322
2004-07-01,2522516452
2004-07-02,2481645299
2004-07-06,2479090852
2004-07-07,2491224475
2004-07-08,2435026640
2004-07-09,2445244429
2004-07-12,2443328593
2004-07-13,2465680005
2004-07-14,2486754193
2004-07-15,2532734240
2004-07-16,2525709510
2004-07-19,2548699534
2004-07-20,2558917322
2004-07-21,2593402357
2004-07-22,2544867863
2004-07-23,2583184569
2004-07-26,2621501274
2004-07-27,2694303015
2004-07-28,2710906921
2004-07-29,2767104756
2004-07-30,2739644450
2004-08-02,2811807579
2004-08-03,2832881767
2004-08-04,2811168967
2004-08-05,2777322544
2004-08-06,2709629697
2004-08-09,2724317768
2004-08-10,2790094779
2004-08-11,2751139462
2004-08-12,2708991085
2004-08-13,2689194121
2004-08-16,2747307791
2004-08-17,2746669179
2004-08-18,2774768097
2004-08-19,2755609744
2004-08-20,2777961156
2004-08-23,2752416685
2004-08-24,2767743367
2004-08-25,2775406708
2004-08-26,2795842285
2004-08-27,2766466144
