,DGX
2000-05-02,2596164480
2000-05-03,2510576640
2000-05-04,2530190520
2000-05-05,2658572280
2000-05-08,2646090720
2000-05-09,2685318480
2000-05-10,2624693760
2000-05-11,2767340160
2000-05-12,2986659000
2000-05-15,2965262040
2000-05-16,3109691520
2000-05-17,3025886760
2000-05-18,2893938840
2000-05-19,2747726280
2000-05-22,2722763160
2000-05-23,2704932360
2000-05-24,3025886760
2000-05-25,3086511480
2000-05-26,3159617760
2000-05-30,3054416040
2000-05-31,2992008240
2000-06-01,3065114520
2000-06-02,2975960520
2000-06-05,2824398720
2000-06-06,2754858600
2000-06-07,2719197000
2000-06-08,2694233880
2000-06-09,2744160120
2000-06-12,2663921520
2000-06-13,2719197000
2000-06-14,2836880280
2000-06-15,2881457280
2000-06-16,2881457280
2000-06-19,3109691520
2000-06-20,3321878040
2000-06-21,3284433360
2000-06-22,3170316240
2000-06-23,3120390000
2000-06-26,3159617760
2000-06-27,3154268520
2000-06-28,3229157880
2000-06-29,3232724040
2000-06-30,3362106720
2000-07-03,3333324640
2000-07-05,3408877600
2000-07-06,3493424960
2000-07-07,3538396960
2000-07-10,3642732000
2000-07-11,4182396000
2000-07-12,4391066080
2000-07-13,4446831360
2000-07-14,4673490240
2000-07-17,4812004000
2000-07-18,4628518240
2000-07-19,4533177600
2000-07-20,4587144000
2000-07-21,4506194400
2000-07-24,4570954080
2000-07-25,4437836960
2000-07-26,4587144000
2000-07-27,4606931680
2000-07-28,4547568640
2000-07-31,4538574240
2000-08-01,4756238720
2000-08-02,4497200000
2000-08-03,4632116000
2000-08-04,4817400640
2000-08-07,5211355360
2000-08-08,5107020320
2000-08-09,5002685280
2000-08-10,4901948000
2000-08-11,4718462240
2000-08-14,4812004000
2000-08-15,4815601760
2000-08-16,4801210720
2000-08-17,4846182720
2000-08-18,4921735680
2000-08-21,5015277440
2000-08-22,5112416960
2000-08-23,5301299360
2000-08-24,5150193440
2000-08-25,5340874720
2000-08-28,5644885440
2000-08-29,5396640000
2000-08-30,5481187360
2000-08-31,5565734720
2000-09-01,5795991360
2000-09-05,5835566720
2000-09-06,5860751040
2000-09-07,5725835040
2000-09-08,5747421600
2000-09-11,5655678720
2000-09-12,5565734720
2000-09-13,5351668000
2000-09-14,5393042240
2000-09-15,5207757600
2000-09-18,4446831360
2000-09-19,4716663360
2000-09-20,4727456640
2000-09-21,4587144000
2000-09-22,4840786080
2000-09-25,4853378240
2000-09-26,4997288640
2000-09-27,5346271360
2000-09-28,5357064640
2000-09-29,5160986720
2000-10-02,5381343888
2000-10-03,5292441039
2000-10-04,5392229951
2000-10-05,5539191804
2000-10-06,5648052436
2000-10-09,5528305741
2000-10-10,5613579902
2000-10-11,5874845418
2000-10-12,5695225376
2000-10-13,5522862709
2000-10-16,6072608899
2000-10-17,5945604829
2000-10-18,6139739622
2000-10-19,6203241657
2000-10-20,5121892716
2000-10-23,4515901867
2000-10-24,4777167383
2000-10-25,4804382541
2000-10-26,4666492407
2000-10-27,4105860155
2000-10-30,4071387621
2000-10-31,4365311327
2000-11-01,4124003593
2000-11-02,4363496983
2000-11-03,4388897797
2000-11-06,4454214176
2000-11-07,4695521909
2000-11-08,5170880001
2000-11-09,5196280815
2000-11-10,5120078372
2000-11-13,4635648562
2000-11-14,4768095664
2000-11-15,5083791495
2000-11-16,4938643986
2000-11-17,4818897292
2000-11-20,4394340828
2000-11-21,4521344899
2000-11-22,4610247748
2000-11-24,4733623130
2000-11-27,5000331678
2000-11-28,4786239102
2000-11-29,4661049376
2000-11-30,5096491902
2000-12-01,5207166878
2000-12-04,5443031580
2000-12-05,5377715201
2000-12-06,5477504113
2000-12-07,5453917643
2000-12-08,5602693839
2000-12-11,5666195874
2000-12-12,5602693839
2000-12-13,5720626190
2000-12-14,5715183159
2000-12-15,5784128225
2000-12-18,5771427818
2000-12-19,5544634836
2000-12-20,5361386106
2000-12-21,5588179088
2000-12-22,6259486317
2000-12-26,5936533109
2000-12-27,6219570752
2000-12-28,6489907987
2000-12-29,6440920703
2001-01-02,6198831939
2001-01-03,6415689979
2001-01-04,5237673000
2001-01-05,5120055080
2001-01-08,5318535320
2001-01-09,5099839500
2001-01-10,5289130840
2001-01-11,5053895000
2001-01-12,4746985740
2001-01-16,4756174640
2001-01-17,4451103160
2001-01-18,4445589820
2001-01-19,4511749900
2001-01-22,4691852340
2001-01-23,4875630340
2001-01-24,5063083900
2001-01-25,5044706100
2001-01-26,5070435020
2001-01-29,4962006000
2001-01-30,5046543880
2001-01-31,4756174640
2001-02-01,4542992160
2001-02-02,4570558860
2001-02-05,4682663440
2001-02-06,5123730640
2001-02-07,5189890720
2001-02-08,4976708240
2001-02-09,5013463840
2001-02-12,5140270660
2001-02-13,5064921680
2001-02-14,4980383800
2001-02-15,4945465980
2001-02-16,4932601520
2001-02-20,4934439300
2001-02-21,4658772300
2001-02-22,4548505500
2001-02-23,4640394500
2001-02-26,4894008140
2001-02-27,4894008140
2001-02-28,4842550300
2001-03-01,4671636760
2001-03-02,4686339000
2001-03-05,4576072200
2001-03-06,4456616500
2001-03-07,4517263240
2001-03-08,4318783000
2001-03-09,4333485240
2001-03-12,3967767020
2001-03-13,3975118140
2001-03-14,4083547160
2001-03-15,3886904699
2001-03-16,3848311320
2001-03-19,3916309180
2001-03-20,3883229140
2001-03-21,3703126699
2001-03-22,3631453280
2001-03-23,3809717940
2001-03-26,3888742480
2001-03-27,3936524760
2001-03-28,4015549300
2001-03-29,4048629340
2001-03-30,4083547160
2001-04-02,4043282880
2001-04-03,3996999880
2001-04-04,4043282880
2001-04-05,4206199040
2001-04-06,4193239799
2001-04-09,4261738640
2001-04-10,4365412560
2001-04-11,4245076760
2001-04-12,4359858600
2001-04-16,4433911400
2001-04-17,4606084160
2001-04-18,4628300000
2001-04-19,4761595040
2001-04-20,4776405600
2001-04-23,4720866000
2001-04-24,5065211520
2001-04-25,5368828000
2001-04-26,5472501920
2001-04-27,5502123040
2001-04-30,5702065600
2001-05-01,5716876160
2001-05-02,5794631600
2001-05-03,5544703400
2001-05-04,5513230960
2001-05-07,5494717760
2001-05-08,5420664960
2001-05-09,5285518600
2001-05-10,5263302760
2001-05-11,5309585760
2001-05-14,5300329160
2001-05-15,5379935920
2001-05-16,5831658000
2001-05-17,5935331920
2001-05-18,5970507000
2001-05-21,5781672360
2001-05-22,5687255040
2001-05-23,5661336560
2001-05-24,5718727480
2001-05-25,5731686720
2001-05-29,5624310160
2001-05-30,5629864120
2001-05-31,5720578800
2001-06-01,6127869200
2001-06-04,5970507000
2001-06-05,6118612599
2001-06-06,5874238360
2001-06-07,5989020200
2001-06-08,5951993800
2001-06-11,6076032240
2001-06-12,6005682080
2001-06-13,5822401400
2001-06-14,5702065600
2001-06-15,5831658000
2001-06-18,5916818720
2001-06-19,5922372680
2001-06-20,6194516720
2001-06-21,6664752000
2001-06-22,6300041960
2001-06-25,6572186000
2001-06-26,6433337000
2001-06-27,6564780720
2001-06-28,6862843240
2001-06-29,6929490760
2001-07-02,6816886000
2001-07-03,6762724440
2001-07-05,6757121520
2001-07-06,6829959480
2001-07-09,6719768719
2001-07-10,6480710800
2001-07-11,6476975520
2001-07-12,6579695719
2001-07-13,6540475280
2001-07-16,6816886000
2001-07-17,6917738560
2001-07-18,6829959480
2001-07-19,6772062640
2001-07-20,6900929800
2001-07-23,6777665560
2001-07-24,6256594000
2001-07-25,6499387199
2001-07-26,6415343400
2001-07-27,6456431480
2001-07-30,6458299120
2001-07-31,6452696199
2001-08-01,6256594000
2001-08-02,5888668920
2001-08-03,5920418800
2001-08-06,5782213440
2001-08-07,5741125360
2001-08-08,5793419280
2001-08-09,5785948720
2001-08-10,5774742880
2001-08-13,6015668440
2001-08-14,6013800800
2001-08-15,5963374520
2001-08-16,5884933640
2001-08-17,5739257720
2001-08-20,5883066000
2001-08-21,5933492280
2001-08-22,6026874280
2001-08-23,5978315640
2001-08-24,6045550679
2001-08-27,6150138520
2001-08-28,6008197880
2001-08-29,5883066000
2001-08-30,5922286440
2001-08-31,5849448480
2001-09-04,5976448000
2001-09-05,5950301040
2001-09-06,5834507360
2001-09-07,5782213440
2001-09-10,5683228520
2001-09-17,5494596880
2001-09-18,5360126800
2001-09-19,5248068400
2001-09-20,5014613400
2001-09-21,4575718000
2001-09-24,4762482000
2001-09-25,5066907320
2001-09-26,5462847000
2001-09-27,5778478160
2001-09-28,5761669400
2001-10-01,5621186355
2001-10-02,5674539988
2001-10-03,5865088678
2001-10-04,5729799108
2001-10-05,5527817496
2001-10-08,5335363320
2001-10-09,5356323675
2001-10-10,5518290062
2001-10-11,5396338900
2001-10-12,5428732178
2001-10-15,5529722983
2001-10-16,5583076617
2001-10-17,5539250418
2001-10-18,5525912010
2001-10-19,6036582499
2001-10-22,6507237763
2001-10-23,6379570141
2001-10-24,6463411564
2001-10-25,6474844486
2001-10-26,6640621846
2001-10-29,6682542558
2001-10-30,6358609785
2001-10-31,6229036676
2001-11-01,6450073156
2001-11-02,6383381115
2001-11-05,6383381115
2001-11-06,6366231732
2001-11-07,6301445178
2001-11-08,5954646562
2001-11-09,5884143547
2001-11-12,5876521599
2001-11-13,6027055064
2001-11-14,6004189221
2001-11-15,6002283735
2001-11-16,5954646562
2001-11-19,5851750269
2001-11-20,6015622143
2001-11-21,6135667818
2001-11-23,6257618979
2001-11-26,6221414728
2001-11-27,6074692237
2001-11-28,5927969745
2001-11-29,5943213641
2001-11-30,5884143547
2001-12-03,5828884427
2001-12-04,5956552049
2001-12-05,5967984970
2001-12-06,6152817200
2001-12-07,6126140383
2001-12-10,6110896488
2001-12-11,6171872069
2001-12-12,6131856844
2001-12-13,6227131189
2001-12-14,6356704298
2001-12-17,6442451208
2001-12-18,6545347501
2001-12-19,6530103606
2001-12-20,6587268213
2001-12-21,6659676715
2001-12-24,6703502914
2001-12-26,6802588233
2001-12-27,6669204150
2001-12-28,6764478495
2001-12-31,6843665840
2002-01-02,6628012119
2002-01-03,6460069400
2002-01-04,6523047920
2002-01-07,6460069400
2002-01-08,6475336920
2002-01-09,6370372720
2002-01-10,6452435640
2002-01-11,6614653039
2002-01-14,6675723119
2002-01-15,6870384000
2002-01-16,6799771720
2002-01-17,6794046400
2002-01-18,6956263800
2002-01-22,6870384000
2002-01-23,6891376840
2002-01-24,6845574279
2002-01-25,6832215199
2002-01-28,6752060720
2002-01-29,6641371199
2002-01-30,6555491400
2002-01-31,6610836160
2002-02-01,6502055080
2002-02-04,6488696000
2002-02-05,6603202400
2002-02-06,6425717480
2002-02-07,6454344080
2002-02-08,6805497039
2002-02-11,6843665840
2002-02-12,6860841800
2002-02-13,7080312400
2002-02-14,7133748720
2002-02-15,7049777360
2002-02-19,6771145119
2002-02-20,6876109320
2002-02-21,6904735920
2002-02-22,6923820320
2002-02-25,6881834640
2002-02-26,6786412640
2002-02-27,6752060720
2002-02-28,6767328240
2002-03-01,6805497039
2002-03-04,6990615720
2002-03-05,7019242320
2002-03-06,6994432600
2002-03-07,6967714440
2002-03-08,6927637199
2002-03-11,7024967640
2002-03-12,7313142080
2002-03-13,7469634160
2002-03-14,7673837240
2002-03-15,7753991720
2002-03-18,7605133400
2002-03-19,7524978920
2002-03-20,7574598360
2002-03-21,7519253600
2002-03-22,7568873039
2002-03-25,7626126240
2002-03-26,7763533920
2002-03-27,7973462320
2002-03-28,7906666920
2002-04-01,7979412540
2002-04-02,7657459920
2002-04-03,7773131520
2002-04-04,7788554400
2002-04-05,7952422500
2002-04-08,8166414960
2002-04-09,8282086560
2002-04-10,8432459640
2002-04-11,8578977000
2002-04-12,8278230840
2002-04-15,8260880100
2002-04-16,8174126400
2002-04-17,8258952240
2002-04-18,8351489520
2002-04-19,8613678480
2002-04-22,8295581580
2002-04-23,8260880100
2002-04-24,8530780500
2002-04-25,8604039180
2002-04-26,8777546580
2002-04-29,8675370000
2002-04-30,8858516700
2002-05-01,9134200680
2002-05-02,9138056400
2002-05-03,9149623560
2002-05-06,9126489240
2002-05-07,9122633520
2002-05-08,9112994220
2002-05-09,8927919660
2002-05-10,9053230560
2002-05-13,8868156000
2002-05-14,8758267980
2002-05-15,8791041600
2002-05-16,8675370000
2002-05-17,8688865020
2002-05-20,8482584000
2002-05-21,8386191000
2002-05-22,8293653720
2002-05-23,8189549279
2002-05-24,8189549279
2002-05-28,8231962200
2002-05-29,8262807960
2002-05-30,8386191000
2002-05-31,8426676060
2002-06-03,8424748200
2002-06-04,8357273100
2002-06-05,8499934740
2002-06-06,8555842680
2002-06-07,8764051560
2002-06-10,8858516700
2002-06-11,8810320200
2002-06-12,8600183460
2002-06-13,8509574040
2002-06-14,8505718319
2002-06-17,8661874980
2002-06-18,8750556540
2002-06-19,8854660980
2002-06-20,8800680900
2002-06-21,8399686020
2002-06-24,8262807960
2002-06-25,8041104060
2002-06-26,8253168660
2002-06-27,8106651299
2002-06-28,8295581580
2002-07-01,7810139999
2002-07-02,7267500000
2002-07-03,7589207999
2002-07-05,7655100000
2002-07-08,7616339999
2002-07-09,7302384000
2002-07-10,6976800000
2002-07-11,6908970000
2002-07-12,6982614000
2002-07-15,6783000000
2002-07-16,6637650000
2002-07-17,6806255999
2002-07-18,6306252000
2002-07-19,6104700000
2002-07-22,5757798000
2002-07-23,5329500000
2002-07-24,5967102000
2002-07-25,5145390000
2002-07-26,5052366000
2002-07-29,5500044000
2002-07-30,5507796000
2002-07-31,5852760000
2002-08-01,5854698000
2002-08-02,5682216000
2002-08-05,5416710000
2002-08-06,5562060000
2002-08-07,5678340000
2002-08-08,5810124000
2002-08-09,5631828000
2002-08-12,5666712000
2002-08-13,5505858000
2002-08-14,5748108000
2002-08-15,5773302000
2002-08-16,5823690000
2002-08-19,5945784000
2002-08-20,5858574000
2002-08-21,5868264000
2002-08-22,5755860000
2002-08-23,5658960000
2002-08-26,5689968000
2002-08-27,5548494000
2002-08-28,5352756000
2002-08-29,5509734000
2002-08-30,5432214000
2002-09-03,5222910000
2002-09-04,5209344000
2002-09-05,5255856000
2002-09-06,5467098000
2002-09-09,5474850000
2002-09-10,5426400000
2002-09-11,5523300000
2002-09-12,5416710000
2002-09-13,5521362000
2002-09-16,5742294000
2002-09-17,5686092000
2002-09-18,5720976000
2002-09-19,5651208000
2002-09-20,5641518000
2002-09-23,5474850000
2002-09-24,5660898000
2002-09-25,5939970000
2002-09-26,6104700000
2002-09-27,6060126000
2002-09-30,5975483137
2002-10-01,6057046442
2002-10-02,5977425120
2002-10-03,6060930409
2002-10-04,5387062145
2002-10-07,5159850079
2002-10-08,4924870079
2002-10-09,5571550575
2002-10-10,5864790079
2002-10-11,6117247930
2002-10-14,6074524294
2002-10-15,6336692062
2002-10-16,6179391401
2002-10-17,6299794376
2002-10-18,6426023302
2002-10-21,6212405120
2002-10-22,6196869252
2002-10-23,6400777517
2002-10-24,6325040161
2002-10-25,6227940988
2002-10-28,5886151897
2002-10-29,5893919831
2002-10-30,5971599170
2002-10-31,6198811236
2002-11-01,6297852393
2002-11-04,6321156194
2002-11-05,6117247930
2002-11-06,6311446277
2002-11-07,6356111897
2002-11-08,5878383963
2002-11-11,5796820657
2002-11-12,5825950410
2002-11-13,5656997848
2002-11-14,5814298509
2002-11-15,5971599170
2002-11-18,5903629748
2002-11-19,5519117021
2002-11-20,5602622310
2002-11-21,5472509418
2002-11-22,5460857517
2002-11-25,5311324790
2002-11-26,5350164459
2002-11-27,5375410244
2002-11-29,5416191897
2002-12-02,5618158178
2002-12-03,5623984129
2002-12-04,5631752063
2002-12-05,5816240492
2002-12-06,5845370244
2002-12-09,5754097021
2002-12-10,5779342806
2002-12-11,5728851236
2002-12-12,5660881815
2002-12-13,5589028426
2002-12-16,5709431401
2002-12-17,5649229914
2002-12-18,5614274211
2002-12-19,5618158178
2002-12-20,5563782641
2002-12-23,5736619170
2002-12-24,5719141319
2002-12-26,5627868096
2002-12-27,5486103302
2002-12-30,5534652889
2002-12-31,5692105300
2003-01-02,5902183000
2003-01-03,5924191140
2003-01-06,6058240720
2003-01-07,5948200020
2003-01-08,6008222220
2003-01-09,6002220000
2003-01-10,5886177080
2003-01-13,5914187440
2003-01-14,5862168200
2003-01-15,5766132680
2003-01-16,5816151180
2003-01-17,5920189660
2003-01-21,5880174860
2003-01-22,5860167460
2003-01-23,5992216300
2003-01-24,5432009100
2003-01-27,5265947680
2003-01-28,5452016500
2003-01-29,5438011320
2003-01-30,5261946200
2003-01-31,5379989860
2003-02-03,5347978020
2003-02-04,5257944720
2003-02-05,5125895880
2003-02-06,5223932140
2003-02-07,5191920300
2003-02-10,5179915860
2003-02-11,5149904760
2003-02-12,4999849260
2003-02-13,4891809300
2003-02-14,4799775260
2003-02-18,4901813000
2003-02-19,5195921780
2003-02-20,5129897360
2003-02-21,5283954340
2003-02-24,5197922520
2003-02-25,5347978020
2003-02-26,5381990600
2003-02-27,5337974320
2003-02-28,5277952120
2003-03-03,5253943240
2003-03-04,5157907720
2003-03-05,5221931400
2003-03-06,5237937320
2003-03-07,5247941020
2003-03-10,5083880340
2003-03-11,5097885520
2003-03-12,5207926220
2003-03-13,5351979500
2003-03-14,5265947680
2003-03-17,5512038700
2003-03-18,5502035000
2003-03-19,5472023900
2003-03-20,5452016500
2003-03-21,5718114920
2003-03-24,5642086800
2003-03-25,5878174120
2003-03-26,5850163760
2003-03-27,5920189660
2003-03-28,5964205940
2003-03-31,6271425300
2003-04-01,6386979200
2003-04-02,6527744860
2003-04-03,6632793860
2003-04-04,6359666460
2003-04-07,6399585080
2003-04-08,6326050780
2003-04-09,6252516480
2003-04-10,6202092960
2003-04-11,6290334120
2003-04-14,6481523300
2003-04-15,6172679240
2003-04-16,5956278300
2003-04-17,6151669440
2003-04-21,6002499860
2003-04-22,5935268500
2003-04-23,5828118520
2003-04-24,5956278300
2003-04-25,6008802800
2003-04-28,5949975360
2003-04-29,6132760620
2003-04-30,6277728240
2003-05-01,6197891000
2003-05-02,6330252740
2003-05-05,6382777240
2003-05-06,6437402720
2003-05-07,6393282140
2003-05-08,6250415500
2003-05-09,6389080180
2003-05-12,6513038000
2003-05-13,6374373320
2003-05-14,6391181160
2003-05-15,6414291940
2003-05-16,6431099780
2003-05-19,6330252740
2003-05-20,6298738040
2003-05-21,6323949800
2003-05-22,6302940000
2003-05-23,6265122360
2003-05-27,6450008600
2003-05-28,6561360540
2003-05-29,6525643880
2003-05-30,6655904640
2003-06-02,6872305580
2003-06-03,6695823260
2003-06-04,6645399740
2003-06-05,6700025220
2003-06-06,6504634080
2003-06-09,6418493900
2003-06-10,6565562500
2003-06-11,6723136000
2003-06-12,6544552700
2003-06-13,6460513500
2003-06-16,6649601700
2003-06-17,6775660500
2003-06-18,6819781080
2003-06-19,6603380140
2003-06-20,6632793860
2003-06-23,6586572300
2003-06-24,6672712480
2003-06-25,6599178180
2003-06-26,6706328160
2003-06-27,6689520320
2003-06-30,6685410600
2003-07-01,6584815080
2003-07-02,6819537960
2003-07-03,6892888860
2003-07-07,7108750080
2003-07-08,7121324519
2003-07-09,7175813760
2003-07-10,7087792680
2003-07-11,7022824740
2003-07-14,6964144019
2003-07-15,6922229220
2003-07-16,6834208140
2003-07-17,6848878320
2003-07-18,6894984600
2003-07-21,6750378540
2003-07-22,6241113720
2003-07-23,6113273580
2003-07-24,6232730760
2003-07-25,6159379860
2003-07-28,6350092200
2003-07-29,6377336820
2003-07-30,6406677180
2003-07-31,6262071120
2003-08-01,6115369320
2003-08-04,6117465060
2003-08-05,6050401380
2003-08-06,5998007880
2003-08-07,6025252500
2003-08-08,6096507660
2003-08-11,6167762820
2003-08-12,6186624480
2003-08-13,6157284120
2003-08-14,6140518200
2003-08-15,6215964840
2003-08-18,6199198920
2003-08-19,6180337260
2003-08-20,6144709680
2003-08-21,6195007440
2003-08-22,6113273580
2003-08-25,6058784340
2003-08-26,6111177840
2003-08-27,6127943760
2003-08-28,6188720220
2003-08-29,6287220000
2003-09-02,6316560360
2003-09-03,6373145340
2003-09-04,6473740860
2003-09-05,6324943320
2003-09-08,6368953860
2003-09-09,6280932780
2003-09-10,6264166860
2003-09-11,6368953860
2003-09-12,6412964400
2003-09-15,6345900720
2003-09-16,6299794440
2003-09-17,6285124260
2003-09-18,6572240640
2003-09-19,6706368000
2003-09-22,6633017100
2003-09-23,6454879200
2003-09-24,6280932780
2003-09-25,6306081660
2003-09-26,6297698700
2003-09-29,6339613500
2003-09-30,6254530880
2003-10-01,6337044480
2003-10-02,6394804000
2003-10-03,6376238440
2003-10-06,6326730280
2003-10-07,6291662000
2003-10-08,6291662000
2003-10-09,6304039040
2003-10-10,6246279520
2003-10-13,6219462600
2003-10-14,6227713960
2003-10-15,6147263200
2003-10-16,6248342360
2003-10-17,6172017280
2003-10-20,6240091000
2003-10-21,6477317600
2003-10-22,6601088000
2003-10-23,6957959319
2003-10-24,7048724280
2003-10-27,6889885600
2003-10-28,6962085000
2003-10-29,6982713400
2003-10-30,6976524880
2003-10-31,6976524880
2003-11-03,7050787120
2003-11-04,6986839079
2003-11-05,6879571400
2003-11-06,6894011280
2003-11-07,6844503120
2003-11-10,6813560520
2003-11-11,6906388319
2003-11-12,7028095880
2003-11-13,7164243319
2003-11-14,7240568400
2003-11-17,7358150280
2003-11-18,7275636680
2003-11-19,7323082000
2003-11-20,7345773240
2003-11-21,7384967199
2003-11-24,7395281400
2003-11-25,7473669319
2003-11-26,7494297720
2003-11-28,7527303160
2003-12-01,7616005280
2003-12-02,7644885040
2003-12-03,7535554520
2003-12-04,7481920680
2003-12-05,7389092880
2003-12-08,7430349680
2003-12-09,7316893480
2003-12-10,7296265079
2003-12-11,7477795000
2003-12-12,7403532760
2003-12-15,7323082000
2003-12-16,7240568400
2003-12-17,7217877160
2003-12-18,7240568400
2003-12-19,7116798000
2003-12-22,7201374439
2003-12-23,7195185920
2003-12-24,7205500120
2003-12-26,7250882600
2003-12-29,7397344240
2003-12-30,7525240319
2003-12-31,7541743040
2004-01-02,7453040920
2004-01-05,7477795000
2004-01-06,7529366000
2004-01-07,7595376880
2004-01-08,7533491680
2004-01-09,7537617360
2004-01-12,7591251199
2004-01-13,7580937000
2004-01-14,7826414960
2004-01-15,7919242760
2004-01-16,7923368439
2004-01-20,7999693520
2004-01-21,8028573280
2004-01-22,8088395640
2004-01-23,8034761800
2004-01-26,8059515880
2004-01-27,8542220439
2004-01-28,8509215000
2004-01-29,8575225880
2004-01-30,8767070000
2004-02-02,8707247640
2004-02-03,8705184800
2004-02-04,8810389640
2004-02-05,8684556400
2004-02-06,8756755800
2004-02-09,8701059120
2004-02-10,8771195680
2004-02-11,8791824080
2004-02-12,8573163040
2004-02-13,8533969079
2004-02-17,8498900800
2004-02-18,8480335240
2004-02-19,8222480240
2004-02-20,8271988400
2004-02-23,8247234319
2004-02-24,8267862720
2004-02-25,8443204120
2004-02-26,8472083880
2004-02-27,8548408960
2004-03-01,8434952760
2004-03-02,8307056680
2004-03-03,8447329800
2004-03-04,8480335240
2004-03-05,8453518319
2004-03-08,8424638560
2004-03-09,8410198680
2004-03-10,8517466360
2004-03-11,8335936439
2004-03-12,8437015600
2004-03-15,8470021040
2004-03-16,8447329800
2004-03-17,8480335240
2004-03-18,8558723160
2004-03-19,8494775120
2004-03-22,8416387199
2004-03-23,8478272400
2004-03-24,8381318920
2004-03-25,8354502000
2004-03-26,8467958199
2004-03-29,8616482680
2004-03-30,8628859720
2004-03-31,8533265560
2004-04-01,8498242500
2004-04-02,8498242500
2004-04-05,8586830240
2004-04-06,8564168260
2004-04-07,8601251500
2004-04-08,8607432040
2004-04-12,8663056900
2004-04-13,8648635640
2004-04-14,8588890420
2004-04-15,8446738000
2004-04-16,8467339800
2004-04-19,8422015840
2004-04-20,8446738000
2004-04-21,8483821240
2004-04-22,8714561400
2004-04-23,8873195260
2004-04-26,8757825180
2004-04-27,8722802120
2004-04-28,8782547340
2004-04-29,8689839240
2004-04-30,8689839240
2004-05-03,8852593460
2004-05-04,8772246440
2004-05-05,8902037780
2004-05-06,8858774000
2004-05-07,8667177260
2004-05-10,8533265560
2004-05-11,8607432040
2004-05-12,8496182320
2004-05-13,8531205379
2004-05-14,8522964659
2004-05-17,8457038899
2004-05-18,8467339800
2004-05-19,8422015840
2004-05-20,8442617639
2004-05-21,8487941600
2004-05-24,8564168260
2004-05-25,8753704820
2004-05-26,8731042840
2004-05-27,8825811120
2004-05-28,8873195260
2004-06-01,9033889300
2004-06-02,9050370740
2004-06-03,9073032720
2004-06-04,9126597400
2004-06-07,9095694700
2004-06-08,9064792000
2004-06-09,9011227320
2004-06-10,9033889300
2004-06-14,8955602460
2004-06-15,9009167140
2004-06-16,9085393800
2004-06-17,8974144080
2004-06-18,8998866240
2004-06-21,8887616520
2004-06-22,8994745880
2004-06-23,8959722820
2004-06-24,8963843180
2004-06-25,8992685700
2004-06-28,8660996720
2004-06-29,8628033840
2004-06-30,8601690240
2004-07-01,8638138080
2004-07-02,8534869200
2004-07-06,8504496000
2004-07-07,8597640480
2004-07-08,8544993600
2004-07-09,8547018480
2004-07-12,8559167760
2004-07-13,8595615600
2004-07-14,8524744800
2004-07-15,8532844320
2004-07-16,8526769680
2004-07-19,8534869200
2004-07-20,8544993600
2004-07-21,8316182160
2004-07-22,8512595520
2004-07-23,8459948640
2004-07-26,8293908480
2004-07-27,8214938160
2004-07-28,8271634800
2004-07-29,8314157280
2004-07-30,8310107520
2004-08-02,8411351520
2004-08-03,8247336239
2004-08-04,8302008000
2004-08-05,8247336239
2004-08-06,8036748720
2004-08-09,8142042480
2004-08-10,8271634800
2004-08-11,8387052960
2004-08-12,8267585040
2004-08-13,8340480720
2004-08-16,8496396480
2004-08-17,8553093120
2004-08-18,8567267280
2004-08-19,8504496000
2004-08-20,8540943840
2004-08-23,8453874000
