,SWK
2000-11-03,2324372820
2000-11-06,2308911360
2000-11-07,2297744750
2000-11-08,2302898570
2000-11-09,2211847750
2000-11-10,2147425000
2000-11-13,2174053070
2000-11-14,2163745430
2000-11-15,2158591610
2000-11-16,2125950750
2000-11-17,2142271180
2000-11-20,2115643110
2000-11-21,2137117360
2000-11-22,2163745430
2000-11-24,2201540110
2000-11-27,2228168180
2000-11-28,2254796250
2000-11-29,2287437110
2000-11-30,2314065180
2000-12-01,2297744750
2000-12-04,2314065180
2000-12-05,2485859180
2000-12-06,2469538750
2000-12-07,2373334110
2000-12-08,2410269820
2000-12-11,2431744070
2000-12-12,2459231110
2000-12-13,2399962180
2000-12-14,2357013680
2000-12-15,2297744750
2000-12-18,2426590250
2000-12-19,2480705360
2000-12-20,2459231110
2000-12-21,2566602360
2000-12-22,2598384250
2000-12-26,2641332750
2000-12-27,2662807000
2000-12-28,2662807000
2000-12-29,2679127430
2001-01-02,2641339422
2001-01-03,2646493255
2001-01-04,2662813727
2001-01-05,2614711285
2001-01-08,2555442205
2001-01-09,2571762676
2001-01-10,2560596038
2001-01-11,2571762676
2001-01-12,2560596038
2001-01-16,2571762676
2001-01-17,2571762676
2001-01-18,2539121734
2001-01-19,2480711626
2001-01-22,2459237322
2001-01-23,2448070684
2001-01-24,2576916510
2001-01-25,2625018951
2001-01-26,2786505719
2001-01-29,2801108246
2001-01-30,2834608161
2001-01-31,2947992487
2001-02-01,2893877240
2001-02-02,2868967047
2001-02-05,2929095099
2001-02-06,2951428376
2001-02-07,2944556598
2001-02-08,3032171760
2001-02-09,2948851459
2001-02-12,2989223151
2001-02-13,3085428034
2001-02-14,3083710090
2001-02-15,3167889362
2001-02-16,3098312617
2001-02-20,3131812531
2001-02-21,3134389448
2001-02-22,3024441010
2001-02-23,2947992487
2001-02-26,3039043537
2001-02-27,3088004951
2001-02-28,2989223151
2001-03-01,3018428205
2001-03-02,3132671503
2001-03-05,3192799555
2001-03-06,3204825166
2001-03-07,3227158442
2001-03-08,3264094246
2001-03-09,3187645722
2001-03-12,3152427863
2001-03-13,3081133173
2001-03-14,3003825678
2001-03-15,2920505378
2001-03-16,2797672357
2001-03-19,2869826019
2001-03-20,2907620795
2001-03-21,2839761994
2001-03-22,2770185248
2001-03-23,2813992828
2001-03-26,2883569574
2001-03-27,2814851801
2001-03-28,2783069830
2001-03-29,2799390302
2001-03-30,2830313300
2001-04-02,2798346151
2001-04-03,2721091196
2001-04-04,2761435450
2001-04-05,2913370195
2001-04-06,2854141396
2001-04-09,2836115240
2001-04-10,2931396351
2001-04-11,2812080365
2001-04-12,2837832017
2001-04-16,2824956191
2001-04-17,2802638093
2001-04-18,3023243909
2001-04-19,2978607713
2001-04-20,2924529244
2001-04-23,2927962798
2001-04-24,2909936642
2001-04-25,2935688293
2001-04-26,2984616432
2001-04-27,3064446552
2001-04-30,3111657913
2001-05-01,3069596882
2001-05-02,3098782087
2001-05-03,3082472708
2001-05-04,3097923699
2001-05-07,3050712338
2001-05-08,3036978123
2001-05-09,3025819074
2001-05-10,3100498864
2001-05-11,3064446552
2001-05-14,3085906262
2001-05-15,3124533739
2001-05-16,3253291998
2001-05-17,3246424890
2001-05-18,3267884600
2001-05-21,3283335591
2001-05-22,3232690676
2001-05-23,3193204810
2001-05-24,3193204810
2001-05-25,3178612208
2001-05-29,3247283279
2001-05-30,3233549065
2001-05-31,3261875882
2001-06-01,3296211417
2001-06-04,3309087243
2001-06-05,3390634140
2001-06-06,3328830176
2001-06-07,3390634140
2001-06-08,3437845501
2001-06-11,3463597153
2001-06-12,3442137443
2001-06-13,3434411948
2001-06-14,3396642859
2001-06-15,3434411948
2001-06-18,3470464260
2001-06-19,3467889095
2001-06-20,3534843390
2001-06-21,3565745372
2001-06-22,3543427273
2001-06-25,3489348805
2001-06-26,3503941407
2001-06-27,3553727934
2001-06-28,3575187644
2001-06-29,3594930577
2001-07-02,3577330930
2001-07-03,3588438000
2001-07-05,3592709949
2001-07-06,3532902650
2001-07-09,3561951910
2001-07-10,3528630699
2001-07-11,3493600710
2001-07-12,3567078250
2001-07-13,3591001170
2001-07-16,3390219520
2001-07-17,3597836290
2001-07-18,3587583610
2001-07-19,3609797750
2001-07-20,3545718500
2001-07-23,3538883380
2001-07-24,3507270949
2001-07-25,3580748489
2001-07-26,3626885550
2001-07-27,3652517250
2001-07-30,3647390910
2001-07-31,3724286010
2001-08-01,3755044050
2001-08-02,3755898440
2001-08-03,3806307449
2001-08-06,3852444510
2001-08-07,3885765719
2001-08-08,3832793540
2001-08-09,3823395250
2001-08-10,3881493770
2001-08-13,3836211100
2001-08-14,3830230370
2001-08-15,3744791370
2001-08-16,3677294560
2001-08-17,3630303110
2001-08-20,3589292390
2001-08-21,3578185320
2001-08-22,3626031160
2001-08-23,3616632870
2001-08-24,3646536520
2001-08-27,3636283840
2001-08-28,3592709949
2001-08-29,3584166050
2001-08-30,3534611430
2001-08-31,3579039710
2001-09-04,3652517250
2001-09-05,3680712120
2001-09-06,3635429449
2001-09-07,3570495810
2001-09-10,3507270949
2001-09-17,3170641290
2001-09-18,3288547110
2001-09-19,3156971050
2001-09-20,2947645500
2001-09-21,2853662600
2001-09-24,3121941060
2001-09-25,3126213010
2001-09-26,3011724750
2001-09-27,2935684040
2001-09-28,3122795449
2001-10-01,3011088780
2001-10-02,3129958800
2001-10-03,3276194580
2001-10-04,3252249540
2001-10-05,3311256960
2001-10-08,3255670260
2001-10-09,3194952480
2001-10-10,3362567760
2001-10-11,3401050860
2001-10-12,3364278120
2001-10-15,3328360560
2001-10-16,3283891200
2001-10-17,3221463060
2001-10-18,3330070920
2001-10-19,3373685100
2001-10-22,3466899720
2001-10-23,3421575180
2001-10-24,3479727420
2001-10-25,3453216840
2001-10-26,3389933520
2001-10-29,3283891200
2001-10-30,3255670260
2001-10-31,3277049760
2001-11-01,3294153360
2001-11-02,3350595240
2001-11-05,3369409200
2001-11-06,3472885980
2001-11-07,3481437780
2001-11-08,3467754899
2001-11-09,3461768639
2001-11-12,3428416620
2001-11-13,3513079440
2001-11-14,3555838440
2001-11-15,3562679879
2001-11-16,3548997000
2001-11-19,3602873340
2001-11-20,3553272899
2001-11-21,3581493840
2001-11-23,3607149240
2001-11-26,3596887080
2001-11-27,3578928300
2001-11-28,3544721100
2001-11-29,3583204200
2001-11-30,3573797220
2001-12-03,3554983260
2001-12-04,3618266580
2001-12-05,3750819480
2001-12-06,3747398760
2001-12-07,3722598540
2001-12-10,3908172600
2001-12-11,3879096480
2001-12-12,3842323740
2001-12-13,3779895600
2001-12-14,3830351220
2001-12-17,3903896700
2001-12-18,3908172600
2001-12-19,3903041520
2001-12-20,3856861800
2001-12-21,3873965399
2001-12-24,3891069000
2001-12-26,3974021460
2001-12-27,3985138800
2001-12-28,3978297360
2001-12-31,3982573260
2002-01-02,3930407280
2002-01-03,3845744460
2002-01-04,3822654600
2002-01-07,3773909340
2002-01-08,3711481200
2002-01-09,3708915660
2002-01-10,3670432560
2002-01-11,3621687300
2002-01-14,3564390240
2002-01-15,3503672460
2002-01-16,3442099500
2002-01-17,3570376500
2002-01-18,3570376500
2002-01-22,3583204200
2002-01-23,3613135500
2002-01-24,3633659820
2002-01-25,3696943139
2002-01-28,3742267680
2002-01-29,3683260260
2002-01-30,3745688399
2002-01-31,3788447399
2002-02-01,3746543580
2002-02-04,3736281420
2002-02-05,3689246520
2002-02-06,3729439980
2002-02-07,3704639760
2002-02-08,3706350120
2002-02-11,3908172600
2002-02-12,3891924180
2002-02-13,3921000300
2002-02-14,3923565840
2002-02-15,3988559520
2002-02-19,3973166280
2002-02-20,3916724399
2002-02-21,3940669440
2002-02-22,3908172600
2002-02-25,4033884060
2002-02-26,4281886260
2002-02-27,4342604040
2002-02-28,4312672740
2002-03-01,4287872520
2002-03-04,4445225640
2002-03-05,4361418000
2002-03-06,4326355620
2002-03-07,4246823879
2002-03-08,4226299560
2002-03-11,4199788980
2002-03-12,4304120940
2002-03-13,4257941220
2002-03-14,4186961280
2002-03-15,4164726600
2002-03-18,4148478180
2002-03-19,4139071200
2002-03-20,4125388320
2002-03-21,3981718080
2002-03-22,3912448500
2002-03-25,3775619700
2002-03-26,3922710660
2002-03-27,3950931600
2002-03-28,3955207500
2002-04-01,3887736599
2002-04-02,3866281099
2002-04-03,4001021640
2002-04-04,4062813480
2002-04-05,4216434860
2002-04-08,4281659580
2002-04-09,4297965760
2002-04-10,4359757600
2002-04-11,4243039680
2002-04-12,4269644500
2002-04-15,4246472559
2002-04-16,4303115080
2002-04-17,4232741040
2002-04-18,4173523860
2002-04-19,4191546480
2002-04-22,4089418300
2002-04-23,4156359460
2002-04-24,4138336840
2002-04-25,4168374540
2002-04-26,4080836099
2002-04-29,3921207180
2002-04-30,3989006559
2002-05-01,3921207180
2002-05-02,4034492220
2002-05-03,4014753160
2002-05-06,3898893460
2002-05-07,3949528440
2002-05-08,4010462059
2002-05-09,3991581220
2002-05-10,3737548099
2002-05-13,3664599400
2002-05-14,3813071460
2002-05-15,3774451559
2002-05-16,3729824120
2002-05-17,3726391240
2002-05-20,3681763800
2002-05-21,3663741180
2002-05-22,3604524000
2002-05-23,3678330920
2002-05-24,3661166519
2002-05-28,3584784940
2002-05-29,3553030800
2002-05-30,3586501380
2002-05-31,3654300760
2002-06-03,3561613000
2002-06-04,3465492360
2002-06-05,3535008180
2002-06-06,3546165040
2002-06-07,3718667260
2002-06-10,3732398780
2002-06-11,3688629559
2002-06-12,3680047360
2002-06-13,3638852800
2002-06-14,3583926720
2002-06-17,3629412380
2002-06-18,3654300760
2002-06-19,3656875420
2002-06-20,3608815099
2002-06-21,3571911640
2002-06-24,3604524000
2002-06-25,3592508920
2002-06-26,3515269120
2002-06-27,3567620540
2002-06-28,3519560220
2002-07-01,3503107720
2002-07-02,3594018820
2002-07-03,3578434060
2002-07-05,3719562720
2002-07-08,3749000599
2002-07-09,3697917220
2002-07-10,3657223680
2002-07-11,3607871940
2002-07-12,3528216500
2002-07-15,3492717880
2002-07-16,3234703520
2002-07-17,3165437920
2002-07-18,3134268400
2002-07-19,3039894020
2002-07-22,2935995619
2002-07-23,2950714560
2002-07-24,3124744380
2002-07-25,3082319200
2002-07-26,2980152440
2002-07-29,3189680880
2002-07-30,3168035380
2002-07-31,3124744380
2002-08-01,3092709040
2002-08-02,2980152440
2002-08-05,2893570440
2002-08-06,3028638359
2002-08-07,3058942060
2002-08-08,3096172320
2002-08-09,3073661000
2002-08-12,3036430740
2002-08-13,2985347359
2002-08-14,2991408099
2002-08-15,3056344599
2002-08-16,3034699099
2002-08-19,3114354540
2002-08-20,3090977400
2002-08-21,3118683640
2002-08-22,3191412520
2002-08-23,3107427980
2002-08-26,3119549460
2002-08-27,3101367240
2002-08-28,3048552220
2002-08-29,3008724500
2002-08-30,3019980160
2002-09-03,2915215940
2002-09-04,2973225880
2002-09-05,2955043660
2002-09-06,3019980160
2002-09-09,2994005560
2002-09-10,3039028200
2002-09-11,3040759840
2002-09-12,2961104400
2002-09-13,2916081760
2002-09-16,2870193300
2002-09-17,2817378280
2002-09-18,2769758180
2002-09-19,2703955860
2002-09-20,2735991200
2002-09-23,2705687500
2002-09-24,2607849840
2002-09-25,2701358400
2002-09-26,2825170660
2002-09-27,2776684740
2002-09-30,2828633940
2002-10-01,2923008320
2002-10-02,2840755420
2002-10-03,2790537859
2002-10-04,2765429080
2002-10-07,2689236920
2002-10-08,2737722840
2002-10-09,2643348460
2002-10-10,2471050280
2002-10-11,2557632280
2002-10-14,2457197160
2002-10-15,2656335760
2002-10-16,2536852600
2002-10-17,2699626760
2002-10-18,2688371100
2002-10-21,2824304840
2002-10-22,2753307600
2002-10-23,2821707380
2002-10-24,2823439020
2002-10-25,2849413619
2002-10-28,2846976953
2002-10-29,2844342490
2002-10-30,2845220644
2002-10-31,2842586181
2002-11-01,2888250216
2002-11-04,2933036096
2002-11-05,2938305023
2002-11-06,3000653994
2002-11-07,2889128370
2002-11-08,2873321589
2002-11-11,2810094464
2002-11-12,2832926481
2002-11-13,2798678455
2002-11-14,2880346825
2002-11-15,2902300688
2002-11-18,2926889015
2002-11-19,2902300688
2002-11-20,2927767169
2002-11-21,3068271892
2002-11-22,3071784510
2002-11-25,3081444210
2002-11-26,3033145712
2002-11-27,3146427645
2002-11-29,3156087344
2002-12-02,3135889790
2002-12-03,3052465111
2002-12-04,3059490347
2002-12-05,3044561720
2002-12-06,3076175283
2002-12-09,2995385067
2002-12-10,3018217085
2002-12-11,3008557385
2002-12-12,3039292793
2002-12-13,2983969058
2002-12-16,3055977729
2002-12-17,3044561720
2002-12-18,3014704467
2002-12-19,3044561720
2002-12-20,3058612193
2002-12-23,3082322365
2002-12-24,3064759274
2002-12-26,3091103910
2002-12-27,3041049102
2002-12-30,3038414639
2002-12-31,3036658330
2003-01-02,3166625199
2003-01-03,2964649659
2003-01-06,2982212749
2003-01-07,2942695796
2003-01-08,2852245880
2003-01-09,2897031761
2003-01-10,2831170172
2003-01-13,2774968283
2003-01-14,2777602746
2003-01-15,2753014420
2003-01-16,2795165837
2003-01-17,2497471454
2003-01-21,2421950166
2003-01-22,2348185186
2003-01-23,2401752612
2003-01-24,2358723040
2003-01-27,2295495915
2003-01-28,2295495915
2003-01-29,2320084241
2003-01-30,2254222652
2003-01-31,2337647332
2003-02-03,2320962396
2003-02-04,2272663897
2003-02-05,2288470679
2003-02-06,2241050335
2003-02-07,2204167845
2003-02-10,2181335827
2003-02-11,2161138273
2003-02-12,2117230547
2003-02-13,2152356728
2003-02-14,2170797973
2003-02-18,2209436772
2003-02-19,2205045999
2003-02-20,2224365399
2003-02-21,2226999862
2003-02-24,2195386300
2003-02-25,2202411536
2003-02-26,2198020763
2003-02-27,2248953725
2003-02-28,2266516816
2003-03-03,2328865787
2003-03-04,2226121708
2003-03-05,2205045999
2003-03-06,2170797973
2003-03-07,2226121708
2003-03-10,2178701364
2003-03-11,2104936384
2003-03-12,2107570848
2003-03-13,2169041664
2003-03-14,2150600419
2003-03-17,2234903253
2003-03-18,2219096472
2003-03-19,2248075571
2003-03-20,2248075571
2003-03-21,2385067676
2003-03-24,2230512480
2003-03-25,2248953725
2003-03-26,2221730935
2003-03-27,2222609090
2003-03-28,2160260119
2003-03-31,2052464449
2003-04-01,2072142100
2003-04-02,2155130450
2003-04-03,2160263750
2003-04-04,2182508050
2003-04-07,2159408200
2003-04-08,2044764499
2003-04-09,1806921600
2003-04-10,1823177050
2003-04-11,1796655000
2003-04-14,1840288050
2003-04-15,1897609900
2003-04-16,1939531850
2003-04-17,1968620550
2003-04-21,1949798450
2003-04-22,1984876000
2003-04-23,2001131450
2003-04-24,2000275900
2003-04-25,2003698100
2003-04-28,2039631200
2003-04-29,2045620050
2003-04-30,2055886650
2003-05-01,2035353450
2003-05-02,2088397550
2003-05-05,2094386400
2003-05-06,2106364100
2003-05-07,2113208500
2003-05-08,2108930749
2003-05-09,2149997150
2003-05-12,2193630200
2003-05-13,2205607900
2003-05-14,2211596750
2003-05-15,2256085350
2003-05-16,2296296200
2003-05-19,2248385400
2003-05-20,2267207500
2003-05-21,2274051900
2003-05-22,2284318500
2003-05-23,2287740700
2003-05-27,2335651500
2003-05-28,2351906950
2003-05-29,2341640350
2003-05-30,2392117800
2003-06-02,2398962200
2003-06-03,2386984500
2003-06-04,2415217650
2003-06-05,2446017450
2003-06-06,2428050900
2003-06-09,2351906950
2003-06-10,2376717900
2003-06-11,2391262250
2003-06-12,2387840050
2003-06-13,2372440150
2003-06-16,2424628700
2003-06-17,2427195350
2003-06-18,2416928750
2003-06-19,2413506550
2003-06-20,2403239950
2003-06-23,2349340300
2003-06-24,2372440150
2003-06-25,2348484750
2003-06-26,2341640350
2003-06-27,2355329150
2003-06-30,2248710000
2003-07-01,2253598500
2003-07-02,2260931250
2003-07-03,2260931250
2003-07-07,2299224500
2003-07-08,2355442250
2003-07-09,2354627500
2003-07-10,2361145500
2003-07-11,2411660000
2003-07-14,2456471250
2003-07-15,2444250000
2003-07-16,2407586250
2003-07-17,2412474750
2003-07-18,2414104250
2003-07-21,2379070000
2003-07-22,2352183250
2003-07-23,2407586250
2003-07-24,2322852250
2003-07-25,2347294750
2003-07-28,2348109500
2003-07-29,2331814500
2003-07-30,2308186750
2003-07-31,2308186750
2003-08-01,2274782000
2003-08-04,2251154250
2003-08-05,2240562500
2003-08-06,2237303500
2003-08-07,2236488750
2003-08-08,2265819750
2003-08-11,2269078750
2003-08-12,2280485250
2003-08-13,2305742500
2003-08-14,2352998000
2003-08-15,2353812750
2003-08-18,2383958500
2003-08-19,2391291250
2003-08-20,2387217500
2003-08-21,2405142000
2003-08-22,2376625750
2003-08-25,2388032250
2003-08-26,2402697750
2003-08-27,2405142000
2003-08-28,2426325500
2003-08-29,2466248250
2003-09-02,2484987500
2003-09-03,2487431750
2003-09-04,2474395750
2003-09-05,2440176250
2003-09-08,2472766250
2003-09-09,2409215750
2003-09-10,2358701250
2003-09-11,2343221000
2003-09-12,2356257000
2003-09-15,2348109500
2003-09-16,2401883000
2003-09-17,2366848750
2003-09-18,2414919000
2003-09-19,2425510750
2003-09-22,2370922500
2003-09-23,2405142000
2003-09-24,2358701250
2003-09-25,2348109500
2003-09-26,2369293000
2003-09-29,2405577160
2003-09-30,2409658560
2003-10-01,2444758600
2003-10-02,2466798160
2003-10-03,2481491200
2003-10-06,2470063280
2003-10-07,2488837720
2003-10-08,2499449360
2003-10-09,2523121480
2003-10-10,2542712200
2003-10-13,2540263360
2003-10-14,2545977320
2003-10-15,2561486640
2003-10-16,2567200600
2003-10-17,2563119200
2003-10-20,2522305200
2003-10-21,2506795880
2003-10-22,2594137840
2003-10-23,2647196040
2003-10-24,2668419320
2003-10-27,2696989120
2003-10-28,2714131000
2003-10-29,2736170560
2003-10-30,2731272880
2003-10-31,2721477520
2003-11-03,2722293800
2003-11-04,2688010040
2003-11-05,2693724000
2003-11-06,2709233320
2003-11-07,2685561200
2003-11-10,2661072800
2003-11-11,2623523920
2003-11-12,2673317000
2003-11-13,2681479800
2003-11-14,2714947280
2003-11-17,2690458880
2003-11-18,2668419320
2003-11-19,2654542560
2003-11-20,2633319280
2003-11-21,2636584400
2003-11-24,2670868160
2003-11-25,2709233320
2003-11-26,2676582120
2003-11-28,2670051880
2003-12-01,2701886800
2003-12-02,2694540280
2003-12-03,2709233320
2003-12-04,2738619400
2003-12-05,2728007760
2003-12-08,2796575280
2003-12-09,2904324240
2003-12-10,2896161439
2003-12-11,2924731240
2003-12-12,2932894040
2003-12-15,2942689400
2003-12-16,2926363800
2003-12-17,2905956800
2003-12-18,2949219640
2003-12-19,2986768520
2003-12-22,3032480200
2003-12-23,3032480200
2003-12-24,3007991800
2003-12-26,3034112760
2003-12-29,3078191880
2003-12-30,3077375600
2003-12-31,3091252360
2004-01-02,3024317400
2004-01-05,3066763960
2004-01-06,3110026800
2004-01-07,3142678000
2004-01-08,3120638439
2004-01-09,3118189600
2004-01-12,3160636160
2004-01-13,3159003600
2004-01-14,3205531560
2004-01-15,3195736200
2004-01-16,3182675720
2004-01-20,3168798960
2004-01-21,3243896720
2004-01-22,3240631600
2004-01-23,3230019960
2004-01-26,3253692080
2004-01-27,3218592040
2004-01-28,3191654800
2004-01-29,3060233720
2004-01-30,3092068640
2004-02-02,3069212800
2004-02-03,3020236000
2004-02-04,2995747600
2004-02-05,3029215080
2004-02-06,3093701200
2004-02-09,3119005880
2004-02-10,3051254640
2004-02-11,3075743040
2004-02-12,3145943120
2004-02-13,3113291920
2004-02-17,3160636160
2004-02-18,3151657080
2004-02-19,3126352400
2004-02-20,3101864000
2004-02-23,3109210520
2004-02-24,3134515200
2004-02-25,3117373320
2004-02-26,3169615240
2004-02-27,3161452439
2004-03-01,3190022240
2004-03-02,3175329200
2004-03-03,3150024520
2004-03-04,3127168680
2004-03-05,3195736200
2004-03-08,3174512920
2004-03-09,3167166400
2004-03-10,3135331479
2004-03-11,3035745320
2004-03-12,3037377880
2004-03-15,2979422000
2004-03-16,3003910400
2004-03-17,3178594320
2004-03-18,3221857160
2004-03-19,3236550200
2004-03-22,3104312840
2004-03-23,3243080439
2004-03-24,3241447880
2004-03-25,3367155000
2004-03-26,3465924880
2004-03-29,3553266840
2004-03-30,3553266840
2004-03-31,3483883040
2004-04-01,3474087680
2004-04-02,3513269120
2004-04-05,3584875000
2004-04-06,3631580800
2004-04-07,3556196000
2004-04-08,3554557200
2004-04-12,3596346600
2004-04-13,3572584000
2004-04-14,3578319800
2004-04-15,3626664400
2004-04-16,3674189600
2004-04-19,3669273200
2004-04-20,3591430200
2004-04-21,3653704600
2004-04-22,3732367000
2004-04-23,3670912000
2004-04-26,3648788200
2004-04-27,3626664400
2004-04-28,3552918400
2004-04-29,3493102200
2004-04-30,3483269400
2004-05-03,3549640800
2004-05-04,3549640800
2004-05-05,3566028800
2004-05-06,3511129000
2004-05-07,3372650399
2004-05-10,3305459600
2004-05-11,3359540000
2004-05-12,3360359400
2004-05-13,3372650399
2004-05-14,3403787600
2004-05-17,3384941400
2004-05-18,3449674000
2004-05-19,3437383000
2004-05-20,3412801000
2004-05-21,3405426400
2004-05-24,3416898000
2004-05-25,3520142400
2004-05-26,3471797800
2004-05-27,3541446800
2004-05-28,3568487000
2004-06-01,3606179400
2004-06-02,3595527200
2004-06-03,3567667600
2004-06-04,3552918400
2004-06-07,3623386800
2004-06-08,3611095800
2004-06-09,3536530399
2004-06-10,3508670800
2004-06-14,3502115600
2004-06-15,3539808000
2004-06-16,3527517000
2004-06-17,3521781199
2004-06-18,3533252800
2004-06-21,3550460200
2004-06-22,3621748000
2004-06-23,3684022400
2004-06-24,3688938800
2004-06-25,3719256600
2004-06-28,3720076000
2004-06-29,3683203000
2004-06-30,3734825200
2004-07-01,3654524000
2004-07-02,3646330000
2004-07-06,3598355670
2004-07-07,3595068750
2004-07-08,3493174230
2004-07-09,3517826130
2004-07-12,3496461150
2004-07-13,3507143640
2004-07-14,3480026550
2004-07-15,3521934780
2004-07-16,3494817690
2004-07-19,3664915800
2004-07-20,3715041330
2004-07-21,3657520230
2004-07-22,3594247020
2004-07-23,3582742800
2004-07-26,3645194280
2004-07-27,3401962200
2004-07-28,3435653130
2004-07-29,3462770220
2004-07-30,3484135200
2004-08-02,3470165789
2004-08-03,3464413679
2004-08-04,3466057140
2004-08-05,3371558190
2004-08-06,3309106710
2004-08-09,3363340890
2004-08-10,3426614100
2004-08-11,3457839840
2004-08-12,3424148910
2004-08-13,3396210090
2004-08-16,3484135200
2004-08-17,3553160520
2004-08-18,3597533940
2004-08-19,3549051870
2004-08-20,3607394700
2004-08-23,3588494910
