,NWSA
2014-08-11,10048530000
2014-08-12,9996375000
2014-08-13,9915245000
2014-08-14,10031145000
2014-08-15,9996375000
2014-08-18,9967400000
2014-08-19,9938425000
2014-08-20,10112275000
2014-08-21,10187609999
2014-08-22,10135455000
2014-08-25,10233970000
2014-08-26,10210790000
2014-08-27,10245560000
2014-08-28,10239765000
2014-08-29,10216585000
2014-09-02,10100685000
2014-09-03,10199200000
2014-09-04,10199200000
2014-09-05,10286125000
2014-09-08,10210790000
2014-09-09,10019555000
2014-09-10,10123865000
2014-09-11,10013760000
2014-09-12,9921040000
2014-09-15,9880475000
2014-09-16,9874680000
2014-09-17,9874680000
2014-09-18,9868885000
2014-09-19,9978990000
2014-09-22,9880475000
2014-09-23,9805140000
2014-09-24,9799345000
2014-09-25,9683445000
2014-09-26,9839910000
2014-09-29,9735600000
2014-09-30,9486270000
2014-10-01,9271596000
2014-10-02,9172962000
2014-10-03,9230982000
2014-10-06,9242586000
2014-10-07,8975694000
2014-10-08,9271596000
2014-10-09,8981496000
2014-10-10,8766822000
2014-10-13,8494128000
2014-10-14,8581157999
2014-10-15,8528940000
2014-10-16,8470920000
2014-10-17,8534742000
2014-10-20,8644980000
2014-10-21,8940882000
2014-10-22,8853852000
2014-10-23,8998902000
2014-10-24,9126546000
2014-10-27,8969892000
2014-10-28,9010506000
2014-10-29,9010506000
2014-10-30,8987298000
2014-10-31,8981496000
2014-11-03,9027912000
2014-11-04,8790030000
2014-11-05,8877060000
2014-11-06,8894466000
2014-11-07,8790030000
2014-11-10,8842248000
2014-11-11,8842248000
2014-11-12,8859654000
2014-11-13,8697198000
2014-11-14,8819040000
2014-11-17,8726208000
2014-11-18,8708802000
2014-11-19,8813238000
2014-11-20,8784228000
2014-11-21,8801634000
2014-11-24,8969892000
2014-11-25,8964090000
2014-11-26,9097536000
2014-11-28,9004704000
2014-12-01,9027912000
2014-12-02,9132348000
2014-12-03,9161358000
2014-12-04,9114942000
2014-12-05,9178764000
2014-12-08,8993100000
2014-12-09,9103338000
2014-12-10,8900268000
2014-12-11,8894466000
2014-12-12,8732010000
2014-12-15,8563752000
2014-12-16,8488326000
2014-12-17,8639178000
2014-12-18,8714604000
2014-12-19,8830644000
2014-12-22,8923476000
2014-12-23,9056922000
2014-12-24,8981496000
2014-12-26,9033714000
2014-12-29,9132348000
2014-12-30,9149754000
2014-12-31,9128442000
2015-01-02,9070262000
2015-01-05,8796816000
2015-01-06,8674638000
2015-01-07,8651366000
2015-01-08,8924812000
2015-01-09,8965538000
2015-01-12,8889904000
2015-01-13,8860814000
2015-01-14,8785180000
2015-01-15,8732818000
2015-01-16,8761908000
2015-01-20,8686274000
2015-01-21,8697910000
2015-01-22,8843360000
2015-01-23,8831724000
2015-01-26,9041172000
2015-01-27,8988810000
2015-01-28,8808452000
2015-01-29,8686274000
2015-01-30,8663002000
2015-02-02,8692092000
2015-02-03,9081898000
2015-02-04,9070262000
2015-02-05,9151714000
2015-02-06,9460068000
2015-02-09,9727696000
2015-02-10,9756786000
2015-02-11,9750968000
2015-02-12,9797512000
2015-02-13,9826602000
2015-02-17,9954598000
2015-02-18,9867328000
2015-02-19,9913872000
2015-02-20,9972052000
2015-02-23,10076776000
2015-02-24,10059322000
2015-02-25,10146592000
2015-02-26,10082593999
2015-02-27,10047686000
2015-03-02,10146592000
2015-03-03,10012778000
2015-03-04,9942962000
2015-03-05,9948780000
2015-03-06,9791693999
2015-03-09,9704424000
2015-03-10,9442614000
2015-03-11,9541520000
2015-03-12,9745150000
2015-03-13,9716060000
2015-03-16,9844056000
2015-03-17,9745150000
2015-03-18,9826602000
2015-03-19,9710242000
2015-03-20,9797512000
2015-03-23,9820784000
2015-03-24,9756786000
2015-03-25,9553156000
2015-03-26,9413524000
2015-03-27,9396070000
2015-03-30,9436796000
2015-03-31,9325825000
2015-04-01,9384075000
2015-04-02,9424850000
2015-04-06,9465625000
2015-04-07,9389900000
2015-04-08,9354950000
2015-04-09,9285050000
2015-04-10,9273400000
2015-04-13,9360775000
2015-04-14,9308350000
2015-04-15,9290875000
2015-04-16,9255925000
2015-04-17,9081175000
2015-04-20,9116125000
2015-04-21,9040400000
2015-04-22,9063700000
2015-04-23,9063700000
2015-04-24,9046225000
2015-04-27,9069525000
2015-04-28,9302525000
2015-04-29,9197675000
2015-04-30,9191850000
2015-05-01,9349125000
2015-05-04,9419025000
2015-05-05,9331650000
2015-05-06,8731675000
2015-05-07,8720025000
2015-05-08,8819050000
2015-05-11,9151075000
2015-05-12,8941375000
2015-05-13,8888950000
2015-05-14,8964675000
2015-05-15,9057875000
2015-05-18,9133600000
2015-05-19,9133600000
2015-05-20,9104475000
2015-05-21,9104475000
2015-05-22,9052050000
2015-05-26,8935550000
2015-05-27,8993800000
2015-05-28,8941375000
2015-05-29,8824875000
2015-06-01,8871475000
2015-06-02,8830700000
2015-06-03,8865650000
2015-06-04,8737500000
2015-06-05,8737500000
2015-06-08,8644300000
2015-06-09,8481200000
2015-06-10,8533625000
2015-06-11,8492850000
2015-06-12,8393825000
2015-06-15,8271500000
2015-06-16,8271500000
2015-06-17,8283150000
2015-06-18,8469549999
2015-06-19,8720025000
2015-06-22,8766625000
2015-06-23,8731675000
2015-06-24,8638475000
2015-06-25,8591875000
2015-06-26,8854000000
2015-06-29,8417125000
2015-06-30,8476790000
2015-07-01,8505840000
2015-07-02,8482600000
2015-07-06,8308300000
2015-07-07,8337350000
2015-07-08,8226960000
2015-07-09,8238580000
2015-07-10,8279250000
2015-07-13,8383830000
2015-07-14,8383830000
2015-07-15,8383830000
2015-07-16,8517460000
2015-07-17,8604610000
2015-07-20,8656900000
2015-07-21,8470980000
2015-07-22,8488410000
2015-07-23,8552320000
2015-07-24,8633660000
2015-07-27,8616230000
2015-07-28,8592990000
2015-07-29,8616230000
2015-07-30,8598800000
2015-07-31,8558130000
2015-08-03,8447739999
2015-08-04,8459360000
2015-08-05,8482600000
2015-08-06,8145620000
2015-08-07,8197910000
2015-08-10,8337350000
2015-08-11,8110760000
2015-08-12,8203720000
2015-08-13,8825390000
2015-08-14,8819580000
2015-08-17,8860250000
2015-08-18,8790530000
2015-08-19,8732430000
2015-08-20,8285060000
2015-08-21,8081710000
2015-08-24,7576239999
2015-08-25,7518140000
2015-08-26,7680820000
2015-08-27,7913220000
2015-08-28,8017800000
2015-08-31,7919030000
2015-09-01,7593670000
2015-09-02,7628530000
2015-09-03,7738920000
2015-09-04,7448420000
2015-09-08,7756350000
2015-09-09,7680820000
2015-09-10,7558810000
2015-09-11,7582050000
2015-09-14,7442610000
2015-09-15,7518140000
2015-09-16,7576239999
2015-09-17,7675010000
2015-09-18,7506520000
2015-09-21,7512330000
2015-09-22,7430989999
2015-09-23,7407750000
2015-09-24,7454230000
2015-09-25,7407750000
2015-09-28,7140489999
2015-09-29,7123060000
2015-09-30,7334744000
2015-10-01,7398676000
2015-10-02,7578847999
2015-10-05,7793892000
2015-10-06,7846200000
2015-10-07,7921756000
2015-10-08,8165860000
2015-10-09,8113552000
2015-10-12,8084492000
2015-10-13,8084492000
2015-10-14,8125176000
2015-10-15,8305347999
2015-10-16,8479708000
2015-10-19,8473896000
2015-10-20,8468084000
2015-10-21,8276288000
2015-10-22,8537828000
2015-10-23,8718000000
2015-10-26,8549452000
2015-10-27,8537828000
2015-10-28,8718000000
2015-10-29,8787744000
2015-10-30,8950480000
2015-11-02,9084156000
2015-11-03,8956292000
2015-11-04,8973728000
2015-11-05,8921420000
2015-11-06,8648256000
2015-11-09,8380904000
2015-11-10,8392528000
2015-11-11,8357656000
2015-11-12,8200732000
2015-11-13,8008936000
2015-11-16,8218168000
2015-11-17,8218168000
2015-11-18,8293724000
2015-11-19,8247228000
2015-11-20,8287912000
2015-11-23,8322784000
2015-11-24,8386716000
2015-11-25,8386716000
2015-11-27,8282100000
2015-11-30,8340220000
2015-12-01,8502956000
2015-12-02,8375092000
2015-12-03,8008936000
2015-12-04,8171672000
2015-12-07,8061244000
2015-12-08,7846200000
2015-12-09,7846200000
2015-12-10,7991500000
2015-12-11,7741584000
2015-12-14,7706712000
2015-12-15,7822952000
2015-12-16,7945004000
2015-12-17,7764832000
2015-12-18,7660216000
2015-12-21,7764832000
2015-12-22,7735772000
2015-12-23,7962440000
2015-12-24,7915944000
2015-12-28,7857824000
2015-12-29,7974064000
2015-12-30,7857824000
2015-12-31,7553538456
2016-01-04,7468730764
2016-01-05,7219961533
2016-01-06,7186038456
2016-01-07,7022076918
2016-01-08,7112538456
2016-01-11,6903346149
2016-01-12,7027730764
2016-01-13,6892038456
2016-01-14,7186038456
2016-01-15,7072961533
2016-01-19,6982499995
2016-01-20,6869423072
2016-01-21,6993807687
2016-01-22,7180384610
2016-01-25,7067307687
2016-01-26,7236923072
2016-01-27,7180384610
2016-01-28,7259538456
2016-01-29,7333038456
2016-02-01,7180384610
2016-02-02,6852461533
2016-02-03,6920307687
2016-02-04,6903346149
2016-02-05,6275769226
2016-02-08,5970461534
2016-02-09,5930884611
2016-02-10,5993076919
2016-02-11,5879999996
2016-02-12,6077884611
2016-02-16,6185307688
2016-02-17,6219230765
2016-02-18,6134423072
2016-02-19,6173999995
2016-02-22,6275769226
2016-02-23,6157038457
2016-02-24,6100499995
2016-02-25,6145730765
2016-02-26,6173999995
2016-02-29,6117461534
2016-03-01,6089192303
2016-03-02,6157038457
2016-03-03,6168346149
2016-03-04,6219230765
2016-03-07,6394499995
2016-03-08,6173999995
2016-03-09,6270115380
2016-03-10,6270115380
2016-03-11,6643269226
2016-03-14,6535846149
2016-03-15,6541499995
2016-03-16,6818538456
2016-03-17,7033384610
2016-03-18,6959884610
2016-03-21,6999461533
2016-03-22,7146461533
2016-03-23,7089923072
2016-03-24,7067307687
2016-03-28,7265192302
2016-03-29,7270846148
2016-03-30,7208653841
2016-03-31,7406600000
2016-04-01,7557400000
2016-04-04,7400800000
2016-04-05,7313800000
2016-04-06,7406600000
2016-04-07,7302200000
2016-04-08,7197800000
2016-04-11,7128199999
2016-04-12,7232600000
2016-04-13,7366000000
2016-04-14,7383400000
2016-04-15,7366000000
2016-04-18,7226800000
2016-04-19,7273199999
2016-04-20,7273199999
2016-04-21,7389200000
2016-04-22,7424000000
2016-04-25,7319600000
2016-04-26,7418199999
2016-04-27,7348600000
2016-04-28,7273199999
2016-04-29,7203600000
2016-05-02,7313800000
2016-05-03,7093400000
2016-05-04,7047000000
2016-05-05,7058600000
2016-05-06,7366000000
2016-05-09,7122400000
2016-05-10,7145600000
2016-05-11,7076000000
2016-05-12,6925200000
2016-05-13,6757000000
2016-05-16,6815000000
2016-05-17,6780200000
2016-05-18,6733800000
2016-05-19,6681600000
2016-05-20,6873000000
2016-05-23,6786000000
2016-05-24,6849800000
2016-05-25,6977400000
2016-05-26,6878800000
2016-05-27,6907800000
2016-05-31,6936800000
2016-06-01,6971600000
2016-06-02,7041200000
2016-06-03,6942600000
2016-06-06,7052800000
2016-06-07,6884600000
2016-06-08,6844000000
2016-06-09,6780200000
2016-06-10,6675800000
2016-06-13,6699000000
2016-06-14,6641000000
2016-06-15,6768600000
2016-06-16,6612000000
2016-06-17,6542400000
2016-06-20,6617800000
2016-06-21,6699000000
2016-06-22,6762800000
2016-06-23,6878800000
2016-06-24,6455400000
2016-06-27,6159600000
2016-06-28,6223400000
2016-06-29,6513400000
2016-06-30,6592080000
2016-07-01,6667584000
2016-07-05,6528192000
2016-07-06,6522384000
2016-07-07,6597888000
2016-07-08,6777936000
2016-07-11,6882480000
2016-07-12,7045104000
2016-07-13,7120608000
2016-07-14,7161264000
2016-07-15,7143840000
2016-07-18,7225152000
2016-07-19,7260000000
2016-07-20,7248384000
2016-07-21,7201920000
2016-07-22,7329696000
2016-07-25,7323888000
2016-07-26,7434240000
2016-07-27,7399392000
2016-07-28,7422624000
2016-07-29,7532976000
2016-08-01,7469088000
2016-08-02,7364544000
2016-08-03,7352928000
2016-08-04,7399392000
2016-08-05,7451664000
2016-08-08,7457472000
2016-08-09,7736256000
2016-08-10,7637520000
2016-08-11,7776912000
2016-08-12,7846608000
2016-08-15,7927920000
2016-08-16,7945344000
2016-08-17,7991808000
2016-08-18,7986000000
2016-08-19,7980192000
2016-08-22,8026656000
2016-08-23,8044080000
2016-08-24,8038272000
2016-08-25,8067312000
2016-08-26,8119584000
2016-08-29,8154431999
2016-08-30,8137008000
2016-08-31,8166048000
2016-09-01,8113776000
2016-09-02,8096352000
2016-09-06,7991808000
2016-09-07,8003424000
2016-09-08,8020848000
2016-09-09,7759488000
2016-09-12,8073120000
2016-09-13,7922112000
2016-09-14,7962768000
2016-09-15,7922112000
2016-09-16,7922112000
2016-09-19,7910496000
2016-09-20,7962768000
2016-09-21,8090544000
2016-09-22,8212512000
2016-09-23,8160240000
2016-09-26,8026656000
2016-09-27,8107968000
2016-09-28,8142816000
2016-09-29,8067312000
2016-09-30,8108400000
2016-10-03,8369400000
2016-10-04,8282400000
2016-10-05,8479600000
2016-10-06,8421600000
2016-10-07,8183800000
2016-10-10,8073600000
2016-10-11,7928600000
2016-10-12,7812600000
2016-10-13,7853199999
2016-10-14,7754600000
2016-10-17,7760400000
2016-10-18,7835800000
2016-10-19,7917000000
2016-10-20,7835800000
2016-10-21,7777800000
2016-10-24,7522600000
2016-10-25,7337000000
2016-10-26,7487800000
2016-10-27,7087600000
2016-10-28,7058600000
2016-10-31,7029600000
2016-11-01,6989000000
2016-11-02,6867200000
2016-11-03,6861400000
2016-11-04,6896200000
2016-11-07,7087600000
2016-11-08,6757000000
2016-11-09,6948400000
2016-11-10,6931000000
2016-11-11,7029600000
2016-11-14,7058600000
2016-11-15,6965800000
2016-11-16,6971600000
2016-11-17,6960000000
2016-11-18,6884600000
2016-11-21,6803400000
2016-11-22,6774400000
2016-11-23,6844000000
2016-11-25,6844000000
2016-11-28,6867200000
2016-11-29,6693199999
2016-11-30,6704800000
2016-12-01,6820800000
2016-12-02,6762800000
2016-12-05,6849800000
2016-12-06,6838199999
2016-12-07,6861400000
2016-12-08,6913600000
2016-12-09,6989000000
2016-12-12,6965800000
2016-12-13,6890400000
2016-12-14,6890400000
2016-12-15,6780200000
2016-12-16,6733800000
2016-12-19,6803400000
2016-12-20,6757000000
2016-12-21,6797600000
2016-12-22,6809200000
2016-12-23,6803400000
2016-12-27,6907800000
2016-12-28,6780200000
2016-12-29,6762800000
2016-12-30,6646800000
2017-01-03,6798904000
2017-01-04,6903592000
2017-01-05,6915224000
2017-01-06,6938488000
2017-01-09,6979200000
2017-01-10,6979200000
2017-01-11,7002463999
2017-01-12,6990832000
2017-01-13,7008280000
2017-01-17,7112968000
2017-01-18,7060624000
2017-01-19,7002463999
2017-01-20,6961752000
2017-01-23,6955936000
2017-01-24,7043176000
2017-01-25,7159496000
2017-01-26,7107152000
2017-01-27,7188576000
2017-01-30,7171128000
2017-01-31,7147863999
2017-02-01,7188576000
2017-02-02,7107152000
2017-02-03,7136232000
2017-02-06,7107152000
2017-02-07,7095520000
2017-02-08,7072256000
2017-02-09,7206024000
2017-02-10,7729463999
2017-02-13,7607328000
2017-02-14,7607328000
2017-02-15,7618960000
2017-02-16,7589880000
2017-02-17,7607328000
2017-02-21,7752728000
2017-02-22,7729463999
2017-02-23,7700384000
2017-02-24,7618960000
2017-02-27,7595696000
2017-02-28,7456112000
2017-03-01,7613144000
2017-03-02,7467744000
2017-03-03,7502640000
2017-03-06,7531720000
2017-03-07,7363056000
2017-03-08,7264184000
2017-03-09,7217656000
2017-03-10,7200208000
2017-03-13,7142048000
2017-03-14,7211840000
2017-03-15,7328160000
2017-03-16,7351424000
2017-03-17,7357240000
2017-03-20,7345608000
2017-03-21,7281632000
2017-03-22,7281632000
2017-03-23,7299080000
2017-03-24,7299080000
2017-03-27,7316528000
2017-03-28,7467744000
2017-03-29,7560800000
2017-03-30,7700384000
2017-03-31,7566000000
2017-04-03,7443779999
2017-04-04,7432140000
2017-04-05,7350660000
2017-04-06,7315740000
2017-04-07,7280820000
2017-04-10,7292460000
2017-04-11,7275000000
2017-04-12,7269180000
2017-04-13,7176060000
2017-04-17,7222620000
2017-04-18,7176060000
2017-04-19,7234260000
2017-04-20,7531080000
2017-04-21,7501980000
2017-04-24,7589279999
2017-04-25,7606740000
2017-04-26,7531080000
2017-04-27,7542720000
2017-04-28,7403040000
2017-05-01,7414680000
2017-05-02,7344840000
2017-05-03,7315740000
2017-05-04,7315740000
2017-05-05,7385580000
2017-05-08,7443779999
2017-05-09,7630020000
2017-05-10,7397220000
2017-05-11,7379760000
2017-05-12,7397220000
2017-05-15,7501980000
2017-05-16,7525260000
2017-05-17,7368120000
2017-05-18,7391400000
2017-05-19,7461240000
2017-05-22,7635840000
2017-05-23,7653300000
2017-05-24,7694040000
2017-05-25,7688220000
2017-05-26,7810440000
2017-05-30,7734779999
2017-05-31,7787160000
2017-06-01,7897740000
2017-06-02,7903560000
2017-06-05,7822080000
2017-06-06,7845360000
2017-06-07,7775520000
2017-06-08,7862820000
2017-06-09,7944300000
2017-06-12,7955940000
2017-06-13,7891920000
2017-06-14,7903560000
2017-06-15,7921020000
2017-06-16,7990860000
2017-06-19,8019960000
2017-06-20,7851180000
2017-06-21,7874460000
2017-06-22,7827900000
2017-06-23,7909380000
2017-06-26,7950120000
2017-06-27,7950120000
2017-06-28,8060700000
2017-06-29,7915200000
2017-06-30,7977510000
2017-07-03,8088147000
2017-07-05,7994979000
2017-07-06,7709652000
2017-07-07,7756236000
2017-07-10,7657245000
2017-07-11,7727121000
2017-07-12,7686360000
2017-07-13,7703829000
2017-07-14,7901811000
2017-07-17,7965864000
2017-07-18,7936749000
2017-07-19,8111439000
2017-07-20,8128908000
2017-07-21,8111439000
2017-07-24,8140554000
2017-07-25,8222076000
2017-07-26,8286129000
2017-07-27,8309421000
2017-07-28,8379297000
2017-07-31,8332713000
2017-08-01,8402589000
2017-08-02,8309421000
2017-08-03,8297775000
2017-08-04,8222076000
2017-08-07,8350182000
2017-08-08,8291952000
2017-08-09,8251191000
2017-08-10,7965864000
2017-08-11,7820289000
2017-08-14,7785351000
2017-08-15,7750413000
2017-08-16,7715475000
2017-08-17,7703829000
2017-08-18,7727121000
2017-08-21,7750413000
2017-08-22,7796997000
2017-08-23,7674714000
2017-08-24,7686360000
2017-08-25,7814466000
2017-08-28,7820289000
2017-08-29,7779528000
2017-08-30,7744590000
2017-08-31,7785351000
2017-09-01,7831935000
2017-09-05,7732944000
2017-09-06,7796997000
2017-09-07,7878519000
2017-09-08,7651422000
2017-09-11,7767882000
2017-09-12,7721298000
2017-09-13,7569900000
2017-09-14,7599015000
2017-09-15,7622307000
2017-09-18,7622307000
2017-09-19,7599015000
2017-09-20,7668891000
2017-09-21,7616484000
2017-09-22,7587369000
2017-09-25,7686360000
2017-09-26,7633953000
2017-09-27,7721298000
2017-09-28,7721298000
2017-09-29,7721298000
2017-10-02,7738256000
2017-10-03,7790699000
2017-10-04,7784872000
2017-10-05,7825661000
2017-10-06,7744082999
2017-10-09,7679986000
2017-10-10,7866450000
2017-10-11,7854796000
2017-10-12,7889757999
2017-10-13,7971336000
2017-10-16,7971336000
2017-10-17,7936374000
2017-10-18,8000471000
2017-10-19,7936374000
2017-10-20,7988817000
2017-10-23,8012125000
2017-10-24,7942201000
2017-10-25,7959682000
2017-10-26,7971336000
2017-10-27,7977163000
2017-10-30,8047087000
2017-10-31,7959682000
2017-11-01,7988817000
2017-11-02,8041260000
2017-11-03,8082049000
2017-11-06,8320956000
2017-11-07,8245205000
2017-11-08,8239378000
2017-11-09,8367572000
2017-11-10,8798770000
2017-11-13,8874521000
2017-11-14,8897829000
2017-11-15,8851213000
2017-11-16,9160044000
2017-11-17,9229968000
2017-11-20,9130909000
2017-11-21,9200833000
2017-11-22,9189179000
2017-11-24,9189179000
2017-11-27,9171698000
2017-11-28,9410605000
2017-11-29,9527145000
2017-11-30,9416432000
2017-12-01,9439740000
2017-12-04,9637858000
2017-12-05,9556280000
2017-12-06,9550453000
2017-12-07,9532972000
2017-12-08,9643685000
2017-12-11,9666993000
2017-12-12,9451394000
2017-12-13,9486356000
2017-12-14,9451394000
2017-12-15,9334854000
2017-12-18,9515490999
2017-12-19,9480529000
2017-12-20,9463048000
2017-12-21,9521318000
2017-12-22,9567934000
2017-12-26,9503837000
2017-12-27,9468875000
2017-12-28,9515490999
2017-12-29,9445567000
2018-01-02,9553113386
2018-01-03,9587999984
2018-01-04,9646144313
2018-01-05,9768247406
2018-01-08,9785690705
2018-01-09,9814762870
2018-01-10,9797319571
2018-01-11,9931051529
2018-01-12,9971752560
2018-01-16,9867092767
2018-01-17,10006639158
2018-01-18,9890350498
2018-01-19,10012453591
2018-01-22,9989195859
2018-01-23,9925237096
2018-01-24,9936865962
2018-01-25,9907793797
2018-01-26,9965938127
2018-01-29,9919422663
2018-01-30,9913608230
2018-01-31,9948494828
