,MCD
2002-08-28,30006967000
2002-08-29,30312511000
2002-08-30,30248856000
2002-09-03,29319493000
2002-09-04,28313743999
2002-09-05,27970007000
2002-09-06,27193416000
2002-09-09,27307995000
2002-09-10,27117030000
2002-09-11,27167954000
2002-09-12,25856661000
2002-09-13,26136743000
2002-09-16,27613539000
2002-09-17,24074321000
2002-09-18,23119496000
2002-09-19,22724835000
2002-09-20,22852145000
2002-09-23,23119496000
2002-09-24,22788490000
2002-09-25,23043110000
2002-09-26,23488695000
2002-09-27,23386847000
2002-09-30,22408774000
2002-10-01,23195492000
2002-10-02,23081291000
2002-10-03,22573731000
2002-10-04,22205750000
2002-10-07,22142305000
2002-10-08,22281884000
2002-10-09,21012984000
2002-10-10,21787013000
2002-10-11,22802133000
2002-10-14,22802133000
2002-10-15,22916334000
2002-10-16,22205750000
2002-10-17,22624486999
2002-10-18,22180372000
2002-10-21,23220870000
2002-10-22,24045655000
2002-10-23,24426325000
2002-10-24,23741119000
2002-10-25,23474650000
2002-10-28,23246248000
2002-10-29,23373138000
2002-10-30,23093980000
2002-10-31,22979779000
2002-11-01,23005157000
2002-11-04,23385827000
2002-11-05,24020277000
2002-11-06,24185234000
2002-11-07,24502459000
2002-11-08,22573731000
2002-11-11,21685501000
2002-11-12,21685501000
2002-11-13,21761635000
2002-11-14,21951970000
2002-11-15,22053482000
2002-11-18,22522975000
2002-11-19,22637176000
2002-11-20,22903645000
2002-11-21,23728430000
2002-11-22,23652296000
2002-11-25,23132047000
2002-11-26,23119358000
2002-11-27,23474650000
2002-11-29,23474650000
2002-12-02,23779185999
2002-12-03,23144735999
2002-12-04,23309693000
2002-12-05,23829942000
2002-12-06,22802133000
2002-12-09,22078860000
2002-12-10,22015415000
2002-12-11,21825080000
2002-12-12,22078860000
2002-12-13,22002726000
2002-12-16,22053482000
2002-12-17,20289711000
2002-12-18,20251644000
2002-12-19,19845596000
2002-12-20,19985175000
2002-12-23,19731395000
2002-12-24,19642572000
2002-12-26,19769462000
2002-12-27,19667950000
2002-12-30,19985175000
2002-12-31,20415167999
2003-01-02,21011880000
2003-01-03,20465952000
2003-01-06,21138840000
2003-01-07,21164232000
2003-01-08,21380064000
2003-01-09,21418152000
2003-01-10,21887903999
2003-01-13,22002167999
2003-01-14,21532416000
2003-01-15,21189624000
2003-01-16,20123160000
2003-01-17,19615320000
2003-01-21,19475664000
2003-01-22,19501056000
2003-01-23,19044000000
2003-01-24,18917040000
2003-01-27,18663120000
2003-01-28,18625032000
2003-01-29,18256848000
2003-01-30,18358416000
2003-01-31,18079104000
2003-02-03,18434592000
2003-02-04,18155280000
2003-02-05,17850576000
2003-02-06,17368128000
2003-02-07,17203080000
2003-02-10,17393520000
2003-02-11,17647440000
2003-02-12,17558568000
2003-02-13,17228472000
2003-02-14,17291952000
2003-02-18,17076120000
2003-02-19,17139600000
2003-02-20,16987248000
2003-02-21,17241168000
2003-02-24,16847592000
2003-02-25,16695240000
2003-02-26,16263576000
2003-02-27,16822200000
2003-02-28,17279256000
2003-03-03,16746024000
2003-03-04,16390536000
2003-03-05,16212792000
2003-03-06,16009656000
2003-03-07,16276272000
2003-03-10,15870000000
2003-03-11,15831912000
2003-03-12,15717648000
2003-03-13,16250880000
2003-03-14,17190384000
2003-03-17,17393520000
2003-03-18,18167976000
2003-03-19,18498072000
2003-03-20,18256848000
2003-03-21,18599640000
2003-03-24,17812488000
2003-03-25,17977536000
2003-03-26,18066408000
2003-03-27,18409200000
2003-03-28,18840864000
2003-03-31,18400350000
2003-04-01,17878625000
2003-04-02,18222200000
2003-04-03,17916800000
2003-04-04,18514875000
2003-04-07,20105500000
2003-04-08,20156400000
2003-04-09,19723750000
2003-04-10,20105500000
2003-04-11,20080050000
2003-04-14,19978250000
2003-04-15,20169125000
2003-04-16,20041875000
2003-04-17,20360000000
2003-04-21,20372725000
2003-04-22,20423625000
2003-04-23,20169125000
2003-04-24,20258200000
2003-04-25,20118225000
2003-04-28,21543425000
2003-04-29,21988800000
2003-04-30,21759750000
2003-05-01,21836100000
2003-05-02,22383275000
2003-05-05,22256024999
2003-05-06,22752300000
2003-05-07,22128775000
2003-05-08,21950625000
2003-05-09,22370549999
2003-05-12,23274025000
2003-05-13,23248575000
2003-05-14,23617600000
2003-05-15,23668500000
2003-05-16,23566700000
2003-05-19,23108600000
2003-05-20,21568875000
2003-05-21,22014250000
2003-05-22,22268750000
2003-05-23,22650500000
2003-05-27,22612325000
2003-05-28,23235850000
2003-05-29,23337650000
2003-05-30,23833925000
2003-06-02,24050250000
2003-06-03,24393825000
2003-06-04,24164774999
2003-06-05,24533800000
2003-06-06,26798850000
2003-06-09,26557075000
2003-06-10,27575075000
2003-06-11,27536900000
2003-06-12,27511450000
2003-06-13,27307850000
2003-06-16,28249500000
2003-06-17,28249500000
2003-06-18,28058625000
2003-06-19,27435100000
2003-06-20,28020450000
2003-06-23,28465825000
2003-06-24,28669425000
2003-06-25,28300399999
2003-06-26,28567625000
2003-06-27,28465825000
2003-06-30,28049290000
2003-07-01,27896710000
2003-07-02,28888480000
2003-07-03,28761330000
2003-07-07,29117350000
2003-07-08,28990200000
2003-07-09,29053775000
2003-07-10,28303590000
2003-07-11,28710469999
2003-07-14,27871280000
2003-07-15,26803219999
2003-07-16,26854080000
2003-07-17,26053034999
2003-07-18,27197385000
2003-07-21,26536205000
2003-07-22,26803219999
2003-07-23,26968515000
2003-07-24,26803219999
2003-07-25,27260960000
2003-07-28,27032090000
2003-07-29,28163725000
2003-07-30,28481600000
2003-07-31,29257215000
2003-08-01,29206355000
2003-08-04,28710469999
2003-08-05,27973000000
2003-08-06,27744130000
2003-08-07,28049290000
2003-08-08,30376135000
2003-08-11,30210840000
2003-08-12,30248985000
2003-08-13,29460655000
2003-08-14,29180925000
2003-08-15,29219070000
2003-08-18,28888480000
2003-08-19,29091920000
2003-08-20,29244500000
2003-08-21,28608750000
2003-08-22,27909425000
2003-08-25,28227300000
2003-08-26,28354450000
2003-08-27,28685040000
2003-08-28,28418025000
2003-08-29,28507030000
2003-09-02,28608750000
2003-09-03,28850335000
2003-09-04,29740385000
2003-09-05,29625950000
2003-09-08,29689525000
2003-09-09,29994685000
2003-09-10,29498800000
2003-09-11,30134550000
2003-09-12,29854820000
2003-09-15,29867534999
2003-09-16,30198125000
2003-09-17,30198125000
2003-09-18,30401565000
2003-09-19,30414280000
2003-09-22,30045545000
2003-09-23,30388850000
2003-09-24,30426995000
2003-09-25,29702240000
2003-09-26,30007400000
2003-09-29,30172695000
2003-09-30,29700418000
2003-10-01,30545757000
2003-10-02,30634076000
2003-10-03,30608842000
2003-10-06,30406970000
2003-10-07,31189224000
2003-10-08,30470055000
2003-10-09,30545757000
2003-10-10,30646693000
2003-10-13,30886416000
2003-10-14,30772863000
2003-10-15,30179864000
2003-10-16,30280800000
2003-10-17,30470055000
2003-10-20,30507906000
2003-10-21,29952757999
2003-10-22,30154630000
2003-10-23,30280800000
2003-10-24,30520523000
2003-10-27,30596225000
2003-10-28,31037820000
2003-10-29,31050437000
2003-10-30,31201841000
2003-10-31,31542500000
2003-11-03,32034563000
2003-11-04,32942987000
2003-11-05,32993455000
2003-11-06,32778966000
2003-11-07,32816817000
2003-11-10,32804200000
2003-11-11,32930370000
2003-11-12,33107007999
2003-11-13,32892519000
2003-11-14,32400456000
2003-11-17,31542500000
2003-11-18,31163990000
2003-11-19,31100905000
2003-11-20,31138756000
2003-11-21,31504649000
2003-11-24,32349988000
2003-11-25,32501392000
2003-11-26,32034563000
2003-11-28,32337371000
2003-12-01,33245795000
2003-12-02,33409816000
2003-12-03,33384582000
2003-12-04,33510752000
2003-12-05,32791582999
2003-12-08,32324754000
2003-12-09,32072414000
2003-12-10,32236435000
2003-12-11,32551860000
2003-12-12,32526626000
2003-12-15,32072414000
2003-12-16,31391096000
2003-12-17,30911650000
2003-12-18,31302777000
2003-12-19,30659310000
2003-12-22,31744372000
2003-12-23,31895776000
2003-12-24,30230332000
2003-12-26,30394353000
2003-12-29,31037820000
2003-12-30,31264926000
2003-12-31,31328010999
2004-01-02,31277543000
2004-01-05,31580351000
2004-01-06,31958860999
2004-01-07,32059797000
2004-01-08,32173350000
2004-01-09,31731755000
2004-01-12,31681287000
2004-01-13,31088288000
2004-01-14,31630819000
2004-01-15,31731755000
2004-01-16,31933627000
2004-01-20,31756989000
2004-01-21,32198584000
2004-01-22,32034563000
2004-01-23,31857925000
2004-01-26,31895776000
2004-01-27,32110265000
2004-01-28,31365862000
2004-01-29,32173350000
2004-01-30,32476157999
2004-02-02,32791582999
2004-02-03,32993455000
2004-02-04,33321497000
2004-02-05,33687390000
2004-02-06,34267772000
2004-02-09,33952347000
2004-02-10,33788326000
2004-02-11,34128985000
2004-02-12,33662156000
2004-02-13,33599071000
2004-02-17,34065900000
2004-02-18,34128985000
2004-02-19,34381325000
2004-02-20,34267772000
2004-02-23,35037409000
2004-02-24,34860771000
2004-02-25,35251898000
2004-02-26,35706110000
2004-02-27,35706110000
2004-03-01,35844897000
2004-03-02,35857514000
2004-03-03,36450513000
2004-03-04,36387428000
2004-03-05,37661745000
2004-03-08,36980427000
2004-03-09,36564066000
2004-03-10,36475747000
2004-03-11,36210790000
2004-03-12,36601917000
2004-03-15,35895365000
2004-03-16,36160322000
2004-03-17,36210790000
2004-03-18,35352834000
2004-03-19,35453770000
2004-03-22,35769195000
2004-03-23,35024792000
2004-03-24,34949090000
2004-03-25,35895365000
2004-03-26,35163579000
2004-03-29,35920599000
2004-03-30,36160322000
2004-03-31,35883920000
2004-04-01,36310960000
2004-04-02,36348640000
2004-04-05,36876160000
2004-04-06,36436560000
2004-04-07,36298400000
2004-04-08,36009520000
2004-04-12,36449120000
2004-04-13,35507120000
2004-04-14,33912000000
2004-04-15,33824080000
2004-04-16,34489760000
2004-04-19,33598000000
2004-04-20,33346800000
2004-04-21,33849200000
2004-04-22,34414400000
2004-04-23,34339040000
2004-04-26,34313920000
2004-04-27,34163200000
2004-04-28,34678160000
2004-04-29,34138080000
2004-04-30,34200880000
2004-05-03,34866560000
2004-05-04,34678160000
2004-05-05,34929360000
2004-05-06,34251120000
2004-05-07,33547760000
2004-05-10,33459840000
2004-05-11,33221200000
2004-05-12,32743920000
2004-05-13,32769040000
2004-05-14,32869520000
2004-05-17,32492720000
2004-05-18,32392240000
2004-05-19,32342000000
2004-05-20,31789360000
2004-05-21,31965200000
2004-05-24,31839600000
2004-05-25,31965200000
2004-05-26,32342000000
2004-05-27,32995120000
2004-05-28,33158400000
2004-06-01,33246320000
2004-06-02,33196080000
2004-06-03,33309120000
2004-06-04,33736160000
2004-06-07,33422160000
2004-06-08,33711040000
2004-06-09,33384479999
2004-06-10,33974800000
2004-06-14,33912000000
2004-06-15,33510080000
2004-06-16,33547760000
2004-06-17,33560320000
2004-06-18,33811520000
2004-06-21,33736160000
2004-06-22,33786400000
2004-06-23,34050160000
2004-06-24,34012479999
2004-06-25,33899439999
2004-06-28,33384479999
2004-06-29,33170960000
2004-06-30,32674200000
2004-07-01,33063777000
2004-07-02,32825004000
2004-07-06,32837571000
2004-07-07,33202014000
2004-07-08,33302550000
2004-07-09,33315117000
2004-07-12,33704694000
2004-07-13,33528756000
2004-07-14,34923693000
2004-07-15,35074497000
2004-07-16,34948827000
2004-07-19,35099631000
2004-07-20,35388672000
2004-07-21,34760322000
2004-07-22,34647219000
2004-07-23,34031435999
2004-07-26,33905766000
2004-07-27,34546683000
2004-07-28,34320477000
2004-07-29,34232507999
2004-07-30,34559250000
2004-08-02,34508982000
2004-08-03,34245075000
2004-08-04,34131972000
2004-08-05,33780096000
2004-08-06,33101478000
2004-08-09,32875272000
2004-08-10,33604157999
2004-08-11,33114045000
2004-08-12,32485695000
2004-08-13,32435427000
2004-08-16,32360025000
2004-08-17,33139179000
2004-08-18,33277416000
2004-08-19,33428220000
2004-08-20,34018869000
2004-08-23,33478488000
