,LHX
2000-10-18,1389088000
2000-10-19,1482048000
2000-10-20,1543136000
2000-10-23,1551104000
2000-10-24,1563056000
2000-10-25,1703824000
2000-10-26,1861856000
2000-10-27,1954816000
2000-10-30,1929584000
2000-10-31,2047776000
2000-11-01,2030512000
2000-11-02,2067696000
2000-11-03,2107536000
2000-11-06,2022544000
2000-11-07,1998640000
2000-11-08,1978720000
2000-11-09,2002624000
2000-11-10,1978720000
2000-11-13,1962784000
2000-11-14,2010592000
2000-11-15,2030512000
2000-11-16,2043792000
2000-11-17,2018560000
2000-11-20,1998640000
2000-11-21,2095584000
2000-11-22,2059728000
2000-11-24,2099568000
2000-11-27,2107536000
2000-11-28,2022544000
2000-11-29,1990672000
2000-11-30,1986688000
2000-12-01,2014576000
2000-12-04,2006608000
2000-12-05,2026528000
2000-12-06,2010592000
2000-12-07,1986688000
2000-12-08,2063712000
2000-12-11,2067696000
2000-12-12,2047776000
2000-12-13,2043792000
2000-12-14,1974736000
2000-12-15,1921616000
2000-12-18,1917632000
2000-12-19,1841936000
2000-12-20,1780848000
2000-12-21,1776864000
2000-12-22,1869824000
2000-12-26,1921616000
2000-12-27,1966768000
2000-12-28,1982704000
2000-12-29,1957860000
2001-01-02,1830402000
2001-01-03,1965744000
2001-01-04,2005164000
2001-01-05,1897416000
2001-01-08,1881648000
2001-01-09,1777842000
2001-01-10,1793610000
2001-01-11,1846170000
2001-01-12,1805436000
2001-01-16,1766016000
2001-01-17,1769958000
2001-01-18,1805436000
2001-01-19,1677978000
2001-01-22,1758132000
2001-01-23,1785726000
2001-01-24,1777842000
2001-01-25,1785726000
2001-01-26,1769958000
2001-01-29,1822518000
2001-01-30,1885590000
2001-01-31,1930266000
2001-02-01,1879020000
2001-02-02,1813320000
2001-02-05,1823832000
2001-02-06,1863252000
2001-02-07,1815948000
2001-02-08,1822518000
2001-02-09,1758132000
2001-02-12,1760760000
2001-02-13,1822518000
2001-02-14,1823832000
2001-02-15,1860624000
2001-02-16,1797552000
2001-02-20,1720026000
2001-02-21,1667466000
2001-02-22,1642500000
2001-02-23,1620162000
2001-02-26,1664838000
2001-02-27,1585998000
2001-02-28,1605708000
2001-03-01,1576800000
2001-03-02,1538694000
2001-03-05,1521612000
2001-03-06,1528182000
2001-03-07,1558404000
2001-03-08,1564974000
2001-03-09,1545264000
2001-03-12,1522926000
2001-03-13,1478250000
2001-03-14,1487448000
2001-03-15,1501902000
2001-03-16,1515042000
2001-03-19,1515042000
2001-03-20,1494018000
2001-03-21,1524240000
2001-03-22,1524240000
2001-03-23,1579428000
2001-03-26,1543950000
2001-03-27,1559718000
2001-03-28,1479564000
2001-03-29,1472994000
2001-03-30,1582056000
2001-04-02,1454598000
2001-04-03,1356048000
2001-04-04,1359990000
2001-04-05,1430946000
2001-04-06,1379700000
2001-04-09,1444086000
2001-04-10,1501902000
2001-04-11,1490076000
2001-04-12,1561032000
2001-04-16,1537380000
2001-04-17,1546578000
2001-04-18,1660896000
2001-04-19,1725282000
2001-04-20,1700316000
2001-04-23,1666152000
2001-04-24,1680606000
2001-04-25,1710828000
2001-04-26,1738422000
2001-04-27,1760760000
2001-04-30,1838286000
2001-05-01,1813320000
2001-05-02,1844856000
2001-05-03,1854054000
2001-05-04,1936836000
2001-05-07,1952604000
2001-05-08,1981512000
2001-05-09,1880334000
2001-05-10,1957860000
2001-05-11,1948662000
2001-05-14,1902672000
2001-05-15,1917126000
2001-05-16,1903986000
2001-05-17,1949976000
2001-05-18,1938150000
2001-05-21,2034072000
2001-05-22,2018304000
2001-05-23,1956546000
2001-05-24,1918440000
2001-05-25,1923696000
2001-05-29,1859310000
2001-05-30,1779156000
2001-05-31,1817262000
2001-06-01,1861938000
2001-06-04,1868508000
2001-06-05,1934208000
2001-06-06,1918440000
2001-06-07,1886904000
2001-06-08,1851426000
2001-06-11,1831716000
2001-06-12,1847484000
2001-06-13,1913184000
2001-06-14,1822518000
2001-06-15,1793610000
2001-06-18,1722654000
2001-06-19,1681920000
2001-06-20,1708200000
2001-06-21,1729224000
2001-06-22,1645128000
2001-06-25,1649070000
2001-06-26,1654326000
2001-06-27,1653012000
2001-06-28,1697688000
2001-06-29,1739736000
2001-07-02,1758132000
2001-07-03,1772586000
2001-07-05,1720026000
2001-07-06,1658268000
2001-07-09,1647756000
2001-07-10,1701630000
2001-07-11,1699002000
2001-07-12,1775214000
2001-07-13,1764702000
2001-07-16,1759446000
2001-07-17,1748934000
2001-07-18,1693746000
2001-07-19,1738422000
2001-07-20,1723968000
2001-07-23,1709514000
2001-07-24,1681920000
2001-07-25,1750248000
2001-07-26,1886904000
2001-07-27,1914498000
2001-07-30,1915812000
2001-07-31,1918440000
2001-08-01,1976256000
2001-08-02,1974942000
2001-08-03,1961802000
2001-08-06,1967058000
2001-08-07,1974942000
2001-08-08,1960488000
2001-08-09,1907928000
2001-08-10,1910556000
2001-08-13,1867194000
2001-08-14,1872450000
2001-08-15,1830402000
2001-08-16,1847484000
2001-08-17,1843542000
2001-08-20,1855368000
2001-08-21,1850112000
2001-08-22,1867194000
2001-08-23,1876392000
2001-08-24,1905300000
2001-08-27,1946034000
2001-08-28,1932894000
2001-08-29,1900044000
2001-08-30,1842228000
2001-08-31,1875078000
2001-09-04,1836972000
2001-09-05,1780470000
2001-09-06,1741050000
2001-09-07,1718712000
2001-09-10,1738422000
2001-09-17,1907928000
2001-09-18,1836972000
2001-09-19,1851426000
2001-09-20,1905300000
2001-09-21,1860624000
2001-09-24,1892160000
2001-09-25,1854054000
2001-09-26,1867194000
2001-09-27,1999908000
2001-09-28,2040264000
2001-10-01,2036310000
2001-10-02,2017858000
2001-10-03,2073214000
2001-10-04,2049490000
2001-10-05,2089030000
2001-10-08,2118026000
2001-10-09,2244554000
2001-10-10,2292002000
2001-10-11,2326270000
2001-10-12,2372400000
2001-10-15,2351312000
2001-10-16,2326270000
2001-10-17,2181290000
2001-10-18,2198424000
2001-10-19,2292002000
2001-10-22,2211604000
2001-10-23,2179972000
2001-10-24,2143068000
2001-10-25,2120662000
2001-10-26,2157566000
2001-10-29,2203696000
2001-10-30,2178654000
2001-10-31,2198424000
2001-11-01,2201060000
2001-11-02,2244554000
2001-11-05,2235328000
2001-11-06,2218194000
2001-11-07,2237964000
2001-11-08,2178654000
2001-11-09,2119343999
2001-11-12,2106164000
2001-11-13,2102210000
2001-11-14,2052126000
2001-11-15,2050808000
2001-11-16,2038946000
2001-11-19,1986226000
2001-11-20,1988862000
2001-11-21,1980954000
2001-11-23,2070578000
2001-11-26,2114072000
2001-11-27,2096938000
2001-11-28,2054762000
2001-11-29,2045536000
2001-11-30,2045536000
2001-12-03,2023130000
2001-12-04,2066624000
2001-12-05,2086394000
2001-12-06,2100892000
2001-12-07,2092984000
2001-12-10,2058716000
2001-12-11,1990180000
2001-12-12,1974364000
2001-12-13,1922962000
2001-12-14,1922962000
2001-12-17,1907146000
2001-12-18,1900556000
2001-12-19,1853108000
2001-12-20,1792480000
2001-12-21,1808296000
2001-12-24,1809614000
2001-12-26,1838610000
2001-12-27,1930870000
2001-12-28,1935120000
2001-12-31,1958880000
2002-01-02,1944360000
2002-01-03,2001120000
2002-01-04,1983960000
2002-01-07,1974720000
2002-01-08,1973400000
2002-01-09,1940400000
2002-01-10,1954920000
2002-01-11,1964160000
2002-01-14,1936440000
2002-01-15,1940400000
2002-01-16,1945680000
2002-01-17,2055240000
2002-01-18,2088240000
2002-01-22,2123880000
2002-01-23,2137080000
2002-01-24,2181960000
2002-01-25,2096160000
2002-01-28,2134440000
2002-01-29,2118600000
2002-01-30,2171400000
2002-01-31,2246640000
2002-02-01,2247960000
2002-02-04,2216280000
2002-02-05,2188560000
2002-02-06,2171400000
2002-02-07,2082960000
2002-02-08,2134440000
2002-02-11,2189880000
2002-02-12,2176680000
2002-02-13,2168760000
2002-02-14,2113320000
2002-02-15,2125200000
2002-02-19,1947000000
2002-02-20,2121240000
2002-02-21,2080320000
2002-02-22,2133120000
2002-02-25,2214960000
2002-02-26,2154240000
2002-02-27,2160840000
2002-02-28,2199120000
2002-03-01,2253240000
2002-03-04,2369400000
2002-03-05,2337720000
2002-03-06,2333760000
2002-03-07,2373360000
2002-03-08,2303400000
2002-03-11,2320560000
2002-03-12,2225520000
2002-03-13,2238720000
2002-03-14,2240040000
2002-03-15,2241360000
2002-03-18,2240040000
2002-03-19,2208360000
2002-03-20,2212320000
2002-03-21,2196480000
2002-03-22,2191200000
2002-03-25,2176680000
2002-03-26,2212320000
2002-03-27,2236080000
2002-03-28,2306040000
2002-04-01,2292840000
2002-04-02,2257200000
2002-04-03,2237400000
2002-04-04,2277000000
2002-04-05,2279640000
2002-04-08,2288880000
2002-04-09,2266440000
2002-04-10,2310000000
2002-04-11,2288880000
2002-04-12,2283600000
2002-04-15,2261160000
2002-04-16,2391840000
2002-04-17,2472360000
2002-04-18,2370720000
2002-04-19,2391840000
2002-04-22,2341680000
2002-04-23,2242680000
2002-04-24,2211000000
2002-04-25,2266440000
2002-04-26,2224200000
2002-04-29,2228160000
2002-04-30,2325840000
2002-05-01,2329800000
2002-05-02,2325840000
2002-05-03,2329800000
2002-05-06,2307360000
2002-05-07,2299440000
2002-05-08,2312640000
2002-05-09,2306040000
2002-05-10,2184600000
2002-05-13,2341680000
2002-05-14,2418240000
2002-05-15,2386560000
2002-05-16,2402400000
2002-05-17,2420880000
2002-05-20,2445960000
2002-05-21,2386560000
2002-05-22,2386560000
2002-05-23,2390520000
2002-05-24,2390520000
2002-05-28,2376000000
2002-05-29,2366760000
2002-05-30,2386560000
2002-05-31,2422200000
2002-06-03,2394480000
2002-06-04,2406360000
2002-06-05,2415600000
2002-06-06,2390520000
2002-06-07,2412960000
2002-06-10,2419560000
2002-06-11,2418240000
2002-06-12,2405040000
2002-06-13,2383920000
2002-06-14,2374680000
2002-06-17,2430120000
2002-06-18,2447280000
2002-06-19,2426160000
2002-06-20,2402400000
2002-06-21,2407680000
2002-06-24,2424840000
2002-06-25,2390520000
2002-06-26,2311320000
2002-06-27,2306040000
2002-06-28,2334212000
2002-07-01,2232264000
2002-07-02,2250800000
2002-07-03,2221672000
2002-07-05,2248152000
2002-07-08,2248152000
2002-07-09,2262716000
2002-07-10,2213728000
2002-07-11,2228292000
2002-07-12,2252124000
2002-07-15,2228292000
2002-07-16,2362016000
2002-07-17,2358044000
2002-07-18,2318324000
2002-07-19,2238884000
2002-07-22,2216376000
2002-07-23,2185924000
2002-07-24,2130316000
2002-07-25,2053524000
2002-07-26,1995268000
2002-07-29,2015128000
2002-07-30,2004536000
2002-07-31,2068088000
2002-08-01,2027044000
2002-08-02,1987324000
2002-08-05,1899940000
2002-08-06,2027044000
2002-08-07,2074708000
2002-08-08,2148852000
2002-08-09,2158120000
2002-08-12,2146204000
2002-08-13,2061468000
2002-08-14,2125020000
2002-08-15,2188572000
2002-08-16,2238884000
2002-08-19,2258744000
2002-08-20,2270660000
2002-08-21,2196516000
2002-08-22,2197840000
2002-08-23,2167388000
2002-08-26,2162092000
2002-08-27,2080004000
2002-08-28,2032340000
2002-08-29,2064116000
2002-08-30,2057496000
2002-09-03,2027044000
2002-09-04,2042932000
2002-09-05,2005860000
2002-09-06,2052200000
2002-09-09,2060144000
2002-09-10,2176656000
2002-09-11,2154148000
2002-09-12,2097216000
2002-09-13,2109132000
2002-09-16,2109132000
2002-09-17,2083976000
2002-09-18,2066764000
2002-09-19,2040284000
2002-09-20,2070736000
2002-09-23,2091920000
2002-09-24,2080004000
2002-09-25,2128991999
2002-09-26,2170036000
2002-09-27,2151500000
2002-09-30,2156796000
2002-10-01,2212404000
2002-10-02,2158120000
2002-10-03,2205784000
2002-10-04,2164740000
2002-10-07,2164740000
2002-10-08,2080004000
2002-10-09,2070736000
2002-10-10,2077356000
2002-10-11,2125020000
2002-10-14,2147528000
2002-10-15,2174008000
2002-10-16,1803288000
2002-10-17,1804612000
2002-10-18,1702664000
2002-10-21,1735764000
2002-10-22,1749004000
2002-10-23,1770188000
2002-10-24,1710608000
2002-10-25,1719876000
2002-10-28,1723848000
2002-10-29,1697368000
2002-10-30,1725172000
2002-10-31,1698692000
2002-11-01,1717228000
2002-11-04,1770188000
2002-11-05,1719876000
2002-11-06,1764892000
2002-11-07,1734440000
2002-11-08,1734440000
2002-11-11,1648380000
2002-11-12,1690748000
2002-11-13,1672212000
2002-11-14,1689424000
2002-11-15,1661620000
2002-11-18,1648380000
2002-11-19,1609984000
2002-11-20,1632492000
2002-11-21,1688100000
2002-11-22,1705312000
2002-11-25,1730468000
2002-11-26,1690748000
2002-11-27,1719876000
2002-11-29,1734440000
2002-12-02,1703988000
2002-12-03,1692072000
2002-12-04,1664268000
2002-12-05,1655000000
2002-12-06,1661620000
2002-12-09,1595420000
2002-12-10,1587476000
2002-12-11,1598068000
2002-12-12,1624548000
2002-12-13,1592772000
2002-12-16,1609984000
2002-12-17,1587476000
2002-12-18,1564968000
2002-12-19,1576884000
2002-12-20,1591448000
2002-12-23,1609984000
2002-12-24,1616604000
2002-12-26,1639112000
2002-12-27,1647056000
2002-12-30,1680156000
2002-12-31,1693396000
2003-01-02,1711932000
2003-01-03,1735764000
2003-01-06,1811232000
2003-01-07,1815204000
2003-01-08,1776808000
2003-01-09,1784752000
2003-01-10,1845656000
2003-01-13,1861544000
2003-01-14,1864192000
2003-01-15,2004536000
2003-01-16,2021748000
2003-01-17,2017776000
2003-01-21,1972760000
2003-01-22,1944956000
2003-01-23,1913180000
2003-01-24,1893320000
2003-01-27,1874784000
2003-01-28,1966140000
2003-01-29,1942308000
2003-01-30,1996592000
2003-01-31,2009832000
2003-02-03,2027044000
2003-02-04,1979380000
2003-02-05,1955548000
2003-02-06,1939660000
2003-02-07,1942308000
2003-02-10,1983352000
2003-02-11,1978056000
2003-02-12,1933040000
2003-02-13,1890672000
2003-02-14,1931716000
2003-02-18,1958196000
2003-02-19,1938336000
2003-02-20,1960844000
2003-02-21,1999240000
2003-02-24,1967464000
2003-02-25,1947604000
2003-02-26,1926420000
2003-02-27,1930392000
2003-02-28,1930392000
2003-03-03,1915828000
2003-03-04,1992620000
2003-03-05,1991296000
2003-03-06,1983352000
2003-03-07,1944956000
2003-03-10,1751652000
2003-03-11,1713256000
2003-03-12,1674860000
2003-03-13,1730468000
2003-03-14,1771512000
2003-03-17,1836388000
2003-03-18,1832416000
2003-03-19,1831092000
2003-03-20,1857572000
2003-03-21,1910532000
2003-03-24,1843008000
2003-03-25,1809908000
2003-03-26,1791372000
2003-03-27,1809908000
2003-03-28,1803288000
2003-03-31,1788724000
2003-04-01,1794020000
2003-04-02,1792696000
2003-04-03,1756948000
2003-04-04,1746356000
2003-04-07,1803288000
2003-04-08,1747680000
2003-04-09,1730468000
2003-04-10,1755624000
2003-04-11,1756948000
2003-04-14,1762244000
2003-04-15,1829768000
2003-04-16,1790048000
2003-04-17,1808584000
2003-04-21,1839036000
2003-04-22,1852276000
2003-04-23,1858896000
2003-04-24,1854924000
2003-04-25,1796668000
2003-04-28,1804612000
2003-04-29,1812556000
2003-04-30,1839036000
2003-05-01,1784752000
2003-05-02,1817852000
2003-05-05,1858896000
2003-05-06,1846980000
2003-05-07,1853600000
2003-05-08,1845656000
2003-05-09,1894644000
2003-05-12,1890672000
2003-05-13,1886700000
2003-05-14,1846980000
2003-05-15,1914504000
2003-05-16,1891996000
2003-05-19,1848304000
2003-05-20,1858896000
2003-05-21,1872136000
2003-05-22,1874784000
2003-05-23,1889348000
2003-05-27,1939660000
2003-05-28,1934364000
2003-05-29,1944956000
2003-05-30,1951576000
2003-06-02,1950252000
2003-06-03,1960844000
2003-06-04,1989972000
2003-06-05,2012480000
2003-06-06,2019100000
2003-06-09,1993944000
2003-06-10,2025720000
2003-06-11,2011156000
2003-06-12,2020424000
2003-06-13,1997916000
2003-06-16,2032340000
2003-06-17,2060144000
2003-06-18,2082652000
2003-06-19,2077356000
2003-06-20,2099864000
2003-06-23,2045580000
2003-06-24,2004536000
2003-06-25,2013804000
2003-06-26,1978056000
2003-06-27,1971762000
2003-06-30,1938612000
2003-07-01,1978392000
2003-07-02,1975740000
2003-07-03,1947894000
2003-07-07,1981044000
2003-07-08,1959828000
2003-07-09,1996956000
2003-07-10,1933308000
2003-07-11,1961154000
2003-07-14,1986348000
2003-07-15,1974414000
2003-07-16,1916070000
2003-07-17,1884246000
2003-07-18,1889550000
2003-07-21,1906788000
2003-07-22,1982370000
2003-07-23,1994304000
2003-07-24,2038062000
2003-07-25,2012868000
2003-07-28,2057952000
2003-07-29,2079168000
2003-07-30,2096406000
2003-07-31,2088450000
2003-08-01,2073864000
2003-08-04,2073864000
2003-08-05,2010216000
2003-08-06,1992978000
2003-08-07,1959828000
2003-08-08,1953198000
2003-08-11,1947894000
2003-08-12,1969110000
2003-08-13,1958502000
2003-08-14,2018172000
2003-08-15,2024802000
2003-08-18,2038062000
2003-08-19,2088450000
2003-08-20,2076516000
2003-08-21,2109666000
2003-08-22,2100384000
2003-08-25,2124252000
2003-08-26,2105688000
2003-08-27,2104362000
2003-08-28,2125578000
2003-08-29,2141489999
2003-09-02,2195856000
2003-09-03,2203812000
2003-09-04,2275416000
2003-09-05,2244918000
2003-09-08,2263482000
2003-09-09,2242266000
2003-09-10,2199834000
2003-09-11,2199834000
2003-09-12,2193204000
2003-09-15,2193204000
2003-09-16,2238288000
2003-09-17,2270112000
2003-09-18,2316522000
2003-09-19,2343042000
2003-09-22,2300610000
2003-09-23,2276742000
2003-09-24,2213094000
2003-09-25,2177292000
2003-09-26,2194530000
2003-09-29,2219724000
2003-09-30,2308566000
2003-10-01,2323152000
2003-10-02,2316522000
2003-10-03,2317848000
2003-10-06,2329782000
2003-10-07,2320500000
2003-10-08,2332434000
2003-10-09,2337738000
2003-10-10,2353650000
2003-10-13,2308566000
2003-10-14,2336412000
2003-10-15,2333760000
2003-10-16,2329782000
2003-10-17,2297958000
2003-10-20,2305914000
2003-10-21,2305914000
2003-10-22,2284698000
2003-10-23,2292654000
2003-10-24,2297958000
2003-10-27,2311218000
2003-10-28,2347020000
2003-10-29,2373540000
2003-10-30,2414646000
2003-10-31,2401386000
2003-11-03,2449122000
2003-11-04,2463708000
2003-11-05,2445144000
2003-11-06,2470338000
2003-11-07,2459730000
2003-11-10,2409342000
2003-11-11,2394756000
2003-11-12,2443818000
2003-11-13,2435862000
2003-11-14,2378844000
2003-11-17,2370888000
2003-11-18,2372214000
2003-11-19,2372214000
2003-11-20,2386800000
2003-11-21,2388126000
2003-11-24,2458404000
2003-11-25,2486250000
2003-11-26,2480946000
2003-11-28,2500836000
2003-12-01,2528682000
2003-12-02,2532660000
2003-12-03,2476968000
2003-12-04,2438514000
2003-12-05,2411994000
2003-12-08,2430558000
2003-12-09,2392104000
2003-12-10,2405364000
2003-12-11,2479620000
2003-12-12,2472990000
2003-12-15,2466360000
2003-12-16,2438514000
2003-12-17,2451774000
2003-12-18,2459730000
2003-12-19,2435862000
2003-12-22,2434536000
2003-12-23,2425254000
2003-12-24,2426580000
2003-12-26,2437188000
2003-12-29,2492880000
2003-12-30,2471664000
2003-12-31,2447796000
2004-01-02,2467936000
2004-01-05,2538108000
2004-01-06,2551348000
2004-01-07,2493092000
2004-01-08,2493092000
2004-01-09,2522220000
2004-01-12,2556644000
2004-01-13,2580476000
2004-01-14,2610928000
2004-01-15,2585772000
2004-01-16,2608280000
2004-01-20,3062412000
2004-01-21,3181572000
2004-01-22,3133908000
2004-01-23,3070356000
2004-01-26,3165684000
2004-01-27,3115372000
2004-01-28,3075652000
2004-01-29,3102132000
2004-01-30,3135232000
2004-02-02,3124640000
2004-02-03,3149796000
2004-02-04,3112724000
2004-02-05,3110076000
2004-02-06,3136556000
2004-02-09,3157740000
2004-02-10,3212024000
2004-02-11,3235856000
2004-02-12,3234532000
2004-02-13,3143176000
2004-02-17,3169656000
2004-02-18,3163036000
2004-02-19,3180248000
2004-02-20,3073004000
2004-02-23,3018720000
2004-02-24,2993564000
2004-02-25,3020044000
2004-02-26,3083596000
2004-02-27,3043876000
2004-03-01,3083596000
2004-03-02,3074328000
2004-03-03,3042552000
2004-03-04,3017396000
2004-03-05,3043876000
2004-03-08,2971056000
2004-03-09,2937956000
2004-03-10,2882348000
2004-03-11,2861164000
2004-03-12,2953844000
2004-03-15,2877052000
2004-03-16,2878376000
2004-03-17,2891616000
2004-03-18,2908828000
2004-03-19,2963112000
2004-03-22,2931336000
2004-03-23,2926040000
2004-03-24,2882348000
2004-03-25,2988268000
2004-03-26,3039904000
2004-03-29,3133908000
2004-03-30,3149796000
2004-03-31,3118020000
2004-04-01,3186868000
2004-04-02,3237180000
2004-04-05,3266308000
2004-04-06,3219968000
2004-04-07,3254392000
2004-04-08,3233208000
2004-04-12,3219968000
2004-04-13,3151120000
2004-04-14,3095512000
2004-04-15,3091540000
2004-04-16,3091540000
2004-04-19,3124640000
2004-04-20,3053144000
2004-04-21,3125964000
2004-04-22,3124640000
2004-04-23,3080948000
2004-04-26,3076976000
2004-04-27,2988268000
2004-04-28,2949872000
2004-04-29,2907504000
2004-04-30,2902208000
2004-05-03,2862488000
2004-05-04,2882348000
2004-05-05,2888968000
2004-05-06,2828064000
2004-05-07,2814824000
2004-05-10,2765836000
2004-05-11,2794964000
2004-05-12,2763188000
2004-05-13,2794964000
2004-05-14,2785696000
2004-05-17,2743328000
2004-05-18,2749948000
2004-05-19,2765836000
2004-05-20,2816148000
2004-05-21,2821444000
2004-05-24,2851896000
2004-05-25,2891616000
2004-05-26,2939280000
2004-05-27,2943252000
2004-05-28,2976352000
2004-06-01,2953844000
2004-06-02,2951196000
2004-06-03,2922068000
2004-06-04,2953844000
2004-06-07,2979000000
2004-06-08,2972380000
2004-06-09,2968408000
2004-06-10,2982972000
2004-06-14,2914124000
2004-06-15,3005480000
2004-06-16,3035932000
2004-06-17,3065060000
2004-06-18,3079624000
2004-06-21,3046524000
2004-06-22,3059764000
2004-06-23,3112724000
2004-06-24,3116696000
2004-06-25,3145824000
2004-06-28,3165684000
2004-06-29,3214672000
2004-06-30,3268956000
2004-07-01,3192164000
2004-07-02,3207825000
2004-07-06,3103150000
2004-07-07,3127000000
2004-07-08,3117725000
2004-07-09,3141575000
2004-07-12,3117725000
2004-07-13,3133625000
2004-07-14,3109775000
2004-07-15,3071350000
2004-07-16,3048825000
2004-07-19,3051475000
2004-07-20,3068700000
2004-07-21,2975950000
2004-07-22,3003775000
2004-07-23,2930900000
2004-07-26,2895125000
2004-07-27,2922950000
2004-07-28,2913675000
2004-07-29,3083275000
2004-07-30,3060750000
2004-08-02,3093875000
2004-08-03,3092550000
2004-08-04,3103150000
2004-08-05,3015700000
2004-08-06,2944150000
2004-08-09,2950775000
2004-08-10,2995825000
2004-08-11,2900425000
2004-08-12,2824900000
2004-08-13,2807675000
2004-08-16,2891150000
2004-08-17,2903075000
2004-08-18,2945475000
2004-08-19,2961375000
2004-08-20,3010400000
2004-08-23,3031600000
