,ROST
2001-01-19,1573312000
2001-01-22,1650688000
2001-01-23,1695824000
2001-01-24,1682928000
2001-01-25,1702272000
2001-01-26,1650688000
2001-01-29,1753856000
2001-01-30,1753856000
2001-01-31,1844128000
2001-02-01,1831232000
2001-02-02,1747408000
2001-02-05,1766072000
2001-02-06,1798182400
2001-02-07,1913779840
2001-02-08,1798182400
2001-02-09,1663318720
2001-02-12,1663318720
2001-02-13,1663318720
2001-02-14,1663318720
2001-02-15,1663318720
2001-02-16,1701851200
2001-02-20,1823870720
2001-02-21,1733961600
2001-02-22,1721117440
2001-02-23,1721117440
2001-02-26,1823870720
2001-02-27,1772494079
2001-02-28,1689007040
2001-03-01,1663318720
2001-03-02,1669740800
2001-03-05,1676162880
2001-03-06,1708273280
2001-03-07,1733961600
2001-03-08,1746805760
2001-03-09,1746805760
2001-03-12,1689007040
2001-03-13,1669740800
2001-03-14,1618364160
2001-03-15,1611942079
2001-03-16,1573409600
2001-03-19,1650474560
2001-03-20,1663318720
2001-03-21,1637630400
2001-03-22,1586253760
2001-03-23,1592675840
2001-03-26,1592675840
2001-03-27,1579831680
2001-03-28,1515610880
2001-03-29,1547721280
2001-03-30,1502766720
2001-04-02,1528455040
2001-04-03,1489922560
2001-04-04,1547721280
2001-04-05,1618364160
2001-04-06,1560565440
2001-04-09,1599097920
2001-04-10,1554143360
2001-04-11,1451390079
2001-04-12,1502766720
2001-04-16,1541299200
2001-04-17,1592675840
2001-04-18,1701851200
2001-04-19,1746805760
2001-04-20,1740383680
2001-04-23,1701851200
2001-04-24,1676162880
2001-04-25,1682584960
2001-04-26,1778916160
2001-04-27,1804604480
2001-04-30,1766072000
2001-05-01,1804604480
2001-05-02,1753227840
2001-05-03,1753227840
2001-05-04,1746805760
2001-05-07,1740081920
2001-05-08,1720889840
2001-05-09,1688903040
2001-05-10,1804055520
2001-05-11,1804055520
2001-05-14,1804055520
2001-05-15,1868029120
2001-05-16,1963989520
2001-05-17,1932002720
2001-05-18,1957592160
2001-05-21,1976784240
2001-05-22,1944797440
2001-05-23,1919208000
2001-05-24,1912810640
2001-05-25,1900015920
2001-05-29,1868029120
2001-05-30,1848837040
2001-05-31,1912810640
2001-06-01,1983181600
2001-06-04,1957592160
2001-06-05,1970386880
2001-06-06,1951194800
2001-06-07,1932002720
2001-06-08,1957592160
2001-06-11,1919208000
2001-06-12,1919208000
2001-06-13,1868029120
2001-06-14,1887221200
2001-06-15,1855234400
2001-06-18,1874426480
2001-06-19,1919208000
2001-06-20,1944797440
2001-06-21,2015168400
2001-06-22,2002373680
2001-06-25,1912810640
2001-06-26,1932002720
2001-06-27,1938400079
2001-06-28,1970386880
2001-06-29,1912810640
2001-07-02,1970386880
2001-07-03,1995976320
2001-07-05,1919208000
2001-07-06,1887221200
2001-07-09,1906413280
2001-07-10,1740081920
2001-07-11,1804055520
2001-07-12,1836042320
2001-07-13,1855234400
2001-07-16,1874426480
2001-07-17,1848837040
2001-07-18,1829644960
2001-07-19,1855234400
2001-07-20,1874426480
2001-07-23,1880823840
2001-07-24,1842439680
2001-07-25,1842439680
2001-07-26,1842439680
2001-07-27,1836042320
2001-07-30,1848837040
2001-07-31,1880823840
2001-08-01,1868029120
2001-08-02,1887221200
2001-08-03,1880823840
2001-08-06,1873442000
2001-08-07,1892624000
2001-08-08,1924593999
2001-08-09,2014110000
2001-08-10,2103626000
2001-08-13,2148384000
2001-08-14,2180354000
2001-08-15,2212324000
2001-08-16,2237900000
2001-08-17,2205930000
2001-08-20,2218718000
2001-08-21,2154778000
2001-08-22,2250688000
2001-08-23,2314628000
2001-08-24,2359386000
2001-08-27,2340204000
2001-08-28,2333810000
2001-08-29,2378568000
2001-08-30,2397750000
2001-08-31,2340204000
2001-09-04,2404144000
2001-09-05,2372174000
2001-09-06,2423326000
2001-09-07,2276264000
2001-09-10,2244294000
2001-09-17,2033292000
2001-09-18,2033292000
2001-09-19,2148384000
2001-09-20,2103626000
2001-09-21,2065262000
2001-09-24,2135596000
2001-09-25,2301840000
2001-09-26,2244294000
2001-09-27,2308234000
2001-09-28,2340204000
2001-10-01,2404144000
2001-10-02,2442508000
2001-10-03,2474478000
2001-10-04,2365780000
2001-10-05,2340204000
2001-10-08,2321022000
2001-10-09,2346598000
2001-10-10,2416932000
2001-10-11,2480872000
2001-10-12,2416932000
2001-10-15,2455296000
2001-10-16,2448902000
2001-10-17,2423326000
2001-10-18,2404144000
2001-10-19,2461690000
2001-10-22,2500054000
2001-10-23,2557600000
2001-10-24,2487266000
2001-10-25,2544812000
2001-10-26,2570387999
2001-10-29,2525630000
2001-10-30,2429720000
2001-10-31,2500054000
2001-11-01,2563994000
2001-11-02,2544812000
2001-11-05,2539744000
2001-11-06,2584189520
2001-11-07,2596888240
2001-11-08,2387359360
2001-11-09,2247673440
2001-11-12,2311167040
2001-11-13,2311167040
2001-11-14,2412756800
2001-11-15,2469901040
2001-11-16,2260372160
2001-11-19,2355612560
2001-11-20,2279420240
2001-11-21,2266721520
2001-11-23,2273070880
2001-11-26,2266721520
2001-11-27,2234974720
2001-11-28,2203227920
2001-11-29,2196878560
2001-11-30,2241324080
2001-12-03,2196878560
2001-12-04,2292118960
2001-12-05,2393708720
2001-12-06,2431804880
2001-12-07,2381010000
2001-12-10,2419106160
2001-12-11,2387359360
2001-12-12,2374660640
2001-12-13,2368311280
2001-12-14,2368311280
2001-12-17,2304817680
2001-12-18,2292118960
2001-12-19,2400058080
2001-12-20,2431804880
2001-12-21,2495298480
2001-12-24,2527045280
2001-12-26,2603237600
2001-12-27,2634984400
2001-12-28,2577840159
2001-12-31,2546093360
2002-01-02,2590538880
2002-01-03,2565141440
2002-01-04,2666731200
2002-01-07,2660381840
2002-01-08,2673080560
2002-01-09,2717526080
2002-01-10,2673080560
2002-01-11,2577840159
2002-01-14,2546093360
2002-01-15,2622285680
2002-01-16,2628635040
2002-01-17,2584189520
2002-01-18,2546093360
2002-01-22,2596888240
2002-01-23,2717526080
2002-01-24,2781019680
2002-01-25,2774670320
2002-01-28,2825465200
2002-01-29,2768320960
2002-01-30,2844513280
2002-01-31,2882609440
2002-02-01,2819115840
2002-02-04,2776048000
2002-02-05,2782357200
2002-02-06,2725574400
2002-02-07,2801284800
2002-02-08,2839140000
2002-02-11,2914850400
2002-02-12,2889613600
2002-02-13,2908541200
2002-02-14,2845449200
2002-02-15,2895922800
2002-02-19,2883304400
2002-02-20,2832830800
2002-02-21,2889613600
2002-02-22,2883304400
2002-02-25,2864376800
2002-02-26,2839140000
2002-02-27,2883304400
2002-02-28,2845449200
2002-03-01,2914850400
2002-03-04,2782357200
2002-03-05,2649864000
2002-03-06,2757120400
2002-03-07,2864376800
2002-03-08,2965324000
2002-03-11,2959014800
2002-03-12,2959014800
2002-03-13,2933778000
2002-03-14,2940087200
2002-03-15,3047343600
2002-03-18,3015797600
2002-03-19,3003179200
2002-03-20,3003179200
2002-03-21,2977942400
2002-03-22,2996870000
2002-03-25,2921159600
2002-03-26,2927468800
2002-03-27,2933778000
2002-03-28,2984251600
2002-04-01,2845449200
2002-04-02,2763429600
2002-04-03,2813903200
2002-04-04,2839140000
2002-04-05,2883304400
2002-04-08,2940087200
2002-04-09,2908541200
2002-04-10,3028416000
2002-04-11,2990560800
2002-04-12,3034725199
2002-04-15,3022106800
2002-04-16,3072580400
2002-04-17,3085198800
2002-04-18,3116744800
2002-04-19,3123054000
2002-04-22,3154600000
2002-04-23,3160909200
2002-04-24,3066271200
2002-04-25,3141981600
2002-04-26,3160909200
2002-04-29,3141981600
2002-04-30,3205073600
2002-05-01,3179836800
2002-05-02,3198764400
2002-05-03,3217692000
2002-05-06,3149909439
2002-05-07,3187557760
2002-05-08,3225206080
2002-05-09,3124810560
2002-05-10,3124810560
2002-05-13,3175008319
2002-05-14,3244030240
2002-05-15,3294228000
2002-05-16,3350700480
2002-05-17,3369524640
2002-05-20,3281678560
2002-05-21,3175008319
2002-05-22,3256579680
2002-05-23,3275403840
2002-05-24,3256579680
2002-05-28,3231480800
2002-05-29,3231480800
2002-05-30,3181283040
2002-05-31,3306777439
2002-06-03,3244030240
2002-06-04,3218931360
2002-06-05,3218931360
2002-06-06,3212656640
2002-06-07,3275403840
2002-06-10,3294228000
2002-06-11,3306777439
2002-06-12,3407172960
2002-06-13,3356975200
2002-06-14,3363249920
2002-06-17,3425997120
2002-06-18,3363249920
2002-06-19,3394623520
2002-06-20,3419722400
2002-06-21,3331876319
2002-06-24,3269129120
2002-06-25,3218931360
2002-06-26,3237755520
2002-06-27,3250304960
2002-06-28,3193832480
2002-07-01,3149909439
2002-07-02,3068338080
2002-07-03,3055788640
2002-07-05,3162458880
2002-07-08,3156184160
2002-07-09,3143634720
2002-07-10,3118535840
2002-07-11,3093436960
2002-07-12,2911470080
2002-07-15,2911470080
2002-07-16,2854997600
2002-07-17,3005590880
2002-07-18,3049513920
2002-07-19,2930294240
2002-07-22,2892645920
2002-07-23,2829898720
2002-07-24,3062063360
2002-07-25,3005590880
2002-07-26,3080887520
2002-07-29,3225206080
2002-07-30,3143634720
2002-07-31,2955393120
2002-08-01,2829898720
2002-08-02,2679305439
2002-08-05,2542802080
2002-08-06,2623624640
2002-08-07,2629841760
2002-08-08,2741749920
2002-08-09,2698230080
2002-08-12,2648493120
2002-08-13,2667144480
2002-08-14,2735532800
2002-08-15,2822572480
2002-08-16,2872309440
2002-08-19,2928263520
2002-08-20,2878526560
2002-08-21,2971783360
2002-08-22,2915829280
2002-08-23,2878526560
2002-08-26,2934480640
2002-08-27,2810138239
2002-08-28,2729315680
2002-08-29,2791486880
2002-08-30,2803921120
2002-09-03,2692012960
2002-09-04,2803921120
2002-09-05,2822572480
2002-09-06,3021520320
2002-09-09,3089908640
2002-09-10,3108560000
2002-09-11,3158296960
2002-09-12,3089908640
2002-09-13,3176948320
2002-09-16,3263988000
2002-09-17,3120994239
2002-09-18,3189382560
2002-09-19,3096125760
2002-09-20,3071257280
2002-09-23,2922046400
2002-09-24,2909612160
2002-09-25,2928263520
2002-09-26,2971783360
2002-09-27,2872309440
2002-09-30,2772835520
2002-10-01,2741749920
2002-10-02,2766618400
2002-10-03,2685795840
2002-10-04,2704447200
2002-10-07,2685795840
2002-10-08,2835006719
2002-10-09,2772835520
2002-10-10,2965566239
2002-10-11,3083691520
2002-10-14,3077474400
2002-10-15,3189382560
2002-10-16,3127211360
2002-10-17,3257770880
2002-10-18,3338593440
2002-10-21,3388330400
2002-10-22,3413198880
2002-10-23,3444284480
2002-10-24,3394547520
2002-10-25,3481587200
2002-10-28,3388330400
2002-10-29,3351027680
2002-10-30,3263988000
2002-10-31,3251553760
2002-11-01,3425633120
2002-11-04,3358733580
2002-11-05,3414609000
2002-11-06,3439442520
2002-11-07,3302858160
2002-11-08,3333900060
2002-11-11,3240774360
2002-11-12,3302858160
2002-11-13,3358733580
2002-11-14,3414609000
2002-11-15,3489109560
2002-11-18,3389775480
2002-11-19,3327691680
2002-11-20,3439442520
2002-11-21,3489109560
2002-11-22,3544984980
2002-11-25,3532568220
2002-11-26,3482901180
2002-11-27,3619485540
2002-11-29,3588443640
2002-12-02,3582235259
2002-12-03,3538776600
2002-12-04,3489109560
2002-12-05,3482901180
2002-12-06,3458067660
2002-12-09,3395983860
2002-12-10,3389775480
2002-12-11,3451859279
2002-12-12,3458067660
2002-12-13,3458067660
2002-12-16,3520151460
2002-12-17,3458067660
2002-12-18,3427025759
2002-12-19,3420817380
2002-12-20,3296649779
2002-12-23,3215940840
2002-12-24,3203524080
2002-12-26,3215940840
2002-12-27,3178690560
2002-12-30,3253191120
2002-12-31,3290441400
2003-01-02,3352525200
2003-01-03,3327691680
2003-01-06,3333900060
2003-01-07,3414609000
2003-01-08,3445650900
2003-01-09,3569818500
2003-01-10,3638110680
2003-01-13,3638110680
2003-01-14,3631902300
2003-01-15,3576026880
2003-01-16,3557401740
2003-01-17,3470484420
2003-01-21,3427025759
2003-01-22,3346316820
2003-01-23,3364941960
2003-01-24,3246982740
2003-01-27,3004855920
2003-01-28,3029689440
2003-01-29,3035897820
2003-01-30,2998647540
2003-01-31,3029689440
2003-02-03,3045095040
2003-02-04,2995781760
2003-02-05,2940304319
2003-02-06,2983453440
2003-02-07,2835513600
2003-02-10,2835513600
2003-02-11,2823185280
2003-02-12,2804692800
2003-02-13,2767707840
2003-02-14,2798528640
2003-02-18,2829349440
2003-02-19,2730722880
2003-02-20,2681409600
2003-02-21,2699902080
2003-02-24,2638260480
2003-02-25,2675245440
2003-02-26,2601275520
2003-02-27,2601275520
2003-02-28,2638260480
2003-03-03,2644424640
2003-03-04,2564290560
2003-03-05,2576618880
2003-03-06,2539633920
2003-03-07,2632096319
2003-03-10,2601275520
2003-03-11,2613603840
2003-03-12,2576618880
2003-03-13,2761543680
2003-03-14,2780036160
2003-03-17,2847841920
2003-03-18,2878662720
2003-03-19,2786200319
2003-03-20,2927976000
2003-03-21,3014274240
2003-03-24,2915647680
2003-03-25,2977289280
2003-03-26,2897155200
2003-03-27,2897155200
2003-03-28,2810856959
2003-03-31,2780036160
2003-04-01,2810856959
2003-04-02,2903319360
2003-04-03,2927976000
2003-04-04,2909483520
2003-04-07,2909483520
2003-04-08,2890991040
2003-04-09,2817021120
2003-04-10,2934140160
2003-04-11,2878662720
2003-04-14,2878662720
2003-04-15,2884826880
2003-04-16,2841677760
2003-04-17,2847841920
2003-04-21,2798528640
2003-04-22,2921811840
2003-04-23,2866334400
2003-04-24,2841677760
2003-04-25,2823185280
2003-04-28,2860170240
2003-04-29,2884826880
2003-04-30,2921811840
2003-05-01,2854006080
2003-05-02,2921811840
2003-05-05,2928768000
2003-05-06,2940971200
2003-05-07,2886056800
2003-05-08,3044698400
2003-05-09,3056901600
2003-05-12,3258254400
2003-05-13,3197238400
2003-05-14,3124019200
2003-05-15,3075206400
2003-05-16,3014190400
2003-05-19,3001987200
2003-05-20,3020292000
2003-05-21,3020292000
2003-05-22,3069104800
2003-05-23,3056901600
2003-05-27,3081308000
2003-05-28,3124019200
2003-05-29,3081308000
2003-05-30,3221644800
2003-06-02,3233848000
2003-06-03,3197238400
2003-06-04,3258254400
2003-06-05,3355880000
2003-06-06,3258254400
2003-06-09,3178933600
2003-06-10,3233848000
2003-06-11,3203340000
2003-06-12,3178933600
2003-06-13,3142324000
2003-06-16,3160628800
2003-06-17,3172832000
2003-06-18,3191136800
2003-06-19,3154527200
2003-06-20,3233848000
2003-06-23,3276559200
2003-06-24,3270457600
2003-06-25,3270457600
2003-06-26,3264356000
2003-06-27,3276559200
2003-06-30,3276559200
2003-07-01,3282660800
2003-07-02,3270457600
2003-07-03,3252152800
2003-07-07,3355880000
2003-07-08,3453505600
2003-07-09,3368083199
2003-07-10,3270457600
2003-07-11,3276559200
2003-07-14,3349778400
2003-07-15,3398591200
2003-07-16,3404692800
2003-07-17,3349778400
2003-07-18,3410794400
2003-07-21,3349778400
2003-07-22,3374184800
2003-07-23,3416896000
2003-07-24,3337575200
2003-07-25,3368083199
2003-07-28,3429099200
2003-07-29,3386388000
2003-07-30,3331473600
2003-07-31,3465708800
2003-08-01,3471810400
2003-08-04,3485721600
2003-08-05,3400999200
2003-08-06,3425205600
2003-08-07,3467566800
2003-08-08,3419154000
2003-08-11,3407050800
2003-08-12,3534134400
2003-08-13,3522031200
2003-08-14,3540186000
2003-08-15,3588598800
2003-08-18,3643063199
2003-08-19,3630960000
2003-08-20,3594650400
2003-08-21,3667269600
2003-08-22,3582547200
2003-08-25,3624908400
2003-08-26,3643063199
2003-08-27,3679372800
2003-08-28,3806456400
2003-08-29,3800404800
2003-09-02,3897230400
2003-09-03,3897230400
2003-09-04,3794353199
2003-09-05,3691476000
2003-09-08,3703579200
2003-09-09,3582547200
2003-09-10,3582547200
2003-09-11,3673321200
2003-09-12,3673321200
2003-09-15,3679372800
2003-09-16,3770146800
2003-09-17,3703579200
2003-09-18,3764095200
2003-09-19,3739888800
2003-09-22,3655166400
2003-09-23,3703579200
2003-09-24,3649114800
2003-09-25,3618856800
2003-09-26,3576495600
2003-09-29,3528082800
2003-09-30,3509928000
2003-10-01,3649114800
2003-10-02,3685424400
2003-10-03,3788301600
2003-10-06,3782250000
2003-10-07,3800404800
2003-10-08,3830662800
2003-10-09,3988004400
2003-10-10,3933540000
2003-10-13,4006159200
2003-10-14,4030365600
2003-10-15,3981952800
2003-10-16,4006159200
2003-10-17,3927488400
2003-10-20,4024314000
2003-10-21,3921436800
2003-10-22,3854869200
2003-10-23,3897230400
2003-10-24,3885127200
2003-10-27,3903282000
2003-10-28,3909333600
2003-10-29,3842766000
2003-10-30,3800404800
2003-10-31,3788301600
2003-11-03,3936858640
2003-11-04,3900685360
2003-11-05,3930829759
2003-11-06,4051407360
2003-11-07,4009205200
2003-11-10,4003176320
2003-11-11,4033320720
2003-11-12,4087580640
2003-11-13,4057436240
2003-11-14,3973031920
2003-11-17,3967003040
2003-11-18,3930829759
2003-11-19,3888627600
2003-11-20,3960974160
2003-11-21,4027291840
2003-11-24,4135811680
2003-11-25,4141840560
2003-11-26,4135811680
2003-11-28,4129782800
2003-12-01,4214187120
2003-12-02,4063465120
2003-12-03,4033320720
2003-12-04,4051407360
2003-12-05,3985089680
2003-12-08,4015234080
2003-12-09,3967003040
2003-12-10,3960974160
2003-12-11,4069494000
2003-12-12,4039349600
2003-12-15,3942887520
2003-12-16,3948916400
2003-12-17,4045378480
2003-12-18,4069494000
2003-12-19,3991118560
2003-12-22,4015234080
2003-12-23,4003176320
2003-12-24,3960974160
2003-12-26,4015234080
2003-12-29,4021262960
2003-12-30,4021262960
2003-12-31,3991118560
2004-01-02,3936858640
2004-01-05,4081551759
2004-01-06,4129782800
2004-01-07,4178013840
2004-01-08,4226244880
2004-01-09,4238302640
2004-01-12,4208158240
2004-01-13,4226244880
2004-01-14,4292562560
2004-01-15,4340793600
2004-01-16,4304620320
2004-01-20,4238302640
2004-01-21,4292562560
2004-01-22,4280504800
2004-01-23,4226244880
2004-01-26,4220216000
2004-01-27,4135811680
2004-01-28,4039349600
2004-01-29,4178013840
2004-01-30,4196100480
2004-02-02,4244884800
2004-02-03,4232893600
2004-02-04,4214906800
2004-02-05,4352805600
2004-02-06,4526678000
2004-02-09,4562651600
2004-02-10,4580638400
2004-02-11,4622607600
2004-02-12,4622607600
2004-02-13,4514686800
2004-02-17,4658581200
2004-02-18,4676568000
2004-02-19,4556656000
2004-02-20,4598625200
2004-02-23,4616612000
2004-02-24,4724532800
2004-02-25,4808471200
2004-02-26,4820462399
2004-02-27,4802475600
2004-03-01,4922387600
2004-03-02,4826458000
2004-03-03,4754510800
2004-03-04,4460726400
2004-03-05,4472717600
2004-03-08,4406766000
2004-03-09,4352805600
2004-03-10,4274862800
2004-03-11,4220902400
2004-03-12,4346810000
2004-03-15,4250880400
2004-03-16,4328823200
2004-03-17,4412761600
2004-03-18,4352805600
2004-03-19,4352805600
2004-03-22,4298845200
2004-03-23,4274862800
2004-03-24,4364796800
2004-03-25,4490704400
2004-03-26,4436744000
2004-03-29,4490704400
2004-03-30,4562651600
2004-03-31,4592629600
2004-04-01,4562651600
2004-04-02,4604620800
2004-04-05,4670572400
2004-04-06,4694554800
2004-04-07,4706546000
2004-04-08,4568647200
2004-04-12,4634598800
2004-04-13,4526678000
2004-04-14,4598625200
2004-04-15,4610616400
2004-04-16,4646590000
2004-04-19,4658581200
2004-04-20,4580638400
2004-04-21,4604620800
2004-04-22,4682563600
2004-04-23,4718537200
2004-04-26,4664576800
2004-04-27,4724532800
2004-04-28,4652585600
2004-04-29,4562651600
2004-04-30,4562651600
2004-05-03,4555740560
2004-05-04,4567589040
2004-05-05,4591286000
2004-05-06,4194361920
2004-05-07,4123271040
2004-05-10,4058104400
2004-05-11,4034407440
2004-05-12,4022558960
2004-05-13,4010710479
2004-05-14,3939619600
2004-05-17,3862604479
2004-05-18,3797437840
2004-05-19,3631559120
2004-05-20,3631559120
2004-05-21,3684877280
2004-05-24,3732271200
2004-05-25,3785589360
2004-05-26,3779665120
2004-05-27,3809286320
2004-05-28,3880377200
2004-06-01,3785589360
2004-06-02,3755968160
2004-06-03,3696725760
2004-06-04,3690801520
2004-06-07,3773740880
2004-06-08,3779665120
2004-06-09,3779665120
2004-06-10,3886301440
2004-06-14,3868528720
2004-06-15,3945543840
2004-06-16,3945543840
2004-06-17,4010710479
2004-06-18,3987013520
2004-06-21,4028483200
2004-06-22,4010710479
2004-06-23,4058104400
2004-06-24,4111422560
2004-06-25,4146968000
2004-06-28,4117346800
2004-06-29,4022558960
2004-06-30,3963316560
2004-07-01,3963316560
2004-07-02,3850756000
2004-07-06,3815210560
2004-07-07,3797437840
2004-07-08,3613786400
2004-07-09,3613786400
2004-07-12,3607862160
2004-07-13,3702650000
2004-07-14,3554544000
2004-07-15,3530847040
2004-07-16,3376816800
2004-07-19,3376816800
2004-07-20,3441983440
2004-07-21,3347195600
2004-07-22,3370892560
2004-07-23,3341271360
2004-07-26,3364968320
2004-07-27,3459756160
2004-07-28,3376816800
2004-07-29,3447907680
2004-07-30,3430134960
2004-08-02,3333337200
2004-08-03,3263161680
2004-08-04,3286553520
2004-08-05,3345033120
2004-08-06,3274857600
2004-08-09,3298249440
2004-08-10,3385968840
2004-08-11,3438600480
2004-08-12,3368424960
2004-08-13,3403512720
2004-08-16,3485384160
2004-08-17,3526319880
2004-08-18,3257313720
2004-08-19,3345033120
2004-08-20,3274857600
2004-08-23,3181290240
