,KO
2000-09-14,126378000000
2000-09-15,125585040000
2000-09-18,131631360000
2000-09-19,130541040000
2000-09-20,123602640000
2000-09-21,122661000000
2000-09-22,130739280000
2000-09-25,133663320000
2000-09-26,136290000000
2000-09-27,137826360000
2000-09-28,137380320000
2000-09-29,136587360000
2000-10-02,141531000000
2000-10-03,139842560000
2000-10-04,142176580000
2000-10-05,146794960000
2000-10-06,145106520000
2000-10-09,143567060000
2000-10-10,144460940000
2000-10-11,145404480000
2000-10-12,142176580000
2000-10-13,141977940000
2000-10-16,145553460000
2000-10-17,143865020000
2000-10-18,144460940000
2000-10-19,141828960000
2000-10-20,136118060000
2000-10-23,137359560000
2000-10-24,139345960000
2000-10-25,143865020000
2000-10-26,145702440000
2000-10-27,146348020000
2000-10-30,148682040000
2000-10-31,149923540000
2000-11-01,151165040000
2000-11-02,150867080000
2000-11-03,147291560000
2000-11-06,150221500000
2000-11-07,149128980000
2000-11-08,149426940000
2000-11-09,154740560000
2000-11-10,153648040000
2000-11-13,151611980000
2000-11-14,150370480000
2000-11-15,152257560000
2000-11-16,153797020000
2000-11-17,152555520000
2000-11-20,140438480000
2000-11-21,137210580000
2000-11-22,147887480000
2000-11-24,146497000000
2000-11-27,147887480000
2000-11-28,150072520000
2000-11-29,154243960000
2000-11-30,155485460000
2000-12-01,154392940000
2000-12-04,155833080000
2000-12-05,152555520000
2000-12-06,151165040000
2000-12-07,154889540000
2000-12-08,151165040000
2000-12-11,144808560000
2000-12-12,144014000000
2000-12-13,143567060000
2000-12-14,141531000000
2000-12-15,132840500000
2000-12-18,136267040000
2000-12-19,140935080000
2000-12-20,139693580000
2000-12-21,147440540000
2000-12-22,146199040000
2000-12-26,148980000000
2000-12-27,150370480000
2000-12-28,151611980000
2000-12-29,151314020000
2001-01-02,151198520000
2001-01-03,147320360000
2001-01-04,143094160000
2001-01-05,143392480000
2001-01-08,145729320000
2001-01-09,147618680000
2001-01-10,146972320000
2001-01-11,142646680000
2001-01-12,140757320000
2001-01-16,141702000000
2001-01-17,144038840000
2001-01-18,142000320000
2001-01-19,138768520000
2001-01-22,138420480000
2001-01-23,141403680000
2001-01-24,144337160000
2001-01-25,145729320000
2001-01-26,144038840000
2001-01-29,142000320000
2001-01-30,143989120000
2001-01-31,144188000000
2001-02-01,142795840000
2001-02-02,143541640000
2001-02-05,147171200000
2001-02-06,147718120000
2001-02-07,149160000000
2001-02-08,150701320000
2001-02-09,149508040000
2001-02-12,151198520000
2001-02-13,149060560000
2001-02-14,147917000000
2001-02-15,145132680000
2001-02-16,147568960000
2001-02-20,145381280000
2001-02-21,136531120000
2001-02-22,131758000000
2001-02-23,129272000000
2001-02-26,130465279999
2001-02-27,129272000000
2001-02-28,131857440000
2001-03-01,131012200000
2001-03-02,130664160000
2001-03-05,124797200000
2001-03-06,123802800000
2001-03-07,125344120000
2001-03-08,127780400000
2001-03-09,128029000000
2001-03-12,124548600000
2001-03-13,121217360000
2001-03-14,118532480000
2001-03-15,118433040000
2001-03-16,120919040000
2001-03-19,120322400000
2001-03-20,117886120000
2001-03-21,112516360000
2001-03-22,113659920000
2001-03-23,113113000000
2001-03-26,111621400000
2001-03-27,115897320000
2001-03-28,114256560000
2001-03-29,110676720000
2001-03-30,112267759999
2001-04-02,114099680000
2001-04-03,111114079999
2001-04-04,112606880000
2001-04-05,112706400000
2001-04-06,111960000000
2001-04-09,109223200000
2001-04-10,108576320000
2001-04-11,109820320000
2001-04-12,110915040000
2001-04-16,113004960000
2001-04-17,113701600000
2001-04-18,116338880000
2001-04-19,118180000000
2001-04-20,116936000000
2001-04-23,118080480000
2001-04-24,117931200000
2001-04-25,119921600000
2001-04-26,116687200000
2001-04-27,116936000000
2001-04-30,114945600000
2001-05-01,118528320000
2001-05-02,118379040000
2001-05-03,116338880000
2001-05-04,116537920000
2001-05-07,116488160000
2001-05-08,115891040000
2001-05-09,113850880000
2001-05-10,113502560000
2001-05-11,112656640000
2001-05-14,114448000000
2001-05-15,114199200000
2001-05-16,120021120000
2001-05-17,119772320000
2001-05-18,119672800000
2001-05-21,120120640000
2001-05-22,118926400000
2001-05-23,121165600000
2001-05-24,122160800000
2001-05-25,119871840000
2001-05-29,120269920000
2001-05-30,119125440000
2001-05-31,117931200000
2001-06-01,118976160000
2001-06-04,118379040000
2001-06-05,118478560000
2001-06-06,116338880000
2001-06-07,114746560000
2001-06-08,114448000000
2001-06-11,114248960000
2001-06-12,114248960000
2001-06-13,114099680000
2001-06-14,112009760000
2001-06-15,110118880000
2001-06-18,108924640000
2001-06-19,108874880000
2001-06-20,109272960000
2001-06-21,108476800000
2001-06-22,106635680000
2001-06-25,108476800000
2001-06-26,109372480000
2001-06-27,109919840000
2001-06-28,112855680000
2001-06-29,111960000000
2001-07-02,113452800000
2001-07-03,114298720000
2001-07-05,112557120000
2001-07-06,110964800000
2001-07-09,112507360000
2001-07-10,111163840000
2001-07-11,113204000000
2001-07-12,113204000000
2001-07-13,114448000000
2001-07-16,116886239999
2001-07-17,117284320000
2001-07-18,114995360000
2001-07-19,116189600000
2001-07-20,114746560000
2001-07-23,110666239999
2001-07-24,109969600000
2001-07-25,111910239999
2001-07-26,111960000000
2001-07-27,111412640000
2001-07-30,110118880000
2001-07-31,110964800000
2001-08-01,109671040000
2001-08-02,109272960000
2001-08-03,111213600000
2001-08-06,111014560000
2001-08-07,111661440000
2001-08-08,113204000000
2001-08-09,113502560000
2001-08-10,113651840000
2001-08-13,113950400000
2001-08-14,114547520000
2001-08-15,118379040000
2001-08-16,118727360000
2001-08-17,118279520000
2001-08-20,120767520000
2001-08-21,120220160000
2001-08-22,120070880000
2001-08-23,123056480000
2001-08-24,122459360000
2001-08-27,120668000000
2001-08-28,119125440000
2001-08-29,118677600000
2001-08-30,121364640000
2001-08-31,121115840000
2001-09-04,123156000000
2001-09-05,125544480000
2001-09-06,123156000000
2001-09-07,123753120000
2001-09-10,124300480000
2001-09-17,124897600000
2001-09-18,123106239999
2001-09-19,123156000000
2001-09-20,120319680000
2001-09-21,116438400000
2001-09-24,119523520000
2001-09-25,119424000000
2001-09-26,116687200000
2001-09-27,116836480000
2001-09-28,116587680000
2001-10-01,114558500000
2001-10-02,114757300000
2001-10-03,113813000000
2001-10-04,112222599999
2001-10-05,113067500000
2001-10-08,114657900000
2001-10-09,114757300000
2001-10-10,114657900000
2001-10-11,114459100000
2001-10-12,111328000000
2001-10-15,110582500000
2001-10-16,110681900000
2001-10-17,110035800000
2001-10-18,114608200000
2001-10-19,120771000000
2001-10-22,121715299999
2001-10-23,121466800000
2001-10-24,121218300000
2001-10-25,122858400000
2001-10-26,122112900000
2001-10-29,120820700000
2001-10-30,119677599999
2001-10-31,118981800000
2001-11-01,120771000000
2001-11-02,121466800000
2001-11-05,122510500000
2001-11-06,123902100000
2001-11-07,122759000000
2001-11-08,121963800000
2001-11-09,122311700000
2001-11-12,122560200000
2001-11-13,123355400000
2001-11-14,124250000000
2001-11-15,124250000000
2001-11-16,124051200000
2001-11-19,122957799999
2001-11-20,121765000000
2001-11-21,121168600000
2001-11-23,122112900000
2001-11-26,120075200000
2001-11-27,119280000000
2001-11-28,116198600000
2001-11-29,116993800000
2001-11-30,116695600000
2001-12-03,115651900000
2001-12-04,115701600000
2001-12-05,117093200000
2001-12-06,115353700000
2001-12-07,115801000000
2001-12-10,113415400000
2001-12-11,113415400000
2001-12-12,114260299999
2001-12-13,114906400000
2001-12-14,114956100000
2001-12-17,114657900000
2001-12-18,115552500000
2001-12-19,118037500000
2001-12-20,118683600000
2001-12-21,121218300000
2001-12-24,120224300000
2001-12-26,120572200000
2001-12-27,119130900000
2001-12-28,117242300000
2001-12-31,117142900000
2002-01-02,117987799999
2002-01-03,116447100000
2002-01-04,115353700000
2002-01-07,112371700000
2002-01-08,110930400000
2002-01-09,110731600000
2002-01-10,111278300000
2002-01-11,112570500000
2002-01-14,110582500000
2002-01-15,110234600000
2002-01-16,109687900000
2002-01-17,111974100000
2002-01-18,112918400000
2002-01-22,114061500000
2002-01-23,111278300000
2002-01-24,109886700000
2002-01-25,112172900000
2002-01-28,112371700000
2002-01-29,109340000000
2002-01-30,108992100000
2002-01-31,108743600000
2002-02-01,111029800000
2002-02-04,111029800000
2002-02-05,113713600000
2002-02-06,115552500000
2002-02-07,114011800000
2002-02-08,113962100000
2002-02-11,114657900000
2002-02-12,114608200000
2002-02-13,115254300000
2002-02-14,116795000000
2002-02-15,116695600000
2002-02-19,115005800000
2002-02-20,116496800000
2002-02-21,114310000000
2002-02-22,117540500000
2002-02-25,117739300000
2002-02-26,116795000000
2002-02-27,117987799999
2002-02-28,117789000000
2002-03-01,120323700000
2002-03-04,118733300000
2002-03-05,118286000000
2002-03-06,118136900000
2002-03-07,116695600000
2002-03-08,118932100000
2002-03-11,118236300000
2002-03-12,119528500000
2002-03-13,119180600000
2002-03-14,119031500000
2002-03-15,120870400000
2002-03-18,120969800000
2002-03-19,122262000000
2002-03-20,122808700000
2002-03-21,125244000000
2002-03-22,127381100000
2002-03-25,128623600000
2002-03-26,130711000000
2002-03-27,129915800000
2002-03-28,129866100000
2002-04-01,129756300000
2002-04-02,129706680000
2002-04-03,128366940000
2002-04-04,129061620000
2002-04-05,129458580000
2002-04-08,131493000000
2002-04-09,132386160000
2002-04-10,134519820000
2002-04-11,131840340000
2002-04-12,132386160000
2002-04-15,130004400000
2002-04-16,133676280000
2002-04-17,133775520000
2002-04-18,133279320000
2002-04-19,136256520000
2002-04-22,137199300000
2002-04-23,135264120000
2002-04-24,136405379999
2002-04-25,136405379999
2002-04-26,135115260000
2002-04-29,135561840000
2002-04-30,137695500000
2002-05-01,142955220000
2002-05-02,143004840000
2002-05-03,141069660000
2002-05-06,140424600000
2002-05-07,140523840000
2002-05-08,140176500000
2002-05-09,140176500000
2002-05-10,139829160000
2002-05-13,141168900000
2002-05-14,140523840000
2002-05-15,140672700000
2002-05-16,141565860000
2002-05-17,141417000000
2002-05-20,139432200000
2002-05-21,137596260000
2002-05-22,139432200000
2002-05-23,140672700000
2002-05-24,139432200000
2002-05-28,135561840000
2002-05-29,134321340000
2002-05-30,134966400000
2002-05-31,137844360000
2002-06-03,134073240000
2002-06-04,133974000000
2002-06-05,137447400000
2002-06-06,134321340000
2002-06-07,134122860000
2002-06-10,133328940000
2002-06-11,133974000000
2002-06-12,135164879999
2002-06-13,135214500000
2002-06-14,136107660000
2002-06-17,137100060000
2002-06-18,137199300000
2002-06-19,136653480000
2002-06-20,138241320000
2002-06-21,138936000000
2002-06-24,141317760000
2002-06-25,137596260000
2002-06-26,137794740000
2002-06-27,139184100000
2002-06-28,138936000000
2002-07-01,139660080000
2002-07-02,140453040000
2002-07-03,140304360000
2002-07-05,139957440000
2002-07-08,141939840000
2002-07-09,139858320000
2002-07-10,135546600000
2002-07-11,131631360000
2002-07-12,126526680000
2002-07-15,128856000000
2002-07-16,124841640000
2002-07-17,123900000000
2002-07-18,118745760000
2002-07-19,111757800000
2002-07-22,113740200000
2002-07-23,110469240000
2002-07-24,116119080000
2002-07-25,117853680000
2002-07-26,117605880000
2002-07-29,122462760000
2002-07-30,119290920000
2002-07-31,123751320000
2002-08-01,123701760000
2002-08-02,124147800000
2002-08-05,119836080000
2002-08-06,118646640000
2002-08-07,121422000000
2002-08-08,125931960000
2002-08-09,126625800000
2002-08-12,125931960000
2002-08-13,124544280000
2002-08-14,128756880000
2002-08-15,127418760000
2002-08-16,129351600000
2002-08-19,128112600000
2002-08-20,127963920000
2002-08-21,130689720000
2002-08-22,129847200000
2002-08-23,130590600000
2002-08-26,131334000000
2002-08-27,130144560000
2002-08-28,127071840000
2002-08-29,124891200000
2002-08-30,126378000000
2002-09-03,123701760000
2002-09-04,125139000000
2002-09-05,122314080000
2002-09-06,123652200000
2002-09-09,124792080000
2002-09-10,126328439999
2002-09-11,126625800000
2002-09-12,122809680000
2002-09-13,123007920000
2002-09-16,125585040000
2002-09-17,121322880000
2002-09-18,122165400000
2002-09-19,118151040000
2002-09-20,117754560000
2002-09-23,116466000000
2002-09-24,116961600000
2002-09-25,120183000000
2002-09-26,119984760000
2002-09-27,120183000000
2002-09-30,118413240000
2002-10-01,123598140000
2002-10-02,123203100000
2002-10-03,124980780000
2002-10-04,125672100000
2002-10-07,123795660000
2002-10-08,128684280000
2002-10-09,127499160000
2002-10-10,127054740000
2002-10-11,127054740000
2002-10-14,129770640000
2002-10-15,129573119999
2002-10-16,116536800000
2002-10-17,113327100000
2002-10-18,114561600000
2002-10-21,118512000000
2002-10-22,118215720000
2002-10-23,118363860000
2002-10-24,115796100000
2002-10-25,115993619999
2002-10-28,113376480000
2002-10-29,114512220000
2002-10-30,115697340000
2002-10-31,114759119999
2002-11-01,115647960000
2002-11-04,112833300000
2002-11-05,114462840000
2002-11-06,112092600000
2002-11-07,110660580000
2002-11-08,109919880000
2002-11-11,110018640000
2002-11-12,109426080000
2002-11-13,111697560000
2002-11-14,111450660000
2002-11-15,113524619999
2002-11-18,113376480000
2002-11-19,114561600000
2002-11-20,113771520000
2002-11-21,112981440000
2002-11-22,112141980000
2002-11-25,111401280000
2002-11-26,110611200000
2002-11-27,114166560000
2002-11-29,112685160000
2002-12-02,111598800000
2002-12-03,110858100000
2002-12-04,112685160000
2002-12-05,111203760000
2002-12-06,112092600000
2002-12-09,111351900000
2002-12-10,114808500000
2002-12-11,115450440000
2002-12-12,113277720000
2002-12-13,113228340000
2002-12-16,112932060000
2002-12-17,110907480000
2002-12-18,109969260000
2002-12-19,108932280000
2002-12-20,108833520000
2002-12-23,109623600000
2002-12-24,109228560000
2002-12-26,108981660000
2002-12-27,107352119999
2002-12-30,107401500000
2002-12-31,108240960000
2003-01-02,110759340000
2003-01-03,110463060000
2003-01-06,110907480000
2003-01-07,109524840000
2003-01-08,108833520000
2003-01-09,109969260000
2003-01-10,111598800000
2003-01-13,112981440000
2003-01-14,112932060000
2003-01-15,110858100000
2003-01-16,112783920000
2003-01-17,111351900000
2003-01-21,110413680000
2003-01-22,110018640000
2003-01-23,108389100000
2003-01-24,105771960000
2003-01-27,103154820000
2003-01-28,101475900000
2003-01-29,100093260000
2003-01-30,96784800000
2003-01-31,99895740000
2003-02-03,99105660000
2003-02-04,99599460000
2003-02-05,98858760000
2003-02-06,98513100000
2003-02-07,97624260000
2003-02-10,98908140000
2003-02-11,96291000000
2003-02-12,98118060000
2003-02-13,98710619999
2003-02-14,100735200000
2003-02-18,101475900000
2003-02-19,100438920000
2003-02-20,98858760000
2003-02-21,100340160000
2003-02-24,98315580000
2003-02-25,99698220000
2003-02-26,98068680000
2003-02-27,99401940000
2003-02-28,99303180000
2003-03-03,96834180000
2003-03-04,94710840000
2003-03-05,92686260000
2003-03-06,92686260000
2003-03-07,93081300000
2003-03-10,91550520000
2003-03-11,92982539999
2003-03-12,93920760000
2003-03-13,97426740000
2003-03-14,98513100000
2003-03-17,101229000000
2003-03-18,101179619999
2003-03-19,103253580000
2003-03-20,102562260000
2003-03-21,104339940000
2003-03-24,100982100000
2003-03-25,101229000000
2003-03-26,100537680000
2003-03-27,100883340000
2003-03-28,100537680000
2003-03-31,99702239999
2003-04-01,99505200000
2003-04-02,102115980000
2003-04-03,101475600000
2003-04-04,103199700000
2003-04-07,102707100000
2003-04-08,103101180000
2003-04-09,102657840000
2003-04-10,102066720000
2003-04-11,102017460000
2003-04-14,104480460000
2003-04-15,104776020000
2003-04-16,98273700000
2003-04-17,99505200000
2003-04-21,98815560000
2003-04-22,99505200000
2003-04-23,98520000000
2003-04-24,98273700000
2003-04-25,97091460000
2003-04-28,99357420000
2003-04-29,100588920000
2003-04-30,99505200000
2003-05-01,99603720000
2003-05-02,100983000000
2003-05-05,99850020000
2003-05-06,101032260000
2003-05-07,106598640000
2003-05-08,105613440000
2003-05-09,108372000000
2003-05-12,109110900000
2003-05-13,109012380000
2003-05-14,109012380000
2003-05-15,109948320000
2003-05-16,108273480000
2003-05-19,108667560000
2003-05-20,109652760000
2003-05-21,108716820000
2003-05-22,109702020000
2003-05-23,108864600000
2003-05-27,109997579999
2003-05-28,108766079999
2003-05-29,109899060000
2003-05-30,112263540000
2003-06-02,112805400000
2003-06-03,113593560000
2003-06-04,114775800000
2003-06-05,115219140000
2003-06-06,115514700000
2003-06-09,115465440000
2003-06-10,114775800000
2003-06-11,115268400000
2003-06-12,116893980000
2003-06-13,116647680000
2003-06-16,118716600000
2003-06-17,116253600000
2003-06-18,115761000000
2003-06-19,113593560000
2003-06-20,114480239999
2003-06-23,115169880000
2003-06-24,116204340000
2003-06-25,114874320000
2003-06-26,115465440000
2003-06-27,114529500000
2003-06-30,113961100000
2003-07-01,114157500000
2003-07-02,113862900000
2003-07-03,113519200000
2003-07-07,110376800000
2003-07-08,108560100000
2003-07-09,107725400000
2003-07-10,108020000000
2003-07-11,107823600000
2003-07-14,108707400000
2003-07-15,108020000000
2003-07-16,105368600000
2003-07-17,109885800000
2003-07-18,110229500000
2003-07-21,110475000000
2003-07-22,110720500000
2003-07-23,110916900000
2003-07-24,109296600000
2003-07-25,110573200000
2003-07-28,109591200000
2003-07-29,110131300000
2003-07-30,111407900000
2003-07-31,110425899999
2003-08-01,109885800000
2003-08-04,110229500000
2003-08-05,108903800000
2003-08-06,108265500000
2003-08-07,109934900000
2003-08-08,110131300000
2003-08-11,109542100000
2003-08-12,109591200000
2003-08-13,109247500000
2003-08-14,110622300000
2003-08-15,110475000000
2003-08-18,110131300000
2003-08-19,108756500000
2003-08-20,107774500000
2003-08-21,107087100000
2003-08-22,106252400000
2003-08-25,108216400000
2003-08-26,108609200000
2003-08-27,107921800000
2003-08-28,107627200000
2003-08-29,106841600000
2003-09-02,107479900000
2003-09-03,107332600000
2003-09-04,109247500000
2003-09-05,108363700000
2003-09-08,108707400000
2003-09-09,108903800000
2003-09-10,110376800000
2003-09-11,109198399999
2003-09-12,108020000000
2003-09-15,106792500000
2003-09-16,105368600000
2003-09-17,105565000000
2003-09-18,107038000000
2003-09-19,106006900000
2003-09-22,106154200000
2003-09-23,106596100000
2003-09-24,105565000000
2003-09-25,105712300000
2003-09-26,105663200000
2003-09-29,105761400000
2003-09-30,104822400000
2003-10-01,107116000000
2003-10-02,107994400000
2003-10-03,107457600000
2003-10-06,108384800000
2003-10-07,108970399999
2003-10-08,107945600000
2003-10-09,107164800000
2003-10-10,106969600000
2003-10-13,107701600000
2003-10-14,108726400000
2003-10-15,110044000000
2003-10-16,109800000000
2003-10-17,109946400000
2003-10-20,111312800000
2003-10-21,111703200000
2003-10-22,110580800000
2003-10-23,111068800000
2003-10-24,110776000000
2003-10-27,110288000000
2003-10-28,110727200000
2003-10-29,111898400000
2003-10-30,112240000000
2003-10-31,113216000000
2003-11-03,113899200000
2003-11-04,114436000000
2003-11-05,114631200000
2003-11-06,114728800000
2003-11-07,113801600000
2003-11-10,113752800000
2003-11-11,113508800000
2003-11-12,114875200000
2003-11-13,114484800000
2003-11-14,113948000000
2003-11-17,113899200000
2003-11-18,113460000000
2003-11-19,114338400000
2003-11-20,113362400000
2003-11-21,113264800000
2003-11-24,113264800000
2003-11-25,113655200000
2003-11-26,113948000000
2003-11-28,113460000000
2003-12-01,114728800000
2003-12-02,114680000000
2003-12-03,115656000000
2003-12-04,115070399999
2003-12-05,114436000000
2003-12-08,116534400000
2003-12-09,116534400000
2003-12-10,117608000000
2003-12-11,118096000000
2003-12-12,120487200000
2003-12-15,121463200000
2003-12-16,123659200000
2003-12-17,122439200000
2003-12-18,121853600000
2003-12-19,122244000000
2003-12-22,122390399999
2003-12-23,122439200000
2003-12-24,121756000000
2003-12-26,121902400000
2003-12-29,122390399999
2003-12-30,123268800000
2003-12-31,123854400000
2004-01-02,122878400000
2004-01-05,123024800000
2004-01-06,122488000000
2004-01-07,121707200000
2004-01-08,122292800000
2004-01-09,121024000000
2004-01-12,122000000000
2004-01-13,121316800000
2004-01-14,121512000000
2004-01-15,121365600000
2004-01-16,121707200000
2004-01-20,121804800000
2004-01-21,121463200000
2004-01-22,120389600000
2004-01-23,122097600000
2004-01-26,122488000000
2004-01-27,122000000000
2004-01-28,120536000000
2004-01-29,121024000000
2004-01-30,120145600000
2004-02-02,121072800000
2004-02-03,121609600000
2004-02-04,121414400000
2004-02-05,122927200000
2004-02-06,124440000000
2004-02-09,127856000000
2004-02-10,127319200000
2004-02-11,126392000000
2004-02-12,125757600000
2004-02-13,124781600000
2004-02-17,124781600000
2004-02-18,125025600000
2004-02-19,124440000000
2004-02-20,124293600000
2004-02-23,122829600000
2004-02-24,121463200000
2004-02-25,121121600000
2004-02-26,121609600000
2004-02-27,121902400000
2004-03-01,121072800000
2004-03-02,120243200000
2004-03-03,119901600000
2004-03-04,119169600000
2004-03-05,122244000000
2004-03-08,121658400000
2004-03-09,122439200000
2004-03-10,121756000000
2004-03-11,117559200000
2004-03-12,118242400000
2004-03-15,116436800000
2004-03-16,117510399999
2004-03-17,119267200000
2004-03-18,119657600000
2004-03-19,119023200000
2004-03-22,117754400000
2004-03-23,117461600000
2004-03-24,118340000000
2004-03-25,118974400000
2004-03-26,119023200000
2004-03-29,120536000000
2004-03-30,122585600000
2004-03-31,122229000000
2004-04-01,122909400000
2004-04-02,123735600000
2004-04-05,122909400000
2004-04-06,123638400000
2004-04-07,124124400000
2004-04-08,124513200000
2004-04-12,123589800000
2004-04-13,123687000000
2004-04-14,124416000000
2004-04-15,124416000000
2004-04-16,126165600000
2004-04-19,128790000000
2004-04-20,127040400000
2004-04-21,126700200000
2004-04-22,125047800000
2004-04-23,124075800000
2004-04-26,123201000000
2004-04-27,123249600000
2004-04-28,122034600000
2004-04-29,122617800000
2004-04-30,122909400000
2004-05-03,123006600000
2004-05-04,122180400000
2004-05-05,124173000000
2004-05-06,124124400000
2004-05-07,123298200000
2004-05-10,121305600000
2004-05-11,121645800000
2004-05-12,121305600000
2004-05-13,120576600000
2004-05-14,121500000000
2004-05-17,121062600000
2004-05-18,121743000000
2004-05-19,119944800000
2004-05-20,120625200000
2004-05-21,119993400000
2004-05-24,121111200000
2004-05-25,122472000000
2004-05-26,122034600000
2004-05-27,124707600000
2004-05-28,124804800000
2004-06-01,124124400000
2004-06-02,126214200000
2004-06-03,125825400000
2004-06-04,127040400000
2004-06-07,128109600000
2004-06-08,127866600000
2004-06-09,125776800000
2004-06-10,125485200000
2004-06-14,124853400000
2004-06-15,124513200000
2004-06-16,124416000000
2004-06-17,124173000000
2004-06-18,124902000000
2004-06-21,124367400000
2004-06-22,123978600000
2004-06-23,124659000000
2004-06-24,124027200000
2004-06-25,121743000000
2004-06-28,122472000000
2004-06-29,122812200000
2004-06-30,122212080000
2004-07-01,121921560000
2004-07-02,122357340000
2004-07-06,122647859999
2004-07-07,122066820000
2004-07-08,122405760000
2004-07-09,123519420000
2004-07-12,123083640000
2004-07-13,122647859999
2004-07-14,123858359999
2004-07-15,123083640000
2004-07-16,122454180000
2004-07-19,121873140000
2004-07-20,121243680000
2004-07-21,119113200000
2004-07-22,118580580000
2004-07-23,109380780000
2004-07-26,107250300000
2004-07-27,105942960000
2004-07-28,105749280000
2004-07-29,104248260000
2004-07-30,106185060000
2004-08-02,107056620000
2004-08-03,106814520000
2004-08-04,107008200000
2004-08-05,106185060000
2004-08-06,105313500000
2004-08-09,104635620000
2004-08-10,105216660000
2004-08-11,107637660000
2004-08-12,106136640000
2004-08-13,107443980000
2004-08-16,107782920000
2004-08-17,107347140000
2004-08-18,107928180000
2004-08-19,106572420000
2004-08-20,107056620000
2004-08-23,107347140000
2004-08-24,106572420000
