,REGN
2001-10-17,986988088
2001-10-18,985241935
2001-10-19,975201809
2001-10-22,984805364
2001-10-23,945081431
2001-10-24,934604778
2001-10-25,931985614
2001-10-26,980440092
2001-10-29,955558040
2001-10-30,921072434
2001-10-31,964725156
2001-11-01,964288628
2001-11-02,991789800
2001-11-05,1023656374
2001-11-06,1006195198
2001-11-07,1013616161
2001-11-08,1015798840
2001-11-09,982186245
2001-11-12,1012743194
2001-11-13,1076039597
2001-11-14,1089571897
2001-11-15,1089135457
2001-11-16,1116636628
2001-11-19,1217474372
2001-11-20,1194338517
2001-11-21,1178623494
2001-11-23,1200449855
2001-11-26,1222276216
2001-11-27,1244102577
2001-11-28,1204815127
2001-11-29,1186480983
2001-11-30,1207870817
2001-12-03,1176440901
2001-12-04,1162908470
2001-12-05,1182988766
2001-12-06,1243229522
2001-12-07,1279461238
2001-12-10,1235371988
2001-12-11,1169892905
2001-12-12,1134970772
2001-12-13,1165091193
2001-12-14,1161598976
2001-12-17,1211363035
2001-12-18,1235371988
2001-12-19,1259817600
2001-12-20,1263746345
2001-12-21,1300851071
2001-12-24,1270294210
2001-12-26,1262000193
2001-12-27,1258071448
2001-12-28,1265492410
2001-12-31,1235398658
2002-01-02,1224869692
2002-01-03,1195476329
2002-01-04,1200740856
2002-01-07,1174418398
2002-01-08,1200302149
2002-01-09,1180999001
2002-01-10,1241101892
2002-01-11,1285849909
2002-01-14,1256017839
2002-01-15,1267424219
2002-01-16,1257334004
2002-01-17,1248121202
2002-01-18,1203373054
2002-01-22,1210831071
2002-01-23,1259527494
2002-01-24,1219605165
2002-01-25,1230572838
2002-01-28,1202495640
2002-01-29,1170908786
2002-01-30,1147218569
2002-01-31,1087993092
2002-02-01,1134496113
2002-02-04,1030961238
2002-02-05,1034470893
2002-02-06,920407097
2002-02-07,956819726
2002-02-08,1031399945
2002-02-11,1083606111
2002-02-12,1132302490
2002-02-13,1086238309
2002-02-14,1070444860
2002-02-15,1075270636
2002-02-19,1012974255
2002-02-20,1077902877
2002-02-21,1026135418
2002-02-22,1018677401
2002-02-25,988845419
2002-02-26,1019116151
2002-02-27,1016045203
2002-02-28,996303348
2002-03-01,1018238694
2002-03-04,1098522146
2002-03-05,1114315551
2002-03-06,1168276457
2002-03-07,1129670293
2002-03-08,1145902492
2002-03-11,1182315166
2002-03-12,1153360510
2002-03-13,1127476802
2002-03-14,1118702620
2002-03-15,1106857533
2002-03-18,1114754258
2002-03-19,1091941455
2002-03-20,1055528781
2002-03-21,1094573784
2002-03-22,1082728653
2002-03-25,1066935205
2002-03-26,1087993092
2002-03-27,1098522146
2002-03-28,1096328568
2002-04-01,1119037276
2002-04-02,1033500233
2002-04-03,990290666
2002-04-04,987645231
2002-04-05,930326535
2002-04-08,928121926
2002-04-09,974417840
2002-04-10,1025563754
2002-04-11,987645231
2002-04-12,1024681928
2002-04-15,1041877493
2002-04-16,1057750406
2002-04-17,1026445624
2002-04-18,1055545885
2002-04-19,1012336318
2002-04-22,1009690884
2002-04-23,959426796
2002-04-24,970449623
2002-04-25,904312665
2002-04-26,880503316
2002-04-29,848757621
2002-04-30,910485448
2002-05-01,879180665
2002-05-02,840380229
2002-05-03,828916489
2002-05-06,764543228
2002-05-07,769834141
2002-05-08,859780447
2002-05-09,820980143
2002-05-10,771597837
2002-05-13,799375315
2002-05-14,826711968
2002-05-15,822302838
2002-05-16,774243271
2002-05-17,815248229
2002-05-20,783502489
2002-05-21,733238358
2002-05-22,750874968
2002-05-23,837293881
2002-05-24,756606793
2002-05-28,791438968
2002-05-29,757929577
2002-05-30,762779532
2002-05-31,728388358
2002-06-03,686060705
2002-06-04,678565183
2002-06-05,675919705
2002-06-06,619923748
2002-06-07,636237531
2002-06-10,648142183
2002-06-11,633151139
2002-06-12,608460009
2002-06-13,628301096
2002-06-14,659605922
2002-06-17,723097401
2002-06-18,701051749
2002-06-19,679887923
2002-06-20,642410313
2002-06-21,602287226
2002-06-24,621246487
2002-06-25,585091617
2002-06-26,630505661
2002-06-27,636237531
2002-06-28,639764835
2002-07-01,609586500
2002-07-02,573547500
2002-07-03,533992500
2002-07-05,571350000
2002-07-08,553330500
2002-07-09,547177500
2002-07-10,499272000
2002-07-11,517731000
2002-07-12,543661500
2002-07-15,556846500
2002-07-16,592885500
2002-07-17,617058000
2002-07-18,581458500
2002-07-19,584535000
2002-07-22,588490500
2002-07-23,535750500
2002-07-24,580579500
2002-07-25,601675500
2002-07-26,597720000
2002-07-29,658810500
2002-07-30,757258500
2002-07-31,755940043
2002-08-01,705836956
2002-08-02,671116500
2002-08-05,615300000
2002-08-06,685620000
2002-08-07,672435000
2002-08-08,740118000
2002-08-09,738359956
2002-08-12,759895543
2002-08-13,703200000
2002-08-14,770883043
2002-08-15,741436543
2002-08-16,744952543
2002-08-19,711111000
2002-08-20,734843956
2002-08-21,744952543
2002-08-22,751984543
2002-08-23,725175000
2002-08-26,730888456
2002-08-27,694410000
2002-08-28,661447500
2002-08-29,711111000
2002-08-30,679027500
2002-09-03,639033000
2002-09-04,666282000
2002-09-05,626287500
2002-09-06,641670000
2002-09-09,663645000
2002-09-10,654855000
2002-09-11,656173500
2002-09-12,640351500
2002-09-13,643867500
2002-09-16,633319500
2002-09-17,615300000
2002-09-18,637275000
2002-09-19,578821500
2002-09-20,559923000
2002-09-23,509380500
2002-09-24,517291500
2002-09-25,568273500
2002-09-26,557725500
2002-09-27,559923000
2002-09-30,595523920
2002-10-01,617139233
2002-10-02,645812607
2002-10-03,651547281
2002-10-04,587142472
2002-10-07,570379577
2002-10-08,586260215
2002-10-09,555822325
2002-10-10,573467479
2002-10-11,567291675
2002-10-14,604346497
2002-10-15,638313417
2002-10-16,616256975
2002-10-17,636548901
2002-10-18,664781146
2002-10-21,666104533
2002-10-22,642724705
2002-10-23,648459380
2002-10-24,647135993
2002-10-25,670956950
2002-10-28,666986790
2002-10-29,668751306
2002-10-30,672280336
2002-10-31,667427919
2002-11-01,696542422
2002-11-04,749036753
2002-11-05,749036753
2002-11-06,771534323
2002-11-07,753006912
2002-11-08,732273857
2002-11-11,706688385
2002-11-12,709776287
2002-11-13,705364999
2002-11-14,705806128
2002-11-15,708011728
2002-11-18,734920630
2002-11-19,725656969
2002-11-20,776827913
2002-11-21,913577762
2002-11-22,950191543
2002-11-25,981070517
2002-11-26,950632584
2002-11-27,957249605
2002-11-29,955043916
2002-12-02,932546302
2002-12-03,861524649
2002-12-04,920194783
2002-12-05,937398763
2002-12-06,944015696
2002-12-09,888874592
2002-12-10,902990670
2002-12-11,950191543
2002-12-12,945780255
2002-12-13,906078660
2002-12-16,914901193
2002-12-17,923723814
2002-12-18,886668948
2002-12-19,848290740
2002-12-20,873876168
2002-12-23,882257660
2002-12-24,878728629
2002-12-26,869023839
