,MTB
2000-12-29,6251872128
2001-01-02,6187486680
2001-01-03,6250468500
2001-01-04,6212297699
2001-01-05,6030986400
2001-01-08,6260011199
2001-01-09,6135956100
2001-01-10,6197983650
2001-01-11,6298182000
2001-01-12,6283867949
2001-01-16,6279096600
2001-01-17,6211343430
2001-01-18,6226611750
2001-01-19,6164584199
2001-01-22,6164584199
2001-01-23,6164584199
2001-01-24,6192258030
2001-01-25,6224703210
2001-01-26,6418420020
2001-01-29,6489036000
2001-01-30,6499532970
2001-01-31,6517664100
2001-02-01,6478539030
2001-02-02,6395517540
2001-02-05,6565377600
2001-02-06,6517664100
2001-02-07,6614045370
2001-02-08,6604502669
2001-02-09,6617862449
2001-02-12,6632176500
2001-02-13,6622633800
2001-02-14,6615953910
2001-02-15,6632176500
2001-02-16,6598777050
2001-02-20,6518618370
2001-02-21,6495715889
2001-02-22,6471859139
2001-02-23,6425099910
2001-02-26,6574920300
2001-02-27,6522435449
2001-02-28,6536749500
2001-03-01,6440368229
2001-03-02,6546292199
2001-03-05,6487127460
2001-03-06,6560606250
2001-03-07,6656987520
2001-03-08,6625496610
2001-03-09,6531978150
2001-03-12,6385020570
2001-03-13,6468042060
2001-03-14,6325855830
2001-03-15,6489036000
2001-03-16,6332535720
2001-03-19,6360209550
2001-03-20,6317267400
2001-03-21,6078699900
2001-03-22,5829635430
2001-03-23,6056751690
2001-03-26,6175081169
2001-03-27,6474721949
2001-03-28,6441322500
2001-03-29,6463270710
2001-03-30,6670347300
2001-04-02,6755043750
2001-04-03,6662774999
2001-04-04,6497662500
2001-04-05,6701625000
2001-04-06,6599643750
2001-04-09,6623925000
2001-04-10,6722021249
2001-04-11,6789037500
2001-04-12,6823031250
2001-04-16,6809433750
2001-04-17,6818175000
2001-04-18,6932782500
2001-04-19,6962891250
2001-04-20,6857024999
2001-04-23,6859938750
2001-04-24,6905587499
2001-04-25,6895875000
2001-04-26,6896846250
2001-04-27,6963862500
2001-04-30,6949293750
2001-05-01,6965805000
2001-05-02,7002712499
2001-05-03,6967747499
2001-05-04,6999798749
2001-05-07,6993000000
2001-05-08,6972603750
2001-05-09,6949293750
2001-05-10,6964833749
2001-05-11,6920156250
2001-05-14,6949293750
2001-05-15,6963862500
2001-05-16,7042533750
2001-05-17,7021166250
2001-05-18,6993000000
2001-05-21,7114406250
2001-05-22,7226100000
2001-05-23,7217358750
2001-05-24,7238726250
2001-05-25,7276605000
2001-05-29,7285346250
2001-05-30,7332937500
2001-05-31,7337793750
2001-06-01,7400925000
2001-06-04,7477653749
2001-06-05,7507762500
2001-06-06,7393155000
2001-06-07,7382471250
2001-06-08,7400925000
2001-06-11,7367902500
2001-06-12,7274662500
2001-06-13,7286317500
2001-06-14,7269806249
2001-06-15,7308656250
2001-06-18,7297972500
2001-06-19,7353333749
2001-06-20,7541756250
2001-06-21,7619456250
2001-06-22,7573807500
2001-06-25,7405781250
2001-06-26,7512618749
2001-06-27,7567008750
2001-06-28,7561181249
2001-06-29,7332937500
2001-07-02,7448912500
2001-07-03,7482552749
2001-07-05,7439301000
2001-07-06,7352797500
2001-07-09,7339341400
2001-07-10,7271099750
2001-07-11,7386437749
2001-07-12,7544066349
2001-07-13,7612308000
2001-07-16,7498892300
2001-07-17,7570978550
2001-07-18,7712267599
2001-07-19,7775703500
2001-07-20,7807421450
2001-07-23,7666132400
2001-07-24,7594046150
2001-07-25,7579628900
2001-07-26,7707461850
2001-07-27,7708423000
2001-07-30,7669977000
2001-07-31,7737257500
2001-08-01,7800693400
2001-08-02,7789159600
2001-08-03,7780509250
2001-08-06,7742063250
2001-08-07,7699772650
2001-08-08,7636336750
2001-08-09,7663248950
2001-08-10,7679588500
2001-08-13,7703617250
2001-08-14,7713228750
2001-08-15,7722840249
2001-08-16,7742063250
2001-08-17,7739179800
2001-08-20,7727646000
2001-08-21,7711306450
2001-08-22,7685355399
2001-08-23,7698811499
2001-08-24,7451795950
2001-08-27,7285517000
2001-08-28,7218236499
2001-08-29,7074063999
2001-08-30,7021200750
2001-08-31,6982754750
2001-09-04,7026006499
2001-09-05,6987560500
2001-09-06,6874144800
2001-09-07,6650196850
2001-09-10,6611750850
2001-09-17,6333978500
2001-09-18,6455083400
2001-09-19,6565615650
2001-09-20,6314755500
2001-09-21,6242669250
2001-09-24,6578110600
2001-09-25,6768418300
2001-09-26,6852999500
2001-09-27,7261488250
2001-09-28,7112510000
2001-10-01,6820469450
2001-10-02,6870832550
2001-10-03,6772904300
2001-10-04,6646063900
2001-10-05,6506166400
2001-10-08,6351346499
2001-10-09,6457668599
2001-10-10,6388652500
2001-10-11,6434352349
2001-10-12,6388652500
2001-10-15,6381191300
2001-10-16,6388652500
2001-10-17,6304713999
2001-10-18,6272071250
2001-10-19,6314040500
2001-10-22,6314040500
2001-10-23,6379326000
2001-10-24,6385854550
2001-10-25,6379326000
2001-10-26,6386787200
2001-10-29,6192796000
2001-10-30,6144298200
2001-10-31,6108857500
2001-11-01,6121914600
2001-11-02,6153624700
2001-11-05,6276734500
2001-11-06,6393315750
2001-11-07,6397978999
2001-11-08,6523886750
2001-11-09,6493109300
2001-11-12,6492176650
2001-11-13,6584508999
2001-11-14,6621815000
2001-11-15,6611555850
2001-11-16,6565856000
2001-11-19,6607825249
2001-11-20,6593835500
2001-11-21,6592902850
2001-11-23,6639535350
2001-11-26,6715080000
2001-11-27,6715080000
2001-11-28,6663784250
2001-11-29,6724406499
2001-11-30,6575182500
2001-12-03,6547203000
2001-12-04,6709484100
2001-12-05,6770106350
2001-12-06,6780365500
2001-12-07,6841920400
2001-12-10,6794355249
2001-12-11,6864303999
2001-12-12,6826998000
2001-12-13,6645131250
2001-12-14,6710416750
2001-12-17,6761712500
2001-12-18,6881091700
2001-12-19,6808345000
2001-12-20,6836324500
2001-12-21,6789692000
2001-12-24,6812075600
2001-12-26,6808345000
2001-12-27,6864303999
2001-12-28,6938916000
2001-12-31,6782036460
2002-01-02,6741074263
2002-01-03,6805310436
2002-01-04,6946816207
2002-01-07,6960780592
2002-01-08,6897475379
2002-01-09,6888165788
2002-01-10,7065978961
2002-01-11,6939368535
2002-01-14,6869546608
2002-01-15,7056669371
2002-01-16,6968228264
2002-01-17,7007328543
2002-01-18,7020361969
2002-01-22,7068771838
2002-01-23,7117181707
2002-01-24,7136731847
2002-01-25,7144179519
2002-01-28,7200968019
2002-01-29,6982192650
2002-01-30,7027809641
2002-01-31,6982192650
2002-02-01,7058531289
2002-02-04,6954263879
2002-02-05,6933782780
2002-02-06,6809965231
2002-02-07,6800655641
2002-02-08,6897475379
2002-02-11,6975675936
2002-02-12,6977537854
2002-02-13,7029671560
2002-02-14,7047359781
2002-02-15,7033395396
2002-02-19,6937506617
2002-02-20,6971952100
2002-02-21,6948678125
2002-02-22,6971021141
2002-02-25,7034326355
2002-02-26,7089252937
2002-02-27,7093907732
2002-02-28,7121836503
2002-03-01,7207484732
2002-03-04,7284754331
2002-03-05,7303373511
2002-03-06,7419743389
2002-03-07,7341542831
2002-03-08,7354576258
2002-03-11,7416019553
2002-03-12,7475600930
2002-03-13,7467222299
2002-03-14,7539837102
2002-03-15,7594763685
2002-03-18,7615244783
2002-03-19,7628278209
2002-03-20,7568696832
2002-03-21,7530527512
2002-03-22,7564972996
2002-03-25,7540768062
2002-03-26,7508184496
2002-03-27,7556594365
2002-03-28,7482117643
2002-04-01,7500321920
2002-04-02,7543847679
2002-04-03,7447535360
2002-04-04,7459574400
2002-04-05,7510508799
2002-04-08,7584595200
2002-04-09,7658681600
2002-04-10,7742028799
2002-04-11,7613303679
2002-04-12,7738324480
2002-04-15,7728137600
2002-04-16,7754993920
2002-04-17,7810558720
2002-04-18,7832784640
2002-04-19,7830006400
2002-04-22,7783702400
2002-04-23,7780924160
2002-04-24,7788332799
2002-04-25,7830006400
2002-04-26,7830006400
2002-04-29,7818893440
2002-04-30,7906871040
2002-05-01,7982809600
2002-05-02,8093939200
2002-05-03,8072639360
2002-05-06,8036522240
2002-05-07,8083752320
2002-05-08,8036522240
2002-05-09,7946692480
2002-05-10,7894832000
2002-05-13,8005961600
2002-05-14,8214329600
2002-05-15,8228220799
2002-05-16,8293972480
2002-05-17,8329163520
2002-05-20,8230999040
2002-05-21,8243964160
2002-05-22,8112460799
2002-05-23,8149504000
2002-05-24,8088382720
2002-05-28,8035596160
2002-05-29,8084678400
2002-05-30,8075417600
2002-05-31,8072639360
2002-06-03,7950396799
2002-06-04,7846675840
2002-06-05,7871680000
2002-06-06,7654977280
2002-06-07,7686464000
2002-06-10,7737398400
2002-06-11,7705911679
2002-06-12,7716098559
2002-06-13,7585521280
2002-06-14,7649420799
2002-06-17,7988366080
2002-06-18,7993922559
2002-06-19,7987440000
2002-06-20,7940209920
2002-06-21,7938357760
2002-06-24,7810558720
2002-06-25,7841119360
2002-06-26,7756846080
2002-06-27,7908723200
2002-06-28,7942062080
2002-07-01,7798440750
2002-07-02,7729428000
2002-07-03,7553675530
2002-07-05,7718385960
2002-07-08,7798440750
2002-07-09,7766234800
2002-07-10,7619007600
2002-07-11,7642011850
2002-07-12,7526070430
2002-07-15,7413809689
2002-07-16,7421171050
2002-07-17,7480982100
2002-07-18,7214132800
2002-07-19,7112914100
2002-07-22,7005254210
2002-07-23,6750367120
2002-07-24,6883791770
2002-07-25,7066905600
2002-07-26,7203090760
2002-07-29,7490183800
2002-07-30,7473620740
2002-07-31,7692621199
2002-08-01,7481902270
2002-08-02,7430372750
2002-08-05,7154321750
2002-08-06,7414729860
2002-08-07,7548154510
2002-08-08,7632810150
2002-08-09,7630969810
2002-08-12,7595083180
2002-08-13,7532511620
2002-08-14,7772675990
2002-08-15,7821445000
2002-08-16,7805802110
2002-08-19,7944747780
2002-08-20,7757033100
2002-08-21,7815003810
2002-08-22,7789239050
2002-08-23,7641091680
2002-08-26,7824205510
2002-08-27,7802121430
2002-08-28,7746911230
2002-08-29,7763474290
2002-08-30,7895058600
2002-09-03,7598763860
2002-09-04,7711024600
2002-09-05,7642932020
2002-09-06,7684339670
2002-09-09,7778197010
2002-09-10,7653053890
2002-09-11,7594163010
2002-09-12,7261981640
2002-09-13,7357679319
2002-09-16,7234376540
2002-09-17,7204931100
2002-09-18,6935321290
2002-09-19,6717241000
2002-09-20,6724602360
2002-09-23,6815699189
2002-09-24,6704358620
2002-09-25,6871829560
2002-09-26,7371481870
2002-09-27,7339275920
2002-09-30,7281965190
2002-10-01,7555466230
2002-10-02,7297673020
2002-10-03,6883725500
2002-10-04,6685991640
2002-10-07,6411566610
2002-10-08,6782086600
2002-10-09,6283132000
2002-10-10,6795022460
2002-10-11,6964112630
2002-10-14,7134126789
2002-10-15,7416867730
2002-10-16,7341100550
2002-10-17,7585033910
2002-10-18,7535138450
2002-10-21,7558238200
2002-10-22,7474155110
2002-10-23,7576718000
2002-10-24,7394691970
2002-10-25,7623841490
2002-10-28,7537910420
2002-10-29,7522202590
2002-10-30,7631233410
2002-10-31,7569326080
2002-11-01,7821575350
2002-11-04,7576718000
2002-11-05,7706076600
2002-11-06,7571174060
2002-11-07,7375288179
2002-11-08,7391920000
2002-11-11,7327240700
2002-11-12,7419639700
2002-11-13,7382680100
2002-11-14,7483395010
2002-11-15,7451979350
2002-11-18,7275497260
2002-11-19,7291205090
2002-11-20,7412247780
2002-11-21,7482471020
2002-11-22,7465839200
2002-11-25,7437195510
2002-11-26,7347568480
2002-11-27,7553618250
2002-11-29,7454751320
2002-12-02,7576718000
2002-12-03,7430727580
2002-12-04,7453827330
2002-12-05,7268105340
2002-12-06,7308760899
2002-12-09,7197882100
2002-12-10,7312456860
2002-12-11,7368820250
2002-12-12,7275497260
2002-12-13,7285661149
2002-12-16,7380832120
2002-12-17,7341100550
2002-12-18,7305988929
2002-12-19,7301368980
2002-12-20,7378060149
2002-12-23,7374364190
2002-12-24,7336480600
2002-12-26,7393767980
2002-12-27,7304140950
2002-12-30,7336480600
2002-12-31,7331860649
2003-01-02,7546226330
2003-01-03,7435347530
2003-01-06,7696836700
2003-01-07,7581337950
2003-01-08,7547150320
2003-01-09,7681128870
2003-01-10,7699608670
2003-01-13,7714392510
2003-01-14,7802171560
2003-01-15,7646017250
2003-01-16,7636777350
2003-01-17,7644169270
2003-01-21,7413171770
2003-01-22,7347568480
2003-01-23,7359580350
2003-01-24,7165542450
2003-01-27,7121190929
2003-01-28,7213589929
2003-01-29,7240385640
2003-01-30,7158150530
2003-01-31,7373440200
2003-02-03,7336480600
2003-02-04,7247777560
2003-02-05,7231145740
2003-02-06,7218209880
2003-02-07,7174782350
2003-02-10,7116570980
2003-02-11,7040803800
2003-02-12,7024171980
2003-02-13,7126734870
2003-02-14,7190490179
2003-02-18,7297673020
2003-02-19,7346644490
2003-02-20,7260713420
2003-02-21,7313380850
2003-02-24,7220981850
2003-02-25,7334632620
2003-02-26,7241309630
2003-02-27,7337404590
2003-02-28,7301368980
2003-03-03,7336480600
2003-03-04,7281965190
2003-03-05,7283813170
2003-03-06,7272725289
2003-03-07,7332784640
2003-03-10,7147062649
2003-03-11,7057435620
2003-03-12,6993680310
2003-03-13,7185870230
2003-03-14,7082383350
2003-03-17,7226525789
2003-03-18,7256093470
2003-03-19,7334632620
2003-03-20,7371592220
2003-03-21,7500950820
2003-03-24,7293053070
2003-03-25,7341100550
2003-03-26,7326316710
2003-03-27,7341100550
2003-03-28,7363276310
2003-03-31,9381901940
2003-04-01,9750826310
2003-04-02,9848728570
2003-04-03,9784256350
2003-04-04,9867831450
2003-04-07,9766347400
2003-04-08,9792613860
2003-04-09,9619494010
2003-04-10,9694711600
2003-04-11,9717396270
2003-04-14,9775898840
2003-04-15,9820074250
2003-04-16,9742468800
2003-04-17,9808134950
2003-04-21,9826043900
2003-04-22,10009909120
2003-04-23,10094678150
2003-04-24,9996775890
2003-04-25,9920364370
2003-04-28,10000357680
2003-04-29,9997969820
2003-04-30,10085126710
2003-05-01,10186610760
2003-05-02,10438529990
2003-05-05,10360924540
2003-05-06,10360924540
2003-05-07,10278543370
2003-05-08,10200937920
2003-05-09,10214071150
2003-05-12,10303615900
2003-05-13,10290482670
2003-05-14,10289288740
2003-05-15,10202131850
2003-05-16,10136465700
2003-05-19,10005133400
2003-05-20,10024236280
2003-05-21,10051696670
2003-05-22,10005133400
2003-05-23,10037369510
2003-05-27,10253470840
2003-05-28,10260634420
2003-05-29,10218846870
2003-05-30,10631946650
2003-06-02,10562698710
2003-06-03,10760891090
2003-06-04,10831332960
2003-06-05,10738206420
2003-06-06,10666570620
2003-06-09,10477929680
2003-06-10,10627170930
2003-06-11,10738206420
2003-06-12,10764472880
2003-06-13,10572250150
2003-06-16,10670152410
2003-06-17,10584189450
2003-06-18,10535238320
2003-06-19,10353760960
2003-06-20,10482705400
2003-06-23,10320330920
2003-06-24,10208101500
2003-06-25,10200937920
2003-06-26,10291676600
2003-06-27,10249889050
2003-06-30,10083407940
2003-07-01,10218699450
2003-07-02,10200740400
2003-07-03,10120523310
2003-07-07,10260603900
2003-07-08,10296522000
2003-07-09,10272576600
2003-07-10,10150455060
2003-07-11,10204332210
2003-07-14,10775430000
2003-07-15,10652111190
2003-07-16,10764654570
2003-07-17,10577880450
2003-07-18,10782613620
2003-07-21,10655703000
2003-07-22,10686832020
2003-07-23,10711974690
2003-07-24,10576683180
2003-07-25,10709580150
2003-07-28,10667675700
2003-07-29,10618587630
2003-07-30,10662886620
2003-07-31,10604220390
2003-08-01,10350399150
2003-08-04,10350399150
2003-08-05,10235461230
2003-08-06,10297719270
2003-08-07,10291732920
2003-08-08,10274971140
2003-08-11,10272576600
2003-08-12,10370752740
2003-08-13,10334834640
2003-08-14,10388711790
2003-08-15,10418643540
2003-08-18,10380330900
2003-08-19,10356385500
2003-08-20,10368358200
2003-08-21,10380330900
2003-08-22,10158835950
2003-08-25,10130101470
2003-08-26,10177992270
2003-08-27,10125312390
2003-08-28,10082210670
2003-08-29,10085802480
2003-09-02,10170808650
2003-09-03,10252223010
2003-09-04,10319270130
2003-09-05,10290535650
2003-09-08,10342018260
2003-09-09,10367160930
2003-09-10,10151652330
2003-09-11,10206726750
2003-09-12,10161230490
2003-09-15,10302508350
2003-09-16,10363569120
2003-09-17,10284549300
2003-09-18,10575485910
2003-09-19,10562315940
2003-09-22,10440194400
2003-09-23,10413854460
2003-09-24,10368358200
2003-09-25,10362371850
2003-09-26,10307297430
2003-09-29,10506044250
2003-09-30,10453127400
2003-10-01,10662668900
2003-10-02,10684221740
2003-10-03,10800367600
2003-10-06,10842275900
2003-10-07,10918908220
2003-10-08,10957224380
2003-10-09,11006316960
2003-10-10,10957224380
2003-10-13,11165568500
2003-10-14,11133239240
2003-10-15,11088936180
2003-10-16,11068580720
2003-10-17,10908131800
2003-10-20,10920105600
2003-10-21,10914118700
2003-10-22,10866223500
2003-10-23,10954829620
2003-10-24,10993145780
2003-10-27,11153594700
2003-10-28,11323622660
2003-10-29,11275727460
2003-10-30,11252977240
2003-10-31,11243398200
2003-11-03,11425399960
2003-11-04,11531966780
2003-11-05,11508019180
2003-11-06,11602612200
2003-11-07,11511611320
2003-11-10,11303267200
2003-11-11,11303267200
2003-11-12,11434979000
2003-11-13,11387083800
2003-11-14,11243398200
2003-11-17,11229029640
2003-11-18,11057804300
2003-11-19,11067383340
2003-11-20,11023080280
2003-11-21,11051817400
2003-11-24,11159581600
2003-11-25,11195503000
2003-11-26,11255372000
2003-11-28,11239806060
2003-12-01,11346372880
2003-12-02,11473295160
2003-12-03,11456531840
2003-12-04,11423005200
2003-12-05,11287701260
2003-12-08,11500834900
2003-12-09,11321227900
2003-12-10,11261358900
2003-12-11,11444558040
2003-12-12,11480479440
2003-12-15,11312846240
2003-12-16,11334399080
2003-12-17,11330806940
2003-12-18,11485268960
2003-12-19,11486466340
2003-12-22,11569085560
2003-12-23,11612191240
2003-12-24,11582256740
2003-12-26,11605006960
2003-12-29,11746297800
2003-12-30,11800179900
2003-12-31,11770245400
2004-01-02,11698402600
2004-01-05,11663678580
2004-01-06,11625362420
2004-01-07,11614586000
2004-01-08,11563098660
2004-01-09,11359544060
2004-01-12,11134436620
2004-01-13,10908131800
2004-01-14,10918908220
2004-01-15,11121265440
2004-01-16,10869815640
2004-01-20,10985961500
2004-01-21,10941658440
2004-01-22,10979974600
2004-01-23,11111686400
2004-01-26,11252977240
2004-01-27,11002724820
2004-01-28,10836289000
2004-01-29,10784801660
2004-01-30,10772827860
2004-02-02,10730919560
2004-02-03,10825512580
2004-02-04,10752472400
2004-02-05,10818328300
2004-02-06,11005119580
2004-02-09,11048225260
2004-02-10,11097317840
2004-02-11,11193108240
2004-02-12,11255372000
2004-02-13,11321227900
2004-02-17,11255372000
2004-02-18,11213463700
2004-02-19,11178739680
2004-02-20,11105699500
2004-02-23,11048225260
2004-02-24,11409834020
2004-02-25,11279319600
2004-02-26,11494848000
2004-02-27,11500834900
2004-03-01,11530769400
2004-03-02,11494848000
2004-03-03,11476887300
2004-03-04,11476887300
2004-03-05,11600217440
2004-03-08,11466110880
2004-03-09,11339188600
2004-03-10,11207476800
2004-03-11,10999132680
2004-03-12,11075765000
2004-03-15,10930882020
2004-03-16,10982369360
2004-03-17,11085344040
2004-03-18,10976382460
2004-03-19,10832696860
2004-03-22,10769235720
2004-03-23,10666261040
2004-03-24,10698590300
2004-03-25,10734511700
2004-03-26,10675840080
2004-03-29,10752472400
2004-03-30,10785999040
2004-03-31,10622426400
2004-04-01,10646071200
2004-04-02,10543216320
2004-04-05,10505384640
2004-04-06,10539669600
2004-04-07,10494744480
2004-04-08,10461641760
2004-04-12,10403712000
2004-04-13,10189726560
2004-04-14,10109334240
2004-04-15,10212189120
2004-04-16,10368244800
2004-04-19,10201548960
2004-04-20,9914264640
2004-04-21,9856334880
2004-04-22,10108152000
2004-04-23,10001750400
2004-04-26,10023030720
2004-04-27,10088053920
2004-04-28,9947367360
2004-04-29,9984016800
2004-04-30,10049040000
2004-05-03,10171992960
2004-05-04,10224011520
2004-05-05,10460459520
2004-05-06,10378884960
2004-05-07,10123521120
2004-05-10,9979287840
2004-05-11,10023030720
2004-05-12,10032488640
2004-05-13,10112880960
2004-05-14,10142436960
2004-05-17,10051404480
2004-05-18,10155441600
2004-05-19,10149530400
2004-05-20,10219282560
2004-05-21,10246474080
2004-05-24,10277212320
2004-05-25,10451001600
2004-05-26,10685085120
2004-05-27,10696907520
2004-05-28,10707547680
2004-06-01,10706365440
2004-06-02,10745379360
2004-06-03,10711094400
2004-06-04,10837594080
2004-06-07,10901435040
2004-06-08,10938084480
2004-06-09,10861238880
2004-06-10,10882519200
2004-06-14,10627155360
2004-06-15,10480557600
2004-06-16,10545580800
2004-06-17,10523118240
2004-06-18,10492380000
2004-06-21,10486468800
2004-06-22,10511295840
2004-06-23,10530211680
2004-06-24,10495926720
2004-06-25,10427356800
2004-06-28,10430903520
2004-06-29,10326866400
2004-06-30,10205108100
2004-07-01,10179390760
2004-07-02,10290442910
2004-07-06,10207446040
2004-07-07,10293949820
2004-07-08,10255373810
2004-07-09,10275246300
2004-07-12,10707765200
2004-07-13,10810634560
2004-07-14,10942728170
2004-07-15,10824662200
2004-07-16,10942728170
2004-07-19,10894800400
2004-07-20,11000007700
2004-07-21,10912334950
2004-07-22,10926362590
2004-07-23,10873758940
2004-07-26,10902983190
2004-07-27,10938052290
2004-07-28,10836351900
2004-07-29,10924024650
2004-07-30,10898307310
2004-08-02,11244322430
2004-08-03,11073652810
2004-08-04,11052611350
2004-08-05,10938052290
2004-08-06,10821155290
2004-08-09,10859731300
2004-08-10,11105215000
2004-08-11,11058456200
2004-08-12,11058456200
2004-08-13,11028062980
2004-08-16,11222112000
2004-08-17,11247829340
2004-08-18,11506171710
2004-08-19,11213929210
2004-08-20,11263025950
2004-08-23,11222112000
