,GME
2003-03-26,684996000
2003-03-27,684996000
2003-03-28,689562640
2003-03-31,684996000
2003-04-01,684996000
2003-04-02,694129280
2003-04-03,684996000
2003-04-04,735229040
2003-04-07,739795680
2003-04-08,730662400
2003-04-09,716962480
2003-04-10,703262560
2003-04-11,707829200
2003-04-14,726095760
2003-04-15,716962480
2003-04-16,721529120
2003-04-17,707829200
2003-04-21,721529120
2003-04-22,726095760
2003-04-23,744362320
2003-04-24,707829200
2003-04-25,689562640
2003-04-28,703262560
2003-04-29,726095760
2003-04-30,680429360
2003-05-01,649380160
2003-05-02,640297920
2003-05-05,681168000
2003-05-06,667544640
2003-05-07,753825920
2003-05-08,740202560
2003-05-09,753825920
2003-05-12,776531520
2003-05-13,740202560
2003-05-14,758367040
2003-05-15,735661440
2003-05-16,740202560
2003-05-19,703873600
2003-05-20,685709120
2003-05-21,699332480
2003-05-22,653921280
2003-05-23,667544640
2003-05-27,685709120
2003-05-28,708414720
2003-05-29,708414720
2003-05-30,712955840
2003-06-02,717496960
2003-06-03,717496960
2003-06-04,717496960
2003-06-05,731120320
2003-06-06,731120320
2003-06-09,722038080
2003-06-10,722038080
2003-06-11,722038080
2003-06-12,722038080
2003-06-13,722038080
2003-06-16,749284800
2003-06-17,790154880
2003-06-18,785613760
2003-06-19,767449280
2003-06-20,771990400
2003-06-23,744743680
2003-06-24,758367040
2003-06-25,749284800
2003-06-26,735661440
2003-06-27,712955840
2003-06-30,735661440
2003-07-01,749284800
2003-07-02,771990400
2003-07-03,753825920
2003-07-07,781072640
2003-07-08,826483840
2003-07-09,844648320
2003-07-10,812860480
2003-07-11,799237120
2003-07-14,817401600
2003-07-15,803778240
2003-07-16,771990400
2003-07-17,767449280
2003-07-18,767449280
2003-07-21,749284800
2003-07-22,781072640
2003-07-23,753825920
2003-07-24,762908160
2003-07-25,767449280
2003-07-28,799237120
2003-07-29,808319360
2003-07-30,803778240
2003-07-31,771990400
2003-08-01,753969840
2003-08-04,767353920
2003-08-05,749508480
2003-08-06,731663040
2003-08-07,731663040
2003-08-08,709356240
2003-08-11,704894880
2003-08-12,709356240
2003-08-13,718278960
2003-08-14,731663040
2003-08-15,736124400
2003-08-18,727201680
2003-08-19,798583440
2003-08-20,825351600
2003-08-21,874426560
2003-08-22,910117440
2003-08-25,919040160
2003-08-26,887810640
2003-08-27,914578799
2003-08-28,919040160
2003-08-29,927962880
2003-09-02,963653760
2003-09-03,990421920
2003-09-04,1003806000
2003-09-05,1003806000
2003-09-08,994883280
2003-09-09,985960560
2003-09-10,963653760
2003-09-11,945808320
2003-09-12,936885600
2003-09-15,959192400
2003-09-16,941346960
2003-09-17,963653760
2003-09-18,954731040
2003-09-19,954731040
2003-09-22,936885600
2003-09-23,954731040
2003-09-24,914578799
2003-09-25,892272000
2003-09-26,905656079
2003-09-29,910117440
2003-09-30,887810640
2003-10-01,905656079
2003-10-02,923501519
2003-10-03,927962880
2003-10-06,963653760
2003-10-07,963653760
2003-10-08,950269680
2003-10-09,977037840
2003-10-10,972576480
2003-10-13,1026112799
2003-10-14,1052880960
2003-10-15,1057342320
2003-10-16,1043958239
2003-10-17,1017190079
2003-10-20,1008267359
2003-10-21,1003806000
2003-10-22,977037840
2003-10-23,950269680
2003-10-24,896733359
2003-10-27,927962880
2003-10-28,968115120
2003-10-29,950269680
2003-10-30,950269680
2003-10-31,936885600
2003-11-03,869013600
2003-11-04,882383040
2003-11-05,931404319
2003-11-06,940317280
2003-11-07,935860800
2003-11-10,926947840
2003-11-11,940317280
2003-11-12,962599680
2003-11-13,931404319
2003-11-14,900208960
2003-11-17,891296000
2003-11-18,842274720
2003-11-19,860100640
2003-11-20,904665439
2003-11-21,900208960
2003-11-24,918034880
2003-11-25,900208960
2003-11-26,900208960
2003-11-28,900208960
2003-12-01,891296000
2003-12-02,851187680
2003-12-03,851187680
2003-12-04,828905280
2003-12-05,819992320
2003-12-08,815535840
2003-12-09,797709920
2003-12-10,806622880
2003-12-11,851187680
2003-12-12,842274720
2003-12-15,802166400
2003-12-16,833361760
2003-12-17,819992320
2003-12-18,842274720
2003-12-19,855644160
2003-12-22,837818240
2003-12-23,877926560
2003-12-24,833361760
2003-12-26,837818240
2003-12-29,860100640
2003-12-30,864557120
2003-12-31,860100640
2004-01-02,842274720
2004-01-05,895752479
2004-01-06,1002708000
2004-01-07,949230240
2004-01-08,1033903359
2004-01-09,1002708000
2004-01-12,1002708000
2004-01-13,993795040
2004-01-14,980425600
2004-01-15,967056160
2004-01-16,975969120
2004-01-20,967056160
2004-01-21,971512640
2004-01-22,958143200
2004-01-23,944773760
2004-01-26,953686720
2004-01-27,949230240
2004-01-28,922491359
2004-01-29,918034880
2004-01-30,926947840
2004-02-02,930076800
2004-02-03,930076800
2004-02-04,930076800
2004-02-05,939195200
2004-02-06,993905600
2004-02-09,957432000
2004-02-10,980228000
2004-02-11,998464800
2004-02-12,998464800
2004-02-13,980228000
2004-02-17,1044056800
2004-02-18,1030379199
2004-02-19,1030379199
2004-02-20,1025820000
2004-02-23,1016701600
2004-02-24,1062293600
2004-02-25,1062293600
2004-02-26,1053175200
2004-02-27,1062293600
2004-03-01,1057734399
2004-03-02,1034938400
2004-03-03,1044056800
2004-03-04,1025820000
2004-03-05,1030379199
2004-03-08,1016701600
2004-03-09,1012142400
2004-03-10,971109600
2004-03-11,961991200
2004-03-12,1021260800
2004-03-15,1003024000
2004-03-16,980228000
2004-03-17,961991200
2004-03-18,952872799
2004-03-19,971109600
2004-03-22,939195200
2004-03-23,971109600
2004-03-24,966550400
2004-03-25,984787200
2004-03-26,998464800
2004-03-29,1034938400
2004-03-30,1025820000
2004-03-31,1025820000
2004-04-01,1021260800
2004-04-02,1048615999
2004-04-05,1053175200
2004-04-06,1048615999
2004-04-07,1044056800
2004-04-08,1048615999
2004-04-12,1053175200
2004-04-13,1021260800
2004-04-14,1021260800
2004-04-15,1044056800
2004-04-16,1039497599
2004-04-19,1039497599
2004-04-20,1025820000
2004-04-21,1053175200
2004-04-22,1057734399
2004-04-23,1034938400
2004-04-26,1034938400
2004-04-27,1044056800
2004-04-28,1025820000
2004-04-29,1012142400
2004-04-30,1003024000
2004-05-03,1005571200
2004-05-04,1028219200
2004-05-05,1023689599
2004-05-06,1023689599
2004-05-07,996512000
2004-05-10,973864000
2004-05-11,991982400
2004-05-12,982923200
2004-05-13,978393600
2004-05-14,964804800
2004-05-17,937627199
2004-05-18,892331200
2004-05-19,878742400
2004-05-20,869683200
2004-05-21,874212800
2004-05-24,869683200
2004-05-25,874212800
2004-05-26,887801600
2004-05-27,892331200
2004-05-28,883272000
2004-06-01,878742400
2004-06-02,883272000
2004-06-03,865153600
2004-06-04,883272000
2004-06-07,901390400
2004-06-08,901390400
2004-06-09,910449599
2004-06-10,896860800
2004-06-14,874212800
2004-06-15,874212800
2004-06-16,892331200
2004-06-17,878742400
2004-06-18,851564800
2004-06-21,851564800
2004-06-22,824387200
2004-06-23,842505600
2004-06-24,833446400
2004-06-25,856094400
2004-06-28,851564800
2004-06-29,842505600
2004-06-30,860624000
2004-07-01,837976000
2004-07-02,842505600
2004-07-06,833446400
2004-07-07,824387200
2004-07-08,833446400
2004-07-09,837976000
2004-07-12,851564800
2004-07-13,856094400
2004-07-14,856094400
2004-07-15,856094400
2004-07-16,851564800
2004-07-19,837976000
2004-07-20,860624000
2004-07-21,878742400
2004-07-22,869683200
2004-07-23,824387200
2004-07-26,824387200
2004-07-27,865153600
2004-07-28,856094400
2004-07-29,869683200
2004-07-30,874212800
2004-08-02,851957120
2004-08-03,830223520
2004-08-04,825876800
2004-08-05,812836640
2004-08-06,817183360
2004-08-09,808489920
2004-08-10,821530080
2004-08-11,817183360
2004-08-12,808489920
2004-08-13,817183360
2004-08-16,860650560
2004-08-17,873690719
2004-08-18,908464479
2004-08-19,930198080
2004-08-20,925851360
2004-08-23,908464479
2004-08-24,921504640
2004-08-25,925851360
2004-08-26,917157920
2004-08-27,921504640
2004-08-30,930198080
2004-08-31,908464479
2004-09-01,921504640
2004-09-02,938891520
2004-09-03,938891520
2004-09-07,943238240
2004-09-08,925851360
2004-09-09,938891520
2004-09-10,938891520
2004-09-13,943238240
2004-09-14,947584960
2004-09-15,951931680
2004-09-16,964971840
2004-09-17,1017132479
2004-09-20,982358719
2004-09-21,1004092320
2004-09-22,991052159
2004-09-23,969318560
2004-09-24,991052159
2004-09-27,973665280
2004-09-28,964971840
2004-09-29,986705440
2004-09-30,1004092320
2004-10-01,1030172640
2004-10-04,1082333280
2004-10-05,1099720160
2004-10-06,1082333280
2004-10-07,1030172640
2004-10-08,1017132479
2004-10-11,1038866080
2004-10-12,1043212800
2004-10-13,1025825920
2004-10-14,1004092320
2004-10-15,1038866080
2004-10-18,1038866080
2004-10-19,1030172640
2004-10-20,1038866080
2004-10-21,1060599680
2004-10-22,1047559520
2004-10-25,1043212800
2004-10-26,1056252960
2004-10-27,1086680000
2004-10-28,1082333280
2004-10-29,1064946400
2004-11-01,1077986560
2004-11-02,1091026720
2004-11-03,1086680000
2004-11-04,1104066880
2004-11-05,1169267680
2004-11-08,1243161920
2004-11-09,1195348000
2004-11-10,1160574240
2004-11-11,1160574240
2004-11-12,1277935680
2004-11-15,1256202080
2004-11-16,1212734880
2004-11-17,1195348000
2004-11-18,1191001280
2004-11-19,1117107040
2004-11-22,1073639840
2004-11-23,1121453760
2004-11-24,1169267680
2004-11-26,1177961120
2004-11-29,1160574240
2004-11-30,1147534080
2004-12-01,1147534080
2004-12-02,1143187360
2004-12-03,1143187360
2004-12-06,1143187360
2004-12-07,1147534080
2004-12-08,1164920960
2004-12-09,1164920960
2004-12-10,1177961120
2004-12-13,1169267680
2004-12-14,1151880800
2004-12-15,1156227520
2004-12-16,1164920960
2004-12-17,1147534080
2004-12-20,1143187360
2004-12-21,1151880800
2004-12-22,1191001280
2004-12-23,1164920960
2004-12-27,1160574240
2004-12-28,1208388160
2004-12-29,1212734880
2004-12-30,1221428320
2004-12-31,1217081600
2005-01-03,1169267680
2005-01-04,1156227520
2005-01-05,1156227520
2005-01-06,1147534080
2005-01-07,1060599680
2005-01-10,1051906240
2005-01-11,1038866080
2005-01-12,1034519360
2005-01-13,1030172640
2005-01-14,1034519360
2005-01-18,1051906240
2005-01-19,1051906240
2005-01-20,1043212800
2005-01-21,1038866080
2005-01-24,1012785760
2005-01-25,1017132479
2005-01-26,1038866080
2005-01-27,1047559520
2005-01-28,1021479200
2005-01-31,1038866080
2005-02-01,983280000
2005-02-02,1020000000
2005-02-03,999600000
2005-02-04,1003680000
2005-02-07,995520000
2005-02-08,995520000
2005-02-09,975120000
2005-02-10,966960000
2005-02-11,975120000
2005-02-14,983280000
2005-02-15,1003680000
2005-02-16,1003680000
2005-02-17,1007760000
2005-02-18,995520000
2005-02-22,954720000
2005-02-23,962880000
2005-02-24,950640000
2005-02-25,979200000
2005-02-28,991440000
2005-03-01,1032239999
2005-03-02,1036320000
2005-03-03,1036320000
2005-03-04,1056720000
2005-03-07,1060800000
2005-03-08,1048559999
2005-03-09,1032239999
2005-03-10,1036320000
2005-03-11,1036320000
2005-03-14,1003680000
2005-03-15,1081200000
2005-03-16,1060800000
2005-03-17,1073040000
2005-03-18,1073040000
2005-03-21,1052640000
2005-03-22,995520000
2005-03-23,1117920000
2005-03-24,1150560000
2005-03-28,1195440000
2005-03-29,1150560000
2005-03-30,1158720000
2005-03-31,1130160000
2005-04-01,1109760000
2005-04-04,1109760000
2005-04-05,1126080000
2005-04-06,1117920000
2005-04-07,1122000000
2005-04-08,1109760000
2005-04-11,1097520000
2005-04-12,1117920000
2005-04-13,1097520000
2005-04-14,1064880000
2005-04-15,1101600000
2005-04-18,1207680000
2005-04-19,1228080000
2005-04-20,1195440000
2005-04-21,1219920000
2005-04-22,1207680000
2005-04-25,1244400000
2005-04-26,1252560000
2005-04-27,1248480000
2005-04-28,1252560000
2005-04-29,1256640000
2005-05-02,1326269280
2005-05-03,1318005920
2005-05-04,1297347520
2005-05-05,1334532640
2005-05-06,1334532640
2005-05-09,1330400960
2005-05-10,1326269280
2005-05-11,1330400960
2005-05-12,1334532640
2005-05-13,1318005920
2005-05-16,1326269280
2005-05-17,1355191040
2005-05-18,1404771200
2005-05-19,1446088000
2005-05-20,1446088000
2005-05-23,1475009760
2005-05-24,1536984960
2005-05-25,1475009760
2005-05-26,1520458240
2005-05-27,1541116640
2005-05-31,1508063200
2005-06-01,1549380000
2005-06-02,1553511680
2005-06-03,1607223520
2005-06-06,1681593760
2005-06-07,1652672000
2005-06-08,1611355200
2005-06-09,1669198720
2005-06-10,1693988799
2005-06-13,1685725440
2005-06-14,1673330400
2005-06-15,1731173920
2005-06-16,1702252160
2005-06-17,1706383840
2005-06-20,1673330400
2005-06-21,1656803680
2005-06-22,1677462079
2005-06-23,1677462079
2005-06-24,1656803680
2005-06-27,1632013600
2005-06-28,1673330400
2005-06-29,1677462079
2005-06-30,1689857120
2005-07-01,1693988799
2005-07-05,1710515519
2005-07-06,1735305600
2005-07-07,1768359040
2005-07-08,1813807519
2005-07-11,1830334240
2005-07-12,1842729280
2005-07-13,1830334240
2005-07-14,1826202560
2005-07-15,1817939200
2005-07-18,1805544160
2005-07-19,1805544160
2005-07-20,1822070880
2005-07-21,1809675840
2005-07-22,1780754079
2005-07-25,1764227359
2005-07-26,1760095680
2005-07-27,1805544160
2005-07-28,1826202560
2005-07-29,1772490720
2005-08-01,1929950400
2005-08-02,1966193600
2005-08-03,1943541600
2005-08-04,1893707199
2005-08-05,1825751200
2005-08-08,1825751200
2005-08-09,1861994400
2005-08-10,1866524800
2005-08-11,1839342399
2005-08-12,1775916800
2005-08-15,1784977600
2005-08-16,1703430400
2005-08-17,1667187200
2005-08-18,1830281600
2005-08-19,1866524800
2005-08-22,1939011200
2005-08-23,1975254400
2005-08-24,1952602399
2005-08-25,1952602399
2005-08-26,1925420000
2005-08-29,1911828800
2005-08-30,1889176800
2005-08-31,1911828800
2005-09-01,1898237600
2005-09-02,1916359200
2005-09-06,2025088800
2005-09-07,2052271200
2005-09-08,2038680000
2005-09-09,2047740799
2005-09-12,2061332000
2005-09-13,2052271200
2005-09-14,2079453600
2005-09-15,2029619200
2005-09-16,2038680000
2005-09-19,2038680000
2005-09-20,1997906400
2005-09-21,1875585599
2005-09-22,1889176800
2005-09-23,1911828800
2005-09-26,1884646400
2005-09-27,1852933600
2005-09-28,1861994400
2005-09-29,1816690400
2005-09-30,1780447200
2005-10-03,1753264800
2005-10-04,1784977600
2005-10-05,1812160000
2005-10-06,1757795200
2005-10-07,1739673600
2005-10-10,1771386400
2005-10-11,1748734400
2005-10-12,1739673600
2005-10-13,1735143200
2005-10-14,1753264800
2005-10-17,1784977600
2005-10-18,1861994400
2005-10-19,1925420000
2005-10-20,1925420000
2005-10-21,1929950400
2005-10-24,1966193600
2005-10-25,2020558400
2005-10-26,1920889600
2005-10-27,1871055200
2005-10-28,1952602399
2005-10-31,2743056000
2005-11-01,2755440000
2005-11-02,2804976000
2005-11-03,2860704000
2005-11-04,2817360000
2005-11-07,2879280000
2005-11-08,2817360000
2005-11-09,2860704000
2005-11-10,2848320000
2005-11-11,2780208000
2005-11-14,2792592000
2005-11-15,2749248000
2005-11-16,2743056000
2005-11-17,2767824000
2005-11-18,2804976000
2005-11-21,2922624000
2005-11-22,2829744000
2005-11-23,2743056000
2005-11-25,2829744000
2005-11-28,2724480000
2005-11-29,2705904000
2005-11-30,2606832000
2005-12-01,2600640000
2005-12-02,2724480000
2005-12-05,2699712000
2005-12-06,2712096000
2005-12-07,2656368000
2005-12-08,2681136000
2005-12-09,2625408000
2005-12-12,2643983999
2005-12-13,2544912000
2005-12-14,2551104000
2005-12-15,2445840000
2005-12-16,2439648000
2005-12-19,2390112000
2005-12-20,2359152000
2005-12-21,2383920000
2005-12-22,2365344000
2005-12-23,2371536000
2005-12-27,2390112000
2005-12-28,2439648000
2005-12-29,2458224000
2005-12-30,2464416000
2006-01-03,2501568000
2006-01-04,2588256000
2006-01-05,2885472000
2006-01-06,2984544000
2006-01-09,2965968000
2006-01-10,2996928000
2006-01-11,3034080000
2006-01-12,2984544000
2006-01-13,2965968000
2006-01-17,2959776000
2006-01-18,2947392000
2006-01-19,2996928000
2006-01-20,2947392000
2006-01-23,2947392000
2006-01-24,2947392000
2006-01-25,2965968000
2006-01-26,2996928000
2006-01-27,3027888000
2006-01-30,2900412320
2006-01-31,2959125120
2006-02-01,3094164559
2006-02-02,3088293280
2006-02-03,3123520960
2006-02-06,3164619920
2006-02-07,3076550720
2006-02-08,3064808160
2006-02-09,2970867680
2006-02-10,2970867680
2006-02-13,2947382559
2006-02-14,2976738960
2006-02-15,2982610240
2006-02-16,3058936880
2006-02-17,3017837920
2006-02-21,2970867680
2006-02-22,3011966640
2006-02-23,2935640000
2006-02-24,2941511280
2006-02-27,2953253840
2006-02-28,2935640000
2006-03-01,3006095360
2006-03-02,2959125120
2006-03-03,3011966640
2006-03-06,2994352800
2006-03-07,2929768720
2006-03-08,2841699520
2006-03-09,2806471840
2006-03-10,2847570800
2006-03-13,2871055920
2006-03-14,2970867680
2006-03-15,2918026160
2006-03-16,2941511280
2006-03-17,3017837920
2006-03-20,3035451760
2006-03-21,3305530640
2006-03-22,3334887040
2006-03-23,3317273200
2006-03-24,3434698800
2006-03-27,3440570080
2006-03-28,3399471120
2006-03-29,3452312640
2006-03-30,3452312640
2006-03-31,3458183920
2006-04-03,3411213680
2006-04-04,3522768000
2006-04-05,3569738240
2006-04-06,3593223360
2006-04-07,3593223360
2006-04-10,3569738240
2006-04-11,3446441360
2006-04-12,3458183920
2006-04-13,3440570080
2006-04-17,3422956240
2006-04-18,3434698800
2006-04-19,3452312640
2006-04-20,3487540320
2006-04-21,3446441360
2006-04-24,3428827520
2006-04-25,3434698800
2006-04-26,3475797760
2006-04-27,3475797760
2006-04-28,3464055200
2006-05-01,3573546200
2006-05-02,3603576000
2006-05-03,3603576000
2006-05-04,3561534280
2006-05-05,3621593880
2006-05-08,3561534280
2006-05-09,3573546200
2006-05-10,3483456800
2006-05-11,3369343560
2006-05-12,3297272040
2006-05-15,3261236280
2006-05-16,3327301840
2006-05-17,3351325680
2006-05-18,3405379320
2006-05-19,3375349520
2006-05-22,3255230320
2006-05-23,3249224360
2006-05-24,3159134960
2006-05-25,3261236280
2006-05-26,3273248200
2006-05-30,3165140919
2006-05-31,3225200520
2006-06-01,3297272040
2006-06-02,3261236280
2006-06-05,3075051520
2006-06-06,3129105160
2006-06-07,3099075360
2006-06-08,3075051520
2006-06-09,3105081320
2006-06-12,3008985960
2006-06-13,2966944240
2006-06-14,3033009800
2006-06-15,3099075360
2006-06-16,2960938280
2006-06-19,2846825040
2006-06-20,2750729680
2006-06-21,2882860800
2006-06-22,2762741600
2006-06-23,2828807160
2006-06-26,2786765440
2006-06-27,2762741600
2006-06-28,2786765440
2006-06-29,2936914440
2006-06-30,3153129000
2006-07-03,2984962120
2006-07-05,2918896560
2006-07-06,2942920400
2006-07-07,2858836960
2006-07-10,2780759480
2006-07-11,2804783320
2006-07-12,2768747560
2006-07-13,2954932320
2006-07-14,2924902520
2006-07-17,2828807160
2006-07-18,2960938280
2006-07-19,3075051520
2006-07-20,2918896560
2006-07-21,2840819080
2006-07-24,2936914440
2006-07-25,3020997880
2006-07-26,3069045560
2006-07-27,3069045560
2006-07-28,3171146880
2006-07-31,3136328000
2006-08-01,3051888400
2006-08-02,3232830400
2006-08-03,3347427000
2006-08-04,3341395600
2006-08-07,3371552600
2006-08-08,3341395600
2006-08-09,3299175800
2006-08-10,3359489800
2006-08-11,3504243400
2006-08-14,3474086400
2006-08-15,3492180600
2006-08-16,3546463200
2006-08-17,3407741000
2006-08-18,3347427000
2006-08-21,3244893200
2006-08-22,3287113000
2006-08-23,3293144400
2006-08-24,3184579200
2006-08-25,3154422200
2006-08-28,3208704800
2006-08-29,3250924600
2006-08-30,3287113000
2006-08-31,3293144400
2006-09-01,3262987400
2006-09-05,3329332799
2006-09-06,3293144400
2006-09-07,3293144400
2006-09-08,3371552600
2006-09-11,3437898000
2006-09-12,3564557400
2006-09-13,3612808600
2006-09-14,3558526000
2006-09-15,3594714400
2006-09-18,3630902799
2006-09-19,3618840000
2006-09-20,3648997000
2006-09-21,3685185400
2006-09-22,3552494600
2006-09-25,3618840000
2006-09-26,3636934200
2006-09-27,3558526000
2006-09-28,3516306200
2006-09-29,3492180600
2006-10-02,3474086400
2006-10-03,3570588800
2006-10-04,3618840000
2006-10-05,3636934200
2006-10-06,3588683000
2006-10-09,3624871400
2006-10-10,3618840000
2006-10-11,3697248200
2006-10-12,3787719200
2006-10-13,3902315800
2006-10-16,3902315800
2006-10-17,3854064600
2006-10-18,3842001800
2006-10-19,3866127400
2006-10-20,3866127400
2006-10-23,3926441400
2006-10-24,3835970400
2006-10-25,3745499400
2006-10-26,3890253000
2006-10-27,3896284400
2006-10-30,3866422080
2006-10-31,3878580640
2006-11-01,3805629280
2006-11-02,3823867120
2006-11-03,4067038320
2006-11-06,4048800480
2006-11-07,4030562640
2006-11-08,4048800480
2006-11-09,3951532000
2006-11-10,3975849120
2006-11-13,3975849120
2006-11-14,4036641920
2006-11-15,4006245520
2006-11-16,3969769840
2006-11-17,3933294160
