,GRMN
2001-09-28,1744861040
2001-10-01,1715011437
2001-10-02,1665581283
2001-10-03,1672028694
2001-10-04,1717160574
2001-10-05,1727906260
2001-10-08,1719309712
2001-10-09,1708564026
2001-10-10,1719309712
2001-10-11,1850407077
2001-10-12,1869749311
2001-10-15,1871898448
2001-10-16,1848257940
2001-10-17,1811722609
2001-10-18,1805275197
2001-10-19,1779485551
2001-10-22,1826766569
2001-10-23,1831064843
2001-10-24,1833213980
2001-10-25,1818170020
2001-10-26,1841810528
2001-10-29,1826766569
2001-10-30,1781634689
2001-10-31,1805275197
2001-11-01,1816020883
2001-11-02,1816020883
2001-11-05,1803126060
2001-11-06,1811722609
2001-11-07,1822468294
2001-11-08,1807424334
2001-11-09,1822468294
2001-11-12,1811722609
2001-11-13,1833213980
2001-11-14,1781634689
2001-11-15,1816020883
2001-11-16,1833213980
2001-11-19,1831064843
2001-11-20,1826766569
2001-11-21,1816020883
2001-11-23,1818170020
2001-11-26,1848257940
2001-11-27,1837512254
2001-11-28,1833213980
2001-11-29,1850407077
2001-11-30,1876196723
2001-12-03,1927776014
2001-12-04,1921328603
2001-12-05,1934223426
2001-12-06,1934223426
2001-12-07,1938521700
2001-12-10,2033083734
2001-12-11,2052425968
2001-12-12,2084663025
2001-12-13,2069619065
2001-12-14,2095408711
2001-12-17,2149137140
2001-12-18,2260892271
2001-12-19,2151286277
2001-12-20,2209312979
2001-12-21,2258743134
2001-12-24,2267339682
2001-12-26,2267339682
2001-12-27,2271637956
2001-12-28,2290980191
2001-12-31,4595611280
2002-01-02,4582678040
2002-01-03,4586989120
2002-01-04,4604233440
2002-01-07,4509389680
2002-01-08,4367124040
2002-01-09,4362812960
2002-01-10,4449034560
2002-01-11,4375746200
2002-01-14,4311080000
2002-01-15,4466278880
2002-01-16,4285213520
2002-01-17,4272280280
2002-01-18,4216236239
2002-01-22,4181747599
2002-01-23,4194680840
2002-01-24,4177436520
2002-01-25,4155881120
2002-01-28,4155881120
2002-01-29,4095526000
2002-01-30,4108459239
2002-01-31,4125703560
2002-02-01,4082592760
2002-02-04,4086903840
2002-02-05,4043793040
2002-02-06,4065348440
2002-02-07,4065348440
2002-02-08,4095526000
2002-02-11,4095526000
2002-02-12,4198991920
2002-02-13,4216236239
2002-02-14,4311080000
2002-02-15,4293835680
2002-02-19,4293835680
2002-02-20,4289524599
2002-02-21,4250724879
2002-02-22,4267969200
2002-02-25,4311080000
2002-02-26,4328324320
2002-02-27,4341257560
2002-02-28,4341257560
2002-03-01,4345568640
2002-03-04,4548189400
2002-03-05,4625788840
2002-03-06,4630099920
2002-03-07,4690455040
2002-03-08,4755121240
2002-03-11,4768054480
2002-03-12,4755121240
2002-03-13,4483523200
2002-03-14,4621477760
2002-03-15,4569744800
2002-03-18,4655966400
2002-03-19,4686143960
2002-03-20,4750810160
2002-03-21,4768054480
2002-03-22,4837031760
2002-03-25,4828409600
2002-03-26,4858587160
2002-03-27,4871520400
2002-03-28,4940497680
2002-04-01,2479124000
2002-04-02,2494214320
2002-04-03,2485591280
2002-04-04,2489902800
2002-04-05,2502837360
2002-04-08,2485591280
2002-04-09,2479124000
2002-04-10,2485591280
2002-04-11,2494214320
2002-04-12,2496370080
2002-04-15,2481279760
2002-04-16,2496370080
2002-04-17,2487747040
2002-04-18,2476968240
2002-04-19,2472656720
2002-04-22,2444631840
2002-04-23,2431697280
2002-04-24,2420918480
2002-04-25,2410139680
2002-04-26,2425230000
2002-04-29,2425230000
2002-04-30,2425230000
2002-05-01,2457566400
2002-05-02,2468345200
2002-05-03,2479124000
2002-05-06,2476968240
2002-05-07,2466189440
2002-05-08,2472656720
2002-05-09,2472656720
2002-05-10,2474812480
2002-05-13,2474812480
2002-05-14,2479124000
2002-05-15,2509304640
2002-05-16,2548108320
2002-05-17,2608469600
2002-05-20,2578288960
2002-05-21,2586912000
2002-05-22,2586912000
2002-05-23,2602002320
2002-05-24,2589067760
2002-05-28,2608469600
2002-05-29,2597690800
2002-05-30,2586912000
2002-05-31,2584756240
2002-06-03,2539485280
2002-06-04,2554575600
2002-06-05,2584756240
2002-06-06,2563198640
2002-06-07,2580444720
2002-06-10,2578288960
2002-06-11,2500681600
2002-06-12,2349778400
2002-06-13,2386426320
2002-06-14,2539485280
2002-06-17,2586912000
2002-06-18,2561042880
2002-06-19,2470500960
2002-06-20,2481279760
2002-06-21,2487747040
2002-06-24,2496370080
2002-06-25,2395049360
2002-06-26,2377803280
2002-06-27,2373491760
2002-06-28,2377803280
2002-07-01,2360776200
2002-07-02,2263758000
2002-07-03,2183987480
2002-07-05,2145180199
2002-07-08,2134400400
2002-07-09,2061097760
2002-07-10,2048162000
2002-07-11,2026602400
2002-07-12,2048162000
2002-07-15,2084813320
2002-07-16,2086969280
2002-07-17,2048162000
2002-07-18,2069721600
2002-07-19,2054629879
2002-07-22,2054629879
2002-07-23,2063253720
2002-07-24,1994263000
2002-07-25,1951143800
2002-07-26,1955455720
2002-07-29,2033070280
2002-07-30,2043850080
2002-07-31,2192611320
2002-08-01,2155960000
2002-08-02,2160271920
2002-08-05,2145180199
2002-08-06,2155960000
2002-08-07,2160271920
2002-08-08,2160271920
2002-08-09,2153804040
2002-08-12,2162427880
2002-08-13,2093437160
2002-08-14,2074033519
2002-08-15,2091281199
2002-08-16,2110684839
2002-08-19,2291785480
2002-08-20,2261602040
2002-08-21,2304721240
2002-08-22,2259446080
2002-08-23,2220638800
2002-08-26,2214170920
2002-08-27,2255134160
2002-08-28,2177519600
2002-08-29,2177519600
2002-08-30,2175363640
2002-09-03,2002886839
2002-09-04,2130088480
2002-09-05,2121464640
2002-09-06,2205547080
2002-09-09,2188299400
2002-09-10,2246510320
2002-09-11,2216326880
2002-09-12,2224950720
2002-09-13,2235730520
2002-09-16,2196923240
2002-09-17,2177519600
2002-09-18,2078345440
2002-09-19,1994263000
2002-09-20,2028758360
2002-09-23,1989951080
2002-09-24,1981327240
2002-09-25,2000730879
2002-09-26,2024446440
2002-09-27,2020134519
2002-09-30,2009119999
2002-10-01,2056750000
2002-10-02,2017780000
2002-10-03,2022110000
2002-10-04,2032935000
2002-10-07,1980975000
2002-10-08,1965820000
2002-10-09,1948500000
2002-10-10,1987470000
2002-10-11,2009119999
2002-10-14,2002625000
2002-10-15,2037265000
2002-10-16,2013450000
2002-10-17,2056750000
2002-10-18,2024275000
2002-10-21,2024275000
2002-10-22,1980975000
2002-10-23,1987470000
2002-10-24,1974479999
2002-10-25,2011284999
2002-10-28,2167165000
2002-10-29,2113040000
2002-10-30,2249435000
2002-10-31,2264590000
2002-11-01,2273250000
2002-11-04,2372840000
2002-11-05,2392325000
2002-11-06,2381500000
2002-11-07,2390160000
2002-11-08,2416140000
2002-11-11,2424800000
2002-11-12,2446450000
2002-11-13,2446450000
2002-11-14,2489750000
2002-11-15,2522225000
2002-11-18,2504905000
2002-11-19,2500575000
2002-11-20,2541710000
2002-11-21,2587175000
2002-11-22,2598000000
2002-11-25,2608825000
2002-11-26,2585010000
2002-11-27,2602330000
2002-11-29,2576350000
2002-12-02,2760375000
2002-12-03,2667280000
2002-12-04,2675940000
2002-12-05,2615320000
2002-12-06,2658620000
2002-12-09,2598000000
2002-12-10,2673775000
2002-12-11,2706250000
2002-12-12,2706250000
2002-12-13,2621815000
2002-12-16,3076465000
2002-12-17,3031000000
2002-12-18,2983370000
2002-12-19,3046155000
2002-12-20,3134920000
2002-12-23,3284305000
2002-12-24,3232345000
2002-12-26,3228015000
2002-12-27,3223685000
2002-12-30,6243712320
2002-12-31,6325752800
2003-01-02,6472562080
2003-01-03,6653914720
2003-01-06,6852539040
2003-01-07,6761862720
2003-01-08,6576192160
2003-01-09,6692776000
2003-01-10,6796406080
2003-01-13,6628007200
2003-01-14,6684140160
2003-01-15,6662550560
2003-01-16,6658232640
2003-01-17,6533012960
2003-01-21,6127128480
2003-01-22,6148718080
2003-01-23,6248030240
2003-01-24,6239394400
2003-01-27,6062359680
2003-01-28,6191897280
2003-01-29,6317116960
2003-01-30,6278255680
2003-01-31,6343024480
2003-02-03,6347342400
2003-02-04,6351660320
2003-02-05,6364614080
2003-02-06,6364614080
2003-02-07,6187579360
2003-02-10,6209168960
2003-02-11,6217804800
2003-02-12,6533012960
2003-02-13,6425064960
2003-02-14,6666868480
2003-02-18,7128885920
2003-02-19,7133203840
2003-02-20,7323192320
2003-02-21,7318874400
2003-02-24,7301602720
2003-02-25,7254105600
2003-02-26,7210926400
2003-02-27,7133203840
2003-02-28,7202290560
2003-03-03,7254105600
2003-03-04,7102978400
2003-03-05,6925943680
2003-03-06,6982076640
2003-03-07,6908672000
2003-03-10,6809359840
2003-03-11,6900036160
2003-03-12,6986394560
2003-03-13,7185018880
2003-03-14,7280013120
2003-03-17,7254105600
2003-03-18,7539088320
2003-03-19,7400914880
2003-03-20,7487273280
2003-03-21,7543406239
2003-03-24,7439776160
2003-03-25,7966562400
2003-03-26,7789527680
2003-03-27,7685897600
2003-03-28,7664308000
2003-03-31,3866220999
2003-04-01,3829502700
2003-04-02,3885660099
2003-04-03,3939657599
2003-04-04,3829502700
2003-04-07,3801424000
2003-04-08,3799264100
2003-04-09,3784144800
2003-04-10,3797104199
2003-04-11,3833822500
2003-04-14,3974215999
2003-04-15,4125409000
2003-04-16,4201005500
2003-04-17,4188046100
2003-04-21,4153487700
2003-04-22,4255003000
2003-04-23,4257162900
2003-04-24,4309000500
2003-04-25,4211805000
2003-04-28,4179406500
2003-04-29,4235563900
2003-04-30,4576828100
2003-05-01,4587627600
2003-05-02,4879214100
2003-05-05,4948330900
2003-05-06,4978569500
2003-05-07,4974249700
2003-05-08,4941851200
2003-05-09,4956970500
2003-05-12,5144881800
2003-05-13,5168640700
2003-05-14,5160001100
2003-05-15,5144881800
2003-05-16,5226958000
2003-05-19,4963450200
2003-05-20,4725861200
2003-05-21,4857615100
2003-05-22,4924572000
2003-05-23,4998008600
2003-05-27,5216158500
2003-05-28,5185919900
2003-05-29,5071445200
2003-05-30,5211838700
2003-06-02,5144881800
2003-06-03,5233437700
2003-06-04,5304714400
2003-06-05,5395430200
2003-06-06,5427828700
2003-06-09,5235597600
2003-06-10,5306874300
2003-06-11,5375991100
2003-06-12,5421349000
2003-06-13,5358711900
2003-06-16,5064965500
2003-06-17,4805777500
2003-06-18,4779858700
2003-06-19,4766899300
2003-06-20,4762579500
2003-06-23,4311160400
2003-06-24,4196685700
2003-06-25,4134048600
2003-06-26,4201005500
2003-06-27,4183726300
2003-06-30,4310676300
2003-07-01,4198317820
2003-07-02,4438159960
2003-07-03,4392784420
2003-07-07,4390623680
2003-07-08,4589411760
2003-07-09,4690966540
2003-07-10,4563482880
2003-07-11,4621822860
2003-07-14,4673680620
2003-07-15,4567804360
2003-07-16,4522428820
2003-07-17,4295551120
2003-07-18,4340926660
2003-07-21,4375498500
2003-07-22,4438159960
2003-07-23,4535393260
2003-07-24,4641269520
2003-07-25,4887593880
2003-07-28,4997791620
2003-07-29,5036684940
2003-07-30,4159424500
2003-07-31,4135656360
2003-08-01,4129174140
2003-08-04,4012494180
2003-08-05,4040583800
2003-08-06,3958475680
2003-08-07,3917421620
2003-08-08,3934707540
2003-08-11,4016815660
2003-08-12,4075155640
2003-08-13,4088120080
2003-08-14,4142138580
2003-08-15,4135656360
2003-08-18,4181031900
2003-08-19,4237211140
2003-08-20,4213443000
2003-08-21,4232889660
2003-08-22,4215603740
2003-08-25,4198317820
2003-08-26,4211282259
2003-08-27,4330122960
2003-08-28,4321480000
2003-08-29,4317158520
2003-09-02,4399266640
2003-09-03,4613179900
2003-09-04,4639108780
2003-09-05,4703930980
2003-09-08,4753628000
2003-09-09,4742824300
2003-09-10,4615340640
2003-09-11,4537554000
2003-09-12,4559161400
2003-09-15,4544036220
2003-09-16,4796842800
2003-09-17,4818450200
2003-09-18,4835736120
2003-09-19,4883272400
2003-09-22,4861665000
2003-09-23,4952416080
2003-09-24,4876790180
2003-09-25,4915683500
2003-09-26,4565643620
2003-09-29,4576708157
2003-09-30,4567982307
2003-10-01,4546167683
2003-10-02,4650877879
2003-10-03,4727229064
2003-10-06,4738136376
2003-10-07,4895201670
2003-10-08,4866842659
2003-10-09,4862479734
2003-10-10,4768676850
2003-10-13,4605067168
2003-10-14,4716321752
2003-10-15,4814487560
2003-10-16,4882112895
2003-10-17,4875568508
2003-10-20,4879931433
2003-10-21,4888657283
2003-10-22,4731591988
2003-10-23,4613793018
2003-10-24,4587615469
2003-10-27,4779584162
2003-10-28,4906108982
2003-10-29,5678346679
2003-10-30,5488559448
2003-10-31,5453656050
2003-11-03,5809234424
2003-11-04,5865952447
2003-11-05,5708887153
2003-11-06,5601995494
2003-11-07,5584543795
2003-11-10,5475470674
2003-11-11,5453656050
2003-11-12,5508192610
2003-11-13,5571455020
2003-11-14,5386030714
2003-11-17,5641261818
2003-11-18,5656532055
2003-11-19,5630354506
2003-11-20,5772149563
2003-11-21,5697979841
2003-11-24,5999021655
2003-11-25,6071009914
2003-11-26,6108094776
2003-11-28,6108094776
2003-12-01,6084098689
2003-12-02,6088461614
2003-12-03,5990295805
2003-12-04,5951029481
2003-12-05,5841956360
2003-12-08,5809234424
2003-12-09,5748153476
2003-12-10,5597632569
2003-12-11,5863770984
2003-12-12,5972844105
2003-12-15,5820141736
2003-12-16,5809234424
2003-12-17,5937940707
2003-12-18,5935759244
2003-12-19,6001203117
2003-12-22,5918307545
2003-12-23,6014291891
2003-12-24,5887767071
2003-12-26,5889948534
2003-12-29,11897342120
2003-12-30,11849735440
2003-12-31,11789145120
2004-01-02,11620357800
2004-01-05,11836751800
2004-01-06,12481605920
2004-01-07,12412359840
2004-01-08,12559507760
2004-01-09,12399376200
2004-01-12,12421015600
2004-01-13,12317146480
2004-01-14,12425343480
2004-01-15,12442655000
2004-01-16,12498917440
2004-01-20,12390720440
2004-01-21,12468622280
2004-01-22,12165670680
2004-01-23,11875702720
2004-01-26,11689603880
2004-01-27,11429931080
2004-01-28,11468882000
2004-01-29,11490521400
2004-01-30,11499177160
2004-02-02,11261143760
2004-02-03,10927897000
2004-02-04,10633601160
2004-02-05,10741798160
2004-02-06,11144291000
2004-02-09,11113995840
2004-02-10,11274127400
2004-02-11,10131567080
2004-02-12,10365272600
2004-02-13,10386912000
2004-02-17,10309010160
2004-02-18,10192157400
2004-02-19,10088288280
2004-02-20,10001730680
2004-02-23,9915173080
2004-02-24,9984419160
2004-02-25,9975763400
2004-02-26,9971435520
2004-02-27,9919500960
2004-03-01,10032025840
2004-03-02,10161862240
2004-03-03,10040681600
2004-03-04,10066648880
2004-03-05,9954124000
2004-03-08,9698779080
2004-03-09,9166449840
2004-03-10,9105859520
2004-03-11,8867826120
2004-03-12,8945727960
2004-03-15,8621136960
2004-03-16,8625464840
2004-03-17,8794252160
2004-03-18,8742317600
2004-03-19,8733661840
2004-03-22,8673071520
2004-03-23,8621136960
2004-03-24,9188089240
2004-03-25,9599237840
2004-03-26,9374188080
2004-03-29,4642270120
2004-03-30,4791532300
2004-03-31,4620637920
2004-04-01,4586026400
2004-04-02,4650923000
2004-04-05,4624964360
2004-04-06,4579536740
2004-04-07,4592516060
2004-04-08,4605495380
2004-04-12,4566557420
2004-04-13,4395663040
2004-04-14,4456233200
2004-04-15,4350235420
2004-04-16,4343745760
2004-04-19,4408642360
2004-04-20,4313460680
2004-04-21,4348072200
2004-04-22,4369704400
2004-04-23,4335092880
2004-04-26,4179341040
2004-04-27,4252890520
2004-04-28,3558496900
2004-04-29,3573639440
2004-04-30,3484947420
2004-05-03,3426540480
2004-05-04,3234013900
2004-05-05,3259972540
2004-05-06,3190749500
2004-05-07,3188586280
2004-05-10,3147485100
2004-05-11,3173443740
2004-05-12,3149648320
2004-05-13,3128016120
2004-05-14,3147485100
2004-05-17,3073935620
2004-05-18,3203728820
2004-05-19,3342174900
2004-05-20,3411397940
2004-05-21,3526048600
2004-05-24,3577965880
2004-05-25,3714248740
2004-05-26,3625556720
2004-05-27,3701269420
2004-05-28,3755349920
2004-06-01,3766166020
2004-06-02,3727228060
2004-06-03,3653678580
2004-06-04,3653678580
2004-06-07,3800777540
2004-06-08,3783471779
2004-06-09,3716411960
2004-06-10,3735880940
2004-06-14,3573639440
2004-06-15,3616903839
2004-06-16,3398418620
2004-06-17,3333522020
2004-06-18,3452499120
2004-06-21,3383276080
2004-06-22,3547680799
2004-06-23,3608250960
2004-06-24,3720738400
2004-06-25,3748860259
2004-06-28,3903095900
2004-06-29,3862010680
2004-06-30,4006890140
2004-07-01,3747404539
2004-07-02,3719293600
2004-07-06,3769028340
2004-07-07,3838224500
2004-07-08,3814438320
2004-07-09,3874984960
2004-07-12,3773353100
2004-07-13,3842549260
2004-07-14,3801464039
2004-07-15,3712806460
2004-07-16,3691182660
2004-07-19,3773353100
2004-07-20,3784165000
2004-07-21,3663071720
2004-07-22,3676046000
2004-07-23,3541978440
2004-07-26,3550627960
2004-07-27,3637123160
2004-07-28,4080411060
2004-07-29,4117171520
2004-07-30,4054462500
2004-08-02,4184205300
2004-08-03,4039325840
2004-08-04,4084735820
2004-08-05,4024189180
2004-08-06,3907420660
2004-08-09,3883634480
2004-08-10,4093385340
2004-08-11,4037163460
2004-08-12,3913907800
2004-08-13,3883634480
2004-08-16,3913907800
2004-08-17,4011214900
2004-08-18,4097710100
2004-08-19,4054462500
2004-08-20,4119333900
2004-08-23,4099872480
2004-08-24,4037163460
2004-08-25,4184205300
2004-08-26,4179880539
2004-08-27,4214478619
2004-08-30,4305298580
2004-08-31,4205829100
2004-09-01,4151769600
2004-09-02,4305298580
2004-09-03,4307460960
2004-09-07,4402605680
2004-09-08,4324760000
2004-09-09,4313948100
2004-09-10,4294486680
2004-09-13,4324760000
2004-09-14,4378819500
2004-09-15,4240427180
2004-09-16,4355033320
2004-09-17,4443690900
2004-09-20,4391793780
2004-09-21,4409092820
2004-09-22,4329084760
2004-09-23,4279350020
2004-09-24,4272862880
2004-09-27,4347368285
2004-09-28,4364740386
2004-09-29,4610121313
2004-09-30,4696981818
2004-10-01,4803385937
2004-10-04,4707839381
2004-10-05,4775156273
2004-10-06,4892417955
2004-10-07,4909790056
2004-10-08,4857673753
2004-10-11,4968420897
2004-10-12,4961906359
2004-10-13,4983621485
2004-10-14,5016194175
2004-10-15,5033566276
2004-10-18,4901104005
2004-10-19,4922819132
2004-10-20,4990136023
2004-10-21,5024880225
2004-10-22,5035737788
2004-10-25,4968420897
2004-10-26,5181229135
2004-10-27,5487412416
2004-10-28,5374493759
2004-10-29,5428781575
2004-11-01,5446153676
2004-11-02,5498269979
2004-11-03,5561243845
2004-11-04,5641589812
2004-11-05,5619874686
2004-11-08,5611188635
2004-11-09,5674162502
2004-11-10,5726278805
2004-11-11,5784909646
2004-11-12,5819653848
2004-11-15,5858741075
2004-11-16,5782738133
2004-11-17,5758851494
2004-11-18,5650275863
2004-11-19,5774052083
2004-11-22,6054177212
2004-11-23,6175781919
2004-11-24,6230069735
2004-11-26,6332130829
2004-11-29,6316930240
2004-11-30,6321273265
2004-12-01,6382075619
2004-12-02,6012918472
2004-12-03,6080235364
2004-12-06,6069377800
2004-12-07,5954287631
2004-12-08,5863084101
2004-12-09,6121494103
2004-12-10,5969488219
2004-12-13,6145380742
2004-12-14,6210526121
2004-12-15,6173610407
2004-12-16,5978174270
2004-12-17,6260470912
2004-12-20,6247441836
2004-12-21,6323444778
2004-12-22,6512366377
2004-12-23,6607912933
2004-12-27,13269139200
2004-12-28,13442592000
2004-12-29,13273475520
2004-12-30,13130376960
2004-12-31,13191085440
2005-01-03,12774798720
2005-01-04,12280458240
2005-01-05,11612664960
2005-01-06,11564965440
2005-01-07,11573638080
2005-01-10,11257086720
2005-01-11,10680356160
2005-01-12,10923190080
2005-01-13,11222396160
2005-01-14,11400185280
2005-01-18,11590983360
2005-01-19,11343813120
2005-01-20,11109651840
2005-01-21,10914517440
2005-01-24,10884163200
2005-01-25,10931862720
2005-01-26,11109651840
2005-01-27,11100979200
2005-01-28,11053279680
2005-01-31,11924880000
2005-02-01,11963906880
2005-02-02,12527628480
2005-02-03,12501610560
2005-02-04,12349839360
2005-02-07,12193731840
2005-02-08,12406211520
2005-02-09,11890189440
2005-02-10,11829480960
2005-02-11,11968243200
2005-02-14,11968243200
2005-02-15,11920543680
2005-02-16,11963906880
2005-02-17,11907534720
2005-02-18,11534611200
2005-02-22,11087970240
2005-02-23,11083633920
2005-02-24,11105315520
2005-02-25,11161687680
2005-02-28,11113988160
2005-03-01,11144342400
2005-03-02,11040270720
2005-03-03,11048943360
2005-03-04,11257086720
2005-03-07,11426203200
2005-03-08,11226732480
2005-03-09,11105315520
2005-03-10,10970889600
2005-03-11,10840800000
2005-03-14,10884163200
2005-03-15,10407168000
2005-03-16,10177343040
2005-03-17,10489558080
2005-03-18,10441858560
2005-03-21,10381150080
2005-03-22,10190352000
2005-03-23,10329114240
2005-03-24,10277078400
2005-03-28,4839714880
2005-03-29,4859221120
2005-03-30,4952417600
2005-03-31,5019605760
2005-04-01,4876560000
2005-04-04,4924241920
2005-04-05,4987095360
2005-04-06,5015271040
2005-04-07,4928576640
2005-04-08,4963254400
2005-04-11,4935078720
2005-04-12,5000099520
2005-04-13,4997932160
2005-04-14,4896066240
2005-04-15,4724844800
2005-04-18,4651154560
2005-04-19,4672828160
2005-04-20,4661991360
2005-04-21,4737848960
2005-04-22,4690167040
2005-04-25,4746518400
2005-04-26,4718342720
2005-04-27,4577464320
2005-04-28,4397573440
2005-04-29,4280536000
2005-05-02,4388904000
2005-05-03,4412744960
2005-05-04,4412744960
2005-05-05,4417079680
2005-05-06,4542786560
2005-05-09,4486435200
2005-05-10,4616476800
2005-05-11,4696669120
2005-05-12,4605640000
2005-05-13,4631648320
2005-05-16,4579631680
2005-05-17,4583966400
2005-05-18,4774694080
2005-05-19,4750853120
2005-05-20,4811539200
2005-05-23,4906903040
2005-05-24,4766024640
2005-05-25,4670660800
2005-05-26,4748685760
2005-05-27,4805037120
2005-05-31,4807204480
2005-06-01,4848384320
2005-06-02,4796367680
2005-06-03,4705338560
2005-06-06,4694501760
2005-06-07,4605640000
2005-06-08,4581799040
2005-06-09,4573129600
2005-06-10,4527615040
2005-06-13,4570962240
2005-06-14,4551456000
2005-06-15,4564460160
2005-06-16,4768192000
2005-06-17,4822376000
2005-06-20,4781196160
2005-06-21,4698836480
2005-06-22,4729179520
2005-06-23,4596970560
2005-06-24,4482100480
2005-06-27,8860545200
2005-06-28,8955448800
2005-06-29,9128000800
2005-06-30,9222904400
2005-07-01,9421339200
2005-07-05,9520556600
2005-07-06,10391944200
2005-07-07,10245275000
2005-07-08,10439396000
2005-07-11,10189195600
2005-07-12,10228019800
2005-07-13,10245275000
2005-07-14,10370375200
2005-07-15,10879403600
2005-07-18,10784500000
2005-07-19,10900972600
2005-07-20,11332352600
2005-07-21,11224507600
2005-07-22,11060583200
2005-07-25,11060583200
2005-07-26,11336666400
2005-07-27,11841381000
2005-07-28,11780987800
2005-07-29,11841381000
2005-08-01,11893146600
