,CNC
2003-01-06,356065407
2003-01-07,356719338
2003-01-08,353231663
2003-01-09,350398049
2003-01-10,334921596
2003-01-13,322279018
2003-01-14,306911640
2003-01-15,285222843
2003-01-16,293723945
2003-01-17,305167737
2003-01-21,302988055
2003-01-22,301898082
2003-01-23,305276813
2003-01-24,290236401
2003-01-27,284351022
2003-01-28,292961070
2003-01-29,293179090
2003-01-30,303423965
2003-01-31,307347551
2003-02-03,281953188
2003-02-04,264079162
2003-02-05,270836362
2003-02-06,277266727
2003-02-07,264842038
2003-02-10,274324037
2003-02-11,283479071
2003-02-12,271926334
2003-02-13,268983645
2003-02-14,267566707
2003-02-18,271163327
2003-02-19,259392570
2003-02-20,257648798
2003-02-21,259610591
2003-02-24,259610591
2003-02-25,269637576
2003-02-26,266912776
2003-02-27,264950983
2003-02-28,277920658
2003-03-03,275522954
2003-03-04,273670106
2003-03-05,275304934
2003-03-06,283588016
2003-03-07,280100471
2003-03-10,283370126
2003-03-11,283370126
2003-03-12,283043160
2003-03-13,281626223
2003-03-14,274324037
2003-03-17,284459967
2003-03-18,290018380
2003-03-19,288819463
2003-03-20,284895877
2003-03-21,294050911
2003-03-24,301789138
2003-03-25,311707047
2003-03-26,310944171
2003-03-27,316066674
2003-03-28,322605983
2003-03-31,321016872
2003-04-01,329698900
2003-04-02,326841465
2003-04-03,328380104
2003-04-04,322995066
2003-04-07,325302958
2003-04-08,326951453
2003-04-09,324423717
2003-04-10,323104922
2003-04-11,319807933
2003-04-14,319917788
2003-04-15,328160261
2003-04-16,312115002
2003-04-17,318379281
2003-04-21,309587267
2003-04-22,328599947
2003-04-23,329698900
2003-04-24,329149357
2003-04-25,329259345
2003-04-28,334204828
2003-04-29,344205651
2003-04-30,352008569
2003-05-01,344755193
2003-05-02,358492559
2003-05-05,357283751
2003-05-06,373658709
2003-05-07,371240961
2003-05-08,367724129
2003-05-09,376076589
2003-05-12,373329010
2003-05-13,372449901
2003-05-14,371570660
2003-05-15,369702322
2003-05-16,362119247
2003-05-19,345634302
2003-05-20,350140231
2003-05-21,342886856
2003-05-22,348931291
2003-05-23,346953098
2003-05-27,342996711
2003-05-28,347063086
2003-05-29,367064731
2003-05-30,363108344
2003-06-02,375966601
2003-06-03,396737632
2003-06-04,402782200
2003-06-05,413552276
2003-06-06,410584986
2003-06-09,387396207
2003-06-10,387396207
2003-06-11,389044702
2003-06-12,413442420
2003-06-13,418058205
2003-06-16,433993608
2003-06-17,429267967
2003-06-18,429707522
2003-06-19,424542327
2003-06-20,422673989
2003-06-23,417618650
2003-06-24,415420614
2003-06-25,409486033
2003-06-26,418058205
2003-06-27,416959252
2003-06-30,473423532
2003-07-01,482147452
2003-07-02,497752073
2003-07-03,498489301
2003-07-07,514216892
2003-07-08,514954121
2003-07-09,522203584
2003-07-10,522080614
2003-07-11,526503985
2003-07-14,528777155
2003-07-15,527118391
2003-07-16,490441272
2003-07-17,474406552
2003-07-18,500025243
2003-07-21,508134757
2003-07-22,517903035
2003-07-23,526196856
2003-07-24,534859291
2003-07-25,531173148
2003-07-28,535965134
2003-07-29,556423225
2003-07-30,539098355
2003-07-31,539098355
2003-08-01,517350113
2003-08-04,496892022
2003-08-05,479935766
2003-08-06,474775166
2003-08-07,467218574
2003-08-08,496523408
2003-08-11,488782508
2003-08-12,483621909
2003-08-13,496154793
2003-08-14,495786179
2003-08-15,496707715
2003-08-18,499472322
2003-08-19,506844607
2003-08-20,502605543
2003-08-21,504817229
2003-08-22,510530750
2003-08-25,500578165
2003-08-26,502052622
2003-08-27,502236929
2003-08-28,506107378
2003-08-29,516059964
2003-09-02,523247942
2003-09-03,519930413
2003-09-04,510530750
2003-09-05,516981499
2003-09-08,537439591
2003-09-09,538545433
2003-09-10,540941426
2003-09-11,543890340
2003-09-12,542231576
2003-09-15,547576483
2003-09-16,557344761
2003-09-17,563058282
2003-09-18,571352103
2003-09-19,574669631
2003-09-22,572457945
2003-09-23,582226223
2003-09-24,566007196
2003-09-25,572457945
2003-09-26,551999854
2003-09-29,553842925
2003-09-30,542528753
2003-10-01,575912391
2003-10-02,566450718
2003-10-03,582874754
2003-10-06,580196922
2003-10-07,583767365
2003-10-08,579304311
2003-10-09,587337807
2003-10-10,582517710
2003-10-13,617865091
2003-10-14,621971100
2003-10-15,608581941
2003-10-16,616615437
2003-10-17,624113366
2003-10-20,615901348
2003-10-21,615901348
2003-10-22,606089772
2003-10-23,606446816
2003-10-24,605190020
2003-10-27,627512427
2003-10-28,587694851
2003-10-29,576626479
2003-10-30,562344709
2003-10-31,546463380
2003-11-03,562173328
2003-11-04,556632001
2003-11-05,546634762
2003-11-06,553604266
2003-11-07,556103575
2003-11-10,550033823
2003-11-11,531281858
2003-11-12,525754813
2003-11-13,537537274
2003-11-14,518785309
2003-11-17,513972353
2003-11-18,510758954
2003-11-19,515214867
2003-11-20,498976494
2003-11-21,504689202
2003-11-24,515757574
2003-11-25,545035203
2003-11-26,550747911
2003-11-28,548062939
2003-12-01,558774266
2003-12-02,562344709
2003-12-03,565915152
2003-12-04,570385346
2003-12-05,551276337
2003-12-08,546277717
2003-12-09,523783929
2003-12-10,520042105
2003-12-11,523969592
2003-12-12,519499398
2003-12-15,498976494
2003-12-16,488265166
2003-12-17,498076742
2003-12-18,508973733
2003-12-19,524855062
2003-12-22,510401910
2003-12-23,497548317
2003-12-24,507359893
2003-12-26,508431026
2003-12-29,508616689
2003-12-30,510758954
2003-12-31,565586248
2004-01-02,580932175
2004-01-05,575682253
2004-01-06,555490244
2004-01-07,544990399
2004-01-08,540144317
2004-01-09,539740477
2004-01-12,530855993
2004-01-13,552453366
2004-01-14,563567047
2004-01-15,561337850
2004-01-16,575876096
2004-01-20,615856274
2004-01-21,609798671
2004-01-22,619894676
2004-01-23,638067484
2004-01-26,644738924
2004-01-27,646144288
2004-01-28,642105886
2004-01-29,632623718
2004-01-30,642315883
2004-02-02,638277481
2004-02-03,642509726
2004-02-04,614644753
2004-02-05,605970266
2004-02-06,625952279
2004-02-09,614644753
2004-02-10,644528927
2004-02-11,649375009
2004-02-12,632413721
2004-02-13,613837073
2004-02-17,618893152
2004-02-18,616873951
2004-02-19,610816349
2004-02-20,603741069
2004-02-23,585568261
2004-02-24,585778257
2004-02-25,596068105
2004-02-26,593645064
2004-02-27,611010192
2004-03-01,631008358
2004-03-02,646144288
2004-03-03,652201890
2004-03-04,648971169
2004-03-05,663315572
2004-03-08,660488691
2004-03-09,664317096
2004-03-10,643123563
2004-03-11,621720033
2004-03-12,625952279
2004-03-15,616873951
2004-03-16,615856274
2004-03-17,625548438
2004-03-18,629796837
2004-03-19,626162275
2004-03-22,595066582
2004-03-23,608797148
2004-03-24,603741069
2004-03-25,608990991
2004-03-26,610606352
2004-03-29,622931554
2004-03-30,625354595
2004-03-31,622842966
2004-04-01,697363249
2004-04-02,690228848
2004-04-05,690228848
2004-04-06,685146809
2004-04-07,678224160
2004-04-08,662342788
2004-04-12,680243945
2004-04-13,655827354
2004-04-14,660909393
2004-04-15,650321812
2004-04-16,656641783
2004-04-19,675780872
2004-04-20,646461417
2004-04-21,652357885
2004-04-22,682084555
2004-04-23,674966443
2004-04-26,660713930
2004-04-27,670894296
2004-04-28,668043794
2004-04-29,670487081
2004-04-30,682084555
2004-05-03,678012408
2004-05-04,675373657
2004-05-05,666822150
2004-05-06,657048998
2004-05-07,630172830
2004-05-10,613265277
2004-05-11,610821990
2004-05-12,610821990
2004-05-13,639327016
2004-05-14,633837762
2004-05-17,631182723
2004-05-18,645435236
2004-05-19,631997152
2004-05-20,638919801
2004-05-21,649311919
2004-05-24,685146809
2004-05-25,710589581
2004-05-26,735022461
2004-05-27,736244105
2004-05-28,734012568
2004-06-01,751311047
2004-06-02,739094607
2004-06-03,737872963
2004-06-04,752532691
2004-06-07,761084199
2004-06-08,771476317
2004-06-09,762924809
2004-06-10,761686877
2004-06-14,753347121
2004-06-15,764553668
2004-06-16,773707854
2004-06-17,777780000
2004-06-18,762713058
2004-06-21,750301155
2004-06-22,756197623
2004-06-23,755187731
2004-06-24,787145937
2004-06-25,783888220
2004-06-28,783888220
2004-06-29,791429836
2004-06-30,789760032
2004-07-01,790776159
2004-07-02,812704833
2004-07-06,795283173
2004-07-07,795905961
2004-07-08,754933103
2004-07-09,761898489
2004-07-12,770502789
2004-07-13,769060544
2004-07-14,785039959
2004-07-15,782794646
2004-07-16,799183789
2004-07-19,792415073
2004-07-20,789546973
2004-07-21,770093060
2004-07-22,757178415
2004-07-23,741608729
2004-07-26,731365515
2004-07-27,777255116
2004-07-28,786072475
2004-07-29,805116659
2004-07-30,798970731
2004-08-02,777664844
2004-08-03,778484302
2004-08-04,768863874
2004-08-05,747967717
2004-08-06,733627217
2004-08-09,737724502
2004-08-10,762701557
2004-08-11,753703917
2004-08-12,737511444
2004-08-13,739363417
2004-08-16,763947131
2004-08-17,759030389
2004-08-18,757997873
2004-08-19,760046515
2004-08-20,766602173
2004-08-23,769060544
2004-08-24,769273603
2004-08-25,765586046
2004-08-26,763324344
2004-08-27,773370889
2004-08-30,782171859
2004-08-31,810033402
2004-09-01,813311231
2004-09-02,812082045
2004-09-03,808394488
2004-09-07,812295104
2004-09-08,776435659
2004-09-09,819457160
2004-09-10,795692902
2004-09-13,804297202
2004-09-14,806558904
2004-09-15,801019373
2004-09-16,812295104
2004-09-17,803281075
2004-09-20,798970731
2004-09-21,817408517
2004-09-22,798970731
2004-09-23,786072475
2004-09-24,800199916
2004-09-27,792824802
2004-09-28,891372720
2004-09-29,870066834
2004-09-30,869077152
2004-10-01,902958507
2004-10-04,909293912
2004-10-05,910714479
2004-10-06,922960752
2004-10-07,917866303
2004-10-08,926438693
2004-10-11,913376003
2004-10-12,904803612
2004-10-13,893977907
2004-10-14,876016707
2004-10-15,925622275
2004-10-18,906224179
2004-10-19,873779721
2004-10-20,895006594
2004-10-21,909898061
2004-10-22,910518539
2004-10-25,938880907
2004-10-26,918470452
2004-10-27,963177512
2004-10-28,975831993
2004-10-29,968076021
2004-11-01,999295852
2004-11-02,989498834
2004-11-03,993172715
2004-11-04,998071225
2004-11-05,1004194361
2004-11-08,1006235406
2004-11-09,1057261543
2004-11-10,1034810043
2004-11-11,1063384679
2004-11-12,1080937670
2004-11-15,1109920515
2004-11-16,1077671997
2004-11-17,1067679039
2004-11-18,1062372320
2004-11-19,1061343634
2004-11-22,1090538748
2004-11-23,1097070093
2004-11-24,1088905911
2004-11-26,1091142897
2004-11-29,1085836179
2004-11-30,1091959315
2004-12-01,1106654842
2004-12-02,1088905911
2004-12-03,1087469015
2004-12-06,1090734688
2004-12-07,1064201097
2004-12-08,1091959315
2004-12-09,1106246633
2004-12-10,1170743670
2004-12-13,1193603379
2004-12-14,1193407438
2004-12-15,1206257860
2004-12-16,1197489529
2004-12-17,1183806361
2004-12-20,1179724270
2004-12-21,1220953388
2004-12-22,1189929497
2004-12-23,1189929497
2004-12-27,1176866806
2004-12-28,1185847406
2004-12-29,1204216815
2004-12-30,1196869051
2004-12-31,1178242641
2005-01-03,1191542029
2005-01-04,1176164612
2005-01-05,1157046742
2005-01-06,1163696436
2005-01-07,1176580217
2005-01-10,1226452922
2005-01-11,1246817610
2005-01-12,1255129727
2005-01-13,1297105920
2005-01-14,1349472259
2005-01-18,1354459530
2005-01-19,1283390926
2005-01-20,1300015161
2005-01-21,1308327278
2005-01-24,1265104268
2005-01-25,1279234867
2005-01-26,1312898943
2005-01-27,1324951513
2005-01-28,1317470607
2005-01-31,1394357693
2005-02-01,1386876788
2005-02-02,1356953165
2005-02-03,1388123605
2005-02-04,1408903899
2005-02-07,1379811488
2005-02-08,1351550289
2005-02-09,1344484989
2005-02-10,1378980276
2005-02-11,1413475563
2005-02-14,1440905551
2005-02-15,1445061609
2005-02-16,1448802062
2005-02-17,1423034498
2005-02-18,1403501022
2005-02-22,1338250901
2005-02-23,1348641048
2005-02-24,1366512100
2005-02-25,1410566322
2005-02-28,1386461182
2005-03-01,1418047228
2005-03-02,1432177828
2005-03-03,1430931010
2005-03-04,1437580704
2005-03-07,1416800410
2005-03-08,1402669811
2005-03-09,1339913324
2005-03-10,1305002431
2005-03-11,1258454574
2005-03-14,1283390926
2005-03-15,1276325626
2005-03-16,1248895639
2005-03-17,1243077157
2005-03-18,1232271404
2005-03-21,1225206104
2005-03-22,1196944905
2005-03-23,1164112041
2005-03-24,1176995823
2005-03-28,1206088234
2005-03-29,1197360511
2005-03-30,1244739580
2005-03-31,1265696340
2005-04-01,1280467721
2005-04-04,1285532195
2005-04-05,1308322326
2005-04-06,1303257852
2005-04-07,1298193378
2005-04-08,1277091405
2005-04-11,1272448971
2005-04-12,1283844037
2005-04-13,1274559169
2005-04-14,1135286147
2005-04-15,1120936805
2005-04-18,1059741084
2005-04-19,1126845358
2005-04-20,1128955555
2005-04-21,1193105553
2005-04-22,1182132527
2005-04-25,1226024631
2005-04-26,1145837133
2005-04-27,1165672988
2005-04-28,1157654238
2005-04-29,1175379896
2005-05-02,1211253250
2005-05-03,1197325948
2005-05-04,1241640091
2005-05-05,1231511144
2005-05-06,1246282525
2005-05-09,1272026932
2005-05-10,1251346998
2005-05-11,1238685815
2005-05-12,1227290749
2005-05-13,1206188776
2005-05-16,1239951933
2005-05-17,1266118380
2005-05-18,1307478247
2005-05-19,1323093707
2005-05-20,1324359825
2005-05-23,1313386799
2005-05-24,1346305877
2005-05-25,1342085482
2005-05-26,1374160481
2005-05-27,1375004560
2005-05-31,1356856863
2005-06-01,1363187455
2005-06-02,1371628245
2005-06-03,1378380876
2005-06-06,1380069034
2005-06-07,1372894363
2005-06-08,1344617719
2005-06-09,1349682193
2005-06-10,1320983509
2005-06-13,1360655219
2005-06-14,1396528573
2005-06-15,1419318703
2005-06-16,1413832191
2005-06-17,1434512124
2005-06-20,1407501599
2005-06-21,1429447651
2005-06-22,1425227256
2005-06-23,1393996336
2005-06-24,1356856863
2005-06-27,1387243705
2005-06-28,1397372652
2005-06-29,1413832191
2005-06-30,1429907891
2005-07-01,1417984895
2005-07-05,1435443568
2005-07-06,1462270309
2005-07-07,1468657629
2005-07-08,1553396065
2005-07-11,1578519522
2005-07-12,1518052898
2005-07-13,1511665579
2005-07-14,1516349613
2005-07-15,1530401716
2005-07-18,1552118602
2005-07-19,1532956644
2005-07-20,1591719982
2005-07-21,1345595276
2005-07-22,1388603226
2005-07-25,1365183055
2005-07-26,1277463870
2005-07-27,1191873790
2005-07-28,1245101451
2005-07-29,1247656379
2005-08-01,1256172805
2005-08-02,1244249809
2005-08-03,1256172805
2005-08-04,1282147904
2005-08-05,1277463870
2005-08-08,1252766235
2005-08-09,1280018797
2005-08-10,1258301911
2005-08-11,1268521622
2005-08-12,1256598626
2005-08-15,1280444619
2005-08-16,1274483120
2005-08-17,1272354014
2005-08-18,1241269060
2005-08-19,1241694881
2005-08-22,1239991596
2005-08-23,1231049349
2005-08-24,1243823988
2005-08-25,1249785486
2005-08-26,1234881741
2005-08-29,1256172805
2005-08-30,1254043699
2005-08-31,1297903291
2005-09-01,1315787786
2005-09-02,1312381215
2005-09-06,1314084500
2005-09-07,1325581675
2005-09-08,1298754934
2005-09-09,1291941793
2005-09-12,1275334763
2005-09-13,1245953094
2005-09-14,1269799086
2005-09-15,1290238508
2005-09-16,1286406117
2005-09-19,1265115052
2005-09-20,1260005197
2005-09-21,1200816037
2005-09-22,1190170505
2005-09-23,1205925893
2005-09-26,1217848889
2005-09-27,1191447969
2005-09-28,1171008547
2005-09-29,1072218008
2005-09-30,1059082425
2005-10-03,1035810538
2005-10-04,1017616154
2005-10-05,970649254
2005-10-06,926221106
2005-10-07,950339244
2005-10-10,998152393
2005-10-11,992228640
2005-10-12,971072379
2005-10-13,952031745
2005-10-14,1012115526
2005-10-17,997306143
2005-10-18,993498016
2005-10-19,995190517
2005-10-20,1028194284
2005-10-21,1019731780
2005-10-24,1048927420
2005-10-25,805630418
2005-10-26,819593551
2005-10-27,761625396
2005-10-28,793782912
2005-10-31,852597318
2005-11-01,873753579
2005-11-02,894486715
2005-11-03,864021699
2005-11-04,892794214
2005-11-07,926644231
2005-11-08,913527349
2005-11-09,925797981
2005-11-10,944838616
2005-11-11,963033000
2005-11-14,964302376
2005-11-15,957532372
2005-11-16,956262997
2005-11-17,971918630
2005-11-18,968956753
2005-11-21,981227385
2005-11-22,985035512
2005-11-23,986304887
2005-11-25,1009153649
2005-11-28,983343011
2005-11-29,1020578030
2005-11-30,1015923653
2005-12-01,1066275554
2005-12-02,1046811794
2005-12-05,1036656789
2005-12-06,1063736803
2005-12-07,1057813050
2005-12-08,1061621176
2005-12-09,1078546185
2005-12-12,1074738058
2005-12-13,1101394947
2005-12-14,1117050580
2005-12-15,1097163695
2005-12-16,1100125572
2005-12-19,1078123060
2005-12-20,1086162439
2005-12-21,1106049325
2005-12-22,1117896831
2005-12-23,1125089959
2005-12-27,1098009945
2005-12-28,1116627455
2005-12-29,1127628711
2005-12-30,1112396203
2006-01-03,1137029743
2006-01-04,1134450469
2006-01-05,1137029743
2006-01-06,1136599864
2006-01-09,1092322335
2006-01-10,1064380205
2006-01-11,1031279529
2006-01-12,1040306986
2006-01-13,1008495946
2006-01-17,982273332
2006-01-18,1003767278
2006-01-19,1032139286
2006-01-20,1028270376
2006-01-23,1039877107
2006-01-24,1077706452
2006-01-25,1082864999
2006-01-26,1093611972
2006-01-27,1116395555
2006-01-30,1108227855
2006-01-31,1130151680
2006-02-01,1179587756
2006-02-02,1122413860
2006-02-03,1127572407
2006-02-06,1097910761
2006-02-07,1134450469
2006-02-08,1152075505
2006-02-09,1140898653
2006-02-10,1123703496
2006-02-13,1106508340
2006-02-14,1124993133
2006-02-15,1140038895
2006-02-16,1117685192
2006-02-17,1138749259
2006-02-21,1165401752
2006-02-22,1185606061
2006-02-23,1188185334
2006-02-24,1198502428
2006-02-27,1195063397
2006-02-28,1175718846
2006-03-01,1209249401
2006-03-02,1230313469
2006-03-03,1226874437
2006-03-06,1196353034
2006-03-07,1195493276
2006-03-08,1215697585
2006-03-09,1215267706
2006-03-10,1238481168
2006-03-13,1227304316
2006-03-14,1246648868
2006-03-15,1259975114
2006-03-16,1257395841
2006-03-17,1223435406
2006-03-20,1232032984
2006-03-21,1208819523
2006-03-22,1230743347
2006-03-23,1229883590
2006-03-24,1251807415
2006-03-27,1250947657
2006-03-28,1235472016
2006-03-29,1236761652
2006-03-30,1232032984
2006-03-31,1259256940
2006-04-03,1243284192
2006-04-04,1254939981
2006-04-05,1252349805
2006-04-06,1238967233
2006-04-07,1228606531
2006-04-10,1232491794
2006-04-11,1219972613
2006-04-12,1246737759
2006-04-13,1245442671
2006-04-17,1229469923
2006-04-18,1251918110
2006-04-19,1254076589
2006-04-20,1245442671
2006-04-21,1219972613
2006-04-24,1214792262
2006-04-25,1154354836
2006-04-26,1092190627
2006-04-27,1062403609
2006-04-28,1109026767
2006-05-01,1079239750
2006-05-02,1088305363
2006-05-03,1080534837
2006-05-04,1096939281
2006-05-05,1101687936
2006-05-08,1093054018
2006-05-09,1083988404
2006-05-10,1067583960
2006-05-11,1045135773
2006-05-12,1062403609
2006-05-15,1068015656
2006-05-16,1105573199
2006-05-17,1111185246
2006-05-18,1127589690
2006-05-19,1154354836
2006-05-22,1159103491
2006-05-23,1144425830
2006-05-24,1133633433
2006-05-25,1131474953
2006-05-26,1121977644
2006-05-30,1122409340
2006-05-31,1124567819
2006-06-01,1139245480
2006-06-02,1151332965
2006-06-05,1124999515
2006-06-06,1123272731
2006-06-07,1136223608
2006-06-08,1166874017
2006-06-09,1213497174
2006-06-12,1200114602
2006-06-13,1192775771
2006-06-14,1216087350
2006-06-15,1218245829
2006-06-16,1215223958
2006-06-19,1192344075
2006-06-20,1140972263
2006-06-21,1058086650
2006-06-22,1045999165
2006-06-23,1070605832
2006-06-26,1061971914
2006-06-27,1026141154
2006-06-28,1005851447
2006-06-29,1033479984
2006-06-30,1016944317
2006-07-03,1026884699
2006-07-05,1016079936
2006-07-06,1009164887
2006-07-07,1001385458
2006-07-10,1016944317
2006-07-11,981072503
2006-07-12,950386975
2006-07-13,905006969
2006-07-14,886422777
2006-07-17,909328875
2006-07-18,587779120
2006-07-19,640938555
2006-07-20,636184460
2006-07-21,628837221
2006-07-24,641802937
2006-07-25,689776085
2006-07-26,678106941
2006-07-27,666869987
2006-07-28,676810369
2006-07-31,702309611
2006-08-01,686318561
2006-08-02,698852087
2006-08-03,720893804
2006-08-04,749850569
2006-08-07,749850569
2006-08-08,748121807
2006-08-09,737317044
2006-08-10,745528664
2006-08-11,738613615
2006-08-14,745528664
2006-08-15,744232092
2006-08-16,762816285
2006-08-17,775349810
2006-08-18,780103906
2006-08-21,773188858
2006-08-22,774917620
2006-08-23,767570381
2006-08-24,773188858
2006-08-25,713546565
2006-08-28,684157608
2006-08-29,673352845
2006-08-30,681132275
2006-08-31,667734368
2006-09-01,666005606
2006-09-05,654768652
2006-09-06,650446747
2006-09-07,659090558
2006-09-08,678106941
2006-09-11,700580849
2006-09-12,702741801
2006-09-13,706631516
2006-09-14,707063707
2006-09-15,701877420
2006-09-18,693233610
2006-09-19,704470563
2006-09-20,713114374
2006-09-21,704470563
2006-09-22,693665800
2006-09-25,703606182
2006-09-26,695394562
2006-09-27,693233610
2006-09-28,703173992
2006-09-29,710521231
2006-10-02,703522018
2006-10-03,701795583
2006-10-04,713017407
2006-10-05,722512796
2006-10-06,712585798
2006-10-09,735461054
2006-10-10,749272529
2006-10-11,752293789
2006-10-12,759199527
2006-10-13,750998963
2006-10-16,745819660
2006-10-17,746251269
2006-10-18,770421351
2006-10-19,763084004
2006-10-20,773874219
2006-10-23,787685695
2006-10-24,997015866
2006-10-25,1020322730
2006-10-26,1070389328
2006-10-27,1076863457
2006-10-30,1065210024
2006-10-31,1018164687
2006-11-01,988383693
2006-11-02,1014280210
2006-11-03,1008237689
2006-11-06,1035860640
2006-11-07,1039313508
