,EQR
2001-10-09,7374274970
2001-10-10,7299164130
2001-10-11,7444020750
2001-10-12,7457433400
2001-10-15,7425243040
2001-10-16,7350132200
2001-10-17,7242831000
2001-10-18,7175767750
2001-10-19,6974578000
2001-10-22,6773388250
2001-10-23,6907514750
2001-10-24,6810943670
2001-10-25,6832403910
2001-10-26,6880689450
2001-10-29,6867276800
2001-10-30,6875324390
2001-10-31,6961165350
2001-11-01,7087244260
2001-11-02,7028228600
2001-11-05,7100656910
2001-11-06,7165037630
2001-11-07,7138212330
2001-11-08,7130164740
2001-11-09,7071149080
2001-11-12,7186497870
2001-11-13,7221370760
2001-11-14,7307211720
2001-11-15,7390370150
2001-11-16,7406465330
2001-11-19,7395735210
2001-11-20,7371592440
2001-11-21,7293799070
2001-11-23,7468163520
2001-11-26,7497671350
2001-11-27,7492306290
2001-11-28,7666670740
2001-11-29,7663988210
2001-11-30,7765924350
2001-12-03,7696178570
2001-12-04,7747146640
2001-12-05,7752511700
2001-12-06,7819574950
2001-12-07,7832987600
2001-12-10,7741781580
2001-12-11,7830305070
2001-12-12,7690813510
2001-12-13,7591559900
2001-12-14,7642527970
2001-12-17,7712273750
2001-12-18,7639845440
2001-12-19,7537909300
2001-12-20,7497671350
2001-12-21,7524496650
2001-12-24,7615702670
2001-12-26,7672035800
2001-12-27,7658623150
2001-12-28,7717638810
2001-12-31,7783108740
2002-01-02,7793952500
2002-01-03,7840038480
2002-01-04,7739733700
2002-01-07,7745155580
2002-01-08,7726179000
2002-01-09,7669249260
2002-01-10,7628585160
2002-01-11,7585210120
2002-01-14,7582499180
2002-01-15,7520147560
2002-01-16,7468639700
2002-01-17,7417131840
2002-01-18,7373756800
2002-01-22,7460506880
2002-01-23,7468639700
2002-01-24,7441530300
2002-01-25,7455085000
2002-01-28,7438819360
2002-01-29,7357491160
2002-01-30,7338514580
2002-01-31,7259897320
2002-02-01,7251764500
2002-02-04,7265319200
2002-02-05,7314116120
2002-02-06,7086397160
2002-02-07,7053865880
2002-02-08,7075553400
2002-02-11,7156881600
2002-02-12,7137905020
2002-02-13,7175858180
2002-02-14,7224655100
2002-02-15,7238209800
2002-02-19,7170436300
2002-02-20,7251764500
2002-02-21,7137905020
2002-02-22,7240920740
2002-02-25,7324959880
2002-02-26,7311405180
2002-02-27,7319538000
2002-02-28,7305983300
2002-03-01,7392733380
2002-03-04,7585210120
2002-03-05,7699069600
2002-03-06,7761421220
2002-03-07,7753288400
2002-03-08,7780397800
2002-03-11,7734311820
2002-03-12,7747866520
2002-03-13,7739733700
2002-03-14,7856304120
2002-03-15,7902390100
2002-03-18,7777686860
2002-03-19,7791241560
2002-03-20,7807507200
2002-03-21,7894257280
2002-03-22,7883413520
2002-03-25,7815640020
2002-03-26,7821061900
2002-03-27,7875280700
2002-03-28,7791241560
2002-04-01,7915771080
2002-04-02,8011372180
2002-04-03,8016835100
2002-04-04,8052344080
2002-04-05,8104241820
2002-04-08,8205305840
2002-04-09,8268129420
2002-04-10,8391045120
2002-04-11,8322758620
2002-04-12,8440211400
2002-04-15,8303638400
2002-04-16,8117899120
2002-04-17,8085121600
2002-04-18,8117899120
2002-04-19,8030492400
2002-04-22,7910308160
