,FITB
2001-09-07,31633409600
2001-09-10,31668044720
2001-09-17,30882982000
2001-09-18,32083666160
2001-09-19,32100983720
2001-09-20,31315921000
2001-09-21,31079247680
2001-09-24,32620510520
2001-09-25,33180444960
2001-09-26,33867374840
2001-09-27,34421536760
2001-09-28,35489452960
2001-10-01,35945371100
2001-10-02,36592038230
2001-10-03,36254140090
2001-10-04,34908373360
2001-10-05,33644168250
2001-10-08,31797380140
2001-10-09,32653777150
2001-10-10,33224708490
2001-10-11,32712035450
2001-10-12,32438221440
2001-10-15,32583867190
2001-10-16,31995458360
2001-10-17,31278881270
2001-10-18,31721644350
2001-10-19,31873115930
2001-10-22,32950894480
2001-10-23,32735338770
2001-10-24,32758642090
2001-10-25,33114017720
2001-10-26,33673297400
2001-10-29,32962546140
2001-10-30,33084888570
2001-10-31,32869332860
2001-11-01,33597561610
2001-11-02,33347050920
2001-11-05,34587952710
2001-11-06,35065670770
2001-11-07,34535520240
2001-11-08,35024889960
2001-11-09,35083148260
2001-11-12,35112277410
2001-11-13,35461827210
2001-11-14,35287052310
2001-11-15,35304529800
2001-11-16,34954980000
2001-11-19,34954980000
2001-11-20,34855940890
2001-11-21,34582126880
2001-11-23,34954980000
2001-11-26,35304529800
2001-11-27,34692817650
2001-11-28,34558823560
2001-11-29,35164709880
2001-11-30,35007412470
2001-12-03,34523868580
2001-12-04,35065670770
2001-12-05,35205490690
2001-12-06,35071496600
2001-12-07,35007412470
2001-12-10,34634559350
2001-12-11,34692817650
2001-12-12,34791856760
2001-12-13,34244228740
2001-12-14,34116060480
2001-12-17,34349093680
2001-12-18,34949154170
2001-12-19,35205490690
2001-12-20,35677382920
2001-12-21,36370656690
2001-12-24,36120146000
2001-12-26,36341527540
2001-12-27,35986151910
2001-12-28,36102668510
2001-12-31,35729815390
2002-01-02,35723989560
2002-01-03,35823028670
2002-01-04,36114320170
2002-01-07,36143449320
2002-01-08,35957022760
2002-01-09,35525911340
2002-01-10,35584169640
2002-01-11,35339484780
2002-01-14,35024889960
2002-01-15,36091016850
2002-01-16,35951196930
2002-01-17,36201707620
2002-01-18,36248314260
2002-01-22,36353179200
2002-01-23,36388134180
2002-01-24,36592038230
2002-01-25,36900807220
2002-01-28,36650296530
2002-01-29,35758944540
2002-01-30,36562909080
2002-01-31,36848374750
2002-02-01,36964891350
2002-02-04,36125971830
2002-02-05,36149275150
2002-02-06,35793899520
2002-02-07,35630776280
2002-02-08,36195881790
2002-02-11,36219185110
2002-02-12,36335701710
2002-02-13,36795942280
2002-02-14,36994020500
2002-02-15,36586212400
2002-02-19,35718163730
2002-02-20,35700686240
2002-02-21,35636602110
2002-02-22,35735641220
2002-02-25,36592038230
2002-02-26,36912458880
2002-02-27,36999846330
2002-02-28,37145492080
2002-03-01,37885372490
2002-03-04,38642730390
2002-03-05,38928196059
2002-03-06,39411739950
2002-03-07,38928196059
2002-03-08,38735943670
2002-03-11,39370959140
2002-03-12,39615644000
2002-03-13,39557385700
2002-03-14,39598166510
2002-03-15,40273962790
2002-03-18,40058407080
2002-03-19,40431260200
2002-03-20,40110839550
2002-03-21,39644773150
2002-03-22,39650598980
2002-03-25,39289397520
2002-03-26,39277745860
2002-03-27,39656424809
2002-03-28,39312700840
2002-04-01,38923356600
2002-04-02,38987356140
2002-04-03,38475359820
2002-04-04,38556813780
2002-04-05,38836084500
2002-04-08,38900084040
2002-04-09,39435352920
2002-04-10,40267346940
2002-04-11,39976439940
2002-04-12,40348800900
2002-04-15,39941531100
2002-04-16,39929894820
2002-04-17,40086984600
2002-04-18,39889167840
2002-04-19,39825168300
2002-04-22,39569170140
2002-04-23,39446989200
2002-04-24,39836804580
2002-04-25,39540079440
2002-04-26,39318990120
2002-04-29,39318990120
2002-04-30,39906622260
2002-05-01,39912440400
2002-05-02,40127711580
2002-05-03,40110257160
2002-05-06,39359717100
2002-05-07,39359717100
2002-05-08,39685532940
2002-05-09,38993174280
2002-05-10,38533541220
2002-05-13,39039719400
2002-05-14,39446989200
2002-05-15,39377171520
2002-05-16,39348080820
2002-05-17,39225899880
2002-05-20,38102998860
2002-05-21,38318270040
2002-05-22,38492814240
2002-05-23,38417178420
2002-05-24,38161180260
2002-05-28,37748092320
2002-05-29,37643365800
2002-05-30,37817910000
2002-05-31,37916818380
2002-06-03,37329186240
2002-06-04,37212823440
2002-06-05,37643365800
2002-06-06,36985915980
2002-06-07,37311731820
2002-06-10,37340822520
2002-06-11,37125551340
2002-06-12,37038279240
2002-06-13,36665918280
2002-06-14,37038279240
2002-06-17,38452087260
2002-06-18,38673176580
2002-06-19,38009908620
2002-06-20,37771364880
2002-06-21,37742274180
2002-06-24,37521184860
2002-06-25,37759728600
2002-06-26,37492094160
2002-06-27,38399724000
2002-06-28,38777903100
2002-07-01,38632541200
2002-07-02,38220383360
2002-07-03,38046232160
2002-07-05,39050504080
2002-07-08,39526517360
2002-07-09,38754447040
2002-07-10,38557075680
2002-07-11,38017206960
2002-07-12,36937469520
2002-07-15,36490481440
2002-07-16,37221916480
2002-07-17,37877886000
2002-07-18,36060908480
2002-07-19,34882485360
2002-07-22,35341083520
2002-07-23,34063974720
2002-07-24,36130568960
2002-07-25,36049298400
2002-07-26,36496286480
2002-07-29,38191358160
2002-07-30,37477338240
2002-07-31,38353899279
2002-08-01,37303187040
2002-08-02,36513701600
2002-08-05,35335278480
2002-08-06,36525311680
2002-08-07,37233526560
2002-08-08,38110087600
2002-08-09,38173943040
2002-08-12,37837250720
2002-08-13,36978104800
2002-08-14,38382924480
2002-08-15,38615126080
2002-08-16,38853132720
2002-08-19,39317535920
2002-08-20,38760252080
2002-08-21,38916988160
2002-08-22,39160799840
2002-08-23,38150722880
2002-08-26,39073724240
2002-08-27,38916988160
2002-08-28,38336484160
2002-08-29,38690591600
2002-08-30,38905378080
2002-09-03,37587634000
2002-09-04,38110087600
2002-09-05,38806692400
2002-09-06,38684786560
2002-09-09,38975038560
2002-09-10,38133307760
2002-09-11,36606582240
2002-09-12,35637140560
2002-09-13,35927392560
2002-09-16,36235059680
2002-09-17,36490481440
2002-09-18,36200229440
2002-09-19,35410744000
2002-09-20,35718411120
2002-09-23,35584895200
2002-09-24,34894095440
2002-09-25,35851927040
2002-09-26,36467261280
2002-09-27,35944807680
2002-09-30,35168430180
2002-10-01,36816860600
2002-10-02,35438382200
2002-10-03,33945030600
2002-10-04,33008814020
2002-10-07,32084084760
2002-10-08,33301740680
2002-10-09,32543577559
2002-10-10,33881850340
2002-10-11,35283303380
2002-10-14,35754283500
2002-10-15,37328046340
2002-10-16,36943221119
2002-10-17,37810513780
2002-10-18,37753077180
2002-10-21,37954105280
2002-10-22,37310815360
2002-10-23,37511843460
2002-10-24,36742193020
2002-10-25,37747333520
2002-10-28,37017888700
2002-10-29,36443522700
2002-10-30,36891528180
2002-10-31,36472241000
