,TRMB
2002-07-12,416129332
2002-07-15,435987999
2002-07-16,412518665
2002-07-17,415226665
2002-07-18,406199999
2002-07-19,403491999
2002-07-22,393863615
2002-07-23,385137716
2002-07-24,411916948
2002-07-25,394164383
2002-07-26,405598281
2002-07-29,428164948
2002-07-30,416129332
2002-07-31,393863615
2002-08-01,399881332
2002-08-02,385739615
2002-08-05,357155050
2002-08-06,384535999
2002-08-07,388748383
2002-08-08,394164383
2002-08-09,388146665
2002-08-12,389651050
2002-08-13,380022665
2002-08-14,389350281
2002-08-15,388146665
2002-08-16,390252948
2002-08-19,398978665
2002-08-20,392058281
2002-08-21,417934665
2002-08-22,437793332
2002-08-23,414925716
2002-08-26,422748948
2002-08-27,408306281
2002-08-28,403191050
2002-08-29,426961332
2002-08-30,421244383
2002-09-03,405598281
2002-09-04,406199999
2002-09-05,398677716
2002-09-06,403191050
2002-09-09,398677716
2002-09-10,396270665
2002-09-11,392659999
2002-09-12,389951999
2002-09-13,389651050
2002-09-16,385739615
2002-09-17,380925332
2002-09-18,351438281
2002-09-19,336995615
2002-09-20,338499999
2002-09-23,336393716
2002-09-24,329473332
2002-09-25,330977716
2002-09-26,328269716
2002-09-27,301669906
2002-09-30,290518740
2002-10-01,268509745
2002-10-02,264107946
2002-10-03,256771555
2002-10-04,250902548
2002-10-07,235349583
2002-10-08,267629385
2002-10-09,272618032
2002-10-10,295507387
2002-10-11,275846135
2002-10-14,284649733
2002-10-15,306658729
2002-10-16,295507387
2002-10-17,320157462
2002-10-18,323092053
2002-10-21,317516383
2002-10-22,302550266
2002-10-23,294333691
2002-10-24,344807537
2002-10-25,349209336
2002-10-28,374152923
2002-10-29,357719598
2002-10-30,362414733
2002-10-31,384130393
2002-11-01,394694711
2002-11-04,392640479
2002-11-05,373272563
2002-11-06,388532192
2002-11-07,374152923
2002-11-08,374152923
2002-11-11,359480318
2002-11-12,368283916
2002-11-13,378261210
2002-11-14,381489314
2002-11-15,378554722
2002-11-18,366816532
2002-11-19,380021930
2002-11-20,399389846
2002-11-21,404672005
2002-11-22,413475603
2002-11-25,410834523
2002-11-26,407019748
2002-11-27,424626945
2002-11-29,410834523
2002-12-02,421105505
2002-12-03,421692353
2002-12-04,410541188
2002-12-05,394401199
2002-12-06,401444077
2002-12-09,387358320
2002-12-10,396161919
2002-12-11,403498309
2002-12-12,399389846
2002-12-13,396161919
2002-12-16,404085157
2002-12-17,408193444
2002-12-18,394988047
2002-12-19,390879760
2002-12-20,389412552
2002-12-23,385891113
2002-12-24,385304089
2002-12-26,380608954
2002-12-27,372685715
2002-12-30,369457612
2002-12-31,366523197
2003-01-02,384130393
2003-01-03,392933991
2003-01-06,410834523
2003-01-07,402030925
2003-01-08,387064808
2003-01-09,387358320
2003-01-10,403498309
2003-01-13,407313084
2003-01-14,413769115
2003-01-15,411714883
2003-01-16,412888755
2003-01-17,425507305
2003-01-21,434310903
2003-01-22,431082799
2003-01-23,441353781
2003-01-24,433137031
2003-01-27,479209254
2003-01-28,478915742
2003-01-29,473340071
2003-01-30,457787106
2003-01-31,479209254
2003-02-03,498283658
2003-02-04,489186547
2003-02-05,471286015
2003-02-06,470698991
2003-02-07,452798459
2003-02-10,466003856
2003-02-11,468351424
2003-02-12,479796101
2003-02-13,481556821
2003-02-14,479796101
2003-02-18,499750865
2003-02-19,491534291
2003-02-20,483024029
2003-02-21,493588347
2003-02-24,490066907
2003-02-25,489186547
2003-02-26,489480059
2003-02-27,490066907
2003-02-28,491534291
2003-03-03,514423646
2003-03-04,503272305
2003-03-05,510608695
2003-03-06,494762218
2003-03-07,487425828
2003-03-10,453385307
2003-03-11,454559179
2003-03-12,463069265
2003-03-13,480969973
2003-03-14,486838980
2003-03-17,489773571
2003-03-18,505913384
2003-03-19,528215892
2003-03-20,534965258
2003-03-21,553159478
2003-03-24,523227245
2003-03-25,550518399
2003-03-26,542888496
2003-03-27,556974254
2003-03-28,564897492
2003-03-31,556680918
2003-04-01,567245236
2003-04-02,594242878
2003-04-03,600111885
2003-04-04,632312597
2003-04-07,642699017
2003-04-08,630738960
2003-04-09,602727162
2003-04-10,630424157
2003-04-11,650567580
2003-04-14,647420117
2003-04-15,659380362
2003-04-16,660639197
2003-04-17,667563540
2003-04-21,677635157
2003-04-22,669766782
2003-04-23,677635157
2003-04-24,690224820
2003-04-25,680153202
2003-04-28,739639062
2003-04-29,761670737
2003-04-30,792515382
2003-05-01,764188782
2003-05-02,766391837
2003-05-05,767021442
2003-05-06,761985540
2003-05-07,740583282
2003-05-08,754431780
2003-05-09,751284317
2003-05-12,765133002
2003-05-13,753487560
2003-05-14,755061197
2003-05-15,761670737
2003-05-16,757579242
2003-05-19,733344137
2003-05-20,741527502
2003-05-21,755690802
2003-05-22,750969702
2003-05-23,761041320
2003-05-27,799124922
2003-05-28,796292262
2003-05-29,793774217
2003-05-30,847594757
2003-06-02,837208337
2003-06-03,818638740
2003-06-04,825877697
2003-06-05,846650537
2003-06-06,840040997
2003-06-09,808567122
2003-06-10,821156597
2003-06-11,819897762
2003-06-12,819268157
2003-06-13,800698560
2003-06-16,789997337
2003-06-17,814547057
2003-06-18,812029200
2003-06-19,807308100
2003-06-20,770483520
2003-06-23,737750622
2003-06-24,754116977
2003-06-25,706591362
2003-06-26,731141082
2003-06-27,742471722
2003-06-30,724846157
2003-07-01,717292397
2003-07-02,759782297
2003-07-03,750969702
2003-07-07,831570534
2003-07-08,850886675
2003-07-09,902941685
2003-07-10,843684030
2003-07-11,871839504
2003-07-14,890828190
2003-07-15,856124784
2003-07-16,834844500
2003-07-17,801123264
2003-07-18,821094120
2003-07-21,779515524
2003-07-22,817492895
2003-07-23,805379399
2003-07-24,794575530
2003-07-25,803415060
2003-07-28,844338744
2003-07-29,812254590
2003-07-30,893447244
2003-07-31,895411584
2003-08-01,877405265
2003-08-04,860708375
2003-08-05,845320914
2003-08-06,823385915
2003-08-07,815855814
2003-08-08,824368085
2003-08-11,828624024
2003-08-12,841392234
2003-08-13,843029315
2003-08-14,852851015
2003-08-15,843029315
2003-08-18,879042149
2003-08-19,892137815
2003-08-20,909816875
2003-08-21,926513765
2003-08-22,901959515
2003-08-25,894102155
2003-08-26,877732524
2003-08-27,877732524
2003-08-28,878714694
2003-08-29,875440925
2003-09-02,891810360
2003-09-03,932734044
2003-09-04,926841024
2003-09-05,917346780
2003-09-08,916692065
2003-09-09,909816875
2003-09-10,871184789
2003-09-11,879042149
2003-09-12,860046982
2003-09-15,862011322
2003-09-16,861697027
2003-09-17,860380920
2003-09-18,840737520
2003-09-19,871518727
2003-09-22,854487899
2003-09-23,864309600
2003-09-24,820760182
2003-09-25,769373047
2003-09-26,746449200
