,SCI
2002-02-07,1463265000
2002-02-08,1492530300
2002-02-11,1536428250
2002-02-12,1510089480
2002-02-13,1477897650
2002-02-14,1454485410
2002-02-15,1469118059
2002-02-19,1439852760
2002-02-20,1360836450
2002-02-21,1352056860
2002-02-22,1337424210
2002-02-25,1302305850
2002-02-26,1311085440
2002-02-27,1407660930
2002-02-28,1413513990
2002-03-01,1331571150
2002-03-04,1384248690
2002-03-05,1413513990
2002-03-06,1521795600
2002-03-07,1545207840
2002-03-08,1521795600
2002-03-11,1551060900
2002-03-12,1551060900
2002-03-13,1551060900
2002-03-14,1536428250
2002-03-15,1536428250
2002-03-18,1530575190
2002-03-19,1556913960
2002-03-20,1574473140
2002-03-21,1600811910
2002-03-22,1603738440
2002-03-25,1603738440
2002-03-26,1580326200
2002-03-27,1536428250
2002-03-28,1551060900
2002-04-01,1513440800
2002-04-02,1469360000
2002-04-03,1460543840
2002-04-04,1387075840
2002-04-05,1425279200
2002-04-08,1472298720
2002-04-09,1410585600
2002-04-10,1410585600
2002-04-11,1381198400
2002-04-12,1404708160
2002-04-15,1404708160
2002-04-16,1378259680
2002-04-17,1395892000
2002-04-18,1360627360
2002-04-19,1057939200
2002-04-22,1222507520
2002-04-23,1193120320
2002-04-24,1201936480
2002-04-25,1181365439
2002-04-26,1131407200
2002-04-29,1172549280
2002-04-30,1149039520
2002-05-01,1187242880
2002-05-02,1234262400
2002-05-03,1281281920
2002-05-06,1257772160
2002-05-07,1196059040
2002-05-08,1222507520
2002-05-09,1248956000
2002-05-10,1210752640
2002-05-13,1216630080
2002-05-14,1210752640
2002-05-15,1172549280
2002-05-16,1184304160
2002-05-17,1187242880
2002-05-20,1210752640
2002-05-21,1228384960
2002-05-22,1301852960
2002-05-23,1278343200
2002-05-24,1293036800
2002-05-28,1263649600
2002-05-29,1293036800
2002-05-30,1290098080
2002-05-31,1216630080
2002-06-03,1248956000
2002-06-04,1257772160
2002-06-05,1184304160
2002-06-06,1201936480
2002-06-07,1204875200
2002-06-10,1166671840
2002-06-11,1181365439
2002-06-12,1204875200
2002-06-13,1175488000
2002-06-14,1190181600
2002-06-17,1184304160
2002-06-18,1237201120
2002-06-19,1219568800
2002-06-20,1307730400
2002-06-21,1284220640
2002-06-24,1269527040
2002-06-25,1290098080
2002-06-26,1293036800
2002-06-27,1381198400
2002-06-28,1419401760
2002-07-01,1369500640
2002-07-02,1283906850
2002-07-03,1263246280
2002-07-05,1310470440
2002-07-08,1304567420
2002-07-09,1322276480
2002-07-10,1280955340
2002-07-11,1266197790
2002-07-12,1165846450
2002-07-15,1136331350
2002-07-16,1047786050
2002-07-17,1074349640
2002-07-18,1012367930
2002-07-19,873646960
2002-07-22,811665250
2002-07-23,743780520
2002-07-24,723119950
