,PD
2020-03-24,1402193100
2020-03-25,1427079500
2020-03-26,1430968000
2020-03-27,1267651000
2020-03-30,1324423100
2020-03-31,1343865600
2020-04-01,1247430800
2020-04-02,1235765300
2020-04-03,1175104700
2020-04-06,1342310200
2020-04-07,1293315100
2020-04-08,1409970100
2020-04-09,1430190300
2020-04-13,1486962400
2020-04-14,1493184000
2020-04-15,1507960300
2020-04-16,1533624400
2020-04-17,1626170700
2020-04-20,1681387400
2020-04-21,1643280100
2020-04-22,1640169300
2020-04-23,1668166500
2020-04-24,1668944200
2020-04-27,1723383200
2020-04-28,1655723300
2020-04-29,1672055000
2020-04-30,1662940250
2020-05-01,1633005750
2020-05-04,1638520000
2020-05-05,1677907500
2020-05-06,1740139750
2020-05-07,1897689750
2020-05-08,1935501750
2020-05-11,1962285250
2020-05-12,1957558750
2020-05-13,1903991750
2020-05-14,1990644250
2020-05-15,2026093000
2020-05-18,1955195500
2020-05-19,2037909250
2020-05-20,2090688500
2020-05-21,2104080250
2020-05-22,2196247000
2020-05-26,2096990500
2020-05-27,1944954750
2020-05-28,1967011750
2020-05-29,2091476250
2020-06-01,2206487750
2020-06-02,2189157250
2020-06-03,2230908000
2020-06-04,2120623000
2020-06-05,2069419250
2020-06-08,2156071750
2020-06-09,2105655750
2020-06-10,2085174250
2020-06-11,1918171250
2020-06-12,1951256750
2020-06-15,2134014750
2020-06-16,2301805500
2020-06-17,2268720000
2020-06-18,2442025000
2020-06-19,2408939500
2020-06-22,2428633250
2020-06-23,2315197250
2020-06-24,2273446500
2020-06-25,2280536250
2020-06-26,2293140250
2020-06-29,2205700000
2020-06-30,2254540500
2020-07-01,2347495000
2020-07-02,2364037750
2020-07-06,2338829750
2020-07-07,2342768500
2020-07-08,2367976500
2020-07-09,2369552000
2020-07-10,2223030500
2020-07-13,2022154250
2020-07-14,2000885000
2020-07-15,2033182750
2020-07-16,1993007500
2020-07-17,2029244000
2020-07-20,2125349500
2020-07-21,2167888000
2020-07-22,2179704250
2020-07-23,2158435000
2020-07-24,2130863750
2020-07-27,2207275500
2020-07-28,2219879500
2020-07-29,2358523500
2020-07-30,2356160250
2020-07-31,2436479760
2020-08-03,2454865270
2020-08-04,2474849520
2020-08-05,2625131080
2020-08-06,2526009200
2020-08-07,2386119450
2020-08-10,2267013320
2020-08-11,2294191900
2020-08-12,2306182450
2020-08-13,2358141500
2020-08-14,2332561660
2020-08-17,2306981820
2020-08-18,2310179300
2020-08-19,2309379930
2020-08-20,2382122600
2020-08-21,2321370480
2020-08-24,2268612060
2020-08-25,2313376780
2020-08-26,2418094250
2020-08-27,2422091100
2020-08-28,2454065900
2020-08-31,2611541790
2020-09-01,2929691050
2020-09-02,2796995630
2020-09-03,2075963890
2020-09-04,2010415550
2020-09-08,1903299970
2020-09-09,1901701230
2020-09-10,1870525800
2020-09-11,1918488000
2020-09-14,1959255870
2020-09-15,1960854610
2020-09-16,1950462800
2020-09-17,1925682330
2020-09-18,1984835709
2020-09-21,2143110970
2020-09-22,2141512230
2020-09-23,2079960740
2020-09-24,2037594129
2020-09-25,2118330500
2020-09-28,2156700260
2020-09-29,2189474430
2020-09-30,2167092070
2020-10-01,2221449230
2020-10-02,2208659310
2020-10-05,2248627810
2020-10-06,2266213950
2020-10-07,2352545910
2020-10-08,2371730790
2020-10-09,2361338980
2020-10-12,2419692990
2020-10-13,2462858970
2020-10-14,2454065900
2020-10-15,2428486060
2020-10-16,2434881020
2020-10-19,2458062750
2020-10-20,2406103700
2020-10-21,2305383080
2020-10-22,2291793790
2020-10-23,2327765440
2020-10-26,2312577410
2020-10-27,2336558510
2020-10-28,2255822140
2020-10-29,2310978670
2020-10-30,2166292700
2020-11-02,2187611100
2020-11-03,2185972440
2020-11-04,2356393080
2020-11-05,2482569900
2020-11-06,2463725310
2020-11-09,2385069630
2020-11-10,2306413950
2020-11-11,2450616030
2020-11-12,2451435360
2020-11-13,2476015260
2020-11-16,2430132780
2020-11-17,2448158040
2020-11-18,2410468860
2020-11-19,2467821960
2020-11-20,2553032280
2020-11-23,2593179450
2020-11-24,2671835130
2020-11-25,2699692350
2020-11-27,2801289270
2020-11-30,2820133860
2020-12-01,2849629740
2020-12-02,2808663240
2020-12-03,2651351880
2020-12-04,3346143720
2020-12-07,3346963050
2020-12-08,3360891660
2020-12-09,3377278260
2020-12-10,3517383690
2020-12-11,3543602250
2020-12-14,3619799940
2020-12-15,3674695050
2020-12-16,3782027279
2020-12-17,3682069020
2020-12-18,3704190930
2020-12-21,3688623660
2020-12-22,3822993779
2020-12-23,3788581920
2020-12-24,3773833980
2020-12-28,3623077260
2020-12-29,3547698900
2020-12-30,3512467710
2020-12-31,3416606100
2021-01-04,3377278260
2021-01-05,3392026200
2021-01-06,3267488040
2021-01-07,3442005330
2021-01-08,3647657160
2021-01-11,3598497360
2021-01-12,3678791700
2021-01-13,3718938870
2021-01-14,3852489660
2021-01-15,3732867480
2021-01-19,3949170600
2021-01-20,4049948190
2021-01-21,3963099210
2021-01-22,4004065710
2021-01-25,3936880650
2021-01-26,3923771370
2021-01-27,3959821890
2021-01-28,3992595089
2021-01-29,3992595089
2021-02-01,4197157300
2021-02-02,4401128200
2021-02-03,4409419700
2021-02-04,4480726600
2021-02-05,4559495850
2021-02-08,4650702350
2021-02-09,4595978450
2021-02-10,4588516100
2021-02-11,4654848100
2021-02-12,4691330700
2021-02-16,4592661850
2021-02-17,4446731450
2021-02-18,4280072300
2021-02-19,4314067450
2021-02-22,4021377500
2021-02-23,3972457649
2021-02-24,3963337000
2021-02-25,3664843000
2021-02-26,3709617100
2021-03-01,3905296500
2021-03-02,3866326450
2021-03-03,3468334450
2021-03-04,3163207250
2021-03-05,3117604000
2021-03-08,2825743200
2021-03-09,3098533550
2021-03-10,3136674450
2021-03-11,3454238899
2021-03-12,3502329600
2021-03-15,3507304500
2021-03-16,3397027550
2021-03-17,3387077750
2021-03-18,3114287400
2021-03-19,3414439700
2021-03-22,3498183850
2021-03-23,3453409750
2021-03-24,3195544100
2021-03-25,3252755449
2021-03-26,3189740050
2021-03-29,3078633950
2021-03-30,3129212100
2021-03-31,3335670449
2021-04-01,3413610550
2021-04-05,3445118250
2021-04-06,3500671300
2021-04-07,3499842150
2021-04-08,3541299650
2021-04-09,3486575750
2021-04-12,3464188700
2021-04-13,3575294800
2021-04-14,3482430000
2021-04-15,3610119100
2021-04-16,3505646200
2021-04-19,3375469650
2021-04-20,3268509300
2021-04-21,3366349000
2021-04-22,3405319050
2021-04-23,3505646200
2021-04-26,3735320750
2021-04-27,3717908600
2021-04-28,3692204950
2021-04-29,3567003300
2021-04-30,3562181700
2021-05-03,3381807450
2021-05-04,3302946150
2021-05-05,3272743950
2021-05-06,3145223550
2021-05-07,3149418300
2021-05-10,2988339900
2021-05-11,3045388499
2021-05-12,2877598499
2021-05-13,2827261500
2021-05-14,2925418650
2021-05-17,2880954300
2021-05-18,2980789350
2021-05-19,2980789350
2021-05-20,3053778000
2021-05-21,3049583250
2021-05-24,3107470800
2021-05-25,3241702800
2021-05-26,3426271800
2021-05-27,3451440300
2021-05-28,3410331750
2021-06-01,3386002200
2021-06-02,3526945800
2021-06-03,3408653850
2021-06-04,2966527200
2021-06-07,3101598150
2021-06-08,3266032350
2021-06-09,3266871300
2021-06-10,3346571550
2021-06-11,3392713800
2021-06-14,3436339200
2021-06-15,3408653850
2021-06-16,3395230650
2021-06-17,3540369000
2021-06-18,3667889400
2021-06-21,3667050450
2021-06-22,3766885500
2021-06-23,3826450950
2021-06-24,3759334950
2021-06-25,3784503450
2021-06-28,3821417249
2021-06-29,3743394900
2021-06-30,3572249100
2021-07-01,3556309050
2021-07-02,3541207950
2021-07-06,3523590000
2021-07-07,3470736150
2021-07-08,3587350200
2021-07-09,3677956800
2021-07-12,3526945800
2021-07-13,3425432850
2021-07-14,3314691450
2021-07-15,3194721600
2021-07-16,3225762750
2021-07-19,3271905000
2021-07-20,3372579000
2021-07-21,3474930900
2021-07-22,3478286700
2021-07-23,3476608800
2021-07-26,3469058250
2021-07-27,3391035900
2021-07-28,3438017099
2021-07-29,3444728700
2021-07-30,3405298050
2021-08-02,3570460320
2021-08-03,3543230880
2021-08-04,3606198960
2021-08-05,3695545560
2021-08-06,3608751719
2021-08-09,3593435159
2021-08-10,3458989800
2021-08-11,3473455440
2021-08-12,3448778760
2021-08-13,3440269560
2021-08-16,3340711920
2021-08-17,3250514400
2021-08-18,3299867760
2021-08-19,3279445680
2021-08-20,3287103960
2021-08-23,3402829080
2021-08-24,3535572599
2021-08-25,3482815560
2021-08-26,3433462200
2021-08-27,3560249280
2021-08-30,3628322880
2021-08-31,3641937599
2021-09-01,3724476840
2021-09-02,3769575599
2021-09-03,4031658960
2021-09-07,4003578599
2021-09-08,3921039360
2021-09-09,3852114840
2021-09-10,3748302599
2021-09-13,3773830200
2021-09-14,3820630800
2021-09-15,3808717920
2021-09-16,3967839960
2021-09-17,4041019080
2021-09-20,3920188440
2021-09-21,3943163280
2021-09-22,3956778000
2021-09-23,3987411120
2021-09-24,3949970640
2021-09-27,3851263920
2021-09-28,3662359680
2021-09-29,3620664599
2021-09-30,3524510640
2021-10-01,3599391599
2021-10-04,3367941360
2021-10-05,3413040120
2021-10-06,3430058520
2021-10-07,3476008200
2021-10-08,3357730320
2021-10-11,3346668360
2021-10-12,3414741960
2021-10-13,3510045000
2021-10-14,3569609400
2021-10-15,3516001440
2021-10-18,3528765240
2021-10-19,3596838840
2021-10-20,3590882400
2021-10-21,3629173800
2021-10-22,3573013080
2021-10-25,3685334520
2021-10-26,3654701400
2021-10-27,3532168920
2021-10-28,3584075040
2021-10-29,3552591000
2021-11-01,3636045229
2021-11-02,3544778170
2021-11-03,3722146229
2021-11-04,3731617340
2021-11-05,3746254510
2021-11-08,3719563200
2021-11-09,3719563200
2021-11-10,3603326850
2021-11-11,3586106650
2021-11-12,3626574120
2021-11-15,3589550690
2021-11-16,3611936950
2021-11-17,3543917159
2021-11-18,3476758380
2021-11-19,3357939000
2021-11-22,3163350740
2021-11-23,3100497010
2021-11-24,3198652150
2021-11-26,3184875990
2021-11-29,3208984270
2021-11-30,3052280450
2021-12-01,2767286140
2021-12-02,2813780680
2021-12-03,2667408980
2021-12-06,2720791600
2021-12-07,2883522490
2021-12-08,3207262250
2021-12-09,3039365299
2021-12-10,2968762479
2021-12-13,2927434000
2021-12-14,2787089370
2021-12-15,2977372580
2021-12-16,2834444920
2021-12-17,2969623490
2021-12-20,3000619850
2021-12-21,3176265890
2021-12-22,3159045690
2021-12-23,3112551150
2021-12-27,3084998830
2021-12-28,3017840049
2021-12-29,3018701060
2021-12-30,3109968120
2021-12-31,2992009750
2022-01-03,3021284090
2022-01-04,2840471990
2022-01-05,2680324130
2022-01-06,2724235640
2022-01-07,2747482910
2022-01-10,2769008159
2022-01-11,2861997240
2022-01-12,2787089370
2022-01-13,2638134640
2022-01-14,2669131000
2022-01-18,2558060710
2022-01-19,2540840510
2022-01-20,2582168990
2022-01-21,2593362120
2022-01-24,2804309570
2022-01-25,2648466760
2022-01-26,2584752020
2022-01-27,2609721310
2022-01-28,2768147150
2022-01-31,2876933540
2022-02-01,2897844020
2022-02-02,2788935270
2022-02-03,2696580650
2022-02-04,2766282250
2022-02-07,2828142420
2022-02-08,2907427990
2022-02-09,2944021330
2022-02-10,2942278790
2022-02-11,2931823550
2022-02-14,2962318000
2022-02-15,3093008500
2022-02-16,3031148330
2022-02-17,2959704190
2022-02-18,2766282250
2022-02-22,2742757960
2022-02-23,2650403340
2022-02-24,2867349569
2022-02-25,2864735760
2022-02-28,2946635140
2022-03-01,2876062270
2022-03-02,2900457830
2022-03-03,2739272880
2022-03-04,2584186820
2022-03-07,2456110130
2022-03-08,2468307910
2022-03-09,2620780160
2022-03-10,2568503960
2022-03-11,2316706930
2022-03-14,2118928640
2022-03-15,2159878330
2022-03-16,2339359950
2022-03-17,2827271150
2022-03-18,3042474840
2022-03-21,3053801349
2022-03-22,3182749310
2022-03-23,3150512319
2022-03-24,3180135500
2022-03-25,3095622310
2022-03-28,3178392959
2022-03-29,3301242030
2022-03-30,3078196910
2022-03-31,2978872130
2022-04-01,2981485940
2022-04-04,3188848200
2022-04-05,3043346110
2022-04-06,2846439090
2022-04-07,2794162890
2022-04-08,2733173990
2022-04-11,2809845750
2022-04-12,2855151790
2022-04-13,2981485940
2022-04-14,2842082740
2022-04-18,2796776700
2022-04-19,2863864490
2022-04-20,2725332560
2022-04-21,2578959200
2022-04-22,2564147610
2022-04-25,2750599390
2022-04-26,2635591750
2022-04-27,2565890150
2022-04-28,2612938730
2022-04-29,2489218390
2022-05-02,2614617980
2022-05-03,2515886620
2022-05-04,2693074150
2022-05-05,2433904330
2022-05-06,2271702810
2022-05-09,2110382820
2022-05-10,2129776480
2022-05-11,2001954630
2022-05-12,2073358560
2022-05-13,2325476140
2022-05-16,2092752219
2022-05-17,2145644020
2022-05-18,2038978890
2022-05-19,2102449050
2022-05-20,2108619760
2022-05-23,2098922930
2022-05-24,1945536710
2022-05-25,2054846430
2022-05-26,2128013420
2022-05-27,2273465870
2022-05-31,2172971450
2022-06-01,2239086200
2022-06-02,2418036790
2022-06-03,2293741060
2022-06-06,2351922040
2022-06-07,2458587170
2022-06-08,2455061050
2022-06-09,2356329690
2022-06-10,2204706530
2022-06-13,2001954630
2022-06-14,1990494739
2022-06-15,2119198120
2022-06-16,1999310040
2022-06-17,2111264350
2022-06-21,2155340850
2022-06-22,2247901500
2022-06-23,2395117010
2022-06-24,2510597440
2022-06-27,2445364220
2022-06-28,2268176690
2022-06-29,2271702810
2022-06-30,2184431340
2022-07-01,2241730790
2022-07-05,2395117010
2022-07-06,2297267180
2022-07-07,2453297990
2022-07-08,2452416460
2022-07-11,2366908050
2022-07-12,2303437890
2022-07-13,2297267180
2022-07-14,2243493850
2022-07-15,2305200950
2022-07-18,2259361390
2022-07-19,2278755050
2022-07-20,2448890340
2022-07-21,2479743890
2022-07-22,2333409910
2022-07-25,2278755050
2022-07-26,2134184130
2022-07-27,2262005980
2022-07-28,2291978000
2022-07-29,2285807290
2022-08-01,2343731250
2022-08-02,2375873850
2022-08-03,2505337100
2022-08-04,2492837200
2022-08-05,2553551000
2022-08-08,2577657950
2022-08-09,2496408600
2022-08-10,2623193300
2022-08-11,2508908500
2022-08-12,2557122400
2022-08-15,2602657750
2022-08-16,2517837000
2022-08-17,2424087750
2022-08-18,2453551800
2022-08-19,2299088750
2022-08-22,2285696000
2022-08-23,2325874250
2022-08-24,2366052500
2022-08-25,2437480500
2022-08-26,2311588650
2022-08-29,2340159850
2022-08-30,2383909500
2022-08-31,2324981400
2022-09-01,2151768500
2022-09-02,2099090350
2022-09-06,2060697799
2022-09-07,2122304450
2022-09-08,2133018650
2022-09-09,2249982000
2022-09-12,2335695600
2022-09-13,2118733050
2022-09-14,2178554000
2022-09-15,2193732450
2022-09-16,2103554600
2022-09-19,2158018450
2022-09-20,2066947749
2022-09-21,2074090550
2022-09-22,1992841200
2022-09-23,2009805350
2022-09-26,2006233950
2022-09-27,2108911700
2022-09-28,2095518950
2022-09-29,2069626300
2022-09-30,2059804950
2022-10-03,2083911900
2022-10-04,2206232350
2022-10-05,2207125200
2022-10-06,2206232350
2022-10-07,2050876450
2022-10-10,1955341499
2022-10-11,1919627500
2022-10-12,1952662950
2022-10-13,1955341499
2022-10-14,1856235150
2022-10-17,2023198100
2022-10-18,2079447650
2022-10-19,2006233950
2022-10-20,2013376750
2022-10-21,2089268999
2022-10-24,2110697400
2022-10-25,2254446250
2022-10-26,2186589650
2022-10-27,2251767700
2022-10-28,2271410400
2022-10-31,2251308860
2022-11-01,2240476580
2022-11-02,2059938580
2022-11-03,2000361040
2022-11-04,1871276370
2022-11-07,1822531110
2022-11-08,1840584910
2022-11-09,1767467019
2022-11-10,2058133200
2022-11-11,2224228160
2022-11-14,2154721030
2022-11-15,2271168040
2022-11-16,2137569920
2022-11-17,2034663260
2022-11-18,1978696480
2022-11-21,1923632390
2022-11-22,1909189349
2022-11-23,1985918000
2022-11-25,1970572269
2022-11-28,1924535080
2022-11-29,1878497890
2022-11-30,2007582559
2022-12-01,2032857880
2022-12-02,2136667230
2022-12-05,2049106300
2022-12-06,2013901390
2022-12-07,2023830980
2022-12-08,2167358690
2022-12-09,2145694130
2022-12-12,2303664880
2022-12-13,2352410140
2022-12-14,2353312830
2022-12-15,2386712360
2022-12-16,2401155400
2022-12-19,2370463940
2022-12-20,2394836570
2022-12-21,2466149080
2022-12-22,2421014580
2022-12-23,2396641950
2022-12-27,2336161720
2022-12-28,2323524060
2022-12-29,2414695750
2022-12-30,2397544640
2023-01-03,2335259030
2023-01-04,2270265350
2023-01-05,2144791440
2023-01-06,2137569920
2023-01-09,2224228160
2023-01-10,2309081020
2023-01-11,2368658560
2023-01-12,2463441010
2023-01-13,2502256680
2023-01-17,2502256680
2023-01-18,2430041480
2023-01-19,2381296220
2023-01-20,2514894340
2023-01-23,2606066030
2023-01-24,2393933880
2023-01-25,2467954460
2023-01-26,2560931530
2023-01-27,2653908600
2023-01-30,2590720300
2023-01-31,2726440380
2023-02-01,2819792820
2023-02-02,2938771420
2023-02-03,2865553820
2023-02-06,2788675340
2023-02-07,2852740740
2023-02-08,2799657980
2023-02-09,2754812200
2023-02-10,2650477120
2023-02-13,2742914340
2023-02-14,2781353580
2023-02-15,2892095200
2023-02-16,2806064520
2023-02-17,2790505780
2023-02-21,2697153340
2023-02-22,2710881640
2023-02-23,2705390320
2023-02-24,2631257500
2023-02-27,2683425040
2023-02-28,2732846920
2023-03-01,2706305540
2023-03-02,2706305540
2023-03-03,2813386280
2023-03-06,2800573200
2023-03-07,2763049180
2023-03-08,2742914340
2023-03-09,2633087940
2023-03-10,2458280920
2023-03-13,2598309580
2023-03-14,2548887700
2023-03-15,2547972480
2023-03-16,2924127900
2023-03-17,2935110540
2023-03-20,2861892940
2023-03-21,2987278080
2023-03-22,2882027780
2023-03-23,2930534440
2023-03-24,2895756080
2023-03-27,2949754059
2023-03-28,2896671300
2023-03-29,2957075820
2023-03-30,2999175940
2023-03-31,3201439559
2023-04-03,3108087120
2023-04-04,3097104480
2023-04-05,2908569160
2023-04-06,2947008400
2023-04-10,2957991040
2023-04-11,2947008400
2023-04-12,2974465000
2023-04-13,3055919580
2023-04-14,3042191280
2023-04-17,3122730640
2023-04-18,3147441580
2023-04-19,3191372140
2023-04-20,3122730640
2023-04-21,3108087120
2023-04-24,2979956320
2023-04-25,2832605900
2023-04-26,2864638600
2023-04-27,2837182000
2023-04-28,2751151320
2023-05-01,2770707480
2023-05-02,2701300980
2023-05-03,2612460660
2023-05-04,2592101420
2023-05-05,2655955400
2023-05-08,2695748460
2023-05-09,2692972200
2023-05-10,2742019460
2023-05-11,2742944880
2023-05-12,2677240060
2023-05-15,2719809380
2023-05-16,2682792580
2023-05-17,2679090900
2023-05-18,2719809380
2023-05-19,2656880820
2023-05-22,2677240060
2023-05-23,2614311500
2023-05-24,2557860880
2023-05-25,2450512160
2023-05-26,2465318880
2023-05-30,2497708580
2023-05-31,2518067820
2023-06-01,2568040500
2023-06-02,2128466000
2023-06-05,2056283240
2023-06-06,2121062640
2023-06-07,2074791640
2023-06-08,2073866220
2023-06-09,2045178200
2023-06-12,2054432400
2023-06-13,2110883020
2023-06-14,2105330500
2023-06-15,2120137220
2023-06-16,2072940799
2023-06-20,2042401940
2023-06-21,1997981780
2023-06-22,2017415600
2023-06-23,1979473380
2023-06-26,1977622540
2023-06-27,2038700260
2023-06-28,2042401940
2023-06-29,2037774840
2023-06-30,2080344160
2023-07-03,2083120420
2023-07-05,2058134079
2023-07-06,2029446060
2023-07-07,2029446060
2023-07-10,2089598359
2023-07-11,2227485940
2023-07-12,2233038460
2023-07-13,2285787400
2023-07-14,2231187620
2023-07-17,2252472280
2023-07-18,2239516400
2023-07-19,2293190760
2023-07-20,2232113040
2023-07-21,2241367240
2023-07-24,2207126700
2023-07-25,2259875640
2023-07-26,2325580460
2023-07-27,2283936560
2023-07-28,2301519540
2023-07-31,2413255680
2023-08-01,2352738080
2023-08-02,2250323680
2023-08-03,2273599680
2023-08-04,2323875840
2023-08-07,2295944640
2023-08-08,2240082240
2023-08-09,2200047520
2023-08-10,2237289120
2023-08-11,2232633920
2023-08-14,2255909920
2023-08-15,2232633920
2023-08-16,2227047680
2023-08-17,2179564640
2023-08-18,2204702720
2023-08-21,2221461440
2023-08-22,2249392640
2023-08-23,2320151680
2023-08-24,2250323680
2023-08-25,2246599520
2023-08-28,2280116960
2023-08-29,2339703520
2023-08-30,2388117600
2023-08-31,2398359040
2023-09-01,2213082080
2023-09-05,2229840800
2023-09-06,2233564960
2023-09-07,2180495680
2023-09-08,2178633600
2023-09-11,2220530400
2023-09-12,2205633760
2023-09-13,2174909440
2023-09-14,2177702560
2023-09-15,2199116480
2023-09-18,2214013120
2023-09-19,2192599200
2023-09-20,2183288800
2023-09-21,2098564160
2023-09-22,2104150400
2023-09-25,2083667520
2023-09-26,2031529280
2023-09-27,2048288000
2023-09-28,2084598560
2023-09-29,2093908959
2023-10-02,2094840000
2023-10-03,2013839520
2023-10-04,2041770720
2023-10-05,1981253120
2023-10-06,2037115520
2023-10-09,2032460319
2023-10-10,1997080800
2023-10-11,1935632160
2023-10-12,1908632000
2023-10-13,1917011360
2023-10-16,1930045920
2023-10-17,1944942560
2023-10-18,1900252640
2023-10-19,1890011200
2023-10-20,1829493599
2023-10-23,1836010880
2023-10-24,1925390720
2023-10-25,1858355840
2023-10-26,1848114400
2023-10-27,1828562560
2023-10-30,1858355840
2023-10-31,1859028560
2023-11-01,1812944560
2023-11-02,1883913920
2023-11-03,1975160240
2023-11-06,1955804960
2023-11-07,1993593840
2023-11-08,1952118240
2023-11-09,1907877600
2023-11-10,1999123920
2023-11-13,1952118240
2023-11-14,2008340720
2023-11-15,2015714160
2023-11-16,1951196560
2023-11-17,2006497360
2023-11-20,2042442880
2023-11-21,1959491680
2023-11-22,1964100080
2023-11-24,2010184080
2023-11-27,1985298720
