,NOW
2013-02-15,4394419501
2013-02-19,4342506690
2013-02-20,4277615675
2013-02-21,4093325194
2013-02-22,4345102330
2013-02-25,4175087872
2013-02-26,4055688406
2013-02-27,4178981333
2013-02-28,4214022481
2013-03-01,4255552730
2013-03-04,4371058736
2013-03-05,4746128800
2013-03-06,4795445971
2013-03-07,4772085206
2013-03-08,4757809183
2013-03-11,4801935073
2013-03-12,4909654157
2013-03-13,4881102110
2013-03-14,4860336986
2013-03-15,4814913275
2013-03-18,4624133693
2013-03-19,4472288719
2013-03-20,4511223328
2013-03-21,4672153044
2013-03-22,4707194191
2013-03-25,4678642145
2013-03-26,4690322528
2013-03-27,4699407270
2013-03-28,4698109449
2013-04-01,4713113437
2013-04-02,4777328437
2013-04-03,4619466562
2013-04-04,4689032812
2013-04-05,4705086562
2013-04-08,4755923437
2013-04-09,4784017500
2013-04-10,4796057812
2013-04-11,4681005937
2013-04-12,4707762187
2013-04-15,4674316875
2013-04-16,4862948437
2013-04-17,4766625937
2013-04-18,4825489687
2013-04-19,4854921562
2013-04-22,4905758437
2013-04-23,4994054062
2013-04-24,5032850625
2013-04-25,5804768437
2013-04-26,5687040937
2013-04-29,5630852812
2013-04-30,5479680000
2013-05-01,5190712500
2013-05-02,5236198125
2013-05-03,5478342187
2013-05-06,5404762500
2013-05-07,5287035000
2013-05-08,5295061875
2013-05-09,5197401562
2013-05-10,5216130937
2013-05-13,5280345937
2013-05-14,5383357500
2013-05-15,5422154062
2013-05-16,5337871875
2013-05-17,5403424687
2013-05-20,5392722187
2013-05-21,5356601250
2013-05-22,5139875625
2013-05-23,5036864062
2013-05-24,5058269062
2013-05-28,4991378437
2013-05-29,4912447500
2013-05-30,4919136562
2013-05-31,4917798750
2013-06-03,4916460937
2013-06-04,4828165312
2013-06-05,4804084687
2013-06-06,4915123125
2013-06-07,5238873750
2013-06-10,5304426562
2013-06-11,5344560937
2013-06-12,5133186562
2013-06-13,5074322812
2013-06-14,4983351562
2013-06-17,5089038750
2013-06-18,5039539687
2013-06-19,5175996562
2013-06-20,5127835312
2013-06-21,5249576250
2013-06-24,5274994687
2013-06-25,5297737500
2013-06-26,5470315312
2013-06-27,5475666562
2013-06-28,5403424687
2013-07-01,5455897491
2013-07-02,5512074910
2013-07-03,5582965464
2013-07-05,5792962008
2013-07-08,5734109474
2013-07-09,5790286893
2013-07-10,5814362930
2013-07-11,5942768461
2013-07-12,6080536895
2013-07-15,6053785742
2013-07-16,5883915926
2013-07-17,5849139428
2013-07-18,5997608323
2013-07-19,5870540350
2013-07-22,5862515004
2013-07-23,5821050718
2013-07-24,5957481594
2013-07-25,6069836434
2013-07-26,5903979290
2013-07-29,5851814543
2013-07-30,5779586432
2013-07-31,5829076064
2013-08-01,6206267310
2013-08-02,6101937816
2013-08-05,5886591041
2013-08-06,5657868690
2013-08-07,5569589888
2013-08-08,5708695879
2013-08-09,5683282284
2013-08-12,5625767307
2013-08-13,5562902099
2013-08-14,5819713161
2013-08-15,5833088737
2013-08-16,5948118691
2013-08-19,5869202792
2013-08-20,5949456249
2013-08-21,6080536895
2013-08-22,6093912471
2013-08-23,6117988508
2013-08-26,6333335283
2013-08-27,6163465466
2013-08-28,6210279983
2013-08-29,6286520767
2013-08-30,6270470075
2013-09-03,6273145190
2013-09-04,6313271919
2013-09-05,6366774223
2013-09-06,6279832978
2013-09-09,6572758095
2013-09-10,6671737358
2013-09-11,6673074916
2013-09-12,6614222381
2013-09-13,6525943579
2013-09-16,6520593348
2013-09-17,6599509247
2013-09-18,6850970078
2013-09-19,6897784594
2013-09-20,6986063397
2013-09-23,6931223535
2013-09-24,7034215470
2013-09-25,7002114088
2013-09-26,7007464318
2013-09-27,7024852567
2013-09-30,7247484134
2013-10-01,7183310068
2013-10-02,7292126962
2013-10-03,7275385901
2013-10-04,7593466052
2013-10-07,7428845623
2013-10-08,6823377266
2013-10-09,6707584931
2013-10-10,7198656040
2013-10-11,7197260952
2013-10-14,7240508692
2013-10-15,6932194160
2013-10-16,7233533250
2013-10-17,7214002012
2013-10-18,7230743073
2013-10-21,7516736191
2013-10-22,7544637959
2013-10-23,7388388060
2013-10-24,8143130874
2013-10-25,7908756026
2013-10-28,7650664675
2013-10-29,7540452693
2013-10-30,7547428135
2013-10-31,7618577643
2013-11-01,7506970572
2013-11-04,7555798666
2013-11-05,7723209271
2013-11-06,7495809865
2013-11-07,7225162720
2013-11-08,7234928338
2013-11-11,7248879222
2013-11-12,7303287669
2013-11-13,7469303186
2013-11-14,7340955055
2013-11-15,7407919297
2013-11-18,7207026571
2013-11-19,7233533250
2013-11-20,7135877063
2013-11-21,7371646999
2013-11-22,7731579801
2013-11-25,7339559967
2013-11-26,7603231671
2013-11-27,7499995130
2013-11-29,7409314386
2013-12-02,7301892580
2013-12-03,7251669399
2013-12-04,7421870181
2013-12-05,7462327744
2013-12-06,7353510850
2013-12-09,7202841305
2013-12-10,7095419500
2013-12-11,6884761155
2013-12-12,6835933062
2013-12-13,7049381584
2013-12-16,7166569008
2013-12-17,7174939538
2013-12-18,7116345826
2013-12-19,7092629323
2013-12-20,7562774107
2013-12-23,7706468211
2013-12-24,7679961531
2013-12-26,7682751708
2013-12-27,7742740509
2013-12-30,7744135597
2013-12-31,7956782000
2014-01-02,7911322792
2014-01-03,7838872179
2014-01-06,7917005193
2014-01-07,8208228244
2014-01-08,8223854847
2014-01-09,8191181041
2014-01-10,8435524284
2014-01-13,8110206827
2014-01-14,8186919240
2014-01-15,8567640107
2014-01-16,8792094947
2014-01-17,8814824551
2014-01-21,8637249520
2014-01-22,8733850337
2014-01-23,8873069161
2014-01-24,8319035064
2014-01-27,8239481450
2014-01-28,8375859074
2014-01-29,8182657440
2014-01-30,9320558240
2014-01-31,9010867385
2014-02-03,8944099174
2014-02-04,9113150603
2014-02-05,9025073388
2014-02-06,8900060566
2014-02-07,9417159057
2014-02-10,9353232046
2014-02-11,9394429453
2014-02-12,9402953054
2014-02-13,9610360691
2014-02-14,9593313488
2014-02-18,9591892888
2014-02-19,9482506668
2014-02-20,9529386477
2014-02-21,9841918532
2014-02-24,9787935722
2014-02-25,9768047319
2014-02-26,9756682517
2014-02-27,9961248953
2014-02-28,9668605301
2014-03-03,9652978698
2014-03-04,10059270370
2014-03-05,9948463550
2014-03-06,9741055914
2014-03-07,9537910078
2014-03-10,9503815672
2014-03-11,9509498073
2014-03-12,9776570920
2014-03-13,9623146093
2014-03-14,9401532454
2014-03-17,9516601074
2014-03-18,9725429311
2014-03-19,9580528086
2014-03-20,9461197665
2014-03-21,8887275164
2014-03-24,8742373938
2014-03-25,8411374080
2014-03-26,8175554438
2014-03-27,8382962075
2014-03-28,8226696047
2014-03-31,8622170184
2014-04-01,8997735340
2014-04-02,8816428023
2014-04-03,7868161977
2014-04-04,7528570494
2014-04-07,7329995814
2014-04-08,7318484238
2014-04-09,7896940916
2014-04-10,7285388458
2014-04-11,7147249550
2014-04-14,7144371656
2014-04-15,7440794730
2014-04-16,7668148349
2014-04-17,7663831508
2014-04-21,7648003092
2014-04-22,7947304060
2014-04-23,7636491516
2014-04-24,7177467436
2014-04-25,6796146492
2014-04-28,6679591788
2014-04-29,7075302202
2014-04-30,7154444285
2014-05-01,7263804254
2014-05-02,7364530541
2014-05-05,7514181025
2014-05-06,7121348505
2014-05-07,6771684393
2014-05-08,6725638091
2014-05-09,6685347576
2014-05-12,6980331702
2014-05-13,6810535961
2014-05-14,6845070688
2014-05-15,6881044362
2014-05-16,6819169643
2014-05-19,6964503286
2014-05-20,6977453809
2014-05-21,6960186445
2014-05-22,7258048466
2014-05-23,7558788380
2014-05-27,7813481992
2014-05-28,7742973591
2014-05-29,7826432515
2014-05-30,7527131547
2014-06-02,7232147420
2014-06-03,7253731625
2014-06-04,7394748427
2014-06-05,7754485167
2014-06-06,8145878740
2014-06-09,8049469294
2014-06-10,8053786135
2014-06-11,8317113428
2014-06-12,8271067126
2014-06-13,8518566003
2014-06-16,8627925972
2014-06-17,8633681760
2014-06-18,8708507001
2014-06-19,8636559653
2014-06-20,8701312267
2014-06-23,8810672236
2014-06-24,8790526978
2014-06-25,8911398523
2014-06-26,8868230114
2014-06-27,8835134334
2014-06-30,9066948757
2014-07-01,9304012298
2014-07-02,9090362440
2014-07-03,9014267970
2014-07-07,8769887653
2014-07-08,8177228801
2014-07-09,8288443796
2014-07-10,8414292342
2014-07-11,8344051293
2014-07-14,8421609118
2014-07-15,8197715774
2014-07-16,8241616430
2014-07-17,8284053730
2014-07-18,8417219052
2014-07-21,8616235358
2014-07-22,8567944637
2014-07-23,8521117271
2014-07-24,8696719894
2014-07-25,8740620549
2014-07-28,8535750823
2014-07-29,8736230484
2014-07-30,9166456910
2014-07-31,8604528517
2014-08-01,8292833861
2014-08-04,8445022801
2014-08-05,8286980440
2014-08-06,8102597687
2014-08-07,8101134331
2014-08-08,8048453545
2014-08-11,8193325708
2014-08-12,7991382692
2014-08-13,8093817555
2014-08-14,8032356637
2014-08-15,8004552889
2014-08-18,8194789064
2014-08-19,8445022801
2014-08-20,8418682408
2014-08-21,8326491031
2014-08-22,8724523642
2014-08-25,8607455227
2014-08-26,8740620549
2014-08-27,8791837981
2014-08-28,8711353446
2014-08-29,8945490276
2014-09-02,9197187369
2014-09-03,9181090462
2014-09-04,8964513893
2014-09-05,9141579871
2014-09-08,9410837226
2014-09-09,9106459347
2014-09-10,9143043227
2014-09-11,9271818483
2014-09-12,9015731325
2014-09-15,8630868910
2014-09-16,8766960943
2014-09-17,8927930014
2014-09-18,8971830669
2014-09-19,9122556254
2014-09-22,8867932451
2014-09-23,8658672659
2014-09-24,8790374626
2014-09-25,8545994309
2014-09-26,8715743511
2014-09-29,8749400681
2014-09-30,8738602586
2014-10-01,8518576526
2014-10-02,8610749605
2014-10-03,8963088634
2014-10-06,8998768536
2014-10-07,8595882979
2014-10-08,8824829015
2014-10-09,8676162758
2014-10-10,8395183532
2014-10-13,8057711129
2014-10-14,8329770379
2014-10-15,8533443151
2014-10-16,8511143213
2014-10-17,8976468597
2014-10-20,8812935714
2014-10-21,8991335223
2014-10-22,8633049543
2014-10-23,9594920226
2014-10-24,9730206520
2014-10-27,9528020411
2014-10-28,9956179231
2014-10-29,9667766692
2014-10-30,9874412789
2014-10-31,10098898838
2014-11-03,9843192875
2014-11-04,9942799268
2014-11-05,9745073146
2014-11-06,9938339280
2014-11-07,10076598899
2014-11-10,10244591769
2014-11-11,10131605414
2014-11-12,10061732273
2014-11-13,9956179231
2014-11-14,10036459010
2014-11-17,9710879907
2014-11-18,9660333379
2014-11-19,9473013896
2014-11-20,9533967061
2014-11-21,9511667122
2014-11-24,9510180460
2014-11-25,9363000865
2014-11-26,9510180460
2014-11-28,9508693797
2014-12-01,9195007995
2014-12-02,9177168044
2014-12-03,9192034670
2014-12-04,9291641062
2014-12-05,9310967675
2014-12-08,9171221394
2014-12-09,9221767921
2014-12-10,9107294903
2014-12-11,9120674866
2014-12-12,9105808241
2014-12-15,9431387344
2014-12-16,9452200620
2014-12-17,9765886422
2014-12-18,10121198776
2014-12-19,10272838358
2014-12-22,10363524775
2014-12-23,10342711499
2014-12-24,10360551450
2014-12-26,10424477940
2014-12-29,10237158457
2014-12-30,10091465525
2014-12-31,10286187558
2015-01-02,10214934674
2015-01-05,10180066242
2015-01-06,10055752700
2015-01-07,10170970129
2015-01-08,10443853513
2015-01-09,10174002166
2015-01-12,10337732197
2015-01-13,10198258467
2015-01-14,10057268719
2015-01-15,9646427624
2015-01-16,9696456244
2015-01-20,9828349880
2015-01-21,9932955177
2015-01-22,10026948343
2015-01-23,10421113231
2015-01-26,10310443858
2015-01-27,10295283670
2015-01-28,10446885550
2015-01-29,11200346894
2015-01-30,11051777052
2015-02-02,11065421221
2015-02-03,11013876582
2015-02-04,11311016266
2015-02-05,11251891533
2015-02-06,11361044887
2015-02-09,11048745014
2015-02-10,11115449841
2015-02-11,11200346894
2015-02-12,11514162786
2015-02-13,11756725794
2015-02-17,11655152534
2015-02-18,11746113662
2015-02-19,11849202940
2015-02-20,11985644632
2015-02-23,11926519899
2015-02-24,11938648050
2015-02-25,11981096576
2015-02-26,12056897516
2015-02-27,11561159368
2015-03-02,11588447707
2015-03-03,11438361846
2015-03-04,11157898368
2015-03-05,11324660436
2015-03-06,11227635232
2015-03-09,11254923571
2015-03-10,11156382349
2015-03-11,11254923571
2015-03-12,11621800120
2015-03-13,11661216609
2015-03-16,11923487862
2015-03-17,12112990212
2015-03-18,12135730494
2015-03-19,12197887264
2015-03-20,12034157234
2015-03-23,12018997046
2015-03-24,12014448990
2015-03-25,11552063256
2015-03-26,11677892816
2015-03-27,11896199523
2015-03-30,12043253347
2015-03-31,12168781612
2015-04-01,11685305013
2015-04-02,11757903736
2015-04-06,12085370314
2015-04-07,12120897348
2015-04-08,12486980268
2015-04-09,12625999098
2015-04-10,12718678318
2015-04-13,12469989077
2015-04-14,12388122433
2015-04-15,12473078385
2015-04-16,12795911002
2015-04-17,11320766747
2015-04-20,11529294992
2015-04-21,11971065942
2015-04-22,12005048323
2015-04-23,11875297414
2015-04-24,11753269775
2015-04-27,11547830836
2015-04-28,11583357871
2015-04-29,11966431981
2015-04-30,11563277373
2015-05-01,11391820816
2015-05-04,11370195664
2015-05-05,11319222093
2015-05-06,11322311401
2015-05-07,11431981811
2015-05-08,11416535274
2015-05-11,11428892504
2015-05-12,11470598153
2015-05-13,11601893715
2015-05-14,11747091160
2015-05-15,11694572935
2015-05-18,11933994254
2015-05-19,12014316245
2015-05-20,11963342674
2015-05-21,12182683495
2015-05-22,12165692304
2015-05-26,12003503669
2015-05-27,12108540119
2015-05-28,12110084772
2015-05-29,11833591765
2015-06-01,11689938974
2015-06-02,11643599364
2015-06-03,11833591765
2015-06-04,11655956593
2015-06-05,11876842068
2015-06-08,11533928953
2015-06-09,11686849667
2015-06-10,12001959015
2015-06-11,12006592976
2015-06-12,12039030703
2015-06-15,11992691093
2015-06-16,12264550139
2015-06-17,12344872130
2015-06-18,12507060765
2015-06-19,12415926199
2015-06-22,12406658277
2015-06-23,12473078385
2015-06-24,11966431981
2015-06-25,12190406763
2015-06-26,11896922566
2015-06-29,11394910123
2015-06-30,11661505900
2015-07-01,11597164393
2015-07-02,11696030612
2015-07-06,11565778292
2015-07-07,11876500694
2015-07-08,11743109763
2015-07-09,11954965947
2015-07-10,12042847030
2015-07-13,12020876759
2015-07-14,12147990469
2015-07-15,12174668655
2015-07-16,12384955533
2015-07-17,12384955533
2015-07-20,12372401093
2015-07-21,12330029856
2015-07-22,12217039892
2015-07-23,12243718078
2015-07-24,12497945497
2015-07-27,11980074828
2015-07-28,12339445686
2015-07-29,12237440857
2015-07-30,12716078901
2015-07-31,12632905733
2015-08-03,12421049549
2015-08-04,12226455722
2015-08-05,12304920975
2015-08-06,11925149150
2015-08-07,12075802436
2015-08-10,12019307454
2015-08-11,12031861895
2015-08-12,12060109386
2015-08-13,11879639304
2015-08-14,12025584674
2015-08-17,12122881588
2015-08-18,11909456100
2015-08-19,11868654168
2015-08-20,11033783876
2015-08-21,10971011674
2015-08-24,10671274408
2015-08-25,10776417847
2015-08-26,11206407433
2015-08-27,11355491414
2015-08-28,11383738905
2015-08-31,11135788705
2015-09-01,10815650473
2015-09-02,10977288894
2015-09-03,11176590637
2015-09-04,10952180013
2015-09-08,11507714004
2015-09-09,11302135042
2015-09-10,11402570565
2015-09-11,11550085241
2015-09-14,11543808021
2015-09-15,11653659375
2015-09-16,11603441613
2015-09-17,11708585052
2015-09-18,11669352426
2015-09-21,11677198951
2015-09-22,11465342768
2015-09-23,11454357632
2015-09-24,11317828092
2015-09-25,11433956667
2015-09-28,10832912829
2015-09-29,10818789083
2015-09-30,11092475799
2015-10-01,11432677000
2015-10-02,11536494269
2015-10-05,12213702294
2015-10-06,11911833622
2015-10-07,11974123983
2015-10-08,11662672179
2015-10-09,11886278603
2015-10-12,11863917960
2015-10-13,11844751695
2015-10-14,11803224788
2015-10-15,12081135629
2015-10-16,12212105106
2015-10-19,12105093460
2015-10-20,11935791454
2015-10-21,11662672179
2015-10-22,12450086228
2015-10-23,12600221969
2015-10-26,12585847271
2015-10-27,12804662128
2015-10-28,13120905499
2015-10-29,13026671363
2015-10-30,13041046062
2015-11-02,13100142045
2015-11-03,13181598671
2015-11-04,13390830396
2015-11-05,13402010717
2015-11-06,13614436819
2015-11-09,13512216740
2015-11-10,13440343247
2015-11-11,13400413528
2015-11-12,13496244853
2015-11-13,13237500277
2015-11-16,13475481399
2015-11-17,13561729591
2015-11-18,13695893445
2015-11-19,13695893445
2015-11-20,13766169750
2015-11-23,13809293846
2015-11-24,13847626375
2015-11-25,13877972961
2015-11-27,13941860511
2015-11-30,13897139226
2015-12-01,13810891034
2015-12-02,13980193041
2015-12-03,14069635610
2015-12-04,14373101471
2015-12-07,14052066534
2015-12-08,14010539627
2015-12-09,13751795051
2015-12-10,13885958905
2015-12-11,13334928790
2015-12-14,13347706300
2015-12-15,13671935614
2015-12-16,13957832398
2015-12-17,13938666133
2015-12-18,13692699068
2015-12-21,13898736415
2015-12-22,13812488223
2015-12-23,13877972961
2015-12-24,13889153283
2015-12-28,13877972961
2015-12-29,14074427176
2015-12-30,13956235210
2015-12-31,14028528868
2016-01-04,13624981769
2016-01-05,13613637072
2016-01-06,13195503933
2016-01-07,12907024481
2016-01-08,12660682476
2016-01-11,12727129991
2016-01-12,13125815076
2016-01-13,12445133223
2016-01-14,12675268516
2016-01-15,12372203024
2016-01-19,12044827466
2016-01-20,12043206795
2016-01-21,12059413506
2016-01-22,12425685170
2016-01-25,12333306918
2016-01-26,12634751739
2016-01-27,12214997929
2016-01-28,10302606055
2016-01-29,10082194788
2016-02-01,10041678011
2016-02-02,9278341933
2016-02-03,9610579504
2016-02-04,9500373870
2016-02-05,8477730419
2016-02-08,7639843471
2016-02-09,7863496080
2016-02-10,8101734728
2016-02-11,7946150305
2016-02-12,8116320768
2016-02-16,8433972300
2016-02-17,8955828388
2016-02-18,8793761280
2016-02-19,8871553491
2016-02-22,8863450136
2016-02-23,8591177395
2016-02-24,8516626525
2016-02-25,8777554569
2016-02-26,8996345165
2016-02-29,8912070268
2016-03-01,9375582197
2016-03-02,9344789447
2016-03-03,9458236422
2016-03-04,9480925818
2016-03-07,9435547027
2016-03-08,9779129296
2016-03-09,9803439362
2016-03-10,9840714797
2016-03-11,10266951291
2016-03-14,10104884183
2016-03-15,9991437208
2016-03-16,10108125525
2016-03-17,9853680166
2016-03-18,9748336546
2016-03-21,9894196943
2016-03-22,10100022170
2016-03-23,10088677473
2016-03-24,9997919892
2016-03-28,9779129296
2016-03-29,9908782983
2016-03-30,9897438285
2016-03-31,10023655030
2016-04-01,10162917972
2016-04-04,10531555171
2016-04-05,10428336755
2016-04-06,10459466119
2016-04-07,10488957095
2016-04-08,10567599697
2016-04-11,10372631579
2016-04-12,10117043121
2016-04-13,10447997406
2016-04-14,10321841565
2016-04-15,10367716416
2016-04-18,10562684534
2016-04-19,10431613530
2016-04-20,10667541338
2016-04-21,12168304333
2016-04-22,11978251378
2016-04-25,12027403004
2016-04-26,11904523938
2016-04-27,11984804928
2016-04-28,11693171944
2016-04-29,11711194207
2016-05-02,11799667135
2016-05-03,11442498649
2016-05-04,11077138225
2016-05-05,11106629201
2016-05-06,11023071436
2016-05-09,11047647249
2016-05-10,11227869880
2016-05-11,11245892143
2016-05-12,11054200799
2016-05-13,11049285637
2016-05-16,11517864476
2016-05-17,11386793472
2016-05-18,11473628012
2016-05-19,11427753161
2016-05-20,11468712850
2016-05-23,11506395763
2016-05-24,11629274829
2016-05-25,11593230303
2016-05-26,11476904787
2016-05-27,11588315141
2016-05-31,11735770020
2016-06-01,11988081703
2016-06-02,12161750783
2016-06-03,12047063655
2016-06-06,12297736950
2016-06-07,12455022155
2016-06-08,12622137685
2016-06-09,12379656327
2016-06-10,12128983032
2016-06-13,11912715876
2016-06-14,11956952339
2016-06-15,12201072084
2016-06-16,12071639468
2016-06-17,11807859072
2016-06-20,11894693613
2016-06-21,11915992651
2016-06-22,11783283259
2016-06-23,12317397600
2016-06-24,11522779639
2016-06-27,10431613530
2016-06-28,10670818113
2016-06-29,10885446882
2016-06-30,10981154710
2016-07-01,10949732731
2016-07-05,10794276625
2016-07-06,10804199355
2016-07-07,10751278128
2016-07-08,11430985144
2016-07-11,11386332858
2016-07-12,11652592784
2016-07-13,11601325345
2016-07-14,11602979133
2016-07-15,11745204932
2016-07-18,11548404117
2016-07-19,11574864731
2016-07-20,12014772435
2016-07-21,11750166297
2016-07-22,12018080012
2016-07-25,12165267176
2016-07-26,12128883832
2016-07-27,12069347451
2016-07-28,12631635493
2016-07-29,12390182393
2016-08-01,12414989218
2016-08-02,12110692160
2016-08-03,12282686149
2016-08-04,12393489969
2016-08-05,12540677133
2016-08-08,12393489969
2016-08-09,12403412700
2016-08-10,12328992223
2016-08-11,12583675631
2016-08-12,12530754403
2016-08-15,12691171874
2016-08-16,12324030858
2016-08-17,12084231546
2016-08-18,12084231546
2016-08-19,12186766424
2016-08-22,11806395102
2016-08-23,12009811070
2016-08-24,12034617895
2016-08-25,12171882329
2016-08-26,12155344446
2016-08-29,12137152774
2016-08-30,12145421715
2016-08-31,12018080012
2016-09-01,12238033864
2016-09-02,12608482456
2016-09-06,12853243133
2016-09-07,12661403684
2016-09-08,12469564234
2016-09-09,12168574752
2016-09-12,12325684647
2016-09-13,11976735303
2016-09-14,11999888340
2016-09-15,12851589345
2016-09-16,12782130234
2016-09-19,12567137747
2016-09-20,12449718774
2016-09-21,12714324911
2016-09-22,12886318901
2016-09-23,12808590848
2016-09-26,12692825663
2016-09-27,13071543197
2016-09-28,13192269747
2016-09-29,12978931049
2016-09-30,13203537293
2016-10-03,13273600283
2016-10-04,13225223457
2016-10-05,13250245953
2016-10-06,13075088478
2016-10-07,13098442808
2016-10-10,13350335939
2016-10-11,13145151468
2016-10-12,12556288718
2016-10-13,12576306715
2016-10-14,12614674543
2016-10-17,12451194233
2016-10-18,12704755530
2016-10-19,13165169465
2016-10-20,13153492300
2016-10-21,13355340438
2016-10-24,13512148083
2016-10-25,13310299944
2016-10-26,13161833132
2016-10-27,14172741989
2016-10-28,14366249295
2016-10-31,14664851086
2016-11-01,14494698110
2016-11-02,14111019831
2016-11-03,13992580014
2016-11-04,13880812864
2016-11-07,14194428152
2016-11-08,14262822976
2016-11-09,14176078322
2016-11-10,13702319056
2016-11-11,13784059211
2016-11-14,13890821862
2016-11-15,14282840973
2016-11-16,14291181805
2016-11-17,14484689111
2016-11-18,14304527137
2016-11-21,14437980451
2016-11-22,14384599125
2016-11-23,14521388773
2016-11-25,14636492256
2016-11-28,14149387659
2016-11-29,13915844359
2016-11-30,13870803865
2016-12-01,12859895008
2016-12-02,12771482188
2016-12-05,13323645276
2016-12-06,13280272949
2016-12-07,13341995107
2016-12-08,13363681270
2016-12-09,13245241454
2016-12-12,12991680156
2016-12-13,13243573287
2016-12-14,13170173964
2016-12-15,13250245953
2016-12-16,12988343823
2016-12-19,12928289832
2016-12-20,13061743146
2016-12-21,12886585671
2016-12-22,12436180735
2016-12-23,12681401200
2016-12-27,12824863513
2016-12-28,12547947886
2016-12-29,12501239226
2016-12-30,12401149240
2017-01-03,12521147947
2017-01-04,13045758560
2017-01-05,13095406252
2017-01-06,13586918404
2017-01-09,13570369174
2017-01-10,13515756712
2017-01-11,13884804557
2017-01-12,13811987942
2017-01-13,13823572403
2017-01-17,13472728712
2017-01-18,13711037634
2017-01-19,13686213788
2017-01-20,13802058403
2017-01-23,13777234557
2017-01-24,13896389018
2017-01-25,14291915632
2017-01-26,14808251630
2017-01-27,14909201937
2017-01-30,14914166706
2017-01-31,14996912860
2017-02-01,14844659937
2017-02-02,14705646400
2017-02-03,14806596707
2017-02-06,14977053783
2017-02-07,15003532552
2017-02-08,14909201937
2017-02-09,15274939936
2017-02-10,15301418705
2017-02-13,15182264244
2017-02-14,15372580397
2017-02-15,15551312088
