,ROL
2000-07-10,439280689
2000-07-11,446788752
2000-07-12,450545350
2000-07-13,456175114
2000-07-14,456175114
2000-07-17,463683176
2000-07-18,456175114
2000-07-19,450545350
2000-07-20,454296815
2000-07-21,446788752
2000-07-24,454296815
2000-07-25,452418516
2000-07-26,456175114
2000-07-27,452418516
2000-07-28,448667051
2000-07-31,454296815
2000-08-01,452418516
2000-08-02,446788752
2000-08-03,452418516
2000-08-04,454296815
2000-08-07,441158988
2000-08-08,435524092
2000-08-09,435524092
2000-08-10,433645793
2000-08-11,439280689
2000-08-14,443032155
2000-08-15,439280689
2000-08-16,441158988
2000-08-17,448667051
2000-08-18,444910454
2000-08-21,443032155
2000-08-22,439280689
2000-08-23,441158988
2000-08-24,448667051
2000-08-25,443032155
2000-08-28,441158988
2000-08-29,444910454
2000-08-30,446788752
2000-08-31,450545350
2000-09-01,446788752
2000-09-05,444910454
2000-09-06,444910454
2000-09-07,448667051
2000-09-08,448667051
2000-09-11,448667051
2000-09-12,450545350
2000-09-13,446788752
2000-09-14,450545350
2000-09-15,448667051
2000-09-18,428016029
2000-09-19,443032155
2000-09-20,446788752
2000-09-21,443032155
2000-09-22,441158988
2000-09-25,437402391
2000-09-26,441158988
2000-09-27,441158988
2000-09-28,443032155
2000-09-29,444910454
2000-10-02,442230007
2000-10-03,442230007
2000-10-04,449756298
2000-10-05,447873439
2000-10-06,447873439
2000-10-09,445990580
2000-10-10,451639156
2000-10-11,451639156
2000-10-12,453516871
2000-10-13,461048305
2000-10-16,461048305
2000-10-17,462926020
2000-10-18,466691737
2000-10-19,481744318
2000-10-20,489275753
2000-10-23,496802043
2000-10-24,508088906
2000-10-25,513737483
2000-10-26,524731114
2000-10-27,540164382
2000-10-30,545308805
2000-10-31,545308805
2000-11-01,545308805
2000-11-02,565886495
2000-11-03,550453227
2000-11-06,550453227
2000-11-07,545308805
2000-11-08,555597650
2000-11-09,555597650
2000-11-10,550453227
2000-11-13,555597650
2000-11-14,555597650
2000-11-15,555597650
2000-11-16,545308805
2000-11-17,555597650
2000-11-20,550453227
2000-11-21,560742073
2000-11-22,571030918
2000-11-24,601897454
2000-11-27,648197258
2000-11-28,601897454
2000-11-29,632763990
2000-11-30,632763990
2000-12-01,637908413
2000-12-04,627619568
2000-12-05,612186300
2000-12-06,607041877
2000-12-07,637908413
2000-12-08,643052836
2000-12-11,658486104
2000-12-12,637908413
2000-12-13,622475145
2000-12-14,632763990
2000-12-15,612186300
2000-12-18,601897454
2000-12-19,617330722
2000-12-20,586464186
2000-12-21,612186300
2000-12-22,632763990
2000-12-26,596753032
2000-12-27,586464186
2000-12-28,632763990
2000-12-29,601897454
2001-01-02,575311941
2001-01-03,585585368
2001-01-04,570175227
2001-01-05,570175227
2001-01-08,575311941
2001-01-09,580448654
2001-01-10,595858796
2001-01-11,590722082
2001-01-12,590722082
2001-01-16,590722082
2001-01-17,565038513
2001-01-18,559901799
2001-01-19,554765086
2001-01-22,549628372
2001-01-23,549628372
2001-01-24,539354944
2001-01-25,523944803
2001-01-26,507327534
2001-01-29,509582551
2001-01-30,511087608
2001-01-31,529081517
2001-02-01,529081517
2001-02-02,539354944
2001-02-05,549628372
2001-02-06,554765086
2001-02-07,559901799
2001-02-08,549628372
2001-02-09,559901799
2001-02-12,554765086
2001-02-13,590722082
2001-02-14,580448654
2001-02-15,595858796
2001-02-16,590722082
2001-02-20,580448654
2001-02-21,600995509
2001-02-22,585585368
2001-02-23,590722082
2001-02-26,600995509
2001-02-27,585585368
2001-02-28,606132223
2001-03-01,600995509
2001-03-02,606132223
2001-03-05,606132223
2001-03-06,611268937
2001-03-07,626679078
2001-03-08,626679078
2001-03-09,631815792
2001-03-12,611268937
2001-03-13,600995509
2001-03-14,590722082
2001-03-15,590722082
2001-03-16,580448654
2001-03-19,590722082
2001-03-20,575311941
2001-03-21,570175227
2001-03-22,559901799
2001-03-23,590722082
2001-03-26,585585368
2001-03-27,600995509
2001-03-28,585585368
2001-03-29,575311941
2001-03-30,580448654
2001-04-02,598141262
2001-04-03,598141262
2001-04-04,598141262
2001-04-05,623923212
2001-04-06,613610432
2001-04-09,603297652
2001-04-10,587828481
2001-04-11,577515701
2001-04-12,577515701
2001-04-16,577515701
2001-04-17,587828481
2001-04-18,582672091
2001-04-19,582672091
2001-04-20,551733750
2001-04-23,546577360
2001-04-24,531108189
2001-04-25,551733750
2001-04-26,556890140
2001-04-27,572359311
2001-04-30,562046530
2001-05-01,572359311
2001-05-02,572359311
2001-05-03,562046530
2001-05-04,587828481
2001-05-07,577515701
2001-05-08,562046530
2001-05-09,551733750
2001-05-10,562046530
2001-05-11,551733750
2001-05-14,546577360
2001-05-15,546577360
2001-05-16,572359311
2001-05-17,562046530
2001-05-18,551733750
2001-05-21,577515701
2001-05-22,572359311
2001-05-23,562046530
2001-05-24,556890140
2001-05-25,556890140
2001-05-29,556890140
2001-05-30,562046530
2001-05-31,567202920
2001-06-01,562046530
2001-06-04,572359311
2001-06-05,582672091
2001-06-06,572359311
2001-06-07,572359311
2001-06-08,567202920
2001-06-11,572359311
2001-06-12,567202920
2001-06-13,572359311
2001-06-14,556890140
2001-06-15,577515701
2001-06-18,572359311
2001-06-19,572359311
2001-06-20,582672091
2001-06-21,577515701
2001-06-22,562046530
2001-06-25,562046530
2001-06-26,567202920
2001-06-27,582672091
2001-06-28,582672091
2001-06-29,603297652
2001-07-02,608397933
2001-07-03,608397933
2001-07-05,608397933
2001-07-06,598086104
2001-07-09,598086104
2001-07-10,572306530
2001-07-11,572306530
2001-07-12,587774274
2001-07-13,603242018
2001-07-16,592930189
2001-07-17,587774274
2001-07-18,582618359
2001-07-19,598086104
2001-07-20,618709762
2001-07-23,608397933
2001-07-24,598086104
2001-07-25,603242018
2001-07-26,623865677
2001-07-27,618709762
2001-07-30,592930189
2001-07-31,598086104
2001-08-01,592930189
2001-08-02,598086104
2001-08-03,598086104
2001-08-06,598086104
2001-08-07,592930189
2001-08-08,572306530
2001-08-09,567150615
2001-08-10,567150615
2001-08-13,567150615
2001-08-14,582618359
2001-08-15,572306530
2001-08-16,577462445
2001-08-17,577462445
2001-08-20,587774274
2001-08-21,592930189
2001-08-22,598086104
2001-08-23,608397933
2001-08-24,629021592
2001-08-27,618709762
2001-08-28,592930189
2001-08-29,592930189
2001-08-30,603242018
2001-08-31,613553848
2001-09-04,629021592
2001-09-05,629021592
2001-09-06,618709762
2001-09-07,598086104
2001-09-10,577462445
2001-09-17,551682871
2001-09-18,536215127
2001-09-19,512699000
2001-09-20,475277372
2001-09-21,452947105
2001-09-24,466826827
2001-09-25,469543994
2001-09-26,454153589
2001-09-27,454457788
2001-09-28,469244951
2001-10-01,451921328
2001-10-02,455527780
2001-10-03,462745822
2001-10-04,472065059
2001-10-05,461240565
2001-10-08,463650004
2001-10-09,454027661
2001-10-10,464549048
2001-10-11,461846778
2001-10-12,460038414
2001-10-15,463048928
2001-10-16,476575693
2001-10-17,479884176
2001-10-18,481086326
2001-10-19,472065059
2001-10-22,485596960
2001-10-23,493112971
2001-10-24,493416077
2001-10-25,502134239
2001-10-26,502134239
2001-10-29,490708669
2001-10-30,482591584
2001-10-31,488607474
2001-11-01,497623605
2001-11-02,501533163
2001-11-05,503639496
2001-11-06,510857537
2001-11-07,513739617
2001-11-08,500634119
2001-11-09,502437345
2001-11-12,511756582
2001-11-13,518877013
2001-11-14,539426597
2001-11-15,534289201
2001-11-16,544563994
2001-11-19,544563994
2001-11-20,544563994
2001-11-21,539426597
2001-11-23,549701390
2001-11-26,580525767
2001-11-27,575388371
2001-11-28,570250974
2001-11-29,595937955
2001-11-30,580525767
2001-12-03,570250974
2001-12-04,590800559
2001-12-05,590800559
2001-12-06,595937955
2001-12-07,601075351
2001-12-10,595937955
2001-12-11,590800559
2001-12-12,590800559
2001-12-13,580525767
2001-12-14,595937955
2001-12-17,606212748
2001-12-18,616487540
2001-12-19,621624936
2001-12-20,621624936
2001-12-21,621624936
2001-12-24,621624936
2001-12-26,626762332
2001-12-27,621624936
2001-12-28,621624936
2001-12-31,601716947
2002-01-02,596574067
2002-01-03,612002706
2002-01-04,627431346
2002-01-07,606859827
2002-01-08,601716947
2002-01-09,596574067
2002-01-10,601716947
2002-01-11,596574067
2002-01-14,596574067
2002-01-15,601716947
2002-01-16,591431187
2002-01-17,601716947
2002-01-18,576002547
2002-01-22,576002547
2002-01-23,576002547
2002-01-24,565716787
2002-01-25,576002547
2002-01-28,586288307
2002-01-29,581145427
2002-01-30,591431187
2002-01-31,601716947
2002-02-01,596574067
2002-02-04,591431187
2002-02-05,596574067
2002-02-06,586288307
2002-02-07,576002547
2002-02-08,591431187
2002-02-11,591431187
2002-02-12,586288307
2002-02-13,596574067
2002-02-14,596574067
2002-02-15,596574067
2002-02-19,581145427
2002-02-20,606859827
2002-02-21,591431187
2002-02-22,606859827
2002-02-25,606859827
2002-02-26,601716947
2002-02-27,606859827
2002-02-28,601716947
2002-03-01,606859827
2002-03-04,617145586
2002-03-05,617145586
2002-03-06,622288466
2002-03-07,612002706
2002-03-08,617145586
2002-03-11,622288466
2002-03-12,617145586
2002-03-13,612002706
2002-03-14,622288466
2002-03-15,627431346
2002-03-18,627431346
2002-03-19,632574226
2002-03-20,622288466
2002-03-21,632574226
2002-03-22,632574226
2002-03-25,632574226
2002-03-26,648002866
2002-03-27,637717106
2002-03-28,632574226
2002-04-01,632707680
2002-04-02,627563715
2002-04-03,622419750
2002-04-04,622419750
2002-04-05,622419750
2002-04-08,627563715
2002-04-09,632707680
2002-04-10,637851645
2002-04-11,632707680
2002-04-12,648139574
2002-04-15,637851645
2002-04-16,648139574
2002-04-17,648139574
2002-04-18,637851645
2002-04-19,632707680
2002-04-22,632707680
2002-04-23,632707680
2002-04-24,617275785
2002-04-25,612131820
2002-04-26,606987855
2002-04-29,601843890
2002-04-30,606987855
2002-05-01,606987855
2002-05-02,601843890
2002-05-03,612131820
2002-05-06,612131820
2002-05-07,606987855
2002-05-08,622419750
2002-05-09,612131820
2002-05-10,601843890
2002-05-13,622419750
2002-05-14,637851645
2002-05-15,642995610
2002-05-16,637851645
2002-05-17,642995610
2002-05-20,632707680
2002-05-21,612131820
2002-05-22,617275785
2002-05-23,642995610
2002-05-24,637851645
2002-05-28,627563715
2002-05-29,612131820
2002-05-30,622419750
2002-05-31,627563715
2002-06-03,601843890
2002-06-04,591555961
2002-06-05,591555961
2002-06-06,560692171
2002-06-07,565836136
2002-06-10,565836136
2002-06-11,560692171
2002-06-12,570980101
2002-06-13,555548207
2002-06-14,560692171
2002-06-17,565836136
2002-06-18,570980101
2002-06-19,550404242
2002-06-20,560692171
2002-06-21,560692171
2002-06-24,560692171
2002-06-25,565836136
2002-06-26,596699926
2002-06-27,596699926
2002-06-28,612131820
2002-07-01,577733069
2002-07-02,562395023
2002-07-03,562395023
2002-07-05,582845751
2002-07-08,572620387
2002-07-09,562395023
2002-07-10,557282341
2002-07-11,567507705
2002-07-12,557282341
2002-07-15,572620387
2002-07-16,557282341
2002-07-17,562395023
2002-07-18,552169659
2002-07-19,557282341
2002-07-22,557282341
2002-07-23,552169659
2002-07-24,587958433
2002-07-25,577733069
2002-07-26,572620387
2002-07-29,603296479
2002-07-30,603296479
2002-07-31,608409161
2002-08-01,608409161
2002-08-02,587958433
2002-08-05,562395023
2002-08-06,577733069
2002-08-07,587958433
2002-08-08,598183797
2002-08-09,598183797
2002-08-12,593071115
2002-08-13,572620387
2002-08-14,603296479
2002-08-15,613521843
2002-08-16,623747207
2002-08-19,628859889
2002-08-20,633972571
2002-08-21,639085253
2002-08-22,644197935
2002-08-23,618634525
2002-08-26,633972571
2002-08-27,608409161
2002-08-28,587958433
2002-08-29,598183797
2002-08-30,593071115
2002-09-03,562395023
2002-09-04,593071115
2002-09-05,572620387
2002-09-06,603296479
2002-09-09,603296479
2002-09-10,608409161
2002-09-11,593071115
2002-09-12,577733069
2002-09-13,593071115
2002-09-16,587958433
2002-09-17,577733069
2002-09-18,572620387
2002-09-19,557282341
2002-09-20,567507705
2002-09-23,567507705
2002-09-24,572620387
2002-09-25,603296479
2002-09-26,613521843
2002-09-27,587958433
2002-09-30,581495278
2002-10-01,596797786
2002-10-02,566192771
2002-10-03,576394443
2002-10-04,555991100
2002-10-07,566192771
2002-10-08,581495278
2002-10-09,566192771
2002-10-10,586596114
2002-10-11,591696950
2002-10-14,591696950
2002-10-15,617201129
2002-10-16,586596114
2002-10-17,612100293
2002-10-18,622301965
2002-10-21,652906979
2002-10-22,658007815
2002-10-23,693713666
2002-10-24,663108651
2002-10-25,698814501
2002-10-28,703915337
2002-10-29,698814501
2002-10-30,729419516
2002-10-31,703915337
2002-11-01,724318680
2002-11-04,744722023
2002-11-05,739621188
2002-11-06,744722023
2002-11-07,729419516
2002-11-08,714117009
2002-11-11,724318680
2002-11-12,734520352
2002-11-13,703915337
2002-11-14,734520352
2002-11-15,729419516
2002-11-18,724318680
2002-11-19,709016173
2002-11-20,724318680
2002-11-21,734520352
2002-11-22,744722023
2002-11-25,729419516
2002-11-26,673310322
2002-11-27,714117009
2002-11-29,698814501
2002-12-02,714117009
2002-12-03,698814501
2002-12-04,703915337
2002-12-05,724318680
2002-12-06,744722023
2002-12-09,739621188
2002-12-10,749822859
2002-12-11,744722023
2002-12-12,744722023
2002-12-13,734520352
2002-12-16,744722023
2002-12-17,729419516
2002-12-18,703915337
2002-12-19,754923695
2002-12-20,805932053
2002-12-23,826335396
2002-12-24,826335396
2002-12-26,811032889
2002-12-27,780427874
2002-12-30,780427874
2002-12-31,762248120
2003-01-02,808289953
2003-01-03,792942676
2003-01-06,844100268
2003-01-07,823637231
2003-01-08,803174194
2003-01-09,838984508
2003-01-10,838984508
2003-01-13,823637231
2003-01-14,838984508
2003-01-15,838984508
2003-01-16,838984508
2003-01-17,828752990
2003-01-21,828752990
2003-01-22,818521472
2003-01-23,838984508
2003-01-24,828752990
2003-01-27,828752990
2003-01-28,838984508
2003-01-29,854331786
2003-01-30,854331786
2003-01-31,874794823
2003-02-03,874794823
2003-02-04,900373619
2003-02-05,900373619
2003-02-06,890142100
2003-02-07,844100268
2003-02-10,869679064
2003-02-11,885026341
2003-02-12,874794823
2003-02-13,895257860
2003-02-14,895257860
2003-02-18,920836656
2003-02-19,920836656
2003-02-20,936183933
2003-02-21,951531211
2003-02-24,925952415
2003-02-25,936183933
2003-02-26,931068174
2003-02-27,941299692
2003-02-28,946415452
2003-03-03,941299692
2003-03-04,941299692
2003-03-05,951531211
2003-03-06,941299692
2003-03-07,941299692
2003-03-10,920836656
2003-03-11,920836656
2003-03-12,920836656
2003-03-13,956646970
2003-03-14,946415452
2003-03-17,992457284
2003-03-18,977110007
2003-03-19,977110007
2003-03-20,987341525
2003-03-21,1028267599
2003-03-24,1012920321
2003-03-25,1048730635
2003-03-26,1058962154
2003-03-27,1064077913
2003-03-28,1053846395
2003-03-31,1038099872
2003-04-01,1032960764
2003-04-02,1038099872
2003-04-03,1017543439
2003-04-04,1007265222
2003-04-07,981569681
2003-04-08,996987006
2003-04-09,1012404331
2003-04-10,1043238980
2003-04-11,1032960764
2003-04-14,1068934522
2003-04-15,1058656305
2003-04-16,1027821656
2003-04-17,1058656305
2003-04-21,1053517197
2003-04-22,1094630063
2003-04-23,1094630063
2003-04-24,1074073630
2003-04-25,1063795413
2003-04-28,1104908280
2003-04-29,1084351847
2003-04-30,1094630063
2003-05-01,1089490955
2003-05-02,1099769171
2003-05-05,1094630063
2003-05-06,1094630063
2003-05-07,1084351847
2003-05-08,1084351847
2003-05-09,1094630063
2003-05-12,1089490955
2003-05-13,1084351847
2003-05-14,1084351847
2003-05-15,1104908280
2003-05-16,1058656305
2003-05-19,935317706
2003-05-20,925039490
2003-05-21,919900382
2003-05-22,925039490
2003-05-23,914761273
2003-05-27,889065732
2003-05-28,899343949
2003-05-29,909622165
2003-05-30,930178598
2003-06-02,904483057
2003-06-03,904483057
2003-06-04,914761273
2003-06-05,909622165
2003-06-06,889065732
2003-06-09,853091974
2003-06-10,873648407
2003-06-11,883926624
2003-06-12,889065732
2003-06-13,868509299
2003-06-16,842813757
2003-06-17,842813757
2003-06-18,899343949
2003-06-19,883926624
2003-06-20,878787515
2003-06-23,827396433
2003-06-24,853091974
2003-06-25,827396433
2003-06-26,853091974
2003-06-27,863370191
2003-06-30,847915275
2003-07-01,847915275
2003-07-02,863331917
2003-07-03,847915275
2003-07-07,863331917
2003-07-08,868470797
2003-07-09,858193036
2003-07-10,837637514
2003-07-11,853054156
2003-07-14,853054156
2003-07-15,863331917
2003-07-16,863331917
2003-07-17,822220873
2003-07-18,832498634
2003-07-21,796526471
2003-07-22,775970949
2003-07-23,817081993
2003-07-24,858193036
2003-07-25,858193036
2003-07-28,847915275
2003-07-29,853054156
2003-07-30,863331917
2003-07-31,842776395
2003-08-01,811943112
2003-08-04,796526471
2003-08-05,755415427
2003-08-06,755415427
2003-08-07,786248710
2003-08-08,801665351
2003-08-11,811943112
2003-08-12,822220873
2003-08-13,837637514
2003-08-14,822220873
2003-08-15,832498634
2003-08-18,827359754
2003-08-19,832498634
2003-08-20,837637514
2003-08-21,847915275
2003-08-22,811943112
2003-08-25,806804232
2003-08-26,806804232
2003-08-27,822220873
2003-08-28,806804232
2003-08-29,806804232
2003-09-02,796526471
2003-09-03,781109829
2003-09-04,775970949
2003-09-05,765693188
2003-09-08,786248710
2003-09-09,806804232
2003-09-10,781109829
2003-09-11,786248710
2003-09-12,791387590
2003-09-15,791387590
2003-09-16,796526471
2003-09-17,791387590
2003-09-18,786248710
2003-09-19,811943112
2003-09-22,786248710
2003-09-23,796526471
2003-09-24,781109829
2003-09-25,801665351
2003-09-26,801665351
2003-09-29,811943112
2003-09-30,807078446
2003-10-01,832781582
2003-10-02,822500328
2003-10-03,837922209
2003-10-06,843062836
2003-10-07,848203463
2003-10-08,843062836
2003-10-09,848203463
2003-10-10,848203463
2003-10-13,863625344
2003-10-14,858484717
2003-10-15,853344090
2003-10-16,853344090
2003-10-17,853344090
2003-10-20,848203463
2003-10-21,863625344
2003-10-22,837922209
2003-10-23,837922209
2003-10-24,837922209
2003-10-27,832781582
2003-10-28,843062836
2003-10-29,915031614
2003-10-30,915031614
2003-10-31,915031614
2003-11-03,961297258
2003-11-04,997281647
2003-11-05,981859766
2003-11-06,997281647
2003-11-07,992141020
2003-11-10,987000393
2003-11-11,981859766
2003-11-12,997281647
2003-11-13,992141020
2003-11-14,992141020
2003-11-17,997281647
2003-11-18,966437885
2003-11-19,987000393
2003-11-20,992141020
2003-11-21,1012703528
2003-11-24,1038406664
2003-11-25,1012703528
2003-11-26,1012703528
2003-11-28,1007562901
2003-12-01,1033266037
2003-12-02,1048687918
2003-12-03,1038406664
2003-12-04,1033266037
2003-12-05,1022984782
2003-12-08,1043547291
2003-12-09,1028125410
2003-12-10,1022984782
2003-12-11,1043547291
2003-12-12,1038406664
2003-12-15,1028125410
2003-12-16,1033266037
2003-12-17,1033266037
2003-12-18,1043547291
2003-12-19,1048687918
2003-12-22,1048687918
2003-12-23,1043547291
2003-12-24,1038406664
2003-12-26,1043547291
2003-12-29,1043547291
2003-12-30,1038406664
2003-12-31,1021625611
2004-01-02,1037104787
2004-01-05,1026785336
2004-01-06,1006146435
2004-01-07,1021625611
2004-01-08,1037104787
2004-01-09,1088702040
2004-01-12,1119660392
2004-01-13,1119660392
2004-01-14,1129979842
2004-01-15,1140299293
2004-01-16,1171257645
2004-01-20,1155778469
2004-01-21,1155778469
2004-01-22,1145459018
2004-01-23,1150618744
2004-01-26,1150618744
2004-01-27,1140299293
2004-01-28,1140299293
2004-01-29,1145459018
2004-01-30,1145459018
2004-02-02,1135139568
2004-02-03,1119660392
2004-02-04,1104181216
2004-02-05,1088702040
2004-02-06,1083542315
2004-02-09,1099021491
2004-02-10,1088702040
2004-02-11,1104181216
2004-02-12,1093861765
2004-02-13,1099021491
2004-02-17,1109340941
2004-02-18,1160938194
2004-02-19,1124820117
2004-02-20,1109340941
2004-02-23,1068063139
2004-02-24,1062903413
2004-02-25,1057743688
2004-02-26,1062903413
2004-02-27,1052583963
2004-03-01,1093861765
2004-03-02,1099021491
2004-03-03,1099021491
2004-03-04,1088702040
2004-03-05,1078382589
2004-03-08,1109340941
2004-03-09,1171257645
2004-03-10,1171257645
2004-03-11,1155778469
2004-03-12,1181577095
2004-03-15,1166097920
2004-03-16,1160938194
2004-03-17,1186736821
2004-03-18,1186736821
2004-03-19,1181577095
2004-03-22,1150618744
2004-03-23,1166097920
2004-03-24,1140299293
2004-03-25,1160938194
2004-03-26,1145459018
2004-03-29,1181577095
2004-03-30,1140299293
2004-03-31,1172636595
2004-04-01,1193391225
2004-04-02,1214145855
2004-04-05,1203768540
2004-04-06,1198579882
2004-04-07,1219334512
2004-04-08,1208957197
2004-04-12,1203768540
2004-04-13,1172636595
2004-04-14,1172636595
2004-04-15,1162259280
2004-04-16,1151881965
2004-04-19,1183013910
2004-04-20,1141504650
2004-04-21,1167447937
2004-04-22,1188202567
2004-04-23,1157070622
2004-04-26,1172636595
2004-04-27,1183013910
2004-04-28,1177825252
2004-04-29,1136315992
2004-04-30,1084429417
2004-05-03,1089618075
2004-05-04,1068863445
2004-05-05,1084429417
2004-05-06,1068863445
2004-05-07,1027354185
2004-05-10,996222240
2004-05-11,1022165527
2004-05-12,1032542842
2004-05-13,1053297472
2004-05-14,1032542842
2004-05-17,1027354185
2004-05-18,1032542842
2004-05-19,1027354185
2004-05-20,1032542842
2004-05-21,1042920157
2004-05-24,1063674787
2004-05-25,1084429417
2004-05-26,1084429417
2004-05-27,1089618075
2004-05-28,1110372705
2004-06-01,1110372705
2004-06-02,1115561362
2004-06-03,1063674787
2004-06-04,1084429417
2004-06-07,1110372705
2004-06-08,1115561362
2004-06-09,1099995390
2004-06-10,1089618075
2004-06-14,1027354185
2004-06-15,1022165527
2004-06-16,1006599555
2004-06-17,985844925
2004-06-18,985844925
2004-06-21,985844925
2004-06-22,985844925
2004-06-23,1011788212
2004-06-24,980656267
2004-06-25,1006599555
2004-06-28,1027354185
2004-06-29,1048108815
2004-06-30,1046513520
2004-07-01,1051694279
2004-07-02,1036152000
2004-07-06,1041332759
2004-07-07,1036152000
2004-07-08,1025790480
2004-07-09,1020609720
2004-07-12,1046513520
2004-07-13,1036152000
2004-07-14,1030971240
2004-07-15,1056875040
2004-07-16,1036152000
2004-07-19,1046513520
2004-07-20,1067236560
2004-07-21,1046513520
2004-07-22,1036152000
2004-07-23,1030971240
2004-07-26,1062055799
2004-07-27,1093140360
2004-07-28,1082778840
2004-07-29,1067236560
2004-07-30,1051694279
2004-08-02,1082778840
2004-08-03,1062055799
2004-08-04,1062055799
2004-08-05,1041332759
2004-08-06,999886680
2004-08-09,1015428960
2004-08-10,1062055799
2004-08-11,1056875040
2004-08-12,1051694279
2004-08-13,1046513520
2004-08-16,1015428960
2004-08-17,1025790480
2004-08-18,1041332759
2004-08-19,1041332759
2004-08-20,1056875040
2004-08-23,1041332759
2004-08-24,1046513520
2004-08-25,1056875040
2004-08-26,1067236560
2004-08-27,1077598080
2004-08-30,1051694279
2004-08-31,1062055799
2004-09-01,1077598080
2004-09-02,1098321120
2004-09-03,1087959600
2004-09-07,1108682640
2004-09-08,1098321120
2004-09-09,1113863400
2004-09-10,1113863400
2004-09-13,1108682640
2004-09-14,1093140360
2004-09-15,1098321120
2004-09-16,1124224920
2004-09-17,1093140360
2004-09-20,1072417319
2004-09-21,1103501880
2004-09-22,1093140360
2004-09-23,1108682640
2004-09-24,1119044160
2004-09-27,1098321120
2004-09-28,1119044160
2004-09-29,1124224920
2004-09-30,1098940617
2004-10-01,1155693418
2004-10-04,1155693418
2004-10-05,1155693418
2004-10-06,1155693418
2004-10-07,1150534073
2004-10-08,1166012110
2004-10-11,1181490146
2004-10-12,1171171455
2004-10-13,1171171455
2004-10-14,1176330801
2004-10-15,1171171455
2004-10-18,1176330801
2004-10-19,1166012110
2004-10-20,1191808838
2004-10-21,1186649492
2004-10-22,1166012110
2004-10-25,1176330801
2004-10-26,1176330801
2004-10-27,1222764911
2004-10-28,1227924257
2004-10-29,1191808838
2004-11-01,1222764911
2004-11-02,1202127529
2004-11-03,1217605566
2004-11-04,1217605566
2004-11-05,1212446220
2004-11-08,1202127529
2004-11-09,1176330801
2004-11-10,1176330801
2004-11-11,1186649492
2004-11-12,1181490146
2004-11-15,1171171455
2004-11-16,1150534073
2004-11-17,1155693418
2004-11-18,1145374727
2004-11-19,1124737345
2004-11-22,1145374727
2004-11-23,1135056036
2004-11-24,1140215382
2004-11-26,1129896690
2004-11-29,1124737345
2004-11-30,1114418653
2004-12-01,1166012110
2004-12-02,1135056036
2004-12-03,1145374727
2004-12-06,1114418653
2004-12-07,1088621925
2004-12-08,1129896690
2004-12-09,1145374727
2004-12-10,1150534073
2004-12-13,1176330801
2004-12-14,1186649492
