,LDOS
2007-06-25,4942012500
2007-06-26,4892400000
2007-06-27,5025037500
2007-06-28,5056425000
2007-06-29,5025037500
2007-07-02,5036175000
2007-07-03,5028075000
2007-07-05,5011875000
2007-07-06,5002762500
2007-07-09,5008837500
2007-07-10,4948087500
2007-07-11,4927837500
2007-07-12,4930875000
2007-07-13,4975425000
2007-07-16,5005800000
2007-07-17,5097937500
2007-07-18,5075662500
2007-07-19,5103000000
2007-07-20,5089837500
2007-07-23,5117175000
2007-07-24,4878225000
2007-07-25,4936950000
2007-07-26,4789125000
2007-07-27,4728375000
2007-07-30,4816462500
2007-07-31,4627020000
2007-08-01,4635060000
2007-08-02,4629030000
2007-08-03,4684305000
2007-08-06,4665210000
2007-08-07,4676265000
2007-08-08,4742595000
2007-08-09,4609935000
2007-08-10,4767720000
2007-08-13,4734555000
2007-08-14,4629030000
2007-08-15,4643100000
2007-08-16,4595865000
2007-08-17,4671240000
2007-08-20,4695360000
2007-08-21,4780785000
2007-08-22,4905405000
2007-08-23,4800885000
2007-08-24,4919475000
2007-08-27,4819980000
2007-08-28,4902390000
2007-08-29,4998870000
2007-08-30,5079270000
2007-08-31,5054145000
2007-09-04,5018970000
2007-09-05,4894350000
2007-09-06,4930530000
2007-09-07,5112435000
2007-09-10,5181780000
2007-09-11,4960680000
2007-09-12,5038065000
2007-09-13,5068215000
2007-09-14,5115450000
2007-09-17,5049120000
2007-09-18,5140575000
2007-09-19,5120475000
2007-09-20,5104395000
2007-09-21,5057160000
2007-09-24,5043090000
2007-09-25,5112435000
2007-09-26,5151630000
2007-09-27,5226000000
2007-09-28,5297355000
2007-10-01,5303385000
2007-10-02,5175750000
2007-10-03,5314440000
2007-10-04,5292330000
2007-10-05,5322480000
2007-10-08,5156655000
2007-10-09,5391825000
2007-10-10,5466195000
2007-10-11,5322480000
2007-10-12,5452125000
2007-10-15,5303385000
2007-10-16,5363685000
2007-10-17,5415945000
2007-10-18,5477250000
2007-10-19,5281275000
2007-10-22,5322480000
2007-10-23,5366700000
2007-10-24,5341575000
2007-10-25,5267205000
2007-10-26,5366700000
2007-10-29,5319465000
2007-10-30,5270220000
2007-10-31,5441070000
2007-11-01,5371725000
2007-11-02,5534535000
2007-11-05,5415945000
2007-11-06,5518455000
2007-11-07,5430015000
2007-11-08,5512425000
2007-11-09,5449110000
2007-11-12,5278260000
2007-11-13,5347605000
2007-11-14,5444085000
2007-11-15,5455140000
2007-11-16,5412930000
2007-11-19,5385795000
2007-11-20,5341575000
2007-11-21,5278260000
2007-11-23,5427000000
2007-11-26,5344590000
2007-11-27,5452125000
2007-11-28,5578755000
2007-11-29,5433030000
2007-11-30,5504385000
2007-12-03,5385795000
2007-12-04,5341575000
2007-12-05,5493330000
2007-12-06,5521470000
2007-12-07,5529510000
2007-12-10,5477250000
2007-12-11,5645085000
2007-12-12,5711415000
2007-12-13,5619960000
2007-12-14,5496345000
2007-12-17,5537550000
2007-12-18,5600865000
2007-12-19,5554635000
2007-12-20,5521470000
2007-12-21,5589810000
2007-12-24,5603880000
2007-12-26,5548605000
2007-12-27,5430015000
2007-12-28,5435040000
2007-12-31,5554635000
2008-01-02,5363685000
2008-01-03,5360670000
2008-01-04,5216955000
2008-01-07,5264190000
2008-01-08,5140575000
2008-01-09,5289315000
2008-01-10,5457150000
2008-01-11,5482275000
2008-01-14,5468205000
2008-01-15,5468205000
2008-01-16,5388810000
2008-01-17,5211930000
2008-01-18,5131530000
2008-01-22,5023995000
2008-01-23,5023995000
2008-01-24,5076255000
2008-01-25,5085300000
2008-01-28,5063190000
2008-01-29,5109420000
2008-01-30,5065200000
2008-01-31,5216955000
2008-02-01,5250120000
2008-02-04,5231025000
2008-02-05,5060175000
2008-02-06,5027010000
2008-02-07,5001885000
2008-02-08,4976760000
2008-02-11,4974750000
2008-02-12,5035050000
2008-02-13,5134545000
2008-02-14,5096355000
2008-02-15,5131530000
2008-02-19,5167710000
2008-02-20,5205900000
2008-02-21,5156655000
2008-02-22,5281275000
2008-02-25,5278260000
2008-02-26,5272230000
2008-02-27,5270220000
2008-02-28,5222985000
2008-02-29,5261175000
2008-03-03,5297355000
2008-03-04,5341575000
2008-03-05,5338560000
2008-03-06,5200875000
2008-03-07,5245095000
2008-03-10,5148615000
2008-03-11,5242080000
2008-03-12,5189820000
2008-03-13,5145600000
2008-03-14,5096355000
2008-03-17,4878270000
2008-03-18,5151630000
2008-03-19,4933545000
2008-03-20,5145600000
2008-03-24,5129520000
2008-03-25,5175750000
2008-03-26,5071230000
2008-03-27,5015955000
2008-03-28,5082285000
2008-03-31,5131530000
2008-04-01,5170725000
2008-04-02,5156655000
2008-04-03,5170725000
2008-04-04,5140575000
2008-04-07,5228010000
2008-04-08,5327505000
2008-04-09,5194845000
2008-04-10,5259165000
2008-04-11,5214945000
2008-04-14,5140575000
2008-04-15,5245095000
2008-04-16,5336550000
2008-04-17,5380770000
2008-04-18,5399865000
2008-04-21,5388810000
2008-04-22,5341575000
2008-04-23,5347605000
2008-04-24,5349615000
2008-04-25,5444085000
2008-04-28,5374740000
2008-04-29,5311425000
2008-04-30,5114620000
2008-05-01,5243980000
2008-05-02,5157740000
2008-05-05,5154800000
2008-05-06,5211640000
2008-05-07,5151860000
2008-05-08,5200860000
2008-05-09,5182240000
2008-05-12,5243980000
2008-05-13,5254760000
2008-05-14,5216540000
2008-05-15,5243980000
2008-05-16,5259660000
2008-05-19,5241040000
2008-05-20,5251820000
2008-05-21,5194980000
2008-05-22,5254760000
2008-05-23,5254760000
2008-05-27,5316500000
2008-05-28,5330220000
2008-05-29,5384120000
2008-05-30,5364520000
2008-06-02,5332180000
2008-06-03,5342960000
2008-06-04,5720260000
2008-06-05,5784940000
2008-06-06,5555620000
2008-06-09,5663420000
2008-06-10,5644800000
2008-06-11,5652640000
2008-06-12,5636960000
2008-06-13,5609520000
2008-06-16,5607560000
2008-06-17,5586000000
2008-06-18,5569340000
2008-06-19,5512500000
2008-06-20,5496820000
2008-06-23,5569340000
2008-06-24,5499760000
2008-06-25,5534060000
2008-06-26,5478200000
2008-06-27,5684980000
2008-06-30,5601680000
2008-07-01,5620300000
2008-07-02,5690860000
2008-07-03,5593840000
2008-07-07,5518380000
2008-07-08,5518380000
2008-07-09,5512500000
2008-07-10,5636960000
2008-07-11,5580120000
2008-07-14,5499760000
2008-07-15,5512500000
2008-07-16,5162640000
2008-07-17,5128340000
2008-07-18,5108740000
2008-07-21,5042100000
2008-07-22,5179300000
2008-07-23,5136180000
2008-07-24,5097960000
2008-07-25,5173420000
2008-07-28,5154800000
2008-07-29,5151860000
2008-07-30,5054840000
2008-07-31,5085220000
2008-08-01,5034260000
2008-08-04,4993100000
2008-08-05,4993100000
2008-08-06,5047000000
2008-08-07,5065620000
2008-08-08,5076400000
2008-08-11,5003880000
2008-08-12,5087180000
2008-08-13,5093060000
2008-08-14,5063660000
2008-08-15,5149900000
2008-08-18,5176360000
2008-08-19,5165580000
2008-08-20,5205760000
2008-08-21,5176360000
2008-08-22,5130300000
2008-08-25,5214580000
2008-08-26,5257700000
2008-08-27,5302780000
2008-08-28,5394900000
2008-08-29,5396860000
2008-09-02,5324340000
2008-09-03,5254760000
2008-09-04,5593840000
2008-09-05,5572280000
2008-09-08,5475260000
2008-09-09,5442920000
2008-09-10,5442920000
2008-09-11,5407640000
2008-09-12,5526220000
2008-09-15,5348840000
2008-09-16,5467420000
2008-09-17,5341000000
2008-09-18,5262600000
2008-09-19,5442920000
2008-09-22,5416460000
2008-09-23,5310620000
2008-09-24,5230260000
2008-09-25,5389020000
2008-09-26,5410580000
2008-09-29,5219480000
2008-09-30,5445860000
2008-10-01,5435080000
2008-10-02,5402740000
2008-10-03,5294940000
2008-10-06,5190080000
2008-10-07,4988200000
2008-10-08,5009760000
2008-10-09,4815720000
2008-10-10,4616780000
2008-10-13,4855900000
2008-10-14,4858840000
2008-10-15,4606000000
2008-10-16,4764760000
2008-10-17,4848060000
2008-10-20,5097960000
2008-10-21,4960760000
2008-10-22,4845120000
2008-10-23,4821600000
2008-10-24,4837280000
2008-10-27,4737320000
2008-10-28,4915680000
2008-10-29,4807880000
2008-10-30,4894120000
2008-10-31,4971540000
2008-11-03,4931360000
2008-11-04,5003880000
2008-11-05,4863740000
2008-11-06,4807880000
2008-11-07,4851000000
2008-11-10,4920580000
2008-11-11,4982320000
2008-11-12,4920580000
2008-11-13,5193020000
2008-11-14,5045040000
2008-11-17,4904900000
2008-11-18,5020540000
2008-11-19,4804940000
2008-11-20,4670680000
2008-11-21,4869620000
2008-11-24,4877460000
2008-11-25,4600120000
2008-11-26,4780440000
2008-11-28,4791220000
2008-12-01,4678520000
2008-12-02,4718700000
2008-12-03,4818660000
2008-12-04,4772600000
2008-12-05,4877460000
2008-12-08,4958800000
2008-12-09,4937240000
2008-12-10,4974480000
2008-12-11,4955860000
2008-12-12,5082280000
2008-12-15,5014660000
2008-12-16,5119520000
2008-12-17,5119520000
2008-12-18,5096000000
2008-12-19,5122460000
2008-12-22,5114620000
2008-12-23,5076400000
2008-12-24,5063660000
2008-12-26,5079340000
2008-12-29,5117560000
2008-12-30,5203800000
2008-12-31,5243980000
2009-01-02,5294940000
2009-01-05,5351780000
2009-01-06,5324340000
2009-01-07,5281220000
2009-01-08,5294940000
2009-01-09,5227320000
2009-01-12,5141080000
2009-01-13,5176360000
2009-01-14,5039160000
2009-01-15,5136180000
2009-01-16,5205760000
2009-01-20,5097960000
2009-01-21,5216540000
2009-01-22,5396860000
2009-01-23,5265540000
2009-01-26,5342960000
2009-01-27,5332180000
2009-01-28,5310620000
2009-01-29,5302780000
2009-01-30,5313560000
2009-02-02,5359620000
2009-02-03,5359620000
2009-02-04,5421360000
2009-02-05,5351780000
2009-02-06,5459580000
2009-02-09,5445860000
2009-02-10,5348840000
2009-02-11,5348840000
2009-02-12,5416460000
2009-02-13,5373340000
2009-02-17,5227320000
2009-02-18,5211640000
2009-02-19,5125400000
2009-02-20,5108740000
2009-02-23,5017600000
2009-02-24,5057780000
2009-02-25,5006820000
2009-02-26,4966640000
2009-02-27,5090120000
2009-03-02,4861780000
2009-03-03,4758880000
2009-03-04,4840220000
2009-03-05,4732420000
2009-03-06,4721640000
2009-03-09,4576600000
2009-03-10,4753980000
2009-03-11,4576600000
2009-03-12,4683420000
2009-03-13,4735360000
2009-03-16,4683420000
2009-03-17,4775540000
2009-03-18,4783380000
2009-03-19,4638340000
2009-03-20,4570720000
2009-03-23,4629520000
2009-03-24,4683420000
2009-03-25,4761820000
2009-03-26,4952920000
2009-03-27,4906860000
2009-03-30,5036220000
2009-03-31,5025440000
2009-04-01,5042100000
2009-04-02,4969580000
2009-04-03,4971540000
2009-04-06,5023480000
2009-04-07,4829440000
2009-04-08,4842180000
2009-04-09,4767700000
2009-04-13,4861780000
2009-04-14,4794160000
2009-04-15,4837280000
2009-04-16,4960760000
2009-04-17,4942140000
2009-04-20,4829440000
2009-04-21,4807880000
2009-04-22,4786320000
2009-04-23,4769660000
2009-04-24,4802000000
2009-04-27,4899020000
2009-04-28,4952920000
2009-04-29,4982320000
2009-04-30,4773120000
2009-05-01,4847040000
2009-05-04,4872960000
2009-05-05,4806720000
2009-05-06,4785600000
2009-05-07,4868160000
2009-05-08,4880640000
2009-05-11,4859520000
2009-05-12,4847040000
2009-05-13,4706880000
2009-05-14,4696320000
2009-05-15,4702080000
2009-05-18,4607040000
2009-05-19,4554240000
2009-05-20,4556160000
2009-05-21,4474560000
2009-05-22,4485120000
2009-05-26,4522560000
2009-05-27,4533120000
2009-05-28,4587840000
2009-05-29,4607040000
2009-06-01,4675200000
2009-06-02,4693440000
2009-06-03,4640640000
2009-06-04,4931520000
2009-06-05,4993920000
2009-06-08,4838400000
2009-06-09,4806720000
2009-06-10,4785600000
2009-06-11,4752000000
2009-06-12,4785600000
2009-06-15,4717440000
2009-06-16,4691520000
2009-06-17,4725120000
2009-06-18,4783680000
2009-06-19,4783680000
2009-06-22,4794240000
2009-06-23,4844160000
2009-06-24,4806720000
2009-06-25,4844160000
2009-06-26,4851840000
2009-06-29,4880640000
2009-06-30,4891200000
2009-07-01,4886400000
2009-07-02,4806720000
2009-07-06,4749120000
2009-07-07,4643520000
2009-07-08,4607040000
2009-07-09,4535040000
2009-07-10,4554240000
2009-07-13,4617600000
2009-07-14,4664640000
2009-07-15,4720320000
2009-07-16,4733760000
2009-07-17,4709760000
2009-07-20,4723200000
2009-07-21,4756800000
2009-07-22,4820160000
2009-07-23,4691520000
2009-07-24,4749120000
2009-07-27,4746240000
2009-07-28,4791360000
2009-07-29,4791360000
2009-07-30,4870080000
2009-07-31,4770240000
2009-08-03,4678080000
2009-08-04,4704000000
2009-08-05,4654080000
2009-08-06,4583040000
2009-08-07,4656960000
2009-08-10,4635840000
2009-08-11,4614720000
2009-08-12,4664640000
2009-08-13,4661760000
2009-08-14,4646400000
2009-08-17,4656960000
2009-08-18,4723200000
2009-08-19,4756800000
2009-08-20,4749120000
2009-08-21,4820160000
2009-08-24,4759680000
2009-08-25,4764480000
2009-08-26,4823040000
2009-08-27,4868160000
2009-08-28,4870080000
2009-08-31,4875840000
2009-09-01,4799040000
2009-09-02,4767360000
2009-09-03,4712640000
2009-09-04,4667520000
2009-09-08,4678080000
2009-09-09,4670400000
2009-09-10,4699200000
2009-09-11,4693440000
2009-09-14,4725120000
2009-09-15,4675200000
2009-09-16,4696320000
2009-09-17,4685760000
2009-09-18,4670400000
2009-09-21,4702080000
2009-09-22,4614720000
2009-09-23,4611840000
2009-09-24,4598400000
2009-09-25,4587840000
2009-09-28,4617600000
2009-09-29,4596480000
2009-09-30,4625280000
2009-10-01,4604160000
2009-10-02,4604160000
2009-10-05,4635840000
2009-10-06,4733760000
2009-10-07,4773120000
2009-10-08,4925760000
2009-10-09,4946880000
2009-10-12,4848960000
2009-10-13,4817280000
2009-10-14,4862400000
2009-10-15,4922880000
2009-10-16,4957440000
2009-10-19,4992000000
2009-10-20,4936320000
2009-10-21,4889280000
2009-10-22,4918080000
2009-10-23,4836480000
2009-10-26,4796160000
2009-10-27,4785600000
2009-10-28,4730880000
2009-10-29,4841280000
2009-10-30,4670400000
2009-11-02,4558125000
2009-11-03,4593750000
2009-11-04,4589062500
2009-11-05,4707187500
2009-11-06,4761562500
2009-11-09,4769062500
2009-11-10,4658437500
2009-11-11,4689375000
2009-11-12,4707187500
2009-11-13,4751250000
2009-11-16,4751250000
2009-11-17,4704375000
2009-11-18,4707187500
2009-11-19,4686562500
2009-11-20,4630312500
2009-11-23,4645312500
2009-11-24,4622812500
2009-11-25,4673437500
2009-11-27,4635000000
2009-11-30,4589062500
2009-12-01,4606875000
2009-12-02,4604062500
2009-12-03,4542187500
2009-12-04,4593750000
2009-12-07,4645312500
2009-12-08,4645312500
2009-12-09,4665937500
2009-12-10,4714687500
2009-12-11,4738125000
2009-12-14,4957500000
2009-12-15,4982812500
2009-12-16,5009062500
2009-12-17,4975312500
2009-12-18,4854375000
2009-12-21,4938750000
2009-12-22,4897500000
2009-12-23,4923750000
2009-12-24,4900312500
2009-12-28,4944375000
2009-12-29,4900312500
2009-12-30,4903125000
2009-12-31,4876875000
2010-01-04,4920937500
2010-01-05,4900312500
2010-01-06,4913437500
2010-01-07,4916250000
2010-01-08,4907812500
2010-01-11,4895625000
2010-01-12,4900312500
2010-01-13,4879687500
2010-01-14,4892812500
2010-01-15,4866562500
2010-01-19,4920937500
2010-01-20,4864687500
2010-01-21,4815937500
2010-01-22,4740937500
2010-01-25,4795312500
2010-01-26,4725000000
2010-01-27,4704375000
2010-01-28,4710000000
2010-01-29,4720312500
2010-02-01,4789687500
2010-02-02,4800000000
2010-02-03,4771875000
2010-02-04,4758750000
2010-02-05,4810312500
2010-02-08,4725000000
2010-02-09,4766250000
2010-02-10,4779375000
2010-02-11,4805625000
2010-02-12,4828125000
2010-02-16,4892812500
2010-02-17,4936875000
2010-02-18,4907812500
2010-02-19,4920937500
2010-02-22,4895625000
2010-02-23,4910625000
2010-02-24,5016562500
2010-02-25,4993125000
2010-02-26,5072812500
2010-03-01,5024062500
2010-03-02,4998750000
2010-03-03,4949062500
2010-03-04,4944375000
2010-03-05,4972500000
2010-03-08,4978125000
2010-03-09,5019375000
2010-03-10,5013750000
2010-03-11,4993125000
2010-03-12,4969687500
2010-03-15,4982812500
2010-03-16,4975312500
2010-03-17,4962187500
2010-03-18,4928437500
2010-03-19,4928437500
2010-03-22,5003437500
2010-03-23,4954687500
2010-03-24,4905937500
2010-03-25,4918125000
2010-03-26,4959375000
2010-03-29,4869375000
2010-03-30,4887187500
2010-03-31,4558125000
2010-04-01,4485937500
2010-04-05,4485937500
2010-04-06,4455000000
2010-04-07,4428750000
2010-04-08,4428750000
2010-04-09,4509375000
2010-04-12,4480312500
2010-04-13,4506562500
2010-04-14,4562812500
2010-04-15,4635000000
2010-04-16,4627500000
2010-04-19,4683750000
2010-04-20,4710000000
2010-04-21,4702500000
2010-04-22,4727812500
2010-04-23,4754062500
2010-04-26,4692187500
2010-04-27,4637812500
2010-04-28,4565625000
2010-04-29,4565625000
2010-04-30,4339665000
2010-05-03,4346925000
2010-05-04,4352370000
2010-05-05,4345110000
2010-05-06,4309717500
2010-05-07,4372335000
2010-05-10,4345110000
2010-05-11,4275232500
2010-05-12,4299735000
2010-05-13,4289752500
2010-05-14,4292474999
2010-05-17,4382317500
2010-05-18,4369612500
2010-05-19,4322422500
2010-05-20,4212615000
2010-05-21,4277955000
2010-05-24,4269787499
2010-05-25,4267972500
2010-05-26,4245285000
2010-05-27,4299735000
2010-05-28,4285215000
2010-06-01,4255267500
2010-06-02,4346925000
2010-06-03,4392300000
2010-06-04,4382317500
2010-06-07,4359630000
2010-06-08,4335127500
2010-06-09,4336942500
2010-06-10,4409542500
2010-06-11,4366890000
2010-06-14,4369612500
2010-06-15,4416802500
2010-06-16,4474882500
2010-06-17,4509367500
2010-06-18,4483957500
2010-06-21,4429507500
2010-06-22,4356907500
2010-06-23,4305180000
2010-06-24,4277955000
2010-06-25,4279769999
2010-06-28,4259805000
2010-06-29,4192650000
2010-06-30,4172684999
2010-07-01,4125495000
2010-07-02,4095547500
2010-07-06,4112790000
2010-07-07,4158165000
2010-07-08,4195372499
2010-07-09,4199910000
2010-07-12,4209892500
2010-07-13,4218059999
2010-07-14,4249822500
2010-07-15,4212615000
2010-07-16,4102807500
2010-07-19,4122772500
2010-07-20,4159980000
2010-07-21,4105530000
2010-07-22,4195372499
2010-07-23,4232580000
2010-07-26,4228042500
2010-07-27,4222597500
2010-07-28,4208077500
2010-07-29,4168147500
2010-07-30,4145460000
2010-08-02,4181452500
2010-08-03,4195812500
2010-08-04,4195812500
2010-08-05,4230815000
2010-08-06,4188632500
2010-08-09,4178760000
2010-08-10,4089907500
2010-08-11,3927460000
2010-08-12,3912202500
2010-08-13,3889765000
2010-08-16,3831427500
2010-08-17,3887970000
2010-08-18,3833222500
2010-08-19,3826042500
2010-08-20,3833222500
2010-08-23,3769500000
2010-08-24,3747062500
2010-08-25,3742575000
2010-08-26,3737190000
2010-08-27,3773987499
2010-08-30,3730010000
2010-08-31,3668082500
2010-09-01,3789245000
2010-09-02,3742575000
2010-09-03,3823350000
2010-09-07,3782065000
2010-09-08,3759627500
2010-09-09,3739882500
2010-09-10,3737190000
2010-09-13,3772192500
2010-09-14,3769500000
2010-09-15,3747062500
2010-09-16,3868225000
2010-09-17,3851172499
2010-09-20,3902329999
2010-09-21,3905022500
2010-09-22,3929255000
2010-09-23,3882585000
2010-09-24,3968745000
2010-09-27,3885277500
2010-09-28,3924767499
2010-09-29,3914895000
2010-09-30,3939127500
2010-10-01,3951692500
2010-10-04,3860147500
2010-10-05,3941820000
2010-10-06,3929255000
2010-10-07,3919382500
2010-10-08,3914895000
2010-10-11,3954385000
2010-10-12,3951692500
2010-10-13,3922075000
2010-10-14,3922075000
2010-10-15,3964257500
2010-10-18,3961565000
2010-10-19,3887970000
2010-10-20,3885277500
2010-10-21,3912202500
2010-10-22,3885277500
2010-10-25,3868225000
2010-10-26,3860147500
2010-10-27,3776680000
2010-10-28,3838607500
2010-10-29,3831427500
2010-11-01,3752805000
2010-11-02,3793577499
2010-11-03,3790975000
2010-11-04,3822205000
2010-11-05,3841290000
2010-11-08,3834350000
2010-11-09,3758010000
2010-11-10,3764950000
2010-11-11,3705092500
2010-11-12,3700754999
2010-11-15,3698152500
2010-11-16,3628752500
2010-11-17,3633957500
2010-11-18,3691212499
2010-11-19,3700754999
2010-11-22,3719840000
2010-11-23,3676465000
2010-11-24,3748467500
2010-11-26,3693815000
2010-11-29,3653042500
2010-11-30,3650440000
2010-12-01,3767552500
2010-12-02,3815264999
2010-12-03,3784035000
2010-12-06,3758010000
2010-12-07,3781432500
2010-12-08,3862977500
2010-12-09,3614872500
2010-12-10,3605330000
2010-12-13,3666922500
2010-12-14,3666922500
2010-12-15,3681670000
2010-12-16,3688610000
2010-12-17,3740660000
2010-12-20,3758010000
2010-12-21,3750202499
2010-12-22,3758010000
2010-12-23,3771889999
2010-12-27,3767552500
2010-12-28,3777095000
2010-12-29,3803120000
2010-12-30,3810060000
2010-12-31,3778830000
2011-01-03,3822205000
2011-01-04,3803120000
2011-01-05,3826542500
2011-01-06,3826542500
2011-01-07,3826542500
2011-01-10,3815264999
2011-01-11,3853435000
2011-01-12,3826542500
2011-01-13,3864712499
2011-01-14,3921967500
2011-01-18,3931510000
2011-01-19,3908087499
2011-01-20,3921967500
2011-01-21,3927172500
2011-01-24,3934112500
2011-01-25,3936715000
2011-01-26,3976620000
2011-01-27,3967077499
2011-01-28,3908087499
2011-01-31,3947992500
2011-02-01,3965342500
2011-02-02,3950595000
2011-02-03,3957535000
2011-02-04,3979222500
2011-02-07,3991367500
2011-02-08,4026935000
2011-02-09,4000910000
2011-02-10,4013055000
2011-02-11,3919365000
2011-02-14,3908087499
2011-02-15,3919365000
2011-02-16,3917629999
2011-02-17,3921967500
2011-02-18,3936715000
2011-02-22,3843892500
2011-02-23,3800517500
2011-02-24,3784035000
2011-02-25,3790975000
2011-02-28,3893340000
2011-03-01,3917629999
2011-03-02,3902882500
2011-03-03,3936715000
2011-03-04,3950595000
2011-03-07,3938450000
2011-03-08,4022597500
2011-03-09,4017392500
2011-03-10,3955800000
2011-03-11,3972282500
2011-03-14,3947992500
2011-03-15,3921967500
2011-03-16,3883797500
2011-03-17,3941052500
2011-03-18,3995705000
2011-03-21,4013055000
2011-03-22,4017392500
2011-03-23,4041682500
2011-03-24,4060767500
2011-03-25,3974885000
2011-03-28,4029537500
2011-03-29,4041682500
2011-03-30,4010452499
2011-03-31,4032139999
2011-04-01,4110215000
2011-04-04,4122360000
2011-04-05,4124962499
2011-04-06,4150987500
2011-04-07,4122360000
2011-04-08,4110215000
2011-04-11,4155325000
2011-04-12,4126697500
2011-04-13,4051225000
2011-04-14,4032139999
2011-04-15,4051225000
2011-04-18,4046020000
2011-04-19,4052960000
2011-04-20,4105877500
2011-04-21,4110215000
2011-04-25,4103274999
2011-04-26,4150987500
2011-04-27,4182217500
2011-04-28,4177012500
2011-04-29,4145782500
2011-05-02,4052620000
2011-05-03,4050085000
2011-05-04,4045860000
2011-05-05,4017974999
2011-05-06,4006144999
2011-05-09,4045860000
2011-05-10,4052620000
2011-05-11,4010370000
2011-05-12,4061915000
2011-05-13,4038255000
2011-05-16,4019665000
2011-05-17,4017974999
2011-05-18,4056845000
2011-05-19,4068675000
2011-05-20,4064450000
2011-05-23,4017974999
2011-05-24,3974035000
2011-05-25,4003610000
2011-05-26,4028960000
2011-05-27,4008680000
2011-05-31,4075434999
