,MKC
2000-07-06,2237486519
2000-07-07,2237486519
2000-07-10,2229330433
2000-07-11,2267392172
2000-07-12,2280985650
2000-07-13,2272829563
2000-07-14,2229330433
2000-07-17,2191268693
2000-07-18,2161363041
2000-07-19,2166800433
2000-07-20,2093395650
2000-07-21,2055333911
2000-07-24,2039021737
2000-07-25,2039021737
2000-07-26,2068927389
2000-07-27,2017272172
2000-07-28,2009116085
2000-07-31,1992803911
2000-08-01,2014553476
2000-08-02,2136894780
2000-08-03,2123301302
2000-08-04,2093395650
2000-08-07,2000959998
2000-08-08,2025428259
2000-08-09,2044459128
2000-08-10,2025428259
2000-08-11,2068927389
2000-08-14,2025428259
2000-08-15,1976491737
2000-08-16,1987366520
2000-08-17,2022709563
2000-08-18,2009116085
2000-08-21,1992803911
2000-08-22,1971054346
2000-08-23,1954742172
2000-08-24,1992803911
2000-08-25,1992803911
2000-08-28,2006397389
2000-08-29,2000959998
2000-08-30,1954742172
2000-08-31,1990541537
2000-09-01,2001448614
2000-09-05,1976907691
2000-09-06,1971454153
2000-09-07,2031443076
2000-09-08,1971454153
2000-09-11,1968727384
2000-09-12,1990541537
2000-09-13,1960547076
2000-09-14,1946913230
2000-09-15,1925099076
2000-09-18,1922372307
2000-09-19,2083251691
2000-09-20,2075071384
2000-09-21,2039623384
2000-09-22,2080524922
2000-09-25,2058710768
2000-09-26,2020535999
2000-09-27,2036896614
2000-09-28,2006902153
2000-09-29,2028716307
2000-10-02,2045076922
2000-10-03,2053257230
2000-10-04,2036896614
2000-10-05,2066891076
2000-10-06,2061437537
2000-10-09,2088705230
2000-10-10,2091431999
2000-10-11,2091431999
2000-10-12,2099612307
2000-10-13,2091431999
2000-10-16,2096885537
2000-10-17,2091431999
2000-10-18,2061437537
2000-10-19,2126879999
2000-10-20,2118699691
2000-10-23,2135060307
2000-10-24,2096885537
2000-10-25,2091431999
2000-10-26,2113246153
2000-10-27,2137787076
2000-10-30,2173235076
2000-10-31,2159601230
2000-11-01,2175961845
2000-11-02,2159601230
2000-11-03,2135060307
2000-11-06,2143240614
2000-11-07,2143240614
2000-11-08,2118699691
2000-11-09,2143240614
2000-11-10,2165054768
2000-11-13,2129606768
2000-11-14,2135060307
2000-11-15,2317753845
2000-11-16,2353201845
2000-11-17,2342294768
2000-11-20,2372289230
2000-11-21,2385923076
2000-11-22,2407737230
2000-11-24,2369562460
2000-11-27,2407737230
2000-11-28,2454092307
2000-11-29,2475906460
2000-11-30,2538622153
2000-12-01,2527715076
2000-12-04,2514081230
2000-12-05,2448638768
2000-12-06,2421371076
2000-12-07,2440458460
2000-12-08,2489540306
2000-12-11,2500447383
2000-12-12,2402283691
2000-12-13,2410463999
2000-12-14,2407737230
2000-12-15,2385923076
2000-12-18,2402283691
2000-12-19,2445911999
2000-12-20,2424097845
2000-12-21,2445911999
2000-12-22,2369562460
2000-12-26,2445911999
2000-12-27,2470452922
2000-12-28,2560436306
2000-12-29,2459545845
2001-01-02,2514081230
2001-01-03,2432278153
2001-01-04,2334114460
2001-01-05,2355928614
2001-01-08,2454092307
2001-01-09,2454092307
2001-01-10,2500447383
2001-01-11,2448638768
2001-01-12,2429551383
2001-01-16,2535895383
2001-01-17,2538622153
2001-01-18,2459545845
2001-01-19,2421371076
2001-01-22,2391376614
2001-01-23,2432278153
2001-01-24,2415917537
2001-01-25,2459545845
2001-01-26,2514081230
2001-01-29,2497720614
2001-01-30,2486813537
2001-01-31,2484086768
2001-02-01,2494993845
2001-02-02,2514081230
2001-02-05,2519534768
2001-02-06,2552255999
2001-02-07,2546802460
2001-02-08,2544075691
2001-02-09,2584977230
2001-02-12,2718588922
2001-02-13,2674960614
2001-02-14,2650419691
2001-02-15,2634059076
2001-02-16,2674960614
2001-02-20,2688594460
2001-02-21,2702228306
2001-02-22,2666780306
2001-02-23,2672233845
2001-02-26,2683140922
2001-02-27,2672233845
2001-02-28,2682723286
2001-03-01,2690918978
2001-03-02,2731897440
2001-03-05,2718237952
2001-03-06,2688187080
2001-03-07,2720969850
2001-03-08,2808390568
2001-03-09,2824781952
2001-03-12,2756484516
2001-03-13,2759216414
2001-03-14,2737361234
2001-03-15,2729165542
2001-03-16,2731897440
2001-03-19,2772875901
2001-03-20,2756484516
2001-03-21,2734629337
2001-03-22,2720969850
2001-03-23,2710042260
2001-03-26,2767412106
2001-03-27,2822050055
2001-03-28,2805658670
2001-03-29,2830245747
2001-03-30,2868492312
2001-04-02,2871224209
2001-04-03,2843905235
2001-04-04,2876688004
2001-04-05,2901275081
2001-04-06,2879419901
2001-04-09,2868492312
2001-04-10,2895811286
2001-04-11,2876688004
2001-04-12,2849369029
2001-04-16,2865760414
2001-04-17,2827513850
2001-04-18,2786535388
2001-04-19,2846637132
2001-04-20,2813854363
2001-04-23,2775607799
2001-04-24,2759216414
2001-04-25,2770144004
2001-04-26,2791999183
2001-04-27,2802926773
2001-04-30,2682723286
2001-05-01,2592570670
2001-05-02,2567983593
2001-05-03,2598034465
2001-05-04,2600766362
2001-05-07,2611693952
2001-05-08,2663600004
2001-05-09,2655404311
2001-05-10,2628085337
2001-05-11,2603498260
2001-05-14,2587106875
2001-05-15,2589838773
2001-05-16,2671795696
2001-05-17,2699114670
2001-05-18,2682723286
2001-05-21,2740093132
2001-05-22,2748288824
2001-05-23,2789267286
2001-05-24,2775607799
2001-05-25,2783803491
2001-05-29,2767412106
2001-05-30,2753752619
2001-05-31,2772409600
2001-06-01,2780644480
2001-06-04,2827308800
2001-06-05,2827308800
2001-06-06,2810839040
2001-06-07,2824563840
2001-06-08,2813584000
2001-06-11,2819073920
2001-06-12,2849268480
2001-06-13,2824563840
2001-06-14,2816328960
2001-06-15,2810839040
2001-06-18,2813584000
2001-06-19,2695550720
2001-06-20,2810839040
2001-06-21,2893187840
2001-06-22,2873973120
2001-06-25,2884952960
2001-06-26,2901422720
2001-06-27,2904167680
2001-06-28,2906912640
2001-06-29,2884952960
2001-07-02,2917892480
2001-07-03,3022200960
2001-07-05,3005731200
2001-07-06,2997496320
2001-07-09,2983771520
2001-07-10,3038670720
2001-07-11,3068865280
2001-07-12,3093569920
2001-07-13,3099059840
2001-07-16,3077100160
2001-07-17,3041415680
2001-07-18,3011221120
2001-07-19,3011221120
2001-07-20,3016711040
2001-07-23,2986516480
2001-07-24,2953576960
2001-07-25,2950832000
2001-07-26,2942597120
2001-07-27,2934362240
2001-07-30,2901422720
2001-07-31,2928872320
2001-08-01,2934362240
2001-08-02,2934362240
2001-08-03,2931617280
2001-08-06,2904167680
2001-08-07,2912402560
2001-08-08,2909657600
2001-08-09,2915147520
2001-08-10,2915147520
2001-08-13,2934362240
2001-08-14,2934362240
2001-08-15,2923382400
2001-08-16,2967301760
2001-08-17,2967301760
2001-08-20,2975536640
2001-08-21,2961811840
2001-08-22,2978281600
2001-08-23,2986516480
2001-08-24,3011221120
2001-08-27,3129254400
2001-08-28,3090824960
2001-08-29,3079845120
2001-08-30,3074355200
2001-08-31,3115383309
2001-09-04,3167765860
2001-09-05,3170522837
2001-09-06,3167765860
2001-09-07,3129168191
2001-09-10,3123654238
2001-09-17,2974777514
2001-09-18,2977534490
2001-09-19,2806601954
2001-09-20,2817629860
2001-09-21,2817629860
2001-09-24,2892068222
2001-09-25,2938936821
2001-09-26,2969263561
2001-09-27,3159494931
2001-09-28,3156737955
2001-10-01,3118140285
2001-10-02,3112626333
2001-10-03,3131925167
2001-10-04,3065757734
2001-10-05,3104355403
2001-10-08,3107112380
2001-10-09,3123654238
2001-10-10,3145710049
2001-10-11,3137439120
2001-10-12,3109869356
2001-10-15,3060243781
2001-10-16,3098841451
2001-10-17,3060243781
2001-10-18,3051972852
2001-10-19,3068514710
2001-10-22,3093327498
2001-10-23,3115383309
2001-10-24,3101598427
2001-10-25,3063000758
2001-10-26,3074028663
2001-10-29,3035430994
2001-10-30,2972020537
2001-10-31,3016132159
2001-11-01,3021646112
2001-11-02,3024403088
2001-11-05,3096084474
2001-11-06,3112626333
2001-11-07,3104355403
2001-11-08,3063000758
2001-11-09,2974777514
2001-11-12,2974777514
2001-11-13,2974777514
2001-11-14,2974777514
2001-11-15,2936179844
2001-11-16,2922394962
2001-11-19,2916881010
2001-11-20,2938936821
2001-11-21,2958235655
2001-11-23,2930665891
2001-11-26,2930665891
2001-11-27,2897582175
2001-11-28,2936179844
2001-11-29,2974777514
2001-11-30,2993104827
2001-12-03,2965261991
2001-12-04,2942987722
2001-12-05,2937419155
2001-12-06,2834400664
2001-12-07,2853890649
2001-12-10,2842753514
2001-12-11,2859459216
2001-12-12,2878949201
2001-12-13,2873380633
2001-12-14,2887302051
2001-12-17,2881733484
2001-12-18,2890086335
2001-12-19,2979183409
2001-12-20,2909576320
2001-12-21,2940203439
2001-12-24,2970830558
2001-12-26,2973614842
2001-12-27,3004241961
2001-12-28,3001457677
2001-12-31,2920713454
2002-01-02,2934634872
2002-01-03,2926282021
2002-01-04,2926282021
2002-01-07,2931850588
2002-01-08,2926282021
2002-01-09,2937419155
2002-01-10,2965261991
2002-01-11,2981967692
2002-01-14,2970830558
2002-01-15,2979183409
2002-01-16,2968046274
2002-01-17,2993104827
2002-01-18,2976399125
2002-01-22,2976399125
2002-01-23,2987536259
2002-01-24,2968046274
2002-01-25,2973614842
2002-01-28,2993104827
2002-01-29,3009810528
2002-01-30,3068280483
2002-01-31,3076633333
2002-02-01,3084986184
2002-02-04,3098907602
2002-02-05,3154593273
2002-02-06,3146240422
2002-02-07,3149024706
2002-02-08,3171298974
2002-02-11,3171298974
2002-02-12,3176867541
2002-02-13,3204710377
2002-02-14,3201926094
2002-02-15,3238121780
2002-02-19,3243690347
2002-02-20,3318866003
2002-02-21,3327218854
2002-02-22,3405178793
2002-02-25,3413531644
2002-02-26,3296591735
2002-02-27,3377335958
2002-02-28,3431327079
2002-03-01,3436929245
2002-03-04,3375305412
2002-03-05,3310880496
2002-03-06,3299676162
2002-03-07,3252057746
2002-03-08,3254858829
2002-03-11,3249256662
2002-03-12,3299676162
2002-03-13,3266063162
2002-03-14,3310880496
2002-03-15,3389310829
2002-03-18,3434128162
2002-03-19,3420122745
2002-03-20,3450934662
2002-03-21,3439730329
2002-03-22,3537768245
2002-03-25,3534967162
2002-03-26,3571381245
2002-03-27,3582585579
2002-03-28,3579784495
2002-04-01,3571381245
2002-04-02,3633005079
2002-04-03,3599392079
2002-04-04,3588187745
2002-04-05,3562977995
2002-04-08,3663816995
2002-04-09,3624601829
2002-04-10,3610596412
2002-04-11,3770258162
2002-04-12,3739446245
2002-04-15,3689026745
2002-04-16,3728241912
2002-04-17,3677822412
2002-04-18,3610596412
2002-04-19,3599392079
2002-04-22,3590988829
2002-04-23,3568580162
2002-04-24,3515359579
2002-04-25,3495751995
2002-04-26,3532166079
2002-04-29,3562977995
2002-04-30,3590988829
2002-05-01,3655413745
2002-05-02,3669419162
2002-05-03,3691827828
2002-05-06,3669419162
2002-05-07,3604994245
2002-05-08,3602193162
2002-05-09,3557375829
2002-05-10,3557375829
2002-05-13,3590988829
2002-05-14,3655413745
2002-05-15,3588187745
2002-05-16,3571381245
2002-05-17,3602193162
2002-05-20,3590988829
2002-05-21,3610596412
2002-05-22,3669419162
2002-05-23,3717037578
2002-05-24,3708634328
2002-05-28,3680623495
2002-05-29,3708634328
2002-05-30,3683424578
2002-05-31,3673931560
2002-06-03,3673931560
2002-06-04,3640354120
2002-06-05,3724297720
2002-06-06,3651546600
2002-06-07,3654344720
2002-06-10,3710307120
2002-06-11,3626363520
2002-06-12,3595584200
2002-06-13,3536823680
2002-06-14,3492053760
2002-06-17,3581593600
2002-06-18,3581593600
2002-06-19,3483659400
2002-06-20,3727095840
2002-06-21,3735490200
2002-06-24,3637556000
2002-06-25,3578795479
2002-06-26,3637556000
2002-06-27,3517236840
2002-06-28,3603978560
2002-07-01,3606776680
2002-07-02,3514438720
2002-07-03,3536823680
2002-07-05,3598382320
2002-07-08,3511640600
2002-07-09,3447283840
2002-07-10,3399715800
2002-07-11,3363340240
2002-07-12,3312974080
2002-07-15,3318570320
2002-07-16,3226232360
2002-07-17,3254213560
2002-07-18,3117105680
2002-07-19,2957612840
2002-07-22,3002382760
2002-07-23,3061143280
2002-07-24,3173068080
2002-07-25,3307377840
2002-07-26,3198251160
2002-07-29,3248617320
2002-07-30,3147885000
2002-07-31,3184260560
2002-08-01,3229030479
2002-08-02,3178664320
2002-08-05,3103115080
2002-08-06,3114307560
2002-08-07,3153481240
2002-08-08,3184260560
2002-08-09,3167471840
2002-08-12,3156279360
2002-08-13,3089124479
2002-08-14,3189856800
2002-08-15,3184260560
2002-08-16,3184260560
2002-08-19,3212241760
2002-08-20,3128298160
2002-08-21,3164673720
2002-08-22,3231828600
2002-08-23,3237424840
2002-08-26,3240222960
2002-08-27,3217838000
2002-08-28,3198251160
2002-08-29,3245819200
2002-08-30,3237424840
2002-09-03,3174515556
2002-09-04,3210747955
2002-09-05,3166154233
2002-09-06,3185663986
2002-09-09,3132708942
2002-09-10,3149431588
2002-09-11,3143857372
2002-09-12,3093689436
2002-09-13,3135496050
2002-09-16,3185663986
2002-09-17,3166154233
2002-09-18,3149431588
2002-09-19,3135496050
2002-09-20,3188451094
2002-09-23,3174515556
2002-09-24,3149431588
2002-09-25,3182876879
2002-09-26,3322232259
2002-09-27,3258128784
2002-09-30,3177302664
2002-10-01,3311083828
2002-10-02,3166154233
2002-10-03,3297148290
2002-10-04,3297148290
2002-10-07,3305509613
2002-10-08,3352890442
2002-10-09,3364038873
2002-10-10,3274851430
2002-10-11,3347316227
2002-10-14,3364038873
2002-10-15,3414206810
2002-10-16,3344529120
2002-10-17,3344529120
2002-10-18,3330593582
2002-10-21,3341742012
2002-10-22,3272064322
2002-10-23,3127134727
2002-10-24,3040734391
2002-10-25,3115986296
2002-10-28,2968269594
2002-10-29,3024011746
2002-10-30,3007289100
2002-10-31,3099263651
2002-11-01,3076966790
2002-11-04,3082541005
2002-11-05,3102050758
2002-11-06,3093689436
2002-11-07,3135496050
2002-11-08,3177302664
2002-11-11,3233044816
2002-11-12,3219109278
2002-11-13,3285999860
2002-11-14,3305509613
2002-11-15,3364038873
2002-11-18,3299935398
2002-11-19,3316658044
2002-11-20,3341742012
2002-11-21,3269277214
2002-11-22,3288786968
2002-11-25,3330593582
2002-11-26,3344529120
2002-11-27,3316658044
2002-11-29,3313870936
2002-12-02,3287227000
2002-12-03,3309608120
2002-12-04,3309608120
2002-12-05,3295619920
2002-12-06,3267643520
2002-12-09,3267643520
2002-12-10,3334786880
2002-12-11,3329191600
2002-12-12,3337584520
2002-12-13,3323596320
2002-12-16,3315203400
2002-12-17,3362763280
2002-12-18,3306810480
2002-12-19,3298417559
2002-12-20,3340382160
2002-12-23,3357168000
2002-12-24,3315203400
2002-12-26,3278834080
2002-12-27,3225678920
2002-12-30,3245262400
2002-12-31,3245262400
2003-01-02,3301215200
2003-01-03,3292822280
2003-01-06,3245262400
2003-01-07,3217286000
2003-01-08,3183714320
2003-01-09,3206095440
2003-01-10,3206095440
2003-01-13,3217286000
2003-01-14,3273238800
2003-01-15,3197702520
2003-01-16,3211690720
2003-01-17,3175321400
2003-01-21,3172523760
2003-01-22,3186511960
2003-01-23,3183714320
2003-01-24,3155737920
2003-01-27,3127761520
2003-01-28,3113773320
2003-01-29,3091392200
2003-01-30,3099785120
2003-01-31,3133356800
2003-02-03,3164130840
2003-02-04,3189309600
2003-02-05,3189309600
2003-02-06,3166928480
2003-02-07,3158535559
2003-02-10,3172523760
2003-02-11,3138952080
2003-02-12,3119368600
2003-02-13,3124963880
2003-02-14,3116570960
2003-02-18,3220083640
2003-02-19,3147345000
2003-02-20,3144547360
2003-02-21,3161333200
2003-02-24,3127761520
2003-02-25,3180916680
2003-02-26,3164130840
2003-02-27,3203297800
2003-02-28,3221134280
2003-03-03,3218350240
2003-03-04,3271247000
2003-03-05,3218350240
2003-03-06,3221134280
2003-03-07,3293519320
2003-03-10,3257326800
2003-03-11,3274031040
2003-03-12,3321359720
2003-03-13,3368688400
2003-03-14,3299087400
2003-03-17,3393744760
2003-03-18,3418801120
2003-03-19,3496754240
2003-03-20,3560787160
2003-03-21,3605331800
2003-03-24,3544082920
2003-03-25,3480050000
2003-03-26,3388176680
2003-03-27,3449425560
2003-03-28,3335279920
2003-03-31,3360336280
2003-04-01,3346416080
2003-04-02,3421585160
2003-04-03,3365904360
2003-04-04,3374256480
2003-04-07,3360336280
2003-04-08,3357552240
2003-04-09,3335279920
2003-04-10,3399312840
2003-04-11,3407664960
2003-04-14,3460561720
2003-04-15,3463345760
2003-04-16,3388176680
2003-04-17,3429937280
2003-04-21,3421585160
2003-04-22,3493970200
2003-04-23,3438289400
2003-04-24,3399312840
2003-04-25,3379824560
2003-04-28,3468913840
2003-04-29,3466129800
2003-04-30,3449425560
2003-05-01,3449425560
2003-05-02,3510674440
2003-05-05,3488402120
2003-05-06,3499538280
2003-05-07,3446641520
2003-05-08,3468913840
2003-05-09,3616467960
2003-05-12,3669364720
2003-05-13,3630388160
2003-05-14,3608115840
2003-05-15,3605331800
2003-05-16,3585843520
2003-05-19,3577491400
2003-05-20,3563571200
2003-05-21,3527378680
2003-05-22,3596979680
2003-05-23,3619252000
2003-05-27,3658228560
2003-05-28,3683284920
2003-05-29,3694421080
2003-05-30,3744533800
2003-06-02,3759491120
2003-06-03,3773435820
2003-06-04,3781802640
2003-06-05,3784591580
2003-06-06,3773435820
2003-06-09,3745546420
2003-06-10,3759491120
2003-06-11,3781802640
2003-06-12,3776224760
2003-06-13,3773435820
2003-06-16,3820847800
2003-06-17,3798536280
2003-06-18,3812480980
2003-06-19,3748335360
2003-06-20,3756702180
2003-06-23,3684189740
2003-06-24,3723234900
2003-06-25,3689767620
2003-06-26,3684189740
2003-06-27,3820847800
2003-06-30,3792958400
2003-07-01,3714868080
2003-07-02,3681400800
2003-07-03,3670245040
2003-07-07,3664667160
2003-07-08,3639566700
2003-07-09,3606099420
2003-07-10,3583787900
2003-07-11,3567054260
2003-07-14,3536375920
2003-07-15,3564265320
2003-07-16,3555898500
2003-07-17,3544742740
2003-07-18,3603310480
2003-07-21,3541953800
2003-07-22,3583787900
2003-07-23,3606099420
2003-07-24,3597732600
2003-07-25,3656300340
2003-07-28,3656300340
2003-07-29,3633988820
2003-07-30,3608888360
2003-07-31,3564265320
2003-08-01,3539164860
2003-08-04,3541953800
2003-08-05,3528009100
2003-08-06,3567054260
2003-08-07,3564265320
2003-08-08,3580998960
2003-08-11,3569843200
2003-08-12,3583787900
2003-08-13,3575421080
2003-08-14,3622833060
2003-08-15,3592154720
2003-08-18,3636777760
2003-08-19,3639566700
2003-08-20,3639566700
2003-08-21,3681400800
2003-08-22,3675822920
2003-08-25,3673033980
2003-08-26,3703712320
2003-08-27,3678611860
2003-08-28,3706501260
2003-08-29,3723234900
2003-09-02,3703144720
2003-09-03,3705891860
2003-09-04,3683914740
2003-09-05,3659190480
2003-09-08,3648201920
2003-09-09,3628971940
2003-09-10,3639960500
2003-09-11,3678420460
2003-09-12,3708639000
2003-09-15,3708639000
2003-09-16,3708639000
2003-09-17,3719627560
2003-09-18,3736110400
2003-09-19,3736110400
2003-09-22,3697650440
2003-09-23,3736110400
2003-09-24,3771823220
2003-09-25,3763581800
2003-09-26,3774570360
2003-09-29,3804788900
2003-09-30,3766328940
2003-10-01,3840501720
2003-10-02,3881708820
2003-10-03,3922915920
2003-10-06,3914674500
2003-10-07,3958628740
2003-10-08,3933904480
2003-10-09,3994341560
2003-10-10,4010824400
2003-10-13,4063020060
2003-10-14,4087744320
2003-10-15,4071261480
2003-10-16,4068514340
2003-10-17,4021812960
2003-10-20,4024560100
2003-10-21,4071261480
2003-10-22,4060272920
2003-10-23,4101480020
2003-10-24,4060272920
2003-10-27,4093238600
2003-10-28,4150928540
2003-10-29,4106974300
2003-10-30,4071261480
2003-10-31,4071261480
2003-11-03,4071261480
2003-11-04,4071261480
2003-11-05,4038295800
2003-11-06,4074008620
2003-11-07,4049284360
2003-11-10,4013571540
2003-11-11,4032801520
2003-11-12,4030054380
2003-11-13,3969617300
2003-11-14,3972364440
2003-11-17,3925663060
2003-11-18,3887203100
2003-11-19,3878961680
2003-11-20,3865225980
2003-11-21,3867973120
2003-11-24,3911927360
2003-11-25,3917421640
2003-11-26,3933904480
2003-11-28,3942145900
2003-12-01,3983353000
2003-12-02,4010824400
2003-12-03,4024560100
2003-12-04,4030054380
2003-12-05,4024560100
2003-12-08,4071261480
2003-12-09,4076755760
2003-12-10,4030054380
2003-12-11,4076755760
2003-12-12,4076755760
2003-12-15,4076755760
2003-12-16,4139939980
2003-12-17,4087744320
2003-12-18,4079502900
2003-12-19,4074008620
2003-12-22,4038295800
2003-12-23,4063020060
2003-12-24,4060272920
2003-12-26,4054778640
2003-12-29,4063020060
2003-12-30,4071261480
2003-12-31,4134445700
2004-01-02,4101480020
2004-01-05,4175652800
2004-01-06,4197629920
2004-01-07,4161917100
2004-01-08,4139939980
2004-01-09,4068514340
2004-01-12,4041042940
2004-01-13,4027307240
2004-01-14,4046537220
2004-01-15,3961375880
2004-01-16,3969617300
2004-01-20,4019065820
2004-01-21,4060272920
2004-01-22,4060272920
2004-01-23,4082250040
2004-01-26,4205871340
2004-01-27,4203124200
2004-01-28,4098732880
2004-01-29,4117962860
2004-01-30,4076755760
2004-02-02,4139939980
2004-02-03,4131698560
2004-02-04,4104227160
2004-02-05,4216859900
2004-02-06,4244331300
2004-02-09,4233342740
2004-02-10,4247078440
2004-02-11,4266308420
2004-02-12,4227848460
2004-02-13,4214112760
2004-02-17,4263561280
2004-02-18,4252572720
2004-02-19,4194882780
2004-02-20,4186641360
2004-02-23,4178399940
2004-02-24,4200377060
2004-02-25,4233342740
2004-02-26,4252572720
2004-02-27,4296526960
2004-03-01,4419495900
2004-03-02,4441524540
2004-03-03,4425003060
2004-03-04,4402974420
2004-03-05,4400220840
2004-03-08,4402974420
2004-03-09,4402974420
2004-03-10,4425003060
2004-03-11,4364424300
2004-03-12,4347902820
2004-03-15,4292831220
2004-03-16,4287324060
2004-03-17,4339642080
2004-03-18,4331381340
2004-03-19,4320367020
2004-03-22,4268049000
2004-03-23,4347902820
2004-03-24,4375438620
2004-03-25,4444278120
2004-03-26,4460799600
2004-03-29,4559928480
2004-03-30,4573696380
2004-03-31,4615000080
2004-04-01,4626014400
2004-04-02,4598478600
2004-04-05,4587464280
2004-04-06,4634275140
2004-04-07,4639782300
2004-04-08,4579203540
2004-04-12,4546160580
2004-04-13,4507610460
2004-04-14,4532392680
2004-04-15,4515871200
2004-04-16,4590217860
2004-04-19,4612246500
2004-04-20,4565435640
2004-04-21,4595725020
2004-04-22,4667318100
2004-04-23,4675578840
2004-04-26,4659057360
2004-04-27,4637028720
2004-04-28,4664564520
2004-04-29,4749925500
2004-04-30,4703114640
2004-05-03,4777461300
2004-05-04,4788475620
2004-05-05,4782968460
2004-05-06,4738911180
2004-05-07,4796736360
2004-05-10,4785722040
2004-05-11,4793982780
2004-05-12,4769200560
2004-05-13,4755432660
2004-05-14,4788475620
2004-05-17,4835286480
2004-05-18,4871083020
2004-05-19,4887604500
2004-05-20,4887604500
2004-05-21,4895865240
2004-05-24,4824272160
2004-05-25,4816011420
2004-05-26,4818765000
2004-05-27,4854561540
2004-05-28,4882097340
2004-06-01,4810070320
2004-06-02,4853897840
2004-06-03,4837462520
2004-06-04,4812809540
2004-06-07,4834723300
2004-06-08,4834723300
2004-06-09,4790895780
2004-06-10,4799113440
2004-06-14,4766242800
2004-06-15,4793635000
2004-06-16,4774460460
2004-06-17,4736111380
2004-06-18,4705979960
2004-06-21,4716936840
2004-06-22,4730632940
2004-06-23,4725154500
2004-06-24,4689544640
2004-06-25,4675848540
2004-06-28,4711458400
2004-06-29,4667630880
2004-06-30,4656674000
2004-07-01,4700501520
2004-07-02,4686805420
2004-07-06,4705979960
2004-07-07,4738850600
2004-07-08,4779938900
2004-07-09,4810070320
2004-07-12,4818287980
2004-07-13,4810070320
2004-07-14,4856637060
2004-07-15,4881290040
2004-07-16,4892246920
2004-07-19,4905943020
2004-07-20,4941552880
2004-07-21,4916899900
2004-07-22,4911421460
2004-07-23,4897725360
2004-07-26,4848419400
2004-07-27,4845680180
2004-07-28,4777199680
2004-07-29,4851158620
2004-07-30,4900464580
2004-08-02,4878550820
2004-08-03,4747068260
2004-08-04,4678587760
2004-08-05,4593671940
2004-08-06,4525191440
2004-08-09,4486842360
2004-08-10,4489581580
2004-08-11,4478624700
2004-08-12,4464928600
2004-08-13,4418361860
2004-08-16,4456710940
2004-08-17,4456710940
2004-08-18,4475885480
2004-08-19,4459450160
2004-08-20,4478624700
2004-08-23,4604628820
