,EMR
2001-07-31,24355575308
2001-08-01,24406528395
2001-08-02,24398036214
2001-08-03,24338590946
2001-08-06,23880013168
2001-08-07,24627325103
2001-08-08,23744138271
2001-08-09,23930966255
2001-08-10,24117794238
2001-08-13,23939458436
2001-08-14,23735646090
2001-08-15,23565802469
2001-08-16,23523341563
2001-08-17,23124209053
2001-08-20,23667708642
2001-08-21,23412943209
2001-08-22,23345005761
2001-08-23,23565802469
2001-08-24,24015888065
2001-08-27,23829060082
2001-08-28,23311037037
2001-08-29,23056271605
2001-08-30,22708092181
2001-08-31,22759045267
2001-09-04,22682615637
2001-09-05,22742060905
2001-09-06,22258006584
2001-09-07,21655061728
2001-09-10,21807920987
2001-09-17,20771874897
2001-09-18,20890765432
2001-09-19,20593539094
2001-09-20,19591461728
2001-09-21,19574477366
2001-09-24,21018148148
2001-09-25,20534093827
2001-09-26,19591461728
2001-09-27,19447094650
2001-09-28,19982102057
2001-10-01,19422128000
2001-10-02,19455600000
2001-10-03,19874000000
2001-10-04,19664800000
2001-10-05,19505808000
2001-10-08,19338448000
2001-10-09,19070672000
2001-10-10,19781952000
2001-10-11,20961840000
2001-10-12,20652224000
2001-10-15,20158512000
2001-10-16,20526704000
2001-10-17,20191984000
2001-10-18,20233824000
2001-10-19,20459760000
2001-10-22,21037152000
2001-10-23,20853056000
2001-10-24,21037152000
2001-10-25,21187776000
2001-10-26,21798640000
2001-10-29,20978576000
2001-10-30,20668960000
2001-10-31,20509968000
2001-11-01,21388608000
2001-11-02,21949264000
2001-11-05,22058048000
2001-11-06,22735856000
2001-11-07,22317456000
2001-11-08,22334192000
2001-11-09,21966000000
2001-11-12,21982736000
2001-11-13,22426240000
2001-11-14,22384400000
2001-11-15,22376032000
2001-11-16,22133360000
2001-11-19,22334192000
2001-11-20,22133360000
2001-11-21,21740064000
2001-11-23,21957632000
2001-11-26,21932528000
2001-11-27,22175200000
2001-11-28,21832112000
2001-11-29,22175200000
2001-11-30,22618704000
2001-12-03,22593600000
2001-12-04,23070576000
2001-12-05,24066368000
2001-12-06,24325776000
2001-12-07,24300672000
2001-12-10,23806960000
2001-12-11,23664704000
2001-12-12,23539184000
2001-12-13,23187728000
2001-12-14,22886480000
2001-12-17,23179360000
2001-12-18,23698176000
2001-12-19,23924112000
2001-12-20,23405296000
2001-12-21,23271408000
2001-12-24,23430400000
2001-12-26,23664704000
2001-12-27,23882272000
2001-12-28,24058000000
2001-12-31,24131338454
2002-01-02,24055267685
2002-01-03,24469430762
2002-01-04,24680738454
2002-01-07,24435621531
2002-01-08,24435621531
2002-01-09,24722999993
2002-01-10,23700270762
2002-01-11,23243846147
2002-01-14,22990276916
2002-01-15,23083252301
2002-01-16,21975999994
2002-01-17,22728255378
2002-01-18,22821230763
2002-01-22,22880396916
2002-01-23,23125513839
2002-01-24,23632652301
2002-01-25,23624199993
2002-01-28,23911578455
2002-01-29,23666461532
2002-01-30,24139790762
2002-01-31,24486335377
2002-02-01,24731452300
2002-02-04,23911578455
2002-02-05,23057895378
2002-02-06,23666461532
2002-02-07,23125513839
2002-02-08,23015633839
2002-02-11,24148243070
2002-02-12,24342646147
2002-02-13,24782166147
2002-02-14,24748356916
2002-02-15,24866689223
2002-02-19,24714547685
2002-02-20,24528596916
2002-02-21,24055267685
2002-02-22,24393359993
2002-02-25,25272399993
2002-02-26,24782166147
2002-02-27,24807523070
2002-02-28,24342646147
2002-03-01,25103353839
2002-03-04,26776910761
2002-03-05,25990846146
2002-03-06,27038932300
2002-03-07,27106550761
2002-03-08,27520713838
2002-03-11,27681307684
2002-03-12,27385476915
2002-03-13,26979766146
2002-03-14,26929052300
2002-03-15,27284049223
2002-03-18,27427738454
2002-03-19,27385476915
2002-03-20,27258692300
2002-03-21,26658578454
2002-03-22,26743101531
2002-03-25,26261319992
2002-03-26,26185249223
2002-03-27,24697643070
2002-03-28,24258123070
2002-04-01,23745505878
2002-04-02,23555011761
2002-04-03,23000094114
2002-04-04,23472188231
2002-04-05,23637835290
2002-04-08,23347952937
2002-04-09,24060235290
2002-04-10,24225882349
2002-04-11,24002258820
2002-04-12,23298258820
2002-04-15,23439058820
2002-04-16,24283858820
2002-04-17,24076799996
2002-04-18,23985694114
2002-04-19,24325270584
2002-04-22,23687529408
2002-04-23,23704094114
2002-04-24,23223717643
2002-04-25,22677082349
2002-04-26,22519717643
2002-04-29,21368470585
2002-04-30,22113882349
2002-05-01,22246399996
2002-05-02,22188423526
2002-05-03,22958682349
2002-05-06,22395482349
2002-05-07,22801317643
2002-05-08,23869741173
2002-05-09,23844894114
2002-05-10,23488752937
2002-05-13,23745505878
2002-05-14,24598588231
2002-05-15,24325270584
2002-05-16,24043670584
2002-05-17,24300423525
2002-05-20,23836611761
2002-05-21,23389364702
2002-05-22,23480470584
2002-05-23,24416376467
2002-05-24,24391529408
2002-05-28,23770352937
2002-05-29,23439058820
2002-05-30,23629552937
2002-05-31,23960847055
2002-06-03,23530164702
2002-06-04,23737223526
2002-06-05,23952564702
2002-06-06,23422494114
2002-06-07,23579858820
2002-06-10,23712376467
2002-06-11,23331388231
2002-06-12,22784752937
2002-06-13,22834447055
2002-06-14,22320941173
2002-06-17,23165741173
2002-06-18,23728941173
2002-06-19,23347952937
2002-06-20,23066352937
2002-06-21,22834447055
2002-06-24,22701929408
2002-06-25,22097317643
2002-06-26,22478305879
2002-06-27,22735058820
2002-06-28,22155294114
2002-07-01,22068467576
2002-07-02,21669339300
2002-07-03,21744175852
2002-07-05,22509171713
2002-07-08,22226455851
2002-07-09,21760806196
2002-07-10,21303471714
2002-07-11,21353362748
2002-07-12,21228635162
2002-07-15,21436514472
2002-07-16,20854452404
2002-07-17,21178744128
2002-07-18,20821191714
2002-07-19,20422063438
2002-07-22,19632122060
2002-07-23,19615491715
2002-07-24,20480269645
2002-07-25,20571736542
2002-07-26,20447008956
2002-07-29,20754670335
2002-07-30,21145483438
2002-07-31,21187059300
2002-08-01,20413748266
2002-08-02,19399297232
2002-08-05,18409791715
2002-08-06,18675877232
2002-08-07,19274569646
2002-08-08,19923153094
2002-08-09,20031250335
2002-08-12,19914837921
2002-08-13,19449188266
2002-08-14,19848316542
2002-08-15,19706958611
2002-08-16,19565600680
2002-08-19,20097771714
2002-08-20,19889892404
2002-08-21,20164293094
2002-08-22,20247444818
2002-08-23,19798425508
2002-08-26,19923153094
2002-08-27,20480269645
2002-08-28,20280705507
2002-08-29,20239129645
2002-08-30,20280705507
2002-09-03,19108266198
2002-09-04,18875441370
2002-09-05,18584410336
2002-09-06,18625986198
2002-09-09,19241308956
2002-09-10,19449188266
2002-09-11,19590546197
2002-09-12,19582231025
2002-09-13,18950277922
2002-09-16,18858811025
2002-09-17,18443052405
2002-09-18,18218542750
2002-09-19,18201912405
2002-09-20,18351585508
2002-09-23,18176966888
2002-09-24,17960772405
2002-09-25,18742398612
2002-09-26,19390982060
2002-09-27,18825550336
2002-09-30,18410860000
2002-10-01,19424840000
2002-10-02,19123160000
2002-10-03,19064500000
2002-10-04,18905280000
2002-10-07,18402480000
2002-10-08,18519800000
2002-10-09,17773980000
2002-10-10,18586840000
2002-10-11,19332660000
2002-10-14,19223720000
2002-10-15,20422060000
2002-10-16,19768420000
2002-10-17,20321500000
2002-10-18,20396920000
2002-10-21,21670680000
2002-10-22,21285200000
2002-10-23,21369000000
2002-10-24,20740500000
2002-10-25,20983520000
2002-10-28,20715360000
2002-10-29,20631560000
2002-10-30,20430440000
2002-10-31,20187420000
2002-11-01,20363400000
2002-11-04,20690220000
2002-11-05,21477940000
2002-11-06,21603640000
2002-11-07,21176260000
2002-11-08,21369000000
2002-11-11,20522620000
2002-11-12,20991900000
2002-11-13,21561740000
2002-11-14,22148340000
2002-11-15,22106440000
2002-11-18,22114820000
2002-11-19,21997500000
2002-11-20,21888560000
2002-11-21,21871800000
2002-11-22,21771240000
2002-11-25,21620400000
2002-11-26,20606420000
2002-11-27,21628780000
2002-11-29,21846660000
2002-12-02,22240520000
2002-12-03,22022640000
2002-12-04,21821520000
2002-12-05,21788000000
2002-12-06,21863420000
2002-12-09,21427660000
2002-12-10,21653920000
2002-12-11,21662300000
2002-12-12,21385760000
2002-12-13,21008660000
2002-12-16,21369000000
2002-12-17,21151120000
2002-12-18,21000280000
2002-12-19,20849440000
2002-12-20,21117600000
2002-12-23,20832680000
2002-12-24,20950000000
2002-12-26,21142740000
2002-12-27,21084080000
2002-12-30,21142740000
2002-12-31,22342071439
2003-01-02,23053714296
2003-01-03,22930714296
2003-01-06,23159142868
2003-01-07,22948285725
2003-01-08,22588071439
2003-01-09,22834071439
2003-01-10,22570500011
2003-01-13,22684714296
2003-01-14,22781357153
2003-01-15,22561714296
2003-01-16,22342071439
2003-01-17,22148785725
2003-01-21,21639214296
2003-01-22,21085714296
2003-01-23,21463500010
2003-01-24,20760642867
2003-01-27,20584928581
2003-01-28,20769428581
2003-01-29,20927571438
2003-01-30,20286214295
2003-01-31,20611285724
2003-02-03,20664000010
2003-02-04,20699142867
2003-02-05,20664000010
2003-02-06,20101714295
2003-02-07,20101714295
2003-02-10,20268642867
2003-02-11,20128071438
2003-02-12,20154428581
2003-02-13,19934785724
2003-02-14,20189571438
2003-02-18,20901214295
2003-02-19,20681571438
2003-02-20,20672785724
2003-02-21,21068142867
2003-02-24,20584928581
2003-02-25,20822142867
2003-02-26,20778214295
2003-02-27,20830928581
2003-02-28,20681571438
2003-03-03,20584928581
2003-03-04,20189571438
2003-03-05,20461928581
2003-03-06,19926000009
2003-03-07,20611285724
2003-03-10,19934785724
2003-03-11,19539428580
2003-03-12,19513071438
2003-03-13,20541000010
2003-03-14,20426785724
2003-03-17,21516214296
2003-03-18,21410785724
2003-03-19,21648000010
2003-03-20,21472285724
2003-03-21,22175142867
2003-03-24,21243857153
2003-03-25,21287785724
2003-03-26,21103285724
2003-03-27,20927571438
2003-03-28,20330142867
2003-03-31,18987906969
2003-04-01,19314418597
2003-04-02,20084651154
2003-04-03,20093023248
2003-04-04,19942325573
2003-04-07,19917209294
2003-04-08,19866976736
2003-04-09,19582325573
2003-04-10,19841860457
2003-04-11,19707906969
2003-04-14,20059534875
2003-04-15,20226976736
2003-04-16,19850232550
2003-04-17,20453023247
2003-04-21,20453023247
2003-04-22,20896744177
2003-04-23,21089302317
2003-04-24,21231627898
2003-04-25,20829767433
2003-04-28,21164651154
2003-04-29,21106046503
2003-04-30,21223255805
2003-05-01,21022325573
2003-05-02,21482790689
2003-05-05,21407441852
2003-05-06,21792558131
2003-05-07,20595348829
2003-05-08,20151627899
2003-05-09,20628837201
2003-05-12,20804651154
2003-05-13,20754418596
2003-05-14,20302325573
2003-05-15,20427906968
2003-05-16,20360930224
2003-05-19,20293953480
2003-05-20,20369302317
2003-05-21,20478139526
2003-05-22,20762790689
2003-05-23,20762790689
2003-05-27,21306976735
2003-05-28,21432558131
2003-05-29,21214883712
2003-05-30,21893023247
2003-06-02,21993488363
2003-06-03,22353488363
2003-06-04,22596279060
2003-06-05,22755348828
2003-06-06,22780465107
2003-06-09,22437209293
2003-06-10,22428837200
2003-06-11,22696744177
2003-06-12,22487441851
2003-06-13,21976744177
2003-06-16,22361860456
2003-06-17,22278139526
2003-06-18,22437209293
2003-06-19,22336744177
2003-06-20,22311627898
2003-06-23,21976744177
2003-06-24,21968372084
2003-06-25,21717209293
2003-06-26,21901395340
2003-06-27,21533023247
2003-06-30,21390697666
2003-07-01,21453300007
2003-07-02,21771623084
2003-07-03,21712984623
2003-07-07,22190469238
2003-07-08,22332876931
2003-07-09,22115076931
2003-07-10,21754869238
2003-07-11,22123453854
2003-07-14,22098323085
2003-07-15,21914030777
2003-07-16,21528692315
2003-07-17,21562200007
2003-07-18,21595707700
2003-07-21,21143353853
2003-07-22,21168484623
2003-07-23,21419792315
2003-07-24,21612461546
2003-07-25,21989423085
2003-07-28,22131830777
2003-07-29,22048061546
2003-07-30,22048061546
2003-07-31,22492038469
2003-08-01,22391515392
2003-08-04,22542300008
2003-08-05,21905653854
2003-08-06,21746492315
2003-08-07,21654346161
2003-08-08,21763246161
2003-08-11,21704607700
2003-08-12,21981046161
2003-08-13,21738115392
2003-08-14,21981046161
2003-08-15,22282615392
2003-08-18,22131830777
2003-08-19,22533923085
2003-08-20,22575807700
2003-08-21,22810361546
2003-08-22,22860623085
2003-08-25,22642823085
2003-08-26,22634446162
2003-08-27,22559053854
2003-08-28,22810361546
2003-08-29,23354861547
2003-09-02,23782084624
2003-09-03,23396746162
2003-09-04,23455384624
2003-09-05,23379992316
2003-09-08,23539153854
2003-09-09,23388369239
2003-09-10,22810361546
2003-09-11,22776853854
2003-09-12,22910884623
2003-09-15,22902507700
2003-09-16,23245961547
2003-09-17,23019784623
2003-09-18,23245961547
2003-09-19,23262715393
2003-09-22,22936015393
2003-09-23,22977900008
2003-09-24,22617692316
2003-09-25,22399892315
2003-09-26,22198846162
2003-09-29,22299369238
2003-09-30,22048061546
2003-10-01,22313379301
2003-10-02,22187172404
2003-10-03,22447999990
2003-10-06,22405931025
2003-10-07,22548965508
2003-10-08,23163172404
2003-10-09,23289379300
2003-10-10,23079034473
2003-10-13,23247310335
2003-10-14,23407172404
2003-10-15,23499724128
2003-10-16,23213655162
2003-10-17,22952827576
2003-10-20,23289379300
2003-10-21,23390344818
2003-10-22,23154758611
2003-10-23,23070620680
2003-10-24,22986482749
2003-10-27,22902344818
2003-10-28,23583862059
2003-10-29,23398758611
2003-10-30,23693241369
2003-10-31,23878344817
2003-11-03,24248551714
2003-11-04,24963724127
2003-11-05,25190896541
2003-11-06,25359172403
2003-11-07,25401241368
2003-11-10,25300275851
2003-11-11,25140413782
2003-11-12,25451724127
2003-11-13,25258206886
2003-11-14,25350758610
2003-11-17,25157241369
2003-11-18,24837517231
2003-11-19,25089931024
2003-11-20,24896413782
2003-11-21,24787034472
2003-11-24,25165655162
2003-11-25,25544275851
2003-11-26,25510620679
2003-11-28,25678896541
2003-12-01,26107999989
2003-12-02,26049103437
2003-12-03,26410896540
2003-12-04,26368827575
2003-12-05,26461379299
2003-12-08,26646482747
2003-12-09,26495034471
2003-12-10,26351999989
2003-12-11,26469793092
2003-12-12,26360413782
2003-12-15,26276275851
2003-12-16,26781103437
2003-12-17,26503448265
2003-12-18,27083999988
2003-12-19,27327999988
2003-12-22,27193379299
2003-12-23,26966206885
2003-12-24,26797931023
2003-12-26,26831586195
2003-12-29,27210206885
2003-12-30,27269103437
2003-12-31,27243862057
2004-01-02,27122052623
2004-01-05,27456789465
2004-01-06,27515368412
2004-01-07,27615789465
2004-01-08,27749684201
2004-01-09,27448421043
2004-01-12,27373105254
2004-01-13,27214105254
2004-01-14,27523736833
2004-01-15,28193210517
2004-01-16,28645105254
2004-01-20,28193210517
2004-01-21,28293631570
2004-01-22,27632526307
2004-01-23,27339631570
2004-01-26,27548842096
2004-01-27,27255947359
2004-01-28,26745473675
2004-01-29,26645052623
2004-01-30,26737105254
2004-02-02,26435842096
2004-02-03,25942105255
2004-02-04,25933736833
2004-02-05,26578105254
2004-02-06,27063473675
2004-02-09,26745473675
2004-02-10,26904473675
2004-02-11,27163894728
2004-02-12,26862631570
2004-02-13,26670157886
2004-02-17,26804052623
2004-02-18,26628315781
2004-02-19,26511157886
2004-02-20,26477684202
2004-02-23,26193157886
2004-02-24,25891894728
2004-02-25,26201526307
2004-02-26,26201526307
2004-02-27,26142947360
2004-03-01,26511157886
2004-03-02,26000684202
2004-03-03,25942105255
2004-03-04,26059263149
2004-03-05,26385631570
2004-03-08,26552999991
2004-03-09,26552999991
2004-03-10,25858421044
2004-03-11,25029947360
2004-03-12,25557157886
2004-03-15,25373052623
2004-03-16,25523684202
2004-03-17,26042526307
2004-03-18,25749631570
2004-03-19,25272631571
2004-03-22,24912789465
2004-03-23,24988105255
2004-03-24,24854210518
2004-03-25,25188947360
2004-03-26,24921157886
2004-03-29,25222421044
2004-03-30,25322842097
2004-03-31,25071789465
2004-04-01,25242419763
2004-04-02,25587629640
2004-04-05,26177012356
2004-04-06,26235950628
2004-04-07,25949679023
2004-04-08,25781283961
2004-04-12,26134913591
2004-04-13,25764444455
2004-04-14,25654987665
2004-04-15,25722345689
2004-04-16,26294888900
2004-04-19,26067555566
2004-04-20,25722345689
2004-04-21,25949679023
2004-04-22,26336987665
2004-04-23,26134913591
2004-04-26,26151753097
2004-04-27,26311728406
2004-04-28,25865481492
2004-04-29,25545530875
2004-04-30,25351876553
2004-05-03,25478172850
2004-05-04,25107703714
2004-05-05,24989827171
2004-05-06,24922469146
2004-05-07,24535160504
2004-05-10,24316246923
2004-05-11,24425703714
2004-05-12,24476222232
2004-05-13,24198370380
2004-05-14,24139432109
2004-05-17,23811061738
2004-05-18,24114172849
2004-05-19,24173111121
2004-05-20,23945777787
2004-05-21,24282567911
2004-05-24,24358345689
2004-05-25,25048765442
2004-05-26,24914049393
2004-05-27,25031925936
2004-05-28,25132962973
2004-06-01,25141382726
2004-06-02,25284518529
2004-06-03,25166641986
2004-06-04,25436074084
2004-06-07,25579209887
2004-06-08,25680246924
2004-06-09,25368716060
2004-06-10,25579209887
2004-06-14,25419234578
2004-06-15,25638148159
2004-06-16,25680246924
2004-06-17,25208740751
2004-06-18,24745654331
2004-06-21,25116123467
2004-06-22,25343456800
2004-06-23,25739185196
2004-06-24,25907580257
2004-06-25,25848641986
2004-06-28,25907580257
2004-06-29,26505382727
2004-06-30,26631640000
2004-07-01,26204260000
2004-07-02,26204260000
2004-07-06,26070180000
2004-07-07,26070180000
2004-07-08,25458440000
2004-07-09,25793640000
2004-07-12,25718220000
2004-07-13,25399780000
2004-07-14,25307600000
2004-07-15,25458440000
2004-07-16,25684700000
2004-07-19,25408160000
2004-07-20,25592520000
2004-07-21,25324360000
2004-07-22,25081340000
2004-07-23,24922120000
2004-07-26,24754520000
2004-07-27,25324360000
2004-07-28,25181900000
2004-07-29,25466820000
2004-07-30,25433300000
2004-08-02,25475200000
2004-08-03,26271300000
2004-08-04,26086940000
2004-08-05,25684700000
2004-08-06,25349500000
2004-08-09,25399780000
2004-08-10,25667940000
2004-08-11,25374640000
2004-08-12,25022680000
2004-08-13,25257320000
2004-08-16,25659560000
2004-08-17,25818780000
2004-08-18,26153980000
2004-08-19,25852300000
2004-08-20,25810400000
2004-08-23,25902580000
