,ANSS
2003-12-29,623473650
2003-12-30,625158300
2003-12-31,607852350
2004-01-02,608618100
2004-01-05,620716950
2004-01-06,624086250
2004-01-07,646293000
2004-01-08,667887150
2004-01-09,660076500
2004-01-12,681517500
2004-01-13,670184400
2004-01-14,679067100
2004-01-15,678240090
2004-01-16,656094600
2004-01-20,669418650
2004-01-21,675085200
2004-01-22,664364700
2004-01-23,659923350
2004-01-26,658545000
2004-01-27,645374100
2004-01-28,633122100
2004-01-29,600348000
2004-01-30,581357400
2004-02-02,604483050
2004-02-03,612600000
2004-02-04,586258200
2004-02-05,568492800
2004-02-06,615203550
2004-02-09,624239400
2004-02-10,644148900
2004-02-11,629507760
2004-02-12,582429450
2004-02-13,589627500
2004-02-17,608618100
2004-02-18,609077550
2004-02-19,602951550
2004-02-20,612600000
2004-02-23,608771250
2004-02-24,611987400
2004-02-25,611068500
2004-02-26,615221928
2004-02-27,614437800
2004-03-01,622707900
2004-03-02,608005500
2004-03-03,610045458
2004-03-04,612600000
2004-03-05,617807100
2004-03-08,608618100
2004-03-09,604023600
2004-03-10,584726700
2004-03-11,588249150
2004-03-12,595753500
2004-03-15,583501500
2004-03-16,582276300
2004-03-17,603564150
2004-03-18,600348000
2004-03-19,596212950
2004-03-22,576150300
2004-03-23,583807800
2004-03-24,578907000
2004-03-25,604789350
2004-03-26,597438150
2004-03-29,601726350
2004-03-30,610455900
2004-03-31,611996000
2004-04-01,614768000
2004-04-02,616770000
2004-04-05,628628000
2004-04-06,599830000
2004-04-07,614152000
2004-04-08,599676000
2004-04-12,615692000
2004-04-13,612150000
2004-04-14,610456000
2004-04-15,589666000
2004-04-16,600600000
2004-04-19,603064000
2004-04-20,602294000
2004-04-21,613998000
2004-04-22,616000000
2004-04-23,624162000
2004-04-26,612920000
2004-04-27,606144000
2004-04-28,591052000
2004-04-29,565488000
2004-04-30,570108000
2004-05-03,560252000
2004-05-04,585200000
2004-05-05,585200000
2004-05-06,579194000
2004-05-07,582890000
2004-05-10,589204000
2004-05-11,599984000
2004-05-12,616154000
2004-05-13,607376000
2004-05-14,602448000
2004-05-17,585354000
2004-05-18,587356000
2004-05-19,602140000
2004-05-20,609070000
2004-05-21,617078000
2004-05-24,619542000
2004-05-25,646800000
2004-05-26,664048000
2004-05-27,671902000
2004-05-28,664048000
2004-06-01,676214000
2004-06-02,673288000
2004-06-03,662508000
2004-06-04,671902000
2004-06-07,677600000
2004-06-08,673134000
2004-06-09,666204000
2004-06-10,672518000
2004-06-14,650804000
2004-06-15,690074000
2004-06-16,692538000
2004-06-17,700392000
2004-06-18,714332080
2004-06-21,706090000
2004-06-22,706244000
2004-06-23,725340000
2004-06-24,723800000
2004-06-25,737506000
2004-06-28,712250000
2004-06-29,715330000
2004-06-30,730262500
2004-07-01,715812625
2004-07-02,709597625
2004-07-06,701518125
2004-07-07,701052000
2004-07-08,692817125
2004-07-09,703227250
2004-07-12,716900250
2004-07-13,712705125
2004-07-14,708510000
2004-07-15,696701500
2004-07-16,689398875
2004-07-19,689243500
2004-07-20,687068250
2004-07-21,670598500
2004-07-22,665315750
2004-07-23,652264250
2004-07-26,649156750
2004-07-27,674949000
2004-07-28,647758375
2004-07-29,703538000
2004-07-30,737099000
2004-08-02,757763875
2004-08-03,724979750
2004-08-04,709597625
2004-08-05,707422375
2004-08-06,668112500
2004-08-09,685203750
2004-08-10,711617500
2004-08-11,700741250
2004-08-12,683183875
2004-08-13,699032125
2004-08-16,700896625
2004-08-17,690797250
2004-08-18,698410625
2004-08-19,688155875
2004-08-20,697633750
2004-08-23,695458500
2004-08-24,701362750
2004-08-25,715501875
2004-08-26,698255250
2004-08-27,695303125
2004-08-30,689865000
2004-08-31,700741250
2004-09-01,710063750
2004-09-02,715812625
2004-09-03,705868625
2004-09-07,709131500
2004-09-08,698566000
2004-09-09,707422375
2004-09-10,720940000
2004-09-13,730417875
2004-09-14,726844250
2004-09-15,735234500
2004-09-16,752636500
2004-09-17,750772000
2004-09-20,753568750
2004-09-21,763668125
2004-09-22,748907500
2004-09-23,738031250
2004-09-24,741915625
2004-09-27,735700625
2004-09-28,765066500
2004-09-29,770815375
2004-09-30,783048580
2004-10-01,802731080
2004-10-04,800054260
2004-10-05,823830720
2004-10-06,866030000
2004-10-07,838317040
2004-10-08,820366600
2004-10-11,815957720
2004-10-12,822885960
2004-10-13,821311360
2004-10-14,826665000
2004-10-15,835797680
2004-10-18,853118280
2004-10-19,853118280
2004-10-20,849339240
2004-10-21,855007800
2004-10-22,838317040
2004-10-25,857212240
2004-10-26,861306200
2004-10-27,881146160
2004-10-28,878626800
2004-10-29,869179200
2004-11-01,878311880
2004-11-02,873903000
2004-11-03,900356280
2004-11-04,971843120
2004-11-05,985699600
2004-11-08,964285040
2004-11-09,985384680
2004-11-10,984439920
2004-11-11,994832280
2004-11-12,992627840
2004-11-15,1016246840
2004-11-16,995777040
2004-11-17,994832280
2004-11-18,996091960
2004-11-19,982235480
2004-11-22,980031040
2004-11-23,977826600
2004-11-24,975307240
2004-11-26,977511680
2004-11-29,984125000
2004-11-30,966489480
2004-12-01,1005224640
2004-12-02,1029788400
2004-12-03,1043644880
2004-12-06,1044274719
2004-12-07,997351640
2004-12-08,1003335120
2004-12-09,990738320
2004-12-10,973417720
2004-12-13,980975800
2004-12-14,1005854480
2004-12-15,991998000
2004-12-16,980975800
2004-12-17,982550400
2004-12-20,946334600
2004-12-21,999871000
2004-12-22,981290720
2004-12-23,979086280
2004-12-27,991683080
2004-12-28,1007744000
2004-12-29,1020025880
2004-12-30,999871000
2004-12-31,1009633520
2005-01-03,1015617000
2005-01-04,1020340800
2005-01-05,1020340800
2005-01-06,990108480
2005-01-07,936257160
2005-01-10,957986640
2005-01-11,944760000
2005-01-12,946964440
2005-01-13,928069240
2005-01-14,928384160
2005-01-18,921141000
2005-01-19,918621640
2005-01-20,910433720
