,NXPI
2012-06-06,5010128960
2012-06-07,4935647360
2012-06-08,5027508000
2012-06-11,4910820160
2012-06-12,5025025280
2012-06-13,4953026400
2012-06-14,5010128960
2012-06-15,5064748800
2012-06-18,5119368640
2012-06-19,5233573760
2012-06-20,5355227040
2012-06-21,5015094400
2012-06-22,5293159040
2012-06-25,5139230400
2012-06-26,5216194720
2012-06-27,5295641760
2012-06-28,5332882560
2012-06-29,5767358560
2012-07-02,5719678780
2012-07-03,5833527860
2012-07-05,5727103720
2012-07-06,5529105320
2012-07-09,5477130740
2012-07-10,5237057680
2012-07-11,5192508040
2012-07-12,5004409560
2012-07-13,5044009240
2012-07-16,5041534260
2012-07-17,4957384940
2012-07-18,5410306280
2012-07-19,5677604120
2012-07-20,5546430180
2012-07-23,5440006040
2012-07-24,5598404760
2012-07-25,5561280060
2012-07-26,5707303880
2012-07-27,5895402360
2012-07-30,5722153760
2012-07-31,5590979820
2012-08-01,5459805880
2012-08-02,5333581900
2012-08-03,5519205400
2012-08-06,5655329300
2012-08-07,6004301480
2012-08-08,5892927380
2012-08-09,5873127540
2012-08-10,6004301480
2012-08-13,5937477020
2012-08-14,6073600920
2012-08-15,6189924980
2012-08-16,6370598520
2012-08-17,6444847920
2012-08-20,6177550080
2012-08-21,6014201400
2012-08-22,5873127540
2012-08-23,5870652560
2012-08-24,5875602520
2012-08-27,6066175980
2012-08-28,5895402360
2012-08-29,5818677980
2012-08-30,5647904360
2012-08-31,5771653360
2012-09-04,5682554080
2012-09-05,5749378540
2012-09-06,6056276060
2012-09-07,6142900360
2012-09-10,5828577900
2012-09-11,6105775660
2012-09-12,6189924980
2012-09-13,6541372140
2012-09-14,6600771660
2012-09-17,6551272060
2012-09-18,6590871740
2012-09-19,6514147360
2012-09-20,6395348320
2012-09-21,6363173580
2012-09-24,6291399160
2012-09-25,5989451600
2012-09-26,5880552480
2012-09-27,6279024260
2012-09-28,6189924980
2012-10-01,6237475500
2012-10-02,6222565200
2012-10-03,6100797750
2012-10-04,6100797750
2012-10-05,6282206400
2012-10-08,6220080150
2012-10-09,6078432300
2012-10-10,5765316000
2012-10-11,5641063500
2012-10-12,5457169800
2012-10-15,5700704700
2012-10-16,5822472150
2012-10-17,5762830950
2012-10-18,5765316000
2012-10-19,5519296050
2012-10-22,5397528600
2012-10-23,5621183100
2012-10-24,5201209650
2012-10-25,5837382450
2012-10-26,5969090100
2012-10-31,6028731300
2012-11-01,6508345950
2012-11-02,6384093450
2012-11-05,6416399100
2012-11-06,6401488800
2012-11-07,6314512050
2012-11-08,6294631650
2012-11-09,6220080150
2012-11-12,6262326000
2012-11-13,6078432300
2012-11-14,5993940600
2012-11-15,5713129950
2012-11-16,5638578450
2012-11-19,5842352550
2012-11-20,5790166500
2012-11-21,5802591750
2012-11-23,5964120000
2012-11-26,5959149900
2012-11-27,5934299400
2012-11-28,6011335950
2012-11-29,6205169850
2012-11-30,6083402400
2012-12-03,6046126650
2012-12-04,5996425650
2012-12-05,6085887450
2012-12-06,5964120000
2012-12-07,5792651550
2012-12-10,5919389100
2012-12-11,6222565200
2012-12-12,6242445600
2012-12-13,6210139950
2012-12-14,6088372500
2012-12-17,6309541950
2012-12-18,6458644950
2012-12-19,6423854250
2012-12-20,6476040300
2012-12-21,6299601750
2012-12-24,6312027000
2012-12-26,6321967200
2012-12-27,6319482150
2012-12-28,6302086800
2012-12-31,6540651600
2013-01-02,6948260440
2013-01-03,6913306920
2013-01-04,6825923120
2013-01-07,6775989520
2013-01-08,6628685400
2013-01-09,6718565880
2013-01-10,7068101080
2013-01-11,6990704000
2013-01-14,7083081160
2013-01-15,7063107720
2013-01-16,7315272400
2013-01-17,7485046640
2013-01-18,7397662840
2013-01-22,7292802280
2013-01-23,7365206000
2013-01-24,7367702680
2013-01-25,7512510120
2013-01-28,7614874000
2013-01-29,7367702680
2013-01-30,7485046640
2013-01-31,7490040000
2013-02-01,7679787680
2013-02-04,7327755800
2013-02-05,7445099760
2013-02-06,7602390600
2013-02-07,7609880640
2013-02-08,7979389280
2013-02-11,8016839480
2013-02-12,8131686760
2013-02-13,8189110399
2013-02-14,8151660200
2013-02-15,8051793000
2013-02-19,8166640280
2013-02-20,7869535360
2013-02-21,7744701360
2013-02-22,7877025400
2013-02-25,7849561920
2013-02-26,7829588480
2013-02-27,8064276399
2013-02-28,8069269760
2013-03-01,8036812919
2013-03-04,7929455680
2013-03-05,8109216639
2013-03-06,8036812919
2013-03-07,7996866040
2013-03-08,7847065240
2013-03-11,7887012120
2013-03-12,7819601760
2013-03-13,7797131640
2013-03-14,7874528720
2013-03-15,7792138280
2013-03-18,7420132960
2013-03-19,7410146240
2013-03-20,7477556600
2013-03-21,7365206000
2013-03-22,7470066560
2013-03-25,7470066560
2013-03-26,7452589800
2013-03-27,7455086480
2013-03-28,7562443720
2013-04-01,7199098140
2013-04-02,7089340580
2013-04-03,6859847500
2013-04-04,7034461800
2013-04-05,7121768950
2013-04-08,7209076100
2013-04-09,7406140810
2013-04-10,7483470000
2013-04-11,7448547140
2013-04-12,7268943860
2013-04-15,6844880560
2013-04-16,7126757930
2013-04-17,6625365440
2013-04-18,6340993580
2013-04-19,6308565210
2013-04-22,6428300730
2013-04-23,6670266260
2013-04-24,6772540350
2013-04-25,6852364030
2013-04-26,6817441170
2013-04-29,6884792400
2013-04-30,6872319950
2013-05-01,6675255240
2013-05-02,6794990760
2013-05-03,6989560980
2013-05-06,7036956290
2013-05-07,7119274460
2013-05-08,7243998960
2013-05-09,7291394270
2013-05-10,7538348780
2013-05-13,7403646320
2013-05-14,7543337760
2013-05-15,7678040220
2013-05-16,7525876330
2013-05-17,7533359800
2013-05-20,7525876330
2013-05-21,7483470000
2013-05-22,7296383250
2013-05-23,7271438350
2013-05-24,7396162850
2013-05-28,7560799190
2013-05-29,7628150420
2013-05-30,7837687580
2013-05-31,7695501650
2013-06-03,7605700010
2013-06-04,7845171050
2013-06-05,7625655930
2013-06-06,7508414900
2013-06-07,7630644910
2013-06-10,7628150420
2013-06-11,7416118770
2013-06-12,7328811620
2013-06-13,7560799190
2013-06-14,7633139400
2013-06-17,7787797780
2013-06-18,7984862489
2013-06-19,7892566360
2013-06-20,7620666950
2013-06-21,7707974100
2013-06-24,7271438350
2013-06-25,7458525100
2013-06-26,7525876330
2013-06-27,7762852880
2013-06-28,7737907980
2013-07-01,7757396920
2013-07-02,7799691900
2013-07-03,7871842160
2013-07-05,8048485900
2013-07-08,7809643660
2013-07-09,7879305980
2013-07-10,7874330100
2013-07-11,7998727100
2013-07-12,8093268820
2013-07-15,8175370840
2013-07-16,8287328140
2013-07-17,8376893980
2013-07-18,8232593460
2013-07-19,8133075859
2013-07-22,8200250240
2013-07-23,8429140720
2013-07-24,8339574880
2013-07-25,8272400500
2013-07-26,8277376380
2013-07-29,8245033160
2013-07-30,8242545220
2013-07-31,8123124100
2013-08-01,8665495020
2013-08-02,8899361380
2013-08-05,8901849320
2013-08-06,8742621160
2013-08-07,8774964380
2013-08-08,8852090520
2013-08-09,8752572920
2013-08-12,8941656360
2013-08-13,8906825200
2013-08-14,8959071940
2013-08-15,8682910600
2013-08-16,8817259360
2013-08-19,8804819660
2013-08-20,8839650820
2013-08-21,8653055320
2013-08-22,8973999580
2013-08-23,8993903100
2013-08-26,9031222200
2013-08-27,8824723180
2013-08-28,9265088560
2013-08-29,9436756420
2013-08-30,9247672980
2013-09-03,9434268480
2013-09-04,9650719260
2013-09-05,9700478060
2013-09-06,9474075520
2013-09-09,9581056940
2013-09-10,9730333340
2013-09-11,9655695140
2013-09-12,9459147880
2013-09-13,9367094100
2013-09-16,9389485560
2013-09-17,9401925260
2013-09-18,9374557920
2013-09-19,9349678520
2013-09-20,9474075520
2013-09-23,9210353880
2013-09-24,9317335300
2013-09-25,9242697100
2013-09-26,9280016200
2013-09-27,9260112680
2013-09-30,9257624740
2013-10-01,9350374960
2013-10-02,9335564440
2013-10-03,9345438120
2013-10-04,9545380140
2013-10-07,9355311800
2013-10-08,9029480360
2013-10-09,9041822460
2013-10-10,9214611860
2013-10-11,9424427560
2013-10-14,9439238080
2013-10-15,9249169740
2013-10-16,9367653900
2013-10-17,9261511840
2013-10-18,9357780220
2013-10-21,9451580180
2013-10-22,9204738180
2013-10-23,8893717260
2013-10-24,9770006360
2013-10-25,9848995800
2013-10-28,10125458840
2013-10-29,10359958740
2013-10-30,10192106180
2013-10-31,10401921880
2013-11-01,10411795560
2013-11-04,10485848160
2013-11-05,10475974480
2013-11-06,10389579780
2013-11-07,10051406240
2013-11-08,10266158780
2013-11-11,10204448280
2013-11-12,10174827240
2013-11-13,10288374560
2013-11-14,10251348260
2013-11-15,10362427160
2013-11-18,10162485140
2013-11-19,9952669440
2013-11-20,9984758900
2013-11-21,10120522000
2013-11-22,10135332520
2013-11-25,9984758900
2013-11-26,10485848160
2013-11-27,10367364000
2013-11-29,10490785000
2013-12-02,10559900760
2013-12-03,10596927060
2013-12-04,10725284900
2013-12-05,10826490120
2013-12-06,10917821660
2013-12-09,10749969100
2013-12-10,10490785000
2013-12-11,10352553480
2013-12-12,10411795560
2013-12-13,10493253420
2013-12-16,10574711280
2013-12-17,10725284900
2013-12-18,10742563840
2013-12-19,10638890200
2013-12-20,10742563840
2013-12-23,11157258400
2013-12-24,11127637360
2013-12-26,11132574200
2013-12-27,11186879440
2013-12-30,11342389900
2013-12-31,11337453060
2014-01-02,10773576000
2014-01-03,10685268000
2014-01-06,10577336000
2014-01-07,10540541000
2014-01-08,10751499000
2014-01-09,10562618000
2014-01-10,10547900000
2014-01-13,10533182000
2014-01-14,10822636000
2014-01-15,11134167000
2014-01-16,11283800000
2014-01-17,11460416000
2014-01-21,11445698000
2014-01-22,11737605000
2014-01-23,11737605000
2014-01-24,11180774000
2014-01-27,11283800000
2014-01-28,11453057000
2014-01-29,11592878000
2014-01-30,11737605000
2014-01-31,11860255000
2014-02-03,11239646000
2014-02-04,11529100000
2014-02-05,11529100000
2014-02-06,12166880000
2014-02-07,12767865000
2014-02-10,12814472000
2014-02-11,12775224000
2014-02-12,12910139000
2014-02-13,13152986000
2014-02-14,13638680000
2014-02-18,13930587000
2014-02-19,13930587000
2014-02-20,13918322000
2014-02-21,13773595000
2014-02-24,13626415000
2014-02-25,13741706000
2014-02-26,13626415000
2014-02-27,13883980000
2014-02-28,13793219000
2014-03-03,13714723000
2014-03-04,14188152000
2014-03-05,14124374000
2014-03-06,14695923000
2014-03-07,14364768000
2014-03-10,14016442000
2014-03-11,13935493000
2014-03-12,14112109000
2014-03-13,14067955000
2014-03-14,14134186000
2014-03-17,14327973000
2014-03-18,14406469000
2014-03-19,14438358000
2014-03-20,14681205000
2014-03-21,14220041000
2014-03-24,13844732000
2014-03-25,13969835000
2014-03-26,14249477000
2014-03-27,14045878000
2014-03-28,14143998000
2014-03-31,14426093000
2014-04-01,14614121430
2014-04-02,14712460340
2014-04-03,14849175410
2014-04-04,13750657830
2014-04-07,13364497720
2014-04-08,13968922240
2014-04-09,14230359830
2014-04-10,13760251870
2014-04-11,13484423220
2014-04-14,13527596400
2014-04-15,13822613130
2014-04-16,13889771410
2014-04-17,13959328200
2014-04-21,14412646590
2014-04-22,14539767620
2014-04-23,14515782520
2014-04-24,14870762000
2014-04-25,14120028370
