,TSLA
2010-12-03,2989613655
2010-12-06,2875723611
2010-12-07,2989613655
2010-12-08,3075031188
2010-12-09,3046558677
2010-12-10,2989613655
2010-12-13,2904196122
2010-12-14,2704888545
2010-12-15,2804542333
2010-12-16,2918432377
2010-12-17,2975377399
2010-12-20,3003849910
2010-12-21,3060794932
2010-12-22,3103503699
2010-12-23,2861487355
2010-12-27,2420163435
2010-12-28,2505580968
2010-12-29,2633707267
2010-12-30,2519817223
2010-12-31,2541502111
2011-01-03,2527224009
2011-01-04,2541502111
2011-01-05,2555780213
2011-01-06,2655726925
2011-01-07,2684283129
2011-01-10,2712839332
2011-01-11,2570058315
2011-01-12,2570058315
2011-01-13,2498667806
2011-01-14,2455833501
2011-01-18,2441555399
2011-01-19,2284496280
2011-01-20,2155993364
2011-01-21,2198827669
2011-01-24,2327330585
2011-01-25,2355886788
2011-01-26,2355886788
2011-01-27,2370164890
2011-01-28,2284496280
2011-01-31,2298774381
2011-02-01,2270218178
2011-02-02,2284496280
2011-02-03,2255940076
2011-02-04,2227383873
2011-02-07,2198827669
2011-02-08,2327330585
2011-02-09,2213105771
2011-02-10,2213105771
2011-02-11,2213105771
2011-02-14,2198827669
2011-02-15,2170271466
2011-02-16,2355886788
2011-02-17,2241661974
2011-02-18,2213105771
2011-02-22,2084602855
2011-02-23,2084602855
2011-02-24,2141715262
2011-02-25,2241661974
2011-02-28,2270218178
2011-03-01,2284496280
2011-03-02,2284496280
2011-03-03,2313052483
2011-03-04,2370164890
2011-03-07,2370164890
2011-03-08,2341608687
2011-03-09,2355886788
2011-03-10,2284496280
2011-03-11,2284496280
2011-03-14,2213105771
2011-03-15,2184549567
2011-03-16,2170271466
2011-03-17,2170271466
2011-03-18,2184549567
2011-03-21,2170271466
2011-03-22,2113159059
2011-03-23,2113159059
2011-03-24,2127437160
2011-03-25,2170271466
2011-03-28,2213105771
2011-03-29,2270218178
2011-03-30,2255940076
2011-03-31,2712764131
2011-04-01,2610119002
2011-04-04,2522137462
2011-04-05,2610119002
2011-04-06,2595455412
2011-04-07,2668773361
2011-04-08,2595455412
2011-04-11,2463483103
2011-04-12,2404828743
2011-04-13,2434155923
2011-04-14,2463483103
2011-04-15,2507473872
2011-04-18,2448819513
2011-04-19,2463483103
2011-04-20,2522137462
2011-04-21,2610119002
2011-04-25,2580791822
2011-04-26,2639446182
2011-04-27,2654109771
2011-04-28,2698100541
2011-04-29,2698100541
2011-05-02,2683436951
2011-05-03,2624782592
2011-05-04,2610119002
2011-05-05,2580791822
2011-05-06,2654109771
2011-05-09,2727427721
2011-05-10,2771418491
2011-05-11,2639446182
2011-05-12,2698100541
2011-05-13,2698100541
2011-05-16,2595455412
2011-05-17,2536801052
2011-05-18,2580791822
2011-05-19,2756754901
2011-05-20,2727427721
2011-05-23,2624782592
2011-05-24,2610119002
2011-05-25,2830072850
2011-05-26,2888727210
2011-05-27,2888727210
2011-05-31,2947381569
2011-06-01,2786082081
2011-06-02,2815409260
2011-06-03,2947381569
2011-06-06,2800745670
2011-06-07,2771418491
2011-06-08,2654109771
2011-06-09,2698100541
2011-06-10,2727427721
2011-06-13,2786082081
2011-06-14,2800745670
2011-06-15,2668773361
2011-06-16,2595455412
2011-06-17,2595455412
2011-06-20,2536801052
2011-06-21,2698100541
2011-06-22,2654109771
2011-06-23,2712764131
2011-06-24,2698100541
2011-06-27,2683436951
2011-06-28,2742091311
2011-06-29,2771418491
2011-06-30,3028635753
2011-07-01,3013024228
2011-07-05,3028635753
2011-07-06,3013024228
2011-07-07,3091081851
2011-07-08,2997412704
2011-07-11,2950578130
2011-07-12,2934966606
2011-07-13,2981801179
2011-07-14,2872520508
2011-07-15,2872520508
2011-07-18,2841297459
2011-07-19,2903743557
2011-07-20,2981801179
2011-07-21,2981801179
2011-07-22,3044247277
2011-07-25,2966189655
2011-07-26,2919355081
2011-07-27,2872520508
2011-07-28,2934966606
2011-07-29,2934966606
2011-08-01,2997412704
2011-08-02,2841297459
2011-08-03,2825685934
2011-08-04,2575901542
2011-08-05,2529066969
2011-08-08,2466620871
2011-08-09,2607124591
2011-08-10,2482232395
2011-08-11,2638347640
2011-08-12,2732016787
2011-08-15,2732016787
2011-08-16,2716405263
2011-08-17,2685182214
2011-08-18,2529066969
2011-08-19,2326117150
2011-08-22,2279282577
2011-08-23,2388563248
2011-08-24,2482232395
2011-08-25,2404174773
2011-08-26,2466620871
2011-08-29,2575901542
2011-08-30,2560290018
2011-08-31,2575901542
2011-09-01,2497843920
2011-09-02,2404174773
2011-09-06,2388563248
2011-09-07,2482232395
2011-09-08,2451009346
2011-09-09,2388563248
2011-09-12,2388563248
2011-09-13,2513455444
2011-09-14,2529066969
2011-09-15,2575901542
2011-09-16,2685182214
2011-09-19,2685182214
2011-09-20,2700793738
2011-09-21,2685182214
2011-09-22,2669570689
2011-09-23,2747628312
2011-09-26,2653959165
2011-09-27,2732016787
2011-09-28,2560290018
2011-09-29,2513455444
2011-09-30,2553463451
2011-10-03,2475136352
2011-10-04,2475136352
2011-10-05,2647455971
2011-10-06,2819775591
2011-10-07,2819775591
2011-10-10,2913768110
2011-10-11,2882437270
2011-10-12,2898102690
2011-10-13,2913768110
2011-10-14,2929433530
2011-10-17,2866771850
2011-10-18,2960764370
2011-10-19,2882437270
2011-10-20,2851106430
2011-10-21,2929433530
2011-10-24,2976429790
2011-10-25,2945098950
2011-10-26,2929433530
2011-10-27,3007760630
2011-10-28,3117418570
2011-10-31,3070422310
2011-11-01,3023426050
2011-11-02,2992095210
2011-11-03,3383730709
2011-11-04,3368065289
2011-11-07,3258407349
2011-11-08,3321069029
2011-11-09,3227076509
2011-11-10,3274072769
2011-11-11,3509054068
2011-11-14,3462057808
2011-11-15,3540384908
2011-11-16,3650042848
2011-11-17,3524719488
2011-11-18,3399396129
2011-11-21,3321069029
2011-11-22,3352399869
2011-11-23,3289738189
2011-11-25,3305403609
2011-11-28,3399396129
2011-11-29,3321069029
2011-11-30,3415061549
2011-12-01,3399396129
2011-12-02,3477723228
2011-12-05,3587381168
2011-12-06,3634377428
2011-12-07,3571715748
2011-12-08,3227076509
2011-12-09,3242741929
2011-12-12,3180080249
2011-12-13,3070422310
2011-12-14,2976429790
2011-12-15,2992095210
2011-12-16,2929433530
2011-12-19,2898102690
2011-12-20,2913768110
2011-12-21,2882437270
2011-12-22,2898102690
2011-12-23,2913768110
2011-12-27,2976429790
2011-12-28,2976429790
2011-12-29,3007760630
2011-12-30,2976429790
2012-01-03,2939200821
2012-01-04,2907765518
2012-01-05,2844894912
2012-01-06,2813459609
2012-01-09,2860612563
2012-01-10,2892047866
2012-01-11,2954918472
2012-01-12,2954918472
2012-01-13,2389083020
2012-01-17,2782024306
2012-01-18,2813459609
2012-01-19,2797741958
2012-01-20,2782024306
2012-01-23,2797741958
2012-01-24,2876330215
2012-01-25,2923483169
2012-01-26,3033506729
2012-01-27,3080659684
2012-01-30,3096377335
2012-01-31,3049224381
2012-02-01,3096377335
2012-02-02,3174965592
2012-02-03,3269271501
2012-02-06,3332142107
2012-02-07,3316424455
2012-02-08,3347859758
2012-02-09,3410730364
2012-02-10,3253553850
2012-02-13,3300706804
2012-02-14,3473600970
2012-02-15,3520753924
2012-02-16,3583624530
2012-02-17,3662212787
2012-02-21,3615059833
2012-02-22,3583624530
2012-02-23,3615059833
2012-02-24,3536471576
2012-02-27,3520753924
2012-02-28,3536471576
2012-02-29,3505036273
2012-03-01,3599342182
2012-03-02,3567906879
2012-03-05,3536471576
2012-03-06,3473600970
2012-03-07,3473600970
2012-03-08,3457883319
2012-03-09,3646495136
2012-03-12,3772236348
2012-03-13,3787953999
2012-03-14,3693648090
2012-03-15,3662212787
2012-03-16,3693648090
2012-03-19,3662212787
2012-03-20,3662212787
2012-03-21,3677930439
2012-03-22,3599342182
2012-03-23,3567906879
2012-03-26,3913695211
2012-03-27,3976565816
2012-03-28,3960848165
2012-03-29,3913695211
2012-03-30,3897977559
2012-04-02,3851873743
2012-04-03,3993951053
2012-04-04,3678223697
2012-04-05,3630864593
2012-04-09,3488787283
2012-04-10,3409855444
2012-04-11,3488787283
2012-04-12,3520360019
2012-04-13,3536146387
2012-04-16,3394069077
2012-04-17,3394069077
2012-04-18,3441428180
2012-04-19,3488787283
2012-04-20,3488787283
2012-04-23,3362496341
2012-04-24,3346709973
2012-04-25,3457214548
2012-04-26,3520360019
2012-04-27,3504573651
2012-04-30,3488787283
2012-05-01,3551932755
2012-05-02,3567719122
2012-05-03,3409855444
2012-05-04,3346709973
2012-05-07,3409855444
2012-05-08,3173059927
2012-05-09,3157273560
2012-05-10,3473000916
2012-05-11,3394069077
2012-05-14,3157273560
2012-05-15,3094128088
2012-05-16,3078341721
2012-05-17,2999409882
2012-05-18,2904691675
2012-05-21,3030982617
2012-05-22,3236205398
2012-05-23,3267778134
2012-05-24,3188846295
2012-05-25,3141487192
2012-05-29,3330923605
2012-05-30,3204632663
2012-05-31,3109914456
2012-06-01,2967837146
2012-06-04,2936264410
2012-06-05,2936264410
2012-06-06,3078341721
2012-06-07,3046768985
2012-06-08,3173059927
2012-06-11,3062555353
2012-06-12,3125700824
2012-06-13,3125700824
2012-06-14,3094128088
2012-06-15,3141487192
2012-06-18,3346709973
2012-06-19,3378282709
2012-06-20,3551932755
2012-06-21,3394069077
2012-06-22,3551932755
2012-06-25,3488787283
2012-06-26,3330923605
2012-06-27,3362496341
2012-06-28,3299350870
2012-06-29,3299350870
2012-07-02,3214185132
2012-07-03,3230018557
2012-07-05,3293352254
2012-07-06,3277518830
2012-07-09,3325019103
2012-07-10,3293352254
2012-07-11,3325019103
2012-07-12,3451686497
2012-07-13,3610020740
2012-07-16,3800021832
2012-07-17,3515020194
2012-07-18,3388352800
2012-07-19,3404186224
2012-07-20,3356685951
2012-07-23,3230018557
2012-07-24,3150851435
2012-07-25,3055850889
2012-07-26,2976683768
2012-07-27,3119184587
2012-07-30,2881683222
2012-07-31,2897516646
2012-08-01,2770849252
2012-08-02,2755015828
2012-08-03,2881683222
2012-08-06,2976683768
2012-08-07,3198351708
2012-08-08,3071684314
2012-08-09,3103351162
2012-08-10,3166684860
2012-08-13,3293352254
2012-08-14,3103351162
2012-08-15,3103351162
2012-08-16,3198351708
2012-08-17,3166684860
2012-08-20,3119184587
2012-08-21,3071684314
2012-08-22,3166684860
2012-08-23,3245851981
2012-08-24,3119184587
2012-08-27,2992517192
2012-08-28,3024184041
2012-08-29,2992517192
2012-08-30,2992517192
2012-08-31,3008350617
2012-09-04,2976683768
2012-09-05,2945016919
2012-09-06,3008350617
2012-09-07,3103351162
2012-09-10,2881683222
2012-09-11,2929183495
2012-09-12,2992517192
2012-09-13,3119184587
2012-09-14,3214185132
2012-09-17,3435853073
2012-09-18,3309185678
2012-09-19,3277518830
2012-09-20,3261685405
2012-09-21,3166684860
2012-09-24,3230018557
2012-09-25,2913350071
2012-09-26,2913350071
2012-09-27,3008350617
2012-09-28,3087517738
2012-10-01,3310503300
2012-10-02,3395825550
2012-10-03,3327567750
2012-10-04,3344632200
2012-10-05,3293438850
2012-10-08,3327567750
2012-10-09,3225181050
2012-10-10,3225181050
2012-10-11,3225181050
2012-10-12,3139858800
2012-10-15,3105729900
2012-10-16,3191052150
2012-10-17,3276374400
2012-10-18,3191052150
2012-10-19,3156923250
2012-10-22,3173987700
2012-10-23,3225181050
2012-10-24,3122794350
2012-10-25,3122794350
2012-10-26,3122794350
2012-10-31,3208116600
2012-11-01,3327567750
2012-11-02,3293438850
2012-11-05,3583534500
2012-11-06,3549405600
2012-11-07,3583534500
2012-11-08,3566470049
2012-11-09,3447018900
2012-11-12,3532341149
2012-11-13,3600598950
2012-11-14,3566470049
2012-11-15,3498212249
2012-11-16,3617663400
2012-11-19,3737114550
2012-11-20,3754179000
2012-11-21,3685921200
2012-11-23,3651792300
2012-11-26,3668856750
2012-11-27,3651792300
2012-11-28,3788307900
2012-11-29,3839501250
2012-11-30,3839501250
2012-12-03,3941887950
2012-12-04,3856565699
2012-12-05,3839501250
2012-12-06,3856565699
2012-12-07,3890694599
2012-12-10,3924823499
2012-12-11,4010145750
2012-12-12,4010145750
2012-12-13,3822436800
2012-12-14,3839501250
2012-12-17,3907759050
2012-12-18,3941887950
2012-12-19,3941887950
2012-12-20,3924823499
2012-12-21,3873630150
2012-12-24,3907759050
2012-12-26,3822436800
2012-12-27,3839501250
2012-12-28,3771243450
2012-12-31,3888733376
2013-01-02,4060801224
2013-01-03,3991974085
2013-01-04,3940353730
2013-01-07,3940353730
2013-01-08,3871526591
2013-01-09,3854319806
2013-01-10,3854319806
2013-01-11,3768285882
2013-01-14,3819906236
2013-01-15,3888733376
2013-01-16,3905940160
2013-01-17,3940353730
2013-01-18,3957560515
2013-01-22,4043594439
2013-01-23,4129628364
2013-01-24,4250075857
2013-01-25,4250075857
2013-01-28,4370523351
2013-01-29,4353316567
2013-01-30,4301696212
2013-01-31,4301696212
2013-02-01,4387730136
2013-02-04,4336109782
2013-02-05,4370523351
2013-02-06,4490970845
2013-02-07,4525384415
2013-02-08,4508177630
2013-02-11,4404936921
2013-02-12,4353316567
2013-02-13,4404936921
2013-02-14,4387730136
2013-02-15,4250075857
2013-02-19,4508177630
2013-02-20,4422143706
2013-02-21,4026387654
2013-02-22,4146835148
2013-02-25,3940353730
2013-02-26,3957560515
2013-02-27,4026387654
2013-02-28,3991974085
2013-03-01,3974767300
2013-03-04,4078008009
2013-03-05,4198455503
2013-03-06,4318902997
2013-03-07,4387730136
2013-03-08,4404936921
2013-03-11,4490970845
2013-03-12,4490970845
2013-03-13,4473764061
2013-03-14,4232869073
2013-03-15,4043594439
2013-03-18,4026387654
2013-03-19,4026387654
2013-03-20,4129628364
2013-03-21,4129628364
2013-03-22,4198455503
2013-03-25,4301696212
2013-03-26,4336109782
2013-03-27,4370523351
2013-03-28,4353316567
2013-04-01,5194609071
2013-04-02,5247796195
2013-04-03,4857757288
2013-04-04,4964131536
2013-04-05,4893215371
2013-04-08,4946402494
2013-04-09,4786841124
2013-04-10,4946402494
2013-04-11,5159150989
2013-04-12,5176880030
2013-04-15,5123692906
2013-04-16,5389628524
2013-04-17,5371899483
2013-04-18,5549189895
2013-04-19,5655564142
2013-04-22,5939228802
2013-04-23,6027874008
2013-04-24,5956957843
2013-04-25,6151977296
2013-04-26,6045603049
2013-04-29,6488829079
2013-04-30,6382454832
2013-05-01,6293809626
2013-05-02,6400183873
2013-05-03,6453370996
2013-05-06,7038429356
2013-05-07,6559745244
2013-05-08,6595203326
2013-05-09,8208546075
2013-05-10,9077269094
2013-05-13,10371489102
2013-05-14,9839617866
2013-05-15,10034637319
2013-05-16,10903360338
2013-05-17,10814715132
2013-05-20,10637424720
2013-05-21,10353760060
2013-05-22,10318301978
2013-05-23,10956547461
2013-05-24,11470689656
2013-05-28,13048574323
2013-05-29,12374870757
2013-05-30,12410328840
2013-05-31,11559334862
2013-06-03,10938818420
2013-06-04,11204754038
2013-06-05,11275670203
2013-06-06,11506147738
2013-06-07,12055748016
2013-06-10,11825270480
2013-06-11,11169295956
2013-06-12,11559334862
2013-06-13,11612521986
2013-06-14,11860728562
2013-06-17,12073477057
2013-06-18,12215309386
2013-06-19,12374870757
2013-06-20,11896186645
2013-06-21,11772083356
2013-06-24,12002560892
2013-06-25,12108935139
2013-06-26,12498974046
2013-06-27,12906741993
2013-06-28,12693993499
2013-07-01,14276191523
2013-07-02,14349309021
2013-07-03,14038559654
2013-07-05,14641779014
2013-07-08,14824572760
2013-07-09,15043925254
2013-07-10,14897690258
2013-07-11,15299836498
2013-07-12,15829938360
2013-07-15,15500909618
2013-07-16,13289105297
2013-07-17,14660058389
2013-07-18,14513823392
2013-07-19,14586940890
2013-07-22,14915969632
2013-07-23,14952528381
2013-07-24,14824572760
2013-07-25,15117042752
2013-07-26,15775100236
2013-07-29,16396598971
2013-07-30,16049290854
2013-07-31,16360040222
2013-08-01,16524554593
2013-08-02,16817024585
2013-08-05,17639596440
2013-08-06,17328847073
2013-08-07,16360040222
2013-08-08,18699800164
2013-08-09,18644962041
2013-08-12,17968625182
2013-08-13,17730993313
2013-08-14,16981538956
2013-08-15,17018097706
2013-08-16,17310567698
2013-08-19,17657875815
2013-08-20,18224536426
2013-08-21,18023463306
2013-08-22,19138505153
2013-08-23,19723445139
2013-08-26,20015915132
2013-08-27,20344943874
2013-08-28,20290105750
2013-08-29,20235267626
2013-08-30,20600855117
2013-09-03,20582575743
2013-09-04,20783648863
2013-09-05,20710531365
2013-09-06,20344943874
2013-09-09,19577210143
2013-09-10,20271826375
2013-09-11,19924518259
2013-09-12,20107312005
2013-09-13,20180429503
2013-09-16,20308385125
2013-09-17,20253547001
2013-09-18,20253547001
2013-09-19,21679338216
2013-09-20,22355675074
2013-09-23,22063205081
2013-09-24,22227719452
2013-09-25,22575027569
2013-09-26,22995453183
2013-09-27,23269643802
2013-09-30,23743766700
2013-10-01,23706926100
2013-10-02,22214881800
2013-10-03,21275446500
2013-10-04,22233302100
2013-10-07,22472766000
2013-10-08,21459649500
2013-10-09,20722837500
2013-10-10,21238605900
2013-10-11,21938577300
2013-10-14,22067519400
2013-10-15,22583287800
2013-10-16,22546447200
2013-10-17,22454345700
2013-10-18,22528026900
2013-10-21,21201765300
2013-10-22,21072823200
2013-10-23,20207069100
2013-10-24,21257026200
2013-10-25,20833359300
2013-10-28,20004445800
2013-10-29,20188648800
2013-10-30,19543938300
2013-10-31,19636039800
2013-11-01,19912344300
2013-11-04,21514910400
2013-11-05,21717533700
2013-11-06,18567662400
2013-11-07,17167719600
2013-11-08,16946675999
2013-11-11,17775589500
2013-11-12,16928255700
2013-11-13,17038777500
2013-11-14,16891415100
2013-11-15,16633530899
2013-11-18,14938863299
2013-11-19,15491472300
2013-11-20,14865182100
2013-11-21,14994124200
2013-11-22,14902022700
2013-11-25,14846761800
2013-11-26,14791500899
2013-11-27,15583573800
2013-11-29,15638834700
2013-12-02,15252008399
2013-12-03,17775589500
2013-12-04,17057197800
2013-12-05,17259821100
2013-12-06,16872994800
2013-12-09,17388763200
2013-12-10,17462444400
2013-12-11,17149299300
2013-12-12,18107154900
2013-12-13,18125575200
2013-12-16,18162415800
2013-12-17,18715024800
2013-12-18,18180836100
2013-12-19,17278241400
2013-12-20,17591386500
2013-12-23,17628227100
2013-12-24,18586082700
2013-12-26,19101851100
2013-12-27,18549242100
2013-12-30,18715024800
2013-12-31,18576480051
2014-01-02,18539438217
2014-01-03,18465354548
2014-01-06,18150498954
2014-01-07,18446833630
2014-01-08,18687605555
2014-01-09,18224582623
2014-01-10,17983810698
2014-01-13,17205932171
2014-01-14,19909986097
2014-01-15,20261883526
2014-01-16,21113845722
2014-01-17,20984199300
2014-01-21,21817640579
2014-01-22,22039891587
2014-01-23,22410309933
2014-01-24,21558347737
2014-01-27,20947157466
2014-01-28,22021370669
2014-01-29,21632431406
2014-01-30,22576998188
2014-01-31,22391789015
2014-02-03,21873203331
2014-02-04,22076933421
2014-02-05,21539826819
2014-02-06,22021370669
2014-02-07,23040021121
2014-02-10,24262401663
2014-02-11,24280922580
2014-02-12,24114234324
2014-02-13,24651340926
2014-02-14,24484652670
2014-02-18,25151405693
2014-02-19,23910504234
2014-02-20,25929284220
2014-02-21,25873721468
2014-02-24,26873851002
2014-02-25,30615076296
2014-02-26,31244787485
2014-02-27,31189224733
2014-02-28,30226137033
2014-03-03,30929931891
2014-03-04,31467038492
2014-03-05,31189224733
2014-03-06,31226266567
2014-03-07,30392825289
2014-03-10,29485300341
2014-03-11,28948193739
2014-03-12,29818676853
2014-03-13,29355653920
2014-03-14,28522212642
2014-03-17,28892630988
2014-03-18,29633467680
2014-03-19,29114881995
2014-03-20,29003756491
2014-03-21,28262919799
2014-03-24,27188706596
2014-03-25,27225748431
2014-03-26,26299702566
2014-03-27,25595907708
2014-03-28,26225618896
2014-03-31,25906214238
2014-04-01,26949917833
2014-04-02,28608661047
2014-04-03,28012258992
2014-04-04,26372153343
2014-04-07,25775751288
2014-04-08,26763542191
2014-04-09,26949917833
2014-04-10,25365724876
2014-04-11,25328449747
2014-04-14,24620222308
2014-04-15,24098370510
2014-04-16,24732047693
2014-04-17,24620222308
2014-04-21,25403000004
2014-04-22,27173568603
2014-04-23,25850301545
2014-04-24,25831663981
2014-04-25,24825235514
2014-04-28,24657497436
2014-04-29,25701201031
2014-04-30,25831663981
2014-05-01,25813026417
2014-05-02,26204415265
2014-05-05,26912642704
2014-05-06,25757113724
2014-05-07,25011611156
2014-05-08,22197338962
2014-05-09,22644640503
2014-05-12,22942841530
2014-05-13,23632431405
2014-05-14,23688344098
2014-05-15,23427418199
2014-05-16,23800169483
2014-05-19,24359296409
2014-05-20,24266108588
2014-05-21,24787960386
2014-05-22,25458912697
2014-05-23,25757113724
2014-05-27,26278965522
2014-05-28,26129865008
2014-05-29,26129865008
2014-05-30,25813026417
2014-06-02,25440275133
2014-06-03,25458912697
2014-06-04,25347087312
2014-06-05,25701201031
2014-06-06,25868939109
2014-06-09,25514825389
2014-06-10,25142074105
2014-06-11,25403000004
2014-06-12,25291174619
2014-06-13,25645288339
2014-06-16,27900433607
2014-06-17,28776399124
2014-06-18,28217272198
2014-06-19,28310460019
2014-06-20,28534110790
2014-06-23,29465989000
2014-06-24,28888224510
2014-06-25,29428713871
2014-06-26,29279613358
2014-06-27,29708277334
2014-06-30,29978640000
2014-07-01,29941166700
2014-07-02,28667074500
2014-07-03,28629601200
2014-07-07,27805188600
2014-07-08,27355509000
2014-07-09,27861398550
2014-07-10,27411718950
2014-07-11,27243089100
2014-07-14,28311078150
2014-07-15,27430455600
2014-07-16,27130669200
2014-07-17,26905829400
2014-07-18,27486665550
2014-07-21,27542875500
2014-07-22,27430455600
2014-07-23,27786451950
2014-07-24,27917608500
2014-07-25,27917608500
2014-07-28,28086238350
2014-07-29,28104975000
2014-07-30,28592127900
2014-07-31,27898871850
2014-08-01,29135490750
2014-08-04,29791273500
2014-08-05,29791273500
2014-08-06,31102839000
2014-08-07,31533781949
2014-08-08,30990419100
2014-08-11,32395667850
2014-08-12,32470614449
2014-08-13,32508087750
2014-08-14,32657980950
2014-08-15,32732927549
2014-08-18,32470614449
2014-08-19,32077144800
2014-08-20,31945988250
2014-08-21,31777358400
2014-08-22,32077144800
2014-08-25,32789137500
2014-08-26,32695454250
2014-08-27,32882820750
2014-08-28,32957767350
2014-08-29,33688496700
2014-09-02,35487215100
2014-09-03,35131218750
2014-09-04,35730791550
2014-09-05,34644065850
2014-09-08,35243638650
2014-09-09,34793959050
2014-09-10,35112482100
2014-09-11,35018798850
2014-09-12,34868905650
2014-09-15,31702411800
2014-09-16,32564297700
2014-09-17,32657980950
2014-09-18,32957767350
2014-09-19,32395667850
2014-09-22,31233995550
2014-09-23,31271468850
2014-09-24,31496308649
2014-09-25,30840525900
2014-09-26,30803052600
2014-09-29,30634422750
2014-09-30,30458121900
2014-10-01,30156929100
2014-10-02,31549945800
2014-10-03,32020559550
2014-10-06,32698243350
2014-10-07,32566471500
2014-10-08,32547646950
2014-10-09,32246454150
2014-10-10,29723964450
2014-10-13,28180351350
2014-10-14,28500368700
2014-10-15,28820386050
2014-10-16,28406245950
2014-10-17,28556842350
2014-10-20,28914508800
2014-10-21,29535718950
2014-10-22,29008631550
2014-10-23,29535718950
2014-10-24,29516894400
2014-10-27,27822684900
2014-10-28,30458121900
2014-10-29,29874560850
2014-10-30,29949859050
2014-10-31,30326350050
2014-11-03,30439297350
2014-11-04,29987508150
2014-11-05,28989807000
2014-11-06,30269876399
2014-11-07,30138104550
2014-11-10,30363999150
2014-11-11,31512296699
2014-11-12,31267577550
2014-11-13,31587594900
2014-11-14,32472348750
2014-11-17,31869963150
2014-11-18,32340576900
2014-11-19,31098156600
2014-11-20,31211103899
2014-11-21,30476946450
2014-11-24,30966384750
2014-11-25,31135805700
2014-11-26,31173454799
2014-11-28,30684016500
2014-12-01,29065105200
2014-12-02,29046280650
2014-12-03,28782736950
2014-12-04,28650965100
2014-12-05,28067404050
2014-12-08,26900281950
2014-12-09,27220299300
2014-12-10,26335545450
2014-12-11,26222598150
2014-12-12,25977879000
2014-12-15,25601388000
2014-12-16,24829581450
2014-12-17,25827282600
2014-12-18,27389720250
2014-12-19,27521492100
2014-12-22,27935632200
2014-12-23,27728562150
2014-12-24,27897983100
2014-12-26,28594491450
2014-12-29,28330947750
2014-12-30,27897983100
2014-12-31,28016910150
2015-01-02,27620177100
2015-01-05,26467762050
2015-01-06,26618898450
2015-01-07,26562222300
2015-01-08,26524438200
2015-01-09,26033244900
2015-01-12,25466483400
2015-01-13,25730972100
2015-01-14,24276284250
2015-01-15,24162931950
2015-01-16,24314068350
2015-01-20,24181824000
2015-01-21,24748585500
2015-01-22,25390915200
2015-01-23,25353131100
2015-01-26,26014352850
2015-01-27,25938784650
2015-01-28,25107534450
2015-01-29,25844324400
2015-01-30,25636511850
2015-02-02,26562222300
2015-02-03,27506824800
2015-02-04,27525716850
2015-02-05,27827989650
2015-02-06,27374580450
2015-02-09,27393472500
2015-02-10,27242336100
2015-02-11,26807818950
2015-02-12,25560943650
