,TTWO
2000-10-25,404337983
2000-10-26,402316326
2000-10-27,396251256
2000-10-30,396251256
2000-10-31,402114772
2000-11-01,398073385
2000-11-02,400094079
2000-11-03,400094079
2000-11-06,408176803
2000-11-07,410197448
2000-11-08,410197448
2000-11-09,402114772
2000-11-10,373825259
2000-11-13,356649536
2000-11-14,363721890
2000-11-15,367763228
2000-11-16,355639165
2000-11-17,341494457
2000-11-20,315225638
2000-11-21,284915480
2000-11-22,290977512
2000-11-24,303101575
2000-11-27,292998205
2000-11-28,278853449
2000-11-29,297039543
2000-11-30,313204944
2000-12-01,319266976
2000-12-04,303101575
2000-12-05,317246331
2000-12-06,307142913
2000-12-07,301080881
2000-12-08,323308362
2000-12-11,323308362
2000-12-12,329370394
2000-12-13,319266976
2000-12-14,313204944
2000-12-15,309163606
2000-12-18,284915480
2000-12-19,305122268
2000-12-20,296029221
2000-12-21,297039543
2000-12-22,307142913
2000-12-26,319266976
2000-12-27,325329007
2000-12-28,353618520
2000-12-29,371804614
2001-01-02,351597827
2001-01-03,363721890
2001-01-04,369783921
2001-01-05,361701196
2001-01-08,341494457
2001-01-09,329370394
2001-01-10,339473764
2001-01-11,339473764
2001-01-12,383928677
2001-01-16,404135417
2001-01-17,387970016
2001-01-18,381907984
2001-01-19,404135417
2001-01-22,396052740
2001-01-23,396052740
2001-01-24,389990709
2001-01-25,377866646
2001-01-26,357659858
2001-01-29,355639165
2001-01-30,371804614
2001-01-31,397808994
2001-02-01,424329610
2001-02-02,416169409
2001-02-05,401889070
2001-02-06,401889070
2001-02-07,414129347
2001-02-08,418209471
2001-02-09,418209471
2001-02-12,422289547
2001-02-13,414129347
2001-02-14,397808994
2001-02-15,397808994
2001-02-16,387608780
2001-02-20,373328440
2001-02-21,377408516
2001-02-22,385568717
2001-02-23,379448579
2001-02-26,401889070
2001-02-27,379448579
2001-02-28,375368503
2001-03-01,369248364
2001-03-02,375368503
2001-03-05,377408516
2001-03-06,359048101
2001-03-07,367208302
2001-03-08,361088164
2001-03-09,381488641
2001-03-12,381488641
2001-03-13,393728918
2001-03-14,401889070
2001-03-15,403929132
2001-03-16,405969195
2001-03-19,405969195
2001-03-20,405969195
2001-03-21,399849056
2001-03-22,401889070
2001-03-23,414129347
2001-03-26,452890239
2001-03-27,465130516
2001-03-28,459010378
2001-03-29,440649963
2001-03-30,465640544
2001-04-02,432489762
2001-04-03,399849056
2001-04-04,359048101
2001-04-05,397808994
2001-04-06,399849056
2001-04-09,394952946
2001-04-10,409314854
2001-04-11,417801430
2001-04-12,416169409
2001-04-16,422697540
2001-04-17,420086298
2001-04-18,441302761
2001-04-19,417801430
2001-04-20,405071542
2001-04-23,407682833
2001-04-24,456317517
2001-04-25,456643940
2001-04-26,455011871
2001-04-27,452727052
2001-04-30,477805499
2001-05-01,516537257
2001-05-02,531618619
2001-05-03,528533792
2001-05-04,509339326
2001-05-07,509339326
2001-05-08,510367602
2001-05-09,554583464
2001-05-10,555268964
2001-05-11,556297240
2001-05-14,558011016
2001-05-15,573777929
2001-05-16,585774464
2001-05-17,568636550
2001-05-18,545328981
2001-05-21,549442084
2001-05-22,564523447
2001-05-23,598799326
2001-05-24,664608981
2001-05-25,687231050
2001-05-29,724934481
2001-05-30,698199308
2001-05-31,711566895
2001-06-01,716365498
2001-06-04,704368964
2001-06-05,727333808
2001-06-06,764351739
2001-06-07,820906912
2001-06-08,811995153
2001-06-11,722877929
2001-06-12,737273791
2001-06-13,772577946
2001-06-14,730075860
2001-06-15,709853119
2001-06-18,723220705
2001-06-19,738644843
2001-06-20,706082740
2001-06-21,625534498
2001-06-22,607368257
2001-06-25,661181377
2001-06-26,651241395
2001-06-27,629304826
2001-06-28,639587584
2001-06-29,635817257
2001-07-02,629647602
2001-07-03,601541378
2001-07-05,559382067
2001-07-06,617651016
2001-07-09,607025533
2001-07-10,613537912
2001-07-11,576177257
2001-07-12,579947585
2001-07-13,598799326
2001-07-16,613537912
2001-07-17,684146222
2001-07-18,679347567
2001-07-19,690658602
2001-07-20,717393774
2001-07-23,700941360
2001-07-24,640615860
2001-07-25,646100015
2001-07-26,687231050
2001-07-27,688944826
2001-07-30,692372429
2001-07-31,729338640
2001-08-01,697756018
2001-08-02,661032000
2001-08-03,654054421
2001-08-06,663235440
2001-08-07,677557800
2001-08-08,684902581
2001-08-09,734112778
2001-08-10,752842018
2001-08-13,741090301
2001-08-14,772672978
2001-08-15,757248898
2001-08-16,734847240
2001-08-17,699592200
2001-08-20,712812840
2001-08-21,732643800
2001-08-22,708405960
2001-08-23,677190541
2001-08-24,709874938
2001-08-27,758350618
2001-08-28,778548781
2001-08-29,654421680
2001-08-30,591623640
2001-08-31,609618418
2001-09-04,550492741
2001-09-05,523317000
2001-09-06,484756800
2001-09-07,482553360
2001-09-10,420122578
2001-09-17,363200341
2001-09-18,286447200
2001-09-19,377522701
2001-09-20,293791981
2001-09-21,287181661
2001-09-24,294893701
2001-09-25,286814458
2001-09-26,265147261
2001-09-27,256700760
2001-09-28,259638661
2001-10-01,257068018
2001-10-02,263678338
2001-10-03,315826381
2001-10-04,334922880
2001-10-05,340431480
2001-10-08,350714218
2001-10-09,344838360
2001-10-10,348877981
2001-10-11,389274418
2001-10-12,387805440
2001-10-15,374584800
2001-10-16,395150221
2001-10-17,381195120
2001-10-18,386336461
2001-10-19,406901938
2001-10-22,417551880
2001-10-23,437750098
2001-10-24,449869018
2001-10-25,449869018
2001-10-26,507525661
2001-10-29,488061959
2001-10-30,479248199
2001-10-31,511565338
2001-11-01,547187581
2001-11-02,549023818
2001-11-05,492468840
2001-11-06,482920618
2001-11-07,508260178
2001-11-08,513401520
2001-11-09,499446418
2001-11-12,510830821
2001-11-13,499446418
2001-11-14,507525661
2001-11-15,492836098
2001-11-16,504955018
2001-11-19,536904898
2001-11-20,568120261
2001-11-21,529927319
2001-11-23,530294578
2001-11-26,526989418
2001-11-27,533599738
2001-11-28,514135981
2001-11-29,534334199
2001-11-30,511932541
2001-12-03,518910120
2001-12-04,514870498
2001-12-05,514870498
2001-12-06,524418720
2001-12-07,536904898
2001-12-10,528825600
2001-12-11,529927319
2001-12-12,553063440
2001-12-13,552696181
2001-12-14,379358938
2001-12-17,497977439
2001-12-18,569589240
2001-12-19,551227258
2001-12-20,506056738
2001-12-21,523684258
2001-12-24,527356621
2001-12-26,557103061
2001-12-27,580239181
2001-12-28,603375301
2001-12-31,593827080
2002-01-02,615127018
2002-01-03,648913080
2002-01-04,690411181
2002-01-07,666907858
2002-01-08,686738818
2002-01-09,683433658
2002-01-10,669845760
2002-01-11,688942258
2002-01-14,697756018
2002-01-15,702530101
2002-01-16,661032000
2002-01-17,665806138
2002-01-18,663235440
2002-01-22,681597421
2002-01-23,681597421
2002-01-24,681597421
2002-01-25,681597421
2002-01-28,681597421
2002-01-29,681597421
2002-01-30,681597421
2002-01-31,687777901
2002-02-01,687777901
2002-02-04,687777901
2002-02-05,687777901
2002-02-06,687777901
2002-02-07,687777901
2002-02-08,687777901
2002-02-11,687777901
2002-02-12,687777901
2002-02-13,687777901
2002-02-14,687777901
2002-02-15,673696260
2002-02-19,630339570
2002-02-20,591429720
2002-02-21,574383481
2002-02-22,565119268
2002-02-25,599952811
2002-02-26,622557600
2002-02-27,667026000
2002-02-28,690371910
2002-03-01,723723210
2002-03-04,741139981
2002-03-05,710012101
2002-03-06,737434318
2002-03-07,744845700
2002-03-08,781532130
2002-03-11,853422691
2002-03-12,852310981
2002-03-13,846011310
2002-03-14,815254018
2002-03-15,804136918
2002-03-18,798207780
2002-03-19,794872650
2002-03-20,789314100
2002-03-21,789314100
2002-03-22,748921951
2002-03-25,741139981
2002-03-26,742622280
2002-03-27,733728600
2002-03-28,744845700
2002-04-01,742992868
2002-04-02,730022881
2002-04-03,724834920
2002-04-04,723352621
2002-04-05,739657738
2002-04-08,782273251
2002-04-09,754851090
2002-04-10,800431200
2002-04-11,815254018
2002-04-12,818959681
2002-04-15,830447370
2002-04-16,910861078
2002-04-17,917160750
2002-04-18,937542118
2002-04-19,983122172
2002-04-22,937912651
2002-04-23,890479710
2002-04-24,879733198
2002-04-25,853052158
2002-04-26,849717028
2002-04-29,855275578
2002-04-30,971495538
2002-05-01,942466788
2002-05-02,966850938
2002-05-03,979623530
2002-05-06,1006329922
2002-05-07,915373269
2002-05-08,985429280
2002-05-09,923501319
2002-05-10,919243730
2002-05-13,964141569
2002-05-14,959496969
2002-05-15,985042269
2002-05-16,1001298427
2002-05-17,990848077
2002-05-20,1006717050
2002-05-21,971108469
2002-05-22,960271108
2002-05-23,1007878258
2002-05-24,986977500
2002-05-28,997040722
2002-05-29,956400530
2002-05-30,976527150
2002-05-31,993557330
2002-06-03,971495538
2002-06-04,1014071019
2002-06-05,1009813430
2002-06-06,986977500
2002-06-07,853058180
2002-06-10,849187719
2002-06-11,789582000
2002-06-12,693206550
2002-06-13,736556169
2002-06-14,756682730
2002-06-17,750876980
2002-06-18,744684219
2002-06-19,743136000
2002-06-20,716429550
2002-06-21,651405150
2002-06-24,697077069
2002-06-25,704043969
2002-06-26,737330250
2002-06-27,769842450
2002-06-28,796935969
2002-07-01,733072719
2002-07-02,728815130
2002-07-03,699786380
2002-07-05,735782030
2002-07-08,696690000
2002-07-09,702108680
2002-07-10,705592130
2002-07-11,695915919
2002-07-12,717977769
2002-07-15,721461219
2002-07-16,747780600
2002-07-17,733072719
2002-07-18,680820969
2002-07-19,675402230
2002-07-22,684304419
2002-07-23,709849719
2002-07-24,750102900
2002-07-25,711010869
2002-07-26,727653980
2002-07-29,778744580
2002-07-30,833318630
2002-07-31,845901660
2002-08-01,839783760
2002-08-02,819798600
2002-08-05,795734880
2002-08-06,815719979
2002-08-07,863847480
2002-08-08,896884140
2002-08-09,880977600
2002-08-12,876083280
2002-08-13,934815120
2002-08-14,980495460
2002-08-15,948274500
2002-08-16,954392400
2002-08-19,1060435918
2002-08-20,1031070059
2002-08-21,1072263960
2002-08-22,1064514599
2002-08-23,1039227361
2002-08-26,1056357359
2002-08-27,989876220
2002-08-28,933591540
2002-08-29,1053502318
2002-08-30,1023728640
2002-09-03,1024136459
2002-09-04,1031070059
2002-09-05,1115089260
2002-09-06,1020465720
2002-09-09,1020465720
2002-09-10,1079605440
2002-09-11,1086131098
2002-09-12,1090209780
2002-09-13,1101222000
2002-09-16,1094696219
2002-09-17,1060435918
2002-09-18,1056357359
2002-09-19,1038003720
2002-09-20,1068593220
2002-09-23,1047384541
2002-09-24,1092249059
2002-09-25,1101222000
2002-09-26,1125693600
2002-09-27,1201147679
2002-09-30,1182793918
2002-10-01,1176268260
2002-10-02,1171781820
2002-10-03,1202371320
2002-10-04,1139968679
2002-10-07,1071448138
2002-10-08,1148533739
2002-10-09,1167295320
2002-10-10,1201555498
2002-10-11,1174636861
2002-10-14,1180754638
2002-10-15,1117128540
2002-10-16,1119575638
2002-10-17,1107747780
2002-10-18,1102445580
2002-10-21,1126917180
2002-10-22,1069001039
2002-10-23,1099182720
2002-10-24,1097551321
2002-10-25,1091841179
2002-10-28,1002927719
2002-10-29,1043713678
2002-10-30,1065738180
2002-10-31,1051463039
2002-11-01,1065738180
2002-11-04,1096327680
2002-11-05,1103261279
2002-11-06,1158322318
2002-11-07,1119983580
2002-11-08,1106116320
2002-11-11,1068185278
2002-11-12,1088578319
2002-11-13,1062883139
2002-11-14,1152204418
2002-11-15,1175452499
2002-11-18,1146902401
2002-11-19,1158322318
2002-11-20,1203187081
2002-11-21,1252538039
2002-11-22,1211344138
2002-11-25,1259471639
2002-11-26,1222356420
2002-11-27,1263958140
2002-11-29,1220724959
2002-12-02,1177491901
2002-12-03,1163216638
2002-12-04,1136705820
2002-12-05,1177491901
2002-12-06,1179531181
2002-12-09,1146902401
2002-12-10,1101222000
2002-12-11,1016387099
2002-12-12,1055949540
2002-12-13,952760939
2002-12-16,1014755639
2002-12-17,1003335599
2002-12-18,962957460
2002-12-19,951537359
2002-12-20,913606379
2002-12-23,973561799
2002-12-24,985389780
2002-12-26,980903279
2002-12-27,980087580
2002-12-30,975193260
2002-12-31,958063140
2003-01-02,948274500
2003-01-03,924618599
2003-01-06,969483240
2003-01-07,950721660
2003-01-08,896884140
2003-01-09,949498080
2003-01-10,959694600
2003-01-13,946235220
2003-01-14,946235220
2003-01-15,944603760
2003-01-16,933999420
2003-01-17,885056220
2003-01-21,840599460
2003-01-22,897699839
2003-01-23,874859700
2003-01-24,849164520
2003-01-27,819798600
2003-01-28,832034400
2003-01-29,826324380
2003-01-30,836113020
2003-01-31,874341800
2003-02-03,859074840
2003-02-04,883006820
2003-02-05,854123400
2003-02-06,829366200
2003-02-07,788104179
2003-02-10,804609000
2003-02-11,827303120
2003-02-12,810385659
2003-02-13,793055619
2003-02-14,816987600
2003-02-18,828128340
2003-02-19,775725579
2003-02-20,793055619
2003-02-21,816574959
2003-02-24,800070200
2003-02-25,819463320
2003-02-26,796356620
2003-02-27,845871020
2003-02-28,862788420
2003-03-03,857424339
2003-03-04,845871020
2003-03-05,802133280
2003-03-06,776550860
2003-03-07,776963439
2003-03-10,791405180
2003-03-11,811623519
2003-03-12,842157440
2003-03-13,856186479
2003-03-14,840919580
2003-03-17,874341800
2003-03-18,886720400
2003-03-19,866502000
2003-03-20,853298180
2003-03-21,905700879
2003-03-24,899924220
2003-03-25,912302820
2003-03-26,911890179
2003-03-27,916841619
2003-03-28,940360959
2003-03-31,919729980
2003-04-01,929220219
2003-04-02,918079479
2003-04-03,899511579
2003-04-04,889608699
2003-04-07,890433980
2003-04-08,889196120
2003-04-09,878467959
2003-04-10,899924220
2003-04-11,883419399
2003-04-14,880531100
2003-04-15,903637800
2003-04-16,906113520
2003-04-17,948200760
2003-04-21,955215279
2003-04-22,993588939
2003-04-23,992351079
2003-04-24,949851260
2003-04-25,942424100
2003-04-28,963880299
2003-04-29,936234800
2003-04-30,950985000
2003-05-01,937037220
2003-05-02,973385958
2003-05-05,1027486481
2003-05-06,1012693338
2003-05-07,1033403636
2003-05-08,1032981018
2003-05-09,991983041
2003-05-12,1004240160
2003-05-13,980148540
2003-05-14,1002126881
2003-05-15,1046928735
2003-05-16,1028754461
2003-05-19,993673638
2003-05-20,988601718
2003-05-21,989869698
2003-05-22,1011848040
2003-05-23,1036362277
2003-05-27,1056227340
2003-05-28,1109482500
2003-05-29,1036784958
2003-05-30,1068061777
2003-06-02,1048196778
2003-06-03,1052846081
2003-06-04,1069329821
2003-06-05,1098915915
2003-06-06,1162737660
2003-06-09,1125966240
2003-06-10,1156820504
2003-06-11,1162314915
2003-06-12,1198663844
2003-06-13,1213034178
2003-06-16,1222755401
2003-06-17,1319121881
2003-06-18,1248960363
2003-06-19,1235857882
2003-06-20,1226981958
2003-06-23,1196550438
2003-06-24,1178798655
2003-06-25,1194014415
2003-06-26,1234167221
2003-06-27,1225713915
2003-06-30,1196973056
2003-07-01,1237125735
2003-07-02,1241352420
2003-07-03,1248114937
2003-07-07,1242197655
2003-07-08,1281927716
2003-07-09,1284040995
2003-07-10,1262908080
2003-07-11,1240084376
2003-07-14,1257836160
2003-07-15,1267557382
2003-07-16,1279391820
2003-07-17,1207962258
2003-07-18,1168232197
2003-07-21,1110750480
2003-07-22,1109059882
2003-07-23,1109905117
2003-07-24,1141182000
2003-07-25,1121316937
2003-07-28,1128924881
2003-07-29,1129347562
2003-07-30,1141182000
2003-07-31,1181555408
2003-08-01,1160693811
2003-08-04,1156255322
2003-08-05,1135837673
2003-08-06,1113200813
2003-08-07,1109650088
2003-08-08,1112756997
2003-08-11,1136725504
2003-08-12,1143383271
2003-08-13,1151816633
2003-08-14,1144714917
2003-08-15,1171790400
2003-08-18,1186437780
2003-08-19,1197978184
2003-08-20,1197534368
2003-08-21,1223721953
2003-08-22,1215732540
2003-08-25,1209518588
2003-08-26,1228604457
2003-08-27,1205079900
2003-08-28,1289857137
2003-08-29,1323146637
2003-09-02,1320483411
2003-09-03,1614762591
2003-09-04,1616538186
2003-09-05,1614318908
2003-09-08,1666250462
2003-09-09,1686667911
2003-09-10,1599227580
2003-09-11,1602776240
2003-09-12,1585026279
2003-09-15,1532202500
2003-09-16,1589906520
2003-09-17,1622310519
2003-09-18,1628076260
2003-09-19,1603222320
2003-09-22,1575705219
2003-09-23,1616984199
2003-09-24,1557948600
2003-09-25,1507348560
2003-09-26,1477168299
2003-09-29,1540191980
2003-09-30,1516223540
2003-10-01,1580139380
2003-10-02,1601890740
2003-10-03,1739043480
2003-10-06,1734602660
2003-10-07,1732385580
2003-10-08,1757239520
2003-10-09,1747032960
2003-10-10,1739928980
2003-10-13,1766560580
2003-10-14,1784317200
2003-10-15,1823818520
2003-10-16,1799410659
2003-10-17,1746147459
2003-10-20,1741260560
2003-10-21,1774996140
2003-10-22,1705753980
2003-10-23,1651159200
2003-10-24,1650273699
2003-10-27,1697318420
2003-10-28,1704422400
2003-10-29,1763457999
2003-10-30,1768784319
2003-10-31,1762565840
2003-11-03,1727944760
2003-11-04,1729722420
2003-11-05,1737265820
2003-11-06,1777659300
2003-11-07,1748810619
2003-11-10,1719515859
2003-11-11,1712857959
2003-11-12,1794523760
2003-11-13,1761680340
2003-11-14,1697318420
2003-11-17,1602336819
2003-11-18,1485597200
2003-11-19,1450976120
2003-11-20,1482494619
2003-11-21,1424790600
2003-11-24,1453639280
2003-11-25,1471841979
2003-11-26,1458526179
2003-11-28,1471395900
2003-12-01,1512674880
2003-12-02,1405702400
2003-12-03,1415915619
2003-12-04,1385289279
2003-12-05,1336460240
2003-12-08,1316047119
2003-12-09,1292078679
2003-12-10,1252131279
2003-12-11,1339569480
2003-12-12,1346227380
2003-12-15,1287191780
2003-12-16,1296073419
2003-12-17,1348890540
2003-12-18,1235706240
2003-12-19,1256565440
2003-12-22,1238369400
2003-12-23,1261452339
2003-12-24,1258343100
2003-12-26,1261006260
2003-12-29,1284974700
2003-12-30,1280094459
2003-12-31,1283643120
2004-01-02,1292518100
2004-01-05,1294295760
2004-01-06,1413691880
2004-01-07,1386620859
2004-01-08,1432334000
2004-01-09,1389723440
2004-01-12,1415023460
2004-01-13,1373305059
2004-01-14,1441215639
2004-01-15,1423459020
2004-01-16,1451422200
2004-01-20,1504685400
2004-01-21,1517115699
2004-01-22,1464738000
2004-01-23,1502468319
2004-01-26,1492255100
2004-01-27,1424790600
2004-01-28,1400822160
2004-01-29,1375968219
2004-01-30,1287191780
2004-02-02,1325779620
2004-02-03,1286534670
2004-02-04,1271377169
2004-02-05,1302548375
2004-02-06,1335592529
2004-02-09,1350750030
2004-02-10,1411179359
2004-02-11,1410951930
2004-02-12,1384643700
2004-02-13,1416303210
2004-02-17,1452424350
2004-02-18,1457775630
2004-02-19,1426116120
2004-02-20,1428343590
2004-02-23,1408724460
2004-02-24,1404711000
2004-02-25,1420764840
2004-02-26,1433694870
2004-02-27,1395794429
2004-03-01,1465802550
2004-03-02,1473829470
2004-03-03,1508171309
2004-03-04,1492425168
2004-03-05,1519315350
2004-03-08,1479628920
2004-03-09,1467140370
2004-03-10,1421654490
2004-03-11,1406048820
2004-03-12,1460451270
2004-03-15,1429239929
2004-03-16,1522439160
2004-03-17,1521101340
2004-03-18,1519315350
2004-03-19,1529128260
2004-03-22,1502820029
2004-03-23,1503261510
2004-03-24,1485869850
2004-03-25,1557670649
2004-03-26,1620100020
2004-03-29,1647304589
2004-03-30,1641056970
2004-03-31,1640615489
2004-04-01,1648194240
2004-04-02,1649532060
2004-04-05,1655331509
2004-04-06,1598694900
2004-04-07,1607169989
2004-04-08,1591557630
2004-04-12,1608949290
2004-04-13,1569711029
2004-04-14,1423440480
2004-04-15,1419875189
2004-04-16,1393560270
2004-04-19,1428343590
2004-04-20,1412289750
2004-04-21,1407834809
2004-04-22,1416303210
2004-04-23,1405159169
2004-04-26,1388208990
2004-04-27,1369038029
2004-04-28,1362790410
2004-04-29,1312401420
2004-04-30,1295427600
2004-05-03,1351475358
2004-05-04,1385105358
2004-05-05,1392282000
2004-05-06,1381520400
2004-05-07,1370758800
2004-05-10,1320091842
2004-05-11,1312464558
2004-05-12,1302153600
2004-05-13,1312020642
2004-05-14,1300808400
2004-05-17,1280179758
2004-05-18,1255071600
2004-05-19,1268072958
2004-05-20,1262692158
2004-05-21,1270319442
2004-05-24,1288250958
2004-05-25,1345200000
2004-05-26,1340269842
2004-05-27,1362687600
2004-05-28,1334889042
2004-06-01,1334889042
2004-06-02,1325916558
2004-06-03,1298568642
2004-06-04,1347439758
2004-06-07,1357306800
2004-06-08,1284666000
2004-06-09,1272108558
2004-06-10,1313365842
2004-06-14,1320535758
2004-06-15,1342509600
2004-06-16,1322782242
2004-06-17,1302604242
2004-06-18,1322331600
2004-06-21,1345200000
2004-06-22,1345200000
2004-06-23,1381069758
2004-06-24,1368068400
2004-06-25,1385556000
2004-06-28,1365828642
2004-06-29,1390936800
2004-06-30,1373899842
2004-07-01,1354165758
2004-07-02,1353271200
2004-07-06,1325022000
2004-07-07,1338023358
2004-07-08,1301259042
2004-07-09,1344305442
2004-07-12,1326817842
2004-07-13,1306189200
2004-07-14,1302153600
2004-07-15,1316056242
2004-07-16,1299913842
2004-07-19,1298568642
2004-07-20,1365378000
2004-07-21,1334889042
2004-07-22,1347890400
2004-07-23,1351926000
2004-07-26,1388697042
2004-07-27,1421876400
2004-07-28,1409318958
2004-07-29,1404839442
2004-07-30,1400803842
2004-08-02,1425862344
2004-08-03,1419009444
2004-08-04,1476573804
2004-08-05,1490731895
2004-08-06,1461497424
2004-08-09,1470632340
2004-08-10,1502155680
2004-08-11,1484797284
2004-08-12,1424944055
2004-08-13,1434085824
2004-08-16,1425403200
2004-08-17,1461038280
2004-08-18,1502614824
2004-08-19,1487079300
2004-08-20,1524544104
2004-08-23,1506267420
2004-08-24,1489361315
2004-08-25,1487538444
2004-08-26,1496214215
2004-08-27,1523173524
2004-08-30,1491191040
2004-08-31,1496214215
2004-09-01,1488449880
2004-09-02,1506267420
2004-09-03,1482967560
2004-09-07,1512661175
2004-09-08,1482508415
2004-09-09,1461949715
2004-09-10,1538249904
2004-09-13,1559720040
2004-09-14,1571143824
2004-09-15,1585761060
2004-09-16,1607231195
2004-09-17,1587131640
2004-09-20,1610431500
2004-09-21,1606778904
2004-09-22,1572514404
2004-09-23,1558349460
2004-09-24,1545102804
2004-09-27,1540531920
2004-09-28,1500325955
2004-09-29,1511749740
2004-09-30,1500785100
2004-10-01,1585761060
2004-10-04,1560631475
2004-10-05,1561090620
2004-10-06,1595814264
2004-10-07,1585301915
2004-10-08,1561549764
2004-10-11,1581190175
2004-10-12,1583019900
2004-10-13,1578908160
2004-10-14,1583019900
2004-10-15,1577996724
2004-10-18,1583931335
2004-10-19,1567943520
2004-10-20,1507638000
2004-10-21,1508549435
2004-10-22,1487079300
2004-10-25,1438649855
2004-10-26,1428144360
2004-10-27,1494843635
2004-10-28,1490279604
2004-10-29,1505808275
2004-11-01,1553326284
2004-11-02,1518602640
2004-11-03,1559260895
2004-11-04,1565661504
2004-11-05,1588043075
2004-11-08,1535049600
2004-11-09,1525455540
2004-11-10,1555149155
2004-11-11,1583931335
2004-11-12,1581649320
2004-11-15,1593073104
2004-11-16,1590331944
2004-11-17,1569314100
2004-11-18,1529108135
2004-11-19,1491191040
