,GD
2000-05-08,11217830240
2000-05-09,11505980000
2000-05-10,11157799040
2000-05-11,11305876000
2000-05-12,11293869760
2000-05-15,11393921760
2000-05-16,11257851040
2000-05-17,10929680480
2000-05-18,11141790720
2000-05-19,11369909280
2000-05-22,11241842720
2000-05-23,11393921760
2000-05-24,11670065280
2000-05-25,11429940480
2000-05-26,11293869760
2000-05-30,11630044480
2000-05-31,11818142240
2000-06-01,12082279520
2000-06-02,11730096480
2000-06-05,11481967520
2000-06-06,11582019520
2000-06-07,11493973760
2000-06-08,11093765760
2000-06-09,11041738720
2000-06-12,11041738720
2000-06-13,10829628480
2000-06-14,11081759520
2000-06-15,11257851040
2000-06-16,11005720000
2000-06-19,10757591040
2000-06-20,10805616000
2000-06-21,10629524480
2000-06-22,10517466240
2000-06-23,10841634720
2000-06-26,10829628480
2000-06-27,10893661760
2000-06-28,10693557760
2000-06-29,10569493280
2000-06-30,10457435040
2000-07-03,10418517000
2000-07-05,10430437500
2000-07-06,10382755500
2000-07-07,10442358000
2000-07-10,10454278500
2000-07-11,10581430500
2000-07-12,10692688500
2000-07-13,10617192000
2000-07-14,10652953500
2000-07-17,10803946500
2000-07-18,10541695500
2000-07-19,10752291000
2000-07-20,11499309000
2000-07-21,11511229500
2000-07-24,11773480500
2000-07-25,11658249000
2000-07-26,11288713500
2000-07-27,11360236500
2000-07-28,11276793000
2000-07-31,11213217000
2000-08-01,11634408000
2000-08-02,11658249000
2000-08-03,11833083000
2000-08-04,12194671500
2000-08-07,12282088500
2000-08-08,12393346500
2000-08-09,12504604500
2000-08-10,12405267000
2000-08-11,12254274000
2000-08-14,12182751000
2000-08-15,12170830500
2000-08-16,12143016000
2000-08-17,12143016000
2000-08-18,12055599000
2000-08-21,12329770500
2000-08-22,12703279500
2000-08-23,12739041000
2000-08-24,12603942000
2000-08-25,12739041000
2000-08-28,12651624000
2000-08-29,12627783000
2000-08-30,12814537500
2000-08-31,12504604500
2000-09-01,12492684000
2000-09-05,12254274000
2000-09-06,12441028500
2000-09-07,12639703500
2000-09-08,12568180500
2000-09-11,12826458000
2000-09-12,12790696500
2000-09-13,12715200000
2000-09-14,12580101000
2000-09-15,12329770500
2000-09-18,12480763500
2000-09-19,12417187500
2000-09-20,12405267000
2000-09-21,12504604500
2000-09-22,12679438500
2000-09-25,12568180500
2000-09-26,12341691000
2000-09-27,12381426000
2000-09-28,12540366000
2000-09-29,12480763500
2000-10-02,12532167840
2000-10-03,12492231040
2000-10-04,12380408000
2000-10-05,12005002080
2000-10-06,12068900960
2000-10-09,11933115840
2000-10-10,12691915040
2000-10-11,12891599040
2000-10-12,13079302000
2000-10-13,13267004960
2000-10-16,13255023920
2000-10-17,13131219840
2000-10-18,13203106080
2000-10-19,13278986000
2000-10-20,13314929120
2000-10-23,13602474080
2000-10-24,13766214960
2000-10-25,13614455120
2000-10-26,13442726879
2000-10-27,13566530960
2000-10-30,14001842080
2000-10-31,14289387040
2000-11-01,14053759920
2000-11-02,13866056960
2000-11-03,13714297120
2000-11-06,13941936879
2000-11-07,13802158080
2000-11-08,13814139120
2000-11-09,13977880000
2000-11-10,13929955840
2000-11-13,14429165840
2000-11-14,14377248000
2000-11-15,14612875120
2000-11-16,14588913040
2000-11-17,14600894080
2000-11-20,14576932000
2000-11-21,14928375840
2000-11-22,14377248000
2000-11-24,14652811920
2000-11-27,14013823120
2000-11-28,13965898960
2000-11-29,14964318960
2000-11-30,15227901840
2000-12-01,14688755040
2000-12-04,14177564000
2000-12-05,14377248000
2000-12-06,13814139120
2000-12-07,13941936879
2000-12-08,14365266960
2000-12-11,14700736080
2000-12-12,14688755040
2000-12-13,14876458000
2000-12-14,14776616000
2000-12-15,14812559120
2000-12-18,15211927120
2000-12-19,15128059840
2000-12-20,14588913040
2000-12-21,14876458000
2000-12-22,14876458000
2000-12-26,14964318960
2000-12-27,15012243120
2000-12-28,15339724879
2000-12-29,15575352000
2001-01-02,15042099060
2001-01-03,14617248940
2001-01-04,13891797319
2001-01-05,13863741180
2001-01-08,13939893560
2001-01-09,13991997819
2001-01-10,14028070000
2001-01-11,13715444440
2001-01-12,13539091560
2001-01-16,13751516620
2001-01-17,13378770760
2001-01-18,13603219880
2001-01-19,13703420380
2001-01-22,14016045940
2001-01-23,13903821380
2001-01-24,14004021880
2001-01-25,14505024380
2001-01-26,14380775760
2001-01-29,14188390800
2001-01-30,14164342680
2001-01-31,14224462980
2001-02-01,14012037920
2001-02-02,14004021880
2001-02-05,13647308099
2001-02-06,13486987300
2001-02-07,13198409860
2001-02-08,13523059480
2001-02-09,13378770760
2001-02-12,13310634420
2001-02-13,13679372260
2001-02-14,13855725140
2001-02-15,13811636920
2001-02-16,14148310599
2001-02-20,14028070000
2001-02-21,13991997819
2001-02-22,13811636920
2001-02-23,13903821380
2001-02-26,14164342680
2001-02-27,13971957720
2001-02-28,13663340180
2001-03-01,13446907099
2001-03-02,13346706599
2001-03-05,13847709099
2001-03-06,13975965739
2001-03-07,14444904080
2001-03-08,14456928140
2001-03-09,14420855959
2001-03-12,13851717120
2001-03-13,13983981780
2001-03-14,13907829400
2001-03-15,13751516620
2001-03-16,13607227900
2001-03-19,13695404340
2001-03-20,13478971260
2001-03-21,13126265500
2001-03-22,12897808360
2001-03-23,12985984800
2001-03-26,12825664000
2001-03-27,12533078540
2001-03-28,12224461000
2001-03-29,12416845960
2001-03-30,12573158740
2001-04-02,12974411660
2001-04-03,12793485560
2001-04-04,12813588460
2001-04-05,13006576300
2001-04-06,13038740940
2001-04-09,13211625880
2001-04-10,13673992580
2001-04-11,13605642720
2001-04-12,13943371440
2001-04-16,13770486500
2001-04-17,13629766200
2001-04-18,14172544500
2001-04-19,14775631500
2001-04-20,14453985100
2001-04-23,14453985100
2001-04-24,14900269480
2001-04-25,14622849459
2001-04-26,15177689500
2001-04-27,15378718500
2001-04-30,15495315320
2001-05-01,15619953300
2001-05-02,15869229260
2001-05-03,15812941140
2001-05-04,15784797080
2001-05-07,15680262000
2001-05-08,15740570700
2001-05-09,15708406060
2001-05-10,15660159100
2001-05-11,15732529540
2001-05-14,15816961720
2001-05-15,15977784920
2001-05-16,16086340580
2001-05-17,16460254520
2001-05-18,16480357420
2001-05-21,16665304100
2001-05-22,16814065560
2001-05-23,16082320000
2001-05-24,15515418220
2001-05-25,15575726920
2001-05-29,15378718500
2001-05-30,15917476220
2001-05-31,15583768080
2001-06-01,15792838240
2001-06-04,15772735339
2001-06-05,16106443480
2001-06-06,15700364899
2001-06-07,15636035620
2001-06-08,15527479959
2001-06-11,15362636180
2001-06-12,15439027200
2001-06-13,15254080520
2001-06-14,14900269480
2001-06-15,14948516440
2001-06-18,15024907459
2001-06-19,15173668920
2001-06-20,15310368640
2001-06-21,15209854140
2001-06-22,14803775560
2001-06-25,14711302220
2001-06-26,14976660500
2001-06-27,15036969200
2001-06-28,15077175000
2001-06-29,15644076779
2001-07-02,15386903760
2001-07-03,15370787600
2001-07-05,15451368400
2001-07-06,15056522479
2001-07-09,15201567919
2001-07-10,15040406320
2001-07-11,15088754800
2001-07-12,15813982000
2001-07-13,15862330479
2001-07-16,16208827919
2001-07-17,15959027440
2001-07-18,16317612000
2001-07-19,16913909919
2001-07-20,16712457919
2001-07-23,16442512240
2001-07-24,16096014800
2001-07-25,16144363280
2001-07-26,16257176400
2001-07-27,16361931440
2001-07-30,16378047600
2001-07-31,16297466800
2001-08-01,16793038720
2001-08-02,16805125840
2001-08-03,16656051360
2001-08-06,16482802639
2001-08-07,16821242000
2001-08-08,16519064000
2001-08-09,16893764720
2001-08-10,17139536160
2001-08-13,16990461680
2001-08-14,16668138479
2001-08-15,16490860720
2001-08-16,16768864479
2001-08-17,16462657440
2001-08-20,16611731919
2001-08-21,16579499600
2001-08-22,16192711760
2001-08-23,16329699120
2001-08-24,16720516000
2001-08-27,16639935199
2001-08-28,16410279919
2001-08-29,16184653680
2001-08-30,16015434000
2001-08-31,15906649919
2001-09-04,15685052720
2001-09-05,15632675199
2001-09-06,15660878479
2001-09-07,15394961840
2001-09-10,15306322960
2001-09-17,16700370800
2001-09-18,16611731919
2001-09-19,16676196560
2001-09-20,15987230720
2001-09-21,16925997040
2001-09-24,17365162400
2001-09-25,17288610640
2001-09-26,17204000800
2001-09-27,18050099200
2001-09-28,17792240640
2001-10-01,17502149760
2001-10-02,17518265920
2001-10-03,18098447680
2001-10-04,18428828960
2001-10-05,18654455200
2001-10-08,19137940000
2001-10-09,18279754480
2001-10-10,18130680000
2001-10-11,17727776000
2001-10-12,17707630800
2001-10-15,18122621920
2001-10-16,18352277200
2001-10-17,16873619520
2001-10-18,16188682720
2001-10-19,16692312720
2001-10-22,17083129600
2001-10-23,16470715520
2001-10-24,16720516000
2001-10-25,17143565199
2001-10-26,17324872000
2001-10-29,16539209199
2001-10-30,16418338000
2001-10-31,16438483199
2001-11-01,16921968000
2001-11-02,17220116960
2001-11-05,17022694000
2001-11-06,16998519760
2001-11-07,16519064000
2001-11-08,16309553919
2001-11-09,16668138479
2001-11-12,16583528639
2001-11-13,15967085520
2001-11-14,16015434000
2001-11-15,15479571680
2001-11-16,16039608240
2001-11-19,16599644800
2001-11-20,16664109440
2001-11-21,16571441520
2001-11-23,16756777360
2001-11-26,16861532400
2001-11-27,16793038720
2001-11-28,16547267280
2001-11-29,16672167520
2001-11-30,16748719280
2001-12-03,16515034960
2001-12-04,16434454160
2001-12-05,16490860720
2001-12-06,16446541280
2001-12-07,16156450400
2001-12-10,15664907520
2001-12-11,15487629760
2001-12-12,16112130960
2001-12-13,15999317840
2001-12-14,16120189040
2001-12-17,16100043840
2001-12-18,15858301440
2001-12-19,15813982000
2001-12-20,15733401199
2001-12-21,15733401199
2001-12-24,15721314080
2001-12-26,15697139840
2001-12-27,15818011040
2001-12-28,15910678960
2001-12-31,16007082520
2002-01-02,16079440000
2002-01-03,16280433000
2002-01-04,16646240259
2002-01-07,16875372279
2002-01-08,16521624600
2002-01-09,16280433000
2002-01-10,15934725040
2002-01-11,15556858200
2002-01-14,15597056799
2002-01-15,15528719180
2002-01-16,15130753040
2002-01-17,15215170100
2002-01-18,15580977360
2002-01-22,15830208680
2002-01-23,15906586020
2002-01-24,16758796340
2002-01-25,16883412000
2002-01-28,17269318560
2002-01-29,16995968080
2002-01-30,17156762480
2002-01-31,18000933080
2002-02-01,17980833780
2002-02-04,17884357140
2002-02-05,17739642180
2002-02-06,17687384000
2002-02-07,17265298700
2002-02-08,17627086100
2002-02-11,17832098960
2002-02-12,17723562740
2002-02-13,17759741480
2002-02-14,17763761340
2002-02-15,18097409720
2002-02-19,18004952940
2002-02-20,18587832640
2002-02-21,18527534740
2002-02-22,17627086100
2002-02-25,17767781200
2002-02-26,18033091960
2002-02-27,18406938940
2002-02-28,18266243840
2002-03-01,18350660900
2002-03-04,19046096680
2002-03-05,18636070960
2002-03-06,18893342000
2002-03-07,18117509020
2002-03-08,17486391000
2002-03-11,18262223980
2002-03-12,18189866500
2002-03-13,18310462300
2002-03-14,18266243840
2002-03-15,18459197120
2002-03-18,18302422580
2002-03-19,18716468160
2002-03-20,18893342000
2002-03-21,18724507880
2002-03-22,18563713480
2002-03-25,18427038240
2002-03-26,18744607180
2002-03-27,19142573320
2002-03-28,18885302280
2002-04-01,19371355460
2002-04-02,19153382300
2002-04-03,19008066860
2002-04-04,19044395720
2002-04-05,19100907280
2002-04-08,19181638080
2002-04-09,19173565000
2002-04-10,19391538160
2002-04-11,19274478500
2002-04-12,19096870740
2002-04-15,18899080280
2002-04-16,18681107120
2002-04-17,18769911000
2002-04-18,18911189900
2002-04-19,19028249560
2002-04-22,18741655220
2002-04-23,19157418840
2002-04-24,19375392000
2002-04-25,19799228700
2002-04-26,19649876720
2002-04-29,19185674620
2002-04-30,19597401700
2002-05-01,19879959500
2002-05-02,20081786500
2002-05-03,20110042280
2002-05-06,19992982620
2002-05-07,19726570980
2002-05-08,19976836460
2002-05-09,20158480760
2002-05-10,20198846160
2002-05-13,20130224980
2002-05-14,20081786500
2002-05-15,20134261520
2002-05-16,20356271220
2002-05-17,20340125060
2002-05-20,20110042280
2002-05-21,20206919240
2002-05-22,20525805900
2002-05-23,20356271220
2002-05-24,20097932660
2002-05-28,19964726840
2002-05-29,19892069120
2002-05-30,20142334600
2002-05-31,20303796200
2002-06-03,20182700000
2002-06-04,20114078820
2002-06-05,19980873000
2002-06-06,19956653760
2002-06-07,19879959500
2002-06-10,20162517300
2002-06-11,20303796200
2002-06-12,20860838720
2002-06-13,20897167580
2002-06-14,20683230960
2002-06-17,21353296600
2002-06-18,21643927480
2002-06-19,21696402500
2002-06-20,22051618020
2002-06-21,22318029660
2002-06-24,21797316000
2002-06-25,20816436780
2002-06-26,20800290620
2002-06-27,21256419640
2002-06-28,21466319720
2002-07-01,21130509600
2002-07-02,20545791300
2002-07-03,20949045300
2002-07-05,21420852480
2002-07-08,21384559620
2002-07-09,21505535820
2002-07-10,20820004020
2002-07-11,19880422200
2002-07-12,19420712640
2002-07-15,19005361020
2002-07-16,19715088060
2002-07-17,18178690320
2002-07-18,17610102180
2002-07-19,16166452860
2002-07-22,16194680639
2002-07-23,16561641780
2002-07-24,17259271200
2002-07-25,17553646620
2002-07-26,17077806900
2002-07-29,16468893360
2002-07-30,16706813220
2002-07-31,16315656840
2002-08-01,16360014780
2002-08-02,16614064800
2002-08-05,15892240139
2002-08-06,16230973500
2002-08-07,16339852080
2002-08-08,17089904520
2002-08-09,17061676740
2002-08-12,16908440220
2002-08-13,15928533000
2002-08-14,15851914740
2002-08-15,15384140100
2002-08-16,15726906000
2002-08-19,16142257620
2002-08-20,15984988560
2002-08-21,16130160000
2002-08-22,16154355240
2002-08-23,15775296479
2002-08-26,15105894840
2002-08-27,15363977400
2002-08-28,15202675800
2002-08-29,15476888520
2002-08-30,15855947280
2002-09-03,15037341660
2002-09-04,15299456760
2002-09-05,15690613139
2002-09-06,15525279000
2002-09-09,15980956020
2002-09-10,16384210020
2002-09-11,16226940960
2002-09-12,16735041000
2002-09-13,16739073540
2002-09-16,17460898200
2002-09-17,16674552900
2002-09-18,16920537840
2002-09-19,16771333860
2002-09-20,16751171160
2002-09-23,17033448960
2002-09-24,16601967180
2002-09-25,16545511620
2002-09-26,16916505300
2002-09-27,16573739400
2002-09-30,16347631860
2002-10-01,16878216420
2002-10-02,16721452800
2002-10-03,16701354899
2002-10-04,16407925560
2002-10-07,16560669600
2002-10-08,15423128459
2002-10-09,15238227779
2002-10-10,15680381580
2002-10-11,16070280839
2002-10-14,16126554959
2002-10-15,16122535380
2002-10-16,15796949399
2002-10-17,15652244520
2002-10-18,15390971820
2002-10-21,15837145200
2002-10-22,15788910240
2002-10-23,16363710180
2002-10-24,16287338160
2002-10-25,16038124200
2002-10-28,15604009560
2002-10-29,15772831920
2002-10-30,15889399740
2002-10-31,15905478060
2002-11-01,15937634700
2002-11-04,15575872500
2002-11-05,15825086459
2002-11-06,16492336740
2002-11-07,16383808080
2002-11-08,16399886399
2002-11-11,16018026300
2002-11-12,16090378740
2002-11-13,15877341000
2002-11-14,15616068300
2002-11-15,15837145200
2002-11-18,15905478060
2002-11-19,16219005300
2002-11-20,16162731180
2002-11-21,16797824820
2002-11-22,16641061200
2002-11-25,16520473800
2002-11-26,16086359160
2002-11-27,16508415060
2002-11-29,16371749339
2002-12-02,16633022040
2002-12-03,16480278000
2002-12-04,16661159100
2002-12-05,16355671020
2002-12-06,16363710180
2002-12-09,16098417899
2002-12-10,16150672440
2002-12-11,16231064040
2002-12-12,16062241680
2002-12-13,15587931240
2002-12-16,15776851500
2002-12-17,15587931240
2002-12-18,15704499060
2002-12-19,16050182940
2002-12-20,15853223520
2002-12-23,15857243100
2002-12-24,15841164779
2002-12-26,15829106040
2002-12-27,15897438899
2002-12-30,15873321420
2002-12-31,15786935640
2003-01-02,16089230200
2003-01-03,16148893600
2003-01-06,16144916040
2003-01-07,15882397080
2003-01-08,15790913200
2003-01-09,15850576600
2003-01-10,15794890760
2003-01-13,15611923000
2003-01-14,15623855680
2003-01-15,15337471360
2003-01-16,15329516240
2003-01-17,14744814920
2003-01-21,14716972000
2003-01-22,12899227080
2003-01-23,12978778280
2003-01-24,13026509000
2003-01-27,12998666080
2003-01-28,13304938200
2003-01-29,13205499200
2003-01-30,13145835799
2003-01-31,13153790920
2003-02-03,13102082640
2003-02-04,13141858240
2003-02-05,13125948000
2003-02-06,13062307040
2003-02-07,13078217280
2003-02-10,13121970440
2003-02-11,13006621200
2003-02-12,12879339280
2003-02-13,12807743200
2003-02-14,12974800719
2003-02-18,12982755840
2003-02-19,13030486560
2003-02-20,12728192000
2003-02-21,12708304200
2003-02-24,12310548200
2003-02-25,12159400920
2003-02-26,12004276080
2003-02-27,11968478040
2003-02-28,11785510280
2003-03-03,11654250800
2003-03-04,11534924000
2003-03-05,11216719200
2003-03-06,10894536840
2003-03-07,10966132920
2003-03-10,10842828560
2003-03-11,10600197400
2003-03-12,10417229640
2003-03-13,10457005240
2003-03-14,10476893040
2003-03-17,11188876280
2003-03-18,11487193280
2003-03-19,11618452760
2003-03-20,11351956240
2003-03-21,11359911360
2003-03-24,11336046000
2003-03-25,11236607000
2003-03-26,11157055800
2003-03-27,11228651880
2003-03-28,11204786520
2003-03-31,10863097920
2003-04-01,10926209600
2003-04-02,11060321920
2003-04-03,10914376160
2003-04-04,10748708000
2003-04-07,10870986880
2003-04-08,10902542720
2003-04-09,10634318080
2003-04-10,10630373600
2003-04-11,10646151520
2003-04-14,10965654400
2003-04-15,11064266400
2003-04-16,11494214720
2003-04-17,11738772480
2003-04-21,11924163040
2003-04-22,12259443840
2003-04-23,12314666560
2003-04-24,12342277920
2003-04-25,12208165600
2003-04-28,12338333440
2003-04-29,12354111360
2003-04-30,12243665920
2003-05-01,11876829280
2003-05-02,12125331520
2003-05-05,12070108800
2003-05-06,12180554240
2003-05-07,12141109440
2003-05-08,11900496160
2003-05-09,12074053280
2003-05-12,12365944800
2003-05-13,12346222400
2003-05-14,12448778880
2003-05-15,12799837600
2003-05-16,12780115200
2003-05-19,12464556800
2003-05-20,12436945440
2003-05-21,12365944800
2003-05-22,12602613600
2003-05-23,12803782080
2003-05-27,12811671039
2003-05-28,12847171360
2003-05-29,12926060960
2003-05-30,13178507679
2003-06-02,13340231360
2003-06-03,13292897600
2003-06-04,13549288800
2003-06-05,13454621280
2003-06-06,13533510880
2003-06-09,13253452800
2003-06-10,13592678080
2003-06-11,14204072480
2003-06-12,14452574720
2003-06-13,14200128000
2003-06-16,14464408160
2003-06-17,15004801920
2003-06-18,15182303520
2003-06-19,14551186720
2003-06-20,15052135679
2003-06-23,14563020160
2003-06-24,14468352640
2003-06-25,14559075679
2003-06-26,14622187360
2003-06-27,14385518560
2003-06-30,14305047500
2003-07-01,14557605580
2003-07-02,14502358500
2003-07-03,14324778599
2003-07-07,14557605580
2003-07-08,14877249400
2003-07-09,14825948540
2003-07-10,14549713139
2003-07-11,14407649220
2003-07-14,14312939940
2003-07-15,14601014000
2003-07-16,15291602500
2003-07-17,15058775519
2003-07-18,15674385840
2003-07-21,15579676559
2003-07-22,15654654740
2003-07-23,15552053019
2003-07-24,15453397519
2003-07-25,15563891680
2003-07-28,15623084980
2003-07-29,15453397519
2003-07-30,15445505080
2003-07-31,15654654740
2003-08-01,15634923639
2003-08-04,15662547180
2003-08-05,15441558860
2003-08-06,15488913500
2003-08-07,15567837900
2003-08-08,15425773980
2003-08-11,15567837900
2003-08-12,15682278280
2003-08-13,15638869860
2003-08-14,15855911960
2003-08-15,15769095120
2003-08-18,16503092040
2003-08-19,16471522280
2003-08-20,16503092040
2003-08-21,16585962660
2003-08-22,16368920559
2003-08-25,16400490320
2003-08-26,16783273660
2003-08-27,16822735860
2003-08-28,16945068680
2003-08-29,16992423320
2003-09-02,17114756139
2003-09-03,17201572980
2003-09-04,17166057000
2003-09-05,16941122460
2003-09-08,16885875380
2003-09-09,16783273660
2003-09-10,16530715580
2003-09-11,16633317300
2003-09-12,16601747540
2003-09-15,16696456820
2003-09-16,17039777960
2003-09-17,16905606480
2003-09-18,16866144280
2003-09-19,16617532420
2003-09-22,16424167639
2003-09-23,15725686700
2003-09-24,15287656280
2003-09-25,15011420880
2003-09-26,15208731880
2003-09-29,15325470000
2003-09-30,15436208880
2003-10-01,15740740799
2003-10-02,15578587440
2003-10-03,15720966000
2003-10-06,15673506480
2003-10-07,15772380480
2003-10-08,15740740799
2003-10-09,15784245359
2003-10-10,16069002480
2003-10-13,16337939760
2003-10-14,16824399840
2003-10-15,16808580000
2003-10-16,16654336560
2003-10-17,16527777840
2003-10-20,16674111359
2003-10-21,16555462560
2003-10-22,16314210000
2003-10-23,16369579440
2003-10-24,16389354240
2003-10-27,16365624480
2003-10-28,16452633600
2003-10-29,16733435760
2003-10-30,16587102240
2003-10-31,16551507600
2003-11-03,16709706000
2003-11-04,16547552640
2003-11-05,16539642720
2003-11-06,16579192320
2003-11-07,16448678640
2003-11-10,16250930640
2003-11-11,16227200880
2003-11-12,16428903840
2003-11-13,16472408400
2003-11-14,16203471120
2003-11-17,16156011600
2003-11-18,15950353680
2003-11-19,16041317760
2003-11-20,15985948320
2003-11-21,15966173519
2003-11-24,16017588000
2003-11-25,15800065200
2003-11-26,15914759040
2003-11-28,15993858240
2003-12-01,16112507040
2003-12-02,16009678079
2003-12-03,16504048079
2003-12-04,16678066320
2003-12-05,16531732799
2003-12-08,16848129600
2003-12-09,16816489920
2003-12-10,16602922079
2003-12-11,16757165519
2003-12-12,16717615920
2003-12-15,16674111359
2003-12-16,16943048640
2003-12-17,17275265280
2003-12-18,17516517840
2003-12-19,17556067440
2003-12-22,17532337680
2003-12-23,17627256720
2003-12-24,17781500160
2003-12-26,17761725360
2003-12-29,17848734480
2003-12-30,17821049760
2003-12-31,17938932336
2004-01-02,17792087094
2004-01-05,17740492819
2004-01-06,17680960964
2004-01-07,18057996047
2004-01-08,18363592903
2004-01-09,18296123467
2004-01-12,18208810079
2004-01-13,18284217096
2004-01-14,18466781452
2004-01-15,18323904999
2004-01-16,18609657904
2004-01-20,18621564275
2004-01-21,18311998628
2004-01-22,18252466773
2004-01-23,18184997337
2004-01-26,18736659195
2004-01-27,18494562984
2004-01-28,18347717741
2004-01-29,18585845162
2004-01-30,18141340644
2004-02-02,18097683950
2004-02-03,18240560402
2004-02-04,18566001210
2004-02-05,18950973873
2004-02-06,19224820406
2004-02-09,19125600648
2004-02-10,19109725487
2004-02-11,19026380889
2004-02-12,19093850325
2004-02-13,19038287260
2004-02-17,19161319761
2004-02-18,19006536938
2004-02-19,18903348389
2004-02-20,18736659195
2004-02-23,18558063629
2004-02-24,18173090966
2004-02-25,18407249596
2004-02-26,18248497983
2004-02-27,18280248306
2004-03-01,18188966128
2004-03-02,18192934918
2004-03-03,18184997337
2004-03-04,18022276933
2004-03-05,17994495401
2004-03-08,17815899836
2004-03-09,17688898545
2004-03-10,17327738624
2004-03-11,17133267897
2004-03-12,17446802334
2004-03-15,17264237979
2004-03-16,17252331607
2004-03-17,17256300398
2004-03-18,17474583867
2004-03-19,17121361526
2004-03-22,17236456446
2004-03-23,17085642413
2004-03-24,17327738624
2004-03-25,17415052011
2004-03-26,17363457737
2004-03-29,17323769834
2004-03-30,17419020802
2004-03-31,17728586448
2004-04-01,17827806207
2004-04-02,17966713869
2004-04-05,18282119187
2004-04-06,18512582763
2004-04-07,18476821174
2004-04-08,18361589386
2004-04-12,18560264883
2004-04-13,18361589386
2004-04-14,18421192035
2004-04-15,18294039717
2004-04-16,18349668856
2004-04-19,18091390711
2004-04-20,18079470181
2004-04-21,18270198658
2004-04-22,18719205280
2004-04-23,18838410578
2004-04-26,18735099319
2004-04-27,18874172167
2004-04-28,18468874154
2004-04-29,18659602631
2004-04-30,18599999982
2004-05-03,18715231770
2004-05-04,18802648988
2004-05-05,18711258260
2004-05-06,18651655611
2004-05-07,18564238392
2004-05-10,18337748326
2004-05-11,18190728459
2004-05-12,18421192035
2004-05-13,18599999982
2004-05-14,18913907266
2004-05-17,18750993359
2004-05-18,18774834419
2004-05-19,18619867531
2004-05-20,18520529783
2004-05-21,18568211902
2004-05-24,18607947002
2004-05-25,18834437068
2004-05-26,18651655611
2004-05-27,19017218524
2004-05-28,19001324485
2004-06-01,19001324485
2004-06-02,19271523160
2004-06-03,19184105942
2004-06-04,19354966869
2004-06-07,19625165544
2004-06-08,19466225147
2004-06-09,19529801305
2004-06-10,19629139054
2004-06-14,19434437067
2004-06-15,19521854286
2004-06-16,19732450312
2004-06-17,19724503292
2004-06-18,19803973491
2004-06-21,19656953623
2004-06-22,19704635742
2004-06-23,19895364219
2004-06-24,19652980113
2004-06-25,19986754947
2004-06-28,19776158921
2004-06-29,19974834418
2004-06-30,19728476802
2004-07-01,19470198657
2004-07-02,19382781438
2004-07-06,19460000000
2004-07-07,19752000000
2004-07-08,20052000000
2004-07-09,20180000000
2004-07-12,20316000000
2004-07-13,20320000000
2004-07-14,19692000000
2004-07-15,19468000000
2004-07-16,19400000000
2004-07-19,19580000000
2004-07-20,19528000000
2004-07-21,19512000000
2004-07-22,19352000000
2004-07-23,19484000000
2004-07-26,19416000000
2004-07-27,19628000000
2004-07-28,19700000000
2004-07-29,19872000000
2004-07-30,19764000000
2004-08-02,20008000000
2004-08-03,19720000000
2004-08-04,19752000000
2004-08-05,19476000000
2004-08-06,19100000000
2004-08-09,19060000000
2004-08-10,19236000000
2004-08-11,19240000000
2004-08-12,18812000000
2004-08-13,18912000000
2004-08-16,19128000000
2004-08-17,19100000000
2004-08-18,19280000000
2004-08-19,19200000000
2004-08-20,19488000000
2004-08-23,19540000000
2004-08-24,19492000000
