,SRE
2002-05-03,2659334300
2002-05-06,2649066600
2002-05-07,2556657300
2002-05-08,2579246240
2002-05-09,2558710840
2002-05-10,2497104640
2002-05-13,2492997560
2002-05-14,2548443140
2002-05-15,2536121900
2002-05-16,2503265260
2002-05-17,2492997560
2002-05-20,2513532960
2002-05-21,2540228980
2002-05-22,2589513940
2002-05-23,2597728100
2002-05-24,2605942260
2002-05-28,2616209960
2002-05-29,2562817920
2002-05-30,2554603760
2002-05-31,2566925000
2002-06-03,2527907740
2002-06-04,2554603760
2002-06-05,2492997560
2002-06-06,2421123660
2002-06-07,2456033840
2002-06-10,2456033840
2002-06-11,2419070120
2002-06-12,2437551980
2002-06-13,2464248000
2002-06-14,2435498440
2002-06-17,2486836940
2002-06-18,2501211720
2002-06-19,2429337820
2002-06-20,2433444900
2002-06-21,2437551980
2002-06-24,2404695340
2002-06-25,2357463920
2002-06-26,2299964800
2002-06-27,2228090900
2002-06-28,2273268780
2002-07-01,2268597240
2002-07-02,2188673760
2002-07-03,2080059800
2002-07-05,2088257080
2002-07-08,2067763880
2002-07-09,1950952640
2002-07-10,1907916920
2002-07-11,1936607399
2002-07-12,1928410120
2002-07-15,2020629520
2002-07-16,1955051279
2002-07-17,1973495160
2002-07-18,1938656720
2002-07-19,1803401600
2002-07-22,1737823360
2002-07-23,1639456000
2002-07-24,1793155000
2002-07-25,1905867600
2002-07-26,1953001959
2002-07-29,2022678839
2002-07-30,2127194160
2002-07-31,2172279200
2002-08-01,2166131240
2002-08-02,2108750279
2002-08-05,2166131240
2002-08-06,2133342120
2002-08-07,2164081920
2002-08-08,2211216280
2002-08-09,2231709480
2002-08-12,2268597240
2002-08-13,2172279200
2002-08-14,2276794520
2002-08-15,2309583640
2002-08-16,2209166960
2002-08-19,2295238400
2002-08-20,2258350640
2002-08-21,2315731600
2002-08-22,2397704400
2002-08-23,2334175480
2002-08-26,2389507120
2002-08-27,2393605760
2002-08-28,2371063240
2002-08-29,2364915280
2002-08-30,2459184000
2002-09-03,2397704400
2002-09-04,2397704400
2002-09-05,2297287720
2002-09-06,2311632960
2002-09-09,2301386360
2002-09-10,2200969680
2002-09-11,2250153360
2002-09-12,2186624440
2002-09-13,2225561520
2002-09-16,2190723080
2002-09-17,2114898240
2002-09-18,2121046200
2002-09-19,2061615920
2002-09-20,2028826800
2002-09-23,1961199240
2002-09-24,1885374399
2002-09-25,1946854000
2002-09-26,2008333600
2002-09-27,1983741760
2002-09-30,2026779260
2002-10-01,2099016810
2002-10-02,2096952880
2002-10-03,2049482490
2002-10-04,1987564590
2002-10-07,1981372800
2002-10-08,1915327039
2002-10-09,1758468360
2002-10-10,1898815599
2002-10-11,1905007390
2002-10-14,1905007390
2002-10-15,1898815599
2002-10-16,1834833770
2002-10-17,1871984510
2002-10-18,1851345210
2002-10-21,2018523539
2002-10-22,2086633230
2002-10-23,2123783969
2002-10-24,2125847900
2002-10-25,2119656110
2002-10-28,2204277240
2002-10-29,2218724750
2002-10-30,2278578720
2002-10-31,2284770510
2002-11-01,2311601600
2002-11-04,2383839150
2002-11-05,2305409810
2002-11-06,2363199850
2002-11-07,2270323000
2002-11-08,2243491910
2002-11-11,2247619770
2002-11-12,2173318290
2002-11-13,2173318290
2002-11-14,2257939420
2002-11-15,2284770510
2002-11-18,2276514790
2002-11-19,2266195140
2002-11-20,2290962300
2002-11-21,2334304830
2002-11-22,2385903080
2002-11-25,2363199850
2002-11-26,2369391640
2002-11-27,2373519500
2002-11-29,2392094870
2002-12-02,2420989890
2002-12-03,2414798100
2002-12-04,2352880200
2002-12-05,2332240900
2002-12-06,2352880200
2002-12-09,2379711290
2002-12-10,2367327710
2002-12-11,2406542380
2002-12-12,2472588140
2002-12-13,2439565260
2002-12-16,2515930670
2002-12-17,2505611020
2002-12-18,2482907790
2002-12-19,2414798100
2002-12-20,2394158800
2002-12-23,2367327710
2002-12-24,2371455570
2002-12-26,2396222730
2002-12-27,2373519500
2002-12-30,2425117750
2002-12-31,2439565260
2003-01-02,2515930670
2003-01-03,2563401060
2003-01-06,2672789350
2003-01-07,2586104290
2003-01-08,2631510750
2003-01-09,2594360010
2003-01-10,2588168220
2003-01-13,2515930670
2003-01-14,2555145340
2003-01-15,2540697830
2003-01-16,2551017480
2003-01-17,2520058530
2003-01-21,2517994600
2003-01-22,2517994600
2003-01-23,2534506040
2003-01-24,2449884910
2003-01-27,2408606310
2003-01-28,2439565260
2003-01-29,2429245610
2003-01-30,2435437400
2003-01-31,2487035650
2003-02-03,2538633900
2003-02-04,2499419230
2003-02-05,2460204560
2003-02-06,2468460280
2003-02-07,2412734170
2003-02-10,2420989890
2003-02-11,2373519500
2003-02-12,2336368760
2003-02-13,2381775220
2003-02-14,2425117750
2003-02-18,2431309540
2003-02-19,2414798100
2003-02-20,2517994600
2003-02-21,2551017480
2003-02-24,2567528920
2003-02-25,2542761760
2003-02-26,2484971720
2003-02-27,2377647360
2003-02-28,2394158800
2003-03-03,2373519500
2003-03-04,2361135920
2003-03-05,2321921250
2003-03-06,2332240900
2003-03-07,2363199850
2003-03-10,2336368760
2003-03-11,2332240900
2003-03-12,2330176970
2003-03-13,2377647360
2003-03-14,2406542380
2003-03-17,2439565260
2003-03-18,2443693120
2003-03-19,2458140630
2003-03-20,2517994600
2003-03-21,2581976430
2003-03-24,2501483160
2003-03-25,2594360010
2003-03-26,2528314250
2003-03-27,2579912500
2003-03-28,2575784640
2003-03-31,2591172480
2003-04-01,2603630040
2003-04-02,2591172480
2003-04-03,2578714920
2003-04-04,2595325000
2003-04-07,2618163860
2003-04-08,2609858820
2003-04-09,2568333620
2003-04-10,2634773940
2003-04-11,2670070360
2003-04-14,2728205640
2003-04-15,2751044500
2003-04-16,2755197020
2003-04-17,2730281900
2003-04-21,2740663200
2003-04-22,2765578320
2003-04-23,2769730840
2003-04-24,2815408560
2003-04-25,2788417180
2003-04-28,2815408560
2003-04-29,2798798480
2003-04-30,2786340920
2003-05-01,2609858820
2003-05-02,2535113460
2003-05-05,2580791180
2003-05-06,2595325000
2003-05-07,2537189720
2003-05-08,2533037200
2003-05-09,2564181100
2003-05-12,2578714920
2003-05-13,2616087600
2003-05-14,2618163860
2003-05-15,2624392640
2003-05-16,2715748080
2003-05-19,2657612800
2003-05-20,2667994100
2003-05-21,2690832960
2003-05-22,2751044500
2003-05-23,2850704980
2003-05-27,2854857500
2003-05-28,2815408560
2003-05-29,2792569700
2003-05-30,2832018640
2003-06-02,2888077660
2003-06-03,2883925140
2003-06-04,2944136680
2003-06-05,2917145300
2003-06-06,2898458960
2003-06-09,2877696360
2003-06-10,2892230180
2003-06-11,2921297820
2003-06-12,2985661880
2003-06-13,2973204320
2003-06-16,3025110820
2003-06-17,3008500740
2003-06-18,3016805780
2003-06-19,2991890660
2003-06-20,3004348220
2003-06-23,3002271960
2003-06-24,2993966920
2003-06-25,2983585620
2003-06-26,3008500740
2003-06-27,2964899280
2003-06-30,2979804320
2003-07-01,2975628000
2003-07-02,3000685920
2003-07-03,2975628000
2003-07-07,2998597760
2003-07-08,2977716160
2003-07-09,2923424000
2003-07-10,2881660800
2003-07-11,2919247680
2003-07-14,2944305600
2003-07-15,2921335840
2003-07-16,2883748960
2003-07-17,2890013440
2003-07-18,2948481920
2003-07-21,2877484480
2003-07-22,2883748960
2003-07-23,2900454240
2003-07-24,2898366080
2003-07-25,2944305600
2003-07-28,2912983200
2003-07-29,2904630560
2003-07-30,2898366080
2003-07-31,2906718720
2003-08-01,2890013440
2003-08-04,2923424000
2003-08-05,2879572640
2003-08-06,2881660800
2003-08-07,2912983200
2003-08-08,2915071360
2003-08-11,2919247680
2003-08-12,2971451680
2003-08-13,2942217440
2003-08-14,2986068800
2003-08-15,2981892480
2003-08-18,2956834560
2003-08-19,2971451680
2003-08-20,3004862240
2003-08-21,3048713600
2003-08-22,2990245120
2003-08-25,3032008320
2003-08-26,3065418880
2003-08-27,3042449120
2003-08-28,3063330720
2003-08-29,3107182080
2003-09-02,3140592640
2003-09-03,3146857120
2003-09-04,3130151840
2003-09-05,3098829440
2003-09-08,3107182080
2003-09-09,3086300480
2003-09-10,3111358400
2003-09-11,3146857120
2003-09-12,3138504480
2003-09-15,3128063680
2003-09-16,3151033440
2003-09-17,3069595200
2003-09-18,3100917600
2003-09-19,3103005760
2003-09-22,3071683360
2003-09-23,3069595200
2003-09-24,3080036000
2003-09-25,3052889920
2003-09-26,3050801760
2003-09-29,3090476800
2003-09-30,3347847400
2003-10-01,3427666650
2003-10-02,3457313800
2003-10-03,3498363700
2003-10-06,3493802600
2003-10-07,3466436000
2003-10-08,3245222650
2003-10-09,3283992000
2003-10-10,3270308700
2003-10-13,3238381000
2003-10-14,3220136600
2003-10-15,3242942100
2003-10-16,3242942100
2003-10-17,3236100450
2003-10-20,3245222650
2003-10-21,3190489450
2003-10-22,3204172750
2003-10-23,3206453300
2003-10-24,3192770000
2003-10-27,3188208900
2003-10-28,3199611650
2003-10-29,3199611650
2003-10-30,3176806150
2003-10-31,3169964500
2003-11-03,3201892200
2003-11-04,3167683950
2003-11-05,3142597900
2003-11-06,3231539350
2003-11-07,3208733850
2003-11-10,3158561750
2003-11-11,3147159000
2003-11-12,3181367250
2003-11-13,3156281200
2003-11-14,3131195150
2003-11-17,3081023050
2003-11-18,3010326000
2003-11-19,3078742500
2003-11-20,3076461950
2003-11-21,3081023050
2003-11-24,3144878450
2003-11-25,3176806150
2003-11-26,3195050550
2003-11-28,3229258800
2003-12-01,3215575500
2003-12-02,3192770000
2003-12-03,3192770000
2003-12-04,3222417150
2003-12-05,3318200250
2003-12-08,3306797500
2003-12-09,3277150350
2003-12-10,3256625400
2003-12-11,3254344850
2003-12-12,3261186500
2003-12-15,3265747600
2003-12-16,3231539350
2003-12-17,3226978250
2003-12-18,3320480800
2003-12-19,3311358600
2003-12-22,3393458400
2003-12-23,3398019500
2003-12-24,3393458400
2003-12-26,3404861150
2003-12-29,3427666650
2003-12-30,3427666650
2003-12-31,3427666650
2004-01-02,3443630500
2004-01-05,3427666650
2004-01-06,3443630500
2004-01-07,3448191600
2004-01-08,3427666650
2004-01-09,3436788850
2004-01-12,3402580600
2004-01-13,3391177850
2004-01-14,3459594350
2004-01-15,3441349950
2004-01-16,3480119300
2004-01-20,3521169200
2004-01-21,3578182950
2004-01-22,3612391200
2004-01-23,3644318900
2004-01-26,3589585700
2004-01-27,3582744050
2004-01-28,3562219100
2004-01-29,3575902400
2004-01-30,3550816350
2004-02-02,3525730300
2004-02-03,3539413600
2004-02-04,3523449750
2004-02-05,3525730300
2004-02-06,3550816350
2004-02-09,3514327550
2004-02-10,3566780200
2004-02-11,3594146800
2004-02-12,3569060750
2004-02-13,3534852500
2004-02-17,3550816350
2004-02-18,3546255250
2004-02-19,3534852500
2004-02-20,3528010850
2004-02-23,3525730300
2004-02-24,3578182950
2004-02-25,3600988450
2004-02-26,3612391200
2004-02-27,3614671750
2004-03-01,3692210450
2004-03-02,3694491000
2004-03-03,3726418700
2004-03-04,3746943650
2004-03-05,3758346400
2004-03-08,3751504750
2004-03-09,3730979800
2004-03-10,3687649350
2004-03-11,3616952300
2004-03-12,3639757800
2004-03-15,3628355050
2004-03-16,3662563299
2004-03-17,3749224200
2004-03-18,3644318900
2004-03-19,3607830100
2004-03-22,3580463500
2004-03-23,3571341300
2004-03-24,3562219100
2004-03-25,3562219100
2004-03-26,3539413600
2004-03-29,3557658000
2004-03-30,3635196700
2004-03-31,3663868800
2004-04-01,3686912000
2004-04-02,3700737919
2004-04-05,3700737919
2004-04-06,3698433600
2004-04-07,3709955200
2004-04-08,3700737919
2004-04-12,3654651520
2004-04-13,3583217600
2004-04-14,3606260800
2004-04-15,3599347840
2004-04-16,3603956480
2004-04-19,3590130560
2004-04-20,3601652160
2004-04-21,3594739200
2004-04-22,3631608320
2004-04-23,3656955840
2004-04-26,3659260160
2004-04-27,3645434240
2004-04-28,3597043520
2004-04-29,3617782400
2004-04-30,3659260160
2004-05-03,3712259520
2004-05-04,3739911360
2004-05-05,3790606400
2004-05-06,3792910720
2004-05-07,3712259520
2004-05-10,3613173760
2004-05-11,3587826240
2004-05-12,3610869440
2004-05-13,3603956480
2004-05-14,3645434240
2004-05-17,3620086720
2004-05-18,3597043520
2004-05-19,3580913280
2004-05-20,3594739200
2004-05-21,3597043520
2004-05-24,3626999680
2004-05-25,3732998400
2004-05-26,3739911360
2004-05-27,3795215039
2004-05-28,3843605760
2004-06-01,3832084160
2004-06-02,3855127360
2004-06-03,3850518720
2004-06-04,3829779840
2004-06-07,3949604480
2004-06-08,3905822400
2004-06-09,3905822400
2004-06-10,3977256320
2004-06-14,3991082240
2004-06-15,3963430400
2004-06-16,3963430400
2004-06-17,3974952000
2004-06-18,3986473600
2004-06-21,3974952000
2004-06-22,3986473600
2004-06-23,3970343360
2004-06-24,3981864960
2004-06-25,3972647679
2004-06-28,3972647679
2004-06-29,3919648320
2004-06-30,3947560960
2004-07-01,3931504640
2004-07-02,3965911040
2004-07-06,3979673600
2004-07-07,3991142399
2004-07-08,3963617280
2004-07-09,3956736000
2004-07-12,3931504640
2004-07-13,3931504640
2004-07-14,3926917120
2004-07-15,3993436160
2004-07-16,4066836480
2004-07-19,4124180480
2004-07-20,4142530559
2004-07-21,4059955200
2004-07-22,4066836480
2004-07-23,3995729920
2004-07-26,4011786239
2004-07-27,3988848640
2004-07-28,4030136320
2004-07-29,4080599040
2004-07-30,4101242880
2004-08-02,4121886719
2004-08-03,4133355520
2004-08-04,4181524480
2004-08-05,4128768000
2004-08-06,4140236800
2004-08-09,4108124160
2004-08-10,4087480320
2004-08-11,4076011520
2004-08-12,4076011520
2004-08-13,4076011520
2004-08-16,4096655360
2004-08-17,4112711680
2004-08-18,4167761920
2004-08-19,4174643200
2004-08-20,4209049600
2004-08-23,4170055680
