,AES
2000-10-26,22545517266
2000-10-27,23982241405
2000-10-30,24702813820
2000-10-31,24976896579
2000-11-01,26829165546
2000-11-02,26913158650
2000-11-03,27076724167
2000-11-06,27766351754
2000-11-07,28376406927
2000-11-08,28071379341
2000-11-09,27602786237
2000-11-10,27244710374
2000-11-13,25861034511
2000-11-14,24923848303
2000-11-15,25197931062
2000-11-16,25418965545
2000-11-17,26082068994
2000-11-20,25365917269
2000-11-21,23761206922
2000-11-22,24008765543
2000-11-24,24702813820
2000-11-27,25003420716
2000-11-28,24618820716
2000-11-29,24508303475
2000-11-30,22934537956
2000-12-01,22850544852
2000-12-04,21687903471
2000-12-05,21440344851
2000-12-06,21055744850
2000-12-07,20114137953
2000-12-08,21329827609
2000-12-11,22461524162
2000-12-12,22076924162
2000-12-13,22740027611
2000-12-14,21855889679
2000-12-15,22076924162
2000-12-18,23182096577
2000-12-19,23429655198
2000-12-20,23292613818
2000-12-21,22324482783
2000-12-22,23208620715
2000-12-26,24671868992
2000-12-27,24729337958
2000-12-28,24813331061
2000-12-29,24481779337
2001-01-02,27534862464
2001-01-03,26571807371
2001-01-04,26502637668
2001-01-05,27337994849
2001-01-08,27933918442
2001-01-09,28364898898
2001-01-10,27870069486
2001-01-11,27071957530
2001-01-12,28003088145
2001-01-16,27167730965
2001-01-17,27502937986
2001-01-18,28035012623
2001-01-19,28301049942
2001-01-22,28700105919
2001-01-23,30062216990
2001-01-24,30328254309
2001-01-25,29865349374
2001-01-26,31227460445
2001-01-29,31764855828
2001-01-30,30009009526
2001-01-31,30663461330
2001-02-01,30195235649
2001-02-02,30860328946
2001-02-05,30195235649
2001-02-06,29423727426
2001-02-07,30392103265
2001-02-08,30695385808
2001-02-09,31701006872
2001-02-12,30195235649
2001-02-13,30429348490
2001-02-14,30264405352
2001-02-15,30370820279
2001-02-16,30849687453
2001-02-20,31174252981
2001-02-21,31051875815
2001-02-22,30104782961
2001-02-23,28519200543
2001-02-26,29370519962
2001-02-27,29269425781
2001-02-28,28716068158
2001-03-01,29077878912
2001-03-02,29711047730
2001-03-05,30115424454
2001-03-06,30333575055
2001-03-07,30328254309
2001-03-08,30870970438
2001-03-09,29716368476
2001-03-12,27800899783
2001-03-13,26209996618
2001-03-14,25997166763
2001-03-15,26412184980
2001-03-16,25278866003
2001-03-19,24821281816
2001-03-20,25544903322
2001-03-21,25300148989
2001-03-22,22985624318
2001-03-23,23400642535
2001-03-26,24725508381
2001-03-27,26390901995
2001-03-28,26337694531
2001-03-29,26092940198
2001-03-30,26582448864
2001-04-02,26401320000
2001-04-03,25408350000
2001-04-04,23390550000
2001-04-05,22833000000
2001-04-06,23348070000
2001-04-09,24096780000
2001-04-10,24882660000
2001-04-11,25907490000
2001-04-12,26231400000
2001-04-16,26348220000
2001-04-17,26576550000
2001-04-18,27319950000
2001-04-19,27612000000
2001-04-20,26364150000
2001-04-23,25833150000
2001-04-24,25514550000
2001-04-25,25488000000
2001-04-26,24957000000
2001-04-27,25195950000
2001-04-30,25312770000
2001-05-01,24027750000
2001-05-02,25647300000
2001-05-03,25663230000
2001-05-04,25753500000
2001-05-07,25355250000
2001-05-08,24537510000
2001-05-09,23794110000
2001-05-10,23098500000
2001-05-11,23517990000
2001-05-14,22822380000
2001-05-15,22461300000
2001-05-16,22275450000
2001-05-17,24001200000
2001-05-18,24293250000
2001-05-21,24457860000
2001-05-22,25089750000
2001-05-23,25296840000
2001-05-24,24803010000
2001-05-25,24346350000
2001-05-29,24107400000
2001-05-30,23661360000
2001-05-31,24107400000
2001-06-01,23857830000
2001-06-04,23677290000
2001-06-05,22588740000
2001-06-06,22551570000
2001-06-07,21425850000
2001-06-08,21967470000
2001-06-11,22567500000
2001-06-12,22790520000
2001-06-13,22254210000
2001-06-14,21749760000
2001-06-15,22795830000
2001-06-18,22572810000
2001-06-19,22302000000
2001-06-20,22302000000
2001-06-21,22068360000
2001-06-22,21802860000
2001-06-25,22036500000
2001-06-26,22063050000
2001-06-27,22450680000
2001-06-28,23310900000
2001-06-29,22859550000
2001-07-02,23247180000
2001-07-03,22833000000
2001-07-05,22339170000
2001-07-06,22540950000
2001-07-09,22965750000
2001-07-10,23045400000
2001-07-11,22302000000
2001-07-12,20809890000
2001-07-13,20401020000
2001-07-16,20172690000
2001-07-17,20082420000
2001-07-18,19344330000
2001-07-19,19477080000
2001-07-20,18967320000
2001-07-23,18611550000
2001-07-24,18585000000
2001-07-25,18558450000
2001-07-26,18107100000
2001-07-27,19806300000
2001-07-30,19954980000
2001-07-31,20337300000
2001-08-01,20645280000
2001-08-02,20655900000
2001-08-03,20693070000
2001-08-06,20050560000
2001-08-07,20172690000
2001-08-08,19062900000
2001-08-09,18892980000
2001-08-10,18887670000
2001-08-13,18871740000
2001-08-14,18622170000
2001-08-15,18733680000
2001-08-16,18531900000
2001-08-17,18091170000
2001-08-20,18027450000
2001-08-21,18314190000
2001-08-22,18123030000
2001-08-23,18500040000
2001-08-24,18754920000
2001-08-27,18919530000
2001-08-28,18999180000
2001-08-29,18898290000
2001-08-30,17337150000
2001-08-31,17586720000
2001-09-04,16944210000
2001-09-05,16317630000
2001-09-06,15967170000
2001-09-07,15706980000
2001-09-10,15399000000
2001-09-17,14602500000
2001-09-18,13136940000
2001-09-19,12297960000
2001-09-20,12913920000
2001-09-21,12876750000
2001-09-24,13328100000
2001-09-25,12876750000
2001-09-26,6504750000
2001-09-27,7019820000
2001-09-28,6807420000
2001-10-01,6289500000
2001-10-02,6557250000
2001-10-03,6877500000
2001-10-04,7087500000
2001-10-05,7155750000
2001-10-08,6982500000
2001-10-09,6903750000
2001-10-10,7239750000
2001-10-11,7728000000
2001-10-12,7890750000
2001-10-15,7806750000
2001-10-16,7796250000
2001-10-17,7539000000
2001-10-18,7229250000
2001-10-19,7518000000
2001-10-22,7281750000
2001-10-23,7066500000
2001-10-24,6924750000
2001-10-25,6882750000
2001-10-26,7686000000
2001-10-29,7386750000
2001-10-30,7213500000
2001-10-31,7271250000
2001-11-01,7318500000
2001-11-02,7108500000
2001-11-05,7234500000
2001-11-06,7066500000
2001-11-07,6798750000
2001-11-08,6867000000
2001-11-09,7281750000
2001-11-12,7413000000
2001-11-13,7775250000
2001-11-14,7843500000
2001-11-15,8347500000
2001-11-16,8898750000
2001-11-19,9261000000
2001-11-20,9124500000
2001-11-21,8877750000
2001-11-23,9156000000
2001-11-26,9014250000
2001-11-27,8820000000
2001-11-28,8436750000
2001-11-29,8673000000
2001-11-30,8673000000
2001-12-03,8436750000
2001-12-04,8720250000
2001-12-05,8914500000
2001-12-06,8809500000
2001-12-07,8662500000
2001-12-10,7743750000
2001-12-11,7313250000
2001-12-12,7554750000
2001-12-13,7617750000
2001-12-14,7638750000
2001-12-17,7512750000
2001-12-18,7712250000
2001-12-19,7922250000
2001-12-20,7581000000
2001-12-21,7481250000
2001-12-24,7617750000
2001-12-26,7822500000
2001-12-27,8531250000
2001-12-28,8725500000
2001-12-31,8845350000
2002-01-02,9083390000
2002-01-03,8926500000
2002-01-04,9440450000
2002-01-07,9651440000
2002-01-08,9613570000
2002-01-09,9359300000
2002-01-10,9305200000
2002-01-11,8888630000
2002-01-14,8802070000
2002-01-15,8807480000
2002-01-16,8683050000
2002-01-17,8358450000
2002-01-18,8385500000
2002-01-22,8412550000
2002-01-23,8196150000
2002-01-24,8363860000
2002-01-25,8315170000
2002-01-28,8158280000
2002-01-29,7790400000
2002-01-30,7492850000
2002-01-31,7330550000
2002-02-01,7195300000
2002-02-04,6638070000
2002-02-05,6232320000
2002-02-06,5355900000
2002-02-07,5561480000
2002-02-08,5415410000
2002-02-11,5642630000
2002-02-12,5491150000
2002-02-13,5415410000
2002-02-14,5139500000
2002-02-15,3787000000
2002-02-19,2569750000
2002-02-20,2299250000
2002-02-21,2223510000
2002-02-22,2234330000
2002-02-25,2623850000
2002-02-26,2710410000
2002-02-27,2699590000
2002-02-28,2791560000
2002-03-01,2699590000
2002-03-04,2786150000
2002-03-05,3218950000
2002-03-06,3462400000
2002-03-07,3916840000
2002-03-08,4484890000
2002-03-11,4874410000
2002-03-12,4755390000
2002-03-13,4598500000
2002-03-14,4544400000
2002-03-15,4252260000
2002-03-18,4760800000
2002-03-19,4960970000
2002-03-20,4923100000
2002-03-21,4998840000
2002-03-22,4733750000
2002-03-25,4869000000
2002-03-26,4760800000
2002-03-27,4923100000
2002-03-28,4869000000
2002-04-01,4847100000
2002-04-02,4708000000
2002-04-03,4793600000
2002-04-04,4847100000
2002-04-05,4905950000
2002-04-08,4745450000
2002-04-09,4686600000
2002-04-10,4708000000
2002-04-11,4520750000
2002-04-12,4547500000
2002-04-15,3959000000
2002-04-16,4162300000
2002-04-17,4253250000
2002-04-18,4199750000
2002-04-19,4114150000
2002-04-22,4001800000
2002-04-23,4221150000
2002-04-24,3900150000
2002-04-25,4231850000
2002-04-26,4076700000
2002-04-29,4247900000
2002-04-30,4290700000
2002-05-01,4467250000
2002-05-02,4547500000
2002-05-03,4408400000
2002-05-06,4280000000
2002-05-07,4092750000
2002-05-08,4173000000
2002-05-09,3905500000
2002-05-10,3595200000
2002-05-13,3643350000
2002-05-14,3745000000
2002-05-15,3659400000
2002-05-16,3504250000
2002-05-17,3295600000
2002-05-20,3477500000
2002-05-21,3482850000
2002-05-22,3584500000
2002-05-23,3531000000
2002-05-24,3547050000
2002-05-28,3605900000
2002-05-29,3482850000
2002-05-30,3461450000
2002-05-31,3504250000
2002-06-03,3145800000
2002-06-04,3022750000
2002-06-05,2803400000
2002-06-06,2402150000
2002-06-07,2086500000
2002-06-10,2140000000
2002-06-11,1899250000
2002-06-12,2450300000
2002-06-13,2600100000
2002-06-14,2658950000
2002-06-17,2717800000
2002-06-18,2685700000
2002-06-19,2824800000
2002-06-20,2589400000
2002-06-21,2461000000
2002-06-24,2209550000
2002-06-25,2156050000
2002-06-26,2305850000
2002-06-27,2664300000
2002-06-28,2899700000
2002-07-01,2498620000
2002-07-02,2168000000
2002-07-03,2157160000
2002-07-05,2243880000
2002-07-08,2195100000
2002-07-09,2048760000
2002-07-10,2124640000
2002-07-11,1918680000
2002-07-12,1810280000
2002-07-15,1761500000
2002-07-16,1691040000
2002-07-17,1680200000
2002-07-18,1512180000
2002-07-19,1642260000
2002-07-22,1571800000
2002-07-23,1214080000
2002-07-24,1327900000
2002-07-25,959340000
2002-07-26,845520000
2002-07-29,1192400000
2002-07-30,1149040000
2002-07-31,1111100000
2002-08-01,1149040000
2002-08-02,1165300000
2002-08-05,1116520000
2002-08-06,1062320000
2002-08-07,975600000
2002-08-08,1132780000
2002-08-09,1219500000
2002-08-12,1159880000
2002-08-13,1138200000
2002-08-14,1132780000
2002-08-15,1094840000
2002-08-16,1105680000
2002-08-19,1127360000
2002-08-20,1192400000
2002-08-21,1306220000
2002-08-22,1707300000
2002-08-23,1772340000
2002-08-26,1712720000
2002-08-27,1701880000
2002-08-28,1691040000
2002-08-29,1728980000
2002-08-30,1636840000
2002-09-03,1447140000
2002-09-04,1392940000
2002-09-05,1457980000
2002-09-06,1495920000
2002-09-09,1495920000
2002-09-10,1528440000
2002-09-11,1696460000
2002-09-12,1663940000
2002-09-13,1712720000
2002-09-16,1598900000
2002-09-17,1653100000
2002-09-18,1642260000
2002-09-19,1490500000
2002-09-20,1582640000
2002-09-23,1376680000
2002-09-24,1311640000
2002-09-25,1355000000
2002-09-26,1420040000
2002-09-27,1333320000
2002-09-30,1352932411
2002-10-01,1385273425
2002-10-02,1385273425
2002-10-03,1126545314
2002-10-04,1067253456
2002-10-07,932499231
2002-10-08,689941628
2002-10-09,592918586
2002-10-10,625259600
2002-10-11,776184331
2002-10-14,749233486
2002-10-15,641430107
2002-10-16,512066052
2002-10-17,565967741
2002-10-18,695331797
2002-10-21,733062979
2002-10-22,738453148
2002-10-23,722282641
2002-10-24,689941628
2002-10-25,636039938
2002-10-28,662990783
2002-10-29,668380952
2002-10-30,684551459
2002-10-31,954059907
2002-11-01,1067253456
2002-11-04,997181259
2002-11-05,1083423962
2002-11-06,1234348694
2002-11-07,1034912442
2002-11-08,1072643625
2002-11-11,830086021
2002-11-12,840866359
2002-11-13,824695852
2002-11-14,830086021
2002-11-15,819305683
2002-11-18,813915514
2002-11-19,706112135
2002-11-20,760013824
2002-11-21,830086021
2002-11-22,954059907
2002-11-25,1207397849
2002-11-26,1137325652
2002-11-27,1228958525
2002-11-29,1142715821
2002-12-02,1358322580
2002-12-03,1482296466
2002-12-04,1660172042
2002-12-05,1482296466
2002-12-06,1396053763
2002-12-09,1466125959
2002-12-10,1590099846
2002-12-11,1606270353
2002-12-12,1730244239
2002-12-13,1751804915
2002-12-16,1832657449
2002-12-17,1870388632
2002-12-18,1924290322
2002-12-19,1767975422
2002-12-20,1670952380
2002-12-23,1520027649
2002-12-24,1590099846
2002-12-26,1633221197
2002-12-27,1573929339
2002-12-30,1590099846
2002-12-31,1755375000
2003-01-02,1883250000
2003-01-03,2005312500
2003-01-06,2005312500
2003-01-07,1958812500
2003-01-08,1947187500
2003-01-09,2028562500
2003-01-10,1953000000
2003-01-13,2022750000
2003-01-14,2139000000
2003-01-15,2255250000
2003-01-16,2325000000
2003-01-17,2348250000
2003-01-21,2301750000
2003-01-22,2092500000
2003-01-23,2162250000
2003-01-24,1964625000
2003-01-27,1830937500
2003-01-28,2022750000
2003-01-29,2098312500
2003-01-30,2080875000
2003-01-31,2016937500
2003-02-03,1976250000
2003-02-04,1912312500
2003-02-05,1772812500
2003-02-06,1894874999
2003-02-07,1737937500
2003-02-10,1581000000
2003-02-11,1720500000
2003-02-12,1644937500
2003-02-13,1970437500
2003-02-14,1860000000
2003-02-18,1825125000
2003-02-19,1813500000
2003-02-20,1906500000
2003-02-21,1982062500
2003-02-24,1935562500
2003-02-25,1877437500
2003-02-26,1923937500
2003-02-27,1836750000
2003-02-28,1929750000
2003-03-03,1964625000
2003-03-04,1900687500
2003-03-05,1918125000
2003-03-06,1918125000
2003-03-07,1877437500
2003-03-10,1848375000
2003-03-11,1842562500
2003-03-12,1767000000
2003-03-13,1860000000
2003-03-14,1813500000
2003-03-17,1848375000
2003-03-18,1958812500
2003-03-19,1970437500
2003-03-20,1871625000
2003-03-21,1923937500
2003-03-24,1906500000
2003-03-25,2139000000
2003-03-26,2075062500
2003-03-27,2109937500
2003-03-28,2104125000
2003-03-31,2122636362
2003-04-01,2198863635
2003-04-02,2286818180
2003-04-03,2345454544
2003-04-04,2755909089
2003-04-07,2802818180
2003-04-08,2667954543
2003-04-09,2615181816
2003-04-10,2550681816
2003-04-11,2515499998
2003-04-14,2603454543
2003-04-15,2609318180
2003-04-16,2585863634
2003-04-17,2615181816
2003-04-21,2708999998
2003-04-22,2931818180
2003-04-23,2908363634
2003-04-24,3154636361
2003-04-25,3195681816
2003-04-28,3318818179
2003-04-29,3512318179
2003-04-30,3524045452
2003-05-01,3494727270
2003-05-02,4040045452
2003-05-05,3793772724
2003-05-06,3617863634
2003-05-07,3664772725
2003-05-08,3658909088
2003-05-09,3840681815
2003-05-12,4075227270
2003-05-13,3928636361
2003-05-14,3981409088
2003-05-15,4063499997
2003-05-16,4333227270
2003-05-19,4274590906
2003-05-20,4327363633
2003-05-21,4045909088
2003-05-22,4127999997
2003-05-23,4292181815
2003-05-27,4649863633
2003-05-28,4485681815
2003-05-29,4649863633
2003-05-30,4643999997
2003-06-02,4749545451
2003-06-03,4749545451
2003-06-04,4866818178
2003-06-05,4907863633
2003-06-06,4591227269
2003-06-09,4720227269
2003-06-10,4497409088
2003-06-11,4655727269
2003-06-12,4720227269
2003-06-13,4673318178
2003-06-16,4808181815
2003-06-17,4333227270
2003-06-18,4192499997
2003-06-19,4221818179
2003-06-20,4063499997
2003-06-23,3799636361
2003-06-24,3723409088
2003-06-25,3869999997
2003-06-26,3864136361
2003-06-27,3740999997
2003-06-30,4021666664
2003-07-01,3977333331
2003-07-02,4401666664
2003-07-03,4521999997
2003-07-07,4610666664
2003-07-08,4540999997
2003-07-09,4591666664
2003-07-10,4433333331
2003-07-11,4464999997
2003-07-14,4496666664
2003-07-15,4464999997
2003-07-16,4414333331
2003-07-17,4382666664
2003-07-18,4369999997
2003-07-21,4122999997
2003-07-22,4331999997
2003-07-23,4230666664
2003-07-24,4376333331
2003-07-25,4338333331
2003-07-28,4262333331
2003-07-29,4173666664
2003-07-30,3989999997
2003-07-31,3983666664
2003-08-01,3850666664
2003-08-04,3787333331
2003-08-05,3806333331
2003-08-06,3799999998
2003-08-07,3742999998
2003-08-08,3825333331
2003-08-11,3825333331
2003-08-12,3958333331
2003-08-13,4008999997
2003-08-14,4015333331
2003-08-15,3964666664
2003-08-18,3875999997
2003-08-19,3882333331
2003-08-20,4065999997
2003-08-21,4186333331
2003-08-22,4135666664
2003-08-25,3983666664
2003-08-26,3939333331
2003-08-27,4008999997
2003-08-28,4008999997
2003-08-29,4103999997
2003-09-02,4198999997
2003-09-03,4236999997
2003-09-04,4414333331
2003-09-05,4496666664
2003-09-08,4553666664
2003-09-09,4464999997
2003-09-10,4363666664
2003-09-11,4490333330
2003-09-12,4578999997
2003-09-15,4597999997
2003-09-16,4876666664
2003-09-17,4699333330
2003-09-18,4749999997
2003-09-19,4737333330
2003-09-22,4737333330
2003-09-23,4749999997
2003-09-24,4471333330
2003-09-25,4528333330
2003-09-26,4749999997
2003-09-29,4667666664
2003-09-30,4397441177
2003-10-01,4492264707
2003-10-02,4486338236
2003-10-03,4705617648
2003-10-06,4646352942
2003-10-07,4723397060
2003-10-08,4711544119
2003-10-09,4687838236
2003-10-10,4640426471
2003-10-13,4782661766
2003-10-14,4853779413
2003-10-15,4681911766
2003-10-16,4859705883
2003-10-17,4758955883
2003-10-20,4889338236
2003-10-21,4764882354
2003-10-22,4646352942
2003-10-23,4717470589
2003-10-24,4824147060
2003-10-27,4735250001
2003-10-28,4830073530
2003-10-29,4818220589
2003-10-30,5268632354
2003-10-31,5185661766
2003-11-03,5239000001
2003-11-04,5375308825
2003-11-05,5256779413
2003-11-06,5114544119
2003-11-07,5357529413
2003-11-10,5161955883
2003-11-11,5221220589
2003-11-12,5369382354
2003-11-13,5339750001
2003-11-14,5286411766
2003-11-17,5126397060
2003-11-18,5019720589
2003-11-19,4984161766
2003-11-20,4859705883
2003-11-21,4830073530
2003-11-24,4972308825
2003-11-25,5108617648
2003-11-26,5185661766
2003-11-28,5256779413
2003-12-01,5363455883
2003-12-02,5215294119
2003-12-03,4865632354
2003-12-04,4782661766
2003-12-05,4818220589
2003-12-08,4812294119
2003-12-09,4770808824
2003-12-10,4687838236
2003-12-11,4670058824
2003-12-12,4865632354
2003-12-15,4972308825
2003-12-16,5037500001
2003-12-17,5037500001
2003-12-18,5185661766
2003-12-19,5185661766
2003-12-22,5203441178
2003-12-23,5298264707
2003-12-24,5262705883
2003-12-26,5286411766
2003-12-29,5505691178
2003-12-30,5630147060
2003-12-31,5664000000
2004-01-02,5688000000
2004-01-05,5802000000
2004-01-06,5838000000
2004-01-07,6030000000
2004-01-08,5988000000
2004-01-09,6054000000
2004-01-12,6048000000
2004-01-13,5976000000
2004-01-14,6000000000
2004-01-15,5946000000
2004-01-16,5988000000
2004-01-20,6222000000
2004-01-21,6426000000
2004-01-22,6390000000
2004-01-23,6408000000
2004-01-26,6408000000
2004-01-27,6342000000
2004-01-28,6240000000
2004-01-29,5772000000
2004-01-30,5856000000
2004-02-02,5664000000
2004-02-03,5742000000
2004-02-04,5382000000
2004-02-05,5418000000
2004-02-06,5682000000
2004-02-09,5796000000
2004-02-10,5772000000
2004-02-11,5712000000
2004-02-12,5640000000
2004-02-13,5472000000
2004-02-17,5538000000
2004-02-18,5550000000
2004-02-19,5538000000
2004-02-20,5448000000
2004-02-23,5316000000
2004-02-24,5142000000
2004-02-25,5376000000
2004-02-26,5370000000
2004-02-27,5436000000
2004-03-01,5394000000
2004-03-02,5316000000
2004-03-03,5214000000
2004-03-04,5292000000
2004-03-05,5250000000
2004-03-08,5136000000
2004-03-09,5046000000
2004-03-10,4896000000
2004-03-11,4812000000
2004-03-12,4860000000
2004-03-15,4860000000
2004-03-16,5046000000
2004-03-17,5280000000
2004-03-18,5202000000
2004-03-19,5160000000
2004-03-22,4973999999
2004-03-23,4914000000
2004-03-24,4932000000
2004-03-25,4968000000
2004-03-26,4950000000
2004-03-29,5004000000
2004-03-30,5106000000
2004-03-31,5260166669
2004-04-01,5229333336
2004-04-02,5346500002
2004-04-05,5365000002
2004-04-06,5426666669
2004-04-07,5426666669
2004-04-08,5297166669
2004-04-12,5241666669
2004-04-13,5161500002
2004-04-14,5173833336
2004-04-15,4995000002
2004-04-16,4958000002
2004-04-19,4865500002
2004-04-20,4791500002
2004-04-21,4742166669
2004-04-22,4890166669
2004-04-23,4853166669
2004-04-26,4785333335
2004-04-27,4748333335
2004-04-28,5291000002
2004-04-29,5254000002
2004-04-30,5346500002
2004-05-03,5550000003
2004-05-04,5580833336
2004-05-05,5482166669
2004-05-06,5352666669
2004-05-07,5106000002
2004-05-10,4927166669
2004-05-11,5007333336
2004-05-12,5001166669
2004-05-13,5044333336
2004-05-14,5075166669
2004-05-17,4945666669
2004-05-18,4859333335
2004-05-19,4828500002
2004-05-20,5025833336
2004-05-21,4982666669
2004-05-24,5241666669
2004-05-25,5476000002
2004-05-26,5556166669
2004-05-27,5667166669
2004-05-28,5759666669
2004-06-01,5691833336
2004-06-02,5759666669
2004-06-03,5587000003
2004-06-04,5716500003
2004-06-07,5870666669
2004-06-08,5839833336
2004-06-09,5796666669
2004-06-10,5691833336
2004-06-14,5735000003
2004-06-15,5920000003
2004-06-16,5895333336
2004-06-17,6123500003
2004-06-18,6049500003
2004-06-21,6037166669
2004-06-22,6148166669
2004-06-23,6129666669
2004-06-24,6092666669
2004-06-25,6259166670
2004-06-28,6142000003
2004-06-29,6080333336
2004-06-30,6596357140
2004-07-01,6463499997
2004-07-02,6543214282
2004-07-06,6516642854
2004-07-07,6636214282
2004-07-08,6569785711
2004-07-09,6596357140
2004-07-12,6649499997
2004-07-13,6782357139
2004-07-14,6848785711
2004-07-15,6769071425
2004-07-16,6762428568
2004-07-19,6788999997
2004-07-20,6828857139
2004-07-21,6343928568
2004-07-22,6470142854
2004-07-23,6363857140
2004-07-26,6350571425
2004-07-27,6476785711
2004-07-28,6397071425
2004-07-29,6410357140
2004-07-30,6410357140
2004-08-02,6410357140
2004-08-03,6416999997
2004-08-04,6290785711
2004-08-05,6137999997
2004-08-06,6111428568
2004-08-09,6244285711
2004-08-10,6224357140
2004-08-11,6317357140
2004-08-12,6284142854
2004-08-13,6350571425
2004-08-16,6523285711
2004-08-17,6662785711
2004-08-18,6616285711
2004-08-19,6602999997
2004-08-20,6815571425
2004-08-23,6709285711
2004-08-24,6636214282
2004-08-25,6669428568
2004-08-26,6609642854
