,MSCI
2008-04-10,2849740768
2008-04-11,2793726207
2008-04-14,2772720747
2008-04-15,2717706447
2008-04-16,2805729328
2008-04-17,2855742328
2008-04-18,2873747008
2008-04-21,2849740768
2008-04-22,2860743628
2008-04-23,2946765989
2008-04-24,2938763909
2008-04-25,2837737648
2008-04-28,2913757409
2008-04-29,3017784450
2008-04-30,3102806551
2008-05-01,3260847632
2008-05-02,3174825271
2008-05-05,3161821891
2008-05-06,3193830211
2008-05-07,3213835412
2008-05-08,3209834372
2008-05-09,3213835412
2008-05-12,3250845032
2008-05-13,3237841652
2008-05-14,3252845552
2008-05-15,3365874933
2008-05-16,3302858553
2008-05-19,3322863753
2008-05-20,3300858033
2008-05-21,3213835412
2008-05-22,3305859333
2008-05-23,3453897814
2008-05-27,3592933955
2008-05-28,3734970877
2008-05-29,3522915755
2008-05-30,3555924335
2008-06-02,3580861115
2008-06-03,3602872556
2008-06-04,3576859035
2008-06-05,3726937037
2008-06-06,3646895436
2008-06-09,3577859555
2008-06-10,3587864755
2008-06-11,3400767513
2008-06-12,3486812234
2008-06-13,3575858515
2008-06-16,3502820555
2008-06-17,3618880876
2008-06-18,3556848635
2008-06-19,3613878276
2008-06-20,3656900636
2008-06-23,3713930277
2008-06-24,3688917276
2008-06-25,3760954717
2008-06-26,3600871515
2008-06-27,3616879836
2008-06-30,3630887116
2008-07-01,3387760753
2008-07-02,3196661431
2008-07-03,3282706152
2008-07-07,3228678072
2008-07-08,3126625031
2008-07-09,3214670792
2008-07-10,3266697832
2008-07-11,3275702512
2008-07-14,3298714472
2008-07-15,3217672352
2008-07-16,3176651031
2008-07-17,3126625031
2008-07-18,3202664552
2008-07-21,3237682752
2008-07-22,3290710312
2008-07-23,3321726433
2008-07-24,3316723833
2008-07-25,3360746713
2008-07-28,3246687432
2008-07-29,3267698352
2008-07-30,3220673912
2008-07-31,2976547029
2008-08-01,3033576670
2008-08-04,3041580830
2008-08-05,3042581350
2008-08-06,3028574070
2008-08-07,2965541309
2008-08-08,3024571990
2008-08-11,3064592790
2008-08-12,3009564190
2008-08-13,2979548589
2008-08-14,3051586030
2008-08-15,3112617751
2008-08-18,3098610470
2008-08-19,3050585510
2008-08-20,3092607350
2008-08-21,3009564190
2008-08-22,3110616711
2008-08-25,2966541829
2008-08-26,2988553269
2008-08-27,3007563150
2008-08-28,2986552229
2008-08-29,2986552229
2008-09-02,2964606589
2008-09-03,2871524748
2008-09-04,2657336426
2008-09-05,2678354906
2008-09-08,2761427947
2008-09-09,2732402427
2008-09-10,2612296826
2008-09-11,2533227305
2008-09-12,2631313546
2008-09-15,2452156024
2008-09-16,2313033703
2008-09-17,2003761780
2008-09-18,2247976502
2008-09-19,2579267785
2008-09-22,2494192984
2008-09-23,2490189464
2008-09-24,2433139304
2008-09-25,2488187704
2008-09-26,2467169224
2008-09-29,2266993222
2008-09-30,2402112024
2008-10-01,2211944822
2008-10-02,2194929861
2008-10-03,2248977382
2008-10-06,2132875301
2008-10-07,1873647378
2008-10-08,1952716899
2008-10-09,1801584018
2008-10-10,1721513617
2008-10-13,1951716019
2008-10-14,1980741539
2008-10-15,1851628018
2008-10-16,1815596338
2008-10-17,1903673779
2008-10-20,1913682579
2008-10-21,1861636818
2008-10-22,1717510097
2008-10-23,1643444976
2008-10-24,1530345535
2008-10-27,1437263694
2008-10-28,1456280414
2008-10-29,1602408896
2008-10-30,1701496017
2008-10-31,1725517137
2008-11-03,1691487216
2008-11-04,1710503937
2008-11-05,1651452016
2008-11-06,1485305934
2008-11-07,1516333215
2008-11-10,1477298894
2008-11-11,1381214413
2008-11-12,1310151933
2008-11-13,1418246974
2008-11-14,1396227613
2008-11-17,1293136972
2008-11-18,1248097372
2008-11-19,1212065692
2008-11-20,1189045451
2008-11-21,1261108812
2008-11-24,1362197693
2008-11-25,1427254894
2008-11-26,1573383375
2008-11-28,1544357855
2008-12-01,1473201354
2008-12-02,1490249974
2008-12-03,1585521675
2008-12-04,1498272854
2008-12-05,1606581736
2008-12-08,1676781936
2008-12-09,1617613196
2008-12-10,1681796236
2008-12-11,1554433015
2008-12-12,1645693276
2008-12-15,1563458755
2008-12-16,1604576016
2008-12-17,1654719016
2008-12-18,1671767636
2008-12-19,1654719016
2008-12-22,1573487355
2008-12-23,1572484495
2008-12-24,1615607476
2008-12-26,1714890617
2008-12-29,1707870597
2008-12-30,1700850576
2008-12-31,1781079377
2009-01-02,1870333918
2009-01-05,1666753336
2009-01-06,1750993577
2009-01-07,1755005017
2009-01-08,1848270998
2009-01-09,1666753336
2009-01-12,1566467335
2009-01-13,1625636076
2009-01-14,1623630356
2009-01-15,1678787656
2009-01-16,1702856296
2009-01-20,1637670396
2009-01-21,1773056497
2009-01-22,1681796236
2009-01-23,1679790516
2009-01-26,1727927797
2009-01-27,1726924937
2009-01-28,1849273858
2009-01-29,1754002157
2009-01-30,1740964977
2009-02-02,1823199498
2009-02-03,1762025037
2009-02-04,1730936377
2009-02-05,1824202358
2009-02-06,1714890617
2009-02-09,1744976417
2009-02-10,1704862017
2009-02-11,1731939237
2009-02-12,1774059357
2009-02-13,1801136577
2009-02-17,1673773356
2009-02-18,1630650376
2009-02-19,1619618916
2009-02-20,1667756196
2009-02-23,1626638936
2009-02-24,1688816256
2009-02-25,1560450175
2009-02-26,1615607476
2009-02-27,1580507375
2009-03-02,1454201924
2009-03-03,1414058324
2009-03-04,1380939853
2009-03-05,1324738813
2009-03-06,1346817793
2009-03-09,1332767533
2009-03-10,1429112174
2009-03-11,1485313214
2009-03-12,1493341934
2009-03-13,1500367064
2009-03-16,1469255774
2009-03-17,1491334754
2009-03-18,1512410145
2009-03-19,1580654265
2009-03-20,1554560925
2009-03-23,1622805046
2009-03-24,1571621955
2009-03-25,1610761966
2009-03-26,1607751196
2009-03-27,1696067116
2009-03-30,1645887616
2009-03-31,1697070706
2009-04-01,1706103017
2009-04-02,1923882049
2009-04-03,2003165659
2009-04-06,2033273360
2009-04-07,1993129759
2009-04-08,2002162069
2009-04-09,2100513890
2009-04-13,2078434910
2009-04-14,2034276950
2009-04-15,2058363110
2009-04-16,2105531840
2009-04-17,2117574921
2009-04-20,1973057959
2009-04-21,2151696981
2009-04-22,2148686211
2009-04-23,2049330800
2009-04-24,2047323620
2009-04-27,2021230280
2009-04-28,1964025649
2009-04-29,2058363110
2009-04-30,2106535430
2009-05-01,2187826221
2009-05-04,2238005722
2009-05-05,2261088292
2009-05-06,2282163682
2009-05-07,2231984182
2009-05-08,2372486783
2009-05-11,2367468833
2009-05-12,2335353953
2009-05-13,2202880071
2009-05-14,2274134962
2009-05-15,2318292923
2009-05-18,2356429343
2009-05-19,2164743651
2009-05-20,2137646721
2009-05-21,2111553381
2009-05-22,2077431320
2009-05-26,2190836991
2009-05-27,2058363110
2009-05-28,2075424140
2009-05-29,2134635951
2009-06-01,2256032962
2009-06-02,2324306323
2009-06-03,2281133462
2009-06-04,2386555563
2009-06-05,2303221902
2009-06-08,2263061102
2009-06-09,2334346523
2009-06-10,2332338483
2009-06-11,2404627923
2009-06-12,2401615863
2009-06-15,2364467123
2009-06-16,2286153562
2009-06-17,2349406823
2009-06-18,2409648024
2009-06-19,2392579683
2009-06-22,2283141502
2009-06-23,2336354563
2009-06-24,2409648024
2009-06-25,2502017864
2009-06-26,2496997764
2009-06-29,2464869124
2009-06-30,2453824904
2009-07-01,2416676164
2009-07-02,2483945504
2009-07-06,2490973644
2009-07-07,2439768624
2009-07-08,2429728424
2009-07-09,2469889224
2009-07-10,2513062085
2009-07-13,2583343485
2009-07-14,2567279165
2009-07-15,2638564586
2009-07-16,2645592726
2009-07-17,2681737446
2009-07-20,2693785686
2009-07-21,2586355545
2009-07-22,2546194745
2009-07-23,2660653026
2009-07-24,2658644986
2009-07-27,2661657046
2009-07-28,2647600766
2009-07-29,2649608806
2009-07-30,2730934427
2009-07-31,2806235927
2009-08-03,2860453008
2009-08-04,2816276128
2009-08-05,2732942467
2009-08-06,2779127387
2009-08-07,2882541448
2009-08-10,2899609788
2009-08-11,2841376628
2009-08-12,2874509288
2009-08-13,2880533408
2009-08-14,2861457028
2009-08-17,2786155527
2009-08-18,2899609788
2009-08-19,2908645968
2009-08-20,2961859029
2009-08-21,2969891189
2009-08-24,3033144450
2009-08-25,3024108270
2009-08-26,3067281130
2009-08-27,3016076110
2009-08-28,2978927369
2009-08-31,2953826840
2009-09-01,2870493180
2009-09-02,2804227860
2009-09-03,2845392680
2009-09-04,2905633880
2009-09-08,2982943420
2009-09-09,2999007740
2009-09-10,2941778600
2009-09-11,2928726340
2009-09-14,2916678100
2009-09-15,2810251980
2009-09-16,2795191680
2009-09-17,2740974600
2009-09-18,2709849980
2009-09-21,2749006760
2009-09-22,2827320320
2009-09-23,2897601720
2009-09-24,2884549460
2009-09-25,2832340420
2009-09-28,2976919300
2009-09-29,3037160500
2009-09-30,2973907240
2009-10-01,2724910280
2009-10-02,2721898220
2009-10-05,2731938420
2009-10-06,2630532400
2009-10-07,2608443960
2009-10-08,2657640940
2009-10-09,2702821840
2009-10-12,2664669080
2009-10-13,2660653000
2009-10-14,2787159520
2009-10-15,2844388660
2009-10-16,2814268060
2009-10-19,2855432880
2009-10-20,2788163540
2009-10-21,2808243940
2009-10-22,2860452980
2009-10-23,2859448960
2009-10-26,2900613780
2009-10-27,2956838900
2009-10-28,2893585640
2009-10-29,2934750460
2009-10-30,3052220800
2009-11-02,3029128340
2009-11-03,3054228840
2009-11-04,3038164520
2009-11-05,3104429840
2009-11-06,3235956459
2009-11-09,3373507200
2009-11-10,3253024800
2009-11-11,3278125300
2009-11-12,3211859980
2009-11-13,3235956459
2009-11-16,3228928319
2009-11-17,3222904200
2009-11-18,3170695160
2009-11-19,3112462000
2009-11-20,3099409740
2009-11-23,3124510240
2009-11-24,3099409740
2009-11-25,3092381600
2009-11-27,3032140400
2009-11-30,3206510480
2009-12-01,3294907881
2009-12-02,3382252932
2009-12-03,3376991182
2009-12-04,3396985832
2009-12-07,3346473031
2009-12-08,3373834132
2009-12-09,3393828782
2009-12-10,3421189882
2009-12-11,3471702682
2009-12-14,3536948383
2009-12-15,3482226183
2009-12-16,3510639633
2009-12-17,3439079832
2009-12-18,3411718732
2009-12-21,3356996531
2009-12-22,3374886482
2009-12-23,3380148232
2009-12-24,3409614032
2009-12-28,3412771082
2009-12-29,3380148232
2009-12-30,3383305282
2009-12-31,3346473031
2010-01-04,3365415331
2010-01-05,3378043532
2010-01-06,3286489081
2010-01-07,3512744333
2010-01-08,3630607534
2010-01-11,3600089384
2010-01-12,3496959083
2010-01-13,3509587283
2010-01-14,3483278533
2010-01-15,3382252932
2010-01-19,3420137532
2010-01-20,3375938832
2010-01-21,3269651481
2010-01-22,3204405780
2010-01-25,3198091680
2010-01-26,3101275479
2010-01-27,3146526529
2010-01-28,3124427179
2010-01-29,3110746629
2010-02-01,3147578879
2010-02-02,3129688929
2010-02-03,3099170779
2010-02-04,3008668678
2010-02-05,3028663328
2010-02-08,2933951827
2010-02-09,2984464628
2010-02-10,3002354578
2010-02-11,3072862029
2010-02-12,3069704979
2010-02-16,3112851329
2010-02-17,3060233829
2010-02-18,3020244528
2010-02-19,3082333179
2010-02-22,3089699629
2010-02-23,3100223129
2010-02-24,3152840629
2010-02-25,3140212429
2010-02-26,3154945329
2010-03-01,3011813578
2010-03-02,3435300482
2010-03-03,3383681432
2010-03-04,3462690182
2010-03-05,3541698933
2010-03-08,3582783484
2010-03-09,3537485133
2010-03-10,3537485133
2010-03-11,3615440434
2010-03-12,3672326734
2010-03-15,3639669784
2010-03-16,3678647434
2010-03-17,3726052685
2010-03-18,3710250935
2010-03-19,3694449185
2010-03-22,3762923435
2010-03-23,3812435586
2010-03-24,3785045885
2010-03-25,3775564835
2010-03-26,3767137235
2010-03-29,3770297585
2010-03-30,3808221786
2010-03-31,3802954536
2010-04-01,3841932186
2010-04-05,3895658136
2010-04-06,3936742687
2010-04-07,3930421987
2010-04-08,3812435586
2010-04-09,3857733936
2010-04-12,3908299537
2010-04-13,3899871937
2010-04-14,3909352987
2010-04-15,3998896237
2010-04-16,3924101287
2010-04-19,3844039086
2010-04-20,3938849587
2010-04-21,3791366585
2010-04-22,3838771836
2010-04-23,3866161536
2010-04-26,3893551236
2010-04-27,3788206235
2010-04-28,3730266485
2010-04-29,3735533735
2010-04-30,3650204284
2010-05-03,3661792234
2010-05-04,3600692134
2010-05-05,3580676583
2010-05-06,3474278132
2010-05-07,3416338382
2010-05-10,3555393783
2010-05-11,3550126533
2010-05-12,3607012834
2010-05-13,3576462783
2010-05-14,3454262582
2010-05-17,3445834982
2010-05-18,3404750432
2010-05-19,3314153731
2010-05-20,3134013779
2010-05-21,3181419030
2010-05-24,3134013779
2010-05-25,3058165379
2010-05-26,3022348078
2010-05-27,3127693079
2010-05-28,3123479279
2010-06-01,3481533409
2010-06-02,3566737490
2010-06-03,3495734089
2010-06-04,3408163228
2010-06-07,3331242878
2010-06-08,3346626948
2010-06-09,3320592368
2010-06-10,3446031709
2010-06-11,3513484939
2010-06-14,3461415779
2010-06-15,3495734089
2010-06-16,3564370710
2010-06-17,3538336129
2010-06-18,3546619859
2010-06-21,3564370710
2010-06-22,3557270370
2010-06-23,3489817139
2010-06-24,3388045598
2010-06-25,3442481539
2010-06-28,3436564589
2010-06-29,3222370997
2010-06-30,3242488627
2010-07-01,3235388287
2010-07-02,3286274057
2010-07-06,3356094068
2010-07-07,3506384599
2010-07-08,3569104270
2010-07-09,3628273770
2010-07-12,3630640550
2010-07-13,3670875811
2010-07-14,3726495141
2010-07-15,3731228701
2010-07-16,3669692421
2010-07-19,3644841230
2010-07-20,3682709711
2010-07-21,3614073090
2010-07-22,3738329041
2010-07-23,3920571103
2010-07-26,3911103983
2010-07-27,3906370423
2010-07-28,3873235502
2010-07-29,3763180231
2010-07-30,3818799562
2010-08-02,3934771783
2010-08-03,3930038223
2010-08-04,3951339243
2010-08-05,3896903302
2010-08-06,3881519232
2010-08-09,3922937883
2010-08-10,3870868722
2010-08-11,3686259881
2010-08-12,3701643951
2010-08-13,3695727001
2010-08-16,3725311751
2010-08-17,3728861921
2010-08-18,3810515832
2010-08-19,3682709711
2010-08-20,3656675130
2010-08-23,3625906990
2010-08-24,3517035109
2010-08-25,3527685619
2010-08-26,3552536810
2010-08-27,3608156140
2010-08-30,3511118159
2010-08-31,3538336100
2010-09-01,3647207980
2010-09-02,3732412060
2010-09-03,3863768350
2010-09-07,3830633429
2010-09-08,3899270050
2010-09-09,3945422260
2010-09-10,3905187000
2010-09-13,4068494820
2010-09-14,4069678210
2010-09-15,4036543290
2010-09-16,4083878890
2010-09-17,4112280250
2010-09-20,4160799239
2010-09-21,4127664320
2010-09-22,4070861600
2010-09-23,3984474130
2010-09-24,4043643630
2010-09-27,3976190400
2010-09-28,4069678210
2010-09-29,4080328719
2010-09-30,3930038190
2010-10-01,4062577870
2010-10-04,4008141929
2010-10-05,4069678210
2010-10-06,4021159219
2010-10-07,4096896179
2010-10-08,4131214489
2010-10-11,4135948050
2010-10-12,4160799239
2010-10-13,4217601960
2010-10-14,4195117550
2010-10-15,4246003320
2010-10-18,4372626050
2010-10-19,4397477240
2010-10-20,4405760970
2010-10-21,4359608760
2010-10-22,4337124350
2010-10-25,4294522310
2010-10-26,4240086370
2010-10-27,4230619250
2010-10-28,4232986030
2010-10-29,4242453150
2010-11-01,4228252469
2010-11-02,4261387390
2010-11-03,4250736880
2010-11-04,4354875200
2010-11-05,4386826730
2010-11-08,4416411480
2010-11-09,4354875200
2010-11-10,4430612160
2010-11-11,4390376900
2010-11-12,4254287050
2010-11-15,4246003320
2010-11-16,4148965340
2010-11-17,4112280250
2010-11-18,4185650429
2010-11-19,4172633140
2010-11-22,4165532800
2010-11-23,4059027699
2010-11-24,4160799239
2010-11-26,4132397880
2010-11-29,4115830420
2010-11-30,4096804954
2010-12-01,4235129255
2010-12-02,4374656376
2010-12-03,4402321236
2010-12-06,4375859196
2010-12-07,4433594556
2010-12-08,4466070697
2010-12-09,4419160716
2010-12-10,4397509956
2010-12-13,4414349436
2010-12-14,4452839677
2010-12-15,4426377636
2010-12-16,4458853777
2010-12-17,4526211697
2010-12-20,4503358117
2010-12-21,4634465498
2010-12-22,4802860299
2010-12-23,4811280040
2010-12-27,4813685680
2010-12-28,4754747499
2010-12-29,4786020819
2010-12-30,4740313659
2010-12-31,4686186758
2011-01-03,4745124939
2011-01-04,4666941638
2011-01-05,4729488279
2011-01-06,4693403679
2011-01-07,4662130358
2011-01-10,4647696518
2011-01-11,4699417779
2011-01-12,4777601079
2011-01-13,4420363536
2011-01-14,4380670476
2011-01-18,4365033816
2011-01-19,4238737715
2011-01-20,4224303875
2011-01-21,4270011035
2011-01-24,4270011035
2011-01-25,4227912335
2011-01-26,4197841834
2011-01-27,4189422094
2011-01-28,4089588034
2011-01-31,4117252894
2011-02-01,4166568514
2011-02-02,4170176974
2011-02-03,4102819054
2011-02-04,4185813634
2011-02-07,4340977416
2011-02-08,4306095635
2011-02-09,4324137935
2011-02-10,4330152036
2011-02-11,4343383056
2011-02-14,4362628176
2011-02-15,4331354856
2011-02-16,4356614076
2011-02-17,4377062016
2011-02-18,4442014296
2011-02-22,4377062016
2011-02-23,4325340755
2011-02-24,4330152036
2011-02-25,4342180236
2011-02-28,4270011035
2011-03-01,4184610814
2011-03-02,4211072855
2011-03-03,4297675895
2011-03-04,4239940535
2011-03-07,4205058754
2011-03-08,4265199755
2011-03-09,4270011035
2011-03-10,4160554414
2011-03-11,4239940535
2011-03-14,4214681315
2011-03-15,4118455714
2011-03-16,4078762653
2011-03-17,4128078274
2011-03-18,4217086955
2011-03-21,4300081535
2011-03-22,4274822315
2011-03-23,4288053335
2011-03-24,4331354856
2011-03-25,4397509956
2011-03-28,4385481756
2011-03-29,4414349436
2011-03-30,4362628176
2011-03-31,4440197476
2011-04-01,4604202598
2011-04-04,4609026278
2011-04-05,4517376357
2011-04-06,4533053317
2011-04-07,4512552677
2011-04-08,4418490916
2011-04-11,4394372516
2011-04-12,4361812676
2011-04-13,4308752195
2011-04-14,4214690434
2011-04-15,4200219394
2011-04-18,4083245153
2011-04-19,4101333954
2011-04-20,4094098433
2011-04-21,4107363554
2011-04-25,4131481954
2011-04-26,4172483234
2011-04-27,4252073955
2011-04-28,4272574595
2011-04-29,4277398275
2011-05-02,4264133155
2011-05-03,4217102274
2011-05-04,4313575875
2011-05-05,4414873156
2011-05-06,4512552677
2011-05-09,4537876997
2011-05-10,4582496038
2011-05-11,4558377637
2011-05-12,4576466437
2011-05-13,4461904037
2011-05-16,4424520516
2011-05-17,4375077796
2011-05-18,4475169157
2011-05-19,4436579716
2011-05-20,4408843556
2011-05-23,4375077796
2011-05-24,4382313316
2011-05-25,4414873156
2011-05-26,4443815236
2011-05-27,4466727717
2011-05-31,4554759877
2011-06-01,4467933637
2011-06-02,4490846117
2011-06-03,4405225796
2011-06-06,4359400836
2011-06-07,4419696836
2011-06-08,4385931076
2011-06-09,4457080356
2011-06-10,4465521797
2011-06-13,4505317157
2011-06-14,4554759877
2011-06-15,4536671077
2011-06-16,4572848677
2011-06-17,4498081637
2011-06-20,4517376357
2011-06-21,4605408518
2011-06-22,4559583557
2011-06-23,4502905317
2011-06-24,4447432996
2011-06-27,4531847397
2011-06-28,4572848677
2011-06-29,4570436837
2011-06-30,4552912117
2011-07-01,4580703247
2011-07-05,4592786348
2011-07-06,4664076638
2011-07-07,4682201288
2011-07-08,4699117628
2011-07-11,4556537047
2011-07-12,4561370287
2011-07-13,4578286627
2011-07-14,4488871687
2011-07-15,4491288307
2011-07-18,4410331536
2011-07-19,4519079437
2011-07-20,4531162537
2011-07-21,4613327618
2011-07-22,4583119867
2011-07-25,4558953667
2011-07-26,4485246757
2011-07-27,4283458985
2011-07-28,4337832935
2011-07-29,4288292225
2011-08-01,4324541525
2011-08-02,4157794744
2011-08-03,4219418554
2011-08-04,4103420793
2011-08-05,3983798102
2011-08-08,3668429190
2011-08-09,4070796423
2011-08-10,3904049642
2011-08-11,4070796423
2011-08-12,4063546563
2011-08-15,4244793065
2011-08-16,4184377564
2011-08-17,4114295584
2011-08-18,3894383162
2011-08-19,3785635261
2011-08-22,3797718361
2011-08-23,4004339373
2011-08-24,3969298382
2011-08-25,3946340492
2011-08-26,4057505013
2011-08-29,4258084475
2011-08-30,4163836294
2011-08-31,4177127704
2011-09-01,4088921073
2011-09-02,3925799222
2011-09-06,3826717801
2011-09-07,4036963743
2011-09-08,3919757672
2011-09-09,3829134421
2011-09-12,3888341612
2011-09-13,3914924432
2011-09-14,4004339373
2011-09-15,3934257392
2011-09-16,3940298942
2011-09-19,3785635261
2011-09-20,3738511170
2011-09-21,3585055799
2011-09-22,3527056919
2011-09-23,3585055799
2011-09-26,3819467941
2011-09-27,3890758232
2011-09-28,3786843571
2011-09-29,3853300621
2011-09-30,3674722170
2011-10-03,3385154547
2011-10-04,3495408328
2011-10-05,3611720009
2011-10-06,3685626390
2011-10-07,3634740030
2011-10-10,3711069570
2011-10-11,3744993810
2011-10-12,3909768692
2011-10-13,3932788712
2011-10-14,3978828752
2011-10-17,3814053871
2011-10-18,3914615012
2011-10-19,3854036011
2011-10-20,3874632871
2011-10-21,3948539252
2011-10-24,4040619333
2011-10-25,3914615012
2011-10-26,3957020312
2011-10-27,4165412074
2011-10-28,4126641514
2011-10-31,4045465653
2011-11-01,3812842291
2011-11-02,3990944552
2011-11-03,4131487834
2011-11-04,4125429934
2011-11-07,4183585774
2011-11-08,4236895294
2011-11-09,4069697253
2011-11-10,4090294113
2011-11-11,4170258394
2011-11-14,4087870953
2011-11-15,4126641514
2011-11-16,3998214033
2011-11-17,3973982432
2011-11-18,3949750832
2011-11-21,3877056032
2011-11-22,3874632871
2011-11-23,3804361231
2011-11-25,3782552791
2011-11-28,3930365552
2011-11-29,3898864472
2011-11-30,4089082533
2011-12-01,4095140433
2011-12-02,4107256233
2011-12-05,4115737293
2011-12-06,4119372034
2011-12-07,4045465653
2011-12-08,3908557112
2011-12-09,4030926693
2011-12-12,4015176153
2011-12-13,3948539252
2011-12-14,3856459171
2011-12-15,3912191852
2011-12-16,3938846612
2011-12-19,3892806572
2011-12-20,4005483513
2011-12-21,3981251912
2011-12-22,3973982432
2011-12-23,4047888813
2011-12-27,4047888813
2011-12-28,3921884492
2011-12-29,3970347692
2011-12-30,3989732972
2012-01-03,3994748772
2012-01-04,3938741932
2012-01-05,3983790912
2012-01-06,4030057433
2012-01-09,4014229412
2012-01-10,4081194113
2012-01-11,4076323953
2012-01-12,4071453793
2012-01-13,3980138292
2012-01-17,3942394552
2012-01-18,3918043752
2012-01-19,3963092732
2012-01-20,3954569952
2012-01-23,3943612092
2012-01-24,3882735091
2012-01-25,3948482252
2012-01-26,3975268132
2012-01-27,4000836472
2012-01-30,3970397972
2012-01-31,3966745352
2012-02-01,4086064273
2012-02-02,4020317113
2012-02-03,4162769294
2012-02-06,4191990254
2012-02-07,4228516454
2012-02-08,4244344474
2012-02-09,4301568855
2012-02-10,4241909394
2012-02-13,4229733994
2012-02-14,4245562014
2012-02-15,4159116674
2012-02-16,4217558594
2012-02-17,4151811434
2012-02-21,4205383194
2012-02-22,4213905974
2012-02-23,4142071114
2012-02-24,4191990254
2012-02-27,4299133775
2012-02-28,4286958375
2012-02-29,4307656555
2012-03-01,4325919655
2012-03-02,4271130355
2012-03-05,4271130355
2012-03-06,4179814854
2012-03-07,4237039234
2012-03-08,4413582536
2012-03-09,4456196436
2012-03-12,4446456116
2012-03-13,4588908297
2012-03-14,4552382097
2012-03-15,4603518777
2012-03-16,4598648617
2012-03-19,4591343377
2012-03-20,4599866157
2012-03-21,4579167977
2012-03-22,4506115577
2012-03-23,4529248837
2012-03-26,4585255677
2012-03-27,4549947017
2012-03-28,4512203277
2012-03-29,4520726057
2012-03-30,4481764776
2012-04-02,4551719037
2012-04-03,4605412237
2012-04-04,4517550637
2012-04-05,4529753637
2012-04-09,4485822836
2012-04-10,4350369535
2012-04-11,4355250735
2012-04-12,4444332636
2012-04-13,4357691335
2012-04-16,4366233435
2012-04-17,4428468736
2012-04-18,4357691335
2012-04-19,4332065035
2012-04-20,4322302635
2012-04-23,4288134235
2012-04-24,4343047735
2012-04-25,4404062736
2012-04-26,4491924336
2012-04-27,4494364936
2012-04-30,4465077736
2012-05-01,4480941636
2012-05-02,4295456035
2012-05-03,4419926636
2012-05-04,4273490635
2012-05-07,4190510234
2012-05-08,4192950834
2012-05-09,4170985434
2012-05-10,4139257633
2012-05-11,4134376433
2012-05-14,4023329132
2012-05-15,4007465232
2012-05-16,4014787032
2012-05-17,3951331432
2012-05-18,4002584032
2012-05-21,4069700533
2012-05-22,4157562134
2012-05-23,4125834333
2012-05-24,4111190733
2012-05-25,4161223034
2012-05-29,4228339534
2012-05-30,4173426034
2012-05-31,4125834333
2012-06-01,4073361433
2012-06-04,4042853933
2012-06-05,4051396033
2012-06-06,4095326833
2012-06-07,4090445633
2012-06-08,4055056933
2012-06-11,3973296832
2012-06-12,3930586332
2012-06-13,3864690131
2012-06-14,3900078831
2012-06-15,3923264532
2012-06-18,3895197631
2012-06-19,3957432932
2012-06-20,4007465232
2012-06-21,3904960032
2012-06-22,3984279532
2012-06-25,3856148031
2012-06-26,3879333731
2012-06-27,3928145732
2012-06-28,3989160732
2012-06-29,4151460634
