,EL
2000-05-15,10934200000
2000-05-16,11305012000
2000-05-17,11471402000
2000-05-18,11780412000
2000-05-19,10858136000
2000-05-22,10725024000
2000-05-23,10130774000
2000-05-24,10116512000
2000-05-25,10401752000
2000-05-26,10520602000
2000-05-30,10710762000
2000-05-31,10653714000
2000-06-01,10858136000
2000-06-02,11247964000
2000-06-05,11129114000
2000-06-06,10996002000
2000-06-07,10801088000
2000-06-08,10877152000
2000-06-09,11067312000
2000-06-12,11247964000
2000-06-13,11143376000
2000-06-14,11171900000
2000-06-15,11157638000
2000-06-16,11143376000
2000-06-19,10877152000
2000-06-20,10682238000
2000-06-21,10739286000
2000-06-22,10577650000
2000-06-23,10905676000
2000-06-26,10786826000
2000-06-27,11366814000
2000-06-28,11438124000
2000-06-29,11499926000
2000-06-30,11766902000
2000-07-03,11728806000
2000-07-05,11666900000
2000-07-06,11400228000
2000-07-07,11443086000
2000-07-10,11295464000
2000-07-11,11133556000
2000-07-12,10728786000
2000-07-13,10519258000
2000-07-14,10685928000
2000-07-17,10462114000
2000-07-18,10657356000
2000-07-19,10624022000
2000-07-20,10581164000
2000-07-21,10685928000
2000-07-24,10685928000
2000-07-25,10876408000
2000-07-26,10924028000
2000-07-27,10700214000
2000-07-28,10624022000
2000-07-31,10476400000
2000-08-01,10657356000
2000-08-02,10833550000
2000-08-03,10790692000
2000-08-04,10714500000
2000-08-07,10419256000
2000-08-08,10447828000
2000-08-09,10609736000
2000-08-10,10700214000
2000-08-11,10743072000
2000-08-14,10952600000
2000-08-15,10728786000
2000-08-16,10400208000
2000-08-17,10224014000
2000-08-18,10238300000
2000-08-21,10062106000
2000-08-22,10090678000
2000-08-23,10062106000
2000-08-24,10000200000
2000-08-25,10028772000
2000-08-28,9985914000
2000-08-29,9957342000
2000-08-30,9895436000
2000-08-31,9747814000
2000-09-01,9957342000
2000-09-05,10028772000
2000-09-06,9881150000
2000-09-07,10014486000
2000-09-08,9866864000
2000-09-11,10133536000
2000-09-12,10119250000
2000-09-13,10090678000
2000-09-14,9790672000
2000-09-15,9614478000
2000-09-18,9376378000
2000-09-19,9076372000
2000-09-20,8528742000
2000-09-21,8362071999
2000-09-22,8885892000
2000-09-25,8885892000
2000-09-26,8600172000
2000-09-27,8571600000
2000-09-28,8914464000
2000-09-29,8719222000
2000-10-02,8722884000
2000-10-03,8637132000
2000-10-04,8770524000
2000-10-05,9080184000
2000-10-06,8918208000
2000-10-09,8903916000
2000-10-10,8903916000
2000-10-11,8694300000
2000-10-12,8427516000
2000-10-13,8365583999
2000-10-16,8618076000
2000-10-17,8427516000
2000-10-18,8365583999
2000-10-19,8737176000
2000-10-20,8975376000
2000-10-23,8889624000
2000-10-24,9723324000
2000-10-25,10285476000
2000-10-26,10214016000
2000-10-27,10495092000
2000-10-30,10719000000
2000-10-31,11062008000
2000-11-01,10957200000
2000-11-02,10809516000
2000-11-03,10761876000
2000-11-06,10704708000
2000-11-07,10361700000
2000-11-08,10900032000
2000-11-09,10676124000
2000-11-10,10452216000
2000-11-13,10480800000
2000-11-14,10423632000
2000-11-15,10614192000
2000-11-16,10495092000
2000-11-17,10542732000
2000-11-20,10304532000
2000-11-21,10214016000
2000-11-22,10185432000
2000-11-24,10137792000
2000-11-27,10109208000
2000-11-28,10032984000
2000-11-29,10123500000
2000-11-30,10318824000
2000-12-01,10585608000
2000-12-04,10676124000
2000-12-05,10423632000
2000-12-06,10404576000
2000-12-07,10523676000
2000-12-08,10599900000
2000-12-11,10390284000
2000-12-12,10437924000
2000-12-13,10495092000
2000-12-14,10214016000
2000-12-15,10094916000
2000-12-18,10390284000
2000-12-19,10437924000
2000-12-20,10495092000
2000-12-21,9556584000
2000-12-22,9556584000
2000-12-26,9737616000
2000-12-27,10109208000
2000-12-28,10347408000
2000-12-29,10437924000
2001-01-02,10174912000
2001-01-03,9969888000
2001-01-04,9283296000
2001-01-05,9640896000
2001-01-08,10208288000
2001-01-09,10432384000
2001-01-10,10341792000
2001-01-11,10236896000
2001-01-12,10160608000
2001-01-16,9984192000
2001-01-17,9836384000
2001-01-18,10027104000
2001-01-19,9969888000
2001-01-22,9578912000
2001-01-23,9803008000
2001-01-24,9893600000
2001-01-25,9836384000
2001-01-26,9836384000
2001-01-29,9645664000
2001-01-30,9273760000
2001-01-31,9083040000
2001-02-01,9359584000
2001-02-02,9273760000
2001-02-05,9240384000
2001-02-06,9359584000
2001-02-07,9149792000
2001-02-08,9588448000
2001-02-09,9378656000
2001-02-12,9392960000
2001-02-13,9230848000
2001-02-14,9135488000
2001-02-15,9326208000
2001-02-16,9321440000
2001-02-20,9497856000
2001-02-21,9416800000
2001-02-22,9297600000
2001-02-23,9154560000
2001-02-26,9364352000
2001-02-27,9121184000
2001-02-28,9211776000
2001-03-01,9207008000
2001-03-02,9454944000
2001-03-05,9474016000
2001-03-06,9655200000
2001-03-07,9655200000
2001-03-08,9884064000
2001-03-09,9669504000
2001-03-12,9536000000
2001-03-13,9187936000
2001-03-14,9011520000
2001-03-15,8978144000
2001-03-16,8763584000
2001-03-19,8820800000
2001-03-20,8739744000
2001-03-21,8372607999
2001-03-22,8210495999
2001-03-23,8177119999
2001-03-26,8224800000
2001-03-27,8353536000
2001-03-28,8463200000
2001-03-29,8534719999
2001-03-30,8682528000
2001-04-02,8658688000
2001-04-03,8596704000
2001-04-04,8701600000
2001-04-05,8892320000
2001-04-06,8763584000
2001-04-09,8811264000
2001-04-10,8763584000
2001-04-11,8744512000
2001-04-12,8811264000
2001-04-16,8873248000
2001-04-17,8916160000
2001-04-18,8992448000
2001-04-19,9011520000
2001-04-20,9059200000
2001-04-23,8916160000
2001-04-24,9288064000
2001-04-25,9378656000
2001-04-26,9416800000
2001-04-27,9536000000
2001-04-30,9478784000
2001-05-01,9721952000
2001-05-02,9779168000
2001-05-03,9702880000
2001-05-04,9741024000
2001-05-07,9550304000
2001-05-08,9564608000
2001-05-09,9526464000
2001-05-10,9578912000
2001-05-11,9526464000
2001-05-14,9617056000
2001-05-15,9459712000
2001-05-16,9779168000
2001-05-17,10132000000
2001-05-18,9850688000
2001-05-21,10008032000
2001-05-22,9993728000
2001-05-23,9955584000
2001-05-24,10017568000
2001-05-25,9979424000
2001-05-29,9917440000
2001-05-30,9831616000
2001-05-31,9679040000
2001-06-01,9941280000
2001-06-04,9984192000
2001-06-05,10065248000
2001-06-06,10017568000
2001-06-07,10203520000
2001-06-08,10132000000
2001-06-11,10070016000
2001-06-12,10098624000
2001-06-13,10012800000
2001-06-14,9822080000
2001-06-15,9597984000
2001-06-18,10003264000
2001-06-19,9869760000
2001-06-20,10012800000
2001-06-21,9774400000
2001-06-22,9679040000
2001-06-25,9531232000
2001-06-26,9731488000
2001-06-27,9707648000
2001-06-28,10360864000
2001-06-29,10275040000
2001-07-02,10296590000
2001-07-03,10382594000
2001-07-05,10086358000
2001-07-06,10009910000
2001-07-09,9890460000
2001-07-10,9962130000
2001-07-11,10014688000
2001-07-12,9919128000
2001-07-13,9904794000
2001-07-16,9952574000
2001-07-17,10115026000
2001-07-18,10167584000
2001-07-19,10172362000
2001-07-20,10224920000
2001-07-23,10105470000
2001-07-24,9890460000
2001-07-25,9866570000
2001-07-26,9675450000
2001-07-27,9379214000
2001-07-30,9522554000
2001-07-31,9446106000
2001-08-01,9312322000
2001-08-02,9460440000
2001-08-03,9240652000
2001-08-06,9398326000
2001-08-07,9221540000
2001-08-08,9173760000
2001-08-09,8934860000
2001-08-10,9192872000
2001-08-13,9383992000
2001-08-14,9197650000
2001-08-15,9259764000
2001-08-16,9517776000
2001-08-17,9675450000
2001-08-20,9388770000
2001-08-21,9379214000
2001-08-22,9608558000
2001-08-23,9685006000
2001-08-24,9613336000
2001-08-27,9383992000
2001-08-28,9379214000
2001-08-29,9345768000
2001-08-30,9441328000
2001-08-31,9278876000
2001-09-04,9283654000
2001-09-05,9259764000
2001-09-06,9006530000
2001-09-07,9054310000
2001-09-10,9149870000
2001-09-17,8423614000
2001-09-18,8218160000
2001-09-19,7878921999
2001-09-20,8122600000
2001-09-21,7945814000
2001-09-24,7955369999
2001-09-25,7826364000
2001-09-26,7635244000
2001-09-27,7640022000
2001-09-28,7921923999
2001-10-01,7881110000
2001-10-02,7628724000
2001-10-03,7847776000
2001-10-04,7738250000
2001-10-05,7928729999
2001-10-08,8009684000
2001-10-09,7866824000
2001-10-10,8071590000
2001-10-11,8071590000
2001-10-12,7909682000
2001-10-15,7881110000
2001-10-16,7976350000
2001-10-17,8133495999
2001-10-18,8166829999
2001-10-19,8085876000
2001-10-22,8190640000
2001-10-23,7976350000
2001-10-24,7952540000
2001-10-25,7881110000
2001-10-26,8028732000
2001-10-29,7995398000
2001-10-30,7800156000
2001-10-31,7681106000
2001-11-01,7895395999
2001-11-02,7514436000
2001-11-05,7428720000
2001-11-06,7490626000
2001-11-07,7690629999
2001-11-08,7733487999
2001-11-09,7690629999
2001-11-12,7690629999
2001-11-13,7790632000
2001-11-14,7857300000
2001-11-15,7928729999
2001-11-16,7923968000
2001-11-19,7976350000
2001-11-20,8038256000
2001-11-21,8047779999
2001-11-23,7976350000
2001-11-26,7947778000
2001-11-27,7919206000
2001-11-28,7862062000
2001-11-29,7919206000
2001-11-30,7943016000
2001-12-03,7857300000
2001-12-04,7928729999
2001-12-05,8014445999
2001-12-06,7847776000
2001-12-07,7809679999
2001-12-10,7833490000
2001-12-11,7857300000
2001-12-12,7738250000
2001-12-13,7733487999
2001-12-14,7647771999
2001-12-17,7643010000
2001-12-18,7571580000
2001-12-19,7619200000
2001-12-20,7381100000
2001-12-21,7585866000
2001-12-24,7700154000
2001-12-26,7657295999
2001-12-27,7595390000
2001-12-28,7623962000
2001-12-31,7627074000
2002-01-02,7646106000
2002-01-03,7703202000
2002-01-04,7774572000
2002-01-07,7812636000
2002-01-08,7850700000
2002-01-09,7874490000
2002-01-10,7850700000
2002-01-11,7864974000
2002-01-14,7841184000
2002-01-15,7898280000
2002-01-16,8069568000
2002-01-17,8307468000
2002-01-18,8179002000
2002-01-22,8088600000
2002-01-23,8088600000
2002-01-24,8136180000
2002-01-25,8331258000
2002-01-28,8316984000
2002-01-29,8088600000
2002-01-30,7993440000
2002-01-31,7684169999
2002-02-01,7707960000
2002-02-04,7531914000
2002-02-05,7512882000
2002-02-06,7370142000
2002-02-07,7208370000
2002-02-08,7137000000
2002-02-11,7241676000
2002-02-12,7436754000
2002-02-13,7255950000
2002-02-14,7351110000
2002-02-15,7217886000
2002-02-19,7137000000
2002-02-20,7084662000
2002-02-21,7022808000
2002-02-22,7137000000
2002-02-25,7260708000
2002-02-26,7336836000
2002-02-27,7412964000
2002-02-28,7422480000
2002-03-01,7412964000
2002-03-04,7493850000
2002-03-05,7360626000
2002-03-06,7603284000
2002-03-07,7579494000
2002-03-08,7608042000
2002-03-11,7550946000
2002-03-12,7612800000
2002-03-13,7655622000
2002-03-14,7608042000
2002-03-15,7812636000
2002-03-18,7822152000
2002-03-19,8155212000
2002-03-20,8174244000
2002-03-21,8169486000
2002-03-22,8331258000
2002-03-25,8355047999
2002-03-26,8126663999
2002-03-27,8064810000
2002-03-28,8126663999
2002-04-01,8117147999
2002-04-02,8098116000
2002-04-03,8150454000
2002-04-04,8516819999
2002-04-05,8754720000
2002-04-08,8849880000
2002-04-09,8673834000
2002-04-10,8926008000
2002-04-11,9135360000
2002-04-12,8983104000
2002-04-15,8878428000
2002-04-16,8616738000
2002-04-17,8873670000
2002-04-18,8707140000
2002-04-19,8583432000
2002-04-22,8526336000
2002-04-23,8592948000
2002-04-24,8611980000
2002-04-25,8469240000
2002-04-26,8469240000
2002-04-29,8611980000
2002-04-30,8602464000
2002-05-01,8478756000
2002-05-02,8764236000
2002-05-03,8873670000
2002-05-06,8778510000
2002-05-07,8802300000
2002-05-08,8673834000
2002-05-09,8659560000
2002-05-10,8683350000
2002-05-13,8764236000
2002-05-14,8854638000
2002-05-15,8959314000
2002-05-16,8883186000
2002-05-17,8626254000
2002-05-20,8735688000
2002-05-21,8721414000
2002-05-22,8626254000
2002-05-23,8583432000
2002-05-24,8564400000
2002-05-28,8421660000
2002-05-29,8412144000
2002-05-30,8426418000
2002-05-31,8745204000
2002-06-03,8792784000
2002-06-04,8626254000
2002-06-05,8826090000
2002-06-06,8673834000
2002-06-07,8659560000
2002-06-10,8683350000
2002-06-11,8507304000
2002-06-12,8826090000
2002-06-13,8792784000
2002-06-14,8621496000
2002-06-17,8721414000
2002-06-18,8864154000
2002-06-19,8906976000
2002-06-20,8992620000
2002-06-21,8864154000
2002-06-24,8683350000
2002-06-25,8321741999
2002-06-26,8388354000
2002-06-27,8778510000
2002-06-28,8374080000
2002-07-01,8373120000
2002-07-02,7644000000
2002-07-03,7422912000
2002-07-05,7719264000
2002-07-08,7728672000
2002-07-09,7667520000
2002-07-10,7564031999
2002-07-11,7531104000
2002-07-12,7455840000
2002-07-15,7267680000
2002-07-16,7244160000
2002-07-17,7244160000
2002-07-18,7088928000
2002-07-19,6928992000
2002-07-22,6726720000
2002-07-23,6722016000
2002-07-24,6811392000
2002-07-25,6707904000
2002-07-26,6750240000
2002-07-29,6985440000
2002-07-30,7037184000
2002-07-31,7131264000
2002-08-01,7103040000
2002-08-02,6656160000
2002-08-05,6609120000
2002-08-06,6604416000
2002-08-07,6576192000
2002-08-08,6510336000
2002-08-09,6435072000
2002-08-12,6152832000
2002-08-13,6152832000
2002-08-14,6505632000
2002-08-15,6674976000
2002-08-16,6910176000
2002-08-19,6933696000
2002-08-20,7008960000
2002-08-21,6999552000
2002-08-22,7183008000
2002-08-23,7140672000
2002-08-26,7126560000
2002-08-27,7103040000
2002-08-28,7093632000
2002-08-29,7013664000
2002-08-30,7046592000
2002-09-03,6938400000
2002-09-04,7215936000
2002-09-05,7272384000
2002-09-06,7267680000
2002-09-09,7366464000
2002-09-10,7526400000
2002-09-11,7794528000
2002-09-12,7408800000
2002-09-13,7413504000
2002-09-16,7549920000
2002-09-17,7140672000
2002-09-18,6891360000
2002-09-19,6980736000
2002-09-20,7126560000
2002-09-23,7154784000
2002-09-24,7008960000
2002-09-25,6971328000
2002-09-26,7234752000
2002-09-27,7117152000
2002-09-30,6699294000
2002-10-01,6620040000
2002-10-02,6582744000
2002-10-03,6540786000
2002-10-04,6438222000
2002-10-07,6317010000
2002-10-08,6424236000
2002-10-09,6125868000
2002-10-10,6251742000
2002-10-11,6494166000
2002-10-14,6582744000
2002-10-15,6853140000
2002-10-16,6386940000
2002-10-17,6661998000
2002-10-18,6657336000
2002-10-21,6615378000
2002-10-22,6480180000
2002-10-23,6400926000
2002-10-24,6223770000
2002-10-25,6317010000
2002-10-28,6377616000
2002-10-29,6773886000
2002-10-30,6834492000
2002-10-31,6787872000
2002-11-01,6685308000
2002-11-04,6578082000
2002-11-05,6568758000
2002-11-06,6620040000
2002-11-07,6783210000
2002-11-08,6615378000
2002-11-11,6536124000
2002-11-12,6564096000
2002-11-13,6349644000
2002-11-14,6442884000
2002-11-15,6689970000
2002-11-18,6624702000
2002-11-19,6685308000
2002-11-20,6480180000
2002-11-21,6391602000
2002-11-22,6317010000
2002-11-25,6209784000
2002-11-26,6055938000
2002-11-27,6358968000
2002-11-29,6358968000
2002-12-02,6498828000
2002-12-03,6508152000
2002-12-04,6442884000
2002-12-05,6428898000
2002-12-06,6452208000
2002-12-09,6363630000
2002-12-10,6410250000
2002-12-11,6424236000
2002-12-12,6461532000
2002-12-13,6452208000
2002-12-16,6326334000
2002-12-17,6284376000
2002-12-18,6247080000
2002-12-19,6247080000
2002-12-20,6177150000
2002-12-23,6177150000
2002-12-24,6121206000
2002-12-26,6097896000
2002-12-27,6004656000
2002-12-30,6102558000
2002-12-31,6127440000
2003-01-02,6224922000
2003-01-03,6303836000
2003-01-06,6392034000
2003-01-07,6234206000
2003-01-08,6173860000
2003-01-09,6197070000
2003-01-10,6113514000
2003-01-13,6034600000
2003-01-14,6029958000
2003-01-15,6029958000
2003-01-16,6141366000
2003-01-17,6127440000
2003-01-21,6150650000
2003-01-22,6094946000
2003-01-23,6280626000
2003-01-24,6141366000
2003-01-27,6081020000
2003-01-28,6150650000
2003-01-29,6132082000
2003-01-30,6939790000
2003-01-31,7004778000
2003-02-03,6995494000
2003-02-04,6939790000
2003-02-05,6916580000
2003-02-06,6846950000
2003-02-07,6819098000
2003-02-10,6814456000
2003-02-11,6758752000
2003-02-12,6772678000
2003-02-13,6754110000
2003-02-14,6763394000
2003-02-18,6754110000
2003-02-19,6693764000
2003-02-20,6665912000
2003-02-21,6661270000
2003-02-24,6698406000
2003-02-25,6647344000
2003-02-26,6651986000
2003-02-27,6651986000
2003-02-28,6512726000
2003-03-03,6670554000
2003-03-04,6545220000
2003-03-05,6522010000
2003-03-06,6429170000
2003-03-07,6489516000
2003-03-10,6396676000
2003-03-11,6275984000
2003-03-12,6378108000
2003-03-13,6535936000
2003-03-14,6596282000
2003-03-17,6874802000
2003-03-18,6870160000
2003-03-19,6953716000
2003-03-20,7009420000
2003-03-21,7171890000
2003-03-24,6976926000
2003-03-25,6976926000
2003-03-26,7046556000
2003-03-27,7065124000
2003-03-28,7195100000
2003-03-31,6979764000
2003-04-01,6782050000
2003-04-02,6892402000
2003-04-03,6777452000
2003-04-04,6878608000
2003-04-07,6795844000
2003-04-08,6795844000
2003-04-09,6699286000
2003-04-10,6736070000
2003-04-11,6791246000
2003-04-14,6892402000
2003-04-15,6874010000
2003-04-16,7011950000
2003-04-17,7011950000
2003-04-21,6975166000
2003-04-22,7071724000
2003-04-23,7103910000
2003-04-24,6988960000
2003-04-25,6965970000
2003-04-28,6874010000
2003-04-29,6965970000
2003-04-30,7471750000
2003-05-01,7434966000
2003-05-02,7766022000
2003-05-05,7678660000
2003-05-06,7733836000
2003-05-07,7655669999
2003-05-08,7623483999
2003-05-09,7609690000
2003-05-12,7614287999
2003-05-13,7706248000
2003-05-14,7683258000
2003-05-15,7706248000
2003-05-16,7756826000
2003-05-19,7761424000
2003-05-20,7825796000
2003-05-21,7715444000
2003-05-22,7862580000
2003-05-23,7995922000
2003-05-27,7894766000
2003-05-28,7825796000
2003-05-29,7637278000
2003-05-30,7660268000
2003-06-02,7595896000
2003-06-03,7706248000
2003-06-04,7738433999
2003-06-05,7766022000
2003-06-06,7729237999
2003-06-09,7710846000
2003-06-10,7651072000
2003-06-11,7816600000
2003-06-12,7995922000
2003-06-13,8000519999
2003-06-16,8133862000
2003-06-17,8262605999
2003-06-18,8212028000
2003-06-19,8018912000
2003-06-20,7968333999
2003-06-23,7761424000
2003-06-24,7816600000
2003-06-25,7816600000
2003-06-26,7802805999
2003-06-27,7729237999
2003-06-30,7645912000
2003-07-01,7577482000
2003-07-02,7709779999
2003-07-03,7746276000
2003-07-07,7791895999
2003-07-08,7796458000
2003-07-09,7668721999
2003-07-10,7664160000
2003-07-11,7700656000
2003-07-14,7773648000
2003-07-15,7791895999
2003-07-16,7819268000
2003-07-17,7805582000
2003-07-18,7910508000
2003-07-21,7951566000
2003-07-22,8051929999
2003-07-23,8019995999
2003-07-24,8051929999
2003-07-25,8010871999
2003-07-28,8248095999
2003-07-29,8439700000
2003-07-30,8590246000
2003-07-31,8517254000
2003-08-01,8380394000
2003-08-04,8325650000
2003-08-05,8211600000
2003-08-06,8220724000
2003-08-07,8389518000
2003-08-08,8640428000
2003-08-11,8631304000
2003-08-12,8617618000
2003-08-13,8476195999
2003-08-14,8088426000
2003-08-15,8088426000
2003-08-18,7832954000
2003-08-19,7732590000
2003-08-20,7627663999
2003-08-21,7499928000
2003-08-22,7559234000
2003-08-25,7696094000
2003-08-26,7696094000
2003-08-27,7746276000
2003-08-28,7832954000
2003-08-29,7869450000
2003-09-02,7978937999
2003-09-03,8047368000
2003-09-04,8092987999
2003-09-05,8074740000
2003-09-08,8074740000
2003-09-09,7965252000
2003-09-10,7864887999
2003-09-11,7837516000
2003-09-12,7874012000
2003-09-15,7864887999
2003-09-16,7874012000
2003-09-17,7887698000
2003-09-18,7869450000
2003-09-19,8006310000
2003-09-22,7969813999
2003-09-23,7823829999
2003-09-24,7791895999
2003-09-25,7686970000
2003-09-26,7559234000
2003-09-29,7709779999
2003-09-30,7778210000
2003-10-01,7991856000
2003-10-02,8060436000
2003-10-03,8097012000
2003-10-06,8115300000
2003-10-07,8266175999
2003-10-08,8279892000
2003-10-09,8279892000
2003-10-10,8403336000
2003-10-13,8321040000
2003-10-14,8458200000
2003-10-15,8380475999
2003-10-16,8426196000
2003-10-17,8380475999
2003-10-20,8275320000
2003-10-21,8343900000
2003-10-22,8238744000
2003-10-23,8298179999
2003-10-24,8293608000
2003-10-27,8403336000
2003-10-28,8645652000
2003-10-29,8823960000
2003-10-30,8641080000
2003-10-31,8549640000
2003-11-03,8549640000
2003-11-04,8494775999
2003-11-05,8458200000
2003-11-06,8471916000
2003-11-07,8517636000
2003-11-10,8339327999
2003-11-11,8298179999
2003-11-12,8572500000
2003-11-13,8631936000
2003-11-14,8604504000
2003-11-17,8618220000
2003-11-18,8426196000
2003-11-19,8476488000
2003-11-20,8458200000
2003-11-21,8549640000
2003-11-24,8622792000
2003-11-25,8609076000
2003-11-26,8686800000
2003-11-28,8686800000
2003-12-01,8773668000
2003-12-02,9079992000
2003-12-03,9084564000
2003-12-04,8951976000
2003-12-05,8901684000
2003-12-08,8869680000
2003-12-09,8942832000
2003-12-10,8732520000
2003-12-11,8691372000
2003-12-12,8695944000
2003-12-15,8636508000
2003-12-16,8462772000
2003-12-17,8522208000
2003-12-18,8663940000
2003-12-19,8595360000
2003-12-22,8714232000
2003-12-23,8979408000
2003-12-24,9015984000
2003-12-26,9006840000
2003-12-29,9070848000
2003-12-30,9066276000
2003-12-31,8963058000
2004-01-02,8807814000
2004-01-05,8821512000
2004-01-06,8725626000
2004-01-07,8771286000
2004-01-08,8743890000
2004-01-09,8711928000
2004-01-12,8716494000
2004-01-13,8753022000
2004-01-14,8871738000
2004-01-15,8830644000
2004-01-16,9282678000
2004-01-20,9218754000
2004-01-21,9378564000
2004-01-22,9223320000
2004-01-23,9159396000
2004-01-26,9310074000
2004-01-27,9287244000
2004-01-28,9109170000
2004-01-29,9565770000
2004-01-30,9355734000
2004-02-02,9273546000
2004-02-03,9237018000
2004-02-04,9451620000
2004-02-05,9355734000
2004-02-06,9469884000
2004-02-09,9524676000
2004-02-10,9533808000
2004-02-11,9520110000
2004-02-12,9510978000
2004-02-13,9456186000
2004-02-17,9529242000
2004-02-18,9492714000
2004-02-19,9529242000
2004-02-20,9323772000
2004-02-23,9392262000
2004-02-24,9428790000
2004-02-25,9488148000
2004-02-26,9529242000
2004-02-27,9725580000
2004-03-01,9857994000
2004-03-02,9766674000
2004-03-03,9725580000
2004-03-04,9739278000
2004-03-05,9949314000
2004-03-08,9899088000
2004-03-09,9807768000
2004-03-10,9908220000
2004-03-11,9871692000
2004-03-12,9716448000
2004-03-15,9675354000
2004-03-16,9725580000
2004-03-17,9752976000
2004-03-18,9871692000
2004-03-19,9839730000
2004-03-22,9816900000
2004-03-23,9629694000
2004-03-24,9579468000
2004-03-25,9871692000
2004-03-26,9835164000
2004-03-29,9830598000
2004-03-30,9775806000
2004-03-31,10105086000
2004-04-01,10073180000
2004-04-02,9995694000
2004-04-05,9913650000
2004-04-06,10146108000
2004-04-07,10150666000
2004-04-08,9977462000
2004-04-12,9931882000
2004-04-13,9972904000
2004-04-14,9950114000
2004-04-15,9968346000
2004-04-16,10086854000
2004-04-19,10027600000
2004-04-20,9881744000
2004-04-21,9936440000
2004-04-22,10127876000
2004-04-23,9963788000
2004-04-26,10027600000
2004-04-27,10027600000
2004-04-28,10123318000
2004-04-29,10483400000
2004-04-30,10419588000
2004-05-03,10506190000
2004-05-04,10542654000
2004-05-05,10706742000
2004-05-06,10693068000
2004-05-07,10588234000
2004-05-10,10291964000
2004-05-11,10314754000
2004-05-12,10474284000
2004-05-13,10250942000
2004-05-14,10291964000
2004-05-17,10219036000
2004-05-18,9968346000
2004-05-19,10018484000
2004-05-20,10023042000
2004-05-21,10105086000
2004-05-24,10155224000
2004-05-25,10392240000
2004-05-26,10428704000
2004-05-27,10369450000
2004-05-28,10437820000
2004-06-01,10328428000
2004-06-02,10342102000
2004-06-03,10209920000
2004-06-04,10136992000
2004-06-07,10187130000
2004-06-08,10173456000
2004-06-09,10556328000
2004-06-10,10611024000
2004-06-14,10738648000
2004-06-15,10889062000
2004-06-16,10893620000
2004-06-17,10861714000
2004-06-18,10743206000
2004-06-21,10724974000
2004-06-22,10779670000
2004-06-23,10775112000
2004-06-24,10724974000
2004-06-25,10734090000
2004-06-28,10907294000
2004-06-29,10971106000
2004-06-30,11077938000
2004-07-01,11000724000
2004-07-02,10978014000
2004-07-06,11073396000
2004-07-07,11082480000
2004-07-08,11073396000
2004-07-09,11014350000
2004-07-12,10937136000
2004-07-13,10859922000
2004-07-14,10632822000
2004-07-15,10501104000
2004-07-16,10591944000
2004-07-19,10564692000
2004-07-20,10560150000
2004-07-21,10346676000
2004-07-22,10224042000
2004-07-23,10051446000
2004-07-26,10028736000
2004-07-27,10078698000
2004-07-28,9974232000
2004-07-29,9919728000
2004-07-30,9969690000
2004-08-02,10019652000
2004-08-03,9992400000
2004-08-04,9978774000
2004-08-05,9833430000
2004-08-06,9751674000
2004-08-09,9924270000
2004-08-10,9946980000
2004-08-11,9996942000
2004-08-12,9933354000
2004-08-13,9833430000
2004-08-16,9878850000
2004-08-17,9084000000
2004-08-18,9601788000
2004-08-19,9651750000
2004-08-20,9710796000
2004-08-23,9792552000
2004-08-24,9788010000
