,EP
2001-07-02,8088035.52
2001-07-03,8088035.52
2001-07-05,8088035.52
2001-07-06,8088035.52
2001-07-09,8088035.52
2001-07-10,8088035.52
2001-07-11,8088035.52
2001-07-12,8088035.52
2001-07-13,8088035.52
2001-07-16,9365093.76
2001-07-17,9365093.76
2001-07-18,9577936.8
2001-07-19,10854995.0
2001-07-20,10854995.0
2001-07-23,10854995.0
2001-07-24,10854995.0
2001-07-25,11067838.0
2001-07-26,11067838.0
2001-07-27,11067838.0
2001-07-30,11067838.0
2001-07-31,11067838.0
2001-08-01,11067838.0
2001-08-02,11067838.0
2001-08-03,11067838.0
2001-08-06,11067838.0
2001-08-07,11280681.0
2001-08-08,11280681.0
2001-08-09,12770582.0
2001-08-10,12770582.0
2001-08-13,11919210.0
2001-08-14,11919210.0
2001-08-15,11919210.0
2001-08-16,12770582.0
2001-08-17,12770582.0
2001-08-20,8726564.64
2001-08-21,8726564.64
2001-08-22,8726564.64
2001-08-23,8726564.64
2001-08-24,8088035.52
2001-08-27,8088035.52
2001-08-28,8088035.52
2001-08-29,7662349.44
2001-08-30,7449506.4
2001-08-31,7449506.4
2001-09-04,7449506.4
2001-09-05,7449506.4
2001-09-06,7236663.36
2001-09-07,7236663.36
2001-09-10,7236663.36
2001-09-17,6385291.2
2001-09-18,6385291.2
2001-09-19,5108232.96
2001-09-20,5959605.12
2001-09-21,5959605.12
2001-09-24,5959605.12
2001-09-25,5959605.12
2001-09-26,5959605.12
2001-09-27,5959605.12
2001-09-28,5321076.0
2001-10-01,5873784.0
2001-10-02,5873784.0
2001-10-03,5873784.0
2001-10-04,7048540.8
2001-10-05,7048540.8
2001-10-08,7048540.8
2001-10-09,7048540.8
2001-10-10,6108735.36
2001-10-11,6108735.36
2001-10-12,6108735.36
2001-10-15,6108735.36
2001-10-16,6108735.36
2001-10-17,6108735.36
2001-10-18,6108735.36
2001-10-19,6813589.44
2001-10-22,6108735.36
2001-10-23,5873784.0
2001-10-24,5873784.0
2001-10-25,6578638.08
2001-10-26,6578638.08
2001-10-29,6578638.08
2001-10-30,6578638.08
2001-10-31,5873784.0
2001-11-01,7048540.8
