,CPRT
2000-11-06,865148584
2000-11-07,895928098
2000-11-08,882258528
2000-11-09,882258528
2000-11-10,868575826
2000-11-13,895928098
2000-11-14,889086747
2000-11-15,930121722
2000-11-16,926707613
2000-11-17,933548964
2000-11-20,858320365
2000-11-21,909610801
2000-11-22,875417177
2000-11-24,899355340
2000-11-27,861734475
2000-11-28,947218534
2000-11-29,967742588
2000-11-30,930121722
2000-12-01,984839400
2000-12-04,957487127
2000-12-05,977998048
2000-12-06,936963073
2000-12-07,964328478
2000-12-08,957487127
2000-12-11,960901236
2000-12-12,1025874375
2000-12-13,1019033023
2000-12-14,1025874375
2000-12-15,1022460265
2000-12-18,1087433403
2000-12-19,1032715726
2000-12-20,1012191672
2000-12-21,1042971186
2000-12-22,1107944325
2000-12-26,1097688864
2000-12-27,1111358434
2000-12-28,1186600165
2000-12-29,1176331572
2001-01-02,1049812538
2001-01-03,1087433403
2001-01-04,1060067998
2001-01-05,1066909350
2001-01-08,1066909350
2001-01-09,1015618914
2001-01-10,998522102
2001-01-11,977998048
2001-01-12,977998048
2001-01-16,947218534
2001-01-17,919866261
2001-01-18,930121722
2001-01-19,933548964
2001-01-22,971156697
2001-01-23,995948388
2001-01-24,954059885
2001-01-25,984839400
2001-01-26,998522102
2001-01-29,1025874375
2001-01-30,1029288484
2001-01-31,1036057813
2001-02-01,1022298341
2001-02-02,991316400
2001-02-05,997343603
2001-02-06,1018848560
2001-02-07,1046393939
2001-02-08,1067898896
2001-02-09,1032621250
2001-02-12,1080812444
2001-02-13,1094585133
2001-02-14,1056716847
2001-02-15,1115230950
2001-02-16,1077362663
2001-02-20,1067039755
2001-02-21,1067039755
2001-02-22,1091135352
2001-02-23,1098021697
2001-02-26,1129003639
2001-02-27,1001639308
2001-02-28,1042944158
2001-03-01,1122117294
2001-03-02,1118667513
2001-03-05,1156535800
2001-03-06,1125553858
2001-03-07,1156535800
2001-03-08,1184067960
2001-03-09,1201277213
2001-03-12,1101458260
2001-03-13,1104908041
2001-03-14,1098021697
2001-03-15,1077362663
2001-03-16,1039507594
2001-03-19,1036057813
2001-03-20,1070489536
2001-03-21,1039507594
2001-03-22,991316400
2001-03-23,1018848560
2001-03-26,1094849484
2001-03-27,1101458260
2001-03-28,1095959759
2001-03-29,1097056816
2001-03-30,1128448502
2001-04-02,1100361204
2001-04-03,1094849484
2001-04-04,1082187070
2001-04-05,1104220729
2001-04-06,1074481237
2001-04-09,1088240708
2001-04-10,1151579218
2001-04-11,1181318710
2001-04-12,1233633780
2001-04-16,1198395787
2001-04-17,1280450350
2001-04-18,1244657219
2001-04-19,1269440129
2001-04-20,1242449888
2001-04-23,1257319634
2001-04-24,1228135279
2001-04-25,1233633780
2001-04-26,1238590362
2001-04-27,1267232798
2001-04-30,1265543980
2001-05-01,1325760000
2001-05-02,1339017600
2001-05-03,1308631180
2001-05-04,1294273200
2001-05-07,1263343219
2001-05-08,1265000419
2001-05-09,1240142419
2001-05-10,1251742819
2001-05-11,1250629180
2001-05-14,1252843200
2001-05-15,1210856380
2001-05-16,1202570380
2001-05-17,1219699200
2001-05-18,1215284419
2001-05-21,1232399980
2001-05-22,1265000419
2001-05-23,1266100800
2001-05-24,1273286419
2001-05-25,1247871600
2001-05-29,1270515580
2001-05-30,1249528800
2001-05-31,1325760000
2001-06-01,1378790400
2001-06-04,1418563200
2001-06-05,1431820800
2001-06-06,1405305600
2001-06-07,1418563200
2001-06-08,1418563200
2001-06-11,1418563200
2001-06-12,1378790400
2001-06-13,1378790400
2001-06-14,1352275200
2001-06-15,1365532800
2001-06-18,1365532800
2001-06-19,1339017600
2001-06-20,1378790400
2001-06-21,1498108799
2001-06-22,1458336000
2001-06-25,1511366399
2001-06-26,1551139200
2001-06-27,1657200000
2001-06-28,1617427200
2001-06-29,1617427200
2001-07-02,1590912000
2001-07-03,1511366399
2001-07-05,1551139200
2001-07-06,1537881600
2001-07-09,1511366399
2001-07-10,1511366399
2001-07-11,1551139200
2001-07-12,1604169600
2001-07-13,1604169600
2001-07-16,1551139200
2001-07-17,1617427200
2001-07-18,1630684800
2001-07-19,1617427200
2001-07-20,1604169600
2001-07-23,1604169600
2001-07-24,1590912000
2001-07-25,1604169600
2001-07-26,1617427200
2001-07-27,1564396800
2001-07-30,1564396800
2001-07-31,1570522416
2001-08-01,1557212904
2001-08-02,1597141440
2001-08-03,1557212904
2001-08-06,1517284367
2001-08-07,1503974855
2001-08-08,1464046320
2001-08-09,1410808272
2001-08-10,1370879736
2001-08-13,1344260712
2001-08-14,1370879736
2001-08-15,1424117784
2001-08-16,1397498760
2001-08-17,1384189248
2001-08-20,1370879736
2001-08-21,1344260712
2001-08-22,1330951200
2001-08-23,1344260712
2001-08-24,1357570224
2001-08-27,1344260712
2001-08-28,1312091621
2001-08-29,1344260712
2001-08-30,1344260712
2001-08-31,1370879736
2001-09-04,1384189248
2001-09-05,1397498760
2001-09-06,1370879736
2001-09-07,1344260712
2001-09-10,1330951200
2001-09-17,1269953706
2001-09-18,1330951200
2001-09-19,1410808272
2001-09-20,1370879736
2001-09-21,1312091621
2001-09-24,1503974855
2001-09-25,1517284367
2001-09-26,1517284367
2001-09-27,1530593880
2001-09-28,1557212904
2001-10-01,1557212904
2001-10-02,1650379488
2001-10-03,1783474608
2001-10-04,1796784120
2001-10-05,1783474608
2001-10-08,1716927048
2001-10-09,1756855584
2001-10-10,1823403144
2001-10-11,1889950704
2001-10-12,1863331680
2001-10-15,1823403144
2001-10-16,1783474608
2001-10-17,1770165096
2001-10-18,1783474608
2001-10-19,1836712655
2001-10-22,1730236560
2001-10-23,1650379488
2001-10-24,1690308024
2001-10-25,1770165096
2001-10-26,1743546072
2001-10-29,1663689000
2001-10-30,1637069976
2001-10-31,1739710240
2001-11-01,1839529680
2001-11-02,1910829280
2001-11-05,1896569360
2001-11-06,1925089200
2001-11-07,1967868959
2001-11-08,1982128879
2001-11-09,1953609040
2001-11-12,1811009840
2001-11-13,1768230080
2001-11-14,1825269760
2001-11-15,1782490000
2001-11-16,1782490000
2001-11-19,1782490000
2001-11-20,1811009840
2001-11-21,1782490000
2001-11-23,1811009840
2001-11-26,1953609040
2001-11-27,2039168560
2001-11-28,1996388799
2001-11-29,1996388799
2001-11-30,2039168560
2001-12-03,1996388799
2001-12-04,2096208240
2001-12-05,2138988000
2001-12-06,2110468160
2001-12-07,2110468160
2001-12-10,2053428480
2001-12-11,2067688400
2001-12-12,2024908640
2001-12-13,2010648720
2001-12-14,2081948320
2001-12-17,2167507840
2001-12-18,2224547520
2001-12-19,2238807440
2001-12-20,2153247920
2001-12-21,2153247920
2001-12-24,2253067360
2001-12-26,2281587200
2001-12-27,2267327280
2001-12-28,2210287600
2001-12-31,2167507840
2002-01-02,2096208240
2002-01-03,2181767760
2002-01-04,2053428480
2002-01-07,2010648720
2002-01-08,1953609040
2002-01-09,1939349120
2002-01-10,1953609040
2002-01-11,1967868959
2002-01-14,1868049520
2002-01-15,1896569360
2002-01-16,1939349120
2002-01-17,1953609040
2002-01-18,1939349120
2002-01-22,1925089200
2002-01-23,1939349120
2002-01-24,2039168560
2002-01-25,1967868959
2002-01-28,2053428480
2002-01-29,2010648720
2002-01-30,1996388799
2002-01-31,2049136080
2002-02-01,2092734720
2002-02-04,2136333360
2002-02-05,2165399120
2002-02-06,2107267600
2002-02-07,2078201840
2002-02-08,2121800480
2002-02-11,2078201840
2002-02-12,2063668960
2002-02-13,2092734720
2002-02-14,2078201840
2002-02-15,2049136080
2002-02-19,1947405920
2002-02-20,1932873040
2002-02-21,1860208640
2002-02-22,1889274400
2002-02-25,1845675760
2002-02-26,1816610000
2002-02-27,1555018160
2002-02-28,1584083920
2002-03-01,1598616800
2002-03-04,1540485280
2002-03-05,1584083920
2002-03-06,1584083920
2002-03-07,1525952400
2002-03-08,1555018160
2002-03-11,1525952400
2002-03-12,1511419520
2002-03-13,1482353760
2002-03-14,1482353760
2002-03-15,1482353760
2002-03-18,1496886640
2002-03-19,1555018160
2002-03-20,1627682560
2002-03-21,1627682560
2002-03-22,1627682560
2002-03-25,1569551040
2002-03-26,1584083920
2002-03-27,1584083920
2002-03-28,1627682560
2002-04-01,1613149680
2002-04-02,1613149680
2002-04-03,1627682560
2002-04-04,1627682560
2002-04-05,1642215439
2002-04-08,1685814080
2002-04-09,1642215439
2002-04-10,1729412720
2002-04-11,1714879840
2002-04-12,1758478480
2002-04-15,1714879840
2002-04-16,1729412720
2002-04-17,1656748319
2002-04-18,1569551040
2002-04-19,1511419520
2002-04-22,1482353760
2002-04-23,1511419520
2002-04-24,1511419520
2002-04-25,1525952400
2002-04-26,1432404251
2002-04-29,1389706650
2002-04-30,1414163671
2002-05-01,1355355351
2002-05-02,1392110551
2002-05-03,1397623831
2002-05-06,1451830400
2002-05-07,1449992640
2002-05-08,1499612160
2002-05-09,1558420480
2002-05-10,1573122560
2002-05-13,1602526720
2002-05-14,1602526720
2002-05-15,1617228800
2002-05-16,1602526720
2002-05-17,1602526720
2002-05-20,1602526720
2002-05-21,1587824640
2002-05-22,1587824640
2002-05-23,1587824640
2002-05-24,1573122560
2002-05-28,1543718400
2002-05-29,1529016320
2002-05-30,1529016320
2002-05-31,1514314240
2002-06-03,1499612160
2002-06-04,1529016320
2002-06-05,1558420480
2002-06-06,1543718400
2002-06-07,1529016320
2002-06-10,1543718400
2002-06-11,1499612160
2002-06-12,1499612160
2002-06-13,1464694720
2002-06-14,1514314240
2002-06-17,1543718400
2002-06-18,1470208000
2002-06-19,1470208000
2002-06-20,1470208000
2002-06-21,1484910080
2002-06-24,1470208000
2002-06-25,1470208000
2002-06-26,1484910080
2002-06-27,1499612160
2002-06-28,1484910080
2002-07-01,1465620951
2002-07-02,1448154880
2002-07-03,1448154880
2002-07-05,1499612160
2002-07-08,1499612160
2002-07-09,1445405591
2002-07-10,1378320000
2002-07-11,1381995520
2002-07-12,1355355351
2002-07-15,1343402560
2002-07-16,1302971840
2002-07-17,1312160640
2002-07-18,1253352320
2002-07-19,1231299200
2002-07-22,1159626560
2002-07-23,1166977600
2002-07-24,1115520320
2002-07-25,1151363991
2002-07-26,1191794711
2002-07-29,1242325760
2002-07-30,1227623680
2002-07-31,1226910370
2002-08-01,1202925656
2002-08-02,1180785920
2002-08-05,1106986800
2002-08-06,1118056668
2002-08-07,1104226712
2002-08-08,1082086976
2002-08-09,1077467152
2002-08-12,1096846800
2002-08-13,1094071954
2002-08-14,1083002086
2002-08-15,1087621910
2002-08-16,1090381998
2002-08-19,1188165832
2002-08-20,1236135260
2002-08-21,1285949666
2002-08-22,1312709226
2002-08-23,1301639358
2002-08-26,1326539182
2002-08-27,1278569754
2002-08-28,1270274732
2002-08-29,1315469314
2002-08-30,1297949402
2002-09-03,1253669930
2002-09-04,1281344600
2002-09-05,1215840502
2002-09-06,1347763808
2002-09-09,1357903808
2002-09-10,1360678654
2002-09-11,1341299006
2002-09-12,1319159270
2002-09-13,1339454028
2002-09-16,1351453764
2002-09-17,1327469050
2002-09-18,963078516
2002-09-19,969543318
2002-09-20,969543318
2002-09-23,968613450
2002-09-24,951093538
2002-09-25,983373274
2002-09-26,990753186
2002-09-27,1008287856
2002-09-30,1000907944
2002-10-01,1010132834
2002-10-02,1013822790
2002-10-03,1007357988
2002-10-04,984303142
2002-10-07,986148120
2002-10-08,941868648
2002-10-09,904969088
2002-10-10,996288120
2002-10-11,1016582878
2002-10-14,1010132834
2002-10-15,1019357724
2002-10-16,1013822790
2002-10-17,1014737900
2002-10-18,1018427855
2002-10-21,1013822790
2002-10-22,1020272834
2002-10-23,1033187679
2002-10-24,1014737900
2002-10-25,1014737900
2002-10-28,978768208
2002-10-29,966768472
2002-10-30,966768472
2002-10-31,985551542
2002-11-01,1024345220
2002-11-04,999399038
2002-11-05,999399038
2002-11-06,1013261312
2002-11-07,989246178
2002-11-08,980925857
2002-11-11,958758042
2002-11-12,967078362
2002-11-13,972620316
2002-11-14,985551542
2002-11-15,1055749626
2002-11-18,1039123764
2002-11-19,1077917442
2002-11-20,1125947710
2002-11-21,1149031796
2002-11-22,1168436024
2002-11-25,1182283520
2002-11-26,1119474708
2002-11-27,1133336982
2002-11-29,1116711120
2002-12-02,1154573750
2002-12-03,1135184300
2002-12-04,1144420890
2002-12-05,1122253074
2002-12-06,1158268386
2002-12-09,1090848668
2002-12-10,1119474708
2002-12-11,1097306892
2002-12-12,1054818578
2002-12-13,1048360354
2002-12-16,1062207850
2002-12-17,1071444440
2002-12-18,1069597122
2002-12-19,1076070124
2002-12-20,1124100392
2002-12-23,1100085258
2002-12-24,1110238118
2002-12-26,1112085436
2002-12-27,1095459574
2002-12-30,1089917620
2002-12-31,1093612256
2003-01-02,1130558616
2003-01-03,1105627212
2003-01-06,1113016484
2003-01-07,1113016484
2003-01-08,1088070302
2003-01-09,1137031618
2003-01-10,1126863980
2003-01-13,1136100570
2003-01-14,1150879114
2003-01-15,1152726432
2003-01-16,1136100570
2003-01-17,1105627212
2003-01-21,1091764938
2003-01-22,1033581810
2003-01-23,998482768
2003-01-24,967078362
2003-01-27,966147314
2003-01-28,980009588
2003-01-29,969841950
2003-01-30,947674134
2003-01-31,937485628
2003-02-03,926542216
2003-02-04,921070510
2003-02-05,888240274
2003-02-06,901007588
2003-02-07,913774902
2003-02-10,883687814
2003-02-11,878216108
2003-02-12,858153186
2003-02-13,847195183
2003-02-14,863624892
2003-02-18,870920500
2003-02-19,662995672
2003-02-20,674843740
2003-02-21,729560800
2003-02-24,693082760
2003-02-25,685787152
2003-02-26,693082760
2003-02-27,702202270
2003-02-28,712241026
2003-03-03,704026172
2003-03-04,692178104
2003-03-05,697649810
2003-03-06,683058594
2003-03-07,681234692
2003-03-10,658428622
2003-03-11,643837406
2003-03-12,643837406
2003-03-13,674843740
2003-03-14,669372034
2003-03-17,681234692
2003-03-18,698554466
2003-03-19,693082760
2003-03-20,705850074
2003-03-21,715888830
2003-03-24,706769320
2003-03-25,710417124
2003-03-26,725008340
2003-03-27,725008340
2003-03-28,726832242
2003-03-31,700378368
2003-04-01,694002006
2003-04-02,712241026
2003-04-03,703121516
2003-04-04,729560800
2003-04-07,745975918
2003-04-08,746895164
2003-04-09,756000083
2003-04-10,750542968
2003-04-11,731384702
2003-04-14,768781988
2003-04-15,742328114
2003-04-16,712241026
2003-04-17,728656144
2003-04-21,729560800
2003-04-22,727736898
2003-04-23,734127850
2003-04-24,729560800
2003-04-25,720441290
2003-04-28,729560800
2003-04-29,742328114
2003-04-30,754299840
2003-05-01,745320080
2003-05-02,769572615
2003-05-05,769572615
2003-05-06,765075552
2003-05-07,771368567
2003-05-08,765075552
2003-05-09,783035072
2003-05-12,808178400
2003-05-13,794715943
2003-05-14,812675463
2003-05-15,820750064
2003-05-16,797402688
2003-05-19,778552375
2003-05-20,773164519
2003-05-21,774960471
2003-05-22,808178400
2003-05-23,808178400
2003-05-27,808178400
2003-05-28,799198640
2003-05-29,809974352
2003-05-30,806382448
2003-06-02,838709584
2003-06-03,839614743
2003-06-04,876424576
2003-06-05,897976000
2003-06-06,886295128
2003-06-09,885404336
2003-06-10,895289255
2003-06-11,897085207
2003-06-12,890792192
2003-06-13,894384096
2003-06-16,938377736
2003-06-17,933895040
2003-06-18,897976000
2003-06-19,897976000
2003-06-20,896180048
2003-06-23,880921639
2003-06-24,880921639
2003-06-25,876424576
2003-06-26,867444816
2003-06-27,877329735
2003-06-30,860261008
2003-07-01,835117680
2003-07-02,831525776
2003-07-03,826137919
2003-07-07,867444816
2003-07-08,875533783
2003-07-09,871941879
2003-07-10,872832672
2003-07-11,877329735
2003-07-14,875533783
2003-07-15,880016480
2003-07-16,876424576
2003-07-17,852186407
2003-07-18,855763944
2003-07-21,835117680
2003-07-22,844097440
2003-07-23,840505536
2003-07-24,836022839
2003-07-25,839614743
2003-07-28,829729824
2003-07-29,817158160
2003-07-30,827933872
2003-07-31,839436836
2003-08-01,798270424
2003-08-04,788433441
2003-08-05,773212608
2003-08-06,772324845
2003-08-07,774114689
2003-08-08,765165469
2003-08-11,754426405
2003-08-12,799172505
2003-08-13,792900892
2003-08-14,796480580
2003-08-15,786629278
2003-08-18,782161828
2003-08-19,787531360
2003-08-20,808107406
2003-08-21,843918605
2003-08-22,829599853
2003-08-25,854657669
2003-08-26,852853506
2003-08-27,875233716
2003-08-28,894034237
2003-08-29,899403769
2003-09-02,926251429
2003-09-03,930718880
2003-09-04,919979816
2003-09-05,919092053
2003-09-08,952197008
2003-09-09,929831117
2003-09-10,926251429
2003-09-11,928929036
2003-09-12,937878256
2003-09-15,930718880
2003-09-16,946827476
2003-09-17,948617320
2003-09-18,988895969
2003-09-19,986204044
2003-09-22,981736593
2003-09-23,989783732
2003-09-24,982624356
2003-09-25,982624356
2003-09-26,951309245
2003-09-29,983526437
2003-09-30,971885292
2003-10-01,1021113161
2003-10-02,1024692849
2003-10-03,1037221757
2003-10-06,1016631392
2003-10-07,1020211080
2003-10-08,986204044
2003-10-09,996055345
2003-10-10,1057797804
2003-10-13,1187568653
2003-10-14,1128503801
2003-10-15,1095384528
2003-10-16,1080178013
2003-10-17,1081967857
2003-10-20,1123134269
2003-10-21,1089127233
2003-10-22,1052428272
2003-10-23,1064069417
2003-10-24,1073906400
2003-10-27,1115974893
2003-10-28,1136550940
2003-10-29,1123134269
2003-10-30,1107913436
2003-10-31,1110133907
2003-11-03,1109236548
2003-11-04,1143065592
2003-11-05,1135060571
2003-11-06,1134163212
2003-11-07,1126158191
2003-11-10,1113694859
2003-11-11,1113694859
2003-11-12,1140401999
2003-11-13,1117255811
2003-11-14,1103895120
2003-11-17,1109236548
2003-11-18,1054041792
2003-11-19,1068285600
2003-11-20,1068285600
2003-11-21,1074524387
2003-11-24,1078968456
2003-11-25,1086090360
2003-11-26,1073627028
2003-11-28,1068285600
2003-12-01,1067402483
2003-12-02,1039797984
2003-12-03,1086987719
2003-12-04,1158206759
2003-12-05,1266815795
2003-12-08,1273040340
2003-12-09,1315771764
2003-12-10,1322893668
2003-12-11,1378088424
2003-12-12,1393229591
2003-12-15,1364741975
2003-12-16,1368302927
2003-12-17,1350498167
2003-12-18,1397673660
2003-12-19,1403912447
2003-12-22,1438624608
2003-12-23,1481356032
2003-12-24,1467112224
2003-12-26,1481356032
2003-12-29,1509843648
2003-12-30,1495599840
2003-12-31,1481356032
2004-01-02,1495599840
2004-01-05,1495599840
2004-01-06,1524087456
2004-01-07,1538331264
2004-01-08,1566818880
2004-01-09,1566818880
2004-01-12,1595306496
2004-01-13,1581062688
2004-01-14,1566818880
2004-01-15,1595306496
2004-01-16,1609550303
2004-01-20,1638037919
2004-01-21,1623794111
2004-01-22,1609550303
2004-01-23,1623794111
2004-01-26,1609550303
2004-01-27,1609550303
2004-01-28,1566818880
2004-01-29,1538331264
2004-01-30,1495599840
2004-02-02,1487166720
2004-02-03,1501466400
2004-02-04,1444267680
2004-02-05,1472867040
2004-02-06,1515766080
2004-02-09,1501466400
2004-02-10,1558665120
2004-02-11,1572964800
2004-02-12,1558665120
2004-02-13,1530065760
2004-02-17,1587264480
2004-02-18,1530065760
2004-02-19,1487166720
2004-02-20,1487166720
2004-02-23,1472867040
2004-02-24,1458567360
2004-02-25,1687362240
2004-02-26,1715961600
2004-02-27,1758860640
2004-03-01,1773160320
2004-03-02,1701661920
2004-03-03,1715961600
2004-03-04,1773160320
2004-03-05,1844658720
2004-03-08,1816059360
2004-03-09,1816059360
2004-03-10,1758860640
2004-03-11,1744560960
2004-03-12,1787460000
2004-03-15,1730261280
2004-03-16,1730261280
2004-03-17,1758860640
2004-03-18,1758860640
2004-03-19,1744560960
2004-03-22,1715961600
2004-03-23,1744560960
2004-03-24,1744560960
2004-03-25,1830359040
2004-03-26,1844658720
2004-03-29,1873258080
2004-03-30,1944756480
2004-03-31,1944756480
2004-04-01,1959056160
2004-04-02,1973355839
2004-04-05,1987655519
2004-04-06,1944756480
2004-04-07,1916157120
2004-04-08,1901857440
2004-04-12,1916157120
2004-04-13,1830359040
2004-04-14,1787460000
2004-04-15,1801759680
2004-04-16,1844658720
2004-04-19,1844658720
2004-04-20,1787460000
2004-04-21,1858958400
2004-04-22,1930456800
2004-04-23,1901857440
2004-04-26,1916157120
2004-04-27,1858958400
2004-04-28,1830359040
2004-04-29,1744560960
2004-04-30,1698067200
2004-05-03,1712457600
2004-05-04,1755628800
2004-05-05,1755628800
2004-05-06,1712457600
2004-05-07,1654895999
2004-05-10,1597334400
2004-05-11,1654895999
2004-05-12,1640505599
2004-05-13,1626115199
2004-05-14,1597334400
2004-05-17,1554163200
2004-05-18,1568553600
2004-05-19,1582944000
2004-05-20,1654895999
2004-05-21,1683676800
2004-05-24,1712457600
2004-05-25,1770019200
2004-05-26,2086608000
2004-05-27,2172950400
2004-05-28,2201731200
2004-06-01,2201731200
2004-06-02,2172950400
2004-06-03,2100998400
2004-06-04,2144169600
2004-06-07,2187340800
2004-06-08,2230512000
2004-06-09,2158560000
2004-06-10,2158560000
2004-06-14,2115388800
2004-06-15,2201731200
2004-06-16,2216121600
2004-06-17,2216121600
2004-06-18,2187340800
2004-06-21,2201731200
2004-06-22,2230512000
2004-06-23,2259292800
2004-06-24,2273683200
2004-06-25,2288073600
2004-06-28,2331244800
2004-06-29,2403196800
2004-06-30,2403196800
2004-07-01,2331244800
2004-07-02,2360025600
2004-07-06,2302464000
2004-07-07,2259292800
2004-07-08,2230512000
2004-07-09,2259292800
2004-07-12,2216121600
2004-07-13,2244902400
2004-07-14,2244902400
2004-07-15,2230512000
2004-07-16,2230512000
2004-07-19,2201731200
2004-07-20,2244902400
2004-07-21,2172950400
2004-07-22,2000265599
2004-07-23,2000265599
2004-07-26,1957094400
2004-07-27,1985875199
2004-07-28,1957094400
2004-07-29,2014655999
2004-07-30,2000265599
2004-08-02,2104292160
2004-08-03,2003401439
2004-08-04,1960162560
2004-08-05,1888097760
2004-08-06,1844858880
2004-08-09,1873684800
2004-08-10,1902510720
2004-08-11,1916923680
2004-08-12,1873684800
2004-08-13,1830445920
2004-08-16,1888097760
2004-08-17,1888097760
2004-08-18,1988988479
2004-08-19,1931336640
2004-08-20,1988988479
2004-08-23,1960162560
2004-08-24,1916923680
2004-08-25,1931336640
2004-08-26,1988988479
2004-08-27,1974575520
2004-08-30,1945749600
2004-08-31,1960162560
2004-09-01,1945749600
2004-09-02,1931336640
2004-09-03,1945749600
2004-09-07,1945749600
2004-09-08,1945749600
2004-09-09,1916923680
2004-09-10,1902510720
2004-09-13,1960162560
2004-09-14,1974575520
2004-09-15,1729555200
2004-09-16,1686316320
2004-09-17,1643077439
2004-09-20,1614251520
2004-09-21,1686316320
2004-09-22,1700729280
2004-09-23,1700729280
2004-09-24,1700729280
2004-09-27,1671903360
2004-09-28,1671903360
2004-09-29,1686316320
2004-09-30,1700729280
2004-10-01,1729555200
2004-10-04,1729555200
2004-10-05,1729555200
2004-10-06,1743968160
2004-10-07,1729555200
2004-10-08,1700729280
2004-10-11,1686316320
2004-10-12,1686316320
