,ATVI
2002-03-19,1727836022
2002-03-20,1687611903
2002-03-21,1765058341
2002-03-22,1684610103
2002-03-25,1684009743
2002-03-26,1717029542
2002-03-27,1750049341
2002-03-28,1790873820
2002-04-01,1786070940
2002-04-02,1699018743
2002-04-03,1705022343
2002-04-04,1735640702
2002-04-05,1715828822
2002-04-08,1743445381
2002-04-09,1738042142
2002-04-10,1797477780
2002-04-11,1757854021
2002-04-12,1792074540
2002-04-15,1853311258
2002-04-16,1901940416
2002-04-17,1879727097
2002-04-18,1897737896
2002-04-19,1888132137
2002-04-22,1856913418
2002-04-23,1778866620
2002-04-24,1814287859
2002-04-25,1866519177
2002-04-26,1795076340
2002-04-29,1780667700
2002-04-30,1889933217
2002-05-01,1930157335
2002-05-02,1906142936
2002-05-03,1835900818
2002-05-06,1882128537
2002-05-07,1840103338
2002-05-08,2038222132
2002-05-09,1939162735
2002-05-10,1908544376
2002-05-13,2010605573
2002-05-14,1963177134
2002-05-15,1949969215
2002-05-16,1965578574
2002-05-17,1981788293
2002-05-20,1973983614
2002-05-21,1936761295
2002-05-22,1942764895
2002-05-23,2080847690
2002-05-24,2042424651
2002-05-28,2015408452
2002-05-29,1981187934
2002-05-30,1993195133
2002-05-31,1958374254
2002-06-03,1937962015
2002-06-04,2077845890
2002-06-05,1926555175
2002-06-06,1781268060
2002-06-07,1802881019
2002-06-10,1861115938
2002-06-11,1784269860
2002-06-12,1754852221
2002-06-13,1726635302
2002-06-14,1681007944
2002-06-17,1741043942
2002-06-18,1776465180
2002-06-19,1732638902
2002-06-20,1717629902
2002-06-21,1690613703
2002-06-24,1684610103
2002-06-25,1717029542
2002-06-26,1676205064
2002-06-27,1741043942
2002-06-28,1744646101
2002-07-01,1850408982
2002-07-02,1752913597
2002-07-03,1759591364
2002-07-05,1818355705
2002-07-08,1738222512
2002-07-09,1690142596
2002-07-10,1736886959
2002-07-11,1769608013
2002-07-12,1813681269
2002-07-15,1826369024
2002-07-16,1892478909
2002-07-17,1885801143
2002-07-18,1798322407
2002-07-19,1709508118
2002-07-22,1607338297
2002-07-23,1642730457
2002-07-24,1835050120
2002-07-25,1762930247
2002-07-26,1786302428
2002-07-29,1869106727
2002-07-30,1877787823
2002-07-31,1917854420
2002-08-01,1851076759
2002-08-02,1798322407
2002-08-05,1746235831
2002-08-06,1816352375
2002-08-07,1868438951
2002-08-08,1828372354
2002-08-09,1858422302
2002-08-12,1795651300
2002-08-13,1735551406
2002-08-14,1823697918
2002-08-15,1817687929
2002-08-16,1827704578
2002-08-19,2009339815
2002-08-20,1979289868
2002-08-21,2002662049
2002-08-22,2035383103
2002-08-23,2052745295
2002-08-26,2085466349
2002-08-27,1919189973
2002-08-28,1780292438
2002-08-29,1889140026
2002-08-30,1861093408
2002-09-03,1815684599
2002-09-04,1851744536
2002-09-05,1755584704
2002-09-06,1789641311
2002-09-09,1831711237
2002-09-10,1939223271
2002-09-11,1887804472
2002-09-12,1807671279
2002-09-13,1802329067
2002-09-16,1780960215
2002-09-17,1762930247
2002-09-18,1806335726
2002-09-19,1723531427
2002-09-20,1686803713
2002-09-23,1652079330
2002-09-24,1703498128
2002-09-25,1736219182
2002-09-26,1734215852
2002-09-27,1674783734
2002-09-30,1598587644
2002-10-01,1476338777
2002-10-02,1504395894
2002-10-03,1360770176
2002-10-04,1323360687
2002-10-07,1359434123
2002-10-08,1342065431
2002-10-09,1222488671
2002-10-10,1359434123
2002-10-11,1454293900
2002-10-14,1408200064
2002-10-15,1469658511
2002-10-16,1409536118
2002-10-17,1475002724
2002-10-18,1481014963
2002-10-21,1587899219
